gid	gname	chr	start	end	logCPM	logFC.A1.A2	absLogFC	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2
MvSl-1064-A1-R4_MC03g04632	MvSl-1064-A1-R4_MC03	Chr03	898994	900282	7.930282319	-0.069111149	0.069111149	0.758142867	1	8.06654425	7.701035657	8.007288755	7.92017934
MvSl-1064-A1-R4_MC03g04633	MvSl-1064-A1-R4_MC03	Chr03	900470	901940	5.149307693	0.203657675	0.203657675	0.367250784	0.914783799	5.177132519	5.31471234	5.120466757	4.964294991
MvSl-1064-A1-R4_MC03g04634	MvSl-1064-A1-R4_MC03	Chr03	902907	903559	4.723259798	-0.088175286	0.088175286	0.71140762	1	4.633454535	4.722032479	4.6926768	4.836446739
MvSl-1064-A1-R4_MC03g04635	MvSl-1064-A1-R4_MC03	Chr03	904055	906311	4.444142632	0.006595739	0.006595739	0.979120548	1	4.578986419	4.303069077	4.493804679	4.385900184
MvSl-1064-A1-R4_MC03g04636	MvSl-1064-A1-R4_MC03	Chr03	907453	909001	8.343340846	0.104163706	0.104163706	0.649933413	0.998466238	8.427539411	8.360666611	8.268240849	8.312132245
MvSl-1064-A1-R4_MC03g04637	MvSl-1064-A1-R4_MC03	Chr03	909061	910260	3.432689507	0.02291233	0.02291233	0.939528519	1	3.511581925	3.373631113	3.334732002	3.503217692
MvSl-1064-A1-R4_MC03g04638	MvSl-1064-A1-R4_MC03	Chr03	910514	911365	5.275641884	-0.089126442	0.089126442	0.71247704	1	5.417034505	5.016272635	5.463665451	5.158781194
MvSl-1064-A1-R4_MC03g04639	MvSl-1064-A1-R4_MC03	Chr03	911527	914579	5.539283343	0.101385363	0.101385363	0.664956584	0.998466238	5.320735023	5.815037771	5.373188872	5.594243935
MvSl-1064-A1-R4_MC03g04640	MvSl-1064-A1-R4_MC03	Chr03	914882	917180	-3.164539156	2.402326487	2.402326487	0.228180964	0.78229106	-3.335044318	-2.722882557	-3.335044318	-3.335044318
MvSl-1064-A1-R4_MC03g04641	MvSl-1064-A1-R4_MC03	Chr03	917886	920975	8.499483298	-0.065846502	0.065846502	0.786113873	1	8.551485932	8.37553189	8.657889567	8.394089117
MvSl-1064-A1-R4_MC03g04642	MvSl-1064-A1-R4_MC03	Chr03	921260	925020	6.419388827	1.076317878	1.076317878	4.04E-07	1.38E-05	7.029339755	6.667565915	5.619723769	5.932684464
MvSl-1064-A1-R4_MC03g04643	MvSl-1064-A1-R4_MC03	Chr03	927067	927685	7.317455078	0.198745108	0.198745108	0.33352619	0.892210511	7.303796323	7.515268116	7.109671726	7.312792723
MvSl-1064-A1-R4_MC03g04644	MvSl-1064-A1-R4_MC03	Chr03	927914	928747	6.158300246	-0.014275337	0.014275337	0.940983563	1	6.077996273	6.220685791	6.174914813	6.15583932
MvSl-1064-A1-R4_MC03g04645	MvSl-1064-A1-R4_MC03	Chr03	930236	931778	5.652637202	-0.004240887	0.004240887	0.985049822	1	5.542895371	5.750534747	5.412885066	5.861863599
MvSl-1064-A1-R4_MC03g04646	MvSl-1064-A1-R4_MC03	Chr03	932610	933707	7.7280186	0.683138616	0.683138616	0.004456073	0.060761697	7.777059102	8.244382522	7.144987548	7.523752653
MvSl-1064-A1-R4_MC03g04647	MvSl-1064-A1-R4_MC03	Chr03	933976	935390	5.20028543	-0.180409169	0.180409169	0.423505903	0.948245463	5.148814936	5.064490017	5.400300726	5.164397469
MvSl-1064-A1-R4_MC03g04648	MvSl-1064-A1-R4_MC03	Chr03	935554	937561	7.212082556	-0.081652477	0.081652477	0.753458558	1	7.476745858	6.781848074	7.481910308	6.979029563
MvSl-1064-A1-R4_MC03g04649	MvSl-1064-A1-R4_MC03	Chr03	938591	939816	7.474787526	0.008504419	0.008504419	0.968004627	1	7.62761673	7.313441683	7.547579228	7.389127673
MvSl-1064-A1-R4_MC03g04650	MvSl-1064-A1-R4_MC03	Chr03	940434	940661	6.233169393	-0.805156105	0.805156105	0.000390795	0.007745821	5.436988311	6.048719253	6.545845796	6.612072068
MvSl-1064-A1-R4_MC03g04651	MvSl-1064-A1-R4_MC03	Chr03	940955	942918	-3.335044318	0	0	1	1	-3.335044318	-3.335044318	-3.335044318	-3.335044318
MvSl-1064-A1-R4_MC03g04652	MvSl-1064-A1-R4_MC03	Chr03	943695	945674	5.648117483	-0.150353804	0.150353804	0.457227248	0.962683341	5.6035402	5.53767639	5.758073007	5.683000737
MvSl-1064-A1-R4_MC03g04653	MvSl-1064-A1-R4_MC03	Chr03	946054	950721	6.412794627	0.562861706	0.562861706	0.012042295	0.133574217	6.379252625	6.906755523	5.950541985	6.244234261
MvSl-1064-A1-R4_MC03g04654	MvSl-1064-A1-R4_MC03	Chr03	951514	955876	5.361386027	-0.056324002	0.056324002	0.799599761	1	5.198543223	5.455682255	5.337329198	5.439175886
MvSl-1064-A1-R4_MC03g04655	MvSl-1064-A1-R4_MC03	Chr03	956758	958705	6.178065064	-0.112514141	0.112514141	0.558327666	0.984850569	6.12683533	6.11454135	6.303817078	6.158655923
MvSl-1064-A1-R4_MC03g04656	MvSl-1064-A1-R4_MC03	Chr03	958886	960639	1.552407984	-0.978307665	0.978307665	0.009553528	0.111775086	1.070802273	0.910651257	2.027371663	1.840977706
MvSl-1064-A1-R4_MC03g04657	MvSl-1064-A1-R4_MC03	Chr03	961347	963330	2.417743734	-0.906799094	0.906799094	0.045366112	0.341040297	2.12848517	1.625060985	3.294494819	2.000194463
MvSl-1064-A1-R4_MC03g04658	MvSl-1064-A1-R4_MC03	Chr03	964141	964750	2.06744408	0.093033836	0.093033836	0.790394594	1	1.997804658	2.2190431	2.059741278	1.983346963
MvSl-1064-A1-R4_MC03g04659	MvSl-1064-A1-R4_MC03	Chr03	965029	965211	7.575612082	0.195329607	0.195329607	0.350650194	0.905866234	7.650713924	7.689002165	7.325551885	7.609969801
MvSl-1064-A1-R4_MC03g04660	MvSl-1064-A1-R4_MC03	Chr03	967176	970153	7.492763613	-0.107624284	0.107624284	0.5967981	0.990276133	7.536395882	7.332319885	7.597010124	7.492093422
MvSl-1064-A1-R4_MC03g04661	MvSl-1064-A1-R4_MC03	Chr03	970498	971981	6.747560585	0.067113469	0.067113469	0.75027152	1	6.969570362	6.563557688	6.876866	6.52961529
MvSl-1064-A1-R4_MC03g04662	MvSl-1064-A1-R4_MC03	Chr03	972393	973247	5.822897637	-0.202575663	0.202575663	0.317533187	0.878172903	5.73390071	5.702007053	5.928800201	5.91168953
MvSl-1064-A1-R4_MC03g04663	MvSl-1064-A1-R4_MC03	Chr03	973608	977163	1.778737698	0.180376762	0.180376762	0.625447853	0.998466238	2.073921971	1.625060985	1.613111876	1.764152603
MvSl-1064-A1-R4_MC03g04664	MvSl-1064-A1-R4_MC03	Chr03	978415	979393	4.77998895	-0.031485473	0.031485473	0.894414558	1	4.709994734	4.816234464	4.720783337	4.866618403
MvSl-1064-A1-R4_MC03g04665	MvSl-1064-A1-R4_MC03	Chr03	979842	981516	6.244738629	-0.009282356	0.009282356	0.961731468	1	6.327716593	6.14689274	6.351173398	6.139773861
MvSl-1064-A1-R4_MC03g04666	MvSl-1064-A1-R4_MC03	Chr03	982153	985820	-2.876333449	-0.681488783	0.681488783	0.668789346	0.998466238	-3.335044318	-2.722882557	-2.383864905	-3.335044318
MvSl-1064-A1-R4_MC03g04667	MvSl-1064-A1-R4_MC03	Chr03	986090	986976	7.560663579	-0.287940535	0.287940535	0.177743746	0.712396764	7.559747504	7.241861657	7.783302409	7.605847944
MvSl-1064-A1-R4_MC03g04668	MvSl-1064-A1-R4_MC03	Chr03	987286	987932	4.998715247	0.00237935	0.00237935	0.992003118	1	4.894479461	5.097970316	4.869710581	5.11498095
MvSl-1064-A1-R4_MC03g04669	MvSl-1064-A1-R4_MC03	Chr03	988228	991509	5.98169892	0.04235024	0.04235024	0.848458835	1	5.83443008	6.153276866	5.744446712	6.148301384
MvSl-1064-A1-R4_MC03g04670	MvSl-1064-A1-R4_MC03	Chr03	991736	992766	8.174741637	0.080944421	0.080944421	0.725458505	1	8.343300582	8.073425942	8.211520038	8.051504852
MvSl-1064-A1-R4_MC03g04671	MvSl-1064-A1-R4_MC03	Chr03	993050	998492	6.514617217	-0.051384551	0.051384551	0.806042245	1	6.431725674	6.5434461	6.299587892	6.746075776
MvSl-1064-A1-R4_MC03g04672	MvSl-1064-A1-R4_MC03	Chr03	999318	1001744	5.774723196	0.19771691	0.19771691	0.357249388	0.910788151	5.711735244	6.012892489	5.618366121	5.725412051
MvSl-1064-A1-R4_MC03g04673	MvSl-1064-A1-R4_MC03	Chr03	1002989	1004558	8.82699878	-0.22795949	0.22795949	0.380399363	0.923111954	8.858870743	8.540673731	9.02595054	8.840983183
MvSl-1064-A1-R4_MC03g04674	MvSl-1064-A1-R4_MC03	Chr03	1006611	1008073	-1.204083401	0.504613251	0.504613251	0.518734124	0.976550288	-1.935783428	-0.458758264	-1.408909039	-1.404421636
MvSl-1064-A1-R4_MC03g04675	MvSl-1064-A1-R4_MC03	Chr03	1008142	1008706	1.135313961	-0.313841227	0.313841227	0.439191865	0.952307514	1.033163186	0.910651257	0.996645048	1.505583606
MvSl-1064-A1-R4_MC03g04676	MvSl-1064-A1-R4_MC03	Chr03	1008854	1009327	7.928437058	0.149837438	0.149837438	0.489489788	0.973358783	7.873060192	8.119256877	7.844966156	7.858287184
MvSl-1064-A1-R4_MC03g04677	MvSl-1064-A1-R4_MC03	Chr03	1009453	1011303	4.472404633	0.21470336	0.21470336	0.425803617	0.949317746	4.278796969	4.821588771	4.276901679	4.442467248
MvSl-1064-A1-R4_MC03g04678	MvSl-1064-A1-R4_MC03	Chr03	1011608	1012524	7.932175713	-0.049502778	0.049502778	0.81880889	1	7.995846776	7.812795961	8.022765302	7.887444309
MvSl-1064-A1-R4_MC03g04679	MvSl-1064-A1-R4_MC03	Chr03	1013485	1013769	1.627293476	0.345491433	0.345491433	0.361736543	0.913414072	1.937959596	1.625060985	1.634760528	1.247889511
MvSl-1064-A1-R4_MC03g04680	MvSl-1064-A1-R4_MC03	Chr03	1015889	1016056	6.043910037	0.220337211	0.220337211	0.293502537	0.864135487	5.992325235	6.291852087	5.793391884	6.054633459
MvSl-1064-A1-R4_MC03g04682	MvSl-1064-A1-R4_MC03	Chr03	1016506	1021012	2.295381283	0.023075117	0.023075117	0.949647616	1	2.433061372	2.169513264	2.533033369	1.983346963
MvSl-1064-A1-R4_MC03g04683	MvSl-1064-A1-R4_MC03	Chr03	1022916	1026474	0.157498765	0.125081649	0.125081649	0.800501851	1	-0.135243083	0.494165674	0.034356029	0.164659885
MvSl-1064-A1-R4_MC03g04684	MvSl-1064-A1-R4_MC03	Chr03	1027229	1030161	1.080968369	-0.035037373	0.035037373	0.933524528	1	0.690415588	1.356587618	0.962811236	1.219395724
MvSl-1064-A1-R4_MC03g04685	MvSl-1064-A1-R4_MC03	Chr03	1030507	1034435	6.79372732	0.052494936	0.052494936	0.798890998	1	6.571214099	7.031557178	6.703327286	6.828567984
MvSl-1064-A1-R4_MC03g04686	MvSl-1064-A1-R4_MC03	Chr03	1034647	1035601	5.3101173	0.099519955	0.099519955	0.647634555	0.998466238	5.334339369	5.383302167	5.255851375	5.263667354
MvSl-1064-A1-R4_MC03g04687	MvSl-1064-A1-R4_MC03	Chr03	1035981	1039869	4.395391676	-0.119577776	0.119577776	0.650729786	0.998466238	4.103752738	4.532611731	4.379842627	4.523364791
MvSl-1064-A1-R4_MC03g04688	MvSl-1064-A1-R4_MC03	Chr03	1040226	1041755	5.528856288	0.764759662	0.764759662	0.011290226	0.127336947	5.536183837	6.126487927	4.571629084	5.483282922
MvSl-1064-A1-R4_MC03g04689	MvSl-1064-A1-R4_MC03	Chr03	1042152	1043382	7.554843758	-0.048370712	0.048370712	0.809846235	1	7.554360182	7.506152556	7.613117756	7.543641568
MvSl-1064-A1-R4_MC03g04690	MvSl-1064-A1-R4_MC03	Chr03	1043649	1045520	4.787394584	1.015696963	1.015696963	0.025580976	0.232206057	4.254469819	5.776958676	3.461286196	4.680564346
MvSl-1064-A1-R4_MC03g04691	MvSl-1064-A1-R4_MC03	Chr03	1045842	1046461	6.726971877	-0.265625521	0.265625521	0.147178068	0.651620146	6.601265716	6.574698909	6.911088689	6.793358664
MvSl-1064-A1-R4_MC03g04692	MvSl-1064-A1-R4_MC03	Chr03	1047143	1050630	7.306369335	0.117859141	0.117859141	0.550546806	0.984366338	7.352840401	7.375279768	7.297408161	7.193346044
MvSl-1064-A1-R4_MC03g04693	MvSl-1064-A1-R4_MC03	Chr03	1050727	1052917	4.654439425	-0.034167621	0.034167621	0.889887367	1	4.578986419	4.693113526	4.508536931	4.817560973
MvSl-1064-A1-R4_MC03g04694	MvSl-1064-A1-R4_MC03	Chr03	1053522	1055658	3.742408982	-0.256137291	0.256137291	0.518457622	0.976550288	4.090070533	2.883507447	4.162325582	3.485379516
MvSl-1064-A1-R4_MC03g04695	MvSl-1064-A1-R4_MC03	Chr03	1056026	1056679	2.139330928	-0.94175985	0.94175985	0.007814917	0.095476134	1.67015889	1.523585178	2.425357606	2.606584029
MvSl-1064-A1-R4_MC03g04696	MvSl-1064-A1-R4_MC03	Chr03	1056917	1058466	0.541287502	-0.385802344	0.385802344	0.390665822	0.930213801	0.101382073	0.546840052	0.74123211	0.664809973
MvSl-1064-A1-R4_MC03g04697	MvSl-1064-A1-R4_MC03	Chr03	1058849	1063090	1.746196005	-0.834991502	0.834991502	0.036287489	0.298529739	1.594649883	0.869885208	2.268020677	1.877908668
MvSl-1064-A1-R4_MC03g04698	MvSl-1064-A1-R4_MC03	Chr03	1063805	1064500	4.240914263	-0.349649456	0.349649456	0.192221884	0.738582604	4.221382057	3.868624424	4.47292347	4.330359014
MvSl-1064-A1-R4_MC03g04699	MvSl-1064-A1-R4_MC03	Chr03	1065439	1067300	6.787578334	-0.146281908	0.146281908	0.428595445	0.951051372	6.790809611	6.629913037	6.868895737	6.848474538
MvSl-1064-A1-R4_MC03g04700	MvSl-1064-A1-R4_MC03	Chr03	1067770	1073931	-1.342020435	-1.680321388	1.680321388	0.049020322	0.356735806	-1.935783428	-2.294435337	-1.408909039	-0.508629343
MvSl-1064-A1-R4_MC03g04701	MvSl-1064-A1-R4_MC03	Chr03	1075227	1078903	2.681969973	-0.975782343	0.975782343	0.00755119	0.092744341	2.264638296	1.952407612	3.334732002	2.76283461
MvSl-1064-A1-R4_MC03g04702	MvSl-1064-A1-R4_MC03	Chr03	1079363	1079821	4.501242399	-0.238992254	0.238992254	0.324786157	0.885382397	4.372199873	4.381294802	4.621273434	4.60823145
MvSl-1064-A1-R4_MC03g04703	MvSl-1064-A1-R4_MC03	Chr03	1080228	1081140	3.021127273	-0.652421694	0.652421694	0.060402598	0.405953038	2.929462835	2.328400002	3.442996406	3.150128182
MvSl-1064-A1-R4_MC03g04704	MvSl-1064-A1-R4_MC03	Chr03	1081682	1085033	6.688605118	0.075697113	0.075697113	0.695172422	0.998834644	6.841366854	6.600624865	6.755517003	6.536850001
MvSl-1064-A1-R4_MC03g04705	MvSl-1064-A1-R4_MC03	Chr03	1086042	1088418	4.979580611	-0.09815916	0.09815916	0.679268758	0.998466238	5.053332479	4.794616277	4.940953582	5.109168573
MvSl-1064-A1-R4_MC03g04706	MvSl-1064-A1-R4_MC03	Chr03	1088463	1089617	0.48277071	-8.660880023	8.660880023	3.74E-13	2.75E-11	-3.335044318	-3.335044318	1.925662802	0.484990225
MvSl-1064-A1-R4_MC03g04707	MvSl-1064-A1-R4_MC03	Chr03	1089857	1091821	5.364339982	-4.42181742	4.42181742	2.42E-57	1.52E-54	2.017213785	1.787092695	6.450646813	6.116784257
MvSl-1064-A1-R4_MC03g04708	MvSl-1064-A1-R4_MC03	Chr03	1091991	1093746	6.530011645	0.360207283	0.360207283	0.054829605	0.38294663	6.686323087	6.711489372	6.280830762	6.395164432
MvSl-1064-A1-R4_MC03g04709	MvSl-1064-A1-R4_MC03	Chr03	1094008	1094436	4.77266793	0.071119632	0.071119632	0.801018831	1	4.48801567	5.068999203	4.463881025	4.966439837
MvSl-1064-A1-R4_MC03g04710	MvSl-1064-A1-R4_MC03	Chr03	1094496	1094837	6.389668189	0.308872365	0.308872365	0.209283031	0.763999906	6.155583334	6.836425767	6.019021737	6.409424079
MvSl-1064-A1-R4_MC03g04711	MvSl-1064-A1-R4_MC03	Chr03	1096779	1098591	2.560930627	0.309136622	0.309136622	0.398141745	0.934975483	2.999446304	2.343367098	2.295464144	2.504006761
MvSl-1064-A1-R4_MC03g04712	MvSl-1064-A1-R4_MC03	Chr03	1099083	1101202	8.233543202	0.178390851	0.178390851	0.465892124	0.968161177	8.11351344	8.500552805	8.002353034	8.2686874
MvSl-1064-A1-R4_MC03g04713	MvSl-1064-A1-R4_MC03	Chr03	1101371	1102954	6.757634219	0.246310092	0.246310092	0.196097309	0.744076825	6.831122007	6.918671475	6.764136961	6.480934101
MvSl-1064-A1-R4_MC03g04714	MvSl-1064-A1-R4_MC03	Chr03	1105025	1105414	6.796968174	0.184650954	0.184650954	0.314741588	0.877968295	6.946977112	6.823140528	6.707802462	6.695898494
MvSl-1064-A1-R4_MC03g04715	MvSl-1064-A1-R4_MC03	Chr03	1106501	1107599	5.435651189	-0.176412102	0.176412102	0.415514124	0.943430754	5.426138643	5.258576191	5.577030955	5.462158163
MvSl-1064-A1-R4_MC03g04716	MvSl-1064-A1-R4_MC03	Chr03	1107748	1109293	3.905045088	0.000728092	0.000728092	0.997910227	1	3.790684949	4.011342266	3.892674556	3.916579535
MvSl-1064-A1-R4_MC03g04717	MvSl-1064-A1-R4_MC03	Chr03	1109680	1112554	3.091230405	-0.172767346	0.172767346	0.589507366	0.990162992	3.129984725	2.862881252	3.224833849	3.119615379
MvSl-1064-A1-R4_MC03g04718	MvSl-1064-A1-R4_MC03	Chr03	1115282	1116407	3.462992242	-0.088445534	0.088445534	0.781873083	1	3.64233138	3.153535712	3.632460927	3.366974436
MvSl-1064-A1-R4_MC03g04719	MvSl-1064-A1-R4_MC03	Chr03	1116699	1118959	5.409923304	-0.103661279	0.103661279	0.633716298	0.998466238	5.449543986	5.258576191	5.496552473	5.42364842
MvSl-1064-A1-R4_MC03g04720	MvSl-1064-A1-R4_MC03	Chr03	1119195	1122450	6.62120569	0.198171537	0.198171537	0.338062769	0.89402166	6.605279154	6.820468736	6.327274109	6.68812161
MvSl-1064-A1-R4_MC03g04721	MvSl-1064-A1-R4_MC03	Chr03	1123145	1123826	5.568922277	0.183610777	0.183610777	0.469959093	0.968298975	5.30107497	5.943374207	5.285237203	5.641991035
MvSl-1064-A1-R4_MC03g04722	MvSl-1064-A1-R4_MC03	Chr03	1123882	1124905	3.621908427	-0.232951394	0.232951394	0.425320775	0.949195122	3.412452797	3.583584885	3.643181651	3.815500641
MvSl-1064-A1-R4_MC03g04723	MvSl-1064-A1-R4_MC03	Chr03	1125210	1131412	5.201133922	0.045813167	0.045813167	0.835585019	1	5.26702545	5.179464806	5.131929778	5.222982191
MvSl-1064-A1-R4_MC03g04724	MvSl-1064-A1-R4_MC03	Chr03	1132905	1136472	7.478587652	0.129691478	0.129691478	0.539353923	0.982211689	7.484174941	7.597549172	7.242946388	7.563968416
MvSl-1064-A1-R4_MC03g04725	MvSl-1064-A1-R4_MC03	Chr03	1137269	1137592	4.240231015	-0.20024515	0.20024515	0.449460959	0.956746915	4.019642684	4.244477116	4.21716769	4.445545763
MvSl-1064-A1-R4_MC03g04726	MvSl-1064-A1-R4_MC03	Chr03	1137669	1137974	5.703142356	-0.121465957	0.121465957	0.556505616	0.984491172	5.672489446	5.609080725	5.75436949	5.770299878
MvSl-1064-A1-R4_MC03g04727	MvSl-1064-A1-R4_MC03	Chr03	1138361	1141189	7.1440553	0.164988606	0.164988606	0.384629308	0.92727543	7.225651987	7.222765427	7.052008338	7.066613204
MvSl-1064-A1-R4_MC03g04728	MvSl-1064-A1-R4_MC03	Chr03	1141725	1143109	1.17814716	-0.11637361	0.11637361	0.770848483	1	0.994515751	1.233447505	0.996645048	1.432990287
MvSl-1064-A1-R4_MC03g04729	MvSl-1064-A1-R4_MC03	Chr03	1143537	1150735	1.84288298	-0.283033598	0.283033598	0.505897972	0.974902305	1.67015889	1.719865868	2.412882063	1.330142301
MvSl-1064-A1-R4_MC03g04730	MvSl-1064-A1-R4_MC03	Chr03	1151193	1152134	5.561124511	-0.931049292	0.931049292	6.81E-05	0.001611744	5.185734968	4.837533487	6.130842238	5.745534813
MvSl-1064-A1-R4_MC03g04731	MvSl-1064-A1-R4_MC03	Chr03	1152762	1155280	8.540936729	-0.025642114	0.025642114	0.919275098	1	8.660229956	8.382567899	8.720919537	8.364508303
MvSl-1064-A1-R4_MC03g04732	MvSl-1064-A1-R4_MC03	Chr03	1155556	1158521	2.993749368	-0.523369007	0.523369007	0.33055772	0.889598907	3.352591241	1.523585178	3.690462803	2.539015843
MvSl-1064-A1-R4_MC03g04733	MvSl-1064-A1-R4_MC03	Chr03	1159033	1159860	3.308769339	-0.531299302	0.531299302	0.250526234	0.816826747	3.53869699	2.202721365	3.984058252	2.912729817
MvSl-1064-A1-R4_MC03g04734	MvSl-1064-A1-R4_MC03	Chr03	1160044	1160361	7.251450129	-0.087878435	0.087878435	0.650649277	0.998466238	7.170920036	7.241861657	7.316371067	7.27262189
MvSl-1064-A1-R4_MC03g04735	MvSl-1064-A1-R4_MC03	Chr03	1160420	1161085	5.54057691	0.410961538	0.410961538	0.088362921	0.506281342	5.424322406	5.984531425	5.206107076	5.428324233
MvSl-1064-A1-R4_MC03g04736	MvSl-1064-A1-R4_MC03	Chr03	1161684	1163373	8.938532081	-0.033977313	0.033977313	0.906750578	1	9.135489076	8.67003979	9.185496795	8.681543306
MvSl-1064-A1-R4_MC03g04737	MvSl-1064-A1-R4_MC03	Chr03	1165943	1166569	2.939798557	-0.468224953	0.468224953	0.291165806	0.860851548	3.156484186	1.990937262	3.532211255	2.628421366
MvSl-1064-A1-R4_MC03g04738	MvSl-1064-A1-R4_MC03	Chr03	1166847	1167953	7.372444142	0.856762701	0.856762701	0.014732356	0.154994945	8.238414115	6.966583664	7.183137321	6.501048075
MvSl-1064-A1-R4_MC03g04739	MvSl-1064-A1-R4_MC03	Chr03	1168357	1171046	5.072684872	0.214035371	0.214035371	0.5733586	0.989004675	5.670958462	4.417105123	5.337329198	4.454742089
MvSl-1064-A1-R4_MC03g04740	MvSl-1064-A1-R4_MC03	Chr03	1171287	1173946	7.877886629	-0.28965846	0.28965846	0.197466813	0.746997916	7.847535989	7.592859881	8.152712096	7.863475565
MvSl-1064-A1-R4_MC03g04741	MvSl-1064-A1-R4_MC03	Chr03	1174621	1175763	5.530365011	-0.429252181	0.429252181	0.068230227	0.436779113	5.39494727	5.198110104	5.959147777	5.453009138
MvSl-1064-A1-R4_MC03g04742	MvSl-1064-A1-R4_MC03	Chr03	1177170	1178944	6.932280123	-0.307966718	0.307966718	0.221053212	0.778700759	7.008882752	6.483907294	7.372211436	6.707485778
MvSl-1064-A1-R4_MC03g04743	MvSl-1064-A1-R4_MC03	Chr03	1179641	1183013	5.257483378	-0.025786465	0.025786465	0.907316945	1	5.303053075	5.18362908	5.243575173	5.296432456
MvSl-1064-A1-R4_MC03g04744	MvSl-1064-A1-R4_MC03	Chr03	1183265	1186174	5.568405327	0.165929918	0.165929918	0.447158762	0.95565436	5.49004548	5.792038409	5.379614121	5.580306542
MvSl-1064-A1-R4_MC03g04745	MvSl-1064-A1-R4_MC03	Chr03	1186439	1188783	4.550167607	-0.032317777	0.032317777	0.894900341	1	4.62082228	4.441653752	4.626685482	4.502822996
MvSl-1064-A1-R4_MC03g04746	MvSl-1064-A1-R4_MC03	Chr03	1188843	1189994	7.365134225	-0.08270242	0.08270242	0.681422651	0.998466238	7.426367494	7.212102789	7.356825318	7.453238309
MvSl-1064-A1-R4_MC03g04747	MvSl-1064-A1-R4_MC03	Chr03	1190549	1191676	5.474434814	0.841389631	0.841389631	0.000134257	0.002996066	5.809598984	5.859964921	4.842060536	5.134188138
MvSl-1064-A1-R4_MC03g04748	MvSl-1064-A1-R4_MC03	Chr03	1192076	1192791	7.915408822	0.298980135	0.298980135	0.404179038	0.936846334	7.359508901	8.525374361	7.268271706	8.123431209
MvSl-1064-A1-R4_MC03g04749	MvSl-1064-A1-R4_MC03	Chr03	1193373	1195413	6.733869841	0.012411163	0.012411163	0.945189462	1	6.746433815	6.733669795	6.724934981	6.730384831
MvSl-1064-A1-R4_MC03g04750	MvSl-1064-A1-R4_MC03	Chr03	1195737	1198036	6.420544116	0.30456682	0.30456682	0.106124569	0.562663842	6.61327269	6.514810388	6.204169345	6.314954665
MvSl-1064-A1-R4_MC03g04751	MvSl-1064-A1-R4_MC03	Chr03	1200185	1201116	7.659390788	0.086743189	0.086743189	0.712658519	1	7.487657787	7.888729441	7.381845113	7.816391704
MvSl-1064-A1-R4_MC03g04752	MvSl-1064-A1-R4_MC03	Chr03	1201369	1202234	8.874827682	-0.311572197	0.311572197	0.217560448	0.77431196	8.663890481	8.755920648	9.069820379	8.972854848
MvSl-1064-A1-R4_MC03g04753	MvSl-1064-A1-R4_MC03	Chr03	1204671	1206184	6.114753298	-0.208738782	0.208738782	0.317463611	0.878172903	5.815154057	6.175401422	6.120330005	6.303971556
MvSl-1064-A1-R4_MC03g04754	MvSl-1064-A1-R4_MC03	Chr03	1206461	1206894	7.136597631	0.170730597	0.170730597	0.51214162	0.976503834	6.845444509	7.516093955	6.733111968	7.307726383
MvSl-1064-A1-R4_MC03g04755	MvSl-1064-A1-R4_MC03	Chr03	1207405	1210732	5.062311528	-0.31145312	0.31145312	0.194753525	0.742377037	4.883945562	4.912208891	5.393967152	4.996137597
MvSl-1064-A1-R4_MC03g04756	MvSl-1064-A1-R4_MC03	Chr03	1211914	1213905	7.384529986	-0.092355964	0.092355964	0.642887842	0.998466238	7.25404904	7.416555096	7.459718281	7.399483512
MvSl-1064-A1-R4_MC03g04757	MvSl-1064-A1-R4_MC03	Chr03	1214408	1216212	8.263220477	-0.250510917	0.250510917	0.470928464	0.968298975	8.594720854	7.448486121	8.675621501	8.015446042
MvSl-1064-A1-R4_MC03g04759	MvSl-1064-A1-R4_MC03	Chr03	1216822	1218472	1.113933267	-1.166595902	1.166595902	0.010687986	0.12200927	0.913969049	-0.264711569	1.523114699	1.574698512
MvSl-1064-A1-R4_MC03g04760	MvSl-1064-A1-R4_MC03	Chr03	1218516	1220123	4.022708468	-1.639305149	1.639305149	3.92E-09	1.77E-07	2.959872364	3.010836008	4.610388046	4.616449872
MvSl-1064-A1-R4_MC03g04761	MvSl-1064-A1-R4_MC03	Chr03	1220248	1222863	4.982667336	-0.410471227	0.410471227	0.095479764	0.527666105	4.810756032	4.713417497	5.368351087	4.94484652
MvSl-1064-A1-R4_MC03g04762	MvSl-1064-A1-R4_MC03	Chr03	1223026	1223880	5.82980285	-0.17057825	0.17057825	0.419824925	0.94700004	5.806813405	5.674160364	5.769126854	6.042485515
MvSl-1064-A1-R4_MC03g04763	MvSl-1064-A1-R4_MC03	Chr03	1224147	1225483	9.076571487	-0.017160683	0.017160683	0.948336696	1	9.181779083	8.944410854	9.074035836	9.096126489
MvSl-1064-A1-R4_MC03g04764	MvSl-1064-A1-R4_MC03	Chr03	1227050	1227784	4.019201969	-0.081368572	0.081368572	0.766382581	1	4.043502688	3.909425615	4.169759439	3.938596862
MvSl-1064-A1-R4_MC03g04765	MvSl-1064-A1-R4_MC03	Chr03	1229231	1231148	8.107319102	0.118566998	0.118566998	0.587671603	0.990162992	8.173400568	8.15733842	8.024303864	8.069077073
