gida1	part8	youngold	genea10k	up5k	upk10	upk15	upk20	down5k	down10k	down15k	down20k	DE	DE2	haploid 
MvSl-1064-A1-R4_MC10-2g09885	Auto	Auto	0	0	0	0	1	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10472	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g11262	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06739	Auto	Auto	0	0	0	3	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07833	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10521	Auto	Auto	0	0	0	2	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09488	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02865	Auto	Auto	0	0	1	0	0	3	1	2	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03357	Auto	Auto	2	1	0	0	3	1	1	2	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10389	Auto	Auto	0	0	0	2	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10498	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06618	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC10-2g10104	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02664	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC10-1g09680	Auto	Auto	2	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03544	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05844	Auto	Auto	0	0	0	0	2	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07139	Auto	Auto	0	0	0	0	0	0	0	0	3	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07355	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08348	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g06000	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02644	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09218	Auto	Auto	0	1	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08343	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11423	Auto	Auto	0	0	0	0	0	0	0	0	1	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g00002	bPAR	bPAR	0	0	0	0	0	1	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05284	Auto	Auto	0	0	0	0	1	0	1	2	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02307	Auto	Auto	0	0	0	0	0	0	1	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07462	Auto	Auto	1	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07763	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02927	Auto	Auto	11	4	4	3	2	0	0	1	2	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09495	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g10770	Auto	Auto	0	0	0	0	0	0	0	2	0	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g01469	bPAR	bPAR	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01844	Auto	Auto	0	0	0	2	1	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02737	Auto	Auto	0	0	0	1	0	2	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-2g03100	Auto	Auto	0	0	0	4	3	10	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04372	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04522	Auto	Auto	0	0	0	0	0	0	0	0	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04672	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g05031	Auto	Auto	0	0	0	4	6	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05555	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06508	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07132	Auto	Auto	0	0	4	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07387	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07811	Auto	Auto	0	0	0	0	2	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07902	Auto	Auto	0	0	2	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07912	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g08065	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08665	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08722	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09030	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09419	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09431	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC10-1g09722	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10548	Auto	Auto	0	0	0	0	0	0	0	1	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-2g06334	Auto	Auto	0	3	0	0	0	4	8	0	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09292	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC10-2g09924	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11659	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09399	Auto	Auto	0	0	0	0	0	2	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01808	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g05229	Auto	Auto	0	0	0	0	0	0	1	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08764	Auto	Auto	0	0	0	1	1	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC10-1g09600	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02044	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03573	Auto	Auto	0	0	0	0	2	0	3	2	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06786	Auto	Auto	1	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07814	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08720	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11655	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g00068	bPAR	bPAR	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02558	Auto	Auto	0	0	0	0	3	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02683	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-2g03129	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04304	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04838	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05525	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g06918	Auto	Auto	0	0	0	1	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09141	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11435	Auto	Auto	1	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03761	Auto	Auto	0	0	0	0	0	0	2	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10250	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02688	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g04180	Auto	Auto	0	0	0	2	0	0	0	0	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-1g06279	Auto	Auto	4	1	6	0	3	3	2	3	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06647	Auto	Auto	0	0	1	3	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07340	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09056	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g10768	Auto	Auto	0	0	0	0	0	0	0	0	2	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g11214	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11672	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07303	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g08102	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01812	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02704	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-2g06473	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC10-1g09847	Auto	Auto	5	1	4	7	2	4	1	3	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10615	Auto	Auto	0	0	0	0	0	4	1	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11626	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01854	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04673	Auto	Auto	0	0	0	0	0	0	0	0	2	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g05143	Auto	Auto	0	2	2	3	0	0	1	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-2g06401	Auto	Auto	0	0	1	1	0	0	1	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07654	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08440	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09076	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10290	Auto	Auto	0	0	0	0	0	0	0	4	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g11084	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC15g12026	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g00021	bPAR	bPAR	0	0	0	0	0	1	0	2	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02649	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02751	Auto	Auto	2	0	0	0	0	0	4	9	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03787	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g04009	Auto	Auto	0	0	0	0	1	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04774	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04871	Auto	Auto	2	0	0	0	0	0	0	2	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07573	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g08140	Auto	Auto	0	0	0	0	0	0	0	0	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08824	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g00290	Black	OldStrata	0	1	1	0	0	2	0	2	0	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g00912	Black	OldStrata	0	3	0	2	0	0	2	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01701	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01803	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01870	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01881	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01885	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02475	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02541	Auto	Auto	0	0	0	0	0	0	0	0	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03646	Auto	Auto	0	2	1	1	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03670	Auto	Auto	0	0	3	1	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03868	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g04114	Auto	Auto	2	0	0	0	0	1	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04306	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04390	Auto	Auto	0	0	0	0	0	0	0	2	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04592	Auto	Auto	1	0	0	0	0	1	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04633	Auto	Auto	0	0	2	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05870	Auto	Auto	0	0	0	0	0	0	3	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05923	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06781	Auto	Auto	0	0	0	0	0	0	0	1	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g06967	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07299	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07566	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07585	Auto	Auto	0	0	0	0	0	0	0	1	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07645	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07725	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g08061	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g08165	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08556	Auto	Auto	0	0	0	0	0	0	0	1	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08667	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08670	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08680	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09560	Auto	Auto	0	0	0	0	0	0	1	3	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC10-1g09699	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC10-2g10034	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10274	Auto	Auto	1	1	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10306	Auto	Auto	0	0	0	0	2	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g10946	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11514	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11564	Auto	Auto	0	0	0	2	2	0	0	0	2	NON	EqualTE	A1
MvSl-1064-A1-R4_MC14g11750	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-2g03157	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02561	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-2g06404	Auto	Auto	0	0	0	1	1	1	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02157	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04599	Auto	Auto	0	0	0	1	1	0	0	4	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05968	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11687	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07488	Auto	Auto	0	3	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03909	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06531	Auto	Auto	0	0	0	0	0	1	1	2	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g11255	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g01378	Black	OldStrata	0	0	2	1	0	1	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g10765	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02261	Auto	Auto	0	2	0	0	0	5	0	1	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03261	Auto	Auto	0	0	0	1	0	0	2	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-1g06191	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g08085	Auto	Auto	0	0	0	1	3	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08625	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g11054	Auto	Auto	0	0	0	0	1	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05918	Auto	Auto	0	0	0	0	1	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02333	Auto	Auto	0	0	0	0	0	0	0	2	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g05227	Auto	Auto	0	0	0	0	0	0	0	1	0	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g01367	Black	OldStrata	0	1	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02453	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02474	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02692	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-2g02976	Auto	Auto	0	0	1	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03271	Auto	Auto	0	0	0	2	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03633	Auto	Auto	0	0	1	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04679	Auto	Auto	0	0	0	0	0	2	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g05191	Auto	Auto	0	1	0	0	5	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-1g06205	Auto	Auto	0	0	0	0	0	0	4	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06580	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06715	Auto	Auto	2	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g06992	Auto	Auto	0	0	0	0	0	0	0	4	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07575	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g08248	Auto	Auto	0	2	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08803	Auto	Auto	0	0	0	0	0	0	0	1	3	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10157	Auto	Auto	0	0	0	0	0	0	0	0	2	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10395	Auto	Auto	0	2	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g10952	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g11043	Auto	Auto	0	3	0	0	0	2	1	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g11119	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05556	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04507	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-2g06376	Auto	Auto	0	1	5	3	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-2g03061	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03458	Auto	Auto	0	0	1	2	3	0	1	1	2	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g05237	Auto	Auto	0	0	1	0	0	0	0	3	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC06g07209	Auto	Auto	0	0	0	0	0	0	0	2	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC02g03998	Auto	Auto	2	0	0	0	0	1	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g05830	Auto	Auto	0	0	0	0	0	2	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06765	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g07861	Auto	Auto	0	0	0	0	2	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC07g08031	Auto	Auto	1	0	2	0	1	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09071	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC11g10566	Auto	Auto	0	0	2	2	1	0	0	2	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC04-1g06058	Auto	Auto	0	0	0	0	0	2	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC08g08624	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g10758	Auto	Auto	0	0	0	0	1	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC12g10847	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC03g04845	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC09-2g09417	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g00061	bPAR	bPAR	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-2g02983	Auto	Auto	0	0	0	0	0	0	0	1	1	NON	EqualTE	A1
MvSl-1064-A1-R4_MC05-3g06702	Auto	Auto	0	0	0	6	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC13g11370	Auto	Auto	0	0	0	0	1	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_A1g00372	Red	ColorStrata	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g01804	Auto	Auto	0	0	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02100	Auto	Auto	0	2	0	0	0	0	0	0	0	NON	EqualTE	A1
MvSl-1064-A1-R4_MC01-1g02372	Auto	Auto	0	0	0	0	0	0	0	0	1	NON	EqualTE	A1
