gene genename chr start end gene_size
MvSl-1064-A2-R4_MC08-1g08614 MvSl-1064-A1-R4_A2 MAT 237173 239942 2770
MvSl-1064-A2-R4_MC08-1g08615 MvSl-1064-A1-R4_A2 MAT 242554 244367 1814
MvSl-1064-A2-R4_MC08-1g08616 MvSl-1064-A1-R4_A2 MAT 244807 250585 5779
MvSl-1064-A2-R4_MC08-1g08617 MvSl-1064-A1-R4_A2 MAT 250971 252862 1892
MvSl-1064-A2-R4_MC08-1g08618 MvSl-1064-A1-R4_A2 MAT 253020 258904 5885
MvSl-1064-A2-R4_MC08-1g08619 MvSl-1064-A1-R4_A2 MAT 260009 262137 2129
MvSl-1064-A2-R4_MC08-1g08620 MvSl-1064-A1-R4_A2 MAT 262808 263317 510
MvSl-1064-A2-R4_MC08-1g08621 MvSl-1064-A1-R4_A2 MAT 263958 265181 1224
MvSl-1064-A2-R4_MC08-1g08622 MvSl-1064-A1-R4_A2 MAT 265569 267306 1738
MvSl-1064-A2-R4_MC08-1g08623 MvSl-1064-A1-R4_A2 MAT 269293 270969 1677
MvSl-1064-A2-R4_MC08-1g08624 MvSl-1064-A1-R4_A2 MAT 271497 274524 3028
MvSl-1064-A2-R4_MC08-1g08625 MvSl-1064-A1-R4_A2 MAT 275719 277352 1634
MvSl-1064-A2-R4_MC08-1g08626 MvSl-1064-A1-R4_A2 MAT 277900 278277 378
MvSl-1064-A2-R4_MC08-1g08627 MvSl-1064-A1-R4_A2 MAT 278701 279128 428
MvSl-1064-A2-R4_MC08-1g08628 MvSl-1064-A1-R4_A2 MAT 279339 279820 482
MvSl-1064-A2-R4_MC08-1g08629 MvSl-1064-A1-R4_A2 MAT 280065 282480 2416
MvSl-1064-A2-R4_MC08-1g08630 MvSl-1064-A1-R4_A2 MAT 283864 285268 1405
MvSl-1064-A2-R4_MC08-1g08631 MvSl-1064-A1-R4_A2 MAT 285977 290186 4210
MvSl-1064-A2-R4_MC08-1g08632 MvSl-1064-A1-R4_A2 MAT 291197 295481 4285
MvSl-1064-A2-R4_MC08-1g08633 MvSl-1064-A1-R4_A2 MAT 295649 299712 4064
MvSl-1064-A2-R4_MC08-1g08634 MvSl-1064-A1-R4_A2 MAT 300075 301509 1435
MvSl-1064-A2-R4_MC08-1g08635 MvSl-1064-A1-R4_A2 MAT 302984 307937 4954
MvSl-1064-A2-R4_MC08-1g08636 MvSl-1064-A1-R4_A2 MAT 308997 309265 269
MvSl-1064-A2-R4_MC08-1g08637 MvSl-1064-A1-R4_A2 MAT 310270 312671 2402
MvSl-1064-A2-R4_MC08-1g08638 MvSl-1064-A1-R4_A2 MAT 312824 317865 5042
MvSl-1064-A2-R4_MC08-1g08639 MvSl-1064-A1-R4_A2 MAT 319467 320676 1210
MvSl-1064-A2-R4_MC08-1g08640 MvSl-1064-A1-R4_A2 MAT 321078 322255 1178
MvSl-1064-A2-R4_MC08-1g08641 MvSl-1064-A1-R4_A2 MAT 322468 322632 165
MvSl-1064-A2-R4_MC08-1g08642 MvSl-1064-A1-R4_A2 MAT 322743 324298 1556
MvSl-1064-A2-R4_MC08-1g08643 MvSl-1064-A1-R4_A2 MAT 324443 324736 294
MvSl-1064-A2-R4_MC08-1g08644 MvSl-1064-A1-R4_A2 MAT 325404 326998 1595
MvSl-1064-A2-R4_MC08-1g08645 MvSl-1064-A1-R4_A2 MAT 327246 329289 2044
MvSl-1064-A2-R4_MC08-1g08646 MvSl-1064-A1-R4_A2 MAT 329666 332486 2821
MvSl-1064-A2-R4_MC08-1g08647 MvSl-1064-A1-R4_A2 MAT 332733 333746 1014
MvSl-1064-A2-R4_MC08-1g08648 MvSl-1064-A1-R4_A2 MAT 333992 335789 1798
MvSl-1064-A2-R4_MC08-1g08649 MvSl-1064-A1-R4_A2 MAT 342120 343406 1287
MvSl-1064-A2-R4_MC08-1g08650 MvSl-1064-A1-R4_A2 MAT 344928 345248 321
MvSl-1064-A2-R4_MC08-1g08651 MvSl-1064-A1-R4_A2 MAT 345323 347222 1900
MvSl-1064-A2-R4_MC08-1g08652 MvSl-1064-A1-R4_A2 MAT 347272 347773 502
MvSl-1064-A2-R4_MC08-1g08653 MvSl-1064-A1-R4_A2 MAT 348491 349217 727
MvSl-1064-A2-R4_MC08-1g08654 MvSl-1064-A1-R4_A2 MAT 349322 351053 1732
MvSl-1064-A2-R4_MC08-1g08655 MvSl-1064-A1-R4_A2 MAT 351281 354825 3545
MvSl-1064-A2-R4_MC08-1g08656 MvSl-1064-A1-R4_A2 MAT 355004 356733 1730
MvSl-1064-A2-R4_MC08-1g08657 MvSl-1064-A1-R4_A2 MAT 357405 358284 880
MvSl-1064-A2-R4_MC08-1g08658 MvSl-1064-A1-R4_A2 MAT 359366 361773 2408
MvSl-1064-A2-R4_MC08-1g08659 MvSl-1064-A1-R4_A2 MAT 363199 364184 986
MvSl-1064-A2-R4_MC08-1g08660 MvSl-1064-A1-R4_A2 MAT 365079 366499 1421
MvSl-1064-A2-R4_MC08-1g08661 MvSl-1064-A1-R4_A2 MAT 366618 367052 435
MvSl-1064-A2-R4_MC08-1g08662 MvSl-1064-A1-R4_A2 MAT 367538 374572 7035
MvSl-1064-A2-R4_MC08-1g08663 MvSl-1064-A1-R4_A2 MAT 374995 377955 2961
MvSl-1064-A2-R4_MC08-1g08664 MvSl-1064-A1-R4_A2 MAT 378717 380705 1989
MvSl-1064-A2-R4_MC08-1g08665 MvSl-1064-A1-R4_A2 MAT 381094 383183 2090
MvSl-1064-A2-R4_MC08-1g08666 MvSl-1064-A1-R4_A2 MAT 387184 387634 451
MvSl-1064-A2-R4_MC08-1g08667 MvSl-1064-A1-R4_A2 MAT 387935 389259 1325
MvSl-1064-A2-R4_MC08-1g08668 MvSl-1064-A1-R4_A2 MAT 389439 394392 4954
MvSl-1064-A2-R4_MC08-1g08669 MvSl-1064-A1-R4_A2 MAT 394782 395689 908
MvSl-1064-A2-R4_MC08-1g08670 MvSl-1064-A1-R4_A2 MAT 395923 398888 2966
MvSl-1064-A2-R4_MC08-1g08671 MvSl-1064-A1-R4_A2 MAT 399941 401078 1138
MvSl-1064-A2-R4_MC08-1g08672 MvSl-1064-A1-R4_A2 MAT 401469 402108 640
MvSl-1064-A2-R4_MC08-1g08673 MvSl-1064-A1-R4_A2 MAT 402196 402390 195
MvSl-1064-A2-R4_MC08-1g08674 MvSl-1064-A1-R4_A2 MAT 402693 404832 2140
MvSl-1064-A2-R4_MC08-1g08675 MvSl-1064-A1-R4_A2 MAT 406522 407085 564
MvSl-1064-A2-R4_MC08-1g08676 MvSl-1064-A1-R4_A2 MAT 407203 407427 225
MvSl-1064-A2-R4_MC08-1g08677 MvSl-1064-A1-R4_A2 MAT 407605 407880 276
MvSl-1064-A2-R4_MC08-1g08678 MvSl-1064-A1-R4_A2 MAT 407987 409780 1794
MvSl-1064-A2-R4_MC08-1g08679 MvSl-1064-A1-R4_A2 MAT 410099 413600 3502
MvSl-1064-A2-R4_MC08-1g08680 MvSl-1064-A1-R4_A2 MAT 415101 416061 961
MvSl-1064-A2-R4_MC08-1g08681 MvSl-1064-A1-R4_A2 MAT 416929 420925 3997
MvSl-1064-A2-R4_MC08-1g08682 MvSl-1064-A1-R4_A2 MAT 422145 424298 2154
MvSl-1064-A2-R4_MC08-1g08683 MvSl-1064-A1-R4_A2 MAT 424619 427832 3214
MvSl-1064-A2-R4_MC08-1g08684 MvSl-1064-A1-R4_A2 MAT 428087 429993 1907
MvSl-1064-A2-R4_MC08-1g08685 MvSl-1064-A1-R4_A2 MAT 430818 431379 562
MvSl-1064-A2-R4_MC08-1g08686 MvSl-1064-A1-R4_A2 MAT 431715 435005 3291
MvSl-1064-A2-R4_MC08-1g08687 MvSl-1064-A1-R4_A2 MAT 435435 436399 965
MvSl-1064-A2-R4_MC08-1g08688 MvSl-1064-A1-R4_A2 MAT 436539 439824 3286
MvSl-1064-A2-R4_MC08-1g08689 MvSl-1064-A1-R4_A2 MAT 440323 443036 2714
MvSl-1064-A2-R4_MC08-1g08690 MvSl-1064-A1-R4_A2 MAT 443201 444520 1320
MvSl-1064-A2-R4_MC08-1g08691 MvSl-1064-A1-R4_A2 MAT 444890 446546 1657
MvSl-1064-A2-R4_MC08-1g08692 MvSl-1064-A1-R4_A2 MAT 447595 449398 1804
MvSl-1064-A2-R4_MC08-1g08693 MvSl-1064-A1-R4_A2 MAT 449781 451676 1896
MvSl-1064-A2-R4_MC08-1g08694 MvSl-1064-A1-R4_A2 MAT 452080 452496 417
MvSl-1064-A2-R4_MC08-1g08695 MvSl-1064-A1-R4_A2 MAT 452559 453383 825
MvSl-1064-A2-R4_MC08-1g08696 MvSl-1064-A1-R4_A2 MAT 453685 457717 4033
MvSl-1064-A2-R4_MC08-1g08697 MvSl-1064-A1-R4_A2 MAT 458426 461749 3324
MvSl-1064-A2-R4_MC08-1g08698 MvSl-1064-A1-R4_A2 MAT 462106 463871 1766
MvSl-1064-A2-R4_MC08-1g08699 MvSl-1064-A1-R4_A2 MAT 464677 467291 2615
MvSl-1064-A2-R4_MC08-1g08700 MvSl-1064-A1-R4_A2 MAT 468488 470030 1543
MvSl-1064-A2-R4_MC08-1g08701 MvSl-1064-A1-R4_A2 MAT 470374 470553 180
MvSl-1064-A2-R4_MC08-1g08702 MvSl-1064-A1-R4_A2 MAT 470703 471073 371
MvSl-1064-A2-R4_MC08-1g08703 MvSl-1064-A1-R4_A2 MAT 472057 472715 659
MvSl-1064-A2-R4_MC08-1g08704 MvSl-1064-A1-R4_A2 MAT 473091 473747 657
MvSl-1064-A2-R4_MC08-1g08705 MvSl-1064-A1-R4_A2 MAT 473796 475183 1388
MvSl-1064-A2-R4_MC08-1g08706 MvSl-1064-A1-R4_A2 MAT 475671 476396 726
MvSl-1064-A2-R4_MC08-1g08707 MvSl-1064-A1-R4_A2 MAT 477741 478375 635
MvSl-1064-A2-R4_MC08-1g08708 MvSl-1064-A1-R4_A2 MAT 479082 479267 186
MvSl-1064-A2-R4_MC08-1g08709 MvSl-1064-A1-R4_A2 MAT 479536 479691 156
MvSl-1064-A2-R4_MC08-1g08710 MvSl-1064-A1-R4_A2 MAT 479922 483415 3494
MvSl-1064-A2-R4_MC08-1g08711 MvSl-1064-A1-R4_A2 MAT 485060 485933 874
MvSl-1064-A2-R4_MC08-1g08712 MvSl-1064-A1-R4_A2 MAT 486813 486995 183
MvSl-1064-A2-R4_MC08-1g08713 MvSl-1064-A1-R4_A2 MAT 487054 487218 165
MvSl-1064-A2-R4_MC08-1g08714 MvSl-1064-A1-R4_A2 MAT 487587 488108 522
MvSl-1064-A2-R4_MC08-1g08715 MvSl-1064-A1-R4_A2 MAT 490291 491732 1442
MvSl-1064-A2-R4_MC08-1g08716 MvSl-1064-A1-R4_A2 MAT 493726 494043 318
MvSl-1064-A2-R4_MC08-1g08717 MvSl-1064-A1-R4_A2 MAT 494114 495673 1560
MvSl-1064-A2-R4_MC08-1g08718 MvSl-1064-A1-R4_A2 MAT 496089 497637 1549
MvSl-1064-A2-R4_MC08-1g08719 MvSl-1064-A1-R4_A2 MAT 498548 502903 4356
MvSl-1064-A2-R4_MC08-1g08720 MvSl-1064-A1-R4_A2 MAT 504230 505374 1145
MvSl-1064-A2-R4_MC08-1g08721 MvSl-1064-A1-R4_A2 MAT 505611 507252 1642
MvSl-1064-A2-R4_MC08-1g08722 MvSl-1064-A1-R4_A2 MAT 507564 509532 1969
MvSl-1064-A2-R4_MC08-1g08723 MvSl-1064-A1-R4_A2 MAT 509636 511442 1807
MvSl-1064-A2-R4_MC08-1g08724 MvSl-1064-A1-R4_A2 MAT 511978 513767 1790
MvSl-1064-A2-R4_MC08-1g08725 MvSl-1064-A1-R4_A2 MAT 514197 515733 1537
MvSl-1064-A2-R4_MC08-1g08726 MvSl-1064-A1-R4_A2 MAT 516173 520577 4405
MvSl-1064-A2-R4_MC08-1g08727 MvSl-1064-A1-R4_A2 MAT 521084 523523 2440
MvSl-1064-A2-R4_MC08-1g08728 MvSl-1064-A1-R4_A2 MAT 523887 525911 2025
MvSl-1064-A2-R4_MC08-1g08729 MvSl-1064-A1-R4_A2 MAT 526635 529608 2974
MvSl-1064-A2-R4_MC08-1g08730 MvSl-1064-A1-R4_A2 MAT 529760 532604 2845
MvSl-1064-A2-R4_MC08-1g08731 MvSl-1064-A1-R4_A2 MAT 532900 535459 2560
MvSl-1064-A2-R4_MC08-1g08732 MvSl-1064-A1-R4_A2 MAT 535742 536026 285
MvSl-1064-A2-R4_MC08-1g08733 MvSl-1064-A1-R4_A2 MAT 536174 536457 284
MvSl-1064-A2-R4_MC08-1g08734 MvSl-1064-A1-R4_A2 MAT 536711 539849 3139
MvSl-1064-A2-R4_MC08-1g08735 MvSl-1064-A1-R4_A2 MAT 540574 541574 1001
MvSl-1064-A2-R4_MC08-1g08736 MvSl-1064-A1-R4_A2 MAT 541992 542176 185
MvSl-1064-A2-R4_MC08-1g08737 MvSl-1064-A1-R4_A2 MAT 542759 543490 732
MvSl-1064-A2-R4_MC08-1g08738 MvSl-1064-A1-R4_A2 MAT 544500 544721 222
MvSl-1064-A2-R4_MC08-1g08739 MvSl-1064-A1-R4_A2 MAT 545853 552122 6270
MvSl-1064-A2-R4_MC08-1g08740 MvSl-1064-A1-R4_A2 MAT 553252 556605 3354
MvSl-1064-A2-R4_MC08-1g08741 MvSl-1064-A1-R4_A2 MAT 558000 562155 4156
MvSl-1064-A2-R4_MC08-1g08742 MvSl-1064-A1-R4_A2 MAT 563688 566055 2368
MvSl-1064-A2-R4_MC08-1g08743 MvSl-1064-A1-R4_A2 MAT 567002 567428 427
MvSl-1064-A2-R4_MC08-1g08744 MvSl-1064-A1-R4_A2 MAT 567537 568187 651
MvSl-1064-A2-R4_MC08-1g08745 MvSl-1064-A1-R4_A2 MAT 568269 568639 371
MvSl-1064-A2-R4_MC08-1g08746 MvSl-1064-A1-R4_A2 MAT 569119 569613 495
MvSl-1064-A2-R4_MC08-1g08747 MvSl-1064-A1-R4_A2 MAT 570366 570857 492
MvSl-1064-A2-R4_MC08-1g08748 MvSl-1064-A1-R4_A2 MAT 571840 574398 2559
MvSl-1064-A2-R4_MC08-1g08749 MvSl-1064-A1-R4_A2 MAT 574627 578852 4226
MvSl-1064-A2-R4_MC08-1g08750 MvSl-1064-A1-R4_A2 MAT 579180 583335 4156
MvSl-1064-A2-R4_MC08-1g08751 MvSl-1064-A1-R4_A2 MAT 585751 587463 1713
MvSl-1064-A2-R4_MC08-1g08752 MvSl-1064-A1-R4_A2 MAT 588741 589752 1012
MvSl-1064-A2-R4_MC08-1g08753 MvSl-1064-A1-R4_A2 MAT 590003 592009 2007
MvSl-1064-A2-R4_MC08-1g08754 MvSl-1064-A1-R4_A2 MAT 593133 594368 1236
MvSl-1064-A2-R4_MC08-1g08755 MvSl-1064-A1-R4_A2 MAT 594782 596563 1782
MvSl-1064-A2-R4_MC08-1g08756 MvSl-1064-A1-R4_A2 MAT 596706 598192 1487
MvSl-1064-A2-R4_MC08-1g08757 MvSl-1064-A1-R4_A2 MAT 600849 603332 2484
MvSl-1064-A2-R4_MC08-1g08758 MvSl-1064-A1-R4_A2 MAT 604499 608036 3538
MvSl-1064-A2-R4_MC08-1g08759 MvSl-1064-A1-R4_A2 MAT 608524 610037 1514
MvSl-1064-A2-R4_MC08-1g08760 MvSl-1064-A1-R4_A2 MAT 610894 612921 2028
MvSl-1064-A2-R4_MC08-1g08761 MvSl-1064-A1-R4_A2 MAT 613338 614523 1186
MvSl-1064-A2-R4_MC08-1g08762 MvSl-1064-A1-R4_A2 MAT 615546 617052 1507
MvSl-1064-A2-R4_MC08-1g08763 MvSl-1064-A1-R4_A2 MAT 617463 619057 1595
MvSl-1064-A2-R4_MC08-1g08764 MvSl-1064-A1-R4_A2 MAT 619879 620582 704
MvSl-1064-A2-R4_MC08-1g08765 MvSl-1064-A1-R4_A2 MAT 621046 622203 1158
MvSl-1064-A2-R4_MC08-1g08766 MvSl-1064-A1-R4_A2 MAT 622535 623805 1271
MvSl-1064-A2-R4_MC08-1g08767 MvSl-1064-A1-R4_A2 MAT 624362 625718 1357
MvSl-1064-A2-R4_MC08-1g08768 MvSl-1064-A1-R4_A2 MAT 625812 627861 2050
MvSl-1064-A2-R4_MC08-1g08769 MvSl-1064-A1-R4_A2 MAT 628138 630106 1969
MvSl-1064-A2-R4_MC08-1g08770 MvSl-1064-A1-R4_A2 MAT 630828 633098 2271
MvSl-1064-A2-R4_MC08-1g08771 MvSl-1064-A1-R4_A2 MAT 633383 633921 539
MvSl-1064-A2-R4_MC08-1g08772 MvSl-1064-A1-R4_A2 MAT 634132 635701 1570
MvSl-1064-A2-R4_MC08-1g08773 MvSl-1064-A1-R4_A2 MAT 635763 638148 2386
MvSl-1064-A2-R4_MC08-1g08774 MvSl-1064-A1-R4_A2 MAT 638790 643496 4707
MvSl-1064-A2-R4_MC08-1g08775 MvSl-1064-A1-R4_A2 MAT 644320 647209 2890
MvSl-1064-A2-R4_MC08-1g08776 MvSl-1064-A1-R4_A2 MAT 647589 649423 1835
MvSl-1064-A2-R4_MC08-1g08777 MvSl-1064-A1-R4_A2 MAT 649511 650738 1228
MvSl-1064-A2-R4_MC08-1g08778 MvSl-1064-A1-R4_A2 MAT 652111 655460 3350
MvSl-1064-A2-R4_MC08-1g08779 MvSl-1064-A1-R4_A2 MAT 656284 658311 2028
MvSl-1064-A2-R4_MC08-1g08780 MvSl-1064-A1-R4_A2 MAT 658611 661699 3089
MvSl-1064-A2-R4_MC08-1g08781 MvSl-1064-A1-R4_A2 MAT 661952 662176 225
MvSl-1064-A2-R4_MC08-1g08782 MvSl-1064-A1-R4_A2 MAT 662416 663772 1357
MvSl-1064-A2-R4_MC08-1g08783 MvSl-1064-A1-R4_A2 MAT 664239 666000 1762
MvSl-1064-A2-R4_MC08-1g08784 MvSl-1064-A1-R4_A2 MAT 669842 671044 1203
MvSl-1064-A2-R4_MC08-1g08785 MvSl-1064-A1-R4_A2 MAT 671536 675826 4291
MvSl-1064-A2-R4_MC08-1g08786 MvSl-1064-A1-R4_A2 MAT 676172 678766 2595
MvSl-1064-A2-R4_MC08-1g08787 MvSl-1064-A1-R4_A2 MAT 680289 682742 2454
MvSl-1064-A2-R4_MC08-1g08788 MvSl-1064-A1-R4_A2 MAT 683360 686105 2746
MvSl-1064-A2-R4_MC08-1g08789 MvSl-1064-A1-R4_A2 MAT 686749 689172 2424
MvSl-1064-A2-R4_MC08-1g08790 MvSl-1064-A1-R4_A2 MAT 689507 689668 162
MvSl-1064-A2-R4_MC08-1g08791 MvSl-1064-A1-R4_A2 MAT 689936 690256 321
MvSl-1064-A2-R4_MC08-1g08792 MvSl-1064-A1-R4_A2 MAT 690797 693652 2856
MvSl-1064-A2-R4_MC08-1g08793 MvSl-1064-A1-R4_A2 MAT 694417 697238 2822
MvSl-1064-A2-R4_MC08-1g08794 MvSl-1064-A1-R4_A2 MAT 697414 699653 2240
MvSl-1064-A2-R4_MC08-1g08795 MvSl-1064-A1-R4_A2 MAT 700267 701206 940
MvSl-1064-A2-R4_MC08-1g08796 MvSl-1064-A1-R4_A2 MAT 701343 703037 1695
MvSl-1064-A2-R4_MC08-1g08797 MvSl-1064-A1-R4_A2 MAT 703770 704719 950
MvSl-1064-A2-R4_MC08-1g08798 MvSl-1064-A1-R4_A2 MAT 705116 705732 617
MvSl-1064-A2-R4_MC08-1g08799 MvSl-1064-A1-R4_A2 MAT 705935 707133 1199
MvSl-1064-A2-R4_MC08-1g08800 MvSl-1064-A1-R4_A2 MAT 709051 709260 210
MvSl-1064-A2-R4_MC08-1g08801 MvSl-1064-A1-R4_A2 MAT 710551 711671 1121
MvSl-1064-A2-R4_MC08-1g08802 MvSl-1064-A1-R4_A2 MAT 711769 712965 1197
MvSl-1064-A2-R4_MC08-1g08803 MvSl-1064-A1-R4_A2 MAT 714394 717215 2822
MvSl-1064-A2-R4_MC08-1g08804 MvSl-1064-A1-R4_A2 MAT 717487 718067 581
MvSl-1064-A2-R4_MC08-1g08805 MvSl-1064-A1-R4_A2 MAT 718364 719473 1110
MvSl-1064-A2-R4_MC08-1g08806 MvSl-1064-A1-R4_A2 MAT 719803 721200 1398
MvSl-1064-A2-R4_MC08-1g08807 MvSl-1064-A1-R4_A2 MAT 721893 723487 1595
MvSl-1064-A2-R4_MC08-1g08808 MvSl-1064-A1-R4_A2 MAT 724070 726087 2018
MvSl-1064-A2-R4_MC08-1g08809 MvSl-1064-A1-R4_A2 MAT 726355 728688 2334
MvSl-1064-A2-R4_MC08-1g08810 MvSl-1064-A1-R4_A2 MAT 729307 730511 1205
MvSl-1064-A2-R4_MC08-1g08811 MvSl-1064-A1-R4_A2 MAT 730701 731033 333
MvSl-1064-A2-R4_MC08-1g08812 MvSl-1064-A1-R4_A2 MAT 732173 734218 2046
MvSl-1064-A2-R4_MC08-1g08813 MvSl-1064-A1-R4_A2 MAT 735168 735942 775
MvSl-1064-A2-R4_MC08-1g08814 MvSl-1064-A1-R4_A2 MAT 736098 736478 381
MvSl-1064-A2-R4_MC08-1g08815 MvSl-1064-A1-R4_A2 MAT 736733 738216 1484
MvSl-1064-A2-R4_MC08-1g08816 MvSl-1064-A1-R4_A2 MAT 738508 740499 1992
MvSl-1064-A2-R4_MC08-1g08817 MvSl-1064-A1-R4_A2 MAT 740839 742611 1773
MvSl-1064-A2-R4_MC08-1g08818 MvSl-1064-A1-R4_A2 MAT 742832 746520 3689
MvSl-1064-A2-R4_MC08-1g08819 MvSl-1064-A1-R4_A2 MAT 746693 749028 2336
MvSl-1064-A2-R4_MC08-1g08820 MvSl-1064-A1-R4_A2 MAT 749107 749910 804
MvSl-1064-A2-R4_MC08-1g08821 MvSl-1064-A1-R4_A2 MAT 750325 751229 905
MvSl-1064-A2-R4_MC08-1g08822 MvSl-1064-A1-R4_A2 MAT 751441 754657 3217
MvSl-1064-A2-R4_MC08-1g08823 MvSl-1064-A1-R4_A2 MAT 755166 755937 772
MvSl-1064-A2-R4_MC08-1g08824 MvSl-1064-A1-R4_A2 MAT 756596 760302 3707
MvSl-1064-A2-R4_MC08-1g08825 MvSl-1064-A1-R4_A2 MAT 760855 761915 1061
MvSl-1064-A2-R4_MC08-1g08826 MvSl-1064-A1-R4_A2 MAT 762319 763682 1364
MvSl-1064-A2-R4_MC08-1g08827 MvSl-1064-A1-R4_A2 MAT 764095 764725 631
MvSl-1064-A2-R4_MC08-1g08828 MvSl-1064-A1-R4_A2 MAT 765077 769609 4533
MvSl-1064-A2-R4_MC08-1g08829 MvSl-1064-A1-R4_A2 MAT 769904 772101 2198
MvSl-1064-A2-R4_MC08-1g08830 MvSl-1064-A1-R4_A2 MAT 772371 772669 299
MvSl-1064-A2-R4_MC08-1g08831 MvSl-1064-A1-R4_A2 MAT 772715 774562 1848
MvSl-1064-A2-R4_MC08-1g08832 MvSl-1064-A1-R4_A2 MAT 775219 776405 1187
MvSl-1064-A2-R4_MC08-1g08833 MvSl-1064-A1-R4_A2 MAT 776618 777393 776
MvSl-1064-A2-R4_MC08-1g08834 MvSl-1064-A1-R4_A2 MAT 778005 779433 1429
MvSl-1064-A2-R4_MC08-1g08835 MvSl-1064-A1-R4_A2 MAT 779899 780644 746
MvSl-1064-A2-R4_MC08-1g08836 MvSl-1064-A1-R4_A2 MAT 780700 781539 840
MvSl-1064-A2-R4_MC08-1g08837 MvSl-1064-A1-R4_A2 MAT 782684 783918 1235
MvSl-1064-A2-R4_MC08-1g08838 MvSl-1064-A1-R4_A2 MAT 784485 785846 1362
MvSl-1064-A2-R4_MC08-1g08839 MvSl-1064-A1-R4_A2 MAT 786185 788565 2381
MvSl-1064-A2-R4_MC08-1g08840 MvSl-1064-A1-R4_A2 MAT 789021 790534 1514
MvSl-1064-A2-R4_MC08-1g08841 MvSl-1064-A1-R4_A2 MAT 791392 795285 3894
MvSl-1064-A2-R4_MC08-1g08842 MvSl-1064-A1-R4_A2 MAT 795827 796243 417
MvSl-1064-A2-R4_MC08-1g08843 MvSl-1064-A1-R4_A2 MAT 799619 799934 316
MvSl-1064-A2-R4_MC08-1g08844 MvSl-1064-A1-R4_A2 MAT 801807 803178 1372
MvSl-1064-A2-R4_MC08-1g08845 MvSl-1064-A1-R4_A2 MAT 803654 805099 1446
MvSl-1064-A2-R4_MC08-1g08846 MvSl-1064-A1-R4_A2 MAT 805353 806988 1636
MvSl-1064-A2-R4_MC08-1g08847 MvSl-1064-A1-R4_A2 MAT 807191 810282 3092
MvSl-1064-A2-R4_MC08-1g08848 MvSl-1064-A1-R4_A2 MAT 811189 814330 3142
MvSl-1064-A2-R4_MC08-1g08849 MvSl-1064-A1-R4_A2 MAT 815332 816789 1458
MvSl-1064-A2-R4_MC08-1g08850 MvSl-1064-A1-R4_A2 MAT 817298 817522 225
MvSl-1064-A2-R4_MC08-1g08851 MvSl-1064-A1-R4_A2 MAT 818385 819572 1188
MvSl-1064-A2-R4_MC08-1g08852 MvSl-1064-A1-R4_A2 MAT 819788 826191 6404
MvSl-1064-A2-R4_MC08-1g08853 MvSl-1064-A1-R4_A2 MAT 826683 827953 1271
MvSl-1064-A2-R4_MC08-1g08854 MvSl-1064-A1-R4_A2 MAT 828182 831383 3202
MvSl-1064-A2-R4_MC08-1g08855 MvSl-1064-A1-R4_A2 MAT 832165 833426 1262
MvSl-1064-A2-R4_MC08-1g08856 MvSl-1064-A1-R4_A2 MAT 833988 834328 341
MvSl-1064-A2-R4_MC08-1g08857 MvSl-1064-A1-R4_A2 MAT 835141 839068 3928
MvSl-1064-A2-R4_MC08-1g08858 MvSl-1064-A1-R4_A2 MAT 839346 840623 1278
MvSl-1064-A2-R4_MC08-1g08859 MvSl-1064-A1-R4_A2 MAT 840956 841895 940
MvSl-1064-A2-R4_MC08-1g08860 MvSl-1064-A1-R4_A2 MAT 842892 843568 677
MvSl-1064-A2-R4_MC08-1g08861 MvSl-1064-A1-R4_A2 MAT 844406 845309 904
MvSl-1064-A2-R4_MC08-1g08862 MvSl-1064-A1-R4_A2 MAT 845535 848532 2998
MvSl-1064-A2-R4_MC08-1g08863 MvSl-1064-A1-R4_A2 MAT 848880 850189 1310
MvSl-1064-A2-R4_MC08-1g08864 MvSl-1064-A1-R4_A2 MAT 851385 852274 890
MvSl-1064-A2-R4_MC08-1g08865 MvSl-1064-A1-R4_A2 MAT 852805 855196 2392
MvSl-1064-A2-R4_MC08-1g08866 MvSl-1064-A1-R4_A2 MAT 855866 859055 3190
MvSl-1064-A2-R4_MC08-1g08867 MvSl-1064-A1-R4_A2 MAT 860266 860832 567
MvSl-1064-A2-R4_MC08-1g08868 MvSl-1064-A1-R4_A2 MAT 861000 861680 681
MvSl-1064-A2-R4_MC08-1g08869 MvSl-1064-A1-R4_A2 MAT 861920 863345 1426
MvSl-1064-A2-R4_MC08-1g08870 MvSl-1064-A1-R4_A2 MAT 864615 865830 1216
MvSl-1064-A2-R4_MC08-1g08871 MvSl-1064-A1-R4_A2 MAT 866368 867704 1337
MvSl-1064-A2-R4_MC08-1g08872 MvSl-1064-A1-R4_A2 MAT 868442 872401 3960
MvSl-1064-A2-R4_MC08-1g08873 MvSl-1064-A1-R4_A2 MAT 873464 875616 2153
MvSl-1064-A2-R4_MC08-1g08874 MvSl-1064-A1-R4_A2 MAT 876066 877682 1617
MvSl-1064-A2-R4_MC08-1g08875 MvSl-1064-A1-R4_A2 MAT 877801 878977 1177
MvSl-1064-A2-R4_MC08-1g08876 MvSl-1064-A1-R4_A2 MAT 879037 881426 2390
MvSl-1064-A2-R4_MC08-1g08877 MvSl-1064-A1-R4_A2 MAT 881582 883477 1896
MvSl-1064-A2-R4_MC08-1g08878 MvSl-1064-A1-R4_A2 MAT 883774 887120 3347
