gene	genename	chr	start	end	length
MvSl-1064-A1-R4_MC02g04168	MvSl-1064-A1-R4_MC02	Chr02	2366407	2366574	168
MvSl-1064-A1-R4_MC02g04169	MvSl-1064-A1-R4_MC02	Chr02	2366644	2370667	3366
MvSl-1064-A1-R4_MC02g04170	MvSl-1064-A1-R4_MC02	Chr02	2370854	2371145	225
MvSl-1064-A1-R4_MC02g04171	MvSl-1064-A1-R4_MC02	Chr02	2371388	2372677	990
MvSl-1064-A1-R4_MC02g04172	MvSl-1064-A1-R4_MC02	Chr02	2373148	2373800	411
MvSl-1064-A1-R4_MC02g04176	MvSl-1064-A1-R4_MC02	Chr02	2376913	2378568	1581
MvSl-1064-A1-R4_MC02g04177	MvSl-1064-A1-R4_MC02	Chr02	2378900	2380752	1737
MvSl-1064-A1-R4_MC02g04178	MvSl-1064-A1-R4_MC02	Chr02	2383216	2383879	534
MvSl-1064-A1-R4_MC02g04179	MvSl-1064-A1-R4_MC02	Chr02	2384388	2389259	4608
MvSl-1064-A1-R4_MC02g04180	MvSl-1064-A1-R4_MC02	Chr02	2390708	2391043	336
MvSl-1064-A1-R4_MC02g04181	MvSl-1064-A1-R4_MC02	Chr02	2391779	2393227	1098
MvSl-1064-A1-R4_MC02g04184	MvSl-1064-A1-R4_MC02	Chr02	2394366	2395523	948
MvSl-1064-A1-R4_MC02g04185	MvSl-1064-A1-R4_MC02	Chr02	2395580	2397860	1605
MvSl-1064-A1-R4_MC02g04186	MvSl-1064-A1-R4_MC02	Chr02	2398655	2400175	1173
MvSl-1064-A1-R4_MC02g04187	MvSl-1064-A1-R4_MC02	Chr02	2402453	2404245	981
MvSl-1064-A1-R4_MC02g04188	MvSl-1064-A1-R4_MC02	Chr02	2406457	2408842	1650
MvSl-1064-A1-R4_MC02g04189	MvSl-1064-A1-R4_MC02	Chr02	2410660	2412231	1572
MvSl-1064-A1-R4_MC02g04190	MvSl-1064-A1-R4_MC02	Chr02	2412588	2413529	621
MvSl-1064-A1-R4_MC02g04191	MvSl-1064-A1-R4_MC02	Chr02	2413615	2417535	3309
MvSl-1064-A1-R4_MC02g04192	MvSl-1064-A1-R4_MC02	Chr02	2419609	2421508	1539
MvSl-1064-A1-R4_MC02g04194	MvSl-1064-A1-R4_MC02	Chr02	2423825	2425768	1584
MvSl-1064-A1-R4_MC02g04195	MvSl-1064-A1-R4_MC02	Chr02	2425932	2426528	354
MvSl-1064-A1-R4_MC02g04196	MvSl-1064-A1-R4_MC02	Chr02	2428738	2428961	150
MvSl-1064-A1-R4_MC02g04197	MvSl-1064-A1-R4_MC02	Chr02	2429305	2430502	792
MvSl-1064-A1-R4_MC02g04198	MvSl-1064-A1-R4_MC02	Chr02	2430558	2431515	441
MvSl-1064-A1-R4_MC02g04200	MvSl-1064-A1-R4_MC02	Chr02	2433372	2435276	1545
MvSl-1064-A1-R4_MC02g04201	MvSl-1064-A1-R4_MC02	Chr02	2435765	2437247	954
MvSl-1064-A1-R4_MC02g04202	MvSl-1064-A1-R4_MC02	Chr02	2438632	2440539	1521
MvSl-1064-A1-R4_MC02g04203	MvSl-1064-A1-R4_MC02	Chr02	2440702	2442987	1857
MvSl-1064-A1-R4_MC02g04204	MvSl-1064-A1-R4_MC02	Chr02	2443845	2446277	2007
MvSl-1064-A1-R4_MC02g04205	MvSl-1064-A1-R4_MC02	Chr02	2446715	2448196	1056
MvSl-1064-A1-R4_MC02g04206	MvSl-1064-A1-R4_MC02	Chr02	2450386	2452210	1608
MvSl-1064-A1-R4_MC02g04208	MvSl-1064-A1-R4_MC02	Chr02	2457484	2457835	273
MvSl-1064-A1-R4_MC02g04209	MvSl-1064-A1-R4_MC02	Chr02	2459295	2461148	1395
MvSl-1064-A1-R4_MC02g04210	MvSl-1064-A1-R4_MC02	Chr02	2462469	2463313	615
MvSl-1064-A1-R4_MC02g04211	MvSl-1064-A1-R4_MC02	Chr02	2463543	2464593	702
MvSl-1064-A1-R4_MC02g04212	MvSl-1064-A1-R4_MC02	Chr02	2465001	2468172	2562
MvSl-1064-A1-R4_MC02g04213	MvSl-1064-A1-R4_MC02	Chr02	2468528	2471015	1989
MvSl-1064-A1-R4_MC02g04214	MvSl-1064-A1-R4_MC02	Chr02	2471733	2472188	354
MvSl-1064-A1-R4_MC02g04215	MvSl-1064-A1-R4_MC02	Chr02	2472298	2473826	1071
MvSl-1064-A1-R4_MC02g04216	MvSl-1064-A1-R4_MC02	Chr02	2474269	2475031	561
MvSl-1064-A1-R4_MC02g04217	MvSl-1064-A1-R4_MC02	Chr02	2475174	2479746	4326
MvSl-1064-A1-R4_MC02g04218	MvSl-1064-A1-R4_MC02	Chr02	2480021	2482446	2067
MvSl-1064-A1-R4_MC02g04219	MvSl-1064-A1-R4_MC02	Chr02	2484876	2485788	774
MvSl-1064-A1-R4_MC02g04221	MvSl-1064-A1-R4_MC02	Chr02	2487221	2489271	1344
MvSl-1064-A1-R4_MC02g04222	MvSl-1064-A1-R4_MC02	Chr02	2490688	2492481	1416
MvSl-1064-A1-R4_MC02g04223	MvSl-1064-A1-R4_MC02	Chr02	2492649	2493498	693
MvSl-1064-A1-R4_MC02g04224	MvSl-1064-A1-R4_MC02	Chr02	2493883	2495696	1275
MvSl-1064-A1-R4_MC02g04225	MvSl-1064-A1-R4_MC02	Chr02	2500661	2500881	159
MvSl-1064-A1-R4_MC02g04226	MvSl-1064-A1-R4_MC02	Chr02	2501158	2503935	2586
MvSl-1064-A1-R4_MC02g04228	MvSl-1064-A1-R4_MC02	Chr02	2505332	2505887	384
MvSl-1064-A1-R4_MC02g04229	MvSl-1064-A1-R4_MC02	Chr02	2507200	2509929	1245
MvSl-1064-A1-R4_MC02g04230	MvSl-1064-A1-R4_MC02	Chr02	2510201	2512113	1587
MvSl-1064-A1-R4_MC02g04231	MvSl-1064-A1-R4_MC02	Chr02	2512202	2513344	735
MvSl-1064-A1-R4_MC02g04232	MvSl-1064-A1-R4_MC02	Chr02	2513704	2518547	3795
MvSl-1064-A1-R4_MC02g04234	MvSl-1064-A1-R4_MC02	Chr02	2520294	2521314	888
MvSl-1064-A1-R4_MC02g04245	MvSl-1064-A1-R4_MC02	Chr02	2537745	2542439	4440
MvSl-1064-A1-R4_MC02g04246	MvSl-1064-A1-R4_MC02	Chr02	2542839	2543411	525
MvSl-1064-A1-R4_MC02g04247	MvSl-1064-A1-R4_MC02	Chr02	2544884	2546120	1188
MvSl-1064-A1-R4_MC02g04248	MvSl-1064-A1-R4_MC02	Chr02	2546952	2551962	4563
MvSl-1064-A1-R4_MC02g04249	MvSl-1064-A1-R4_MC02	Chr02	2552007	2553042	582
MvSl-1064-A1-R4_MC02g04250	MvSl-1064-A1-R4_MC02	Chr02	2553680	2555357	1257
MvSl-1064-A1-R4_MC02g04252	MvSl-1064-A1-R4_MC02	Chr02	2556627	2559405	2340
MvSl-1064-A1-R4_MC02g04253	MvSl-1064-A1-R4_MC02	Chr02	2560247	2562613	2115
MvSl-1064-A1-R4_MC03g04274	MvSl-1064-A1-R4_MC03	Chr03	10734	11302	480
MvSl-1064-A1-R4_MC03g04275	MvSl-1064-A1-R4_MC03	Chr03	11400	21642	8859
MvSl-1064-A1-R4_MC03g04279	MvSl-1064-A1-R4_MC03	Chr03	26279	28913	2313
MvSl-1064-A1-R4_MC03g04283	MvSl-1064-A1-R4_MC03	Chr03	32184	34570	1377
MvSl-1064-A1-R4_MC03g04284	MvSl-1064-A1-R4_MC03	Chr03	34960	39600	3900
MvSl-1064-A1-R4_MC03g04285	MvSl-1064-A1-R4_MC03	Chr03	39667	41133	1251
MvSl-1064-A1-R4_MC03g04286	MvSl-1064-A1-R4_MC03	Chr03	41393	42492	780
MvSl-1064-A1-R4_MC03g04287	MvSl-1064-A1-R4_MC03	Chr03	42542	43525	681
MvSl-1064-A1-R4_MC03g04288	MvSl-1064-A1-R4_MC03	Chr03	44634	47010	1944
MvSl-1064-A1-R4_MC03g04289	MvSl-1064-A1-R4_MC03	Chr03	47408	50385	2556
MvSl-1064-A1-R4_MC03g04290	MvSl-1064-A1-R4_MC03	Chr03	50789	51172	309
MvSl-1064-A1-R4_MC03g04291	MvSl-1064-A1-R4_MC03	Chr03	51615	54673	2568
MvSl-1064-A1-R4_MC03g04292	MvSl-1064-A1-R4_MC03	Chr03	55092	58906	3294
MvSl-1064-A1-R4_MC03g04293	MvSl-1064-A1-R4_MC03	Chr03	59827	63159	2670
MvSl-1064-A1-R4_MC03g04294	MvSl-1064-A1-R4_MC03	Chr03	63797	67478	3231
MvSl-1064-A1-R4_MC03g04295	MvSl-1064-A1-R4_MC03	Chr03	68760	71453	2070
MvSl-1064-A1-R4_MC03g04296	MvSl-1064-A1-R4_MC03	Chr03	71664	73176	1194
MvSl-1064-A1-R4_MC03g04297	MvSl-1064-A1-R4_MC03	Chr03	73623	74593	660
MvSl-1064-A1-R4_MC03g04298	MvSl-1064-A1-R4_MC03	Chr03	75352	76657	849
MvSl-1064-A1-R4_MC03g04299	MvSl-1064-A1-R4_MC03	Chr03	79697	82668	2730
MvSl-1064-A1-R4_MC03g04300	MvSl-1064-A1-R4_MC03	Chr03	83549	84284	453
MvSl-1064-A1-R4_MC03g04301	MvSl-1064-A1-R4_MC03	Chr03	84855	87152	2229
MvSl-1064-A1-R4_MC03g04302	MvSl-1064-A1-R4_MC03	Chr03	87561	90830	2928
MvSl-1064-A1-R4_MC03g04304	MvSl-1064-A1-R4_MC03	Chr03	92436	93453	666
MvSl-1064-A1-R4_MC03g04305	MvSl-1064-A1-R4_MC03	Chr03	93996	95463	723
MvSl-1064-A1-R4_MC03g04306	MvSl-1064-A1-R4_MC03	Chr03	95642	97981	1944
MvSl-1064-A1-R4_MC03g04307	MvSl-1064-A1-R4_MC03	Chr03	98633	98917	285
MvSl-1064-A1-R4_MC03g04308	MvSl-1064-A1-R4_MC03	Chr03	98978	103108	3936
MvSl-1064-A1-R4_MC03g04309	MvSl-1064-A1-R4_MC03	Chr03	103867	105090	1224
MvSl-1064-A1-R4_MC03g04310	MvSl-1064-A1-R4_MC03	Chr03	105354	107997	2502
MvSl-1064-A1-R4_MC03g04311	MvSl-1064-A1-R4_MC03	Chr03	108758	112188	2856
MvSl-1064-A1-R4_MC03g04312	MvSl-1064-A1-R4_MC03	Chr03	115641	119400	3129
MvSl-1064-A1-R4_MC03g04313	MvSl-1064-A1-R4_MC03	Chr03	120329	123064	1743
MvSl-1064-A1-R4_MC03g04314	MvSl-1064-A1-R4_MC03	Chr03	123257	129104	5460
MvSl-1064-A1-R4_MC03g04315	MvSl-1064-A1-R4_MC03	Chr03	129676	130583	819
MvSl-1064-A1-R4_MC03g04316	MvSl-1064-A1-R4_MC03	Chr03	130776	136914	5220
MvSl-1064-A1-R4_MC03g04317	MvSl-1064-A1-R4_MC03	Chr03	137476	138154	351
MvSl-1064-A1-R4_MC03g04318	MvSl-1064-A1-R4_MC03	Chr03	138635	139790	792
MvSl-1064-A1-R4_MC03g04319	MvSl-1064-A1-R4_MC03	Chr03	140182	142859	2265
MvSl-1064-A1-R4_MC03g04320	MvSl-1064-A1-R4_MC03	Chr03	143364	143950	483
MvSl-1064-A1-R4_MC03g04324	MvSl-1064-A1-R4_MC03	Chr03	147337	149209	1569
MvSl-1064-A1-R4_MC03g04325	MvSl-1064-A1-R4_MC03	Chr03	149803	150528	369
MvSl-1064-A1-R4_MC03g04327	MvSl-1064-A1-R4_MC03	Chr03	151301	151917	351
MvSl-1064-A1-R4_MC03g04328	MvSl-1064-A1-R4_MC03	Chr03	152459	154003	1458
MvSl-1064-A1-R4_MC03g04329	MvSl-1064-A1-R4_MC03	Chr03	154299	155489	885
MvSl-1064-A1-R4_MC03g04330	MvSl-1064-A1-R4_MC03	Chr03	155964	157790	1095
MvSl-1064-A1-R4_MC03g04331	MvSl-1064-A1-R4_MC03	Chr03	159407	159640	234
MvSl-1064-A1-R4_MC03g04332	MvSl-1064-A1-R4_MC03	Chr03	159814	160264	300
MvSl-1064-A1-R4_MC03g04334	MvSl-1064-A1-R4_MC03	Chr03	161560	162996	1029
MvSl-1064-A1-R4_MC03g04335	MvSl-1064-A1-R4_MC03	Chr03	164984	166129	1050
MvSl-1064-A1-R4_MC03g04336	MvSl-1064-A1-R4_MC03	Chr03	166972	168661	1155
MvSl-1064-A1-R4_MC03g04337	MvSl-1064-A1-R4_MC03	Chr03	169313	171506	1632
MvSl-1064-A1-R4_MC03g04347	MvSl-1064-A1-R4_MC03	Chr03	185458	193403	7650
MvSl-1064-A1-R4_MC03g04350	MvSl-1064-A1-R4_MC03	Chr03	199281	199458	111
MvSl-1064-A1-R4_MC03g04351	MvSl-1064-A1-R4_MC03	Chr03	199552	199982	360
MvSl-1064-A1-R4_MC03g04352	MvSl-1064-A1-R4_MC03	Chr03	200237	200854	444
MvSl-1064-A1-R4_MC03g04353	MvSl-1064-A1-R4_MC03	Chr03	203259	204414	921
MvSl-1064-A1-R4_MC03g04354	MvSl-1064-A1-R4_MC03	Chr03	204525	207302	2106
MvSl-1064-A1-R4_MC03g04355	MvSl-1064-A1-R4_MC03	Chr03	207565	209755	1830
MvSl-1064-A1-R4_MC03g04356	MvSl-1064-A1-R4_MC03	Chr03	210968	213823	2670
MvSl-1064-A1-R4_MC03g04357	MvSl-1064-A1-R4_MC03	Chr03	214412	216650	1677
MvSl-1064-A1-R4_MC03g04358	MvSl-1064-A1-R4_MC03	Chr03	217281	218031	300
MvSl-1064-A1-R4_MC03g04359	MvSl-1064-A1-R4_MC03	Chr03	218308	218823	516
MvSl-1064-A1-R4_MC03g04360	MvSl-1064-A1-R4_MC03	Chr03	219446	224407	4590
MvSl-1064-A1-R4_MC03g04361	MvSl-1064-A1-R4_MC03	Chr03	225354	228442	2922
MvSl-1064-A1-R4_MC03g04362	MvSl-1064-A1-R4_MC03	Chr03	228740	230387	1365
MvSl-1064-A1-R4_MC03g04363	MvSl-1064-A1-R4_MC03	Chr03	233232	234987	1260
MvSl-1064-A1-R4_MC03g04364	MvSl-1064-A1-R4_MC03	Chr03	235307	237113	1026
MvSl-1064-A1-R4_MC03g04365	MvSl-1064-A1-R4_MC03	Chr03	238110	241071	2691
MvSl-1064-A1-R4_MC03g04366	MvSl-1064-A1-R4_MC03	Chr03	241505	243093	1281
MvSl-1064-A1-R4_MC03g04367	MvSl-1064-A1-R4_MC03	Chr03	243610	245142	966
MvSl-1064-A1-R4_MC03g04368	MvSl-1064-A1-R4_MC03	Chr03	245400	247002	1470
MvSl-1064-A1-R4_MC03g04369	MvSl-1064-A1-R4_MC03	Chr03	247547	248344	606
MvSl-1064-A1-R4_MC03g04370	MvSl-1064-A1-R4_MC03	Chr03	248795	252911	3975
MvSl-1064-A1-R4_MC03g04371	MvSl-1064-A1-R4_MC03	Chr03	253422	254920	1320
MvSl-1064-A1-R4_MC03g04372	MvSl-1064-A1-R4_MC03	Chr03	255941	257219	1200
MvSl-1064-A1-R4_MC03g04373	MvSl-1064-A1-R4_MC03	Chr03	258259	261008	2376
MvSl-1064-A1-R4_MC03g04374	MvSl-1064-A1-R4_MC03	Chr03	262676	263139	210
MvSl-1064-A1-R4_MC03g04376	MvSl-1064-A1-R4_MC03	Chr03	265065	265557	420
MvSl-1064-A1-R4_MC03g04377	MvSl-1064-A1-R4_MC03	Chr03	266050	269157	2487
MvSl-1064-A1-R4_MC03g04378	MvSl-1064-A1-R4_MC03	Chr03	269633	270929	1206
MvSl-1064-A1-R4_MC03g04379	MvSl-1064-A1-R4_MC03	Chr03	271374	275570	3597
MvSl-1064-A1-R4_MC03g04380	MvSl-1064-A1-R4_MC03	Chr03	275759	277280	1071
MvSl-1064-A1-R4_MC03g04381	MvSl-1064-A1-R4_MC03	Chr03	277745	279449	1398
MvSl-1064-A1-R4_MC03g04382	MvSl-1064-A1-R4_MC03	Chr03	279715	281678	1563
MvSl-1064-A1-R4_MC03g04383	MvSl-1064-A1-R4_MC03	Chr03	282857	285372	1815
MvSl-1064-A1-R4_MC03g04384	MvSl-1064-A1-R4_MC03	Chr03	285829	288989	2427
MvSl-1064-A1-R4_MC03g04385	MvSl-1064-A1-R4_MC03	Chr03	290141	292325	1563
MvSl-1064-A1-R4_MC03g04386	MvSl-1064-A1-R4_MC03	Chr03	293172	296617	2709
MvSl-1064-A1-R4_MC03g04387	MvSl-1064-A1-R4_MC03	Chr03	297632	300814	3093
MvSl-1064-A1-R4_MC03g04388	MvSl-1064-A1-R4_MC03	Chr03	301998	310758	8196
MvSl-1064-A1-R4_MC03g04389	MvSl-1064-A1-R4_MC03	Chr03	311507	314627	2454
MvSl-1064-A1-R4_MC03g04390	MvSl-1064-A1-R4_MC03	Chr03	315017	316740	1365
MvSl-1064-A1-R4_MC03g04391	MvSl-1064-A1-R4_MC03	Chr03	317035	317640	516
MvSl-1064-A1-R4_MC03g04393	MvSl-1064-A1-R4_MC03	Chr03	319831	323034	2619
MvSl-1064-A1-R4_MC03g04394	MvSl-1064-A1-R4_MC03	Chr03	323582	324840	942
MvSl-1064-A1-R4_MC03g04395	MvSl-1064-A1-R4_MC03	Chr03	325113	326334	963
MvSl-1064-A1-R4_MC03g04396	MvSl-1064-A1-R4_MC03	Chr03	326522	328243	1428
MvSl-1064-A1-R4_MC03g04397	MvSl-1064-A1-R4_MC03	Chr03	330548	331464	834
MvSl-1064-A1-R4_MC03g04398	MvSl-1064-A1-R4_MC03	Chr03	331968	332834	744
MvSl-1064-A1-R4_MC03g04399	MvSl-1064-A1-R4_MC03	Chr03	332994	334701	1422
MvSl-1064-A1-R4_MC03g04400	MvSl-1064-A1-R4_MC03	Chr03	335474	336049	408
MvSl-1064-A1-R4_MC03g04401	MvSl-1064-A1-R4_MC03	Chr03	336504	336683	180
MvSl-1064-A1-R4_MC03g04402	MvSl-1064-A1-R4_MC03	Chr03	336782	337153	372
MvSl-1064-A1-R4_MC03g04403	MvSl-1064-A1-R4_MC03	Chr03	337421	338821	1038
MvSl-1064-A1-R4_MC03g04404	MvSl-1064-A1-R4_MC03	Chr03	339097	341291	1953
MvSl-1064-A1-R4_MC03g04405	MvSl-1064-A1-R4_MC03	Chr03	341513	342753	606
MvSl-1064-A1-R4_MC03g04406	MvSl-1064-A1-R4_MC03	Chr03	342992	344919	1491
MvSl-1064-A1-R4_MC03g04407	MvSl-1064-A1-R4_MC03	Chr03	345081	347028	1077
MvSl-1064-A1-R4_MC03g04408	MvSl-1064-A1-R4_MC03	Chr03	347701	348675	741
MvSl-1064-A1-R4_MC03g04409	MvSl-1064-A1-R4_MC03	Chr03	348779	352146	3219
MvSl-1064-A1-R4_MC03g04410	MvSl-1064-A1-R4_MC03	Chr03	352499	356135	2700
MvSl-1064-A1-R4_MC03g04411	MvSl-1064-A1-R4_MC03	Chr03	356407	358705	1779
MvSl-1064-A1-R4_MC03g04412	MvSl-1064-A1-R4_MC03	Chr03	358974	359761	717
MvSl-1064-A1-R4_MC03g04413	MvSl-1064-A1-R4_MC03	Chr03	359879	361257	1020
MvSl-1064-A1-R4_MC03g04414	MvSl-1064-A1-R4_MC03	Chr03	361638	362526	546
MvSl-1064-A1-R4_MC03g04415	MvSl-1064-A1-R4_MC03	Chr03	362930	363362	273
MvSl-1064-A1-R4_MC03g04416	MvSl-1064-A1-R4_MC03	Chr03	364477	365226	681
MvSl-1064-A1-R4_MC03g04417	MvSl-1064-A1-R4_MC03	Chr03	365275	365544	270
MvSl-1064-A1-R4_MC03g04418	MvSl-1064-A1-R4_MC03	Chr03	365765	368469	2274
MvSl-1064-A1-R4_MC03g04419	MvSl-1064-A1-R4_MC03	Chr03	369074	371274	1656
MvSl-1064-A1-R4_MC03g04420	MvSl-1064-A1-R4_MC03	Chr03	372361	372902	291
MvSl-1064-A1-R4_MC03g04421	MvSl-1064-A1-R4_MC03	Chr03	373371	373777	342
MvSl-1064-A1-R4_MC03g04422	MvSl-1064-A1-R4_MC03	Chr03	374557	377776	2598
MvSl-1064-A1-R4_MC03g04423	MvSl-1064-A1-R4_MC03	Chr03	378025	379059	615
MvSl-1064-A1-R4_MC03g04424	MvSl-1064-A1-R4_MC03	Chr03	380380	384679	3702
MvSl-1064-A1-R4_MC03g04426	MvSl-1064-A1-R4_MC03	Chr03	389066	389522	213
MvSl-1064-A1-R4_MC03g04427	MvSl-1064-A1-R4_MC03	Chr03	389570	391739	2010
MvSl-1064-A1-R4_MC03g04428	MvSl-1064-A1-R4_MC03	Chr03	392213	393884	1413
MvSl-1064-A1-R4_MC03g04429	MvSl-1064-A1-R4_MC03	Chr03	396639	397263	555
MvSl-1064-A1-R4_MC03g04431	MvSl-1064-A1-R4_MC03	Chr03	398906	402124	2598
MvSl-1064-A1-R4_MC03g04433	MvSl-1064-A1-R4_MC03	Chr03	403096	404129	951
MvSl-1064-A1-R4_MC03g04434	MvSl-1064-A1-R4_MC03	Chr03	404345	405628	519
MvSl-1064-A1-R4_MC03g04435	MvSl-1064-A1-R4_MC03	Chr03	405806	407848	1740
MvSl-1064-A1-R4_MC03g04436	MvSl-1064-A1-R4_MC03	Chr03	408659	411202	2055
MvSl-1064-A1-R4_MC03g04437	MvSl-1064-A1-R4_MC03	Chr03	411479	415181	2685
MvSl-1064-A1-R4_MC03g04438	MvSl-1064-A1-R4_MC03	Chr03	415623	417847	1410
MvSl-1064-A1-R4_MC03g04439	MvSl-1064-A1-R4_MC03	Chr03	422838	425441	1893
MvSl-1064-A1-R4_MC03g04440	MvSl-1064-A1-R4_MC03	Chr03	426752	428683	1173
MvSl-1064-A1-R4_MC03g04442	MvSl-1064-A1-R4_MC03	Chr03	430098	433569	3033
MvSl-1064-A1-R4_MC03g04446	MvSl-1064-A1-R4_MC03	Chr03	436781	440531	2898
MvSl-1064-A1-R4_MC03g04448	MvSl-1064-A1-R4_MC03	Chr03	442323	445216	2667
MvSl-1064-A1-R4_MC03g04449	MvSl-1064-A1-R4_MC03	Chr03	445522	451260	4941
MvSl-1064-A1-R4_MC03g04450	MvSl-1064-A1-R4_MC03	Chr03	451783	452392	534
MvSl-1064-A1-R4_MC03g04451	MvSl-1064-A1-R4_MC03	Chr03	453449	455531	1824
MvSl-1064-A1-R4_MC03g04452	MvSl-1064-A1-R4_MC03	Chr03	456053	457563	1200
MvSl-1064-A1-R4_MC03g04453	MvSl-1064-A1-R4_MC03	Chr03	457974	458561	588
MvSl-1064-A1-R4_MC03g04454	MvSl-1064-A1-R4_MC03	Chr03	458630	459341	456
MvSl-1064-A1-R4_MC03g04455	MvSl-1064-A1-R4_MC03	Chr03	460932	462247	1083
MvSl-1064-A1-R4_MC03g04456	MvSl-1064-A1-R4_MC03	Chr03	462935	464532	1116
MvSl-1064-A1-R4_MC03g04457	MvSl-1064-A1-R4_MC03	Chr03	465638	467270	1026
MvSl-1064-A1-R4_MC03g04458	MvSl-1064-A1-R4_MC03	Chr03	467618	471525	3837
MvSl-1064-A1-R4_MC03g04459	MvSl-1064-A1-R4_MC03	Chr03	472638	474004	567
MvSl-1064-A1-R4_MC03g04460	MvSl-1064-A1-R4_MC03	Chr03	474354	477474	2814
MvSl-1064-A1-R4_MC03g04461	MvSl-1064-A1-R4_MC03	Chr03	477920	479913	1902
MvSl-1064-A1-R4_MC03g04462	MvSl-1064-A1-R4_MC03	Chr03	480596	482010	1002
MvSl-1064-A1-R4_MC03g04463	MvSl-1064-A1-R4_MC03	Chr03	483500	485026	864
MvSl-1064-A1-R4_MC03g04464	MvSl-1064-A1-R4_MC03	Chr03	487028	487757	438
MvSl-1064-A1-R4_MC03g04465	MvSl-1064-A1-R4_MC03	Chr03	488802	490444	1545
MvSl-1064-A1-R4_MC03g04466	MvSl-1064-A1-R4_MC03	Chr03	491082	492440	750
MvSl-1064-A1-R4_MC03g04467	MvSl-1064-A1-R4_MC03	Chr03	492559	493123	486
MvSl-1064-A1-R4_MC03g04468	MvSl-1064-A1-R4_MC03	Chr03	493712	494902	1086
MvSl-1064-A1-R4_MC03g04469	MvSl-1064-A1-R4_MC03	Chr03	495720	497046	1023
MvSl-1064-A1-R4_MC03g04470	MvSl-1064-A1-R4_MC03	Chr03	497574	500780	2208
MvSl-1064-A1-R4_MC03g04471	MvSl-1064-A1-R4_MC03	Chr03	501330	502240	735
MvSl-1064-A1-R4_MC03g04472	MvSl-1064-A1-R4_MC03	Chr03	502964	503855	723
MvSl-1064-A1-R4_MC03g04473	MvSl-1064-A1-R4_MC03	Chr03	505502	507484	1266
MvSl-1064-A1-R4_MC03g04474	MvSl-1064-A1-R4_MC03	Chr03	510545	510813	102
MvSl-1064-A1-R4_MC03g04475	MvSl-1064-A1-R4_MC03	Chr03	510861	511433	252
MvSl-1064-A1-R4_MC03g04476	MvSl-1064-A1-R4_MC03	Chr03	512151	514539	1572
MvSl-1064-A1-R4_MC03g04477	MvSl-1064-A1-R4_MC03	Chr03	515233	517965	1989
MvSl-1064-A1-R4_MC03g04478	MvSl-1064-A1-R4_MC03	Chr03	518874	522741	3717
MvSl-1064-A1-R4_MC03g04479	MvSl-1064-A1-R4_MC03	Chr03	524154	526676	2379
MvSl-1064-A1-R4_MC03g04480	MvSl-1064-A1-R4_MC03	Chr03	526875	529738	2094
MvSl-1064-A1-R4_MC03g04481	MvSl-1064-A1-R4_MC03	Chr03	530465	533423	2547
MvSl-1064-A1-R4_MC03g04482	MvSl-1064-A1-R4_MC03	Chr03	533954	535214	1056
MvSl-1064-A1-R4_MC03g04483	MvSl-1064-A1-R4_MC03	Chr03	535413	536606	879
MvSl-1064-A1-R4_MC03g04484	MvSl-1064-A1-R4_MC03	Chr03	536790	539315	2283
MvSl-1064-A1-R4_MC03g04485	MvSl-1064-A1-R4_MC03	Chr03	540321	540639	261
MvSl-1064-A1-R4_MC03g04486	MvSl-1064-A1-R4_MC03	Chr03	540932	542439	852
MvSl-1064-A1-R4_MC03g04487	MvSl-1064-A1-R4_MC03	Chr03	543113	550712	7197
MvSl-1064-A1-R4_MC03g04488	MvSl-1064-A1-R4_MC03	Chr03	551059	552081	504
MvSl-1064-A1-R4_MC03g04489	MvSl-1064-A1-R4_MC03	Chr03	552698	554124	1359
MvSl-1064-A1-R4_MC03g04490	MvSl-1064-A1-R4_MC03	Chr03	554897	557972	2595
MvSl-1064-A1-R4_MC03g04491	MvSl-1064-A1-R4_MC03	Chr03	558348	559291	846
MvSl-1064-A1-R4_MC03g04492	MvSl-1064-A1-R4_MC03	Chr03	559657	560886	1077
MvSl-1064-A1-R4_MC03g04493	MvSl-1064-A1-R4_MC03	Chr03	561445	564525	2157
MvSl-1064-A1-R4_MC03g04494	MvSl-1064-A1-R4_MC03	Chr03	565201	567476	1734
MvSl-1064-A1-R4_MC03g04495	MvSl-1064-A1-R4_MC03	Chr03	568466	569985	990
MvSl-1064-A1-R4_MC03g04496	MvSl-1064-A1-R4_MC03	Chr03	570589	571838	1104
MvSl-1064-A1-R4_MC03g04497	MvSl-1064-A1-R4_MC03	Chr03	574262	578998	4269
MvSl-1064-A1-R4_MC03g04498	MvSl-1064-A1-R4_MC03	Chr03	579257	581336	2001
MvSl-1064-A1-R4_MC03g04499	MvSl-1064-A1-R4_MC03	Chr03	582069	583595	864
MvSl-1064-A1-R4_MC03g04500	MvSl-1064-A1-R4_MC03	Chr03	584402	586066	1602
MvSl-1064-A1-R4_MC03g04501	MvSl-1064-A1-R4_MC03	Chr03	586508	589389	2742
MvSl-1064-A1-R4_MC03g04502	MvSl-1064-A1-R4_MC03	Chr03	590018	591935	1347
MvSl-1064-A1-R4_MC03g04503	MvSl-1064-A1-R4_MC03	Chr03	593023	593834	639
MvSl-1064-A1-R4_MC03g04504	MvSl-1064-A1-R4_MC03	Chr03	594224	595312	780
MvSl-1064-A1-R4_MC03g04505	MvSl-1064-A1-R4_MC03	Chr03	595559	596465	492
