gene	MintM1	MintM2	MintM3	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C002g01490	0	0	0	3750	3807
MinSal-1389-A1-17072018_C002g01491	1017	909	532	1870	1564
MinSal-1389-A1-17072018_C002g01492	3286	3166	1945	12284	12807
MinSal-1389-A1-17072018_C002g01493	213	251	218	3952	5513
MinSal-1389-A1-17072018_C002g01494	0	0	0	86	76
MinSal-1389-A1-17072018_C002g01495	7170	7423	4933	14099	13470
MinSal-1389-A1-17072018_C002g01496	0	2	0	3575	3785
MinSal-1389-A1-17072018_C002g01500	830	890	719	6690	6949
MinSal-1389-A1-17072018_C002g01501	401	610	227	919	640
MinSal-1389-A1-17072018_C002g01502	468	544	256	2345	2163
MinSal-1389-A1-17072018_C002g01503	0	0	0	3	1
MinSal-1389-A1-17072018_C002g01504	0	6	0	23	19
MinSal-1389-A1-17072018_C002g01505	4	5	4	191	249
MinSal-1389-A1-17072018_C002g01506	0	0	0	11	9
MinSal-1389-A1-17072018_C002g01507	222	305	220	48	46
MinSal-1389-A1-17072018_C002g01508	513	536	289	1681	1671
MinSal-1389-A1-17072018_C002g01509	0	0	0	98	113
MinSal-1389-A1-17072018_C002g01510	61	105	35	1018	1201
MinSal-1389-A1-17072018_C002g01511	1	1	0	350	309
MinSal-1389-A1-17072018_C002g01512	898	984	691	1712	2022
MinSal-1389-A1-17072018_C002g01516	1	0	0	821.102	807.642
MinSal-1389-A1-17072018_C002g01519	0	0	0	119.976	136.274
MinSal-1389-A1-17072018_C002g01522	34606	31594	24026	41477	40857
MinSal-1389-A1-17072018_C002g01523	1415	1605	907	6091	6928
MinSal-1389-A1-17072018_C002g01524	4959	4328	2921	3495	3522
MinSal-1389-A1-17072018_C002g01525	239	273	82	286	294
MinSal-1389-A1-17072018_C002g01528	14056	12117	11345	25055	34327
MinSal-1389-A1-17072018_C002g01529	0	0	0	1188	1710
MinSal-1389-A1-17072018_C002g01530	1120	1259	787	4159	3884
MinSal-1389-A1-17072018_C002g01531	0	0	0	27	26
MinSal-1389-A1-17072018_C002g01532	321	292	151	4391	4025
MinSal-1389-A1-17072018_C002g01534	1288	1145	1140	3708	5739
MinSal-1389-A1-17072018_C002g01535	1607	1707	1093	3226	4469
MinSal-1389-A1-17072018_C002g01536	58	73	40	649	766
MinSal-1389-A1-17072018_C002g01537	408	734	195	8374	8002
MinSal-1389-A1-17072018_C002g01538	0	0	0	3703	3997
MinSal-1389-A1-17072018_C002g01539	5246	5041	3169	2613	1916
MinSal-1389-A1-17072018_C002g01540	137	129	77	1711	1317
MinSal-1389-A1-17072018_C002g01541	1739	1490	1372	3913	3756
MinSal-1389-A1-17072018_C002g01543	390	545	222	1861	1441
MinSal-1389-A1-17072018_C002g01544	363	459	202	2941	2636
MinSal-1389-A1-17072018_C002g01547	1225	1442	827	4566	3706
MinSal-1389-A1-17072018_C002g01548	1	0	0	1432	1508
MinSal-1389-A1-17072018_C002g01549	0	0	0	174	127
MinSal-1389-A1-17072018_C002g01550	0	0	0	2530	3105
MinSal-1389-A1-17072018_C002g01552	0	0	0	1815	1264
MinSal-1389-A1-17072018_C002g01553	307	379	180	254	194
MinSal-1389-A1-17072018_C002g01555	349	323	334	2950	3913
MinSal-1389-A1-17072018_C002g01556	488	811	465	78	104
MinSal-1389-A1-17072018_C002g01557	368	483	250	1558.65	1001.82
MinSal-1389-A1-17072018_C002g01558	683	726	444	984	764
MinSal-1389-A1-17072018_C002g01559	253	300	127	2468	2181
MinSal-1389-A1-17072018_C002g01560	200	237	98	2027	1937
MinSal-1389-A1-17072018_C002g01561	592	650	425	660	573
MinSal-1389-A1-17072018_C002g01562	0	0	0	2554	2496
MinSal-1389-A1-17072018_C002g01583	285	297	134	4969	4486
MinSal-1389-A1-17072018_C002g01584	665	589	395	3470	3808
MinSal-1389-A1-17072018_C002g01585	7210	7609	4334	9991	13676
MinSal-1389-A1-17072018_C002g01586	388	566	225	1737	1433
MinSal-1389-A1-17072018_C002g01587	4085	4910	3313	190	226
MinSal-1389-A1-17072018_C002g01588	695	827	461	850	672
MinSal-1389-A1-17072018_C002g01589	91	92	59	1345	942
MinSal-1389-A1-17072018_C002g01590	265	257	162	5250	4125
MinSal-1389-A1-17072018_C002g01591	237.005	204	124.01	279	410
MinSal-1389-A1-17072018_C002g01592	0	0	0	131	181
MinSal-1389-A1-17072018_C002g01593	353	362	241	1412	1356
MinSal-1389-A1-17072018_C002g01594	368	516	200	4270	3180
MinSal-1389-A1-17072018_C002g01595	0	0	0	5	5
MinSal-1389-A1-17072018_C002g01596	0	0	0	7	14
MinSal-1389-A1-17072018_C002g01597	115	178	86	1488	1358
MinSal-1389-A1-17072018_C002g01599	225	286	200	2867	2427
MinSal-1389-A1-17072018_C002g01600	62	50	29	3455	3269
MinSal-1389-A1-17072018_C002g01601	114	188	66	2995	2620
MinSal-1389-A1-17072018_C002g01602	0	0	0	1535	1273
MinSal-1389-A1-17072018_C002g01603	1	0	0	1095	866
MinSal-1389-A1-17072018_C002g01604	225	311	134	1241	1034
MinSal-1389-A1-17072018_C002g01605	8.43021	4.53559	0	14	10.0046
MinSal-1389-A1-17072018_C002g01607	1182	882	711	487	375
MinSal-1389-A1-17072018_C002g01609	4185	3662	2546	6663	5725
MinSal-1389-A1-17072018_C002g01610	0	0	0	28	40
MinSal-1389-A1-17072018_C002g01613	0	0	0	2644	2996
MinSal-1389-A1-17072018_C002g01614	0	0	0	1383	1155
MinSal-1389-A1-17072018_C002g01615	0	0	0	569	412
MinSal-1389-A1-17072018_C002g01616	0	0	1	1695	1595
MinSal-1389-A1-17072018_C002g01620	0	0	0	8	13
MinSal-1389-A1-17072018_C002g01625	0	0	0	2666	2732
MinSal-1389-A1-17072018_C002g01626	370	340	220	2543	2859
MinSal-1389-A1-17072018_C002g01627	1	0	0	1914	1712
MinSal-1389-A1-17072018_C002g01628	162	152	119	752	764
MinSal-1389-A1-17072018_C002g01629	315	381	278	19646	22047
MinSal-1389-A1-17072018_C002g01630	0	0	0	10144	13531
MinSal-1389-A1-17072018_C002g01631	0	0	0	2215	2682
MinSal-1389-A1-17072018_C002g01632	0	0	0	604	666
MinSal-1389-A1-17072018_C002g01633	1114	1434	627	1831	1676
MinSal-1389-A1-17072018_C002g01635	307	369	204	1187	1328
MinSal-1389-A1-17072018_C002g01636	2	2	0	1376	1500
MinSal-1389-A1-17072018_C002g01637	0	0	0	1957	2712
MinSal-1389-A1-17072018_C002g01638	0	2	0	10040	8692
MinSal-1389-A1-17072018_C002g01639	618	589	324	1854	1777
MinSal-1389-A1-17072018_C002g01640	794	680	389	694	450
MinSal-1389-A1-17072018_C002g01641	1668	1906	866	2379	2204
MinSal-1389-A1-17072018_C002g01642	608	570	335	1136	1382
MinSal-1389-A1-17072018_C002g01643	2	1	0	3259	2818
MinSal-1389-A1-17072018_C002g01644	1	0	1	1941	1878
MinSal-1389-A1-17072018_C002g01645	1	0	0	774	697
MinSal-1389-A1-17072018_C002g01646	0	0	0	808	524
MinSal-1389-A1-17072018_C002g01647	887	912	463	2255	1821
MinSal-1389-A1-17072018_C002g01648	709	585	712	2874	3272
MinSal-1389-A1-17072018_C002g01649	333	294	220	2111	1511
MinSal-1389-A1-17072018_C002g01650	209	213	94	421	416
MinSal-1389-A1-17072018_C002g01651	369	470	129	1112	1223
MinSal-1389-A1-17072018_C002g01652	963	788	869	6648	7614
MinSal-1389-A1-17072018_C002g01653	421	450	269	1889	2067
MinSal-1389-A1-17072018_C002g01654	606	542	412	457	485
MinSal-1389-A1-17072018_C002g01655	1114	866	1037	1431	3713
MinSal-1389-A1-17072018_C002g01656	541	537	595	4487	5352
MinSal-1389-A1-17072018_C002g01657	0	0	0	157	139
MinSal-1389-A1-17072018_C002g01658	1075	1362	731	2433	1983
MinSal-1389-A1-17072018_C002g01659	484	608	269	2436	2025
MinSal-1389-A1-17072018_C002g01660	70	83	47	2671	2456
MinSal-1389-A1-17072018_C002g01661	124.465	181.441	77.3093	536	516
MinSal-1389-A1-17072018_C002g01662	0	0	0	612	518
MinSal-1389-A1-17072018_C002g01663	0	0	0	0	1
MinSal-1389-A1-17072018_C002g01664	1	0	0	75	70
MinSal-1389-A1-17072018_C002g01665	32	39	20	267	242
MinSal-1389-A1-17072018_C002g01666	0	0	0	3349	2771
MinSal-1389-A1-17072018_C002g01669	328	308	168	2628	2672
MinSal-1389-A1-17072018_C002g01670	0	0	0	5310	6990
MinSal-1389-A1-17072018_C002g01671	0	0	0	1144	1566
MinSal-1389-A1-17072018_C002g01672	13	3	6	25	43
MinSal-1389-A1-17072018_C002g01673	0	0	0	791	878
MinSal-1389-A1-17072018_C002g01674	0	0	0	765	683
MinSal-1389-A1-17072018_C002g01675	5	1	0	635	787
MinSal-1389-A1-17072018_C002g01676	112	181	116	3465	2541
MinSal-1389-A1-17072018_C002g01677	372	290	200	988	677
MinSal-1389-A1-17072018_C002g01678	3143	3701	1317	4369	2992
MinSal-1389-A1-17072018_C002g01679	291	377	185	1242	836
MinSal-1389-A1-17072018_C002g01682	3	0	0	123808	122585
MinSal-1389-A1-17072018_C002g01683	1990	1311.47	1241	572	511
MinSal-1389-A1-17072018_C002g01684	0	0	0	583	604
MinSal-1389-A1-17072018_C002g01685	8461	9903	6281	5489	6218
MinSal-1389-A1-17072018_C002g01687	249	361	156	1326	1220
MinSal-1389-A1-17072018_C002g01688	146	242	86	945	1072
MinSal-1389-A1-17072018_C002g01689	527	415	276	1649	1394
MinSal-1389-A1-17072018_C002g01690	21429	28974	17731	29408	31322
MinSal-1389-A1-17072018_C002g01692	103	114	124	596	738
MinSal-1389-A1-17072018_C002g01693	27	32	11	16	9
MinSal-1389-A1-17072018_C002g01694	0	1	0	1998	2045
MinSal-1389-A1-17072018_C002g01695	545	551	318	1307	1059
MinSal-1389-A1-17072018_C002g01696	277.625	253.4	183.882	367	728
MinSal-1389-A1-17072018_C002g01697	1296	1695	879	2297	1729
MinSal-1389-A1-17072018_C002g01698	206	182	190	1253	2265
MinSal-1389-A1-17072018_C002g01699	0	2	0	710	686
MinSal-1389-A1-17072018_C002g01700	13332	15515	7921	3561	2005
MinSal-1389-A1-17072018_C002g01701	7082	7976	3794	2214	1490
MinSal-1389-A1-17072018_C002g01702	0	0	0	1753	1516
MinSal-1389-A1-17072018_C002g01703	0	0	0	1743	1739
MinSal-1389-A1-17072018_C002g01704	1	0	0	1764	1504
MinSal-1389-A1-17072018_C002g01705	212	263	160	3043	2967
MinSal-1389-A1-17072018_C002g01706	0	0	0	674	932
MinSal-1389-A1-17072018_C002g01708	263	325	121	636	729
MinSal-1389-A1-17072018_C002g01710	0	0	0	2308	2451
MinSal-1389-A1-17072018_C002g01711	588	673	446	7974	7735
MinSal-1389-A1-17072018_C002g01712	0	1	0	2051	2060
MinSal-1389-A1-17072018_C002g01713	0	0	0	541	376
MinSal-1389-A1-17072018_C002g01714	502	347	329	439	368
MinSal-1389-A1-17072018_C002g01718	1.09216	0	0	64	43.7408
MinSal-1389-A1-17072018_C002g01719	0	0	0	802	794
MinSal-1389-A1-17072018_C002g01720	2370	2344	1384	4179	3033
MinSal-1389-A1-17072018_C002g01723	232	267	125	575	475
MinSal-1389-A1-17072018_C002g01724	171	172	107	998	808
MinSal-1389-A1-17072018_C002g01725	0	0	0	1340	1298
MinSal-1389-A1-17072018_C002g01726	70	125	33	3838	4053
MinSal-1389-A1-17072018_C002g01727	873	1026	626	3166	2159
MinSal-1389-A1-17072018_C002g01728	0	0	0	1411	1128
MinSal-1389-A1-17072018_C002g01729	4316	5649	4233	11135	9729
MinSal-1389-A1-17072018_C002g01730	913.518	879.705	597.953	62	47
MinSal-1389-A1-17072018_C002g01731	0	1	0	850	688
MinSal-1389-A1-17072018_C002g01732	39	52	29	1706	1708
MinSal-1389-A1-17072018_C002g01733	3687	4408	2147	1917	1495
MinSal-1389-A1-17072018_C002g01734	0	0	0	9	6
MinSal-1389-A1-17072018_C002g01736	323	461	173	3331	3651
MinSal-1389-A1-17072018_C002g01737	50.1912	67.4528	33.1827	1926	1782
MinSal-1389-A1-17072018_C002g01738	0	2	0	1736	1664
MinSal-1389-A1-17072018_C002g01740	557	672	423	995	849
MinSal-1389-A1-17072018_C002g01741	1	0	0	917	859
MinSal-1389-A1-17072018_C002g01742	1	0	0	165	115
MinSal-1389-A1-17072018_C002g01743	218	172	135	99	32
MinSal-1389-A1-17072018_C002g01744	0	0	0	16	4
MinSal-1389-A1-17072018_C002g01745	156	160	78	1248	978
MinSal-1389-A1-17072018_C002g01746	0	0	1	341	245
MinSal-1389-A1-17072018_C002g01747	0	0	0	1045	1009
MinSal-1389-A1-17072018_C002g01748	0	0	0	2	1
MinSal-1389-A1-17072018_C002g01749	2773	3852	2107	9218	12388
MinSal-1389-A1-17072018_C002g01750	6457	4691	6253	25204	47564
MinSal-1389-A1-17072018_C002g01751	223	208	154	1100	1775
MinSal-1389-A1-17072018_C002g01752	820	524	849	6746	10066
MinSal-1389-A1-17072018_C002g01753	330	333	195	2327	2159
MinSal-1389-A1-17072018_C002g01754	7869	3616	7024	1252	1760
MinSal-1389-A1-17072018_C002g01755	152	126	68	2893	3921
MinSal-1389-A1-17072018_C002g01756	1089	1346	743	4719	4940
MinSal-1389-A1-17072018_C002g01758	335	351	137	3420	3085
MinSal-1389-A1-17072018_C002g01759	38	20	12	184	123
MinSal-1389-A1-17072018_C002g01760	17	7	7	67	65
MinSal-1389-A1-17072018_C002g01761	90	140	41	838	812
MinSal-1389-A1-17072018_C002g01763	557	513	337	1475	1105
MinSal-1389-A1-17072018_C002g01764	40	81	36	117	89
MinSal-1389-A1-17072018_C002g01765	0	0	1	427	214
MinSal-1389-A1-17072018_C002g01766	1093	1094	676	2211	1878
MinSal-1389-A1-17072018_C002g01767	657	582	487	1612	1607
MinSal-1389-A1-17072018_C002g01768	397	314	385	1799	1711
MinSal-1389-A1-17072018_C002g01769	3515	4302	2053	6676	7481
MinSal-1389-A1-17072018_C002g01770	2572	2525	1613	2699	2641
MinSal-1389-A1-17072018_C002g01771	6379	7263	4678	8426	6228
MinSal-1389-A1-17072018_C002g01772	1375	1853	670	835	883
MinSal-1389-A1-17072018_C002g01773	297	322	173	3793	3906
MinSal-1389-A1-17072018_C002g01775	361	328	285	2979	2809
MinSal-1389-A1-17072018_C002g01776	469	607	339	1227	813
MinSal-1389-A1-17072018_C002g01777	6514	6207	3857	2923	2391
MinSal-1389-A1-17072018_C002g01780	0	0	0	621	533
MinSal-1389-A1-17072018_C002g01781	100	114	29	354	271
MinSal-1389-A1-17072018_C002g01783	572	594	230	447	369
MinSal-1389-A1-17072018_C002g01784	1051	1144	470	2202	1900
MinSal-1389-A1-17072018_C002g01787	313	359	250	1812	1872
MinSal-1389-A1-17072018_C002g01790	0	0	0	110.952	189.105
MinSal-1389-A1-17072018_C002g01794	541	588	300	399	352
MinSal-1389-A1-17072018_C002g01795	845.775	1036.95	523.494	1529	1149
MinSal-1389-A1-17072018_C002g01796	3698	4236	1873	2347	1521
MinSal-1389-A1-17072018_C002g01797	4961	5895	2564	3169	1993
MinSal-1389-A1-17072018_C002g01798	961	1505	742	9626	7147
MinSal-1389-A1-17072018_C002g01799	0	2	0	2026	1906
MinSal-1389-A1-17072018_C002g01800	672	720	227	531	860
MinSal-1389-A1-17072018_C002g01801	2	0	0	4434	5301
MinSal-1389-A1-17072018_C002g01802	1	1	0	982	1360
MinSal-1389-A1-17072018_C002g01803	81	113	55	2512	2466
MinSal-1389-A1-17072018_C002g01804	2642	2962	1621	2861	2253
MinSal-1389-A1-17072018_C002g01805	795	968	464	4156	4462
MinSal-1389-A1-17072018_C002g01806	409	494	195	962	855
MinSal-1389-A1-17072018_C002g01807	447	578	332	1458	990
MinSal-1389-A1-17072018_C002g01808	0	0	0	2292	1979
MinSal-1389-A1-17072018_C002g01809	19	11	8	34447	36656
MinSal-1389-A1-17072018_C002g01810	7474	7235	1510	2032	1600
MinSal-1389-A1-17072018_C002g01811	9733	8511	6408	20852	22691
MinSal-1389-A1-17072018_C002g01812	155	177	69	294	271
MinSal-1389-A1-17072018_C002g01813	0	0	0	389	363
MinSal-1389-A1-17072018_C002g01814	2583	2641	1320	3562	3547
MinSal-1389-A1-17072018_C002g01815	794	865	325	1394	1205
MinSal-1389-A1-17072018_C002g01816	0	0	0	59.9349	36.2602
MinSal-1389-A1-17072018_C002g01817	88	94	50	1479	1477
MinSal-1389-A1-17072018_C002g01818	824	796	476	2196	2160
MinSal-1389-A1-17072018_C002g01819	295	350	225	2334	2260
MinSal-1389-A1-17072018_C002g01820	0	0	0	1	0
MinSal-1389-A1-17072018_C002g01822	1	0	0	915	842
MinSal-1389-A1-17072018_C002g01823	0	0	0	2719	3218
MinSal-1389-A1-17072018_C002g01824	491	483	347	1272	846
MinSal-1389-A1-17072018_C002g01825	0	0	0	867	655
MinSal-1389-A1-17072018_C002g01826	0	0	0	1609	1370
MinSal-1389-A1-17072018_C002g01827	124	210	165	3108	2610
MinSal-1389-A1-17072018_C002g01828	262	329	212	4643	4732
MinSal-1389-A1-17072018_C002g01829	221	287	110	3453	3290
MinSal-1389-A1-17072018_C002g01830	1	0	0	4883	4073
MinSal-1389-A1-17072018_C002g01831	129	79	73	717	650
MinSal-1389-A1-17072018_C002g01832	763	794	396	11175	12292
MinSal-1389-A1-17072018_C002g01833	257	336	149	2057	2494
MinSal-1389-A1-17072018_C002g01834	0	0	0	711	854
MinSal-1389-A1-17072018_C002g01835	0	0	0	1201	1321
MinSal-1389-A1-17072018_C002g01836	0	0	0	56.9917	60.4512
MinSal-1389-A1-17072018_C002g01837	0	0	0	84.3608	93.2337
MinSal-1389-A1-17072018_C002g01843	0	0	0	19606	15149
MinSal-1389-A1-17072018_C002g01846	368	565	269	1867	1496
MinSal-1389-A1-17072018_C002g01847	1347	1527	535	1196	898
MinSal-1389-A1-17072018_C002g01850	749	909	328	390	342
MinSal-1389-A1-17072018_C002g01853	367	283	359	1555	2511
MinSal-1389-A1-17072018_C002g01860	0	0	0	6.88389	11.2361
MinSal-1389-A1-17072018_C002g01861	82	165	34	428	449
MinSal-1389-A1-17072018_C002g01862	119	142	41	4344	4418
MinSal-1389-A1-17072018_C002g01863	1356	1347	709	2079	1937
MinSal-1389-A1-17072018_C002g01864	0	0	0	1847	1768
MinSal-1389-A1-17072018_C002g01865	1	0	0	6523	6158
MinSal-1389-A1-17072018_C002g01866	1895	1942	1200	2453	2251
MinSal-1389-A1-17072018_C002g01867	0	0	0	295.515	285.627
MinSal-1389-A1-17072018_C002g01869	0	0	0	63.3485	95.7782
MinSal-1389-A1-17072018_C002g01872	3755	4698	1458	4006	4366
MinSal-1389-A1-17072018_C002g01873	0	3	0	60	59
MinSal-1389-A1-17072018_C002g01874	0	0	0	10	14
MinSal-1389-A1-17072018_C002g01875	0	0	0	13	19
MinSal-1389-A1-17072018_C002g01876	325	382	172	2985	2684
MinSal-1389-A1-17072018_C002g01877	1604	1559	1059	1476	1366
MinSal-1389-A1-17072018_C002g01878	0	0	0	689	571
MinSal-1389-A1-17072018_C002g01879	0	0	0	362	190
MinSal-1389-A1-17072018_C002g01880	659	745	582	5492	3833
MinSal-1389-A1-17072018_C002g01881	32	34	10	1207	1071
MinSal-1389-A1-17072018_C002g01882	0	0	0	27	12
MinSal-1389-A1-17072018_C002g01884	0	3	0	312	436
MinSal-1389-A1-17072018_C002g01885	314	349	180	845	1373
MinSal-1389-A1-17072018_C002g01886	82	108	54	398	339
MinSal-1389-A1-17072018_C002g01887	427	346	187	482	484
MinSal-1389-A1-17072018_C002g01888	0	0	0	1331	1127
MinSal-1389-A1-17072018_C002g01890	1842	1780	1254	6788	5662
MinSal-1389-A1-17072018_C002g01891	0	0	0	10806	13382
MinSal-1389-A1-17072018_C002g01892	85	155	91	205	286
MinSal-1389-A1-17072018_C002g01893	5480	7905	2678	12622	13945
MinSal-1389-A1-17072018_C002g01894	145	235	121	3099	2210
MinSal-1389-A1-17072018_C002g01895	3028	2254	2798	29868	28109
MinSal-1389-A1-17072018_C002g01896	821	646	410	2850	2522
MinSal-1389-A1-17072018_C002g01897	0	0	0	754	790
MinSal-1389-A1-17072018_C002g01898	0	1	0	6081	6713
MinSal-1389-A1-17072018_C002g01899	1618	1856	691	1844	2201
MinSal-1389-A1-17072018_C002g01900	144	156	108	857	665
MinSal-1389-A1-17072018_C002g01904	4516	5017	3405	5608	5135
MinSal-1389-A1-17072018_C002g01905	1	0	1	538	447
MinSal-1389-A1-17072018_C002g01906	0	0	0	843.125	893.085
MinSal-1389-A1-17072018_C002g01913	0	0	0	784	899
MinSal-1389-A1-17072018_C002g01915	0	0	0	2657	1947
MinSal-1389-A1-17072018_C002g01916	969	1246	641	6228	3907
MinSal-1389-A1-17072018_C002g01918	0	0	0	1129.25	962.231
MinSal-1389-A1-17072018_C002g01919	0	0	0	731	795
MinSal-1389-A1-17072018_C002g01921	1498	1852	978	1729	1488
MinSal-1389-A1-17072018_C002g01922	2221	2526	547	795	514
MinSal-1389-A1-17072018_C002g01923	0	0	0	3485	3478
MinSal-1389-A1-17072018_C002g01924	0	0	0	76	83.0274
MinSal-1389-A1-17072018_C002g01934	1844	2095	1066	3888	2952
MinSal-1389-A1-17072018_C002g01935	0	0	1	1845	1775
MinSal-1389-A1-17072018_C002g01936	0	0	0	12623.1	11336.1
MinSal-1389-A1-17072018_C002g01938	0	0	0	45	20
MinSal-1389-A1-17072018_C002g01939	167	186	154	1102	1101
MinSal-1389-A1-17072018_C002g01940	895	950	586	1878	1681
MinSal-1389-A1-17072018_C002g01941	319	331	203	2553	2243
MinSal-1389-A1-17072018_C002g01942	1785	2026	1329	12727	11562
MinSal-1389-A1-17072018_C002g01952	0	0	0	282	257
MinSal-1389-A1-17072018_C002g01955	0	0	0	417	375
MinSal-1389-A1-17072018_C002g01956	0	0	0	743	601
MinSal-1389-A1-17072018_C002g01957	2618	1883	1308	3770	3735
MinSal-1389-A1-17072018_C002g01958	192	323	156	3876	3429
MinSal-1389-A1-17072018_C002g01959	189	197	170	455	268
MinSal-1389-A1-17072018_C003g01970	727	917	446	5742	4984
MinSal-1389-A1-17072018_C003g01971	0	0	0	1376	1143
MinSal-1389-A1-17072018_C003g01972	3	2	3	1999	1722
MinSal-1389-A1-17072018_C003g01973	338	406	253	1810	1563
MinSal-1389-A1-17072018_C003g01975	3212	3567	2822	23332	26919
MinSal-1389-A1-17072018_C003g01976	0	0	0	189	165
MinSal-1389-A1-17072018_C003g01977	495	496	180	1328	1511
MinSal-1389-A1-17072018_C003g01978	0	0	0	3264	2667
MinSal-1389-A1-17072018_C003g01981	0	0	0	209	258
MinSal-1389-A1-17072018_C003g01982	2	0	0	1974.84	1973.29
MinSal-1389-A1-17072018_C003g01983	0	1	0	891	1170
MinSal-1389-A1-17072018_C003g01984	407	501	168	173	166
MinSal-1389-A1-17072018_C003g01985	0	0	0	409	544
MinSal-1389-A1-17072018_C003g01987	0	0	0	121	111
MinSal-1389-A1-17072018_C003g01988	0	1	0	2049	1643
MinSal-1389-A1-17072018_C003g01989	534	559	322	1131	680
MinSal-1389-A1-17072018_C003g01990	0	0	0	7030.18	7071.43
MinSal-1389-A1-17072018_C003g01994	243	396	178	2826.9	2239.13
MinSal-1389-A1-17072018_C003g01995	0	2	0	883	732
MinSal-1389-A1-17072018_C003g01996	497	706	365	2856	2614
MinSal-1389-A1-17072018_C003g01997	3918	2769	1393	9235	9549
MinSal-1389-A1-17072018_C003g02000	7067	7584	3592	8174	7718
MinSal-1389-A1-17072018_C003g02002	1752	1853	1273	3339	2686
MinSal-1389-A1-17072018_C003g02003	1	0	0	519	994
MinSal-1389-A1-17072018_C003g02005	1054	885	705	4767	3949
MinSal-1389-A1-17072018_C003g02006	1977	1941	1214	343	256
MinSal-1389-A1-17072018_C003g02007	1195	1166	827	891	743
MinSal-1389-A1-17072018_C003g02008	33421	20412	27419	12592	16325
MinSal-1389-A1-17072018_C003g02009	0	1	0	2344.61	2563.23
MinSal-1389-A1-17072018_C003g02010	227	216	202	1841	1501
MinSal-1389-A1-17072018_C003g02011	195	221	103	1541	905
MinSal-1389-A1-17072018_C003g02012	2589	3114	1718	629	295
MinSal-1389-A1-17072018_C003g02013	351	374	122	639	411
MinSal-1389-A1-17072018_C003g02015	1	0	6	3745	2341
MinSal-1389-A1-17072018_C003g02016	0	0	0	459	524
MinSal-1389-A1-17072018_C003g02017	3066	3097	1601	3353	2486
MinSal-1389-A1-17072018_C003g02018	434	571	175	910	1367
MinSal-1389-A1-17072018_C003g02019	10311	10175	6257	6332	4936
MinSal-1389-A1-17072018_C003g02020	688	982	550	11840	11373
MinSal-1389-A1-17072018_C003g02021	0	0	0	388	358
MinSal-1389-A1-17072018_C003g02022	306.419	365	185	18326	23257
MinSal-1389-A1-17072018_C003g02023	0	0	0	1913	2986
MinSal-1389-A1-17072018_C003g02024	789	941	558	2092	2300
MinSal-1389-A1-17072018_C003g02025	764	1138	657	611	473
MinSal-1389-A1-17072018_C003g02026	107	160	97	753	530
MinSal-1389-A1-17072018_C003g02027	2650	3107	1442	3753	3032
MinSal-1389-A1-17072018_C003g02028	401	334	184	1030	671
MinSal-1389-A1-17072018_C003g02029	43	28	29	667	688
MinSal-1389-A1-17072018_C003g02030	18	41	37	1917	1624
MinSal-1389-A1-17072018_C003g02031	299	323	70	118709	70361
MinSal-1389-A1-17072018_C003g02032	729	863	501	8748	10512
MinSal-1389-A1-17072018_C003g02033	256	338	148	5819	4106
MinSal-1389-A1-17072018_C003g02034	545	461	407	1049	831
MinSal-1389-A1-17072018_C003g02035	1519	1666	1073	5842	6407
MinSal-1389-A1-17072018_C003g02036	75	66	83	1647	646
MinSal-1389-A1-17072018_C003g02037	204	238	62	599	582
MinSal-1389-A1-17072018_C003g02038	273	300	95	683	1057
MinSal-1389-A1-17072018_C003g02039	0	0	0	875	689
MinSal-1389-A1-17072018_C003g02040	775	679	323	204	216
MinSal-1389-A1-17072018_C003g02041	826	1144	346	2557	1759
MinSal-1389-A1-17072018_C003g02042	3282	4214	1945	6387	6199
MinSal-1389-A1-17072018_C003g02045	201	204	85	952	929
MinSal-1389-A1-17072018_C003g02046	69	89	70	749	758
MinSal-1389-A1-17072018_C003g02048	1	0	0	894	760
MinSal-1389-A1-17072018_C003g02049	146	164	102	1788	1402
MinSal-1389-A1-17072018_C003g02052	133	152	66	461	606
MinSal-1389-A1-17072018_C003g02054	0	1	0	4003	4105
MinSal-1389-A1-17072018_C003g02055	0	0	0	340	555
MinSal-1389-A1-17072018_C003g02056	254	219	281	567	1151
MinSal-1389-A1-17072018_C003g02057	926	1280	781	3175.41	2437.43
MinSal-1389-A1-17072018_C003g02058	0	0	0	263	306
MinSal-1389-A1-17072018_C003g02059	3046	3285	1530	2629	2477
MinSal-1389-A1-17072018_C003g02060	2995	3697	2030	3039	2658
MinSal-1389-A1-17072018_C003g02061	31591	30847	23432	57548	61475
MinSal-1389-A1-17072018_C003g02062	0	0	0	1307	1180
MinSal-1389-A1-17072018_C003g02063	4560	5469	3126	1670	1782
MinSal-1389-A1-17072018_C003g02064	123	128	78	315	275
MinSal-1389-A1-17072018_C003g02065	0	0	0	854	772
MinSal-1389-A1-17072018_C003g02066	64	57	57	661	479
MinSal-1389-A1-17072018_C003g02067	0	0	0	554	420
MinSal-1389-A1-17072018_C003g02068	349	308	137	807	803
MinSal-1389-A1-17072018_C003g02069	1	1	1	1432	1372
MinSal-1389-A1-17072018_C003g02070	778	751	627	1825	1846
MinSal-1389-A1-17072018_C003g02071	2132	1675	1250	1272	924
MinSal-1389-A1-17072018_C003g02072	1683	1877	1011	5399	5678
MinSal-1389-A1-17072018_C003g02073	679	1001	356	2833	2674
