gene	S1_A2	S2_A2
MvSl-1064-A2-R4_A2g01360	37.3067	50.7661
MvSl-1064-A2-R4_A2g01361	18.6478	5.4425
MvSl-1064-A2-R4_A2g01362	0	0
MvSl-1064-A2-R4_A2g01363	10.1387	17.1424
MvSl-1064-A2-R4_A2g01364	64.2823	48.48
MvSl-1064-A2-R4_A2g01365	3.04635	3.69456
MvSl-1064-A2-R4_A2g01366	78.5682	88.1284
MvSl-1064-A2-R4_A2g01367	0	0
MvSl-1064-A2-R4_A2g01368	11.151	11.1806
MvSl-1064-A2-R4_A2g01369	481.663	525.428
MvSl-1064-A2-R4_A2g01370	9.18112	2.49578
MvSl-1064-A2-R4_A2g01371	18.2792	36.3338
MvSl-1064-A2-R4_A2g01372	0	0
MvSl-1064-A2-R4_A2g01373	0	0
MvSl-1064-A2-R4_A2g01374	1	0
MvSl-1064-A2-R4_A2g01375	2.02927	4.03496
MvSl-1064-A2-R4_A2g01376	110.087	154.416
MvSl-1064-A2-R4_A2g01377	1.95008	0
MvSl-1064-A2-R4_A2g01378	13.1393	31.4089
MvSl-1064-A2-R4_A2g01379	114	159.83
MvSl-1064-A2-R4_A2g01380	3	3.03273
MvSl-1064-A2-R4_A2g01381	0	7.68031
MvSl-1064-A2-R4_A2g01382	2732	2528
MvSl-1064-A2-R4_A2g01383	765.913	1031.4
MvSl-1064-A2-R4_A2g01384	193.394	206.709
MvSl-1064-A2-R4_A2g01385	50.9975	27.7729
MvSl-1064-A2-R4_A2g01386	57.6629	72.5656
MvSl-1064-A2-R4_A2g01387	32413	31001
MvSl-1064-A2-R4_A2g01388	3876	4406
MvSl-1064-A2-R4_A2g01389	905.025	921.76
MvSl-1064-A2-R4_A2g01390	1573.91	1734.08
MvSl-1064-A2-R4_A2g01391	45	47
MvSl-1064-A2-R4_A2g01392	1536	1348
MvSl-1064-A2-R4_A2g01393	3882	4459
MvSl-1064-A2-R4_A2g01394	5148	5588
MvSl-1064-A2-R4_A2g01395	6815	10569
MvSl-1064-A2-R4_A2g01396	173.693	129.963
MvSl-1064-A2-R4_A2g01397	107.017	95.9906
MvSl-1064-A2-R4_A2g01398	0	0
MvSl-1064-A2-R4_A2g01399	0	0
MvSl-1064-A2-R4_A2g01400	913.215	621.551
MvSl-1064-A2-R4_A2g01401	3	2
MvSl-1064-A2-R4_A2g01402	154.456	299.742
MvSl-1064-A2-R4_A2g01403	9.00652	8.00316
MvSl-1064-A2-R4_A2g01404	456.303	557.211
MvSl-1064-A2-R4_A2g01405	194.994	223.351
MvSl-1064-A2-R4_A2g01406	174.462	177.329
MvSl-1064-A2-R4_A2g01407	1063.34	1320.06
MvSl-1064-A2-R4_A2g01408	64.3655	101.35
MvSl-1064-A2-R4_A2g01409	1267.63	1273.8
MvSl-1064-A2-R4_A2g01410	702.654	1189.47
MvSl-1064-A2-R4_A2g01411	270.211	404.798
MvSl-1064-A2-R4_A2g01412	4990.36	7488.72
MvSl-1064-A2-R4_A2g01413	1066.87	1330.89
MvSl-1064-A2-R4_A2g01414	174.505	188.033
MvSl-1064-A2-R4_A2g01415	5.07866	0
MvSl-1064-A2-R4_A2g01416	4	1.02261
MvSl-1064-A2-R4_A2g01417	139.512	170.575
MvSl-1064-A2-R4_A2g01418	7.37165	6.10705
MvSl-1064-A2-R4_A2g01419	18157	12257
MvSl-1064-A2-R4_A2g01420	461.088	459.639
MvSl-1064-A2-R4_A2g01421	140.353	133.897
MvSl-1064-A2-R4_A2g01422	29.0493	35.2751
MvSl-1064-A2-R4_A2g01423	69.505	75.5757
MvSl-1064-A2-R4_A2g01424	5429.28	5703.3
MvSl-1064-A2-R4_A2g01425	58.3049	66.3515
MvSl-1064-A2-R4_A2g01426	4803.32	6317.83
MvSl-1064-A2-R4_A2g01427	78.9967	66.4926
MvSl-1064-A2-R4_A2g01428	120.585	128.33
MvSl-1064-A2-R4_A2g01429	48.04	60.0789
MvSl-1064-A2-R4_A2g01430	1082.23	1017.03
MvSl-1064-A2-R4_A2g01431	4750	4261
MvSl-1064-A2-R4_A2g01432	572	759
MvSl-1064-A2-R4_A2g01433	1087.39	1458.92
MvSl-1064-A2-R4_A2g01434	1473.39	1532.03
MvSl-1064-A2-R4_A2g01435	5.68603	27.9868
MvSl-1064-A2-R4_A2g01436	4.85792	2.03551
MvSl-1064-A2-R4_A2g01437	67.2443	68.1142
MvSl-1064-A2-R4_A2g01438	2.63822	0.161326
MvSl-1064-A2-R4_A2g01439	29.2512	29.597
MvSl-1064-A2-R4_A2g01440	24.8246	22.0403
MvSl-1064-A2-R4_A2g01441	1525.6	1250
MvSl-1064-A2-R4_A2g01442	63.3385	75.455
MvSl-1064-A2-R4_A2g01443	0	0
MvSl-1064-A2-R4_A2g01444	64.8939	41.3766
MvSl-1064-A2-R4_A2g01445	747.01	833.813
MvSl-1064-A2-R4_A2g01446	291	335
MvSl-1064-A2-R4_A2g01447	2929	2748
MvSl-1064-A2-R4_A2g01448	30.4214	40.583
MvSl-1064-A2-R4_A2g01449	100.64	194.819
MvSl-1064-A2-R4_A2g01450	280.868	485.705
MvSl-1064-A2-R4_A2g01451	1781	3603.81
MvSl-1064-A2-R4_A2g01452	61.2279	46.3661
MvSl-1064-A2-R4_A2g01453	86.3157	65.3468
MvSl-1064-A2-R4_A2g01454	0	1
MvSl-1064-A2-R4_A2g01455	935.804	671.898
MvSl-1064-A2-R4_A2g01456	80.9532	65.6566
MvSl-1064-A2-R4_A2g01457	30.7278	5.172
MvSl-1064-A2-R4_A2g01458	0	0
MvSl-1064-A2-R4_A2g01459	10.7137	12.4617
MvSl-1064-A2-R4_A2g01460	5.85312	4.51267
MvSl-1064-A2-R4_A2g01461	101.015	90.3885
MvSl-1064-A2-R4_A2g01462	20.8447	16.4893
MvSl-1064-A2-R4_A2g01463	49.3932	61.3656
MvSl-1064-A2-R4_A2g01464	48.8107	54.7051
MvSl-1064-A2-R4_A2g01465	6.3652	1.51891
MvSl-1064-A2-R4_A2g01466	4.13978	10.5028
MvSl-1064-A2-R4_A2g01467	0	2
MvSl-1064-A2-R4_A2g01468	12.9969	49.5408
MvSl-1064-A2-R4_A2g01469	11.1969	9.51231
MvSl-1064-A2-R4_A2g01470	205.511	211.583
MvSl-1064-A2-R4_A2g01471	0.333333	0
MvSl-1064-A2-R4_A2g01472	12.5119	35.2012
MvSl-1064-A2-R4_A2g01473	95.1387	97.8305
MvSl-1064-A2-R4_A2g01474	6.3452	7.24955
MvSl-1064-A2-R4_A2g01475	69.5734	82.6464
MvSl-1064-A2-R4_A2g01476	374.11	458.862
MvSl-1064-A2-R4_A2g01477	1094	1055
MvSl-1064-A2-R4_A2g01478	2.18301	2.04806
MvSl-1064-A2-R4_A2g01479	13	22
MvSl-1064-A2-R4_A2g01480	377.431	503.738
MvSl-1064-A2-R4_A2g01481	51	49
MvSl-1064-A2-R4_A2g01482	182.206	156.94
MvSl-1064-A2-R4_A2g01483	553.783	658.966
MvSl-1064-A2-R4_A2g01484	235.835	276
MvSl-1064-A2-R4_A2g01485	53.4372	55.0922
MvSl-1064-A2-R4_A2g01486	75.4479	110.382
MvSl-1064-A2-R4_A2g01487	0	0
MvSl-1064-A2-R4_A2g01488	0	0
MvSl-1064-A2-R4_A2g01489	4712.29	6269.55
MvSl-1064-A2-R4_A2g01490	1.11485	0
MvSl-1064-A2-R4_A2g01491	44.5886	48.6489
MvSl-1064-A2-R4_A2g01492	101.078	164.751
MvSl-1064-A2-R4_A2g01493	246.478	379.644
MvSl-1064-A2-R4_A2g01494	186.72	353.715
MvSl-1064-A2-R4_A2g01495	122.951	200.791
MvSl-1064-A2-R4_A2g01496	10.6162	29.2142
MvSl-1064-A2-R4_A2g01497	478.53	326.678
MvSl-1064-A2-R4_A2g01498	129.968	130.858
MvSl-1064-A2-R4_A2g01499	0	0
MvSl-1064-A2-R4_A2g01500	10.453	7.34011
MvSl-1064-A2-R4_A2g01501	2.78972	0
MvSl-1064-A2-R4_A2g01502	159.357	173.467
MvSl-1064-A2-R4_A2g01503	128.804	122.417
MvSl-1064-A2-R4_A2g01504	4769	5691
MvSl-1064-A2-R4_A2g01505	10732.9	17093.6
MvSl-1064-A2-R4_A2g01506	3088	3025
MvSl-1064-A2-R4_A2g01507	164	130.146
MvSl-1064-A2-R4_A2g01508	11.3245	20.4598
MvSl-1064-A2-R4_A2g01509	1.07171	0
MvSl-1064-A2-R4_A2g01510	13.5636	21.7408
MvSl-1064-A2-R4_A2g01511	3565	3381
MvSl-1064-A2-R4_A2g01512	1212	1136
MvSl-1064-A2-R4_A2g01513	2262	1508
MvSl-1064-A2-R4_A2g01514	0	0
MvSl-1064-A2-R4_A2g01515	122.372	102.816
MvSl-1064-A2-R4_A2g01516	3872.83	3653.75
MvSl-1064-A2-R4_A2g01517	171	158
MvSl-1064-A2-R4_A2g01518	89.1407	113.223
MvSl-1064-A2-R4_A2g01519	5109	3362
MvSl-1064-A2-R4_A2g01520	288	238
MvSl-1064-A2-R4_A2g01521	316	267
MvSl-1064-A2-R4_A2g01522	551.41	614.97
MvSl-1064-A2-R4_A2g01523	7	7
MvSl-1064-A2-R4_A2g01524	8.41637	17.3696
MvSl-1064-A2-R4_A2g01525	4	5
MvSl-1064-A2-R4_A2g01526	830.209	735.613
MvSl-1064-A2-R4_A2g01527	382.472	427.306
MvSl-1064-A2-R4_A2g01528	3.09879	3.39535
MvSl-1064-A2-R4_A2g01529	63.3385	75.455
MvSl-1064-A2-R4_A2g01530	0	0
MvSl-1064-A2-R4_A2g01531	69.2957	60.5012
MvSl-1064-A2-R4_A2g01532	125.846	145.287
MvSl-1064-A2-R4_A2g01533	8.94464	16.7991
MvSl-1064-A2-R4_A2g01534	5122	5467
MvSl-1064-A2-R4_A2g01535	1636	1347
MvSl-1064-A2-R4_A2g01536	18.5716	16.142
MvSl-1064-A2-R4_A2g01537	1057.81	1444.48
MvSl-1064-A2-R4_A2g01538	4	1.01999
MvSl-1064-A2-R4_A2g01539	44.6054	60.8664
MvSl-1064-A2-R4_A2g01540	3.4305	2.65217
MvSl-1064-A2-R4_A2g01541	1	0
MvSl-1064-A2-R4_A2g01542	108.391	88.9488
MvSl-1064-A2-R4_A2g01543	213.525	313.711
MvSl-1064-A2-R4_A2g01544	205.002	208.629
MvSl-1064-A2-R4_A2g01545	88.15	114.787
MvSl-1064-A2-R4_A2g01546	566.177	671.254
MvSl-1064-A2-R4_A2g01547	1.33755	5.64156
MvSl-1064-A2-R4_A2g01548	94.4685	152.367
MvSl-1064-A2-R4_A2g01549	6.04708	6.89742
MvSl-1064-A2-R4_A2g01550	1.04203	0
MvSl-1064-A2-R4_A2g01551	3.18787	7.08413
MvSl-1064-A2-R4_A2g01552	8.74791	12.2328
MvSl-1064-A2-R4_A2g01553	69.7879	70.0982
MvSl-1064-A2-R4_A2g01554	5.66458	15.9764
MvSl-1064-A2-R4_A2g01555	3316	2575
MvSl-1064-A2-R4_A2g01556	4914	4301
MvSl-1064-A2-R4_A2g01557	1549	1439
MvSl-1064-A2-R4_A2g01558	25583	27407
MvSl-1064-A2-R4_A2g01559	1.33755	5.64156
MvSl-1064-A2-R4_A2g01560	445.902	397.834
MvSl-1064-A2-R4_A2g01561	5.58829	10.8984
MvSl-1064-A2-R4_A2g01562	111.067	134.035
MvSl-1064-A2-R4_A2g01563	47.5966	61.4859
MvSl-1064-A2-R4_A2g01564	1678	1412
MvSl-1064-A2-R4_A2g01565	20	16
MvSl-1064-A2-R4_A2g01566	865	969
MvSl-1064-A2-R4_A2g01567	194.528	204.323
MvSl-1064-A2-R4_A2g01568	1.06535	3.97029
MvSl-1064-A2-R4_A2g01569	3815.17	3627.12
MvSl-1064-A2-R4_A2g01570	497	396
MvSl-1064-A2-R4_A2g01571	64	52
MvSl-1064-A2-R4_A2g01572	2045.09	1839.41
MvSl-1064-A2-R4_A2g01573	6.6975	2.21615
MvSl-1064-A2-R4_A2g01574	18.241	50.3385
MvSl-1064-A2-R4_A2g01575	155.372	186.708
MvSl-1064-A2-R4_A2g01576	152	102
MvSl-1064-A2-R4_A2g01577	1611	1182
MvSl-1064-A2-R4_A2g01578	4159	5307
MvSl-1064-A2-R4_A2g01579	353	339
MvSl-1064-A2-R4_A2g01580	2505	2475
MvSl-1064-A2-R4_A2g01581	25.1199	34.9846
MvSl-1064-A2-R4_A2g01582	528.994	390.847
MvSl-1064-A2-R4_A2g01583	0	0
MvSl-1064-A2-R4_A2g01584	235.157	236.007
MvSl-1064-A2-R4_A2g01585	861.006	987.371
MvSl-1064-A2-R4_A2g01586	1922.29	1877.17
MvSl-1064-A2-R4_A2g01587	79.9997	162.841
MvSl-1064-A2-R4_A2g01588	86.928	95.7671
MvSl-1064-A2-R4_A2g01589	122.69	136.228
MvSl-1064-A2-R4_A2g01590	284.312	229.169
MvSl-1064-A2-R4_A2g01591	17.3908	8.12229
MvSl-1064-A2-R4_A2g01592	23.6836	32.163
MvSl-1064-A2-R4_A2g01593	73.5977	86.8545
MvSl-1064-A2-R4_A2g01594	57.436	41.1873
MvSl-1064-A2-R4_A2g01595	57.1372	84.6455
MvSl-1064-A2-R4_A2g01596	1.39324	7.50754
MvSl-1064-A2-R4_A2g01597	1	1
MvSl-1064-A2-R4_A2g01598	0.51181	2.5453
MvSl-1064-A2-R4_A2g01599	31.7979	29.816
MvSl-1064-A2-R4_A2g01600	47.929	51.9486
MvSl-1064-A2-R4_A2g01601	0	0
MvSl-1064-A2-R4_A2g01602	3.01844	3
MvSl-1064-A2-R4_A2g01603	839.453	1322.66
MvSl-1064-A2-R4_A2g01604	6.00109	10.0008
MvSl-1064-A2-R4_A2g01605	0	0
MvSl-1064-A2-R4_A2g01606	82.0951	115.051
MvSl-1064-A2-R4_A2g01607	393.474	419.642
MvSl-1064-A2-R4_A2g01608	1109	1008
MvSl-1064-A2-R4_A2g01609	2453	2646
MvSl-1064-A2-R4_A2g01610	994	899
MvSl-1064-A2-R4_A2g01611	626.435	486.374
MvSl-1064-A2-R4_A2g01612	366.11	485.632
MvSl-1064-A2-R4_A2g01613	1213.01	1314.01
MvSl-1064-A2-R4_A2g01614	832.044	857.125
MvSl-1064-A2-R4_A2g01615	59.843	55.494
MvSl-1064-A2-R4_A2g01616	203.252	172.174
MvSl-1064-A2-R4_A2g01617	463.836	524.156
MvSl-1064-A2-R4_A2g01618	48	56.6525
MvSl-1064-A2-R4_A2g01619	0	3.04504
MvSl-1064-A2-R4_A2g01620	0	0
MvSl-1064-A2-R4_A2g01621	0	0
MvSl-1064-A2-R4_A2g01622	0	0
MvSl-1064-A2-R4_A2g01623	3.36918	1.09003
MvSl-1064-A2-R4_A2g01624	23.7236	29.8358
MvSl-1064-A2-R4_A2g01625	52.8592	53.8429
MvSl-1064-A2-R4_A2g01626	2314.75	2131.08
MvSl-1064-A2-R4_A2g01627	2286.67	3214.29
MvSl-1064-A2-R4_A2g01628	230.097	217.214
MvSl-1064-A2-R4_A2g01629	20.1542	18.5893
MvSl-1064-A2-R4_A2g01630	0	0
MvSl-1064-A2-R4_A2g01631	299.124	274.32
MvSl-1064-A2-R4_A2g01632	192.227	162.686
MvSl-1064-A2-R4_A2g01633	0	0
MvSl-1064-A2-R4_A2g01634	300.795	334.827
MvSl-1064-A2-R4_A2g01635	0	0
MvSl-1064-A2-R4_A2g01636	11.8891	20.7494
MvSl-1064-A2-R4_A2g01637	682.085	529.145
MvSl-1064-A2-R4_A2g01638	482	320
MvSl-1064-A2-R4_A2g01639	75.5277	105.567
MvSl-1064-A2-R4_A2g01640	165.147	128.785
MvSl-1064-A2-R4_A2g01641	4899	4932
MvSl-1064-A2-R4_A2g01642	2526.9	4653.2
MvSl-1064-A2-R4_A2g01643	3561.42	5890.61
MvSl-1064-A2-R4_A2g01644	11.8891	20.7494
MvSl-1064-A2-R4_A2g01645	12.3826	12.7887
MvSl-1064-A2-R4_A2g01646	36.2833	51.7244
MvSl-1064-A2-R4_A2g01647	0	0
MvSl-1064-A2-R4_A2g01648	3925.98	4020.93
MvSl-1064-A2-R4_A2g01649	42.6114	21.5534
MvSl-1064-A2-R4_A2g01650	183.589	184.19
MvSl-1064-A2-R4_A2g01651	1208.11	1487.41
MvSl-1064-A2-R4_A2g01652	1.5048	0
MvSl-1064-A2-R4_A2g01653	3618.4	3062.69
MvSl-1064-A2-R4_A2g01654	236.663	278.118
MvSl-1064-A2-R4_A2g01655	148.223	163.659
MvSl-1064-A2-R4_A2g01656	2	5
MvSl-1064-A2-R4_A2g01657	20.1542	18.5893
MvSl-1064-A2-R4_A2g01658	171.839	169.23
MvSl-1064-A2-R4_A2g01659	1.27843	1.27357
MvSl-1064-A2-R4_A2g01660	0	2.38568
MvSl-1064-A2-R4_A2g01661	63.0671	63.1451
MvSl-1064-A2-R4_A2g01662	103.139	186.33
MvSl-1064-A2-R4_A2g01663	83.5802	82.6501
MvSl-1064-A2-R4_A2g01664	1161	846
MvSl-1064-A2-R4_A2g01665	1456.08	1162.15
MvSl-1064-A2-R4_A2g01666	77.4109	90.2744
MvSl-1064-A2-R4_A2g01667	11.8891	20.7494
MvSl-1064-A2-R4_A2g01668	49.7166	44.4459
MvSl-1064-A2-R4_A2g01669	40.2767	30
MvSl-1064-A2-R4_A2g01670	259.891	188.858
MvSl-1064-A2-R4_A2g01671	0	0
MvSl-1064-A2-R4_A2g01672	4.36251	17.0878
MvSl-1064-A2-R4_A2g01673	271.733	203.437
MvSl-1064-A2-R4_A2g01674	151.979	118.407
MvSl-1064-A2-R4_A2g01675	209.269	176.566
MvSl-1064-A2-R4_A2g01676	93.0449	82.6763
MvSl-1064-A2-R4_A2g01677	2.55825	0
MvSl-1064-A2-R4_A2g01678	7799.54	8805.14
MvSl-1064-A2-R4_A2g01679	2.09157	5.21618
MvSl-1064-A2-R4_A2g01680	55.4521	50.67
MvSl-1064-A2-R4_A2g01681	230.097	217.214
MvSl-1064-A2-R4_A2g01682	154.922	150.29
MvSl-1064-A2-R4_A2g01683	498.507	563.861
MvSl-1064-A2-R4_A2g01684	62.7134	53.0131
MvSl-1064-A2-R4_A2g01685	248.86	241.399
MvSl-1064-A2-R4_A2g01686	181.212	183.42
MvSl-1064-A2-R4_A2g01687	24.7192	14.1255
MvSl-1064-A2-R4_A2g01688	60.3024	117.26
MvSl-1064-A2-R4_A2g01689	711.006	689.426
MvSl-1064-A2-R4_A2g01690	3	2.02321
MvSl-1064-A2-R4_A2g01691	25.9775	34.7169
MvSl-1064-A2-R4_A2g01692	323.016	350.665
MvSl-1064-A2-R4_A2g01693	2714	2154
MvSl-1064-A2-R4_A2g01694	225	152
MvSl-1064-A2-R4_A2g01695	1193.31	904.506
MvSl-1064-A2-R4_A2g01696	701.264	564.786
MvSl-1064-A2-R4_A2g01697	176.521	146.818
MvSl-1064-A2-R4_A2g01698	209.269	176.566
MvSl-1064-A2-R4_A2g01699	139.409	203.536
MvSl-1064-A2-R4_A2g01700	222.458	251.325
MvSl-1064-A2-R4_A2g01701	301.469	372.568
MvSl-1064-A2-R4_A2g01702	48.8716	81.6599
MvSl-1064-A2-R4_A2g01703	53.6557	96.6995
MvSl-1064-A2-R4_A2g01704	24.9273	45.4465
MvSl-1064-A2-R4_A2g01705	485.234	949.584
MvSl-1064-A2-R4_A2g01706	0	1
MvSl-1064-A2-R4_A2g01707	0	0
MvSl-1064-A2-R4_A2g01708	4.46413	3.43184
MvSl-1064-A2-R4_A2g01709	14.9073	4.07443
MvSl-1064-A2-R4_A2g01710	414.929	388.954
MvSl-1064-A2-R4_A2g01711	70.2563	86.5368
MvSl-1064-A2-R4_A2g01712	2.74658	3.45485
MvSl-1064-A2-R4_A2g01713	60.0628	4.13905
MvSl-1064-A2-R4_A2g01714	179.629	247.538
MvSl-1064-A2-R4_A2g01715	2338	2092
MvSl-1064-A2-R4_A2g01716	1.1334	2.35144
MvSl-1064-A2-R4_A2g01717	88.2076	100.67
MvSl-1064-A2-R4_A2g01718	188.291	413.22
MvSl-1064-A2-R4_A2g01719	434.937	564.802
MvSl-1064-A2-R4_A2g01720	25.6463	54.0356
MvSl-1064-A2-R4_A2g01721	271.897	210.923
MvSl-1064-A2-R4_A2g01722	143.751	323.867
MvSl-1064-A2-R4_A2g01723	69.5553	112.383
MvSl-1064-A2-R4_A2g01724	582.337	607.899
MvSl-1064-A2-R4_A2g01725	168.31	189.147
MvSl-1064-A2-R4_A2g01726	1.09752	2.06326
MvSl-1064-A2-R4_A2g01727	0	0
MvSl-1064-A2-R4_A2g01728	0	0
MvSl-1064-A2-R4_A2g01729	905.389	986.942
MvSl-1064-A2-R4_A2g01730	7	13
MvSl-1064-A2-R4_A2g01731	0	1
MvSl-1064-A2-R4_A2g01732	266.672	310.809
MvSl-1064-A2-R4_A2g01733	613.055	1044.58
MvSl-1064-A2-R4_A2g01734	7.21581	16.7165
MvSl-1064-A2-R4_A2g01735	261.472	277.699
MvSl-1064-A2-R4_A2g01736	3266	3524
MvSl-1064-A2-R4_A2g01737	1511.11	1573.89
MvSl-1064-A2-R4_A2g01738	21.8976	18.5609
MvSl-1064-A2-R4_A2g01739	31.5009	35.9444
MvSl-1064-A2-R4_A2g01740	973.184	1088.11
MvSl-1064-A2-R4_A2g01741	397.08	431.572
MvSl-1064-A2-R4_A2g01742	0	1.03443
MvSl-1064-A2-R4_A2g01743	0	0.106911
MvSl-1064-A2-R4_A2g01744	0	0
MvSl-1064-A2-R4_A2g01745	397.664	427.255
MvSl-1064-A2-R4_A2g01746	166.857	146.467
MvSl-1064-A2-R4_A2g01747	4264	4402
MvSl-1064-A2-R4_A2g01748	0	1.12954
MvSl-1064-A2-R4_A2g01749	3.23762	0
MvSl-1064-A2-R4_A2g01750	11.9258	7.95328
MvSl-1064-A2-R4_A2g01751	783.21	1199.87
MvSl-1064-A2-R4_A2g01752	0	3
MvSl-1064-A2-R4_A2g01753	4798	4723
MvSl-1064-A2-R4_A2g01754	2324	2081
MvSl-1064-A2-R4_A2g01755	5	2
MvSl-1064-A2-R4_A2g01756	10.9444	12.4926
MvSl-1064-A2-R4_A2g01757	37917	37366
MvSl-1064-A2-R4_A2g01758	4645	4525
MvSl-1064-A2-R4_A2g01759	794	1083
MvSl-1064-A2-R4_A2g01760	1418	923
MvSl-1064-A2-R4_A2g01761	182.37	218.162
MvSl-1064-A2-R4_A2g01762	48.6164	84.2572
MvSl-1064-A2-R4_A2g01763	2004	936
MvSl-1064-A2-R4_A2g01764	1234	1185
MvSl-1064-A2-R4_A2g01765	0	0
MvSl-1064-A2-R4_A2g01766	5948	5945
MvSl-1064-A2-R4_A2g01767	160	101
MvSl-1064-A2-R4_A2g01768	149	111
MvSl-1064-A2-R4_A2g01769	170	117
MvSl-1064-A2-R4_A2g01770	233	173
MvSl-1064-A2-R4_A2g01771	2035	1810
MvSl-1064-A2-R4_A2g01772	1	0
MvSl-1064-A2-R4_A2g01773	3488	3185
MvSl-1064-A2-R4_A2g01774	1842	1869
MvSl-1064-A2-R4_A2g01775	3892	4339
MvSl-1064-A2-R4_A2g01776	2	2
MvSl-1064-A2-R4_A2g01777	0	3
MvSl-1064-A2-R4_A2g01778	249	275
MvSl-1064-A2-R4_A2g01779	2311	2180
MvSl-1064-A2-R4_A2g01780	1343	1333
MvSl-1064-A2-R4_A2g01781	1218	1227
MvSl-1064-A2-R4_A2g01782	10	25
MvSl-1064-A2-R4_A2g01783	778	1040
MvSl-1064-A2-R4_A2g01784	2889	3054
MvSl-1064-A2-R4_A2g01785	1351	1343
MvSl-1064-A2-R4_A2g01786	4716	4609
MvSl-1064-A2-R4_A2g01787	35	36
MvSl-1064-A2-R4_A2g01788	16	19
MvSl-1064-A2-R4_A2g01789	566	589
MvSl-1064-A2-R4_A2g01790	2721	3054
MvSl-1064-A2-R4_A2g01791	21	16
MvSl-1064-A2-R4_A2g01792	392	348
MvSl-1064-A2-R4_A2g01793	38	24
MvSl-1064-A2-R4_A2g01794	69.2641	63
MvSl-1064-A2-R4_A2g01795	7.13659	10.1898
MvSl-1064-A2-R4_A2g01796	1.00397	0
MvSl-1064-A2-R4_A2g01797	218	163
MvSl-1064-A2-R4_A2g01798	3594	2824
MvSl-1064-A2-R4_A2g01799	2374	1923
MvSl-1064-A2-R4_A2g01800	4554	11959
MvSl-1064-A2-R4_A2g01801	15752.7	12380.3
MvSl-1064-A2-R4_A2g01802	1752	1627
MvSl-1064-A2-R4_A2g01803	0	0
MvSl-1064-A2-R4_A2g01804	1	1
MvSl-1064-A2-R4_A2g01805	0	0
MvSl-1064-A2-R4_A2g01806	13	23.8319
MvSl-1064-A2-R4_A2g01807	1895.34	2119.74
MvSl-1064-A2-R4_A2g01808	1382.29	2072.41
MvSl-1064-A2-R4_A2g01809	174	284
MvSl-1064-A2-R4_A2g01810	1812	1626
MvSl-1064-A2-R4_A2g01811	825	781
MvSl-1064-A2-R4_A2g01812	0	1.00903
MvSl-1064-A2-R4_A2g01813	6154	5118
MvSl-1064-A2-R4_A2g01814	2526	2021
MvSl-1064-A2-R4_A2g01815	4288	4070
MvSl-1064-A2-R4_A2g01816	99.331	113.646
MvSl-1064-A2-R4_A2g01817	15.1952	10.6803
MvSl-1064-A2-R4_A2g01818	327.318	356.94
MvSl-1064-A2-R4_A2g01819	2	2
MvSl-1064-A2-R4_A2g01820	2	1
MvSl-1064-A2-R4_A2g01821	3028	4384
MvSl-1064-A2-R4_A2g01822	1988	1425
MvSl-1064-A2-R4_A2g01823	16.2296	12.981
MvSl-1064-A2-R4_A2g01824	24.5772	37.0979
MvSl-1064-A2-R4_A2g01825	33.0328	44.436
MvSl-1064-A2-R4_A2g01826	14.2461	21.9449
MvSl-1064-A2-R4_A2g01827	225.368	238.107
MvSl-1064-A2-R4_A2g01828	1461.53	1462.24
MvSl-1064-A2-R4_A2g01829	16.3143	9.07364
MvSl-1064-A2-R4_A2g01830	4.06575	6.16306
MvSl-1064-A2-R4_C22g01831	0	0
MvSl-1064-A2-R4_C22g01832	0	0
MvSl-1064-A2-R4_C22g01833	13.1641	8.06603e-05
MvSl-1064-A2-R4_C22g01834	0	0
MvSl-1064-A2-R4_C22g01835	0	0
MvSl-1064-A2-R4_C22g01836	0	0
MvSl-1064-A2-R4_C22g01837	0	0
MvSl-1064-A2-R4_C22g01838	0	0
MvSl-1064-A2-R4_C22g01839	0	1.46946
MvSl-1064-A2-R4_C22g01840	1.95688	2.99035
MvSl-1064-A2-R4_C22g01841	0.000115681	0
MvSl-1064-A2-R4_C22g01842	0	0
MvSl-1064-A2-R4_C22g01843	0	0
MvSl-1064-A2-R4_C22g01844	0	0
MvSl-1064-A2-R4_C22g01845	1.76564	4.17286
MvSl-1064-A2-R4_C22g01846	0	1.68568
MvSl-1064-A2-R4_C22g01847	0	0
MvSl-1064-A2-R4_C22g01848	0	0
MvSl-1064-A2-R4_C22g01849	3.37208	1.34818
MvSl-1064-A2-R4_C22g01850	0	1.70295
MvSl-1064-A2-R4_C22g01851	1.59221	1.80003
MvSl-1064-A2-R4_C22g01852	0.0798045	0
MvSl-1064-A2-R4_C22g01853	1.10238	3.40836
MvSl-1064-A2-R4_C22g01854	0	0
MvSl-1064-A2-R4_C22g01855	2.44216	4.29913
MvSl-1064-A2-R4_C22g01856	0	0
MvSl-1064-A2-R4_C22g01857	0	0
MvSl-1064-A2-R4_C22g01858	0	0.0716572
MvSl-1064-A2-R4_C22g01859	0	0
MvSl-1064-A2-R4_C23g01860	6148.48	6224.35
MvSl-1064-A2-R4_C23g01861	13.8742	16.7121
MvSl-1064-A2-R4_C23g01862	40.9636	0.00874778
MvSl-1064-A2-R4_C23g01863	280	327.5
MvSl-1064-A2-R4_C23g01864	215	402
MvSl-1064-A2-R4_C23g01865	321.5	383
MvSl-1064-A2-R4_C23g01866	145463	153724
