gene	MintM1	MintM2	MintM3	gene2	MvSlM1	MvSlM2
MinSal-1389-A1-17072018_C003g02271	0	0	0	MvSl-1064-A1-R4_MC02g03867	3119	5527
MinSal-1389-A1-17072018_C003g02272	274.9	423.623	194.123	MvSl-1064-A1-R4_MC03g04593	4358.76	6349.26
MinSal-1389-A1-17072018_C003g02273	0	0	0	MvSl-1064-A1-R4_MC02g03866	1473	1728
MinSal-1389-A1-17072018_C003g02274	0	0	1	MvSl-1064-A1-R4_MC02g03865	1003	1021
MinSal-1389-A1-17072018_C003g02275	0	0	0	MvSl-1064-A1-R4_MC02g03864	6700	7190
MinSal-1389-A1-17072018_C003g02276	0	0	0	MvSl-1064-A1-R4_MC02g03859	187	145
MinSal-1389-A1-17072018_C003g02277	0	0	0	MvSl-1064-A1-R4_MC02g03858	425	344
MinSal-1389-A1-17072018_C003g02278	2389	2970	1273	MvSl-1064-A1-R4_MC02g03853	4603.77	3236.66
MinSal-1389-A1-17072018_C003g02279	0	0	0	MvSl-1064-A1-R4_MC02g03852	255	31
MinSal-1389-A1-17072018_C003g02280	247	364	134	MvSl-1064-A1-R4_MC02g03850	193	39
MinSal-1389-A1-17072018_C003g02281	0	0	0	MvSl-1064-A1-R4_MC02g03849	17909	18647
MinSal-1389-A1-17072018_C003g02282	0	0	0	MvSl-1064-A1-R4_MC02g03848	819	851
MinSal-1389-A1-17072018_C003g02283	211	217	126	MvSl-1064-A1-R4_MC02g03847	1407	1323
MinSal-1389-A1-17072018_C003g02284	4544	4945	2703	MvSl-1064-A1-R4_MC02g03846	9814	10267
MinSal-1389-A1-17072018_C003g02285	0	0	0	MvSl-1064-A1-R4_MC02g03845	4488	5798
MinSal-1389-A1-17072018_C003g02286	494	487	330	MvSl-1064-A1-R4_MC02g03844	3473	2561
MinSal-1389-A1-17072018_C003g02288	637	833	433	MvSl-1064-A1-R4_MC02g03843	1446	1406
MinSal-1389-A1-17072018_C003g02289	0	0	0	MvSl-1064-A1-R4_MC02g03842	3527	3215
MinSal-1389-A1-17072018_C003g02290	696	893	477	MvSl-1064-A1-R4_MC02g03841	7493	11951
MinSal-1389-A1-17072018_C003g02291	153	92	172	MvSl-1064-A1-R4_MC02g03840	2356	2159
MinSal-1389-A1-17072018_C003g02292	166	248	135	MvSl-1064-A1-R4_MC02g03839	469	474
MinSal-1389-A1-17072018_C003g02293	943	1151	593	MvSl-1064-A1-R4_MC02g03838	901	737
MinSal-1389-A1-17072018_C003g02294	75	149	51	MvSl-1064-A1-R4_MC02g03837	1312	976
MinSal-1389-A1-17072018_C003g02295	9	20	9	MvSl-1064-A1-R4_MC02g03836	2110	2113
MinSal-1389-A1-17072018_C003g02297	0	0	0	MvSl-1064-A1-R4_MC02g03833	435	550
MinSal-1389-A1-17072018_C003g02298	2319	2816	1165	MvSl-1064-A1-R4_MC02g03832	4239	3451
MinSal-1389-A1-17072018_C003g02299	230	338	107	MvSl-1064-A1-R4_MC02g03831	4272	4352
MinSal-1389-A1-17072018_C003g02300	135	106	120	MvSl-1064-A1-R4_MC02g03830	244	260
MinSal-1389-A1-17072018_C003g02301	112	169	62	MvSl-1064-A1-R4_MC02g03829	483	453
MinSal-1389-A1-17072018_C003g02302	51	79	16	MvSl-1064-A1-R4_MC02g03828	166	156
MinSal-1389-A1-17072018_C003g02303	796	629	499	MvSl-1064-A1-R4_MC02g03827	4452	3765
MinSal-1389-A1-17072018_C003g02304	78	120	56	MvSl-1064-A1-R4_MC02g03826	1150	1025
MinSal-1389-A1-17072018_C003g02305	0	0	0	MvSl-1064-A1-R4_MC02g03825	1095	1085
MinSal-1389-A1-17072018_C003g02306	0	0	0	MvSl-1064-A1-R4_MC02g03824	1467	1599
MinSal-1389-A1-17072018_C003g02307	1013	1136	515	MvSl-1064-A1-R4_MC02g03823	2486	2108
MinSal-1389-A1-17072018_C003g02308	5373	5286	3829	MvSl-1064-A1-R4_MC02g03822	5056	3114
MinSal-1389-A1-17072018_C003g02309	1511	1643	877	MvSl-1064-A1-R4_MC02g03821	5074	4108
MinSal-1389-A1-17072018_C003g02310	601	703	273	MvSl-1064-A1-R4_MC02g03817	2057	1639
MinSal-1389-A1-17072018_C003g02311	534	524	273	MvSl-1064-A1-R4_MC02g03816	2800	3256
MinSal-1389-A1-17072018_C003g02312	0	0	0	MvSl-1064-A1-R4_MC02g03815	496	375
MinSal-1389-A1-17072018_C003g02313	114	86	86	MvSl-1064-A1-R4_MC02g03814	283	338
MinSal-1389-A1-17072018_C003g02314	150.742	58.5418	104.002	MvSl-1064-A1-R4_MC02g03813	646	513
MinSal-1389-A1-17072018_C003g02315	0	1	0	MvSl-1064-A1-R4_MC02g03812	961.127	956.28
MinSal-1389-A1-17072018_C003g02316	736	801	453	MvSl-1064-A1-R4_MC02g03811	2982	3156
MinSal-1389-A1-17072018_C003g02317	1916	2638	1283	MvSl-1064-A1-R4_MC02g03810	1999	1728
MinSal-1389-A1-17072018_C003g02318	2730	3131	1641	MvSl-1064-A1-R4_MC02g03809	2525	2512
MinSal-1389-A1-17072018_C003g02323	1141	1314	957	MvSl-1064-A1-R4_MC02g03803	6053	3833
MinSal-1389-A1-17072018_C003g02327	2	2	1	MvSl-1064-A1-R4_MC02g03800	1164	922
MinSal-1389-A1-17072018_C003g02328	0	1	0	MvSl-1064-A1-R4_MC02g03799	1455	1311
MinSal-1389-A1-17072018_C003g02329	29.2879	17.5926	8.34253	MvSl-1064-A1-R4_MC02g03798	501	946
MinSal-1389-A1-17072018_C003g02330	0	2	0	MvSl-1064-A1-R4_MC02g03797	662	714
MinSal-1389-A1-17072018_C003g02331	669	854	403	MvSl-1064-A1-R4_MC02g03796	1234	1045
MinSal-1389-A1-17072018_C003g02332	489	543	308	MvSl-1064-A1-R4_MC02g03795	487	566
MinSal-1389-A1-17072018_C003g02333	2813	3526	1546	MvSl-1064-A1-R4_MC02g03794	1884	2102
MinSal-1389-A1-17072018_C003g02334	1599	2055	857	MvSl-1064-A1-R4_MC02g03793	2513	2634
MinSal-1389-A1-17072018_C003g02335	266	432	77	MvSl-1064-A1-R4_MC02g03792	483	523
MinSal-1389-A1-17072018_C003g02336	2130	1997	1538	MvSl-1064-A1-R4_MC02g03791	4243	5013
MinSal-1389-A1-17072018_C003g02337	66	46	25	MvSl-1064-A1-R4_MC02g03790	1191	1275
MinSal-1389-A1-17072018_C003g02338	0	0	0	MvSl-1064-A1-R4_MC02g03789	1295	1187
MinSal-1389-A1-17072018_C003g02339	2854	2873	1613	MvSl-1064-A1-R4_MC02g03788	3644	2754
MinSal-1389-A1-17072018_C003g02340	720	870	567	MvSl-1064-A1-R4_MC02g03787	3191	3674
MinSal-1389-A1-17072018_C003g02341	1	0	0	MvSl-1064-A1-R4_MC02g03786	4302	3479
MinSal-1389-A1-17072018_C003g02342	329	379	189	MvSl-1064-A1-R4_MC02g03785	577	613
MinSal-1389-A1-17072018_C003g02343	1	1	0	MvSl-1064-A1-R4_MC02g03784	471	342
MinSal-1389-A1-17072018_C003g02344	2019	1870	1201	MvSl-1064-A1-R4_MC02g03783	4275	2592
MinSal-1389-A1-17072018_C003g02345	756	780	372	MvSl-1064-A1-R4_MC02g03781	25613	21571
MinSal-1389-A1-17072018_C003g02347	770	950	526	MvSl-1064-A1-R4_MC02g03778	3272	2881
MinSal-1389-A1-17072018_C003g02348	1915	2083	1426	MvSl-1064-A1-R4_MC02g03777	4176	3806
MinSal-1389-A1-17072018_C003g02349	928	765	348	MvSl-1064-A1-R4_MC02g03776	731	817
MinSal-1389-A1-17072018_C003g02350	7	8	0	MvSl-1064-A1-R4_MC02g03775	2093	1902
MinSal-1389-A1-17072018_C003g02351	1	0	0	MvSl-1064-A1-R4_MC02g03770	2232	2698
MinSal-1389-A1-17072018_C003g02352	3	4	2	MvSl-1064-A1-R4_MC02g03769	2626	2124
MinSal-1389-A1-17072018_C003g02355	5168	5543	3150	MvSl-1064-A1-R4_MC02g03764	6640	4630
MinSal-1389-A1-17072018_C003g02356	0	0	0	MvSl-1064-A1-R4_MC02g03763	1277	1132
MinSal-1389-A1-17072018_C003g02357	1	0	0	MvSl-1064-A1-R4_MC02g03762	572	530
MinSal-1389-A1-17072018_C003g02358	0	1	0	MvSl-1064-A1-R4_MC02g03761	2512	2420
MinSal-1389-A1-17072018_C003g02359	181	139	95	MvSl-1064-A1-R4_MC02g03760	284	344
MinSal-1389-A1-17072018_C003g02360	0	0	0	MvSl-1064-A1-R4_MC02g03759	2329	2394
MinSal-1389-A1-17072018_C003g02361	0	0	0	MvSl-1064-A1-R4_MC02g03758	1351	1002
MinSal-1389-A1-17072018_C003g02362	0	0	0	MvSl-1064-A1-R4_MC02g03757	478	426
MinSal-1389-A1-17072018_C003g02364	106	104	73	MvSl-1064-A1-R4_MC02g03755	129	165
MinSal-1389-A1-17072018_C003g02365	1971	2034	961	MvSl-1064-A1-R4_MC02g03754	4259	3985
MinSal-1389-A1-17072018_C003g02366	4080	4043	2155	MvSl-1064-A1-R4_MC02g03753	3781	3351
MinSal-1389-A1-17072018_C003g02367	3823	4784	3124	MvSl-1064-A1-R4_MC02g03752	6322	5871
MinSal-1389-A1-17072018_C003g02368	454	469	245	MvSl-1064-A1-R4_MC02g03751	3138	2791
MinSal-1389-A1-17072018_C003g02369	0	0	0	MvSl-1064-A1-R4_MC02g03750	294	443
MinSal-1389-A1-17072018_C003g02370	5200	4969	3647	MvSl-1064-A1-R4_MC02g03749	7359	8942
MinSal-1389-A1-17072018_C003g02371	1349	1467	911	MvSl-1064-A1-R4_MC02g03748	1770	2134
MinSal-1389-A1-17072018_C003g02372	0	0	0	MvSl-1064-A1-R4_MC02g03747	584	591
MinSal-1389-A1-17072018_C003g02373	3452	4013	1747	MvSl-1064-A1-R4_MC02g03744	2640	1392
MinSal-1389-A1-17072018_C003g02374	918	1206	615	MvSl-1064-A1-R4_MC02g03742	4060	3919
MinSal-1389-A1-17072018_C003g02375	1002	1083	529	MvSl-1064-A1-R4_MC02g03741	685	745
MinSal-1389-A1-17072018_C003g02377	8415	8590	5222	MvSl-1064-A1-R4_MC02g03739	4987	4481
MinSal-1389-A1-17072018_C003g02378	1712	2058	1032	MvSl-1064-A1-R4_MC02g03738	5337	4689
MinSal-1389-A1-17072018_C003g02379	1131	1495	690	MvSl-1064-A1-R4_MC02g03736	6990	6748
MinSal-1389-A1-17072018_C003g02380	0	0	0	MvSl-1064-A1-R4_MC02g03735	2097	4433
MinSal-1389-A1-17072018_C003g02381	9282	10334	5647	MvSl-1064-A1-R4_MC02g03734	1889	1248
MinSal-1389-A1-17072018_C003g02382	175	265	146	MvSl-1064-A1-R4_MC02g03733	777	782
MinSal-1389-A1-17072018_C003g02383	0	0	0	MvSl-1064-A1-R4_MC02g03732	67	61
MinSal-1389-A1-17072018_C003g02384	0	0	0	MvSl-1064-A1-R4_MC02g03731	50	44
MinSal-1389-A1-17072018_C003g02385	565	609	404	MvSl-1064-A1-R4_MC02g03730	817	709
MinSal-1389-A1-17072018_C003g02386	764	563	497	MvSl-1064-A1-R4_MC02g03728	204	285
MinSal-1389-A1-17072018_C003g02387	233	233	113	MvSl-1064-A1-R4_MC02g03727	1301	939
MinSal-1389-A1-17072018_C003g02388	161	146	95	MvSl-1064-A1-R4_MC02g03726	1769	1592
MinSal-1389-A1-17072018_C003g02389	518	633	282	MvSl-1064-A1-R4_MC02g03725	1262	1049
MinSal-1389-A1-17072018_C003g02390	544	639	227	MvSl-1064-A1-R4_MC02g03724	601	486
MinSal-1389-A1-17072018_C003g02391	203	338	230	MvSl-1064-A1-R4_MC02g03723	5313	4119
MinSal-1389-A1-17072018_C003g02392	0	0	0	MvSl-1064-A1-R4_MC02g03722	3143	5558
MinSal-1389-A1-17072018_C003g02393	2354	2304	1406	MvSl-1064-A1-R4_MC02g03721	2105	2284
MinSal-1389-A1-17072018_C003g02394	3376	3206	1823	MvSl-1064-A1-R4_MC02g03720	2246	2424
MinSal-1389-A1-17072018_C003g02398	0	0	0	MvSl-1064-A1-R4_A1g01190	529.291	620.113
MinSal-1389-A1-17072018_C003g02404	0	0	0	MvSl-1064-A1-R4_MC02g03737	7	6
MinSal-1389-A1-17072018_C003g02405	0	0	0	MvSl-1064-A1-R4_MC02g03718	556.744	628.258
MinSal-1389-A1-17072018_C003g02406	0	0	0	MvSl-1064-A1-R4_MC02g03717	583	707
MinSal-1389-A1-17072018_C003g02407	109	141	41	MvSl-1064-A1-R4_MC02g03715	425	291
MinSal-1389-A1-17072018_C003g02408	146	146	134	MvSl-1064-A1-R4_MC02g03713	2100	1294
MinSal-1389-A1-17072018_C003g02409	0	0	0	MvSl-1064-A1-R4_MC02g03712	1166	723
MinSal-1389-A1-17072018_C003g02410	526	546	256	MvSl-1064-A1-R4_MC02g03711	1844	1425
MinSal-1389-A1-17072018_C003g02411	0	0	0	MvSl-1064-A1-R4_MC02g03710	1020	977
MinSal-1389-A1-17072018_C003g02412	44	52	35	MvSl-1064-A1-R4_MC02g03709	980	861
MinSal-1389-A1-17072018_C003g02413	1	0	0	MvSl-1064-A1-R4_MC02g03708	1081	812
MinSal-1389-A1-17072018_C003g02414	387	528	202	MvSl-1064-A1-R4_MC02g03707	1779	1652
MinSal-1389-A1-17072018_C003g02415	0	7	3	MvSl-1064-A1-R4_MC02g03706	116	119
MinSal-1389-A1-17072018_C003g02416	1181	1322	601	MvSl-1064-A1-R4_MC02g03704	6607	7492
MinSal-1389-A1-17072018_C003g02417	78	79	52	MvSl-1064-A1-R4_MC02g03703	753	593
MinSal-1389-A1-17072018_C003g02418	71	121	44	MvSl-1064-A1-R4_MC02g03702	674	618
MinSal-1389-A1-17072018_C003g02422	214	195	176	MvSl-1064-A1-R4_MC02g03698	639	680
MinSal-1389-A1-17072018_C003g02423	314	251	210	MvSl-1064-A1-R4_MC02g03697	1842	1647
MinSal-1389-A1-17072018_C003g02426	93	173	62	MvSl-1064-A1-R4_MC02g03696	1799	1406
MinSal-1389-A1-17072018_C003g02427	751	1067	453	MvSl-1064-A1-R4_MC02g03695	2666	2293
MinSal-1389-A1-17072018_C003g02428	637	520	361	MvSl-1064-A1-R4_MC02g03694	781	560
MinSal-1389-A1-17072018_C003g02429	3	1	1	MvSl-1064-A1-R4_MC02g03693	760	765
MinSal-1389-A1-17072018_C003g02430	217	248	114	MvSl-1064-A1-R4_MC02g03692	2100	1911
MinSal-1389-A1-17072018_C003g02431	425	524	210	MvSl-1064-A1-R4_MC02g03691	736	668
MinSal-1389-A1-17072018_C003g02432	9698	10470	5215	MvSl-1064-A1-R4_MC02g03690	9839	8286
MinSal-1389-A1-17072018_C003g02433	1002	1132	686	MvSl-1064-A1-R4_MC02g03689	1767	1660
MinSal-1389-A1-17072018_C003g02434	3062	3897	1576	MvSl-1064-A1-R4_MC02g03688	5150	4239
MinSal-1389-A1-17072018_C003g02435	165	168	109	MvSl-1064-A1-R4_MC02g03687	349	343
MinSal-1389-A1-17072018_C003g02436	203	277	147	MvSl-1064-A1-R4_MC02g03686	664	1076
MinSal-1389-A1-17072018_C003g02437	2852	3088	1905	MvSl-1064-A1-R4_MC02g03685	3237	3446
MinSal-1389-A1-17072018_C003g02438	0	0	0	MvSl-1064-A1-R4_MC02g03684	3820	4519
MinSal-1389-A1-17072018_C003g02439	4	0	1	MvSl-1064-A1-R4_MC02g03683	906	978
MinSal-1389-A1-17072018_C003g02440	326	434	150	MvSl-1064-A1-R4_MC02g03682	823	786
MinSal-1389-A1-17072018_C003g02441	348	484	228	MvSl-1064-A1-R4_MC02g03681	2183	2256
MinSal-1389-A1-17072018_C003g02444	7168	7160	2128	MvSl-1064-A1-R4_MC02g03679	1615	1453
MinSal-1389-A1-17072018_C003g02445	0	0	0	MvSl-1064-A1-R4_MC02g03673	33	34
MinSal-1389-A1-17072018_C003g02446	0	0	0	MvSl-1064-A1-R4_MC02g03672	275	159
MinSal-1389-A1-17072018_C003g02447	117	140	54	MvSl-1064-A1-R4_MC02g03671	1562	1029
MinSal-1389-A1-17072018_C003g02448	0	0	0	MvSl-1064-A1-R4_MC02g03670	1537	1583
MinSal-1389-A1-17072018_C003g02450	151	206	64	MvSl-1064-A1-R4_MC02g03669	258	237
MinSal-1389-A1-17072018_C003g02452	0	0	0	MvSl-1064-A1-R4_MC02g03665	43	37
MinSal-1389-A1-17072018_C003g02453	79	46	121	MvSl-1064-A1-R4_MC02g03664	79	302
MinSal-1389-A1-17072018_C003g02454	6	16	4	MvSl-1064-A1-R4_MC02g03659	41057	32641
MinSal-1389-A1-17072018_C003g02455	0	0	0	MvSl-1064-A1-R4_MC02g03658	193	238
MinSal-1389-A1-17072018_C003g02456	911	1045	560	MvSl-1064-A1-R4_MC02g03657	1451	1393
MinSal-1389-A1-17072018_C003g02459	1	0	0	MvSl-1064-A1-R4_MC02g03656	1442	1307
MinSal-1389-A1-17072018_C003g02460	8	2	4	MvSl-1064-A1-R4_MC02g03655	6.17616	11.3242
MinSal-1389-A1-17072018_C003g02461	0	0	0	MvSl-1064-A1-R4_MC02g03650	5473	4133
MinSal-1389-A1-17072018_C003g02462	0	0	0	MvSl-1064-A1-R4_MC02g03649	197	193
MinSal-1389-A1-17072018_C003g02463	0	0	0	MvSl-1064-A1-R4_MC02g03648	1194	1193
MinSal-1389-A1-17072018_C003g02464	0	0	0	MvSl-1064-A1-R4_MC02g03646	39	37
MinSal-1389-A1-17072018_C003g02465	1983	2301	1481	MvSl-1064-A1-R4_MC02g03645	2207	2184
MinSal-1389-A1-17072018_C003g02466	175	190	119	MvSl-1064-A1-R4_MC02g03641	637	493
MinSal-1389-A1-17072018_C003g02469	116	216	88	MvSl-1064-A1-R4_MC02g03639	632	425
MinSal-1389-A1-17072018_C003g02471	0	0	0	MvSl-1064-A1-R4_MC03g05151	90.754	110.722
MinSal-1389-A1-17072018_C003g02476	0	0	0	MvSl-1064-A1-R4_MC02g03637	8897	7186
MinSal-1389-A1-17072018_C003g02477	470	625	208	MvSl-1064-A1-R4_MC02g03636	1148	971
MinSal-1389-A1-17072018_C003g02481	0	0	2	MvSl-1064-A1-R4_MC02g03634	2698	2343
MinSal-1389-A1-17072018_C003g02482	2	4	0	MvSl-1064-A1-R4_MC02g03633	2751	2828
MinSal-1389-A1-17072018_C003g02483	537	659	211	MvSl-1064-A1-R4_MC02g03632	2000	1677
MinSal-1389-A1-17072018_C003g02484	0	0	0	MvSl-1064-A1-R4_MC02g03631	618	534
MinSal-1389-A1-17072018_C003g02485	4536	4011	3290	MvSl-1064-A1-R4_MC02g03629	3673	3325
MinSal-1389-A1-17072018_C003g02486	2864	3332	1244	MvSl-1064-A1-R4_MC02g03628	2150	2047
MinSal-1389-A1-17072018_C003g02487	41	100	56	MvSl-1064-A1-R4_MC02g03627	731	610
MinSal-1389-A1-17072018_C003g02488	0	0	3	MvSl-1064-A1-R4_MC02g03626	2745	3183
MinSal-1389-A1-17072018_C003g02489	3708	4135	2988	MvSl-1064-A1-R4_MC02g03625	7114	5929
MinSal-1389-A1-17072018_C003g02491	1104	1077	585	MvSl-1064-A1-R4_MC02g03622	3838	3979
MinSal-1389-A1-17072018_C003g02492	1215	1579	657	MvSl-1064-A1-R4_MC02g03621	6846	5942
MinSal-1389-A1-17072018_C003g02493	726	702	479	MvSl-1064-A1-R4_MC02g03620	2102	2236
MinSal-1389-A1-17072018_C003g02494	868	751	665	MvSl-1064-A1-R4_MC02g03619	5168	5546
MinSal-1389-A1-17072018_C003g02495	1	0	0	MvSl-1064-A1-R4_MC02g03618	2722	3040
MinSal-1389-A1-17072018_C003g02496	1	7	2	MvSl-1064-A1-R4_MC02g03617	1236	596
MinSal-1389-A1-17072018_C003g02497	503.581	798	341	MvSl-1064-A1-R4_MC02g03616	3061	3773
MinSal-1389-A1-17072018_C003g02500	559	718	377	MvSl-1064-A1-R4_MC02g03615	2869	2639
MinSal-1389-A1-17072018_C003g02501	694	784	455	MvSl-1064-A1-R4_MC02g03614	1583	1481
MinSal-1389-A1-17072018_C003g02502	0	0	0	MvSl-1064-A1-R4_MC02g03613	665	1840
MinSal-1389-A1-17072018_C003g02505	255	204	117	MvSl-1064-A1-R4_MC02g03610	8375	6693
MinSal-1389-A1-17072018_C003g02506	26151	22613	26874	MvSl-1064-A1-R4_MC02g03608	9225	8630
MinSal-1389-A1-17072018_C003g02507	489	477	288	MvSl-1064-A1-R4_MC02g03603	942	1350
MinSal-1389-A1-17072018_C003g02508	1	0	0	MvSl-1064-A1-R4_MC02g03602	5749	5390
MinSal-1389-A1-17072018_C003g02510	376	346	292	MvSl-1064-A1-R4_MC02g03600	1159	1111
MinSal-1389-A1-17072018_C003g02511	309	387	229	MvSl-1064-A1-R4_MC02g03599	152	148
MinSal-1389-A1-17072018_C003g02512	573	560	336	MvSl-1064-A1-R4_MC02g03598	729	439
MinSal-1389-A1-17072018_C003g02513	189	266	136	MvSl-1064-A1-R4_MC02g03597	850	504
MinSal-1389-A1-17072018_C003g02514	0	0	0	MvSl-1064-A1-R4_MC02g03596	1272	1074
MinSal-1389-A1-17072018_C003g02519	0	0	0	MvSl-1064-A1-R4_MC05-2g06407	0	5
MinSal-1389-A1-17072018_C003g02520	0	0	0	MvSl-1064-A1-R4_MC02g03594	3	7
MinSal-1389-A1-17072018_C003g02521	137	186	47	MvSl-1064-A1-R4_MC02g03593	1887	1676
MinSal-1389-A1-17072018_C003g02522	208	292	95	MvSl-1064-A1-R4_MC02g03592	2246	2787
MinSal-1389-A1-17072018_C003g02523	1	0	0	MvSl-1064-A1-R4_MC02g03591	9037	8623
MinSal-1389-A1-17072018_C003g02527	0	0	0	MvSl-1064-A1-R4_MC02g03590	8009	10862
MinSal-1389-A1-17072018_C003g02528	0	1	2	MvSl-1064-A1-R4_MC02g03589	1921	1783
MinSal-1389-A1-17072018_C003g02529	386	329	273	MvSl-1064-A1-R4_MC02g03588	2010	2561
MinSal-1389-A1-17072018_C003g02530	155	223	132	MvSl-1064-A1-R4_MC02g03587	3796	3593
MinSal-1389-A1-17072018_C003g02531	941	982	391	MvSl-1064-A1-R4_MC02g03586	163	135
MinSal-1389-A1-17072018_C003g02532	0	0	0	MvSl-1064-A1-R4_MC02g03585	6870	8338
MinSal-1389-A1-17072018_C003g02540	286	487	211	MvSl-1064-A1-R4_MC02g03583	2666	2484
MinSal-1389-A1-17072018_C003g02541	1142	1684	630	MvSl-1064-A1-R4_MC02g03582	2460	2525
MinSal-1389-A1-17072018_C003g02543	0	0	0	MvSl-1064-A1-R4_MC02g03581	1391	2009
MinSal-1389-A1-17072018_C003g02544	207	225	72	MvSl-1064-A1-R4_MC02g03580	508	482
MinSal-1389-A1-17072018_C003g02548	0	0	0	MvSl-1064-A1-R4_MC02g03573	399	382
MinSal-1389-A1-17072018_C003g02549	0	6	1	MvSl-1064-A1-R4_MC02g03572	5440	5117
MinSal-1389-A1-17072018_C003g02551	3097	3383	1526	MvSl-1064-A1-R4_MC02g03569	13700	11389
MinSal-1389-A1-17072018_C003g02552	633	791	367	MvSl-1064-A1-R4_MC02g03551	1724	1425
MinSal-1389-A1-17072018_C003g02553	95	76	62	MvSl-1064-A1-R4_MC02g03552	1248	1106
MinSal-1389-A1-17072018_C003g02554	86	106	74	MvSl-1064-A1-R4_MC02g03561	5693	5815
MinSal-1389-A1-17072018_C003g02555	462	566	403	MvSl-1064-A1-R4_MC02g03562	1087	947
MinSal-1389-A1-17072018_C003g02556	0	0	0	MvSl-1064-A1-R4_MC02g03563	70	66
MinSal-1389-A1-17072018_C003g02558	31	51	24	MvSl-1064-A1-R4_MC02g03568	1125.59	1350.86
MinSal-1389-A1-17072018_C003g02559	3	1	3	MvSl-1064-A1-R4_MC02g03547	2645	2526
MinSal-1389-A1-17072018_C003g02561	2027	1993	977	MvSl-1064-A1-R4_MC02g03546	1919	2521
MinSal-1389-A1-17072018_C003g02562	3557	2679	2985	MvSl-1064-A1-R4_MC02g03539	7284	8653
MinSal-1389-A1-17072018_C003g02563	1	0	0	MvSl-1064-A1-R4_MC02g03538	1080	1143
MinSal-1389-A1-17072018_C003g02564	12	4	8	MvSl-1064-A1-R4_MC02g03537	71	60
MinSal-1389-A1-17072018_C003g02565	887	1178	569	MvSl-1064-A1-R4_MC02g03536	2247	2428
MinSal-1389-A1-17072018_C003g02566	437	485	249	MvSl-1064-A1-R4_MC02g03535	3159	3010
MinSal-1389-A1-17072018_C003g02567	734	847	555	MvSl-1064-A1-R4_MC02g03532	4650	4196
MinSal-1389-A1-17072018_C003g02568	72	138	83	MvSl-1064-A1-R4_MC02g03531	1406	1036
MinSal-1389-A1-17072018_C003g02569	4061	4398	2403	MvSl-1064-A1-R4_MC02g03530	3105.37	2920.29
MinSal-1389-A1-17072018_C003g02570	291	303	201	MvSl-1064-A1-R4_MC02g03529	2434	1995
MinSal-1389-A1-17072018_C003g02571	473	643	347	MvSl-1064-A1-R4_MC02g03528	2157	1836
MinSal-1389-A1-17072018_C003g02572	644	727	369	MvSl-1064-A1-R4_MC02g03527	583	483
MinSal-1389-A1-17072018_C003g02573	148	209	87	MvSl-1064-A1-R4_MC02g03525	828	724
MinSal-1389-A1-17072018_C003g02574	997	980	647	MvSl-1064-A1-R4_MC02g03524	1029	891
MinSal-1389-A1-17072018_C003g02575	1933	2122	1815	MvSl-1064-A1-R4_MC02g03507	10570	9528
MinSal-1389-A1-17072018_C003g02576	112	85	20	MvSl-1064-A1-R4_MC02g03506	44	60
MinSal-1389-A1-17072018_C003g02577	0	0	0	MvSl-1064-A1-R4_MC02g03505	1289	1127
MinSal-1389-A1-17072018_C003g02578	452	329	256	MvSl-1064-A1-R4_MC02g03504	2186	1722
MinSal-1389-A1-17072018_C003g02579	0	0	0	MvSl-1064-A1-R4_MC02g03485	27588	19381
MinSal-1389-A1-17072018_C003g02580	4676	5429	1417	MvSl-1064-A1-R4_MC02g03486	5884	4053
MinSal-1389-A1-17072018_C003g02581	376	574	287	MvSl-1064-A1-R4_MC02g03487	3131	3308
MinSal-1389-A1-17072018_C003g02582	0	5	0	MvSl-1064-A1-R4_MC02g03488	1845	1766
MinSal-1389-A1-17072018_C003g02583	2	0	0	MvSl-1064-A1-R4_MC02g03489	3512	6413
MinSal-1389-A1-17072018_C003g02584	0	0	0	MvSl-1064-A1-R4_MC02g03490	2017	1983
MinSal-1389-A1-17072018_C003g02585	1	0	0	MvSl-1064-A1-R4_MC02g03466	111	88
MinSal-1389-A1-17072018_C003g02586	0	0	0	MvSl-1064-A1-R4_MC02g03465	512	443
MinSal-1389-A1-17072018_C003g02588	231	237	116	MvSl-1064-A1-R4_MC02g03462	845	619
MinSal-1389-A1-17072018_C003g02590	0	0	0	MvSl-1064-A1-R4_MC02g03459	118	83
MinSal-1389-A1-17072018_C003g02591	66	96	66	MvSl-1064-A1-R4_MC02g03458	1822	1540
MinSal-1389-A1-17072018_C003g02592	1829	2364	1097	MvSl-1064-A1-R4_MC02g03457	1890	1380
MinSal-1389-A1-17072018_C003g02593	0	0	0	MvSl-1064-A1-R4_MC02g03541	172	126
MinSal-1389-A1-17072018_C003g02594	409	519	197	MvSl-1064-A1-R4_MC02g03542	700	611
MinSal-1389-A1-17072018_C003g02595	59	143	40	MvSl-1064-A1-R4_MC02g03543	2383	2875
MinSal-1389-A1-17072018_C003g02596	3163	3203	1385	MvSl-1064-A1-R4_MC02g03544	8167	6197
MinSal-1389-A1-17072018_C003g02597	282	408	133	MvSl-1064-A1-R4_MC02g03390	1184	1118
MinSal-1389-A1-17072018_C003g02603	554	664	295	MvSl-1064-A1-R4_MC02g03380	951	727
MinSal-1389-A1-17072018_C003g02604	553	868	306	MvSl-1064-A1-R4_MC02g03381	2989	2684
MinSal-1389-A1-17072018_C003g02605	671	845	523	MvSl-1064-A1-R4_MC02g03382	2032	1897
