gene	A1	A2			start	end		intron_nr	mean	sum		ave_count											
MvSl-1064-A1-R4_A1g01040	81.5853	53.7467	MvSl-1064-A1-R4_A1	aMAT	2240496	2240576	NA	2	86	172	hemi	67.666											
MvSl-1064-A1-R4_A1g01043	6	5	MvSl-1064-A1-R4_A1	aMAT	2245275	2245348	NA	1	72	72	hemi	5.5											
MvSl-1064-A1-R4_A1g01044	8.28403	8.28899	MvSl-1064-A1-R4_A1	aMAT	2245969	2246119	NA	2	120	240	hemi	8.28651											
MvSl-1064-A1-R4_A1g01125	34.1463	30.74	MvSl-1064-A1-R4_A1	aMAT	2496146	2496258	NA	2	86.5	173	hemi	32.4431											
MvSl-1064-A1-R4_A1g01128	18.1314	15.1006	MvSl-1064-A1-R4_A1	aMAT	2503190	2503487	NA	1	296	296	hemi	16.616											
MvSl-1064-A1-R4_A1g01130	10.1276	7.04088	MvSl-1064-A1-R4_A1	aMAT	2506385	2506329	NA	1	55	55	hemi	8.58424											
MvSl-1064-A1-R4_A1g01131	249.453	279.392	MvSl-1064-A1-R4_A1	aMAT	2508432	2508362	NA	2	71	142	hemi	264.423											
MvSl-1064-A1-R4_A1g01138	5.01839	7.01325	MvSl-1064-A1-R4_A1	aMAT	2519944	2520046	NA	3	134.333	403	hemi	6.01582											
MvSl-1064-A1-R4_A1g01142	321.383	368.277	MvSl-1064-A1-R4_A1	aMAT	2524822	2524556	NA	4	162.75	651	hemi	344.83											
MvSl-1064-A1-R4_A1g01145	75.6065	59.9842	MvSl-1064-A1-R4_A1	aMAT	2532357	2532291	NA	4	84.25	337	hemi	67.7953											
MvSl-1064-A1-R4_A1g01155	24.0166	14.9565	MvSl-1064-A1-R4_A1	aMAT	2559381	2559434	NA	2	167	334	hemi	19.4866											
MvSl-1064-A1-R4_A1g01158	10	20	MvSl-1064-A1-R4_A1	aMAT	2565432	2565800	NA	3	167	501	hemi	15											
MvSl-1064-A1-R4_A1g01172	126.336	149.755	MvSl-1064-A1-R4_A1	aMAT	2591957	2592060	NA	2	83.5	167	hemi	138.046											
MvSl-1064-A1-R4_A1g01179	268.198	243.52	MvSl-1064-A1-R4_A1	aMAT	2609540	2609589	NA	1	48	48	hemi	255.859											
MvSl-1064-A1-R4_A1g01186	227.765	205.521	MvSl-1064-A1-R4_A1	aMAT	2621596	2621803	NA	4	115.75	463	hemi	216.643											
MvSl-1064-A1-R4_A1g01190	831.231	754.467	MvSl-1064-A1-R4_A1	aMAT	2629632	2629473	NA	4	88.5	354	hemi	792.849											
MvSl-1064-A1-R4_A1g01191	395	383	MvSl-1064-A1-R4_A1	aMAT	2630075	2630189	NA	4	96.25	385	hemi	389											
MvSl-1064-A1-R4_A1g01192	2786.49	3044.73	MvSl-1064-A1-R4_A1	aMAT	2634769	2634646	NA	13	78.9231	1026	hemi	2915.61											
MvSl-1064-A1-R4_A1g01193	301.826	316.077	MvSl-1064-A1-R4_A1	aMAT	2638499	2638391	NA	4	142.5	570	hemi	308.952											
MvSl-1064-A1-R4_A1g01218	2387.16	2367.43	MvSl-1064-A1-R4_A1	aMAT	2703877	2703928	NA	3	56.3333	169	hemi	2377.3											
MvSl-1064-A1-R4_A1g01226	203.269	151.442	MvSl-1064-A1-R4_A1	aMAT	2721468	2721537	NA	5	63.2	316	hemi	177.356											
MvSl-1064-A1-R4_A1g01230	2060	1715	MvSl-1064-A1-R4_A1	aMAT	2732146	2732087	NA	14	70.3571	985	hemi	1887.5											
MvSl-1064-A1-R4_A1g01233	12	26	MvSl-1064-A1-R4_A1	aMAT	2736393	2736325	NA	1	67	67	hemi	19											
MvSl-1064-A1-R4_A1g01234	2036	2066	MvSl-1064-A1-R4_A1	aMAT	2739989	2739947	NA	4	71	284	hemi	2051											
MvSl-1064-A1-R4_A1g01240	997.291	997.436	MvSl-1064-A1-R4_A1	aMAT	2752554	2752291	NA	3	133	399	hemi	997.364											
MvSl-1064-A1-R4_A1g01246	10.5435	18.2915	MvSl-1064-A1-R4_A1	aMAT	2763071	2763239	NA	2	107.5	215	hemi	14.4175											
MvSl-1064-A1-R4_A1g01249	2386.59	2040.96	MvSl-1064-A1-R4_A1	aMAT	2769746	2769843	NA	2	125	250	hemi	2213.78											
MvSl-1064-A1-R4_A1g01254	212.016	240.129	MvSl-1064-A1-R4_A1	aMAT	2778210	2777925	NA	1	284	284	hemi	226.072											
MvSl-1064-A1-R4_A1g01255	624.034	974.819	MvSl-1064-A1-R4_A1	aMAT	2780180	2780076	NA	5	93.8	469	hemi	799.427											
MvSl-1064-A1-R4_A1g01257	29.885	39.1488	MvSl-1064-A1-R4_A1	aMAT	2783087	2783173	NA	3	69.3333	208	hemi	34.5169											
MvSl-1064-A1-R4_A1g01267	1723.24	1889.67	MvSl-1064-A1-R4_A1	aMAT	2810754	2810498	NA	6	135.167	811	hemi	1806.45											
MvSl-1064-A1-R4_A1g01268	2305.94	2009.04	MvSl-1064-A1-R4_A1	aMAT	2812034	2811984	NA	1	49	49	hemi	2157.49											
MvSl-1064-A1-R4_A1g01269	2990.04	3526.4	MvSl-1064-A1-R4_A1	aMAT	2813802	2813851	NA	1	48	48	hemi	3258.22											
MvSl-1064-A1-R4_A1g01273	97.4144	79.4444	MvSl-1064-A1-R4_A1	aMAT	2819820	2820113	NA	1	292	292	hemi	88.4294											
MvSl-1064-A1-R4_A1g01294	774.999	649.723	MvSl-1064-A1-R4_A1	aMAT	2863400	2863471	NA	4	124.25	497	hemi	712.361											
MvSl-1064-A1-R4_A1g01305	1146.03	1705.46	MvSl-1064-A1-R4_A1	aMAT	2892283	2892189	NA	3	138.667	416	hemi	1425.74											
MvSl-1064-A1-R4_A1g01306	87.78	54.5476	MvSl-1064-A1-R4_A1	aMAT	2896140	2895985	NA	3	103.333	310	hemi	71.1638											
MvSl-1064-A1-R4_A1g01308	10	7	MvSl-1064-A1-R4_A1	aMAT	2898640	2898713	NA	2	62.5	125	hemi	8.5											
MvSl-1064-A1-R4_A1g01312	333.974	392.574	MvSl-1064-A1-R4_A1	aMAT	2908448	2908370	NA	3	106.667	320	hemi	363.274											
MvSl-1064-A1-R4_A1g01315	137.38	87.4103	MvSl-1064-A1-R4_A1	aMAT	2911821	2911756	NA	1	64	64	hemi	112.395											
MvSl-1064-A1-R4_A1g01316	1101.96	1237.96	MvSl-1064-A1-R4_A1	aMAT	2913047	2913131	NA	6	87	522	hemi	1169.96											
MvSl-1064-A1-R4_A1g01318	42.1948	75.28	MvSl-1064-A1-R4_A1	aMAT	2919149	2919089	NA	1	59	59	hemi	58.7374											
MvSl-1064-A1-R4_A1g01337	312.372	316.666	MvSl-1064-A1-R4_A1	aMAT	2969763	2969831	NA	2	201	402	hemi	314.519											
MvSl-1064-A1-R4_A1g01338	429.162	445.374	MvSl-1064-A1-R4_A1	aMAT	2970472	2970556	NA	2	176	352	hemi	437.268											
MvSl-1064-A1-R4_A1g01344	35.8815	58.8781	MvSl-1064-A1-R4_A1	aMAT	2982147	2982190	NA	3	146	438	hemi	47.3798											
MvSl-1064-A1-R4_A1g01352	233.749	261.004	MvSl-1064-A1-R4_A1	aMAT	3002592	3002710	NA	1	117	117	hemi	247.377											
MvSl-1064-A1-R4_A1g01356	21.3636	15.8306	MvSl-1064-A1-R4_A1	aMAT	3014655	3014545	NA	1	109	109	hemi	18.5971											
MvSl-1064-A1-R4_A1g01360	135.493	114.056	MvSl-1064-A1-R4_A1	aMAT	3021788	3021981	NA	1	192	192	hemi	124.774											
MvSl-1064-A1-R4_A1g01370	1120	911	MvSl-1064-A1-R4_A1	aMAT	3049608	3049675	NA	1	66	66	hemi	1015.5											
MvSl-1064-A1-R4_A1g01371	83	52	MvSl-1064-A1-R4_A1	aMAT	3053336	3053274	NA	4	55.75	223	hemi	67.5											
MvSl-1064-A1-R4_A1g01377	521	403	MvSl-1064-A1-R4_A1	aMAT	3074789	3074403	NA	1	385	385	hemi	462											
MvSl-1064-A1-R4_A1g01391	56.8312	52.689	MvSl-1064-A1-R4_A1	aMAT	3109582	3109508	NA	3	98.6667	296	hemi	54.7601											
MvSl-1064-A1-R4_A1g01395	228	243	MvSl-1064-A1-R4_A1	aMAT	3121157	3121298	NA	1	140	140	hemi	235.5											
MvSl-1064-A1-R4_A1g01398	31	27	MvSl-1064-A1-R4_A1	aMAT	3125465	3125375	NA	1	89	89	hemi	29											
MvSl-1064-A1-R4_A1g01400	23	11	MvSl-1064-A1-R4_A1	aMAT	3131582	3131541	NA	1	40	40	hemi	17											
MvSl-1064-A1-R4_A1g01401	277	77	MvSl-1064-A1-R4_A1	aMAT	3133423	3133359	NA	3	59	177	hemi	177											
MvSl-1064-A1-R4_A1g01402	359	362	MvSl-1064-A1-R4_A1	aMAT	3134231	3134006	NA	2	147.5	295	hemi	360.5											
MvSl-1064-A1-R4_A1g01403	84	59	MvSl-1064-A1-R4_A1	aMAT	3135390	3135259	NA	1	130	130	hemi	71.5											
MvSl-1064-A1-R4_A1g01410	43.1212	41.4036	MvSl-1064-A1-R4_A1	aMAT	3157560	3157633	NA	2	62	124	hemi	42.2624											
MvSl-1064-A1-R4_A1g01425	18.5246	8.25961	MvSl-1064-A1-R4_A1	aMAT	3181734	3181778	NA	1	43	43	hemi	13.3921											
MvSl-1064-A1-R4_A1g01429	180.442	172.788	MvSl-1064-A1-R4_A1	aMAT	3186493	3186393	NA	3	147.333	442	hemi	176.615											
MvSl-1064-A1-R4_A1g01430	159.377	135.734	MvSl-1064-A1-R4_A1	aMAT	3187904	3187835	NA	1	68	68	hemi	147.555											
