gid	gname	chr	start	end	logCPM	logFC.water.diploid	FDR.water.diploid	share
MvSl-1064-A1-R4_A1g01258	MvSl-1064-A1-R4_A1	aMAT	2784221	2788036	4.55342582	1.235483635	0.000235616	no
MvSl-1064-A1-R4_A1g01259	MvSl-1064-A1-R4_A1	aMAT	2788579	2788821	0.399636515	1.723258945	0.00390838	no
MvSl-1064-A1-R4_A1g01260	MvSl-1064-A1-R4_A1	aMAT	2789004	2791037	7.924844995	2.336311495	4.29E-08	no
MvSl-1064-A1-R4_A1g01261	MvSl-1064-A1-R4_A1	aMAT	2791731	2799682	9.964792932	2.083367243	2.13E-06	no
MvSl-1064-A1-R4_A1g01263	MvSl-1064-A1-R4_A1	aMAT	2802481	2802996	2.046912521	1.369751846	0.011433443	no
MvSl-1064-A1-R4_A1g01265	MvSl-1064-A1-R4_A1	aMAT	2803618	2805417	4.869182455	1.010637178	0.009350948	no
MvSl-1064-A1-R4_A1g01266	MvSl-1064-A1-R4_A1	aMAT	2805693	2806912	3.425386252	1.517683842	6.02E-05	no
MvSl-1064-A1-R4_A1g01267	MvSl-1064-A1-R4_A1	aMAT	2807188	2811238	6.037886014	1.059761823	6.31E-05	no
MvSl-1064-A1-R4_A1g01268	MvSl-1064-A1-R4_A1	aMAT	2811451	2812801	6.001865197	1.058977647	0.000366349	no
MvSl-1064-A1-R4_A1g01269	MvSl-1064-A1-R4_A1	aMAT	2813503	2814534	6.666012073	1.003597147	0.000823553	no
MvSl-1064-A1-R4_A1g01270	MvSl-1064-A1-R4_A1	aMAT	2815202	2815883	4.335997968	1.001758942	0.009018009	no
MvSl-1064-A1-R4_A1g01273	MvSl-1064-A1-R4_A1	aMAT	2819344	2820733	1.266883972	1.141868664	0.039891311	no
MvSl-1064-A1-R4_A1g01283	MvSl-1064-A1-R4_A1	aMAT	2837125	2842123	6.513777009	1.001373742	0.000317644	no
MvSl-1064-A1-R4_A1g01300	MvSl-1064-A1-R4_A1	aMAT	2881852	2882406	2.172869003	1.922678756	0.001167709	no
MvSl-1064-A1-R4_A1g01305	MvSl-1064-A1-R4_A1	aMAT	2891625	2892286	5.027815141	1.585367044	2.53E-07	no
MvSl-1064-A1-R4_A1g01312	MvSl-1064-A1-R4_A1	aMAT	2907934	2908910	3.360612316	1.13670306	0.010390318	no
MvSl-1064-A1-R4_A1g01319	MvSl-1064-A1-R4_A1	aMAT	2919665	2924047	2.991429326	1.813534674	5.02E-06	no
MvSl-1064-A1-R4_A1g01336	MvSl-1064-A1-R4_A1	aMAT	2964675	2969469	4.931167971	1.28230414	0.000205977	no
MvSl-1064-A1-R4_A1g01338	MvSl-1064-A1-R4_A1	aMAT	2970367	2971159	3.374139429	2.054339925	8.25E-08	no
MvSl-1064-A1-R4_A1g01340	MvSl-1064-A1-R4_A1	aMAT	2972496	2976661	5.142282513	1.090151799	0.000250441	no
MvSl-1064-A1-R4_A1g01342	MvSl-1064-A1-R4_A1	aMAT	2977819	2979035	4.395672963	1.485677977	5.34E-05	no
MvSl-1064-A1-R4_A1g01343	MvSl-1064-A1-R4_A1	aMAT	2979583	2982096	3.533991639	1.921554279	5.90E-06	no
MvSl-1064-A1-R4_A1g01352	MvSl-1064-A1-R4_A1	aMAT	3002566	3003090	3.364484815	1.129851927	0.003295215	no
MvSl-1064-A1-R4_A1g01353	MvSl-1064-A1-R4_A1	aMAT	3003286	3005801	4.250830876	1.353080957	4.81E-05	no
MvSl-1064-A1-R4_A1g01373	MvSl-1064-A1-R4_A1	aMAT	3058207	3062521	1.211739653	1.322716201	0.038702452	no
MvSl-1064-A1-R4_A1g01399	MvSl-1064-A1-R4_A1	aMAT	3125647	3130622	6.293870706	1.037800454	0.000182636	no
MvSl-1064-A1-R4_A1g01401	MvSl-1064-A1-R4_A1	aMAT	3132127	3133455	1.486743071	4.320702328	5.86E-09	no
MvSl-1064-A1-R4_A1g01404	MvSl-1064-A1-R4_A1	aMAT	3136389	3137566	3.809123853	2.065850122	2.62E-09	no
MvSl-1064-A1-R4_A1g01406	MvSl-1064-A1-R4_A1	aMAT	3139638	3144611	11.06221912	1.078450083	0.041579014	no
MvSl-1064-A1-R4_A1g01408	MvSl-1064-A1-R4_A1	aMAT	3147657	3147986	1.8152054	1.168508911	0.015008686	no
MvSl-1064-A1-R4_A1g01417	MvSl-1064-A1-R4_A1	aMAT	3170422	3170891	1.241573299	1.938448442	0.001052893	no
MvSl-1064-A1-R4_A1g01487	MvSl-1064-A1-R4_A1	aMAT	3323907	3326513	8.566798756	1.248054097	0.015619626	no
MvSl-1064-A1-R4_A1g01514	MvSl-1064-A1-R4_A1	aMAT	3401793	3406803	3.866704991	1.191466971	0.007242961	no
