a1	cdsa1	a2	cdsa2	cdsa2	prota1	prota2	protdiff
MvSl-1064-A1-R4_MC01-1g02165	2319	MvSl-1064-A2-R4_MC01g02446	2316	3	640	619	21
MvSl-1064-A1-R4_MC01-1g02166	882	MvSl-1064-A2-R4_MC01g02447	882	0	219	219	0
MvSl-1064-A1-R4_MC01-1g02167	952	MvSl-1064-A2-R4_MC01g02448	948	4	185	185	0
MvSl-1064-A1-R4_MC01-1g02168	1252	MvSl-1064-A2-R4_MC01g02449	1252	0	289	289	0
MvSl-1064-A1-R4_MC01-1g02169	496	MvSl-1064-A2-R4_MC01g02450	496	0	119	119	0
MvSl-1064-A1-R4_MC01-1g02170	2046	MvSl-1064-A2-R4_MC01g02451	2046	0	533	533	0
MvSl-1064-A1-R4_MC01-1g02174	2351	MvSl-1064-A2-R4_MC01g02456	2351	0	658	658	0
MvSl-1064-A1-R4_MC01-1g02175	1648	MvSl-1064-A2-R4_MC01g02457	1648	0	379	379	0
MvSl-1064-A1-R4_MC01-1g02176	1305	MvSl-1064-A2-R4_MC01g02458	1305	0	199	199	0
MvSl-1064-A1-R4_MC01-1g02177	702	MvSl-1064-A2-R4_MC01g02459	702	0	94	94	0
MvSl-1064-A1-R4_MC01-1g02179	4553	MvSl-1064-A2-R4_MC01g02461	4553	0	1183	1183	0
MvSl-1064-A1-R4_MC01-1g02180	1444	MvSl-1064-A2-R4_MC01g02462	1445	-1	336	349	-13
MvSl-1064-A1-R4_MC01-1g02181	1013	MvSl-1064-A2-R4_MC01g02463	1013	0	260	260	0
MvSl-1064-A1-R4_MC01-1g02182	3806	MvSl-1064-A2-R4_MC01g02464	3806	0	1181	1181	0
MvSl-1064-A1-R4_MC01-1g02183	1237	MvSl-1064-A2-R4_MC01g02465	1237	0	342	342	0
MvSl-1064-A1-R4_MC01-1g02184	1523	MvSl-1064-A2-R4_MC01g02466	1523	0	482	482	0
MvSl-1064-A1-R4_MC01-1g02185	2292	MvSl-1064-A2-R4_MC01g02467	2292	0	660	660	0
MvSl-1064-A1-R4_MC01-1g02188	2714	MvSl-1064-A2-R4_MC01g02470	2714	0	547	547	0
MvSl-1064-A1-R4_MC01-1g02189	1730	MvSl-1064-A2-R4_MC01g02471	1730	0	440	440	0
MvSl-1064-A1-R4_MC01-1g02190	1820	MvSl-1064-A2-R4_MC01g02472	1820	0	444	444	0
MvSl-1064-A1-R4_MC01-1g02191	4447	MvSl-1064-A2-R4_MC01g02473	4447	0	1412	1412	0
MvSl-1064-A1-R4_MC01-1g02192	1433	MvSl-1064-A2-R4_MC01g02474	1433	0	284	284	0
MvSl-1064-A1-R4_MC01-1g02193	1409	MvSl-1064-A2-R4_MC01g02475	1409	0	399	399	0
MvSl-1064-A1-R4_MC01-1g02194	581	MvSl-1064-A2-R4_MC01g02476	581	0	79	79	0
MvSl-1064-A1-R4_MC01-1g02195	1665	MvSl-1064-A2-R4_MC01g02477	1665	0	554	554	0
MvSl-1064-A1-R4_MC01-1g02196	9959	MvSl-1064-A2-R4_MC01g02478	9956	3	3145	3144	1
MvSl-1064-A1-R4_MC01-1g02197	1388	MvSl-1064-A2-R4_MC01g02479	1388	0	329	329	0
MvSl-1064-A1-R4_MC01-1g02198	1622	MvSl-1064-A2-R4_MC01g02480	1622	0	370	370	0
MvSl-1064-A1-R4_MC01-1g02199	2921	MvSl-1064-A2-R4_MC01g02481	2921	0	885	885	0
MvSl-1064-A1-R4_MC01-1g02200	1244	MvSl-1064-A2-R4_MC01g02482	1244	0	366	366	0
MvSl-1064-A1-R4_MC01-1g02201	959	MvSl-1064-A2-R4_MC01g02483	959	0	241	241	0
MvSl-1064-A1-R4_MC01-1g02202	1500	MvSl-1064-A2-R4_MC01g02484	1500	0	420	420	0
MvSl-1064-A1-R4_MC01-1g02203	3930	MvSl-1064-A2-R4_MC01g02485	3930	0	1065	1065	0
MvSl-1064-A1-R4_MC01-1g02204	2986	MvSl-1064-A2-R4_MC01g02486	2986	0	965	965	0
MvSl-1064-A1-R4_MC01-1g02205	3424	MvSl-1064-A2-R4_MC01g02487	3424	0	974	974	0
MvSl-1064-A1-R4_MC01-1g02206	3479	MvSl-1064-A2-R4_MC01g02488	3479	0	1095	1095	0
MvSl-1064-A1-R4_MC01-1g02207	246	MvSl-1064-A2-R4_MC01g02489	246	0	36	36	0
MvSl-1064-A1-R4_MC01-1g02208	671	MvSl-1064-A2-R4_MC01g02490	671	0	176	176	0
MvSl-1064-A1-R4_MC01-1g02209	2886	MvSl-1064-A2-R4_MC01g02491	2886	0	782	782	0
MvSl-1064-A1-R4_MC01-1g02210	3816	MvSl-1064-A2-R4_MC01g02492	3816	0	1059	1059	0
MvSl-1064-A1-R4_MC01-1g02211	5093	MvSl-1064-A2-R4_MC01g02493	5093	0	1483	1483	0
MvSl-1064-A1-R4_MC01-1g02212	6904	MvSl-1064-A2-R4_MC01g02494	6904	0	1849	1849	0
MvSl-1064-A1-R4_MC01-1g02213	757	MvSl-1064-A2-R4_MC01g02495	757	0	225	225	0
MvSl-1064-A1-R4_MC01-1g02214	738	MvSl-1064-A2-R4_MC01g02496	738	0	110	110	0
MvSl-1064-A1-R4_MC01-1g02216	3268	MvSl-1064-A2-R4_MC01g02498	3268	0	728	728	0
MvSl-1064-A1-R4_MC01-1g02217	1427	MvSl-1064-A2-R4_MC01g02499	1427	0	421	421	0
MvSl-1064-A1-R4_MC01-1g02218	885	MvSl-1064-A2-R4_MC01g02500	884	1	221	221	0
MvSl-1064-A1-R4_MC01-1g02219	4017	MvSl-1064-A2-R4_MC01g02501	4017	0	1124	1124	0
MvSl-1064-A1-R4_MC01-1g02220	3253	MvSl-1064-A2-R4_MC01g02502	3253	0	885	885	0
MvSl-1064-A1-R4_MC01-1g02221	627	MvSl-1064-A2-R4_MC01g02503	627	0	208	208	0
MvSl-1064-A1-R4_MC01-1g02222	1380	MvSl-1064-A2-R4_MC01g02504	1380	0	258	258	0
MvSl-1064-A1-R4_MC01-1g02223	1318	MvSl-1064-A2-R4_MC01g02505	1318	0	284	284	0
MvSl-1064-A1-R4_MC01-1g02224	2250	MvSl-1064-A2-R4_MC01g02506	2250	0	687	687	0
MvSl-1064-A1-R4_MC01-1g02225	2066	MvSl-1064-A2-R4_MC01g02507	2065	1	607	607	0
MvSl-1064-A1-R4_MC01-1g02226	165	MvSl-1064-A2-R4_MC01g02508	165	0	54	54	0
MvSl-1064-A1-R4_MC01-1g02227	2015	MvSl-1064-A2-R4_MC01g02509	2015	0	422	422	0
MvSl-1064-A1-R4_MC01-1g02228	219	MvSl-1064-A2-R4_MC01g02510	219	0	72	72	0
MvSl-1064-A1-R4_MC01-1g02229	357	MvSl-1064-A2-R4_MC01g02511	357	0	92	92	0
MvSl-1064-A1-R4_MC01-1g02230	1136	MvSl-1064-A2-R4_MC01g02512	1136	0	238	238	0
MvSl-1064-A1-R4_MC01-1g02231	1030	MvSl-1064-A2-R4_MC01g02513	1030	0	285	285	0
MvSl-1064-A1-R4_MC01-1g02232	1511	MvSl-1064-A2-R4_MC01g02514	1511	0	243	243	0
MvSl-1064-A1-R4_MC01-1g02233	1737	MvSl-1064-A2-R4_MC01g02515	1737	0	335	335	0
MvSl-1064-A1-R4_MC01-1g02234	4262	MvSl-1064-A2-R4_MC01g02516	4262	0	1327	1327	0
MvSl-1064-A1-R4_MC01-1g02235	819	MvSl-1064-A2-R4_MC01g02517	819	0	199	199	0
MvSl-1064-A1-R4_MC01-1g02236	1815	MvSl-1064-A2-R4_MC01g02518	1815	0	552	552	0
MvSl-1064-A1-R4_MC01-1g02237	4878	MvSl-1064-A2-R4_MC01g02519	4878	0	1577	1577	0
MvSl-1064-A1-R4_MC01-1g02238	1013	MvSl-1064-A2-R4_MC01g02520	1013	0	281	281	0
MvSl-1064-A1-R4_MC01-1g02239	478	MvSl-1064-A2-R4_MC01g02521	478	0	96	96	0
MvSl-1064-A1-R4_MC01-1g02240	1082	MvSl-1064-A2-R4_MC01g02522	1082	0	215	215	0
MvSl-1064-A1-R4_MC01-1g02241	2081	MvSl-1064-A2-R4_MC01g02523	2081	0	643	643	0
MvSl-1064-A1-R4_MC01-1g02242	1136	MvSl-1064-A2-R4_MC01g02524	1136	0	352	352	0
MvSl-1064-A1-R4_MC01-1g02243	776	MvSl-1064-A2-R4_MC01g02525	776	0	229	229	0
MvSl-1064-A1-R4_MC01-1g02244	1946	MvSl-1064-A2-R4_MC01g02526	1946	0	384	384	0
MvSl-1064-A1-R4_MC01-1g02245	1115	MvSl-1064-A2-R4_MC01g02527	1115	0	171	171	0
MvSl-1064-A1-R4_MC01-1g02246	2949	MvSl-1064-A2-R4_MC01g02528	2817	132	784	768	16
MvSl-1064-A1-R4_MC01-1g02248	1142	MvSl-1064-A2-R4_MC01g02530	1142	0	268	268	0
MvSl-1064-A1-R4_MC01-1g02249	1028	MvSl-1064-A2-R4_MC01g02531	1028	0	261	261	0
MvSl-1064-A1-R4_MC01-1g02250	3403	MvSl-1064-A2-R4_MC01g02532	3403	0	1080	1080	0
MvSl-1064-A1-R4_MC01-1g02251	1488	MvSl-1064-A2-R4_MC01g02533	1488	0	403	403	0
MvSl-1064-A1-R4_MC01-1g02252	1017	MvSl-1064-A2-R4_MC01g02534	1017	0	219	219	0
MvSl-1064-A1-R4_MC01-1g02253	547	MvSl-1064-A2-R4_MC01g02535	547	0	87	87	0
MvSl-1064-A1-R4_MC01-1g02254	334	MvSl-1064-A2-R4_MC01g02536	334	0	90	90	0
MvSl-1064-A1-R4_MC01-1g02255	489	MvSl-1064-A2-R4_MC01g02537	489	0	162	162	0
MvSl-1064-A1-R4_MC01-1g02256	787	MvSl-1064-A2-R4_MC01g02538	787	0	246	246	0
MvSl-1064-A1-R4_MC01-1g02257	4545	MvSl-1064-A2-R4_MC01g02539	4545	0	1232	1232	0
MvSl-1064-A1-R4_MC01-1g02261	2252	MvSl-1064-A2-R4_MC01g02543	2252	0	636	636	0
MvSl-1064-A1-R4_MC01-1g02263	4953	MvSl-1064-A2-R4_MC01g02545	4953	0	1334	1334	0
MvSl-1064-A1-R4_MC01-1g02264	2306	MvSl-1064-A2-R4_MC01g02546	2306	0	605	605	0
MvSl-1064-A1-R4_MC01-1g02265	1408	MvSl-1064-A2-R4_MC01g02547	1408	0	320	320	0
MvSl-1064-A1-R4_MC01-1g02266	641	MvSl-1064-A2-R4_MC01g02548	641	0	138	138	0
MvSl-1064-A1-R4_MC01-1g02268	4174	MvSl-1064-A2-R4_MC01g02550	4174	0	1117	1117	0
MvSl-1064-A1-R4_MC01-1g02269	762	MvSl-1064-A2-R4_MC01g02551	762	0	215	215	0
MvSl-1064-A1-R4_MC01-1g02270	1589	MvSl-1064-A2-R4_MC01g02552	1589	0	360	360	0
MvSl-1064-A1-R4_MC01-1g02271	2939	MvSl-1064-A2-R4_MC01g02553	2939	0	790	790	0
MvSl-1064-A1-R4_MC01-1g02272	1341	MvSl-1064-A2-R4_MC01g02554	1341	0	360	360	0
MvSl-1064-A1-R4_MC01-1g02273	2340	MvSl-1064-A2-R4_MC01g02555	2340	0	779	779	0
MvSl-1064-A1-R4_MC01-1g02274	9191	MvSl-1064-A2-R4_MC01g02556	9191	0	2860	2860	0
MvSl-1064-A1-R4_MC01-1g02275	766	MvSl-1064-A2-R4_MC01g02557	766	0	198	198	0
MvSl-1064-A1-R4_MC01-1g02276	219	MvSl-1064-A2-R4_MC01g02558	219	0	72	72	0
MvSl-1064-A1-R4_MC01-1g02277	960	MvSl-1064-A2-R4_MC01g02559	960	0	236	236	0
MvSl-1064-A1-R4_MC01-1g02278	946	MvSl-1064-A2-R4_MC01g02560	946	0	129	129	0
MvSl-1064-A1-R4_MC01-1g02279	938	MvSl-1064-A2-R4_MC01g02561	938	0	193	193	0
MvSl-1064-A1-R4_MC01-1g02280	2603	MvSl-1064-A2-R4_MC01g02562	2603	0	278	278	0
MvSl-1064-A1-R4_MC01-1g02281	3202	MvSl-1064-A2-R4_MC01g02563	3202	0	649	649	0
MvSl-1064-A1-R4_MC01-1g02282	485	MvSl-1064-A2-R4_MC01g02564	485	0	107	107	0
MvSl-1064-A1-R4_MC01-1g02283	446	MvSl-1064-A2-R4_MC01g02565	446	0	129	129	0
MvSl-1064-A1-R4_MC01-1g02285	2212	MvSl-1064-A2-R4_MC01g02567	2212	0	613	613	0
MvSl-1064-A1-R4_MC01-1g02286	1222	MvSl-1064-A2-R4_MC01g02568	1222	0	222	222	0
MvSl-1064-A1-R4_MC01-1g02287	496	MvSl-1064-A2-R4_MC01g02569	496	0	123	123	0
MvSl-1064-A1-R4_MC01-1g02288	712	MvSl-1064-A2-R4_MC01g02570	712	0	80	80	0
MvSl-1064-A1-R4_MC01-1g02289	965	MvSl-1064-A2-R4_MC01g02571	965	0	239	239	0
MvSl-1064-A1-R4_MC01-1g02290	1162	MvSl-1064-A2-R4_MC01g02572	1162	0	295	295	0
MvSl-1064-A1-R4_MC01-1g02291	1065	MvSl-1064-A2-R4_MC01g02573	1065	0	257	257	0
MvSl-1064-A1-R4_MC01-1g02292	1107	MvSl-1064-A2-R4_MC01g02574	1107	0	244	244	0
MvSl-1064-A1-R4_MC01-1g02293	845	MvSl-1064-A2-R4_MC01g02575	845	0	180	180	0
MvSl-1064-A1-R4_MC01-1g02294	3816	MvSl-1064-A2-R4_MC01g02576	3816	0	1178	1178	0
MvSl-1064-A1-R4_MC01-1g02295	976	MvSl-1064-A2-R4_MC01g02577	976	0	225	225	0
MvSl-1064-A1-R4_MC01-1g02296	1932	MvSl-1064-A2-R4_MC01g02578	1932	0	536	536	0
MvSl-1064-A1-R4_MC01-1g02297	561	MvSl-1064-A2-R4_MC01g02579	561	0	159	159	0
MvSl-1064-A1-R4_MC01-1g02298	1368	MvSl-1064-A2-R4_MC01g02580	1368	0	346	346	0
MvSl-1064-A1-R4_MC01-1g02299	3223	MvSl-1064-A2-R4_MC01g02581	3223	0	1030	1030	0
MvSl-1064-A1-R4_MC01-1g02300	611	MvSl-1064-A2-R4_MC01g02582	611	0	185	185	0
MvSl-1064-A1-R4_MC01-1g02301	1351	MvSl-1064-A2-R4_MC01g02583	1351	0	196	196	0
MvSl-1064-A1-R4_MC01-1g02302	1652	MvSl-1064-A2-R4_MC01g02584	1652	0	519	519	0
MvSl-1064-A1-R4_MC01-1g02303	153	MvSl-1064-A2-R4_MC01g02585	153	0	50	50	0
MvSl-1064-A1-R4_MC01-1g02304	1769	MvSl-1064-A2-R4_MC01g02586	1769	0	561	561	0
MvSl-1064-A1-R4_MC01-1g02305	2859	MvSl-1064-A2-R4_MC01g02587	2859	0	871	871	0
MvSl-1064-A1-R4_MC01-1g02306	1798	MvSl-1064-A2-R4_MC01g02588	1798	0	380	380	0
MvSl-1064-A1-R4_MC01-1g02307	3741	MvSl-1064-A2-R4_MC01g02589	3741	0	948	948	0
MvSl-1064-A1-R4_MC01-1g02308	2438	MvSl-1064-A2-R4_MC01g02590	2438	0	523	523	0
MvSl-1064-A1-R4_MC01-1g02309	1089	MvSl-1064-A2-R4_MC01g02591	1089	0	315	315	0
MvSl-1064-A1-R4_MC01-1g02310	1543	MvSl-1064-A2-R4_MC01g02592	1543	0	327	327	0
MvSl-1064-A1-R4_MC01-1g02311	2467	MvSl-1064-A2-R4_MC01g02593	2467	0	479	479	0
MvSl-1064-A1-R4_MC01-1g02312	3360	MvSl-1064-A2-R4_MC01g02594	3360	0	870	870	0
MvSl-1064-A1-R4_MC01-1g02313	7386	MvSl-1064-A2-R4_MC01g02595	7386	0	2095	2095	0
MvSl-1064-A1-R4_MC01-1g02314	277	MvSl-1064-A2-R4_MC01g02596	277	0	51	51	0
MvSl-1064-A1-R4_MC01-1g02315	4021	MvSl-1064-A2-R4_MC01g02597	4021	0	1057	1057	0
MvSl-1064-A1-R4_MC01-1g02316	3077	MvSl-1064-A2-R4_MC01g02598	3077	0	769	769	0
MvSl-1064-A1-R4_MC01-1g02317	2421	MvSl-1064-A2-R4_MC01g02599	2421	0	660	660	0
MvSl-1064-A1-R4_MC01-1g02318	184	MvSl-1064-A2-R4_MC01g02600	184	0	41	41	0
MvSl-1064-A1-R4_MC01-1g02319	2092	MvSl-1064-A2-R4_MC01g02601	2092	0	532	532	0
MvSl-1064-A1-R4_MC01-1g02320	1683	MvSl-1064-A2-R4_MC01g02602	1683	0	483	483	0
MvSl-1064-A1-R4_MC01-1g02321	878	MvSl-1064-A2-R4_MC01g02603	878	0	155	155	0
MvSl-1064-A1-R4_MC01-1g02322	1465	MvSl-1064-A2-R4_MC01g02604	1467	-2	288	289	-1
MvSl-1064-A1-R4_MC01-1g02323	2500	MvSl-1064-A2-R4_MC01g02605	2703	-203	756	674	82
MvSl-1064-A1-R4_MC01-1g02324	174	MvSl-1064-A2-R4_MC01g02606	174	0	57	57	0
MvSl-1064-A1-R4_MC01-1g02325	2035	MvSl-1064-A2-R4_MC01g02607	2035	0	499	499	0
MvSl-1064-A1-R4_MC01-1g02326	4856	MvSl-1064-A2-R4_MC01g02608	4856	0	1525	1525	0
MvSl-1064-A1-R4_MC01-1g02327	410	MvSl-1064-A2-R4_MC01g02609	410	0	104	104	0
MvSl-1064-A1-R4_MC01-1g02328	826	MvSl-1064-A2-R4_MC01g02610	826	0	207	207	0
MvSl-1064-A1-R4_MC01-1g02329	428	MvSl-1064-A2-R4_MC01g02611	428	0	117	117	0
MvSl-1064-A1-R4_MC01-1g02330	578	MvSl-1064-A2-R4_MC01g02612	578	0	166	166	0
MvSl-1064-A1-R4_MC01-1g02331	4823	MvSl-1064-A2-R4_MC01g02613	4823	0	1559	1559	0
MvSl-1064-A1-R4_MC01-1g02332	5467	MvSl-1064-A2-R4_MC01g02614	5467	0	1573	1573	0
MvSl-1064-A1-R4_MC01-1g02333	4330	MvSl-1064-A2-R4_MC01g02615	4330	0	1363	1363	0
MvSl-1064-A1-R4_MC01-1g02334	1640	MvSl-1064-A2-R4_MC01g02616	1640	0	501	501	0
MvSl-1064-A1-R4_MC01-1g02335	1207	MvSl-1064-A2-R4_MC01g02617	1207	0	215	215	0
MvSl-1064-A1-R4_MC01-1g02336	1004	MvSl-1064-A2-R4_MC01g02618	1004	0	244	244	0
MvSl-1064-A1-R4_MC01-1g02337	450	MvSl-1064-A2-R4_MC01g02619	450	0	73	73	0
MvSl-1064-A1-R4_MC01-1g02338	4532	MvSl-1064-A2-R4_MC01g02620	4532	0	1429	1429	0
MvSl-1064-A1-R4_MC01-1g02341	1606	MvSl-1064-A2-R4_MC01g02623	1606	0	358	358	0
MvSl-1064-A1-R4_MC01-1g02342	1292	MvSl-1064-A2-R4_MC01g02624	1292	0	268	268	0
MvSl-1064-A1-R4_MC01-1g02343	1654	MvSl-1064-A2-R4_MC01g02625	1654	0	509	509	0
MvSl-1064-A1-R4_MC01-1g02344	1257	MvSl-1064-A2-R4_MC01g02626	1257	0	239	239	0
MvSl-1064-A1-R4_MC01-1g02345	1388	MvSl-1064-A2-R4_MC01g02627	1388	0	327	327	0
MvSl-1064-A1-R4_MC01-1g02346	2699	MvSl-1064-A2-R4_MC01g02628	2699	0	548	548	0
MvSl-1064-A1-R4_MC01-1g02347	177	MvSl-1064-A2-R4_MC01g02629	177	0	58	58	0
MvSl-1064-A1-R4_MC01-1g02348	1737	MvSl-1064-A2-R4_MC01g02630	1737	0	394	394	0
MvSl-1064-A1-R4_MC01-1g02349	2119	MvSl-1064-A2-R4_MC01g02631	2119	0	656	656	0
MvSl-1064-A1-R4_MC01-1g02350	357	MvSl-1064-A2-R4_MC01g02632	357	0	84	84	0
MvSl-1064-A1-R4_MC01-1g02351	4904	MvSl-1064-A2-R4_MC01g02633	4904	0	744	744	0
MvSl-1064-A1-R4_MC01-1g02352	5616	MvSl-1064-A2-R4_MC01g02634	5616	0	1623	1623	0
MvSl-1064-A1-R4_MC01-1g02353	664	MvSl-1064-A2-R4_MC01g02635	664	0	171	171	0
MvSl-1064-A1-R4_MC01-1g02354	3066	MvSl-1064-A2-R4_MC01g02636	3066	0	857	857	0
MvSl-1064-A1-R4_MC01-1g02355	1934	MvSl-1064-A2-R4_MC01g02637	1934	0	305	305	0
MvSl-1064-A1-R4_MC01-1g02356	1596	MvSl-1064-A2-R4_MC01g02638	1596	0	382	382	0
MvSl-1064-A1-R4_MC01-1g02357	3585	MvSl-1064-A2-R4_MC01g02639	3585	0	1030	1030	0
MvSl-1064-A1-R4_MC01-1g02358	2699	MvSl-1064-A2-R4_MC01g02640	2699	0	840	840	0
MvSl-1064-A1-R4_MC01-1g02359	1785	MvSl-1064-A2-R4_MC01g02641	1785	0	464	464	0
MvSl-1064-A1-R4_MC01-1g02360	585	MvSl-1064-A2-R4_MC01g02642	585	0	194	194	0
MvSl-1064-A1-R4_MC01-1g02362	1431	MvSl-1064-A2-R4_MC01g02644	1431	0	338	338	0
MvSl-1064-A1-R4_MC01-1g02363	1726	MvSl-1064-A2-R4_MC01g02645	1726	0	298	298	0
MvSl-1064-A1-R4_MC01-1g02364	1368	MvSl-1064-A2-R4_MC01g02646	1368	0	257	257	0
MvSl-1064-A1-R4_MC01-1g02365	3469	MvSl-1064-A2-R4_MC01g02647	3469	0	933	933	0
MvSl-1064-A1-R4_MC01-1g02366	1804	MvSl-1064-A2-R4_MC01g02648	1804	0	552	552	0
MvSl-1064-A1-R4_MC01-1g02367	1187	MvSl-1064-A2-R4_MC01g02649	1187	0	369	369	0
MvSl-1064-A1-R4_MC01-1g02368	201	MvSl-1064-A2-R4_MC01g02650	201	0	66	66	0
MvSl-1064-A1-R4_MC01-1g02369	1936	MvSl-1064-A2-R4_MC01g02651	1936	0	504	504	0
MvSl-1064-A1-R4_MC01-1g02370	831	MvSl-1064-A2-R4_MC01g02652	831	0	276	276	0
MvSl-1064-A1-R4_MC01-1g02371	1351	MvSl-1064-A2-R4_MC01g02653	1351	0	380	380	0
MvSl-1064-A1-R4_MC01-1g02372	1324	MvSl-1064-A2-R4_MC01g02654	1324	0	268	268	0
MvSl-1064-A1-R4_MC01-1g02373	1421	MvSl-1064-A2-R4_MC01g02655	1421	0	391	391	0
MvSl-1064-A1-R4_MC01-1g02374	1259	MvSl-1064-A2-R4_MC01g02656	1259	0	311	311	0
MvSl-1064-A1-R4_MC01-1g02375	207	MvSl-1064-A2-R4_MC01g02657	207	0	68	68	0
MvSl-1064-A1-R4_MC01-1g02376	1031	MvSl-1064-A2-R4_MC01g02658	1031	0	214	214	0
MvSl-1064-A1-R4_MC01-1g02378	1017	MvSl-1064-A2-R4_MC01g02660	1017	0	233	233	0
MvSl-1064-A1-R4_MC01-1g02379	380	MvSl-1064-A2-R4_MC01g02661	380	0	103	103	0
MvSl-1064-A1-R4_MC01-1g02380	2325	MvSl-1064-A2-R4_MC01g02662	2325	0	749	749	0
MvSl-1064-A1-R4_MC01-1g02381	2413	MvSl-1064-A2-R4_MC01g02663	2413	0	368	368	0
MvSl-1064-A1-R4_MC01-1g02383	174	MvSl-1064-A2-R4_MC01g02665	174	0	57	57	0
MvSl-1064-A1-R4_MC01-1g02384	2167	MvSl-1064-A2-R4_MC01g02666	2167	0	367	367	0
MvSl-1064-A1-R4_MC01-1g02385	930	MvSl-1064-A2-R4_MC01g02667	930	0	286	286	0
MvSl-1064-A1-R4_MC01-1g02386	1423	MvSl-1064-A2-R4_MC01g02668	1423	0	392	392	0
MvSl-1064-A1-R4_MC01-1g02387	1502	MvSl-1064-A2-R4_MC01g02669	1502	0	420	420	0
MvSl-1064-A1-R4_MC01-1g02388	1557	MvSl-1064-A2-R4_MC01g02670	1557	0	411	411	0
MvSl-1064-A1-R4_MC01-1g02390	159	MvSl-1064-A2-R4_MC01g02672	159	0	52	52	0
MvSl-1064-A1-R4_MC01-1g02392	192	MvSl-1064-A2-R4_MC01g02674	192	0	38	38	0
MvSl-1064-A1-R4_MC01-1g02393	303	MvSl-1064-A2-R4_MC01g02675	303	0	100	100	0
MvSl-1064-A1-R4_MC01-1g02394	1769	MvSl-1064-A2-R4_MC01g02676	1769	0	340	340	0
MvSl-1064-A1-R4_MC01-1g02395	4344	MvSl-1064-A2-R4_MC01g02677	4344	0	1206	1206	0
MvSl-1064-A1-R4_MC01-1g02396	318	MvSl-1064-A2-R4_MC01g02678	318	0	105	105	0
MvSl-1064-A1-R4_MC01-1g02397	1061	MvSl-1064-A2-R4_MC01g02679	1061	0	337	337	0
MvSl-1064-A1-R4_MC01-1g02398	801	MvSl-1064-A2-R4_MC01g02680	801	0	190	190	0
MvSl-1064-A1-R4_MC01-1g02399	327	MvSl-1064-A2-R4_MC01g02681	327	0	108	108	0
MvSl-1064-A1-R4_MC01-1g02400	1257	MvSl-1064-A2-R4_MC01g02682	1257	0	418	418	0
MvSl-1064-A1-R4_MC01-1g02401	168	MvSl-1064-A2-R4_MC01g02683	168	0	55	55	0
MvSl-1064-A1-R4_MC01-1g02402	2764	MvSl-1064-A2-R4_MC01g02684	2764	0	706	706	0
MvSl-1064-A1-R4_MC01-1g02403	4714	MvSl-1064-A2-R4_MC01g02685	4714	0	1421	1421	0
MvSl-1064-A1-R4_MC01-1g02404	2843	MvSl-1064-A2-R4_MC01g02686	2843	0	923	923	0
MvSl-1064-A1-R4_MC01-1g02405	705	MvSl-1064-A2-R4_MC01g02687	705	0	149	149	0
MvSl-1064-A1-R4_MC01-1g02406	150	MvSl-1064-A2-R4_MC01g02688	150	0	49	49	0
MvSl-1064-A1-R4_MC01-1g02407	270	MvSl-1064-A2-R4_MC01g02689	270	0	89	89	0
MvSl-1064-A1-R4_MC01-1g02408	4062	MvSl-1064-A2-R4_MC01g02690	4062	0	1123	1123	0
MvSl-1064-A1-R4_MC01-1g02409	2456	MvSl-1064-A2-R4_MC01g02691	2456	0	648	648	0
MvSl-1064-A1-R4_MC01-1g02410	1593	MvSl-1064-A2-R4_MC01g02692	1593	0	473	473	0
MvSl-1064-A1-R4_MC01-1g02411	1124	MvSl-1064-A2-R4_MC01g02693	1124	0	250	250	0
MvSl-1064-A1-R4_MC01-1g02412	358	MvSl-1064-A2-R4_MC01g02694	358	0	62	62	0
MvSl-1064-A1-R4_MC01-1g02413	1835	MvSl-1064-A2-R4_MC01g02695	1835	0	578	578	0
MvSl-1064-A1-R4_MC01-1g02414	481	MvSl-1064-A2-R4_MC01g02696	481	0	83	83	0
MvSl-1064-A1-R4_MC01-1g02415	2149	MvSl-1064-A2-R4_MC01g02697	2149	0	643	643	0
MvSl-1064-A1-R4_MC01-1g02416	2330	MvSl-1064-A2-R4_MC01g02698	2330	0	660	660	0
MvSl-1064-A1-R4_MC01-1g02420	3523	MvSl-1064-A2-R4_MC01g02702	3523	0	1037	1037	0
MvSl-1064-A1-R4_MC01-1g02421	907	MvSl-1064-A2-R4_MC01g02703	907	0	187	187	0
MvSl-1064-A1-R4_MC01-1g02422	196	MvSl-1064-A2-R4_MC01g02704	196	0	50	50	0
MvSl-1064-A1-R4_MC01-1g02423	3359	MvSl-1064-A2-R4_MC01g02705	3359	0	967	967	0
MvSl-1064-A1-R4_MC01-1g02424	1136	MvSl-1064-A2-R4_MC01g02706	1136	0	239	239	0
MvSl-1064-A1-R4_MC01-1g02425	2632	MvSl-1064-A2-R4_MC01g02707	2632	0	611	611	0
MvSl-1064-A1-R4_MC01-1g02426	2401	MvSl-1064-A2-R4_MC01g02708	2401	0	649	649	0
MvSl-1064-A1-R4_MC01-1g02427	1652	MvSl-1064-A2-R4_MC01g02709	1652	0	384	384	0
MvSl-1064-A1-R4_MC01-1g02428	1244	MvSl-1064-A2-R4_MC01g02710	1244	0	187	187	0
MvSl-1064-A1-R4_MC01-1g02429	743	MvSl-1064-A2-R4_MC01g02711	743	0	124	124	0
MvSl-1064-A1-R4_MC01-1g02430	1395	MvSl-1064-A2-R4_MC01g02712	1395	0	321	321	0
