gene	haploid	cdslength	protleng	chr	chr1	DE_status	DE_status2	mean_exp	genelength	efflength	estcounts	meantpm
MvSl-1064-A1-R4_MC03g04813	A1	1734	456	aAutosome	aAutosome	NON	NON	5.30795	1734	1401.99	693	4.49078
MvSl-1064-A1-R4_MC03g04814	A1	2541	832	aAutosome	aAutosome	NON	NON	6.75129	2541	2208.99	2058	7.74204
MvSl-1064-A1-R4_MC03g04815	A1	288	95	aAutosome	aAutosome	NON	NON	1.42867	288	65.1057	43	6.21535
MvSl-1064-A1-R4_MC03g04816	A1	3872	1267	aAutosome	aAutosome	NON	NON	5.97308	3872	3539.99	1265	2.82086
MvSl-1064-A1-R4_MC03g04817	A1	2218	568	aAutosome	aAutosome	NON	NON	5.27015	2218	1885.99	769	3.24671
MvSl-1064-A1-R4_MC03g04818	A1	1620	454	aAutosome	aAutosome	NON	NON	5.31269	1620	1287.99	801	4.89827
MvSl-1064-A1-R4_MC03g04819	A1	438	87	aAutosome	aAutosome	NON	NON	2.83543	438	154.206	122	7.08361
MvSl-1064-A1-R4_MC03g04820	A1	1010	201	aAutosome	aAutosome	NON	NON	3.72722	1010	677.991	257	3.07782
MvSl-1064-A1-R4_MC03g04821	A1	1852	544	aAutosome	aAutosome	NON	NON	6.79863	1852	1519.99	1923	11.6741
MvSl-1064-A1-R4_MC03g04822	A1	189	62	aAutosome	aAutosome	NON	NON	0.143138	189	31.4398	28.4212	5.53361
MvSl-1064-A1-R4_MC03g04823	A1	2334	520	aAutosome	aAutosome	NON	NON	7.35869	2334	2001.99	3520	13.1153
MvSl-1064-A1-R4_MC03g04824	A1	1019	250	aAutosome	aAutosome	NON	NON	6.57367	1019	686.991	1729	21.9963
MvSl-1064-A1-R4_MC03g04825	A1	5153	1601	aAutosome	aAutosome	NON	NON	6.6851	5153	4820.99	2138	3.40326
MvSl-1064-A1-R4_MC03g04826	A1	1318	263	aAutosome	aAutosome	NON	NON	7.12112	1318	985.991	2933	22.5247
MvSl-1064-A1-R4_MC03g04827	A1	4073	1314	aAutosome	aAutosome	NON	NON	5.36592	4073	3740.99	895	1.76392
MvSl-1064-A1-R4_MC03g04828	A1	1713	383	aAutosome	aAutosome	NON	NON	1.84967	1713	1380.99	64	0.403597
MvSl-1064-A1-R4_MC03g04829	A1	744	247	aAutosome	aAutosome	NON	NON	6.78321	744	418.317	2037	41.5043
MvSl-1064-A1-R4_MC03g04830	A1	1378	348	aAutosome	aAutosome	NON	NON	4.14335	1378	1045.99	384	2.69414
MvSl-1064-A1-R4_MC03g04831	A1	403	92	aAutosome	aAutosome	Down	DE	2.9569	403	129.494	129	9.16398
MvSl-1064-A1-R4_MC03g04834	A1	2046	607	aAutosome	aAutosome	NON	NON	3.80436	2046	1713.99	275	1.28703
MvSl-1064-A1-R4_MC03g04835	A1	408	135	aAutosome	aAutosome	NON	NON	1.90219	408	132.746	68	4.22747
MvSl-1064-A1-R4_MC03g04836	A1	1489	463	aAutosome	aAutosome	NON	NON	4.67876	1489	1156.99	519	3.5103
MvSl-1064-A1-R4_MC03g04837	A1	1667	470	aAutosome	aAutosome	NON	NON	6.15832	1667	1334.99	1351	8.48555
MvSl-1064-A1-R4_MC03g04838	A1	2423	722	aAutosome	aAutosome	NON	NON	4.20018	2423	2090.99	446	1.43296
MvSl-1064-A1-R4_MC03g04839	A1	729	113	aAutosome	aAutosome	NON	NON	4.28916	729	404.237	382.822	7.59319
MvSl-1064-A1-R4_MC03g04840	A1	1553	237	aAutosome	aAutosome	NON	NON	3.30055	1553	1220.99	197.256	1.27372
MvSl-1064-A1-R4_MC03g04841	A1	1257	240	aAutosome	aAutosome	NON	NON	6.46853	1257	924.991	1729.87	15.1884
MvSl-1064-A1-R4_MC03g04842	A1	1023	340	aAutosome	aAutosome	NON	NON	5.2387	1023	690.991	503.866	9.1742
MvSl-1064-A1-R4_MC03g04843	A1	1461	453	aAutosome	aAutosome	NON	NON	5.37538	1461	1128.99	784.148	5.82362
MvSl-1064-A1-R4_MC03g04844	A1	935	297	aAutosome	aAutosome	Up	DE	3.92851	935	603.747	310	3.98541
MvSl-1064-A1-R4_MC03g04845	A1	523	66	aAutosome	aAutosome	Up	DE	7.05158	523	220.807	2334.8	93.7281
MvSl-1064-A1-R4_MC03g04846	A1	2072	395	aAutosome	aAutosome	NON	NON	2.12467	2072	1739.99	86	0.38995
MvSl-1064-A1-R4_MC03g04848	A1	920	268	aAutosome	aAutosome	NON	NON	5.62348	920	588.926	900	13.2521
MvSl-1064-A1-R4_MC03g04849	A1	351	116	aAutosome	aAutosome	NON	NON	1.84967	351	97.5059	64	5.53838
MvSl-1064-A1-R4_MC03g04850	A1	2018	382	aAutosome	aAutosome	NON	NON	5.02246	2018	1685.99	595	3.0549
MvSl-1064-A1-R4_MC03g04851	A1	2137	585	aAutosome	aAutosome	NON	NON	4.25868	2137	1804.99	308	1.69765
MvSl-1064-A1-R4_MC03g04852	A1	504	121	aAutosome	aAutosome	NON	NON	6.17175	504	204.848	1199	54.9582
MvSl-1064-A1-R4_MC03g04853	A1	618	205	aAutosome	aAutosome	NON	NON	6.71884	618	302.819	1803	54.9577
MvSl-1064-A1-R4_MC03g04854	A1	2425	628	aAutosome	aAutosome	NON	NON	6.65106	2425	2092.99	1812	7.63156
MvSl-1064-A1-R4_MC03g04855	A1	1335	313	aAutosome	aAutosome	NON	NON	6.30557	1335	1002.99	1360	12.5643
MvSl-1064-A1-R4_MC03g04856	A1	1793	532	aAutosome	aAutosome	NON	NON	7.75285	1793	1460.99	4305	23.4697
MvSl-1064-A1-R4_MC03g04857	A1	3543	1154	aAutosome	aAutosome	NON	NON	6.43328	3543	3210.99	2146	4.42809
MvSl-1064-A1-R4_MC03g04858	A1	1582	337	aAutosome	aAutosome	NON	NON	7.99846	1582	1249.99	3796	33.4587
MvSl-1064-A1-R4_MC03g04860	A1	372	123	aAutosome	aAutosome	NON	NON	0.553219	372	109.87	30.7704	1.96547
MvSl-1064-A1-R4_MC03g04861	A1	8444	2351	aAutosome	aAutosome	NON	NON	8.14548	8444	8111.99	5527.54	5.54858
MvSl-1064-A1-R4_MC03g04863	A1	1448	404	aAutosome	aAutosome	NON	NON	2.20087	1448	1115.99	101.472	0.650054
MvSl-1064-A1-R4_MC03g04864	A1	658	183	aAutosome	aAutosome	NON	NON	2.4726	658	338.237	118.845	2.56024
MvSl-1064-A1-R4_MC03g04865	A1	2343	567	aAutosome	aAutosome	NON	NON	3.918	2343	2010.99	334.269	1.20088
MvSl-1064-A1-R4_MC03g04867	A1	2050	580	aAutosome	aAutosome	NON	NON	2.67164	2050	1717.99	133.885	0.583306
MvSl-1064-A1-R4_MC03g04869	A1	2794	736	aAutosome	aAutosome	NON	NON	6.83753	2794	2461.99	2048	7.38732
MvSl-1064-A1-R4_MC03g04870	A1	1454	385	aAutosome	aAutosome	NON	NON	4.83869	1454	1121.99	558	4.03782
MvSl-1064-A1-R4_MC03g04872	A1	5245	1614	aAutosome	aAutosome	NON	NON	7.30623	5245	4912.99	3065	5.11814
MvSl-1064-A1-R4_MC03g04873	A1	1173	295	aAutosome	aAutosome	NON	NON	5.35403	1173	840.991	794.618	7.7006
MvSl-1064-A1-R4_MC03g04874	A1	1970	518	aAutosome	aAutosome	NON	NON	5.07678	1970	1637.99	657.338	3.26636
MvSl-1064-A1-R4_MC03g04878	A1	3864	1242	aAutosome	aAutosome	NON	NON	-0.0703114	3864	3531.99	11.6476	0.0391512
MvSl-1064-A1-R4_MC03g04879	A1	3153	991	aAutosome	aAutosome	Down	DE	-1.07959	3153	2820.99	9.60647	0.0222408
MvSl-1064-A1-R4_MC03g04880	A1	4669	1387	aAutosome	aAutosome	NON	NON	5.64487	4669	4336.99	992.786	1.83216
MvSl-1064-A1-R4_MC03g04881	A1	1436	437	aAutosome	aAutosome	NON	NON	1.69725	1436	1103.99	72.0973	0.458734
MvSl-1064-A1-R4_MC03g04883	A1	2346	584	aAutosome	aAutosome	NON	NON	1.54902	2346	2013.99	55.0423	0.224216
MvSl-1064-A1-R4_MC03g04886	A1	945	240	aAutosome	aAutosome	NON	NON	3.02596	945	613.625	165	2.0862
MvSl-1064-A1-R4_MC03g04888	A1	2403	732	aAutosome	aAutosome	NON	NON	4.76014	2403	2070.99	505	2.07168
MvSl-1064-A1-R4_MC03g04889	A1	4291	1080	aAutosome	aAutosome	NON	NON	5.58675	4291	3958.99	913	1.92543
MvSl-1064-A1-R4_MC03g04890	A1	2999	933	aAutosome	aAutosome	NON	NON	8.15853	2999	2666.99	5398	17.0191
MvSl-1064-A1-R4_MC03g04891	A1	896	173	aAutosome	aAutosome	NON	NON	2.05511	896	565.446	80	1.1383
MvSl-1064-A1-R4_MC03g04892	A1	474	157	aAutosome	aAutosome	NON	NON	5.97932	474	181.347	1133	53.9594
MvSl-1064-A1-R4_MC03g04893	A1	2063	423	aAutosome	aAutosome	NON	NON	7.59168	2063	1730.99	4044.23	17.7835
MvSl-1064-A1-R4_MC03g04894	A1	557	134	aAutosome	aAutosome	NON	NON	4.42526	557	249.365	394.358	13.4152
MvSl-1064-A1-R4_MC03g04908	A1	3858	1240	aAutosome	aAutosome	NON	NON	0.777896	3858	3525.99	34.3589	0.0737092
MvSl-1064-A1-R4_MC03g04909	A1	4098	1119	aAutosome	aAutosome	Down	DE	2.10911	4098	3765.99	81.9312	0.178057
MvSl-1064-A1-R4_MC03g04915	A1	2049	575	aAutosome	aAutosome	NON	NON	3.31423	2049	1716.99	188.45	0.911958
MvSl-1064-A1-R4_MC03g04916	A1	1958	583	aAutosome	aAutosome	NON	NON	5.9673	1958	1625.99	1176	6.10306
MvSl-1064-A1-R4_MC03g04917	A1	3792	1165	aAutosome	aAutosome	NON	NON	5.20199	3792	3459.99	744	1.68979
MvSl-1064-A1-R4_MC03g04918	A1	1953	466	aAutosome	aAutosome	NON	NON	3.38696	1953	1620.99	182	1.01863
MvSl-1064-A1-R4_MC03g04919	A1	1079	188	aAutosome	aAutosome	NON	NON	4.86916	1079	746.991	553	6.18797
MvSl-1064-A1-R4_MC03g04920	A1	2404	718	aAutosome	aAutosome	NON	NON	4.85822	2404	2071.99	451	2.2593
MvSl-1064-A1-R4_MC03g04921	A1	2367	724	aAutosome	aAutosome	NON	NON	7.76062	2367	2034.99	3984	16.9323
MvSl-1064-A1-R4_MC03g04922	A1	1195	275	aAutosome	aAutosome	NON	NON	5.31034	1195	862.991	697	7.30051
MvSl-1064-A1-R4_MC03g04923	A1	3605	1145	aAutosome	aAutosome	NON	NON	8.03797	3605	3272.99	5316	12.7827
MvSl-1064-A1-R4_MC03g04925	A1	1512	344	aAutosome	aAutosome	NON	NON	8.99983	1512	1179.99	7408	71.4239
MvSl-1064-A1-R4_MC03g04926	A1	1707	387	aAutosome	aAutosome	NON	NON	1.55666	1707	1374.99	64	0.333153
MvSl-1064-A1-R4_MC03g04927	A1	1143	305	aAutosome	aAutosome	NON	NON	5.27005	1143	810.991	692	7.54331
MvSl-1064-A1-R4_MC03g04928	A1	891	212	aAutosome	aAutosome	NON	NON	3.39112	891	560.558	192	2.93919
MvSl-1064-A1-R4_MC03g04929	A1	2312	679	aAutosome	aAutosome	Up	DE	4.08922	2312	1979.99	306	1.35953
MvSl-1064-A1-R4_MC03g04931	A1	4406	1258	aAutosome	aAutosome	NON	NON	4.87841	4406	4073.99	638.821	1.15449
MvSl-1064-A1-R4_MC03g04936	A1	2038	424	aAutosome	aAutosome	NON	NON	3.41322	2038	1705.99	204.149	0.983269
MvSl-1064-A1-R4_MC03g04937	A1	2019	537	aAutosome	aAutosome	NON	NON	0.232887	2019	1686.99	15.3276	0.105675
MvSl-1064-A1-R4_MC03g04944	A1	870	210	aAutosome	aAutosome	NON	NON	1.85107	870	539.946	67.3469	1.02876
MvSl-1064-A1-R4_MC03g04952	A1	407	107	aAutosome	aAutosome	NON	NON	3.8868	407	132.053	282.417	17.1842
MvSl-1064-A1-R4_MC03g04953	A1	1755	403	aAutosome	aAutosome	NON	NON	3.97357	1755	1422.99	298.085	1.74222
MvSl-1064-A1-R4_MC03g04959	A1	510	169	aAutosome	aAutosome	Down	DE	-1.13823	510	209.791	4.28261	0.296839
MvSl-1064-A1-R4_MC03g04962	A1	2484	671	aAutosome	aAutosome	NON	NON	5.5261	2484	2151.99	710.064	3.46765
MvSl-1064-A1-R4_MC03g04963	A1	473	123	aAutosome	aAutosome	NON	NON	0.537458	473	180.618	29.0849	1.18261
MvSl-1064-A1-R4_MC03g04965	A1	2010	648	aAutosome	aAutosome	NON	NON	5.75715	2010	1677.99	1063	5.11442
MvSl-1064-A1-R4_MC03g04966	A1	377	102	aAutosome	aAutosome	NON	NON	0.707209	377	113.065	26	2.10187
MvSl-1064-A1-R4_MC03g04967	A1	1291	298	aAutosome	aAutosome	NON	NON	4.10034	1291	958.991	271	2.86754
MvSl-1064-A1-R4_MC03g04968	A1	1222	300	aAutosome	aAutosome	NON	NON	4.89645	1222	889.991	547	5.29706
MvSl-1064-A1-R4_MC03g04969	A1	766	227	aAutosome	aAutosome	NON	NON	5.69005	766	439.668	890	18.5857
MvSl-1064-A1-R4_MC03g04970	A1	1678	397	aAutosome	aAutosome	NON	NON	6.98196	1678	1345.99	2178	14.9731
MvSl-1064-A1-R4_MC03g04971	A1	1431	430	aAutosome	aAutosome	NON	NON	5.61088	1431	1098.99	879	7.05615
MvSl-1064-A1-R4_MC03g04972	A1	1285	231	aAutosome	aAutosome	NON	NON	9.03014	1285	952.991	9018	87.469
MvSl-1064-A1-R4_MC03g04973	A1	5434	1707	aAutosome	aAutosome	NON	NON	4.48423	5434	5101.99	532	0.712394
MvSl-1064-A1-R4_MC03g04974	A1	1968	460	aAutosome	aAutosome	NON	NON	2.30517	1968	1635.99	103	0.473376
MvSl-1064-A1-R4_MC03g04975	A1	2368	581	aAutosome	aAutosome	NON	NON	5.93376	2368	2035.99	1483	4.90814
MvSl-1064-A1-R4_MC03g04976	A1	510	169	aAutosome	aAutosome	NON	NON	4.03304	510	209.791	335	12.1301
MvSl-1064-A1-R4_MC03g04977	A1	2747	892	aAutosome	aAutosome	NON	NON	6.78423	2747	2414.99	2099	7.24564
MvSl-1064-A1-R4_MC03g04978	A1	3332	998	aAutosome	aAutosome	NON	NON	6.68345	3332	2999.99	2168	5.46997
MvSl-1064-A1-R4_MC03g04979	A1	1465	382	aAutosome	aAutosome	NON	NON	7.44324	1465	1132.99	3417	24.3928
MvSl-1064-A1-R4_MC03g04980	A1	2739	759	aAutosome	aAutosome	NON	NON	8.53479	2739	2406.99	7712	24.5786
MvSl-1064-A1-R4_MC03g04981	A1	3530	1080	aAutosome	aAutosome	NON	NON	7.25187	3530	3197.99	3004	7.57468
MvSl-1064-A1-R4_MC03g04983	A1	1015	279	aAutosome	aAutosome	NON	NON	6.06629	1015	682.991	1152	15.6162
MvSl-1064-A1-R4_MC03g04984	A1	4725	1344	aAutosome	aAutosome	NON	NON	3.35219	4725	4392.99	230	0.371836
MvSl-1064-A1-R4_MC03g04985	A1	1527	483	aAutosome	aAutosome	NON	NON	5.46947	1527	1194.99	898	5.88865
MvSl-1064-A1-R4_MC03g04986	A1	920	214	aAutosome	aAutosome	NON	NON	5.23092	920	588.926	892	10.3473
MvSl-1064-A1-R4_MC03g04987	A1	180	59	aAutosome	aAutosome	NON	NON	1.6052	180	28.4097	75	17.3254
MvSl-1064-A1-R4_MC03g04988	A1	919	125	aAutosome	aAutosome	NON	NON	3.02766	919	587.926	162	2.17612
MvSl-1064-A1-R4_MC03g04989	A1	2089	583	aAutosome	aAutosome	NON	NON	4.22472	2089	1756.99	324	1.68787
MvSl-1064-A1-R4_MC03g04990	A1	183	60	aAutosome	aAutosome	NON	NON	0.79747	183	29.3886	28	8.99635
MvSl-1064-A1-R4_MC03g04991	A1	3680	1015	aAutosome	aAutosome	NON	NON	5.80944	3680	3347.99	1098	2.65881
MvSl-1064-A1-R4_MC03g04992	A1	2178	691	aAutosome	aAutosome	NON	NON	8.55281	2178	1845.99	5987.11	32.804
MvSl-1064-A1-R4_MC03g04993	A1	664	179	aAutosome	aAutosome	NON	NON	5.08539	664	343.712	499.853	15.9682
MvSl-1064-A1-R4_MC03g04994	A1	1358	328	aAutosome	aAutosome	NON	NON	7.48319	1358	1025.99	2671	28.4678
MvSl-1064-A1-R4_MC03g04997	A1	1701	470	aAutosome	aAutosome	NON	NON	5.49075	1701	1368.99	867	5.20629
MvSl-1064-A1-R4_MC03g04998	A1	6135	1446	aAutosome	aAutosome	NON	NON	8.21766	6135	5802.99	5648	8.15139
MvSl-1064-A1-R4_MC03g04999	A1	1059	231	aAutosome	aAutosome	NON	NON	5.82389	1059	726.991	984	12.3884
MvSl-1064-A1-R4_MC03g05000	A1	2045	561	aAutosome	aAutosome	NON	NON	6.44741	2045	1712.99	1422	8.17712
MvSl-1064-A1-R4_MC03g05001	A1	2219	460	aAutosome	aAutosome	NON	NON	6.22748	2219	1886.99	1604	6.34682
MvSl-1064-A1-R4_MC03g05003	A1	1750	315	aAutosome	aAutosome	NON	NON	7.38	1750	1417.99	3640	18.8342
MvSl-1064-A1-R4_MC03g05004	A1	1657	523	aAutosome	aAutosome	NON	NON	3.79347	1657	1324.99	195	1.72091
MvSl-1064-A1-R4_MC03g05005	A1	1938	467	aAutosome	aAutosome	NON	NON	5.49841	1938	1605.99	959	4.49027
MvSl-1064-A1-R4_MC03g05006	A1	1023	207	aAutosome	aAutosome	NON	NON	5.0621	1023	690.991	580	7.67642
MvSl-1064-A1-R4_MC03g05007	A1	1912	466	aAutosome	aAutosome	NON	NON	4.29833	1912	1579.99	389	1.97036
MvSl-1064-A1-R4_MC03g05008	A1	918	305	aAutosome	aAutosome	NON	NON	4.81289	918	586.985	492	7.58529
MvSl-1064-A1-R4_MC03g05009	A1	991	260	aAutosome	aAutosome	NON	NON	5.79024	991	658.991	1064	13.2998
MvSl-1064-A1-R4_MC03g05010	A1	4872	1554	aAutosome	aAutosome	NON	NON	6.72242	4872	4539.99	1983	3.69361
MvSl-1064-A1-R4_MC03g05014	A1	2234	664	aAutosome	aAutosome	NON	NON	4.02991	2234	1901.99	315.898	1.35657
MvSl-1064-A1-R4_MC03g05021	A1	3559	860	aAutosome	aAutosome	NON	NON	4.44181	3559	3226.99	490.392	1.08207
MvSl-1064-A1-R4_MC03g05023	A1	1254	322	aAutosome	aAutosome	NON	NON	5.42501	1254	921.991	688	7.48349
MvSl-1064-A1-R4_MC03g05024	A1	576	74	aAutosome	aAutosome	NON	NON	1.73785	576	265.892	40	2.06863
MvSl-1064-A1-R4_MC03g05025	A1	1135	286	aAutosome	aAutosome	NON	NON	6.02657	1135	802.991	1251	12.8666
MvSl-1064-A1-R4_MC03g05026	A1	1132	242	aAutosome	aAutosome	NON	NON	3.96204	1132	799.991	364	3.14309
MvSl-1064-A1-R4_MC03g05027	A1	704	210	aAutosome	aAutosome	NON	NON	1.86242	704	380.437	76	1.47752
MvSl-1064-A1-R4_MC03g05028	A1	705	234	aAutosome	aAutosome	NON	NON	2.38611	705	381.398	94	2.11932
MvSl-1064-A1-R4_MC03g05029	A1	597	198	aAutosome	aAutosome	NON	NON	1.30914	597	283.566	48	1.32122
MvSl-1064-A1-R4_MC03g05030	A1	2492	665	aAutosome	aAutosome	NON	NON	7.92359	2492	2159.99	2887	19.8381
MvSl-1064-A1-R4_MC03g05031	A1	4240	1341	aAutosome	aAutosome	NON	NON	5.04949	4240	3907.99	494	1.38109
MvSl-1064-A1-R4_MC03g05032	A1	1534	368	aAutosome	aAutosome	NON	NON	4.96127	1534	1201.99	623.373	4.11002
MvSl-1064-A1-R4_MC03g05033	A1	426	141	aAutosome	aAutosome	NON	NON	2.26593	426	145.552	104.756	5.07675
MvSl-1064-A1-R4_MC03g05034	A1	1640	436	aAutosome	aAutosome	NON	NON	6.49224	1640	1307.99	1529	10.985
MvSl-1064-A1-R4_MC03g05035	A1	640	181	aAutosome	aAutosome	NON	NON	3.50451	640	322.036	205	5.50368
MvSl-1064-A1-R4_MC03g05036	A1	255	84	aAutosome	aAutosome	NON	NON	5.2025	255	51.5313	704	110.433
MvSl-1064-A1-R4_MC03g05038	A1	580	157	aAutosome	aAutosome	NON	NON	4.6821	580	269.212	407.566	15.0795
MvSl-1064-A1-R4_MC03g05039	A1	195	64	aAutosome	aAutosome	NON	NON	2.83552	195	33.1815	115	34.4635
MvSl-1064-A1-R4_MC03g05043	A1	513	75	aAutosome	aAutosome	NON	NON	3.64681	513	212.185	249.478	9.14819
MvSl-1064-A1-R4_MC03g05044	A1	777	258	aAutosome	aAutosome	NON	NON	4.43537	777	450.17	338	7.68755
MvSl-1064-A1-R4_MC03g05045	A1	2641	687	aAutosome	aAutosome	NON	NON	5.10865	2641	2308.99	676	2.36898
MvSl-1064-A1-R4_MC03g05046	A1	831	276	aAutosome	aAutosome	NON	NON	4.82839	831	501.831	501	8.94658
MvSl-1064-A1-R4_MC03g05047	A1	3379	835	aAutosome	aAutosome	NON	NON	9.3783	3379	3046.99	13034	34.7211
MvSl-1064-A1-R4_MC03g05048	A1	1425	381	aAutosome	aAutosome	NON	NON	5.45755	1425	1092.99	610	6.67778
MvSl-1064-A1-R4_MC03g05049	A1	2808	853	aAutosome	aAutosome	NON	NON	6.86407	2808	2475.99	2258	7.47138
MvSl-1064-A1-R4_MC03g05050	A1	3947	1165	aAutosome	aAutosome	NON	NON	7.87044	3947	3614.99	5166	10.4011
MvSl-1064-A1-R4_MC03g05051	A1	716	148	aAutosome	aAutosome	NON	NON	7.52746	716	391.965	2730	76.2986
MvSl-1064-A1-R4_MC03g05052	A1	2665	631	aAutosome	aAutosome	NON	NON	4.34893	2665	2332.99	405	1.38299
MvSl-1064-A1-R4_MC03g05053	A1	2316	607	aAutosome	aAutosome	NON	NON	5.93355	2316	1983.99	1307	4.92212
MvSl-1064-A1-R4_MC03g05054	A1	3765	1140	aAutosome	aAutosome	NON	NON	7.434	3765	3432.99	3184	8.00444
MvSl-1064-A1-R4_MC03g05055	A1	211	44	aAutosome	aAutosome	NON	NON	2.62556	211	37.8609	120	25.6941
MvSl-1064-A1-R4_MC03g05056	A1	3520	848	aAutosome	aAutosome	NON	NON	5.88575	3520	3187.99	1266.65	2.96482
MvSl-1064-A1-R4_MC03g05057	A1	1989	400	aAutosome	aAutosome	NON	NON	4.60782	1989	1656.99	332	2.45415
MvSl-1064-A1-R4_MC03g05058	A1	1326	418	aAutosome	aAutosome	NON	NON	7.60072	1326	993.991	4010	31.1023
MvSl-1064-A1-R4_MC03g05059	A1	3703	1120	aAutosome	aAutosome	NON	NON	7.88351	3703	3370.99	5767	11.4832
MvSl-1064-A1-R4_MC03g05060	A1	2379	716	aAutosome	aAutosome	NON	NON	7.41753	2379	2046.99	3047	13.2879
MvSl-1064-A1-R4_MC03g05061	A1	1975	576	aAutosome	aAutosome	NON	NON	2.5674	1975	1642.99	91	0.57428
MvSl-1064-A1-R4_MC03g05062	A1	535	69	aAutosome	aAutosome	NON	NON	4.79783	535	230.816	445	18.953
MvSl-1064-A1-R4_MC03g05063	A1	751	163	aAutosome	aAutosome	NON	NON	5.31679	751	425.062	705	14.7844
MvSl-1064-A1-R4_MC03g05064	A1	6510	2041	aAutosome	aAutosome	NON	NON	9.04058	6510	6177.99	9490	13.5651
MvSl-1064-A1-R4_MC03g05065	A1	1816	515	aAutosome	aAutosome	NON	NON	5.72139	1816	1483.99	899	5.66847
MvSl-1064-A1-R4_MC03g05066	A1	3618	925	aAutosome	aAutosome	NON	NON	5.59754	3618	3285.99	969	2.34051
MvSl-1064-A1-R4_MC03g05067	A1	2125	615	aAutosome	aAutosome	NON	NON	5.09033	2125	1792.99	612	3.01396
MvSl-1064-A1-R4_MC03g05068	A1	3414	918	aAutosome	aAutosome	NON	NON	6.69968	3414	3081.99	2015	5.35594
MvSl-1064-A1-R4_MC03g05069	A1	1512	446	aAutosome	aAutosome	NON	NON	1.806	1512	1179.99	69.4084	0.460805
MvSl-1064-A1-R4_MC03g05070	A1	1513	446	aAutosome	aAutosome	Down	DE	-1.14254	1513	1180.99	24.0109	0.0883922
MvSl-1064-A1-R4_MC03g05071	A1	1519	448	aAutosome	aAutosome	NON	NON	1.91013	1519	1186.99	79.5807	0.492333
MvSl-1064-A1-R4_MC03g05072	A1	3168	683	aAutosome	aAutosome	NON	NON	5.69768	3168	2835.99	1207	2.96359
MvSl-1064-A1-R4_MC03g05073	A1	6016	1740	aAutosome	aAutosome	NON	NON	8.21796	6016	5683.99	5850	8.32858
MvSl-1064-A1-R4_MC03g05074	A1	953	152	aAutosome	aAutosome	NON	NON	6.4713	953	621.501	1455	22.8501
MvSl-1064-A1-R4_MC03g05075	A1	1529	458	aAutosome	aAutosome	NON	NON	9.78236	1529	1196.99	12622	121.441
MvSl-1064-A1-R4_MC03g05076	A1	1968	569	aAutosome	aAutosome	NON	NON	2.93813	1968	1635.99	140	0.734945
MvSl-1064-A1-R4_MC03g05077	A1	714	237	aAutosome	aAutosome	Down	DE	6.18396	714	390.044	1559	29.5887
MvSl-1064-A1-R4_MC03g05078	A1	1628	422	aAutosome	aAutosome	NON	NON	12.8348	1628	1295.99	115474	910.275
MvSl-1064-A1-R4_MC03g05079	A1	374	90	aAutosome	aAutosome	NON	NON	9.62818	374	111.018	10891	1144.52
MvSl-1064-A1-R4_MC03g05080	A1	1108	342	aAutosome	aAutosome	NON	NON	3.94934	1108	775.991	251	3.1737
MvSl-1064-A1-R4_MC03g05081	A1	363	120	aAutosome	aAutosome	NON	NON	0.250917	363	104.261	27	1.67869
MvSl-1064-A1-R4_MC03g05082	A1	341	86	aAutosome	aAutosome	Up	DE	3.41015	341	91.6888	215	17.7837
MvSl-1064-A1-R4_MC03g05083	A1	8733	2626	aAutosome	aAutosome	NON	NON	8.12444	8733	8400.99	6116	5.3329
MvSl-1064-A1-R4_MC03g05086	A1	2171	704	aAutosome	aAutosome	NON	NON	6.04252	2171	1838.99	1393	5.71944
MvSl-1064-A1-R4_MC03g05087	A1	926	256	aAutosome	aAutosome	NON	NON	2.49267	926	594.867	128	1.50323
MvSl-1064-A1-R4_MC03g05089	A1	2700	657	aAutosome	aAutosome	NON	NON	8.9485	2700	2367.99	8945	33.1816
MvSl-1064-A1-R4_MC03g05090	A1	1784	400	aAutosome	aAutosome	NON	NON	6.81184	1784	1451.99	1933	12.3374
MvSl-1064-A1-R4_MC03g05091	A1	2250	598	aAutosome	aAutosome	NON	NON	7.56108	2250	1917.99	3513	15.6379
MvSl-1064-A1-R4_MC03g05092	A1	3361	1061	aAutosome	aAutosome	NON	NON	7.60561	3361	3028.99	3258	10.2948
MvSl-1064-A1-R4_MC03g05093	A1	671	193	aAutosome	aAutosome	NON	NON	5.43359	671	350.18	647	19.9065
MvSl-1064-A1-R4_MC03g05094	A1	893	272	aAutosome	aAutosome	NON	NON	1.78269	893	562.502	54.5154	0.944962
MvSl-1064-A1-R4_MC03g05099	A1	192	63	aAutosome	aAutosome	NON	NON	3.03351	192	32.2087	131.202	40.7853
MvSl-1064-A1-R4_MC03g05100	A1	3364	990	aAutosome	aAutosome	NON	NON	6.56137	3364	3031.99	1676	4.95589
MvSl-1064-A1-R4_MC03g05101	A1	4633	1398	aAutosome	aAutosome	NON	NON	4.26052	4633	4300.99	443	0.718959
MvSl-1064-A1-R4_MC03g05103	A1	4969	1575	aAutosome	aAutosome	NON	NON	5.32818	4969	4636.99	920	1.39838
MvSl-1064-A1-R4_MC03g05104	A1	4998	1308	aAutosome	aAutosome	NON	NON	5.95622	4998	4665.99	1417	2.1479
MvSl-1064-A1-R4_MC03g05105	A1	1602	339	aAutosome	aAutosome	NON	NON	4.80949	1602	1269.99	448	3.54403
