gid	dn	dnse	ds	dsse	dnds	part8	youngold	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_A1g01227	0.0541	0.0235	0.0136	0.0058	3.977941176	Purple	OldStrata	2854025	2856120	7.55894355	-0.280852976	0.280852976	0.31335343	0.897379703	7.079718082	7.68163989	8.019492733	7.269029955	NON	NON
MvSl-1064-A1-R4_A1g00270	0.0439	0.0119	0.0137	0.0042	3.204379562	Black	OldStrata	1136196	1138565	5.488642924	-1.168558114	1.168558114	2.01E-07	7.28E-06	4.954685599	4.609668146	5.962125924	5.954405817	Down	DE
MvSl-1064-A1-R4_MC14g11886	0.0214	0.0059	0.0138	0.0026	1.550724638	Auto	Auto	366422	366811	7.045603916	-0.110811228	0.110811228	0.551886695	0.991483975	7.013183006	6.964870918	7.142335735	7.056267889	NON	NON
MvSl-1064-A1-R4_A1g00165	0.0382	0.0076	0.0139	0.0027	2.748201439	Black	OldStrata	621126	622892	7.334891887	-0.801032568	0.801032568	5.23E-05	0.001260356	6.838905348	6.920104979	7.656871623	7.703989183	Down	DE
MvSl-1064-A1-R4_A1g01388	0.052	0.0106	0.0139	0.0029	3.741007194	Black	OldStrata	471540	472718	5.487450676	0.406271174	0.406271174	0.165257861	0.705827465	5.509930304	5.823861874	5.673000739	4.708103104	NON	NON
MvSl-1064-A1-R4_A1g00311	0.0248	0.0042	0.0139	0.0022	1.784172662	Black	OldStrata	1488010	1490661	8.043715987	0.053430623	0.053430623	0.809093466	0.999949922	8.145456532	7.990720922	7.934906409	8.094220649	NON	NON
MvSl-1064-A1-R4_A1g01154	0.0087	0.0087	0.0139	0.0057	0.625899281	Blue	OldStrata	1217849	1218338	7.345488359	-0.069641132	0.069641132	0.729952234	0.999949922	7.194026491	7.41788602	7.435991667	7.321500417	NON	NON
MvSl-1064-A1-R4_A1g01174	0.0331	0.0118	0.0141	0.0045	2.34751773	Black	OldStrata	2576791	2577822	6.028028533	-1.343688683	1.343688683	9.53E-11	5.26E-09	5.23551822	5.179573941	6.693226827	6.389170415	Down	DE
MvSl-1064-A1-R4_MC01-1g02246	0.0118	0.0043	0.0143	0.0029	0.825174825	Auto	Auto	815658	818908	9.232815794	-0.372216139	0.372216139	0.199583522	0.764101896	8.880529907	9.174162329	9.625694588	9.149015542	NON	NON
MvSl-1064-A1-R4_A1g01346	0.067	0.0303	0.0145	0.006	4.620689655	Black	OldStrata	1792754	1794128	7.445948871	-0.29082474	0.29082474	0.256752188	0.839699484	6.954468157	7.567655714	7.820157465	7.301544667	NON	NON
MvSl-1064-A1-R4_A1g00832	0.0268	0.0068	0.0145	0.0029	1.848275862	Black	OldStrata	3195577	3196417	7.441163571	0.093408117	0.093408117	0.635670618	0.999949922	7.482209006	7.491883853	7.374935635	7.412228594	NON	NON
MvSl-1064-A1-R4_A1g00254	0.0346	0.0077	0.0147	0.0031	2.353741497	Black	OldStrata	651956	657345	4.805555172	-1.92950017	1.92950017	2.21E-12	1.51E-10	3.782372513	3.272927838	5.291583489	5.630506344	Down	DE
MvSl-1064-A1-R4_A1g01392	0.0226	0.0046	0.0147	0.0024	1.537414966	Black	OldStrata	380085	382864	5.351514336	-0.243712597	0.243712597	0.295023142	0.881068661	5.224618001	5.225721181	5.669991661	5.233398878	NON	NON
MvSl-1064-A1-R4_A1g00292	0.0373	0.0097	0.0148	0.0035	2.52027027	Black	OldStrata	1153924	1156082	6.888217476	-0.906844922	0.906844922	6.74E-06	0.000186342	6.208912143	6.506963213	7.397851347	7.133366457	Down	DE
MvSl-1064-A1-R4_MC03g04838	0.0235	0.007	0.0149	0.003	1.577181208	Auto	Auto	1410723	1412794	4.443812759	0.269546369	0.269546369	0.369156616	0.930761767	4.731608403	4.390584558	3.879465486	4.6302411	NON	NON
MvSl-1064-A1-R4_A1g00241	0.0283	0.009	0.0152	0.0048	1.861842105	Black	OldStrata	1132727	1134319	7.200292797	0.569678864	0.569678864	0.003608728	0.051746004	7.358865128	7.548537996	6.883192877	6.891828089	NON	NON
MvSl-1064-A1-R4_A1g01366	0.0338	0.0073	0.0157	0.0032	2.152866242	Black	OldStrata	1176877	1180058	6.385592251	-0.069623816	0.069623816	0.709385831	0.999949922	6.318055535	6.382121071	6.390053064	6.449355693	NON	NON
MvSl-1064-A1-R4_A1g00779	0.0444	0.0076	0.0158	0.0027	2.810126582	Black	OldStrata	782234	783980	7.820762219	0.677992555	0.677992555	0.001218585	0.020801494	8.145215707	8.094346283	7.433775815	7.450790475	Up	DE
MvSl-1064-A1-R4_A1g00522	0.0333	0.0097	0.016	0.0043	2.08125	Black	OldStrata	1399296	1400598	1.371007143	-4.655908909	4.655908909	1.04E-16	1.03E-14	-2.75614321	-1.215597698	2.451304939	2.185942725	Down	DE
MvSl-1064-A1-R4_MC02g03208	0.0317	0.0108	0.0164	0.0044	1.932926829	Auto	Auto	100272	102672	5.038660351	0.110987309	0.110987309	0.625784668	0.99817153	5.072844224	5.112382777	5.042148525	4.919262268	NON	NON
MvSl-1064-A1-R4_A1g00575	0.0287	0.0058	0.0166	0.0029	1.728915663	Black	OldStrata	928859	929481	6.510301587	-0.417508294	0.417508294	0.033652289	0.286262109	6.318909892	6.254375961	6.559785474	6.835346907	NON	NON
MvSl-1064-A1-R4_A1g00155	0.0419	0.01	0.0169	0.004	2.479289941	Black	OldStrata	2705499	2709175	6.358667938	0.426648292	0.426648292	0.032923882	0.282030326	6.5165501	6.593980223	6.289726658	5.949284579	NON	NON
MvSl-1064-A1-R4_A1g00668	0.0454	0.0095	0.0174	0.0036	2.609195402	Orange	ColorStrata	1441050	1443387	6.117997614	-5.711873018	5.711873018	2.15E-96	3.68E-93	1.027525212	1.74502952	7.12815356	7.055076482	Down	DE
MvSl-1064-A1-R4_A1g01137	0.03	0.0073	0.0179	0.0039	1.675977654	Black	OldStrata	1213232	1215281	6.186903311	-0.592036629	0.592036629	0.001899747	0.030020219	5.904194595	5.817848823	6.447413705	6.458396105	Down	DE
MvSl-1064-A1-R4_A1g01261	0.0313	0.0041	0.018	0.0019	1.738888889	Orange	ColorStrata	2598714	2598931	9.095566891	-2.188677548	2.188677548	2.80E-12	1.88E-10	7.93867708	7.214132059	9.845326344	9.77286924	Down	DE
MvSl-1064-A1-R4_A1g00648	0.0206	0.0066	0.0181	0.0043	1.138121547	Black	OldStrata	724341	725782	6.475207556	0.646589946	0.646589946	0.000603139	0.011519531	6.784277302	6.739131388	6.086949815	6.144519081	Up	DE
MvSl-1064-A1-R4_A1g00516	0.0227	0.0102	0.0187	0.005	1.213903743	Black	OldStrata	2776699	2777667	8.659814433	-0.952952226	0.952952226	0.000213002	0.00443055	8.032808644	8.176295153	9.232840031	8.861394841	Down	DE
MvSl-1064-A1-R4_A1g00972	0.018	0.0074	0.0188	0.0049	0.957446809	Black	OldStrata	2516666	2518918	6.202889736	-1.734381671	1.734381671	1.81E-15	1.58E-13	5.082938239	5.102523392	7.033577842	6.579351014	Down	DE
MvSl-1064-A1-R4_A1g00669	0.034	0.0077	0.0193	0.0036	1.761658031	Orange	ColorStrata	1437496	1440368	5.39943444	-0.013902852	0.013902852	0.948397606	0.999949922	5.370200242	5.414469147	5.449078392	5.362290451	NON	NON
MvSl-1064-A1-R4_A1g00351	0.0301	0.0053	0.0195	0.0027	1.543589744	Black	OldStrata	1607578	1607793	6.501227834	0.198779887	0.198779887	0.409390671	0.952611544	6.874788815	6.252593908	6.18400944	6.585140546	NON	NON
MvSl-1064-A1-R4_A1g01368	0.0256	0.0041	0.0195	0.0023	1.312820513	Black	OldStrata	1166037	1167381	5.968992551	-0.173537055	0.173537055	0.480396082	0.97871377	6.058458009	5.676137919	5.705692872	6.333261228	NON	NON
MvSl-1064-A1-R4_MC11g10716	0.0195	0.0068	0.0196	0.0041	0.994897959	Auto	Auto	1365431	1367006	7.446606803	-0.367724658	0.367724658	0.073123389	0.468614584	7.206545006	7.294707265	7.740644166	7.485697885	NON	NON
MvSl-1064-A1-R4_A1g00778	0.0379	0.0074	0.0198	0.0034	1.914141414	Black	OldStrata	742628	743237	4.875832498	0.389977485	0.389977485	0.140933054	0.653242946	5.040060429	5.072534401	4.316612205	4.950354127	NON	NON
MvSl-1064-A1-R4_A1g01384	0.0289	0.006	0.0201	0.0031	1.437810945	Black	OldStrata	1838292	1841771	7.461687284	-0.947792045	0.947792045	4.74E-06	0.000134121	6.799048222	7.016713595	7.929883853	7.784912615	Down	DE
MvSl-1064-A1-R4_A1g01393	0.0258	0.0082	0.0201	0.005	1.28358209	Black	OldStrata	406221	406733	6.058514993	0.3978728	0.3978728	0.039886366	0.32537075	6.276439743	6.209150629	5.828172275	5.863410803	NON	NON
MvSl-1064-A1-R4_A1g01189	0.0283	0.01	0.0202	0.0052	1.400990099	Black	OldStrata	896092	900842	7.152241064	0.516954041	0.516954041	0.011500675	0.130396913	7.39941328	7.375120093	6.660247717	7.054480409	NON	NON
MvSl-1064-A1-R4_A1g00514	0.0212	0.0038	0.0206	0.0026	1.029126214	Black	OldStrata	2082576	2084202	7.255506686	-0.1411675	0.1411675	0.619431849	0.994463625	7.522817814	6.738494897	6.946732928	7.623489419	NON	NON
MvSl-1064-A1-R4_A1g00281	0.0484	0.0067	0.0208	0.0028	2.326923077	Black	OldStrata	679143	681507	6.155642993	0.0839626	0.0839626	0.704406304	0.999949922	6.403499488	5.955665829	5.943556501	6.264828172	NON	NON
MvSl-1064-A1-R4_A1g00960	0.0374	0.0155	0.021	0.0067	1.780952381	Black	OldStrata	2004135	2004905	7.509170062	-0.16311838	0.16311838	0.503724144	0.982488598	7.656908565	7.149525878	7.331795454	7.806313564	NON	NON
MvSl-1064-A1-R4_A1g00772	0.0345	0.0116	0.0213	0.0054	1.61971831	Blue	OldStrata	468377	470856	3.861082663	-0.447897559	0.447897559	0.206911815	0.775828557	3.284267261	3.896886764	4.448895182	3.547374168	NON	NON
MvSl-1064-A1-R4_A1g00513	0.0215	0.0073	0.0217	0.0042	0.99078341	Black	OldStrata	2207283	2207567	5.76904853	-0.036290579	0.036290579	0.858251991	0.999949922	5.717252433	5.783704593	5.814611681	5.758989152	NON	NON
MvSl-1064-A1-R4_A1g00842	0.0636	0.014	0.022	0.0048	2.890909091	Black	OldStrata	1526188	1527713	6.494307529	-0.32013805	0.32013805	0.13653441	0.647654967	6.09482704	6.524791563	6.772519873	6.506258889	NON	NON
MvSl-1064-A1-R4_A1g00507	0.0282	0.0053	0.022	0.0028	1.281818182	Black	OldStrata	2165490	2171869	5.89655757	0.015950984	0.015950984	0.945150949	0.999949922	6.025341867	5.772555793	5.600573118	6.128749724	NON	NON
MvSl-1064-A1-R4_A1g00845	0.0342	0.0051	0.022	0.0027	1.554545455	Black	OldStrata	1786241	1788119	5.98148388	0.042076431	0.042076431	0.841217261	0.999949922	6.143865267	5.845303676	5.832215722	6.078036045	NON	NON
MvSl-1064-A1-R4_A1g00920	0.0293	0.0044	0.0231	0.0027	1.268398268	Black	OldStrata	3044289	3046699	3.672418951	-0.976671928	0.976671928	0.011418393	0.129635917	3.580588874	2.414418429	3.788055577	4.324885121	NON	NON
MvSl-1064-A1-R4_A1g00144	0.0496	0.0204	0.0236	0.0084	2.101694915	Black	OldStrata	1162650	1164414	6.389208762	-0.412659961	0.412659961	0.053566618	0.391068336	6.049220668	6.279096298	6.790641832	6.335225637	NON	NON
MvSl-1064-A1-R4_A1g00350	0.0239	0.0057	0.0239	0.0038	1	Black	OldStrata	1608112	1609203	4.674464515	0.902069081	0.902069081	0.000693619	0.012975377	4.77956537	5.282714221	4.225270795	4.079797675	Up	DE
MvSl-1064-A1-R4_A1g00957	0.029	0.0119	0.0245	0.0071	1.183673469	Black	OldStrata	1991175	1993509	5.095798749	0.390662934	0.390662934	0.090218281	0.52625088	5.14976602	5.393598278	4.90299064	4.871330818	NON	NON
MvSl-1064-A1-R4_A1g00495	0.0619	0.0146	0.0248	0.0061	2.495967742	Blue	OldStrata	3171155	3174630	6.456170652	-1.952930588	1.952930588	1.30E-23	1.65E-21	5.143992398	5.205598012	7.083055154	7.166291679	Down	DE
MvSl-1064-A1-R4_A1g01219	0.057	0.0085	0.0253	0.0035	2.252964427	Black	OldStrata	2573298	2575010	10.72718883	-0.829550149	0.829550149	0.028399081	0.257353609	9.822889405	10.58493239	11.25001652	10.89443202	NON	NON
MvSl-1064-A1-R4_A1g00269	0.0492	0.0092	0.0256	0.004	1.921875	Black	OldStrata	1139524	1144406	6.339085605	-4.216289271	4.216289271	2.19E-61	1.56E-58	3.359271189	2.691962548	7.291736728	7.236816721	Down	DE
MvSl-1064-A1-R4_A1g00854	0.0559	0.0098	0.0268	0.0038	2.085820896	Purple	OldStrata	1796095	1800988	7.27391874	0.751578848	0.751578848	0.000343104	0.006853261	7.590182561	7.611418397	6.648830291	7.026183504	Up	DE
MvSl-1064-A1-R4_A1g00921	0.031	0.0088	0.0272	0.0048	1.139705882	Black	OldStrata	3068865	3070179	7.383520799	0.145781482	0.145781482	0.464782804	0.976188214	7.484875985	7.423440747	7.390100775	7.222560382	NON	NON
MvSl-1064-A1-R4_A1g00327	0.0284	0.0129	0.0278	0.0081	1.021582734	Black	OldStrata	1199905	1206247	4.136656062	-0.087017264	0.087017264	0.742908603	0.999949922	4.05681556	4.128287818	4.170964231	4.188106733	NON	NON
MvSl-1064-A1-R4_A1g00840	0.0399	0.0091	0.0288	0.005	1.385416667	Black	OldStrata	3189050	3195319	6.710870848	0.269924924	0.269924924	0.144824434	0.661380388	6.752377784	6.921227202	6.610890881	6.527031968	NON	NON
MvSl-1064-A1-R4_A1g00433	0.0201	0.0066	0.029	0.005	0.693103448	Black	OldStrata	1688108	1688798	5.37347803	-0.345609102	0.345609102	0.122607803	0.628025229	5.299244679	5.074553178	5.427859192	5.636891132	NON	NON
MvSl-1064-A1-R4_A1g00647	0.0753	0.0231	0.0295	0.008	2.552542373	Black	OldStrata	741065	742055	7.480054117	-0.06376242	0.06376242	0.789980705	0.999949922	7.337101654	7.550715026	7.792408492	7.162424356	NON	NON
MvSl-1064-A1-R4_A1g00749	0.0228	0.0047	0.03	0.0037	0.76	Black	OldStrata	1108286	1110870	6.600892322	-0.432980787	0.432980787	0.208677142	0.7774405	6.849587051	5.642511478	6.35300888	7.142930696	NON	NON
MvSl-1064-A1-R4_A1g00644	0.0291	0.0062	0.0318	0.0046	0.91509434	Black	OldStrata	1751427	1752854	5.076743613	-1.306575235	1.306575235	7.95E-08	3.00E-06	4.42698439	4.128287818	5.70716142	5.457345095	Down	DE
MvSl-1064-A1-R4_A1g00193	0.0891	0.0205	0.0318	0.0056	2.801886792	Black	OldStrata	1648933	1652928	8.564615798	-0.688650635	0.688650635	0.004250001	0.059048018	8.121417663	8.23591116	8.919485806	8.815166942	NON	NON
MvSl-1064-A1-R4_A1g00367	0.047	0.0107	0.0336	0.0054	1.398809524	Red	ColorStrata	248916	251783	4.023885874	-0.553218188	0.553218188	0.040568435	0.328427608	3.742173882	3.706937046	4.308895087	4.2393572	NON	NON
MvSl-1064-A1-R4_MC10-1g09665	0.0997	0.0358	0.0341	0.0086	2.923753666	Auto	Auto	117397	118642	7.9073958	0.041972836	0.041972836	0.843018199	0.999949922	7.887476519	7.967823249	7.819139186	7.950405561	NON	NON
MvSl-1064-A1-R4_A1g01252	0.0708	0.0172	0.0369	0.0079	1.918699187	Orange	ColorStrata	473140	476235	6.604510098	-0.111374107	0.111374107	0.549697382	0.990961921	6.554041384	6.541672778	6.646535923	6.671640035	NON	NON
MvSl-1064-A1-R4_A1g00312	0.0263	0.0142	0.0377	0.0108	0.697612732	Black	OldStrata	1486271	1487768	8.489494858	-3.601662265	3.601662265	1.65E-35	3.71E-33	5.878926465	5.665462493	9.613607804	9.090179052	Down	DE
MvSl-1064-A1-R4_A1g00997	0.0258	0.0065	0.0395	0.0058	0.653164557	Blue	OldStrata	1970332	1974462	5.93035825	-3.509378289	3.509378289	8.24E-55	4.40E-52	3.405047503	3.215539058	6.86357204	6.754713857	Down	DE
MvSl-1064-A1-R4_A1g00448	0.065	0.015	0.0409	0.0062	1.589242054	Black	OldStrata	3110528	3114459	6.769288689	-2.200893457	2.200893457	1.52E-25	2.25E-23	5.418827812	5.143487511	7.650779306	7.299533825	Down	DE
MvSl-1064-A1-R4_A1g00752	0.0693	0.0149	0.0411	0.0069	1.686131387	Black	OldStrata	1010063	1012204	3.566412471	-5.754454425	5.754454425	7.24E-43	2.69E-40	-0.58227834	-1.382795818	4.627030059	4.46064975	Down	DE
MvSl-1064-A1-R4_A1g00478	0.0954	0.0143	0.0443	0.0053	2.153498871	Blue	OldStrata	3114574	3115941	7.070975227	-0.180090396	0.180090396	0.348266735	0.918795024	6.863121803	7.084897899	7.193525165	7.122032628	NON	NON
MvSl-1064-A1-R4_A1g00349	0.1173	0.0274	0.0516	0.0096	2.273255814	Black	OldStrata	1701948	1703146	10.89651077	2.448345756	2.448345756	1.57E-10	8.58E-09	11.86238788	11.4096367	9.013437315	9.375056075	Up	DE
MvSl-1064-A1-R4_A1g00726	0.1207	0.0276	0.0516	0.0097	2.339147287	Black	OldStrata	578151	581054	7.513339964	-0.323750225	0.323750225	0.12374545	0.62870495	7.278579222	7.403904908	7.818120189	7.496270889	NON	NON
MvSl-1064-A1-R4_A1g01404	0.0823	0.0181	0.0533	0.0082	1.544090056	Black	OldStrata	1207176	1208666	2.637666471	-5.516663924	5.516663924	2.10E-31	4.08E-29	-1.56888085	-1.382795818	3.553488082	3.676947153	Down	DE
MvSl-1064-A1-R4_A1g00175	0.1432	0.0181	0.0538	0.0065	2.661710037	Purple	OldStrata	2723676	2724484	6.255647499	0.199201769	0.199201769	0.317498116	0.898238153	6.499318156	6.186928362	6.227639651	6.073336074	NON	NON
MvSl-1064-A1-R4_A1g00533	0.0717	0.0175	0.0568	0.0096	1.262323944	Black	OldStrata	1356910	1358431	6.013655575	-0.112005668	0.112005668	0.564362193	0.99268324	5.962216717	5.951277861	6.111556503	6.024257403	NON	NON
MvSl-1064-A1-R4_A1g01135	0.1527	0.0286	0.0626	0.0108	2.439297125	Black	OldStrata	1112670	1116562	5.749579335	0.917019786	0.917019786	1.04E-05	0.000281899	6.122493514	6.147196214	5.311029848	5.121749635	Up	DE
MvSl-1064-A1-R4_A1g00624	0.0899	0.0213	0.0656	0.0115	1.370426829	Purple	OldStrata	907140	907771	6.80534784	-0.708893366	0.708893366	0.000113263	0.002541427	6.408324205	6.408769044	7.180897076	7.049702941	Down	DE
MvSl-1064-A1-R4_MC04-1g05647	0.0872	0.0251	0.0656	0.0144	1.329268293	Auto	Auto	821521	824839	3.622662011	0.130466904	0.130466904	0.652858814	0.999949922	3.608807992	3.75807672	3.635988111	3.470814831	NON	NON
MvSl-1064-A1-R4_A1g00230	0.1111	0.0287	0.0678	0.0117	1.638643068	Purple	OldStrata	919803	924298	5.230187082	1.402672746	1.402672746	2.99E-09	1.32E-07	5.838983877	5.685414554	4.170964231	4.537736211	Up	DE
MvSl-1064-A1-R4_MC03g04645	0.1446	0.0346	0.0846	0.0143	1.709219858	Auto	Auto	930236	931778	5.66699984	-0.008785653	0.008785653	0.96864799	0.999949922	5.425189389	5.866431465	5.771745068	5.563379519	NON	NON
MvSl-1064-A1-R4_MC01-1g01710	0.1245	0.0314	0.1068	0.0157	1.165730337	Auto	Auto	21189	21699	3.903693828	0.681156019	0.681156019	0.051892779	0.382111428	3.910324651	4.441530415	3.915483842	2.982050958	NON	NON
MvSl-1064-A1-R4_A1g00591	0.4195	0.0461	0.2049	0.0163	2.047340166	Black	OldStrata	552007	553387	3.876731588	-4.272358924	4.272358924	9.78E-25	1.35E-22	1.027525212	0.060947975	4.380592681	5.139844794	Down	DE
MvSl-1064-A1-R4_A1g00328	0.2594	0.0465	0.2396	0.0299	1.08263773	Black	OldStrata	3104710	3107087	3.04690908	-0.093060328	0.093060328	0.798606348	0.999949922	2.620673914	3.300788254	3.365403496	2.754356521	NON	NON
