gida2	cdsa2	prota2	reversecdsa2	cdsa2expest	bPARt8	youngold	DE	haploid
MvSl-1064-A2-R4_MC01g03282	3441	1146	3438	1.0008726	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03284	1710	569	1707	1.001757469	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03285	948	315	945	1.003174603	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03286	2217	738	2214	1.001355014	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03287	3765	1254	3762	1.000797448	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC01g03288	186	61	183	1.016393443	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC01g03289	1227	408	1224	1.00245098	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03290	270	89	267	1.011235955	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03293	1056	351	1053	1.002849003	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03295	1755	584	1752	1.001712329	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC01g03296	1089	362	1086	1.002762431	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03297	2664	887	2661	1.001127396	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03298	1035	344	1032	1.002906977	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03299	6381	2126	6378	1.000470367	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03300	393	130	390	1.007692308	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03301	1122	373	1119	1.002680965	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03302	1128	375	1125	1.002666667	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03303	4413	1470	4410	1.000680272	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03304	333	110	330	1.009090909	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03305	270	89	267	1.011235955	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03306	1359	452	1356	1.002212389	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03308	1476	491	1473	1.00203666	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03309	528	175	525	1.005714286	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03310	777	258	774	1.003875969	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03311	357	118	354	1.008474576	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03312	636	211	633	1.004739336	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03316	2490	829	2487	1.001206273	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03318	834	277	831	1.003610108	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03319	2493	830	2490	1.001204819	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03320	330	109	327	1.009174312	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03321	1239	412	1236	1.002427184	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03322	1071	356	1068	1.002808989	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03323	1203	400	1200	1.0025	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03324	2304	767	2301	1.001303781	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03325	1164	387	1161	1.002583979	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03326	258	85	255	1.011764706	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03328	1089	362	1086	1.002762431	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03329	762	253	759	1.003952569	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03330	1839	612	1836	1.001633987	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03331	2613	870	2610	1.001149425	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03332	8601	2866	8598	1.000348918	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03333	120	39	117	1.025641026	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03334	963	320	960	1.003125	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03335	234	77	231	1.012987013	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03336	489	162	486	1.00617284	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03337	1119	372	1116	1.002688172	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03338	693	230	690	1.004347826	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03339	900	299	897	1.003344482	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03340	3138	1045	3135	1.000956938	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03341	4152	1383	4149	1.000723066	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03343	1932	643	1929	1.00155521	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03344	5715	1904	5712	1.00052521	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03345	1254	417	1251	1.002398082	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC01g03346	1887	628	1884	1.001592357	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03347	2862	953	2859	1.001049318	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03348	5985	1994	5982	1.000501505	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03352	696	231	693	1.004329004	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC01g03353	1002	333	999	1.003003003	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03354	2889	962	2886	1.001039501	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03356	444	147	441	1.006802721	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03357	771	256	768	1.00390625	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03358	1509	502	1506	1.001992032	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03359	1620	539	1617	1.001855288	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC01g03360	2448	815	2445	1.001226994	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03361	408	135	405	1.007407407	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03362	2004	667	2001	1.00149925	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03364	1521	506	1518	1.001976285	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03365	162	53	159	1.018867925	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03366	510	169	507	1.00591716	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03367	2910	969	2907	1.001031992	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03368	969	322	966	1.00310559	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC01g03369	1110	369	1107	1.002710027	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03375	393	130	390	1.007692308	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03376	459	152	456	1.006578947	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03377	300	99	297	1.01010101	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03378	1359	452	1356	1.002212389	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03379	1371	456	1368	1.002192982	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03380	234	77	231	1.012987013	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03381	1110	369	1107	1.002710027	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03383	1509	502	1506	1.001992032	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03384	1737	578	1734	1.001730104	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03385	4338	1445	4335	1.000692042	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03386	165	54	162	1.018518519	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03387	216	71	213	1.014084507	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03388	2973	990	2970	1.001010101	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03389	1671	556	1668	1.001798561	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03390	171	56	168	1.017857143	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03391	1269	422	1266	1.002369668	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03392	1722	573	1719	1.001745201	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC01g03393	966	321	963	1.003115265	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC01g03394	372	123	369	1.008130081	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03395	258	85	255	1.011764706	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03396	168	55	165	1.018181818	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03397	1698	565	1695	1.001769912	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03399	567	188	564	1.005319149	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC01g03400	2331	776	2328	1.00128866	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03401	2592	863	2589	1.001158749	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03402	663	220	660	1.004545455	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03403	813	270	810	1.003703704	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03404	3999	1332	3996	1.000750751	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03405	876	291	873	1.003436426	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03407	2880	959	2877	1.001042753	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03408	1140	379	1137	1.002638522	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03409	1299	432	1296	1.002314815	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03410	873	290	870	1.003448276	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03411	1506	501	1503	1.001996008	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03412	1572	523	1569	1.001912046	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03413	1608	535	1605	1.001869159	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03414	2487	828	2484	1.001207729	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03415	2031	676	2028	1.00147929	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03416	819	272	816	1.003676471	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03417	2286	761	2283	1.00131406	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03418	2010	669	2007	1.001494768	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03419	1185	394	1182	1.002538071	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03420	3567	1188	3564	1.000841751	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03421	4434	1477	4431	1.000677048	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03424	303	100	300	1.01	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC01g03425	117	38	114	1.026315789	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03426	216	71	213	1.014084507	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC01g03427	633	210	630	1.004761905	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03428	3390	1129	3387	1.00088574	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03429	1758	585	1755	1.001709402	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03430	333	110	330	1.009090909	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03431	2916	971	2913	1.001029866	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03432	3786	1261	3783	1.000793021	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03433	618	205	615	1.004878049	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03434	1011	336	1008	1.00297619	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03435	198	65	195	1.015384615	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03436	1617	538	1614	1.001858736	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03437	690	229	687	1.004366812	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03438	3198	1065	3195	1.000938967	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03439	4191	1396	4188	1.000716332	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03440	4518	1505	4515	1.000664452	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03441	1680	559	1677	1.001788909	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03442	1344	447	1341	1.002237136	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03443	261	86	258	1.011627907	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03444	2859	952	2856	1.00105042	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03445	300	99	297	1.01010101	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03446	327	108	324	1.009259259	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC01g03447	333	110	330	1.009090909	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03448	372	123	369	1.008130081	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03449	1077	358	1074	1.002793296	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03451	738	245	735	1.004081633	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC01g03455	1440	479	1437	1.002087683	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03458	378	125	375	1.008	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03459	2382	793	2379	1.001261034	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03460	1167	388	1164	1.00257732	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03461	2628	875	2625	1.001142857	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03462	1572	523	1569	1.001912046	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03463	2511	836	2508	1.001196172	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03465	1995	664	1992	1.001506024	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03466	534	177	531	1.005649718	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03467	261	86	258	1.011627907	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03468	417	138	414	1.007246377	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03469	831	276	828	1.003623188	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03470	561	186	558	1.005376344	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03471	732	243	729	1.004115226	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03472	1125	374	1122	1.002673797	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC02g03473	387	128	384	1.0078125	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03474	3048	1015	3045	1.000985222	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03475	1146	381	1143	1.002624672	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03479	4587	1528	4584	1.00065445	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03480	678	225	675	1.004444444	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC02g03481	3309	1102	3306	1.000907441	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC02g03482	930	309	927	1.003236246	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03483	1860	619	1857	1.001615509	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03484	231	76	228	1.013157895	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC02g03485	1905	634	1902	1.001577287	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC02g03486	3306	1101	3303	1.000908265	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03487	1371	456	1368	1.002192982	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03488	1164	387	1161	1.002583979	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03489	2340	779	2337	1.001283697	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03491	3984	1327	3981	1.00075358	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03492	1101	366	1098	1.00273224	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03493	1746	581	1743	1.00172117	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03494	2118	705	2115	1.00141844	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03495	2016	671	2013	1.001490313	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03496	174	57	171	1.01754386	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03497	1293	430	1290	1.002325581	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03498	255	84	252	1.011904762	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03499	1137	378	1134	1.002645503	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03500	327	108	324	1.009259259	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03501	3399	1132	3396	1.000883392	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03502	717	238	714	1.004201681	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03503	3846	1281	3843	1.00078064	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03504	2208	735	2205	1.001360544	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC02g03505	441	146	438	1.006849315	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03506	456	151	453	1.006622517	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03507	4551	1516	4548	1.000659631	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03508	1524	507	1521	1.001972387	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03509	4050	1349	4047	1.00074129	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC02g03510	3441	1146	3438	1.0008726	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03511	1758	585	1755	1.001709402	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03512	900	299	897	1.003344482	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03513	348	115	345	1.008695652	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03514	1176	391	1173	1.002557545	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03515	2766	921	2763	1.001085776	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03516	291	96	288	1.010416667	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03517	1494	497	1491	1.002012072	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03518	357	118	354	1.008474576	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03519	210	69	207	1.014492754	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03520	4056	1351	4053	1.000740192	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03521	1215	404	1212	1.002475248	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03522	618	205	615	1.004878049	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03523	879	292	876	1.003424658	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03524	1596	531	1593	1.001883239	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03525	2769	922	2766	1.001084599	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03526	651	216	648	1.00462963	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03527	3321	1106	3318	1.000904159	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03528	459	152	456	1.006578947	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03529	207	68	204	1.014705882	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03530	5025	1674	5022	1.000597372	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03531	2391	796	2388	1.001256281	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03535	819	272	816	1.003676471	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03536	1128	375	1125	1.002666667	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03537	3288	1095	3285	1.000913242	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03538	1848	615	1845	1.001626016	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03540	1338	445	1335	1.002247191	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03541	2262	753	2259	1.001328021	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03542	1791	596	1788	1.001677852	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC02g03543	972	323	969	1.003095975	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03546	1482	493	1479	1.002028398	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03547	354	117	351	1.008547009	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03548	873	290	870	1.003448276	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03549	345	114	342	1.00877193	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03550	1404	467	1401	1.002141328	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03551	1161	386	1158	1.002590674	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03552	1107	368	1104	1.002717391	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03553	309	102	306	1.009803922	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03554	516	171	513	1.005847953	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC02g03555	1911	636	1908	1.001572327	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03556	1065	354	1062	1.002824859	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03557	3492	1163	3489	1.000859845	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC02g03558	963	320	960	1.003125	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC02g03559	2601	866	2598	1.001154734	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03570	1254	417	1251	1.002398082	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03571	417	138	414	1.007246377	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03572	2139	712	2136	1.001404494	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03573	1812	603	1809	1.001658375	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03574	159	52	156	1.019230769	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03575	1122	373	1119	1.002680965	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03576	1176	391	1173	1.002557545	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03577	5049	1682	5046	1.00059453	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC02g03578	900	299	897	1.003344482	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03580	462	153	459	1.006535948	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03581	948	315	945	1.003174603	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03582	1098	365	1095	1.002739726	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03583	417	138	414	1.007246377	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03584	3387	1128	3384	1.000886525	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03585	393	130	390	1.007692308	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03586	510	169	507	1.00591716	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03587	3732	1243	3729	1.000804505	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03588	438	145	435	1.006896552	Auto	Auto	Up	A2
MvSl-1064-A2-R4_MC02g03589	519	172	516	1.005813953	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03590	378	125	375	1.008	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03591	1254	417	1251	1.002398082	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03592	2979	992	2976	1.001008065	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03593	1401	466	1398	1.002145923	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03594	2694	897	2691	1.001114827	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03595	1653	550	1650	1.001818182	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03596	162	53	159	1.018867925	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC02g03597	1200	399	1197	1.002506266	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC02g03598	2937	978	2934	1.001022495	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03601	792	263	789	1.003802281	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC02g03602	3891	1296	3888	1.000771605	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03604	495	164	492	1.006097561	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03605	912	303	909	1.00330033	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03606	1401	466	1398	1.002145923	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03607	831	276	828	1.003623188	Auto	Auto	Down	A2
MvSl-1064-A2-R4_MC02g03608	1257	418	1254	1.002392344	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03609	2991	996	2988	1.001004016	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03610	1959	652	1956	1.001533742	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03611	1107	368	1104	1.002717391	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03612	1725	574	1722	1.00174216	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03613	3564	1187	3561	1.00084246	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03614	4137	1378	4134	1.000725689	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03615	1521	506	1518	1.001976285	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03616	2247	748	2244	1.001336898	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03617	1050	349	1047	1.00286533	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03618	1488	495	1485	1.002020202	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03619	294	97	291	1.010309278	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03620	675	224	672	1.004464286	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03621	345	114	342	1.00877193	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03622	648	215	645	1.004651163	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03623	1422	473	1419	1.002114165	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03627	180	59	177	1.016949153	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03628	303	100	300	1.01	Auto	Auto	NON	A2
MvSl-1064-A2-R4_MC02g03629	885	294	882	1.003401361	Auto	Auto	NON	A2
