gida2	cdsa2	prota2	reversecdsa2	cdsa2expest	gida1	cdsa1	prota1	reversecdsa1	cdsa1expest	cdsratioa1a2	protratioa1a2	bPARt8	youngold	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A2-R4_MC08-1g08912	1894	379	1137	1.665787159	MvSl-1064-A1-R4_MC08g08647	1894	379	1137	1.665787159	1.000	1.000	Auto	Auto	1028030	1028565	7.704548625	2.581653636	1.20E-26	2.49E-24	8.229303971	8.696860073	5.960967941	5.84080143	Up
MvSl-1064-A2-R4_MC06-1g07209	303	100	300	1.01	MvSl-1064-A1-R4_MC06g06946	303	100	300	1.01	1.000	1.000	Auto	Auto	263059	265288	6.960869264	2.609560272	3.29E-37	1.09E-34	7.854434551	7.621087355	5.026780607	5.237541379	Up
MvSl-1064-A2-R4_A2g00081	1762	363	1089	1.617998163	MvSl-1064-A1-R4_A1g00081	1764	363	1089	1.619834711	1.001	1.000	Black	OldStrata	186136	186867	5.502087912	2.862541137	2.60E-28	5.99E-26	6.521506814	6.080340814	3.258693228	3.646103335	Up
MvSl-1064-A2-R4_C25g01886	5812	1511	4533	1.282153099	MvSl-1064-A1-R4_MC06g07033	5812	1511	4533	1.282153099	1.000	1.000	Auto	Auto	8410	9148	2.469290325	2.935186014	1.19E-13	1.30E-11	3.538694196	3.013670828	0.401436635	0.497407017	Up
MvSl-1064-A2-R4_MC06-1g07208	2525	701	2103	1.200665716	MvSl-1064-A1-R4_MC06g06945	2525	701	2103	1.200665716	1.000	1.000	Auto	Auto	258763	261661	9.949569448	2.950864824	3.80E-15	4.86E-13	11.03600544	10.45405759	7.470767737	8.107227228	Up
MvSl-1064-A2-R4_A2g01153	2430	690	2070	1.173913043	MvSl-1064-A1-R4_A1g00997	2256	628	1884	1.197452229	0.928	0.910	Blue	OldStrata	1907815	1909744	6.057230097	2.954530902	2.21E-42	1.10E-39	6.822389706	6.941416402	3.808760217	4.053103134	Up
MvSl-1064-A2-R4_MC06-1g07210	153	50	150	1.02	MvSl-1064-A1-R4_MC06g06947	153	50	150	1.02	1.000	1.000	Auto	Auto	265706	267372	6.268277331	2.992150986	3.44E-41	1.47E-38	7.264161957	6.91107972	3.984307152	4.230827819	Up
MvSl-1064-A2-R4_MC12g11073	325	89	267	1.217228464	MvSl-1064-A1-R4_MC12g10810	325	89	267	1.217228464	1.000	1.000	Auto	Auto	189865	190141	4.261644262	3.067734892	8.20E-19	1.27E-16	5.211359325	4.984407468	2.457153226	1.517270755	Up
MvSl-1064-A2-R4_MC11g10620	2611	728	2184	1.195512821	MvSl-1064-A1-R4_MC11g10358	4434	1119	3357	1.320822163	1.698	1.537	Auto	Auto	491321	493060	7.77432735	3.080371948	1.42E-41	6.36E-39	8.630691395	8.595963301	5.439239424	5.625833983	Up
MvSl-1064-A2-R4_MC04-1g05779	453	72	216	2.097222222	MvSl-1064-A1-R4_MC04-1g05502	453	72	216	2.097222222	1.000	1.000	Auto	Auto	515160	517345	1.883093995	3.273622244	2.36E-14	2.74E-12	2.745213831	2.754093242	-0.205051883	-0.543160261	Up
MvSl-1064-A2-R4_MC05g06484	342	113	339	1.008849558	MvSl-1064-A1-R4_MC05-1g06212	342	113	339	1.008849558	1.000	1.000	Auto	Auto	106611	109486	5.54568231	3.285743655	8.60E-31	2.27E-28	6.063164112	6.683044824	3.351316996	2.877931232	Up
MvSl-1064-A2-R4_A2g00914	678	185	555	1.221621622	MvSl-1064-A1-R4_A1g00312	598	159	477	1.253668763	0.882	0.859	Black	OldStrata	1400757	1402594	8.453179912	3.506286363	2.39E-34	7.14E-32	9.049148263	9.567857876	5.724179377	5.923952191	Up
MvSl-1064-A2-R4_A2g00615	2362	553	1659	1.423749247	MvSl-1064-A1-R4_A1g00635	2552	628	1884	1.354564756	1.080	1.136	Black	OldStrata	1111101	1112366	3.792640087	3.597694765	5.26E-20	8.57E-18	4.882121619	4.451968482	0.497214348	1.584243002	Up
MvSl-1064-A2-R4_MC10g10149	564	63	189	2.984126984	MvSl-1064-A1-R4_MC10-2g09885	564	63	189	2.984126984	1.000	1.000	Auto	Auto	387062	388327	3.26041364	3.67682434	1.28E-24	2.49E-22	4.285255374	4.018715264	0.542819706	0.587221014	Up
MvSl-1064-A2-R4_MC10g10197	460	62	186	2.47311828	MvSl-1064-A1-R4_MC10-2g09933	460	62	186	2.47311828	1.000	1.000	Auto	Auto	449135	450357	2.857326811	3.781614379	2.72E-23	5.18E-21	3.688179959	3.834431757	0.068785679	0.130018878	Up
MvSl-1064-A2-R4_MC01g03446	410	108	324	1.265432099	MvSl-1064-A1-R4_MC01-2g03166	410	108	324	1.265432099	1.000	1.000	Auto	Auto	27286	27618	1.410644243	3.824768602	2.96E-13	3.16E-11	1.964617018	2.604390102	-0.86200615	-1.627886176	Up
MvSl-1064-A2-R4_A2g00826	1104	367	1101	1.002724796	MvSl-1064-A1-R4_A1g01136	1104	367	1101	1.002724796	1.000	1.000	Black	OldStrata	1186986	1189109	3.692037933	3.950838855	9.14E-25	1.82E-22	4.932940982	4.186162578	0.712061354	0.751636887	Up
MvSl-1064-A2-R4_MC06-2g07331	273	90	270	1.011111111	MvSl-1064-A1-R4_MC06g07066	275	74	222	1.238738739	1.007	0.822	Auto	Auto	575737	577717	1.703788973	4.24520037	7.61E-10	6.22E-08	2.00317731	3.07625342	-0.451044639	-3.367777697	Up
MvSl-1064-A2-R4_A2g00208	1341	446	1338	1.002242152	MvSl-1064-A1-R4_A1g00591	1332	443	1329	1.002257336	0.993	0.993	Black	OldStrata	527848	528105	4.073166323	4.375922476	1.21E-27	2.71E-25	5.316533645	4.620433995	0.188396511	1.095642352	Up
MvSl-1064-A2-R4_A2g00651	2840	804	2412	1.177446103	MvSl-1064-A1-R4_A1g00269	3649	1021	3063	1.191315704	1.285	1.270	Black	OldStrata	1131484	1132443	7.689692818	4.655429219	1.04E-58	8.48E-56	8.639515442	8.628397942	3.581800259	4.302189469	Up
MvSl-1064-A2-R4_A2g00889	1753	418	1254	1.397926635	MvSl-1064-A1-R4_A1g00522	1765	418	1254	1.407496013	1.007	1.000	Black	OldStrata	1389234	1391759	1.315738303	4.658044917	2.34E-16	3.28E-14	2.130558006	2.395872867	-1.271626851	-2.813905972	Up
MvSl-1064-A2-R4_A2g00568	2301	599	1797	1.280467446	MvSl-1064-A1-R4_A1g00752	1361	410	1230	1.106504065	0.591	0.684	Black	OldStrata	998707	1000561	3.569350817	4.801199096	1.04E-35	3.34E-33	4.465214315	4.580896789	-0.451044639	0.130018878	Up
MvSl-1064-A2-R4_MC06-2g07402	2193	546	1638	1.338827839	MvSl-1064-A1-R4_MC06g07137	2193	546	1638	1.338827839	1.000	1.000	Auto	Auto	774289	774737	8.954423424	4.961411621	1.61E-48	8.99E-46	10.12924572	9.649050654	5.134965291	4.741769984	Up
MvSl-1064-A2-R4_A2g00904	2668	636	1908	1.398322851	MvSl-1064-A1-R4_A1g00668	2873	651	1953	1.471070148	1.077	1.024	Orange	ColorStrata	1399296	1400598	6.323956501	5.495940826	2.88E-104	8.62E-101	7.257697663	7.328277916	2.093347307	1.517270755	Up
MvSl-1064-A2-R4_MC07g08500	933	181	543	1.718232044	MvSl-1064-A1-R4_MC07g08235	933	181	543	1.718232044	1.000	1.000	Auto	Auto	1717635	1718075	4.765173612	5.637438827	2.22E-60	1.99E-57	5.518042903	5.931109187	0.450120158	-0.06145975	Up
MvSl-1064-A2-R4_A2g00821	1833	610	1830	1.001639344	MvSl-1064-A1-R4_A1g01404	1178	368	1104	1.067028986	0.643	0.603	Black	OldStrata	1176877	1180058	3.575945593	6.291773416	1.49E-47	7.83E-45	4.571677508	4.556016431	-1.121788037	-1.627886176	Up
MvSl-1064-A2-R4_MC13g11690	740	195	585	1.264957265	MvSl-1064-A1-R4_MC13g11429	740	195	585	1.264957265	1.000	1.000	Auto	Auto	338224	341922	4.222573527	7.317470365	2.04E-58	1.52E-55	4.917882249	5.465569501	-1.438851061	-1.845681553	Up
MvSl-1064-A2-R4_MC07g08227	279	92	276	1.010869565	MvSl-1064-A1-R4_MC07g07962	279	92	276	1.010869565	1.000	1.000	Auto	Auto	1051838	1052264	3.364027548	-0.591851215	0.050103023	0.438927946	3.140689803	2.929000044	3.592682951	3.656514814	NON
MvSl-1064-A2-R4_MC07g08279	655	140	420	1.55952381	MvSl-1064-A1-R4_MC07g08014	655	140	420	1.55952381	1.000	1.000	Auto	Auto	1183405	1186397	1.796177638	-0.753368973	0.050219785	0.439521208	1.50883821	1.231089795	1.94837163	2.252986714	NON
MvSl-1064-A2-R4_MC09g09345	2516	599	1797	1.400111297	MvSl-1064-A1-R4_MC09-2g09070	2517	599	1797	1.40066778	1.000	1.000	Auto	Auto	374453	377010	6.372891346	-0.367595838	0.050415996	0.440807957	6.250118762	6.100914062	6.602839197	6.483870859	NON
MvSl-1064-A2-R4_MC06-2g07554	954	297	891	1.070707071	MvSl-1064-A1-R4_MC06g07289	954	297	891	1.070707071	1.000	1.000	Auto	Auto	1184249	1186253	6.623785704	0.416452193	0.050555679	0.441598438	6.56565356	7.03103575	6.493133445	6.302678438	NON
MvSl-1064-A2-R4_A2g01505	679	78	234	2.901709402	MvSl-1064-A1-R4_A1g00517	669	78	234	2.858974359	0.985	1.000	Black	OldStrata	2723676	2724484	8.916664543	-0.533486477	0.050703553	0.441901026	8.760515835	8.476330492	8.963464683	9.330786663	NON
MvSl-1064-A2-R4_MC03g04649	1499	439	1317	1.138192863	MvSl-1064-A1-R4_MC03g04371	1499	439	1317	1.138192863	1.000	1.000	Auto	Auto	311507	314627	3.987950844	-0.568245972	0.050738246	0.441901026	3.866082	3.458339914	4.177397937	4.302189469	NON
MvSl-1064-A2-R4_MC11g10835	4098	1101	3303	1.240690282	MvSl-1064-A1-R4_MC11g10573	5656	1650	4950	1.142626263	1.380	1.499	Auto	Auto	1038715	1040559	3.169198681	-0.614979584	0.050714792	0.441901026	2.745213831	2.909489882	3.285769477	3.576533159	NON
MvSl-1064-A2-R4_MC03g05501	397	88	264	1.503787879	MvSl-1064-A1-R4_MC03g05224	397	88	264	1.503787879	1.000	1.000	Auto	Auto	2383531	2384053	0.777634545	-0.943686447	0.050790635	0.441927834	0.392589324	0.095869339	0.671575593	1.494237508	NON
MvSl-1064-A2-R4_MC08-2g09142	1586	483	1449	1.094547964	MvSl-1064-A1-R4_MC08g08861	1586	483	1449	1.094547964	1.000	1.000	Auto	Auto	1550103	1551190	6.320135711	0.359299634	0.050863627	0.442133677	6.455255438	6.521345574	6.157003205	6.102096921	NON
MvSl-1064-A2-R4_A2g00074	3085	613	1839	1.677542142	MvSl-1064-A1-R4_A1g00074	3085	613	1839	1.677542142	1.000	1.000	bPAR	bPAR	165329	166779	8.722685355	0.569564753	0.051422077	0.445521126	8.624327687	9.26435574	8.604787329	8.18502827	NON
MvSl-1064-A2-R4_MC01g02225	2837	689	2067	1.372520561	MvSl-1064-A1-R4_MC01-1g01944	2837	689	2067	1.372520561	1.000	1.000	Auto	Auto	319361	320655	5.781133863	0.419118263	0.051390099	0.445521126	5.85624506	6.085783335	5.672542765	5.431889558	NON
MvSl-1064-A2-R4_MC05g06656	1764	464	1392	1.267241379	MvSl-1064-A1-R4_MC05-2g06382	1764	464	1392	1.267241379	1.000	1.000	Auto	Auto	240181	243047	5.720227615	-0.454176468	0.05134835	0.445521126	5.606794293	5.330884489	5.67893976	6.141544561	NON
MvSl-1064-A2-R4_MC06-2g07670	1098	347	1041	1.054755043	MvSl-1064-A1-R4_MC06g07405	1098	347	1041	1.054755043	1.000	1.000	Auto	Auto	1442048	1442551	5.085657182	0.470418097	0.051452172	0.445521126	5.163218455	5.428353792	4.981956165	4.666499754	NON
MvSl-1064-A2-R4_MC11g10625	2596	760	2280	1.138596491	MvSl-1064-A1-R4_MC11g10363	2596	760	2280	1.138596491	1.000	1.000	Auto	Auto	504062	506618	6.164815533	-0.423816367	0.05152161	0.445691767	6.170826029	5.659071467	6.31320353	6.406563926	NON
MvSl-1064-A2-R4_MC01g02060	2447	495	1485	1.647811448	MvSl-1064-A1-R4_MC01-1g01779	2447	495	1485	1.647811448	1.000	1.000	Auto	Auto	111245	113069	3.79238968	0.596170543	0.051660045	0.446458367	4.213071983	3.890240353	3.217101531	3.68221946	NON
MvSl-1064-A2-R4_MC04-1g06248	2529	729	2187	1.156378601	MvSl-1064-A1-R4_MC04-1g05972	2529	729	2187	1.156378601	1.000	1.000	Auto	Auto	1646897	1648808	5.351486868	0.49044563	0.051979824	0.448604395	5.269855045	5.82836449	5.228640281	4.929475495	NON
MvSl-1064-A2-R4_MC01g02708	2401	649	1947	1.23317925	MvSl-1064-A1-R4_MC01-1g02426	2401	649	1947	1.23317925	1.000	1.000	Auto	Auto	1249498	1252383	6.343502688	-0.385744504	0.052307965	0.450753832	6.165523293	6.109489474	6.336859653	6.687967948	NON
MvSl-1064-A2-R4_MC05g06941	1489	370	1110	1.341441441	MvSl-1064-A1-R4_MC05-3g06678	1490	370	1110	1.342342342	1.001	1.000	Auto	Auto	516154	516341	4.427830752	-0.536246958	0.052548427	0.452390976	3.845007498	4.375818029	4.741563867	4.592517698	NON
MvSl-1064-A2-R4_MC01g02169	627	179	537	1.167597765	MvSl-1064-A1-R4_MC01-1g01888	627	179	537	1.167597765	1.000	1.000	Auto	Auto	238981	239297	5.964984762	-0.388490739	0.052694806	0.453215787	5.736904419	5.77815087	6.051506958	6.233951002	NON
MvSl-1064-A2-R4_MC12g11183	2731	713	2139	1.276764843	MvSl-1064-A1-R4_MC12g10920	2731	713	2139	1.276764843	1.000	1.000	Auto	Auto	457253	459704	4.014457258	-0.647549263	0.052793572	0.453629903	3.976790751	3.241413016	3.980169048	4.559611626	NON
MvSl-1064-A2-R4_MC14g12018	2065	496	1488	1.387768817	MvSl-1064-A1-R4_MC14g11757	2065	496	1488	1.387768817	1.000	1.000	Auto	Auto	83124	83470	3.211842164	0.69243526	0.053053437	0.455426156	3.886853078	3.022779132	2.972427824	2.677813678	NON
MvSl-1064-A2-R4_MC08-2g09038	3901	979	2937	1.328226081	MvSl-1064-A1-R4_MC08g08757	3901	979	2937	1.328226081	1.000	1.000	Auto	Auto	1262694	1263659	7.039450777	-0.377076768	0.053201322	0.456258607	6.83780661	6.839429615	7.058325494	7.357098196	NON
MvSl-1064-A2-R4_MC07g08511	1659	552	1656	1.001811594	MvSl-1064-A1-R4_MC07g08246	1659	552	1656	1.001811594	1.000	1.000	Auto	Auto	17879	20903	4.177970791	-0.531481918	0.05327878	0.456486071	3.850305055	3.924662828	4.254803553	4.562382647	NON
MvSl-1064-A2-R4_MC07g08243	427	125	375	1.138666667	MvSl-1064-A1-R4_MC07g07978	427	125	375	1.138666667	1.000	1.000	Auto	Auto	1084558	1085448	2.496310853	-0.792156175	0.053366461	0.456800596	2.340876153	1.68570745	2.293373829	3.217306241	NON
MvSl-1064-A2-R4_MC05g06743	216	71	213	1.014084507	MvSl-1064-A1-R4_MC05-2g06469	216	71	213	1.014084507	1.000	1.000	Auto	Auto	319108	320776	5.589991233	0.423818684	0.053426115	0.456874852	5.581533962	5.965762474	5.425609518	5.298643067	NON
MvSl-1064-A2-R4_MC01g02059	1982	438	1314	1.508371385	MvSl-1064-A1-R4_MC01-1g01778	1982	438	1314	1.508371385	1.000	1.000	Auto	Auto	109906	111144	0.18620816	1.069811907	0.05349136	0.456996728	0.921629069	0.227750757	-0.986057705	0.068973439	NON
MvSl-1064-A2-R4_MC12g11446	1712	473	1419	1.206483439	MvSl-1064-A1-R4_MC12g11183	1712	473	1419	1.206483439	1.000	1.000	Auto	Auto	1101975	1102415	4.403535092	-0.554991548	0.053707584	0.458174112	4.331446195	3.824048649	4.431890677	4.843237834	NON
MvSl-1064-A2-R4_MC09g09256	2215	479	1437	1.541405706	MvSl-1064-A1-R4_MC09-2g08981	2215	479	1437	1.541405706	1.000	1.000	Auto	Auto	191271	191908	8.690399954	0.472992651	0.05379998	0.45832264	8.90163056	8.913578975	8.383350352	8.484343977	NON
MvSl-1064-A2-R4_MC15g12359	1240	267	801	1.548064919	MvSl-1064-A1-R4_MC15g12110	1240	267	801	1.548064919	1.000	1.000	Auto	Auto	251702	252064	1.63711424	-0.778934214	0.05388179	0.458583666	0.838770079	1.489433206	1.914076052	1.998535036	NON
MvSl-1064-A2-R4_MC08-1g08617	1892	405	1215	1.557201646	MvSl-1064-A1-R4_MC08g08352	1892	405	1215	1.557201646	1.000	1.000	Auto	Auto	300099	301533	7.375817177	0.442216221	0.053954207	0.458764332	7.317730523	7.801928843	7.283649472	6.976247167	NON
MvSl-1064-A2-R4_MC01g02553	2939	790	2370	1.240084388	MvSl-1064-A1-R4_MC01-1g02271	2939	790	2370	1.240084388	1.000	1.000	Auto	Auto	889115	890823	6.907422106	0.404067892	0.054074505	0.459351385	6.850419213	7.304667586	6.812861925	6.559327308	NON
MvSl-1064-A2-R4_MC11g10697	1318	327	981	1.343527013	MvSl-1064-A1-R4_MC11g10435	1318	327	981	1.343527013	1.000	1.000	Auto	Auto	693328	695276	4.121013637	0.697440869	0.054173997	0.459760756	3.818223938	4.855246953	3.992547921	3.420342938	NON
MvSl-1064-A2-R4_MC01g02190	644	189	567	1.135802469	MvSl-1064-A1-R4_MC01-1g01909	644	189	567	1.135802469	1.000	1.000	Auto	Auto	271193	272634	3.044461786	-0.62984513	0.054269264	0.460133529	2.926679098	2.423646192	3.231099082	3.401896783	NON
MvSl-1064-A2-R4_MC03g04986	3677	1174	3522	1.044009086	MvSl-1064-A1-R4_MC03g04708	3677	1174	3522	1.044009086	1.000	1.000	Auto	Auto	1115282	1116407	6.496636704	0.357753665	0.054354275	0.460418728	6.65160797	6.677288123	6.359337783	6.252943913	NON
MvSl-1064-A2-R4_MC05g06644	592	179	537	1.102420857	MvSl-1064-A1-R4_MC05-2g06370	592	179	537	1.102420857	1.000	1.000	Auto	Auto	233625	234156	4.239852225	-0.519295333	0.054512582	0.461323665	4.0660099	3.839595422	4.407444727	4.537249735	NON
MvSl-1064-A2-R4_MC03g04620	1269	422	1266	1.002369668	MvSl-1064-A1-R4_MC03g04342	1269	422	1266	1.002369668	1.000	1.000	Auto	Auto	235307	237113	4.04740169	0.817111826	0.054633985	0.461914879	4.529369803	4.257344306	4.184608958	2.549619522	NON
MvSl-1064-A2-R4_MC03g05069	5506	1331	3993	1.378913098	MvSl-1064-A1-R4_MC03g04791	5506	1331	3993	1.378913098	1.000	1.000	Auto	Auto	1328030	1328480	7.034465237	0.36166795	0.054791055	0.462806257	7.204913328	7.203159982	6.757118987	6.923339781	NON
MvSl-1064-A2-R4_MC03g04981	1550	447	1341	1.15585384	MvSl-1064-A1-R4_MC03g04703	1550	447	1341	1.15585384	1.000	1.000	Auto	Auto	1101371	1102954	2.988652441	-0.654470156	0.054886246	0.462813281	2.896269696	2.294226366	3.115120863	3.414220388	NON
MvSl-1064-A2-R4_MC05g06510	1061	204	612	1.733660131	MvSl-1064-A1-R4_MC05-1g06238	1061	204	612	1.733660131	1.000	1.000	Auto	Auto	126867	129126	2.739798101	-0.620779697	0.054946812	0.462813281	2.370674966	2.423646192	3.053437067	2.964275284	NON
MvSl-1064-A2-R4_MC07g08288	373	93	279	1.336917563	MvSl-1064-A1-R4_MC07g08023	373	93	279	1.336917563	1.000	1.000	Auto	Auto	1208185	1209112	0.549178351	-0.971501717	0.054908295	0.462813281	0.068225908	-0.049291912	0.401436635	1.295398697	NON
MvSl-1064-A2-R4_MC07g07863	1584	419	1257	1.260143198	MvSl-1064-A1-R4_MC07g07598	1584	419	1257	1.260143198	1.000	1.000	Auto	Auto	177635	179353	1.960473167	-0.712645653	0.055110128	0.463753021	1.61224131	1.515478206	2.093347307	2.408913568	NON
MvSl-1064-A2-R4_MC01g02079	393	130	390	1.007692308	MvSl-1064-A1-R4_MC01-1g01798	393	130	390	1.007692308	1.000	1.000	Auto	Auto	130098	130541	6.102216072	0.396250449	0.055312079	0.464922587	6.085798061	6.463151078	5.940880804	5.839659729	NON
MvSl-1064-A2-R4_MC01g02239	2661	866	2598	1.024249423	MvSl-1064-A1-R4_MC01-1g01958	2661	866	2598	1.024249423	1.000	1.000	Auto	Auto	332451	332689	6.546551715	-0.364767596	0.055352868	0.464922587	6.405741255	6.29759943	6.801180768	6.62772916	NON
MvSl-1064-A2-R4_MC09g09772	4771	1253	3759	1.269220537	MvSl-1064-A1-R4_MC09-2g09498	4771	1253	3759	1.269220537	1.000	1.000	Auto	Auto	1466316	1467160	6.90977833	0.356086654	0.055947967	0.469480976	7.053532294	7.099895617	6.825026193	6.609088885	NON
MvSl-1064-A2-R4_MC09g09225	978	325	975	1.003076923	MvSl-1064-A1-R4_MC09-2g08950	978	325	975	1.003076923	1.000	1.000	Auto	Auto	108047	108575	7.733561012	0.459700834	0.056163685	0.470850276	7.701253125	8.153775173	7.678808618	7.262715191	NON
MvSl-1064-A2-R4_MC02g04490	3172	853	2559	1.239546698	MvSl-1064-A1-R4_MC02g04212	3172	853	2559	1.239546698	1.000	1.000	Auto	Auto	2507200	2509929	6.442385367	-0.363566022	0.056633092	0.4740756	6.346991201	6.144333928	6.562584282	6.660427878	NON
MvSl-1064-A2-R4_MC02g03888	2314	515	1545	1.497734628	MvSl-1064-A1-R4_MC02g03610	2314	515	1545	1.497734628	1.000	1.000	Auto	Auto	1094919	1097243	6.760657613	-0.36495709	0.056824485	0.475056936	6.697154846	6.423294946	7.010433072	6.847555111	NON
MvSl-1064-A2-R4_MC01g02839	2052	550	1650	1.243636364	MvSl-1064-A1-R4_MC01-1g02557	2052	550	1650	1.243636364	1.000	1.000	Auto	Auto	1583546	1584291	6.28070196	0.360780233	0.056991957	0.475729305	6.370226015	6.525356642	6.0386313	6.138762365	NON
MvSl-1064-A2-R4_MC03g05106	1713	383	1149	1.490861619	MvSl-1064-A1-R4_MC03g04828	1713	383	1149	1.490861619	1.000	1.000	Auto	Auto	1410723	1412794	2.21204807	-0.672447093	0.057011077	0.475729305	1.79916092	1.878656708	2.383865145	2.604424488	NON
MvSl-1064-A2-R4_MC03g04634	2856	889	2667	1.070866142	MvSl-1064-A1-R4_MC03g04356	2856	889	2667	1.070866142	1.000	1.000	Auto	Auto	258259	261008	7.808568051	-0.446467057	0.057183938	0.476727867	7.363835469	7.746996335	8.183922197	7.822306423	NON
MvSl-1064-A2-R4_MC08-1g08734	3139	771	2313	1.357111976	MvSl-1064-A1-R4_MC08g08469	3139	771	2313	1.357111976	1.000	1.000	Auto	Auto	588768	589779	3.506284803	-0.618865136	0.057324384	0.477454579	3.464635747	2.786540509	3.761320241	3.79489672	NON
MvSl-1064-A2-R4_MC01g02173	2879	919	2757	1.044250997	MvSl-1064-A1-R4_MC01-1g01892	2879	919	2757	1.044250997	1.000	1.000	Auto	Auto	243081	244937	2.897095265	-0.638508981	0.057542	0.478321558	2.800995445	2.232756421	3.152375506	3.196051898	NON
MvSl-1064-A2-R4_MC03g04683	1241	201	603	2.058043118	MvSl-1064-A1-R4_MC03g04405	1241	201	603	2.058043118	1.000	1.000	Auto	Auto	374557	377776	4.251604143	0.90797522	0.057500636	0.478321558	3.464635747	5.272899111	4.099422929	3.238251998	NON
MvSl-1064-A2-R4_MC11g10745	403	63	189	2.132275132	MvSl-1064-A1-R4_MC11g10483	403	63	189	2.132275132	1.000	1.000	Auto	Auto	799835	801309	5.681549149	-0.451724271	0.057588592	0.478321558	5.639291152	5.204502306	5.67893976	6.072272937	NON
MvSl-1064-A2-R4_MC11g10787	1946	526	1578	1.233206591	MvSl-1064-A1-R4_MC11g10525	1946	526	1578	1.233206591	1.000	1.000	Auto	Auto	911785	913328	5.853185519	0.419490599	0.057681074	0.478646097	5.865431452	6.209602589	5.76323497	5.481044772	NON
MvSl-1064-A2-R4_MC05g06947	3468	998	2994	1.158316633	MvSl-1064-A1-R4_MC05-3g06684	3468	998	2994	1.158316633	1.000	1.000	Auto	Auto	530627	532202	6.846870563	0.356936562	0.057858786	0.478836514	6.909343768	7.112215459	6.735186969	6.575877403	NON
MvSl-1064-A2-R4_MC09g09488	3129	840	2520	1.241666667	MvSl-1064-A1-R4_MC09-2g09213	3129	840	2520	1.241666667	1.000	1.000	Auto	Auto	747199	750516	6.24741371	0.362106602	0.057806311	0.478836514	6.353534757	6.478128202	6.14411482	5.961174485	NON
MvSl-1064-A2-R4_MC13g11689	669	222	666	1.004504505	MvSl-1064-A1-R4_MC13g11428	669	222	666	1.004504505	1.000	1.000	Auto	Auto	336128	337816	0.344432597	0.927146969	0.05786431	0.478836514	0.504341425	0.916169717	-0.061645703	-0.204868116	NON
MvSl-1064-A2-R4_MC07g08087	2394	459	1377	1.738562092	MvSl-1064-A1-R4_MC07g07822	2393	459	1377	1.737835875	1.000	1.000	Auto	Auto	686699	688199	5.646932089	-0.400708369	0.057996249	0.479043675	5.361749168	5.500219848	5.915101153	5.745265719	NON
MvSl-1064-A2-R4_MC12g11111	5179	1584	4752	1.089856902	MvSl-1064-A1-R4_MC12g10848	5179	1584	4752	1.089856902	1.000	1.000	Auto	Auto	295945	298438	7.656708542	0.449294984	0.057977905	0.479043675	8.002450159	7.710821797	7.132911424	7.650651361	NON
MvSl-1064-A2-R4_MC01g03098	264	87	261	1.011494253	MvSl-1064-A1-R4_MC01-1g02816	264	87	261	1.011494253	1.000	1.000	Auto	Auto	2208032	2209181	2.781121955	-0.616950599	0.058173726	0.480067159	2.524398743	2.353183901	2.947210673	3.145205743	NON
MvSl-1064-A2-R4_MC01g02667	930	286	858	1.083916084	MvSl-1064-A1-R4_MC01-1g02385	930	286	858	1.083916084	1.000	1.000	Auto	Auto	1140836	1141331	5.760279929	-0.41724447	0.058413476	0.481602178	5.421693571	5.642917243	6.10948781	5.777818974	NON
MvSl-1064-A2-R4_MC13g11644	366	121	363	1.008264463	MvSl-1064-A1-R4_MC13g11383	366	121	363	1.008264463	1.000	1.000	Auto	Auto	225066	227736	5.72223967	0.408909107	0.05890474	0.485206137	5.749717924	6.05836306	5.570269384	5.434916817	NON
MvSl-1064-A2-R4_A2g00071	1878	495	1485	1.264646465	MvSl-1064-A1-R4_A1g00071	1878	495	1485	1.264646465	1.000	1.000	bPAR	bPAR	154349	157189	3.987723984	0.52081132	0.059103273	0.486394428	4.183995498	4.265040875	3.727158961	3.687305885	NON
MvSl-1064-A2-R4_MC11g10935	497	70	210	2.366666667	MvSl-1064-A1-R4_MC11g10671	497	70	210	2.366666667	1.000	1.000	Auto	Auto	1278653	1279756	1.416941933	-0.792333809	0.059181823	0.486594036	0.795484859	1.133559888	1.446838041	1.982072626	NON
MvSl-1064-A2-R4_MC01g02418	3503	865	2595	1.349903661	MvSl-1064-A1-R4_MC01-1g02137	3503	865	2595	1.349903661	1.000	1.000	Auto	Auto	570414	571718	7.699182521	0.404205434	0.059237792	0.486607784	7.983289119	7.784295807	7.358087837	7.598282032	NON
MvSl-1064-A2-R4_MC09g09439	2205	615	1845	1.195121951	MvSl-1064-A1-R4_MC09-2g09164	2205	615	1845	1.195121951	1.000	1.000	Auto	Auto	624646	627139	6.276691487	0.370819721	0.059374798	0.487286577	6.279869531	6.602562308	6.099984713	6.059580266	NON
MvSl-1064-A2-R4_MC03g04586	4131	1311	3933	1.050343249	MvSl-1064-A1-R4_MC03g04308	4131	1311	3933	1.050343249	1.000	1.000	Auto	Auto	149803	150528	5.79626088	0.423799652	0.059628832	0.488476778	5.78886957	6.171206426	5.691649278	5.436428068	NON
