gida1	part8	youngold	dndsa2	dna2	dsa2	DE	DE2	haploid
MvSl-1064-A1-R4_MC03g04757	Auto	Auto	0.1317	0.0165	0.1249	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04761	Auto	Auto	0.1298	0.0134	0.103	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04762	Auto	Auto	0.0968	0.0067	0.0692	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04763	Auto	Auto	0.0676	0.0083	0.1229	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04764	Auto	Auto	0.0277	0.0019	0.0695	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04765	Auto	Auto	0.0494	0.0044	0.0894	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04766	Auto	Auto	0.4006	0.0358	0.0895	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04767	Auto	Auto	0.2317	0.0209	0.0901	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04768	Auto	Auto	0.1252	0.0137	0.1094	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04769	Auto	Auto	0.2502	0.0312	0.1246	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04770	Auto	Auto	0.7321	0.0662	0.0904	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04772	Auto	Auto	0.3205	0.0298	0.0929	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04773	Auto	Auto	0.7219	0.0517	0.0716	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04774	Auto	Auto	0.0716	0.0095	0.1332	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04775	Auto	Auto	0.2096	0.0143	0.068	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04776	Auto	Auto	0.3478	0.0258	0.0743	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04778	Auto	Auto	0.2251	0.0156	0.0693	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04779	Auto	Auto	0.2739	0.0352	0.1284	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04780	Auto	Auto	0.4088	0.0345	0.0843	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04781	Auto	Auto	0.1618	0.0123	0.0763	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04784	Auto	Auto	0.3961	0.0356	0.09	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04785	Auto	Auto	0.0254	0.0024	0.0958	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04786	Auto	Auto	0.2703	0.0192	0.071	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04787	Auto	Auto	0.0558	0.008	0.1434	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04788	Auto	Auto	0.3043	0.0321	0.1055	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04789	Auto	Auto	0.1088	0.0088	0.0805	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04794	Auto	Auto	0.001	0.0001	0.1143	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04795	Auto	Auto	0.1652	0.0144	0.0874	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04796	Auto	Auto	0.2715	0.0205	0.0756	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04797	Auto	Auto	0.2443	0.0256	0.1049	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04798	Auto	Auto	0.5752	0.0437	0.076	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04799	Auto	Auto	0.1259	0.0157	0.1248	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04800	Auto	Auto	0.2256	0.016	0.071	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04801	Auto	Auto	3.0124	0.1524	0.0506	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04802	Auto	Auto	0.3018	0.026	0.0862	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04803	Auto	Auto	0.4233	0.0424	0.1002	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04804	Auto	Auto	0.3497	0.0287	0.0822	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04809	Auto	Auto	0.3752	0.0278	0.0741	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04810	Auto	Auto	0.2256	0.0258	0.1145	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04812	Auto	Auto	0.7963	0.0721	0.0906	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04813	Auto	Auto	0.0699	0.0041	0.0584	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04814	Auto	Auto	0.5059	0.0535	0.1058	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04816	Auto	Auto	0.8883	0.0678	0.0763	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04817	Auto	Auto	0.1575	0.0144	0.0914	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04818	Auto	Auto	0.2523	0.0195	0.0772	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04820	Auto	Auto	0.1632	0.0113	0.0692	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04821	Auto	Auto	0.0685	0.0082	0.1197	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04823	Auto	Auto	0.1575	0.0186	0.1182	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04824	Auto	Auto	0.2457	0.025	0.1019	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04825	Auto	Auto	0.2794	0.0206	0.0736	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04826	Auto	Auto	0.0608	0.0036	0.059	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04827	Auto	Auto	0.3729	0.0248	0.0665	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04828	Auto	Auto	0.3971	0.0418	0.1054	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04829	Auto	Auto	0.4776	0.0211	0.0443	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04834	Auto	Auto	0.1995	0.0202	0.1012	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04837	Auto	Auto	0.1624	0.0128	0.0787	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04838	Auto	Auto	0.4477	0.0259	0.0579	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04844	Auto	Auto	0.6971	0.0581	0.0834	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04846	Auto	Auto	0.1236	0.0157	0.1274	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04848	Auto	Auto	0.3648	0.0211	0.0579	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04849	Auto	Auto	0.1509	0.0115	0.0765	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04850	Auto	Auto	0.2004	0.0248	0.1236	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04851	Auto	Auto	0.1315	0.0165	0.1255	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04852	Auto	Auto	0.1685	0.016	0.0948	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04853	Auto	Auto	0.8411	0.046	0.0546	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04854	Auto	Auto	0.1289	0.0158	0.1229	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04855	Auto	Auto	0.0882	0.0062	0.0705	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04856	Auto	Auto	0.0754	0.0091	0.1205	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04857	Auto	Auto	0.564	0.041	0.0727	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04858	Auto	Auto	0.1227	0.0133	0.1087	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04865	Auto	Auto	0.6714	0.0854	0.1272	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04869	Auto	Auto	0.217	0.0171	0.0788	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04870	Auto	Auto	0.1902	0.0155	0.0814	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04872	Auto	Auto	0.1197	0.0109	0.0911	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04886	Auto	Auto	0.2262	0.0172	0.0759	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04888	Auto	Auto	0.2144	0.0207	0.0965	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04889	Auto	Auto	0.2718	0.0213	0.0782	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04890	Auto	Auto	0.2658	0.0228	0.0857	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04894	Auto	Auto	0.1032	0.0133	0.1293	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04916	Auto	Auto	0.2798	0.0272	0.0971	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04917	Auto	Auto	0.2953	0.0291	0.0986	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04918	Auto	Auto	0.2742	0.0238	0.0868	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04919	Auto	Auto	0.019	0.0023	0.1237	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04920	Auto	Auto	0.2166	0.0137	0.0632	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04921	Auto	Auto	0.1705	0.0157	0.0922	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04922	Auto	Auto	0.3178	0.0319	0.1004	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04923	Auto	Auto	0.2023	0.0231	0.114	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04925	Auto	Auto	0.0736	0.0096	0.1304	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04926	Auto	Auto	0.173	0.0143	0.0824	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04927	Auto	Auto	0.2046	0.0076	0.0372	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04928	Auto	Auto	0.3877	0.0404	0.1041	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04935	Auto	Auto	0.0961	0.0088	0.0921	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04965	Auto	Auto	0.173	0.0277	0.1603	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04967	Auto	Auto	0.2155	0.0276	0.128	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04968	Auto	Auto	0.4246	0.0544	0.1281	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04969	Auto	Auto	0.0923	0.0243	0.2628	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04970	Auto	Auto	0.2051	0.0465	0.2267	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04971	Auto	Auto	0.1213	0.0296	0.244	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04972	Auto	Auto	0.2003	0.0251	0.1252	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04973	Auto	Auto	0.1826	0.0192	0.1051	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04974	Auto	Auto	0.0908	0.0164	0.1812	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04975	Auto	Auto	0.0779	0.0092	0.1178	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04977	Auto	Auto	0.3818	0.027	0.0706	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04978	Auto	Auto	0.2614	0.0271	0.1035	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04979	Auto	Auto	0.3044	0.0327	0.1073	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04980	Auto	Auto	0.0802	0.0066	0.0828	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04981	Auto	Auto	0.1157	0.0129	0.1118	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04983	Auto	Auto	0.0404	0.0049	0.1204	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04984	Auto	Auto	0.0738	0.0095	0.1286	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04985	Auto	Auto	0.211	0.028	0.1326	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04986	Auto	Auto	0.001	0.0001	0.1037	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04988	Auto	Auto	0.3477	0.0596	0.1715	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04989	Auto	Auto	0.5414	0.0454	0.0838	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04990	Auto	Auto	1.4452	0.1341	0.0928	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04991	Auto	Auto	0.3913	0.0392	0.1003	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04992	Auto	Auto	0.5681	0.0616	0.1084	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04994	Auto	Auto	0.256	0.0147	0.0573	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04997	Auto	Auto	0.1356	0.0205	0.1508	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04998	Auto	Auto	0.17	0.0204	0.12	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g04999	Auto	Auto	0.2434	0.017	0.0697	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05000	Auto	Auto	0.3189	0.0352	0.1105	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05001	Auto	Auto	0.1115	0.0092	0.0828	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05003	Auto	Auto	0.1246	0.008	0.0642	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05004	Auto	Auto	0.5097	0.0289	0.0568	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05005	Auto	Auto	0.0989	0.0139	0.1405	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05006	Auto	Auto	0.151	0.0115	0.0764	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05007	Auto	Auto	0.3709	0.0345	0.0929	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05008	Auto	Auto	0.7201	0.06	0.0833	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05009	Auto	Auto	0.0697	0.0145	0.2079	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05010	Auto	Auto	0.2311	0.021	0.0908	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05023	Auto	Auto	0.0959	0.0131	0.1365	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05024	Auto	Auto	0.1735	0.0165	0.0951	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05025	Auto	Auto	0.2632	0.0264	0.1001	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05026	Auto	Auto	0.1196	0.0263	0.2197	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05027	Auto	Auto	1.2567	0.0924	0.0735	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05028	Auto	Auto	0.4005	0.0738	0.1844	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05029	Auto	Auto	0.4788	0.0691	0.1443	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05030	Auto	Auto	0.012	0.0019	0.1577	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05031	Auto	Auto	0.2492	0.0284	0.114	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05034	Auto	Auto	0.2293	0.0341	0.1485	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05035	Auto	Auto	0.7539	0.0837	0.1111	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05044	Auto	Auto	0.4392	0.0449	0.1022	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05045	Auto	Auto	0.3852	0.051	0.1324	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05046	Auto	Auto	0.435	0.0788	0.1812	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05047	Auto	Auto	0.0468	0.008	0.1702	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05048	Auto	Auto	0.2401	0.032	0.1332	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05049	Auto	Auto	0.2675	0.0265	0.0992	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05050	Auto	Auto	0.4106	0.0447	0.1089	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05051	Auto	Auto	0.2339	0.0258	0.1105	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05052	Auto	Auto	0.1117	0.0188	0.1686	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05053	Auto	Auto	0.2027	0.0252	0.1243	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05054	Auto	Auto	0.0669	0.0121	0.1807	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05057	Auto	Auto	0.049	0.0086	0.1748	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05059	Auto	Auto	0.1355	0.0165	0.1215	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05060	Auto	Auto	0.0425	0.0073	0.172	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05061	Auto	Auto	0.1791	0.0294	0.1642	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05062	Auto	Auto	0.3058	0.0291	0.0953	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05063	Auto	Auto	0.1925	0.0527	0.2735	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05064	Auto	Auto	0.3389	0.0405	0.1195	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05065	Auto	Auto	0.1502	0.0265	0.1766	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05066	Auto	Auto	0.0715	0.0108	0.1516	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05067	Auto	Auto	0.2705	0.0478	0.1765	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05068	Auto	Auto	0.0787	0.0127	0.1608	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05072	Auto	Auto	0.1692	0.0187	0.1108	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05073	Auto	Auto	0.2411	0.0443	0.1837	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05074	Auto	Auto	0.2979	0.0949	0.3185	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05075	Auto	Auto	0.7699	0.1043	0.1354	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05076	Auto	Auto	0.3404	0.0699	0.2053	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05078	Auto	Auto	0.3461	0.1154	0.3335	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05079	Auto	Auto	0.314	0.0524	0.1668	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05080	Auto	Auto	0.6843	0.0395	0.0577	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05083	Auto	Auto	0.1438	0.0226	0.1569	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05086	Auto	Auto	0.4025	0.0599	0.1489	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05089	Auto	Auto	0.1469	0.0259	0.1762	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05090	Auto	Auto	0.2872	0.0626	0.2179	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05091	Auto	Auto	0.2131	0.0437	0.2052	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05092	Auto	Auto	0.277	0.0685	0.2473	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05093	Auto	Auto	0.2348	0.0628	0.2674	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05100	Auto	Auto	0.0933	0.0244	0.2619	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05101	Auto	Auto	0.2217	0.0449	0.2027	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05103	Auto	Auto	0.6122	0.0902	0.1473	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05104	Auto	Auto	0.102	0.0263	0.2574	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05105	Auto	Auto	0.1433	0.0496	0.3463	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05106	Auto	Auto	0.1445	0.0626	0.4335	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05111	Auto	Auto	0.2237	0.0441	0.197	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05113	Auto	Auto	0.6011	0.0778	0.1295	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05114	Auto	Auto	0.2672	0.0294	0.1099	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05122	Auto	Auto	0.1175	0.0147	0.1249	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05123	Auto	Auto	0.0972	0.0114	0.1177	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05124	Auto	Auto	0.0907	0.0138	0.1527	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05126	Auto	Auto	0.3135	0.0411	0.131	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05135	Auto	Auto	0.3348	0.0291	0.087	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05136	Auto	Auto	0.1435	0.0133	0.0928	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05137	Auto	Auto	0.0448	0.0062	0.1387	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05138	Auto	Auto	0.0337	0.006	0.1769	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05139	Auto	Auto	0.3426	0.0305	0.089	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05143	Auto	Auto	0.1651	0.0292	0.177	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05144	Auto	Auto	0.0833	0.0161	0.1938	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05145	Auto	Auto	0.0954	0.0158	0.1653	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05146	Auto	Auto	0.4059	0.0555	0.1367	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05147	Auto	Auto	0.211	0.032	0.1515	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05148	Auto	Auto	0.2015	0.0332	0.1645	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05153	Auto	Auto	0.0672	0.0141	0.2092	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05155	Auto	Auto	0.2149	0.0378	0.1761	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05158	Auto	Auto	0.1878	0.0346	0.1841	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05160	Auto	Auto	0.2408	0.0311	0.1293	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05161	Auto	Auto	0.0117	0.0021	0.1827	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05163	Auto	Auto	0.1535	0.025	0.1631	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05164	Auto	Auto	0.4159	0.0697	0.1676	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05166	Auto	Auto	0.0121	0.0023	0.1895	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05167	Auto	Auto	0.0645	0.014	0.2171	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05168	Auto	Auto	0.3565	0.0523	0.1468	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05169	Auto	Auto	0.1034	0.0156	0.1512	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05171	Auto	Auto	0.0959	0.016	0.1673	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05173	Auto	Auto	0.3747	0.0546	0.1458	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05174	Auto	Auto	0.1134	0.0188	0.1662	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05176	Auto	Auto	0.1115	0.0142	0.1276	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05177	Auto	Auto	0.0266	0.0036	0.1345	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05178	Auto	Auto	0.3178	0.0383	0.1205	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05183	Auto	Auto	0.3177	0.0371	0.1169	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05184	Auto	Auto	0.241	0.0302	0.1255	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05188	Auto	Auto	1.1964	0.0673	0.0562	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05192	Auto	Auto	0.1433	0.0264	0.1844	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05193	Auto	Auto	0.1155	0.0301	0.2608	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05194	Auto	Auto	0.0731	0.0186	0.2538	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05195	Auto	Auto	0.0909	0.0173	0.1902	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05198	Auto	Auto	0.357	0.0515	0.1442	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05199	Auto	Auto	0.5262	0.083	0.1577	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05217	Auto	Auto	0.199	0.0364	0.183	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05218	Auto	Auto	0.1038	0.0228	0.2192	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05223	Auto	Auto	0.1335	0.037	0.2773	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05225	Auto	Auto	0.1722	0.0476	0.2764	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05226	Auto	Auto	0.1135	0.0371	0.3271	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05227	Auto	Auto	0.1552	0.0333	0.2142	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05228	Auto	Auto	0.2383	0.05	0.2097	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05229	Auto	Auto	0.5755	0.0722	0.1255	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05232	Auto	Auto	0.5329	0.0435	0.0817	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05234	Auto	Auto	0.2626	0.0229	0.087	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05236	Auto	Auto	0.0821	0.0166	0.2021	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05237	Auto	Auto	0.2435	0.0625	0.2569	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05238	Auto	Auto	0.5325	0.12	0.2252	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05239	Auto	Auto	0.2457	0.0562	0.2288	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05240	Auto	Auto	0.1035	0.0193	0.187	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05241	Auto	Auto	0.1483	0.0486	0.3273	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05242	Auto	Auto	0.1669	0.0313	0.1874	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05245	Auto	Auto	0.1094	0.0338	0.3086	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05246	Auto	Auto	0.3502	0.0699	0.1997	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05247	Auto	Auto	0.145	0.03	0.2065	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05248	Auto	Auto	0.1697	0.0813	0.4793	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05249	Auto	Auto	0.169	0.0536	0.3173	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05251	Auto	Auto	0.2733	0.089	0.3257	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05252	Auto	Auto	0.0667	0.0224	0.3353	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05253	Auto	Auto	0.1989	0.0423	0.2126	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05254	Auto	Auto	0.1296	0.0344	0.2651	NON	Neutral	A1
MvSl-1064-A1-R4_MC03g05255	Auto	Auto	0.1673	0.0498	0.2978	NON	Neutral	A1
