gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	bias
MvSl-1064-A1-R4_A1g00165	MvSl-1064-A1-R4_A1	aMAT	621126	622892	7.334891887	-0.801032568	5.23E-05	0.001260356	a2
MvSl-1064-A1-R4_MC04-1g05865	MvSl-1064-A1-R4_MC04-1	Chr04	1369950	1372160	7.516792192	-0.799610004	0.000193094	0.004045989	a2
MvSl-1064-A1-R4_MC02g04181	MvSl-1064-A1-R4_MC02	Chr02	2412588	2413529	6.129770527	-0.798356861	9.45E-05	0.002153424	a2
MvSl-1064-A1-R4_MC04-1g05729	MvSl-1064-A1-R4_MC04-1	Chr04	1035061	1037563	5.769394008	-0.7976718	0.000143502	0.003113702	a2
MvSl-1064-A1-R4_MC06g07298	MvSl-1064-A1-R4_MC06	Chr06	1178498	1181711	6.934805112	-0.785742372	2.88E-05	0.000725311	a2
MvSl-1064-A1-R4_A1g01164	MvSl-1064-A1-R4_A1	aMAT	3033187	3035601	4.608905741	-0.782988706	0.001693951	0.027375404	a2
MvSl-1064-A1-R4_MC10-1g09718	MvSl-1064-A1-R4_MC10-1	Chr10	173527	184494	6.974633796	-0.781146008	0.000730169	0.013540603	a2
MvSl-1064-A1-R4_MC15g12029	MvSl-1064-A1-R4_MC15	Chr15	44970	45507	8.402279132	-0.754645564	0.001183869	0.020323077	a2
MvSl-1064-A1-R4_MC01-2g03112	MvSl-1064-A1-R4_MC01-2	Chr01	2892242	2893054	5.899566254	-0.753072657	0.002149137	0.033588616	a2
MvSl-1064-A1-R4_MC05-3g06516	MvSl-1064-A1-R4_MC05-3	Chr05	335094	339137	5.164718662	-0.748506772	0.001415449	0.023405559	a2
MvSl-1064-A1-R4_MC08g08768	MvSl-1064-A1-R4_MC08	Chr08	1262694	1263659	6.401389632	-0.726763597	0.001500458	0.024620759	a2
MvSl-1064-A1-R4_MC12g10761	MvSl-1064-A1-R4_MC12	Chr12	35162	35617	4.887916669	-0.721254003	0.002550009	0.038280846	a2
MvSl-1064-A1-R4_MC02g04171	MvSl-1064-A1-R4_MC02	Chr02	2391779	2393227	5.727709886	-0.712761873	0.001931428	0.030464537	a2
MvSl-1064-A1-R4_A1g00624	MvSl-1064-A1-R4_A1	aMAT	907140	907771	6.80534784	-0.708893366	0.000113263	0.002541427	a2
MvSl-1064-A1-R4_MC01-1g02848	MvSl-1064-A1-R4_MC01-1	Chr01	2268999	2270752	5.816341118	-0.704662556	0.000953111	0.016904871	a2
MvSl-1064-A1-R4_MC09-2g09340	MvSl-1064-A1-R4_MC09-2	Chr09	1043601	1045792	7.518692087	-0.702099413	0.000896124	0.016121834	a2
MvSl-1064-A1-R4_MC01-1g02351	MvSl-1064-A1-R4_MC01-1	Chr01	1049308	1050374	4.85559816	-0.691663591	0.003470111	0.049878603	a2
MvSl-1064-A1-R4_MC05-1g06149	MvSl-1064-A1-R4_MC05-1	Chr05	37960	43677	6.745506222	-0.678128307	0.00094465	0.016859739	a2
MvSl-1064-A1-R4_MC11g10344	MvSl-1064-A1-R4_MC11	Chr11	421333	421740	8.118151678	-0.669008997	0.002716265	0.040314839	a2
MvSl-1064-A1-R4_MC04-1g05310	MvSl-1064-A1-R4_MC04-1	Chr04	51262	53882	5.411211465	-0.667337928	0.002500425	0.037854247	a2
MvSl-1064-A1-R4_MC04-1g05441	MvSl-1064-A1-R4_MC04-1	Chr04	357258	362613	7.462737057	-0.66247332	0.001219037	0.020801494	a2
MvSl-1064-A1-R4_MC09-2g09142	MvSl-1064-A1-R4_MC09-2	Chr09	523492	523677	7.827837632	-0.657293378	0.002222492	0.034608531	a2
MvSl-1064-A1-R4_MC08g08840	MvSl-1064-A1-R4_MC08	Chr08	1456618	1458909	5.928880697	-0.653726695	0.001298261	0.021884336	a2
MvSl-1064-A1-R4_MC13g11330	MvSl-1064-A1-R4_MC13	Chr13	105993	107860	6.012093121	-0.637160617	0.002644193	0.039381899	a2
MvSl-1064-A1-R4_MC14g11748	MvSl-1064-A1-R4_MC14	Chr14	38927	40489	6.680379386	-0.6216778	0.00098001	0.017310139	a2
MvSl-1064-A1-R4_MC05-2g06394	MvSl-1064-A1-R4_MC05-2	Chr05	241192	246474	5.945783577	-0.615043751	0.002552355	0.038280846	a2
MvSl-1064-A1-R4_MC01-1g01952	MvSl-1064-A1-R4_MC01-1	Chr01	318422	318709	7.189220724	-0.607244261	0.001796447	0.028813924	a2
MvSl-1064-A1-R4_MC10-2g10026	MvSl-1064-A1-R4_MC10-2	Chr10	555640	556844	6.907613423	-0.600349985	0.001377782	0.022960352	a2
MvSl-1064-A1-R4_A1g01137	MvSl-1064-A1-R4_A1	aMAT	1213232	1215281	6.186903311	-0.592036629	0.001899747	0.030020219	a2
MvSl-1064-A1-R4_MC09-2g09201	MvSl-1064-A1-R4_MC09-2	Chr09	690705	692783	6.941856868	-0.583817052	0.002341651	0.036059607	a2
MvSl-1064-A1-R4_A1g00958	MvSl-1064-A1-R4_A1	aMAT	1995562	1995873	6.88895615	-0.561034724	0.003045807	0.044560866	a2
MvSl-1064-A1-R4_MC12g10944	MvSl-1064-A1-R4_MC12	Chr12	500353	501562	6.770725445	-0.549908584	0.003241003	0.047201585	a2
MvSl-1064-A1-R4_MC13g11616	MvSl-1064-A1-R4_MC13	Chr13	774983	777187	6.770560779	0.561011114	0.002247595	0.034809225	a1
MvSl-1064-A1-R4_MC01-2g03077	MvSl-1064-A1-R4_MC01-2	Chr01	2821947	2826170	6.607617769	0.562050944	0.002688617	0.039973895	a1
MvSl-1064-A1-R4_MC04-1g05493	MvSl-1064-A1-R4_MC04-1	Chr04	473810	475492	6.748373124	0.591446878	0.00223624	0.034759302	a1
MvSl-1064-A1-R4_MC09-2g09242	MvSl-1064-A1-R4_MC09-2	Chr09	796806	800631	6.276283933	0.607954176	0.002105142	0.032961278	a1
MvSl-1064-A1-R4_MC09-2g09524	MvSl-1064-A1-R4_MC09-2	Chr09	1502732	1505737	7.555362712	0.61874627	0.002749325	0.040734807	a1
MvSl-1064-A1-R4_MC14g11805	MvSl-1064-A1-R4_MC14	Chr14	167027	167383	6.115163323	0.621999685	0.001381851	0.022983347	a1
MvSl-1064-A1-R4_MC08g08595	MvSl-1064-A1-R4_MC08	Chr08	855888	859077	5.953079758	0.627776268	0.002245609	0.034809225	a1
MvSl-1064-A1-R4_MC05-3g06742	MvSl-1064-A1-R4_MC05-3	Chr05	657231	661261	6.647388205	0.637597379	0.000678688	0.012723915	a1
MvSl-1064-A1-R4_MC04-1g05323	MvSl-1064-A1-R4_MC04-1	Chr04	63200	65175	7.168839748	0.644965672	0.001138104	0.019695642	a1
MvSl-1064-A1-R4_A1g00648	MvSl-1064-A1-R4_A1	aMAT	724341	725782	6.475207556	0.646589946	0.000603139	0.011519531	a1
MvSl-1064-A1-R4_MC10-2g09967	MvSl-1064-A1-R4_MC10-2	Chr10	484067	485344	6.737566631	0.656538065	0.003049258	0.044560866	a1
MvSl-1064-A1-R4_MC03g05260	MvSl-1064-A1-R4_MC03	Chr03	2449225	2449601	5.204226127	0.65769881	0.003357843	0.048619332	a1
MvSl-1064-A1-R4_MC10-2g09992	MvSl-1064-A1-R4_MC10-2	Chr10	515138	517478	6.030828194	0.65989928	0.001244079	0.021186524	a1
MvSl-1064-A1-R4_MC09-2g09527	MvSl-1064-A1-R4_MC09-2	Chr09	1514266	1514951	6.484585248	0.662388126	0.001077545	0.018761564	a1
MvSl-1064-A1-R4_A1g00242	MvSl-1064-A1-R4_A1	aMAT	1134595	1135956	5.994034638	0.66789462	0.000859995	0.015576484	a1
MvSl-1064-A1-R4_A1g00779	MvSl-1064-A1-R4_A1	aMAT	782234	783980	7.820762219	0.677992555	0.001218585	0.020801494	a1
MvSl-1064-A1-R4_MC01-1g02647	MvSl-1064-A1-R4_MC01-1	Chr01	1766685	1770043	6.440773738	0.684436817	0.002940914	0.043273453	a1
MvSl-1064-A1-R4_MC11g10335	MvSl-1064-A1-R4_MC11	Chr11	403477	405342	7.145271294	0.685980401	0.001018468	0.01789538	a1
MvSl-1064-A1-R4_MC01-1g01917	MvSl-1064-A1-R4_MC01-1	Chr01	269901	270905	7.597360685	0.686271398	0.000717916	0.013342313	a1
MvSl-1064-A1-R4_MC13g11443	MvSl-1064-A1-R4_MC13	Chr13	359425	362943	7.185662813	0.688327726	0.001473327	0.024268734	a1
MvSl-1064-A1-R4_MC02g03374	MvSl-1064-A1-R4_MC02	Chr02	527610	533747	7.451486722	0.689665321	0.001100728	0.01912626	a1
MvSl-1064-A1-R4_MC11g10517	MvSl-1064-A1-R4_MC11	Chr11	873279	874178	6.839470173	0.6934159	0.00048138	0.009417195	a1
MvSl-1064-A1-R4_MC07g07868	MvSl-1064-A1-R4_MC07	Chr07	781747	782519	5.345356705	0.693606166	0.001805851	0.028910526	a1
MvSl-1064-A1-R4_MC07g07597	MvSl-1064-A1-R4_MC07	Chr07	135056	136879	7.513843292	0.704108271	0.001716129	0.027681484	a1
MvSl-1064-A1-R4_MC05-3g06591	MvSl-1064-A1-R4_MC05-3	Chr05	390272	393020	5.511231015	0.707273927	0.000946944	0.016865473	a1
MvSl-1064-A1-R4_MC01-2g03144	MvSl-1064-A1-R4_MC01-2	Chr01	2976089	2980943	4.959360341	0.708243776	0.002805345	0.041470322	a1
MvSl-1064-A1-R4_MC01-1g02258	MvSl-1064-A1-R4_MC01-1	Chr01	848559	849912	5.204663309	0.709559331	0.00184199	0.02932434	a1
MvSl-1064-A1-R4_MC01-1g02545	MvSl-1064-A1-R4_MC01-1	Chr01	1536813	1536986	5.372113094	0.713898684	0.001496273	0.024599306	a1
MvSl-1064-A1-R4_MC11g10232	MvSl-1064-A1-R4_MC11	Chr11	165456	166548	6.111891479	0.717466385	0.000381323	0.007563645	a1
MvSl-1064-A1-R4_MC03g05077	MvSl-1064-A1-R4_MC03	Chr03	1994288	2003020	6.64685013	0.720775829	0.001850767	0.029354744	a1
MvSl-1064-A1-R4_MC01-1g01829	MvSl-1064-A1-R4_MC01-1	Chr01	157897	159517	5.48430587	0.721753446	0.001137043	0.019695642	a1
MvSl-1064-A1-R4_MC01-1g02007	MvSl-1064-A1-R4_MC01-1	Chr01	382362	382675	5.125552216	0.729014747	0.002590107	0.038779025	a1
MvSl-1064-A1-R4_A1g00854	MvSl-1064-A1-R4_A1	aMAT	1796095	1800988	7.27391874	0.751578848	0.000343104	0.006853261	a1
MvSl-1064-A1-R4_MC11g10213	MvSl-1064-A1-R4_MC11	Chr11	117886	118818	7.197628291	0.753413712	0.000187165	0.003950797	a1
MvSl-1064-A1-R4_MC12g11020	MvSl-1064-A1-R4_MC12	Chr12	689900	692574	6.675660318	0.753556187	0.000148115	0.003205669	a1
MvSl-1064-A1-R4_MC04-1g05942	MvSl-1064-A1-R4_MC04-1	Chr04	1554327	1556717	6.08649375	0.757018715	0.000186214	0.00394045	a1
MvSl-1064-A1-R4_MC16g12190	MvSl-1064-A1-R4_MC16	Chr16	47318	47719	4.945626965	0.759085015	0.001181825	0.020323077	a1
MvSl-1064-A1-R4_A1g01376	MvSl-1064-A1-R4_A1	aMAT	903456	904193	5.367418152	0.760387737	0.001064882	0.018655082	a1
MvSl-1064-A1-R4_MC13g11692	MvSl-1064-A1-R4_MC13	Chr13	939337	941503	5.31590912	0.76049825	0.000864962	0.015633314	a1
MvSl-1064-A1-R4_MC09-2g09089	MvSl-1064-A1-R4_MC09-2	Chr09	391574	393954	5.941290105	0.76236208	0.002501772	0.037854247	a1
MvSl-1064-A1-R4_MC03g05112	MvSl-1064-A1-R4_MC03	Chr03	2088953	2089315	5.699129775	0.767192914	0.000150816	0.003255874	a1
MvSl-1064-A1-R4_MC05-2g06373	MvSl-1064-A1-R4_MC05-2	Chr05	229114	231419	6.311726606	0.772612795	0.000638606	0.012051752	a1
MvSl-1064-A1-R4_MC10-2g10037	MvSl-1064-A1-R4_MC10-2	Chr10	568609	571317	6.205371874	0.775713973	0.000118481	0.002637832	a1
MvSl-1064-A1-R4_MC05-3g06538	MvSl-1064-A1-R4_MC05-3	Chr05	353635	356122	5.366711835	0.781271572	0.000293936	0.005954645	a1
MvSl-1064-A1-R4_MC07g07612	MvSl-1064-A1-R4_MC07	Chr07	181738	182867	7.048399729	0.782407567	0.001336725	0.022451203	a1
MvSl-1064-A1-R4_MC01-1g01992	MvSl-1064-A1-R4_MC01-1	Chr01	366735	370125	7.968613353	0.782766935	0.000393148	0.007744282	a1
MvSl-1064-A1-R4_MC01-1g02763	MvSl-1064-A1-R4_MC01-1	Chr01	2041497	2045395	8.791415703	0.787958756	0.001893383	0.029975055	a1
MvSl-1064-A1-R4_MC03g04650	MvSl-1064-A1-R4_MC03	Chr03	940434	940661	6.227563858	0.794465156	0.000503837	0.009811623	a1
MvSl-1064-A1-R4_MC10-1g09726	MvSl-1064-A1-R4_MC10-1	Chr10	189544	190847	6.103973968	0.803651532	0.000110672	0.002489831	a1
MvSl-1064-A1-R4_MC08g08472	MvSl-1064-A1-R4_MC08	Chr08	567564	568214	5.93540126	0.805701023	0.000214488	0.004439851	a1
MvSl-1064-A1-R4_MC02g03229	MvSl-1064-A1-R4_MC02	Chr02	158789	159670	4.751199091	0.806135047	0.001019423	0.01789538	a1
MvSl-1064-A1-R4_MC13g11462	MvSl-1064-A1-R4_MC13	Chr13	415327	415476	4.34980113	0.807174573	0.002622068	0.039120529	a1
MvSl-1064-A1-R4_MC06g06943	MvSl-1064-A1-R4_MC06	Chr06	220266	221920	5.987499241	0.808477899	0.000341303	0.006836635	a1
MvSl-1064-A1-R4_A1g00073	MvSl-1064-A1-R4_A1	aMAT	160618	163050	5.103829051	0.811477637	0.001586955	0.025743608	a1
MvSl-1064-A1-R4_MC01-2g03117	MvSl-1064-A1-R4_MC01-2	Chr01	2894136	2896739	7.541452385	0.833389279	0.000738686	0.013639358	a1
MvSl-1064-A1-R4_MC01-1g02853	MvSl-1064-A1-R4_MC01-1	Chr01	2278915	2279088	5.747408158	0.836664946	5.17E-05	0.001247389	a1
MvSl-1064-A1-R4_MC11g10656	MvSl-1064-A1-R4_MC11	Chr11	1219688	1220586	6.375598022	0.836865651	2.83E-05	0.000712999	a1
MvSl-1064-A1-R4_MC03g04423	MvSl-1064-A1-R4_MC03	Chr03	403096	404129	6.690412138	0.841987833	5.26E-06	0.000147986	a1
MvSl-1064-A1-R4_MC06g06929	MvSl-1064-A1-R4_MC06	Chr06	187971	189682	7.78895188	0.844566611	0.000135758	0.002968269	a1
MvSl-1064-A1-R4_A1g01375	MvSl-1064-A1-R4_A1	aMAT	901642	902941	4.90234178	0.846875736	0.000520405	0.010111233	a1
MvSl-1064-A1-R4_MC11g10239	MvSl-1064-A1-R4_MC11	Chr11	181482	183273	5.162218079	0.849148153	0.001993251	0.031381766	a1
MvSl-1064-A1-R4_MC02g03617	MvSl-1064-A1-R4_MC02	Chr02	1086136	1086456	5.296359824	0.854666215	0.000260415	0.005300681	a1
MvSl-1064-A1-R4_MC10-2g10050	MvSl-1064-A1-R4_MC10-2	Chr10	579936	581622	7.326310209	0.856270191	6.57E-05	0.001548164	a1
MvSl-1064-A1-R4_MC05-2g06342	MvSl-1064-A1-R4_MC05-2	Chr05	206953	208744	4.318542882	0.858692768	0.001008078	0.017769188	a1
MvSl-1064-A1-R4_MC03g04777	MvSl-1064-A1-R4_MC03	Chr03	1264442	1266803	4.788346638	0.860788238	0.000634804	0.012006499	a1
MvSl-1064-A1-R4_MC01-1g02186	MvSl-1064-A1-R4_MC01-1	Chr01	669160	669324	5.036096767	0.865460841	0.000341472	0.006836635	a1
MvSl-1064-A1-R4_MC06g07527	MvSl-1064-A1-R4_MC06	Chr06	1703196	1705563	5.924273004	0.869316531	0.000973422	0.017229372	a1
MvSl-1064-A1-R4_MC14g11775	MvSl-1064-A1-R4_MC14	Chr14	109461	110580	4.722148276	0.871340089	0.000743003	0.013689513	a1
MvSl-1064-A1-R4_MC02g03493	MvSl-1064-A1-R4_MC02	Chr02	787392	787596	5.502808549	0.873272705	4.76E-05	0.001162701	a1
MvSl-1064-A1-R4_A1g00970	MvSl-1064-A1-R4_A1	aMAT	2512310	2513349	6.837559554	0.874880085	6.97E-06	0.000192241	a1
MvSl-1064-A1-R4_MC01-1g01740	MvSl-1064-A1-R4_MC01-1	Chr01	53416	54394	3.564506832	0.895446108	0.00247035	0.037578335	a1
MvSl-1064-A1-R4_MC10-2g10116	MvSl-1064-A1-R4_MC10-2	Chr10	694326	694586	5.774090125	0.89561803	0.000200164	0.004183869	a1
MvSl-1064-A1-R4_MC13g11584	MvSl-1064-A1-R4_MC13	Chr13	703687	705596	4.515121938	0.897924097	0.00058495	0.011212416	a1
MvSl-1064-A1-R4_MC02g03915	MvSl-1064-A1-R4_MC02	Chr02	1749117	1751879	3.488030744	0.900234537	0.003270196	0.047545753	a1
MvSl-1064-A1-R4_A1g00350	MvSl-1064-A1-R4_A1	aMAT	1608112	1609203	4.674464515	0.902069081	0.000693619	0.012975377	a1
MvSl-1064-A1-R4_MC07g07981	MvSl-1064-A1-R4_MC07	Chr07	1068375	1070028	6.316261764	0.903544842	3.07E-06	9.04E-05	a1
MvSl-1064-A1-R4_MC02g04208	MvSl-1064-A1-R4_MC02	Chr02	2472298	2473826	4.538965349	0.905097022	0.000421155	0.008276905	a1
MvSl-1064-A1-R4_MC06g06910	MvSl-1064-A1-R4_MC06	Chr06	139489	139896	5.792223207	0.90645564	3.98E-05	0.000992409	a1
MvSl-1064-A1-R4_MC11g10721	MvSl-1064-A1-R4_MC11	Chr11	1379145	1381294	3.397151928	0.913470449	0.003325092	0.048261816	a1
MvSl-1064-A1-R4_MC10-2g10108	MvSl-1064-A1-R4_MC10-2	Chr10	679604	681028	5.094440409	0.914203981	0.000351383	0.007002273	a1
MvSl-1064-A1-R4_A1g01135	MvSl-1064-A1-R4_A1	aMAT	1112670	1116562	5.749579335	0.917019786	1.04E-05	0.000281899	a1
MvSl-1064-A1-R4_MC10-2g09942	MvSl-1064-A1-R4_MC10-2	Chr10	449964	450988	6.086684037	0.918180283	1.16E-05	0.00031218	a1
MvSl-1064-A1-R4_MC01-1g02509	MvSl-1064-A1-R4_MC01-1	Chr01	1434301	1436358	6.434348811	0.92421791	0.002345203	0.036059607	a1
MvSl-1064-A1-R4_MC09-2g09143	MvSl-1064-A1-R4_MC09-2	Chr09	524685	531893	5.5123405	0.924462066	2.37E-05	0.000611171	a1
MvSl-1064-A1-R4_MC04-1g06022	MvSl-1064-A1-R4_MC04-1	Chr04	1743606	1743866	6.416684209	0.940585564	2.76E-05	0.000698846	a1
MvSl-1064-A1-R4_MC03g04730	MvSl-1064-A1-R4_MC03	Chr03	1151193	1152134	5.571835549	0.941309491	6.37E-05	0.001505372	a1
MvSl-1064-A1-R4_MC03g04791	MvSl-1064-A1-R4_MC03	Chr03	1305527	1308404	7.417628783	0.942533901	2.35E-06	7.11E-05	a1
MvSl-1064-A1-R4_MC01-1g02764	MvSl-1064-A1-R4_MC01-1	Chr01	2045748	2047942	8.064248284	0.947348825	3.80E-05	0.000952398	a1
MvSl-1064-A1-R4_MC12g10912	MvSl-1064-A1-R4_MC12	Chr12	412894	415158	3.29884009	0.948054165	0.00280867	0.041470322	a1
MvSl-1064-A1-R4_MC11g10558	MvSl-1064-A1-R4_MC11	Chr11	979265	980114	6.148474419	0.950311916	1.57E-06	4.85E-05	a1
MvSl-1064-A1-R4_MC03g05244	MvSl-1064-A1-R4_MC03	Chr03	2407825	2409650	3.351942831	0.951125142	0.002340467	0.036059607	a1
MvSl-1064-A1-R4_MC10-1g09729	MvSl-1064-A1-R4_MC10-1	Chr10	191437	192358	3.008256985	0.958533649	0.002421162	0.037027749	a1
MvSl-1064-A1-R4_MC14g11916	MvSl-1064-A1-R4_MC14	Chr14	431351	431855	4.984477889	0.959937246	8.29E-05	0.001921304	a1
MvSl-1064-A1-R4_MC05-1g06215	MvSl-1064-A1-R4_MC05-1	Chr05	99173	100465	4.776380366	0.969286676	5.05E-05	0.001224217	a1
MvSl-1064-A1-R4_MC04-1g05378	MvSl-1064-A1-R4_MC04-1	Chr04	174063	174694	5.421422733	0.970073278	1.04E-05	0.000281899	a1
MvSl-1064-A1-R4_MC04-1g05677	MvSl-1064-A1-R4_MC04-1	Chr04	899230	899526	5.494072223	0.976347781	0.000669363	0.012576666	a1
MvSl-1064-A1-R4_MC12g10792	MvSl-1064-A1-R4_MC12	Chr12	123465	124646	8.7823272	0.987346729	0.000127145	0.002808678	a1
MvSl-1064-A1-R4_MC01-1g02744	MvSl-1064-A1-R4_MC01-1	Chr01	1992894	1995725	4.188561465	0.989211157	0.000522361	0.010126231	a1
MvSl-1064-A1-R4_MC02g03288	MvSl-1064-A1-R4_MC02	Chr02	293276	295296	6.215671858	0.990964441	2.45E-07	8.75E-06	a1
MvSl-1064-A1-R4_MC04-1g05308	MvSl-1064-A1-R4_MC04-1	Chr04	46216	47141	4.35435216	0.991324397	0.000165722	0.003541903	a1
MvSl-1064-A1-R4_MC02g03205	MvSl-1064-A1-R4_MC02	Chr02	92362	93729	6.228889958	0.993299368	5.28E-06	0.000147986	a1
MvSl-1064-A1-R4_A1g01049	MvSl-1064-A1-R4_A1	aMAT	1304949	1306659	5.68079335	0.997497083	2.45E-06	7.38E-05	a1
MvSl-1064-A1-R4_MC07g07983	MvSl-1064-A1-R4_MC07	Chr07	1072044	1072293	3.735667152	0.998664546	0.000574555	0.011062763	a1
MvSl-1064-A1-R4_MC05-1g06125	MvSl-1064-A1-R4_MC05-1	Chr05	14286	18278	3.624170786	0.998850301	0.000643518	0.012117698	a1
MvSl-1064-A1-R4_MC01-1g02873	MvSl-1064-A1-R4_MC01-1	Chr01	2340468	2340984	2.803284586	0.998863033	0.002344537	0.036059607	a1
MvSl-1064-A1-R4_MC10-2g10100	MvSl-1064-A1-R4_MC10-2	Chr10	664955	666359	4.176924027	0.999784759	0.00254669	0.038280846	a1
MvSl-1064-A1-R4_MC11g10369	MvSl-1064-A1-R4_MC11	Chr11	496257	498627	5.25569513	1.000204055	0.000119867	0.002661674	a1
MvSl-1064-A1-R4_MC04-1g05592	MvSl-1064-A1-R4_MC04-1	Chr04	682780	686191	4.792802081	1.000413436	4.26E-05	0.001050753	a1
MvSl-1064-A1-R4_MC01-1g02353	MvSl-1064-A1-R4_MC01-1	Chr01	1051049	1051717	2.58975147	1.002100063	0.003361098	0.048619332	a1
MvSl-1064-A1-R4_MC13g11307	MvSl-1064-A1-R4_MC13	Chr13	53736	55376	5.510465073	1.00224516	1.73E-05	0.000458589	a1
MvSl-1064-A1-R4_MC06g06875	MvSl-1064-A1-R4_MC06	Chr06	66153	71990	5.421085152	1.007242061	0.0021897	0.034160122	a1
MvSl-1064-A1-R4_MC12g11005	MvSl-1064-A1-R4_MC12	Chr12	647337	652899	3.347832429	1.009915293	0.002980866	0.043785945	a1
MvSl-1064-A1-R4_MC09-2g09545	MvSl-1064-A1-R4_MC09-2	Chr09	1543700	1545536	5.681652728	1.013232718	2.35E-06	7.11E-05	a1
MvSl-1064-A1-R4_MC05-2g06375	MvSl-1064-A1-R4_MC05-2	Chr05	231831	233255	3.346372981	1.014309577	0.001176772	0.020282717	a1
MvSl-1064-A1-R4_MC01-1g02382	MvSl-1064-A1-R4_MC01-1	Chr01	1117355	1118182	2.805406753	1.015600349	0.002070079	0.032531448	a1
MvSl-1064-A1-R4_MC15g12147	MvSl-1064-A1-R4_MC15	Chr15	342114	343845	6.13979169	1.020123424	1.23E-05	0.0003282	a1
MvSl-1064-A1-R4_MC08g08762	MvSl-1064-A1-R4_MC08	Chr08	1254288	1255224	6.084534618	1.023509393	7.37E-07	2.41E-05	a1
MvSl-1064-A1-R4_MC08g08498	MvSl-1064-A1-R4_MC08	Chr08	628158	630126	9.013272156	1.023726587	0.000576199	0.011069486	a1
MvSl-1064-A1-R4_MC10-1g09809	MvSl-1064-A1-R4_MC10-1	Chr10	284000	284197	5.817045022	1.037371183	6.09E-07	2.02E-05	a1
MvSl-1064-A1-R4_A1g00718	MvSl-1064-A1-R4_A1	aMAT	646353	651020	5.277681998	1.042239841	4.09E-05	0.001013304	a1
MvSl-1064-A1-R4_MC03g04831	MvSl-1064-A1-R4_MC03	Chr03	1401619	1402875	3.626337742	1.048826104	0.000470411	0.009223726	a1
MvSl-1064-A1-R4_MC09-2g09506	MvSl-1064-A1-R4_MC09-2	Chr09	1458343	1463719	3.48824946	1.052940038	0.000834809	0.015152407	a1
MvSl-1064-A1-R4_MC05-2g06306	MvSl-1064-A1-R4_MC05-2	Chr05	180667	185119	2.782015147	1.066954713	0.002074281	0.03253767	a1
MvSl-1064-A1-R4_MC01-1g02686	MvSl-1064-A1-R4_MC01-1	Chr01	1852201	1852996	3.75305615	1.067948881	0.000179706	0.003812171	a1
MvSl-1064-A1-R4_MC01-1g02046	MvSl-1064-A1-R4_MC01-1	Chr01	429728	431119	3.614389019	1.06833939	0.000527174	0.010196408	a1
MvSl-1064-A1-R4_MC10-2g09962	MvSl-1064-A1-R4_MC10-2	Chr10	474885	475908	3.014264445	1.078304162	0.000897648	0.016121834	a1
MvSl-1064-A1-R4_MC14g11772	MvSl-1064-A1-R4_MC14	Chr14	102226	104487	3.340824184	1.078405774	0.001175683	0.020282717	a1
MvSl-1064-A1-R4_MC07g08078	MvSl-1064-A1-R4_MC07	Chr07	1311203	1311672	2.686681367	1.094428264	0.001363265	0.02276279	a1
MvSl-1064-A1-R4_MC02g03352	MvSl-1064-A1-R4_MC02	Chr02	449144	458208	7.143913879	1.094837538	1.22E-08	5.00E-07	a1
MvSl-1064-A1-R4_MC10-2g09980	MvSl-1064-A1-R4_MC10-2	Chr10	499776	500178	3.490617601	1.101777122	0.000266786	0.005417471	a1
MvSl-1064-A1-R4_A1g01347	MvSl-1064-A1-R4_A1	aMAT	2994712	2997178	6.966932186	1.102009758	5.33E-09	2.29E-07	a1
MvSl-1064-A1-R4_MC02g03373	MvSl-1064-A1-R4_MC02	Chr02	524827	527169	2.527234753	1.105863354	0.00141538	0.023405559	a1
MvSl-1064-A1-R4_MC11g10626	MvSl-1064-A1-R4_MC11	Chr11	1136661	1136858	4.938323898	1.123876553	3.63E-06	0.000104555	a1
MvSl-1064-A1-R4_A1g00923	MvSl-1064-A1-R4_A1	aMAT	3070504	3073816	4.056643808	1.125181115	9.40E-05	0.002148465	a1
MvSl-1064-A1-R4_MC10-2g10125	MvSl-1064-A1-R4_MC10-2	Chr10	710850	711768	2.77811765	1.127381508	0.001569419	0.025556124	a1
MvSl-1064-A1-R4_MC13g11325	MvSl-1064-A1-R4_MC13	Chr13	103156	103770	4.270038039	1.128857814	1.91E-05	0.000501737	a1
MvSl-1064-A1-R4_MC02g03872	MvSl-1064-A1-R4_MC02	Chr02	1658307	1658501	3.971214855	1.133635611	5.95E-05	0.001412118	a1
MvSl-1064-A1-R4_MC07g07960	MvSl-1064-A1-R4_MC07	Chr07	1027350	1030206	3.156135867	1.134160386	0.002399699	0.036765288	a1
MvSl-1064-A1-R4_A1g00542	MvSl-1064-A1-R4_A1	aMAT	1378554	1381105	5.769783827	1.135990453	4.33E-08	1.67E-06	a1
MvSl-1064-A1-R4_A1g01288	MvSl-1064-A1-R4_A1	aMAT	1186986	1189109	5.740145903	1.137327982	1.02E-06	3.26E-05	a1
MvSl-1064-A1-R4_MC11g10624	MvSl-1064-A1-R4_MC11	Chr11	1132737	1135054	6.803099676	1.142115258	1.05E-09	4.99E-08	a1
MvSl-1064-A1-R4_MC07g07592	MvSl-1064-A1-R4_MC07	Chr07	123980	126397	3.364090597	1.144536887	0.000807054	0.014682726	a1
