gid	gname	chr	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	group1.expr.minus	group2.expr.minus	ratio
MvSl-1064-A1-R4_A1g00518	MvSl-1064-A1-R4_A1	aMAT	2689352	2692677	6.333040186	0.322480627	0.112476398	0.67925882	6.291562476	6.656022701	6.274421831	6.042784241	6.473792588	6.158603036	0.065532643
MvSl-1064-A1-R4_A1g00519	MvSl-1064-A1-R4_A1	aMAT	2705499	2709175	7.162332146	0.329453209	0.088580395	0.61321826	7.32365373	7.311742422	6.914725159	7.058623891	7.317698076	6.986674525	0.061424265
MvSl-1064-A1-R4_A1g00520	MvSl-1064-A1-R4_A1	aMAT	2709667	2711246	5.56307402	0.210251201	0.320440773	0.951639745	5.553506087	5.767287674	5.536115014	5.368188924	5.660396881	5.452151969	0.048617412
MvSl-1064-A1-R4_A1g00521	MvSl-1064-A1-R4_A1	aMAT	2723676	2724484	6.020868852	0.294232959	0.254598983	0.897591979	5.766088255	6.469776725	6.081671852	5.61406504	6.11793249	5.847868446	0.058981114
MvSl-1064-A1-R4_A1g00522	MvSl-1064-A1-R4_A1	aMAT	1378554	1381105	1.326463675	4.658089516	1.93E-16	3.83E-14	2.141270708	2.406685599	-1.261007107	-2.803094116	2.273978154	-2.032050611	NA
MvSl-1064-A1-R4_A1g00525	MvSl-1064-A1-R4_A1	aMAT	1300472	1304579	7.298069583	0.428603192	0.028685308	0.329714483	7.526048618	7.466462137	7.040659265	7.095234597	7.496255378	7.067946931	0.078177637
MvSl-1064-A1-R4_A1g00527	MvSl-1064-A1-R4_A1	aMAT	1278622	1279107	4.833003811	0.581882017	0.040429293	0.41357782	5.313786157	4.837740883	4.17709197	4.788908861	5.07576352	4.483000416	0.158429885
MvSl-1064-A1-R4_A1g00528	MvSl-1064-A1-R4_A1	aMAT	3162864	3163091	2.779179255	-0.174837032	0.597491323	0.999958419	2.467259859	2.880472747	2.923467098	2.797013928	2.673866303	2.860240513	-0.079314486
MvSl-1064-A1-R4_A1g00530	MvSl-1064-A1-R4_A1	aMAT	3139638	3144611	6.856239434	0.006866399	0.96985639	0.999958419	6.86904035	6.850243332	6.807059478	6.897148939	6.859641841	6.852104209	0.001453862
MvSl-1064-A1-R4_A1g00532	MvSl-1064-A1-R4_A1	aMAT	3096186	3097883	5.072174373	0.189104916	0.409075598	0.999958419	5.154646406	5.172665211	5.029311781	4.918776934	5.163655808	4.974044357	0.048057358
MvSl-1064-A1-R4_A1g00533	MvSl-1064-A1-R4_A1	aMAT	1186986	1189109	6.242178345	-0.3416455	0.067235395	0.531934984	6.01924524	6.102019085	6.41693513	6.387890712	6.060632162	6.402412921	-0.071941615
MvSl-1064-A1-R4_A1g00534	MvSl-1064-A1-R4_A1	aMAT	1199905	1206247	7.591739653	0.347983004	0.085499035	0.604671992	7.752079091	7.758496925	7.479500885	7.331664854	7.755288008	7.405582869	0.06150364
MvSl-1064-A1-R4_A1g00541	MvSl-1064-A1-R4_A1	aMAT	1207176	1208666	6.270741846	0.128964275	0.621928745	0.999958419	6.66988564	5.895217446	5.942916583	6.426714076	6.282551543	6.184815329	0.020562153
MvSl-1064-A1-R4_A1g00542	MvSl-1064-A1-R4_A1	aMAT	1209281	1212345	5.211266204	-0.323479209	0.143590446	0.739134413	5.099686859	4.978810473	5.338621804	5.387210898	5.039248666	5.362916351	-0.080185109
MvSl-1064-A1-R4_A1g00543	MvSl-1064-A1-R4_A1	aMAT	1213232	1215281	7.069226702	-0.052555432	0.801752889	0.999958419	7.245300302	6.8070749	6.997486477	7.186742375	7.026187601	7.092114426	-0.012379631
MvSl-1064-A1-R4_A1g00544	MvSl-1064-A1-R4_A1	aMAT	1274366	1278155	5.687484588	-0.086776727	0.681035645	0.999958419	5.532079509	5.746665489	5.78819042	5.669502447	5.639372499	5.728846433	-0.020463904
MvSl-1064-A1-R4_A1g00575	MvSl-1064-A1-R4_A1	aMAT	924447	925599	7.440061939	0.421916294	0.039887531	0.413208033	7.686081771	7.583494117	7.329061213	7.088954936	7.634787944	7.209008074	0.076364915
MvSl-1064-A1-R4_A1g00593	MvSl-1064-A1-R4_A1	aMAT	542621	544478	8.05477918	-0.033157431	0.882993854	0.999958419	8.150102016	7.916704828	7.981638843	8.155616452	8.033403422	8.068627648	-0.005858051
MvSl-1064-A1-R4_A1g00624	MvSl-1064-A1-R4_A1	aMAT	908654	911656	7.536636438	0.808088472	8.51E-05	0.003886534	7.774710994	7.98725687	7.131322901	7.021059886	7.880983932	7.076191394	0.143416617
MvSl-1064-A1-R4_A1g00644	MvSl-1064-A1-R4_A1	aMAT	1588797	1592442	5.048246366	1.320733705	8.97E-08	6.71E-06	5.437733337	5.678620869	4.090797988	4.387425693	5.558177103	4.239111841	0.346243826
MvSl-1064-A1-R4_A1g00645	MvSl-1064-A1-R4_A1	aMAT	2791731	2799682	6.102561061	0.002624131	0.989642186	0.999958419	5.931325687	6.257816998	6.12195882	6.080281083	6.094571342	6.101119951	-0.001405542
MvSl-1064-A1-R4_A1g00646	MvSl-1064-A1-R4_A1	aMAT	2776699	2777667	8.018398802	1.509647233	8.76E-10	8.67E-08	8.335397296	8.796465639	7.191153531	6.949277912	8.565931468	7.070215722	0.256283977
MvSl-1064-A1-R4_A1g00648	MvSl-1064-A1-R4_A1	aMAT	739770	740360	6.458706383	-0.64351508	0.00055243	0.018362123	6.127612378	6.074702649	6.727229898	6.760979396	6.101157513	6.744104647	-0.131728041
MvSl-1064-A1-R4_A1g00668	MvSl-1064-A1-R4_A1	aMAT	1389234	1391759	6.334716362	5.495973042	3.47E-104	3.09E-100	7.268409376	7.339091646	2.103929022	1.52819258	7.303750511	1.816060801	1.700050155
MvSl-1064-A1-R4_A1g00669	MvSl-1064-A1-R4_A1	aMAT	1386243	1386532	5.938218421	0.154053322	0.444692834	0.999958419	5.951331615	6.072494825	5.934323571	5.780376789	6.01191322	5.85735018	0.034001342
MvSl-1064-A1-R4_A1g00693	MvSl-1064-A1-R4_A1	aMAT	1539659	1541133	7.236625937	0.01252285	0.948499175	0.999958419	7.265915376	7.219471803	7.183015811	7.276195997	7.24269359	7.229605904	0.002402228
MvSl-1064-A1-R4_A1g00694	MvSl-1064-A1-R4_A1	aMAT	1526188	1527713	7.293686908	-0.19789549	0.314026701	0.948575738	7.168333673	7.213973709	7.44513281	7.330846335	7.191153691	7.387989573	-0.035886915
MvSl-1064-A1-R4_A1g00718	MvSl-1064-A1-R4_A1	aMAT	646353	651020	5.231557667	-1.039972343	4.70E-05	0.002297712	4.440978238	4.779377251	5.879425609	5.39506329	4.610177744	5.637244449	-0.258492663
MvSl-1064-A1-R4_A1g00726	MvSl-1064-A1-R4_A1	aMAT	547576	548488	7.510655888	0.311615773	0.137596704	0.728923198	7.490172823	7.808437404	7.40293606	7.288052196	7.649305114	7.345494128	0.053976543
MvSl-1064-A1-R4_A1g00732	MvSl-1064-A1-R4_A1	aMAT	2238742	2239464	6.363684078	0.418964568	0.038234816	0.402120124	6.400169911	6.700307486	6.264172567	6.003259665	6.550238698	6.133716116	0.086291688
MvSl-1064-A1-R4_A1g00749	MvSl-1064-A1-R4_A1	aMAT	1054963	1057437	7.485614064	0.496680815	0.095093178	0.630315997	8.00091615	7.352346788	6.698339073	7.596666142	7.676631469	7.147502608	0.095029135
MvSl-1064-A1-R4_A1g00750	MvSl-1064-A1-R4_A1	aMAT	998707	1000561	6.050834059	-0.012311706	0.951128796	0.999958419	6.171978773	5.905176603	5.989284503	6.121568596	6.038577688	6.055426549	-0.003643872
MvSl-1064-A1-R4_A1g00751	MvSl-1064-A1-R4_A1	aMAT	985209	987129	8.068485686	0.330966011	0.13334433	0.726058247	8.27392262	8.173371856	7.814647562	7.968577933	8.223647238	7.891612747	0.055184387
MvSl-1064-A1-R4_A1g00772	MvSl-1064-A1-R4_A1	aMAT	411533	413382	4.150181663	0.40820065	0.232691131	0.870622395	3.850402413	4.704363765	4.198779582	3.609225091	4.277383089	3.904002336	0.114317511
MvSl-1064-A1-R4_A1g00778	MvSl-1064-A1-R4_A1	aMAT	790625	795162	4.827382544	-0.38590473	0.15102707	0.755032353	4.905707101	4.268157786	5.023246946	4.988944583	4.586932444	5.006095765	-0.111620715
MvSl-1064-A1-R4_A1g00779	MvSl-1064-A1-R4_A1	aMAT	795631	796542	8.041809097	-0.654128401	0.003064578	0.071464035	7.737031596	7.61645047	8.262368925	8.398201136	7.676741033	8.330285031	-0.109339833
MvSl-1064-A1-R4_A1g00794	MvSl-1064-A1-R4_A1	aMAT	3044289	3046699	5.247566635	-0.016901964	0.940403716	0.999958419	5.192959759	5.283712734	5.353200541	5.151671557	5.238336246	5.252436049	-0.003465813
MvSl-1064-A1-R4_A1g00801	MvSl-1064-A1-R4_A1	aMAT	527848	528105	3.669800147	0.03150145	0.92333259	0.999958419	3.35284876	3.954783646	3.874281606	3.394137716	3.653816203	3.634209661	0.006627724
MvSl-1064-A1-R4_A1g00832	MvSl-1064-A1-R4_A1	aMAT	3195577	3196417	7.420773965	-0.101008859	0.609159933	0.999958419	7.390662563	7.347789793	7.473211619	7.46745132	7.369226178	7.470331469	-0.018134324
MvSl-1064-A1-R4_A1g00840	MvSl-1064-A1-R4_A1	aMAT	3189050	3195319	6.729710943	-0.270688657	0.141434368	0.73493103	6.548727117	6.626227649	6.938015581	6.774286609	6.587477383	6.856151095	-0.052773542
MvSl-1064-A1-R4_A1g00842	MvSl-1064-A1-R4_A1	aMAT	1400757	1402594	7.444339306	0.358832298	0.139632215	0.732103455	7.397514427	7.799788315	7.505475412	6.949277912	7.598651371	7.227376662	0.066659152
MvSl-1064-A1-R4_A1g00843	MvSl-1064-A1-R4_A1	aMAT	1437496	1440368	3.93387583	0.646969295	0.023907102	0.294977936	4.044490005	4.379505229	3.619433654	3.53725155	4.211997617	3.578342602	0.20262587
MvSl-1064-A1-R4_A1g00845	MvSl-1064-A1-R4_A1	aMAT	1645733	1648754	6.710431399	-0.038260324	0.838603049	0.999958419	6.772545424	6.604998829	6.638761591	6.81465869	6.688772127	6.726710141	-0.007465365
MvSl-1064-A1-R4_A1g00853	MvSl-1064-A1-R4_A1	aMAT	1711315	1715586	7.432253278	1.602029695	3.26E-15	5.80E-13	8.044929991	7.998057297	6.39283312	6.448007323	8.021493644	6.420420221	0.29547253
MvSl-1064-A1-R4_A1g00854	MvSl-1064-A1-R4_A1	aMAT	1701948	1703146	7.952550191	-0.781634241	0.000497626	0.016791104	7.634040342	7.373125538	8.393536269	8.180136941	7.50358294	8.286836605	-0.132736637
MvSl-1064-A1-R4_A1g00869	MvSl-1064-A1-R4_A1	aMAT	834376	836308	9.265508983	0.783136283	0.013298546	0.200107177	9.206225248	9.916421617	8.998979411	8.619277507	9.561323432	8.809128459	0.110685111
MvSl-1064-A1-R4_A1g00911	MvSl-1064-A1-R4_A1	aMAT	3038018	3044084	6.59929293	0.220741495	0.315666686	0.950573282	6.487534683	6.894659051	6.674028487	6.267297823	6.691096867	6.470663155	0.044143614
MvSl-1064-A1-R4_A1g00912	MvSl-1064-A1-R4_A1	aMAT	3035765	3037588	5.455234087	0.202295333	0.385798252	0.987129797	5.37246096	5.713044307	5.513217729	5.168262145	5.542752634	5.340739937	0.048052817
MvSl-1064-A1-R4_A1g00920	MvSl-1064-A1-R4_A1	aMAT	3000503	3001944	5.779386556	0.945533516	2.23E-05	0.001208806	6.320692489	6.016171723	5.074980727	5.37455749	6.168432106	5.224769108	0.215799866
MvSl-1064-A1-R4_A1g00921	MvSl-1064-A1-R4_A1	aMAT	3017616	3018135	7.42288485	-0.14131149	0.480868298	0.999958419	7.268409376	7.428123116	7.459053327	7.523689107	7.348266246	7.491371217	-0.025667631
MvSl-1064-A1-R4_A1g00922	MvSl-1064-A1-R4_A1	aMAT	3033187	3035601	6.555777133	-0.258848306	0.165697968	0.779702416	6.388294552	6.452052912	6.663668613	6.694447765	6.420173732	6.679058189	-0.052071223
MvSl-1064-A1-R4_A1g00956	MvSl-1064-A1-R4_A1	aMAT	1794549	1795435	6.001711054	-1.568578928	1.54E-13	2.18E-11	4.82397341	5.182935099	6.601932869	6.559114882	5.003454254	6.580523876	-0.356428302
MvSl-1064-A1-R4_A1g00957	MvSl-1064-A1-R4_A1	aMAT	1796095	1800988	5.083223076	-0.331606852	0.155236941	0.762595893	4.866736322	4.94782939	5.35963299	5.106473975	4.907282856	5.233053483	-0.082562922
MvSl-1064-A1-R4_A1g00958	MvSl-1064-A1-R4_A1	aMAT	1834558	1837865	6.840935349	0.55996284	0.002727364	0.066019998	7.014598396	7.169217947	6.620129919	6.443470867	7.091908172	6.531800393	0.10872482
MvSl-1064-A1-R4_A1g00960	MvSl-1064-A1-R4_A1	aMAT	1872072	1874749	7.80186122	0.016497306	0.944692074	0.999958419	7.976108421	7.622499683	7.551504133	8.000840735	7.799304052	7.776172434	0.003967364
MvSl-1064-A1-R4_A1g00970	MvSl-1064-A1-R4_A1	aMAT	2085727	2087119	6.789551329	-0.873348638	6.55E-06	0.00037769	6.108808766	6.446948713	7.149069961	7.171736128	6.277878739	7.160403044	-0.173600506
MvSl-1064-A1-R4_A1g00971	MvSl-1064-A1-R4_A1	aMAT	2097615	2099010	5.639245695	0.545396327	0.025852765	0.310791406	5.57300594	6.143626052	5.513217729	5.147958706	5.858315996	5.330588218	0.12251029
MvSl-1064-A1-R4_A1g00972	MvSl-1064-A1-R4_A1	aMAT	2138970	2141225	6.174587999	1.761422743	6.60E-16	1.25E-13	6.560171736	7.009324041	5.057282036	5.029866928	6.784747888	5.043574482	0.386506436
MvSl-1064-A1-R4_A1g00997	MvSl-1064-A1-R4_A1	aMAT	1790347	1792433	6.067992194	2.954530306	2.19E-42	1.95E-39	6.83310143	6.952230121	3.819339089	4.064029716	6.892665775	3.941684402	0.719278598
MvSl-1064-A1-R4_A1g00998	MvSl-1064-A1-R4_A1	aMAT	1792754	1794128	4.64985596	-0.36983637	0.160624506	0.770296812	4.284184749	4.60399143	5.011040251	4.603444589	4.44408809	4.80724242	-0.099843248
MvSl-1064-A1-R4_A1g01017	MvSl-1064-A1-R4_A1	aMAT	2082576	2084202	8.224041112	0.258676241	0.259533941	0.903803106	8.226226566	8.459531585	8.094404084	8.083586802	8.342879075	8.088995443	0.041437791
MvSl-1064-A1-R4_A1g01038	MvSl-1064-A1-R4_A1	aMAT	919803	924298	8.086406119	-2.448049044	9.51E-15	1.54E-12	5.878757188	6.776205234	9.074484868	8.567232967	6.327481211	8.820858918	-0.442216284
MvSl-1064-A1-R4_A1g01129	MvSl-1064-A1-R4_A1	aMAT	1608112	1609203	6.989945421	0.37050565	0.04193756	0.418578881	7.171002038	7.155724502	6.810585218	6.775490291	7.16336327	6.793037754	0.070293074
MvSl-1064-A1-R4_A1g01136	MvSl-1064-A1-R4_A1	aMAT	1164814	1164982	3.702773879	3.950834907	9.01E-25	2.87E-22	4.943652812	4.196976043	0.722649631	0.762554686	4.570314428	0.742602158	1.926445895
MvSl-1064-A1-R4_A1g01137	MvSl-1064-A1-R4_A1	aMAT	1164529	1164771	6.628995013	0.63619117	0.000691762	0.022326854	6.923857339	6.900893984	6.241712839	6.311117877	6.912375661	6.276415358	0.127190076
MvSl-1064-A1-R4_A1g01154	MvSl-1064-A1-R4_A1	aMAT	1166037	1167381	7.300272241	0.07228405	0.71857147	0.999958419	7.276856871	7.392724685	7.371851088	7.146838694	7.334790778	7.259344891	0.013741594
MvSl-1064-A1-R4_A1g01159	MvSl-1064-A1-R4_A1	aMAT	1172917	1174722	7.050777351	-0.337264477	0.076497635	0.572158633	6.799696842	6.941382258	7.287495733	7.126701006	6.87053955	7.20709837	-0.063375952
MvSl-1064-A1-R4_A1g01160	MvSl-1064-A1-R4_A1	aMAT	1174940	1175619	7.220141935	-0.323252528	0.096971907	0.634699303	7.100528266	6.996571589	7.408763354	7.335342452	7.048549927	7.372052903	-0.059582924
MvSl-1064-A1-R4_A1g01161	MvSl-1064-A1-R4_A1	aMAT	1176446	1176679	5.793562803	0.274503857	0.186166775	0.820165003	5.964926509	5.882671034	5.739697495	5.555010787	5.923798772	5.647354141	0.062234317
MvSl-1064-A1-R4_A1g01162	MvSl-1064-A1-R4_A1	aMAT	1176877	1180058	3.005315253	-5.466800161	8.19E-32	3.84E-29	-0.793556811	-1.719121546	4.143936729	3.723398761	-1.256339178	3.933667745	NA
MvSl-1064-A1-R4_A1g01163	MvSl-1064-A1-R4_A1	aMAT	1183296	1185232	3.957010269	-3.618098308	9.11E-29	3.53E-26	1.349065323	1.177619195	4.773978154	4.887945952	1.263342259	4.830962053	-1.531281117
MvSl-1064-A1-R4_A1g01173	MvSl-1064-A1-R4_A1	aMAT	2516666	2518918	7.330917156	-0.243338541	0.218229521	0.85580916	7.253883793	7.152592626	7.389639732	7.502765145	7.203238209	7.446202438	-0.044102267
MvSl-1064-A1-R4_A1g01184	MvSl-1064-A1-R4_A1	aMAT	2141875	2142896	7.351771827	-0.485461094	0.015340562	0.222201181	6.989422266	7.181562404	7.612697799	7.534038377	7.085492335	7.573368088	-0.088526434
MvSl-1064-A1-R4_A1g01189	MvSl-1064-A1-R4_A1	aMAT	904475	905581	7.106909346	-0.517444208	0.011315282	0.180638942	7.009240373	6.614135171	7.332335288	7.351978335	6.811687772	7.342156812	-0.099419445
MvSl-1064-A1-R4_A1g01212	MvSl-1064-A1-R4_A1	aMAT	1185421	1186806	3.684784151	1.980081342	2.30E-07	1.65E-05	4.813081652	3.704060961	2.46773403	2.330939945	4.258571307	2.399336988	0.691524045
MvSl-1064-A1-R4_A1g01219	MvSl-1064-A1-R4_A1	aMAT	2503758	2506154	11.24769526	0.902404386	0.019300533	0.256994245	11.51589129	11.73475334	10.98862795	10.40743074	11.62532232	10.69802935	0.11357068
MvSl-1064-A1-R4_A1g01227	MvSl-1064-A1-R4_A1	aMAT	2725136	2725813	7.514306842	0.282165256	0.310302409	0.945084766	7.225413633	7.975193625	7.638054915	7.031676772	7.600303629	7.334865843	0.047331466
MvSl-1064-A1-R4_A1g01252	MvSl-1064-A1-R4_A1	aMAT	471540	472718	7.075872995	-0.196291943	0.290123262	0.939446752	6.963798978	6.984879815	7.184828165	7.156110139	6.974339396	7.170469152	-0.036767266
MvSl-1064-A1-R4_A1g01261	MvSl-1064-A1-R4_A1	aMAT	2570487	2572532	10.65904027	2.083064204	5.53E-09	4.79E-07	11.24008468	11.45841557	9.085926062	9.434073432	11.34925012	9.259999747	0.27665141
MvSl-1064-A1-R4_A1g01271	MvSl-1064-A1-R4_A1	aMAT	2557552	2558488	7.834798352	0.502724325	0.049258307	0.452830753	7.756349704	8.318070928	7.770373573	7.318099549	8.037210316	7.544236561	0.08454536
MvSl-1064-A1-R4_A1g01272	MvSl-1064-A1-R4_A1	aMAT	2568240	2569874	9.245669978	-0.12717277	0.677980485	0.999958419	8.911704234	9.407286145	9.552608899	9.012865854	9.15949519	9.282737376	-0.018060292
MvSl-1064-A1-R4_A1g01288	MvSl-1064-A1-R4_A1	aMAT	1156584	1158695	4.568843741	0.255293136	0.376678731	0.985153678	4.430326606	4.911235187	4.692243471	4.125736192	4.670780897	4.408989832	0.073157231
MvSl-1064-A1-R4_A1g01290	MvSl-1064-A1-R4_A1	aMAT	1153924	1156082	5.49401017	-0.086469126	0.68466801	0.999958419	5.418100463	5.481384436	5.431615485	5.634109542	5.44974245	5.532862513	-0.019610055
MvSl-1064-A1-R4_A1g01347	MvSl-1064-A1-R4_A1	aMAT	2816107	2817007	6.920061366	-1.100869854	3.47E-09	3.12E-07	6.330273238	6.201345928	7.304682668	7.427044842	6.265809583	7.365863755	-0.213710714
MvSl-1064-A1-R4_A1g01348	MvSl-1064-A1-R4_A1	aMAT	2817417	2818269	7.385864357	-0.153025609	0.438375441	0.999958419	7.317404817	7.29716199	7.509819643	7.40893209	7.307283404	7.459375866	-0.027404063
MvSl-1064-A1-R4_A1g01350	MvSl-1064-A1-R4_A1	aMAT	2835849	2836868	6.010786145	0.145950771	0.456620862	0.999958419	6.034563964	6.127765057	5.993426797	5.876620232	6.081164511	5.935023514	0.031792334
MvSl-1064-A1-R4_A1g01351	MvSl-1064-A1-R4_A1	aMAT	2851861	2852673	10.20072731	0.069821415	0.824838506	0.999958419	10.24131769	10.22908937	10.26148836	10.06245311	10.23520353	10.16197073	0.009762391
MvSl-1064-A1-R4_A1g01366	MvSl-1064-A1-R4_A1	aMAT	1151741	1153580	6.343686638	0.071635813	0.696642343	0.999958419	6.411948318	6.345457351	6.340950318	6.273274777	6.378702834	6.307112548	0.014825211
MvSl-1064-A1-R4_A1g01367	MvSl-1064-A1-R4_A1	aMAT	1150800	1151468	4.616421443	-0.360021701	0.156643833	0.763573062	4.595161408	4.233005878	4.809652734	4.757578036	4.414083643	4.783615385	-0.102120133
MvSl-1064-A1-R4_A1g01368	MvSl-1064-A1-R4_A1	aMAT	1148624	1150396	6.053126473	0.200629648	0.415737789	0.999958419	6.43788177	5.790308585	5.735993961	6.135697666	6.114095177	5.935845814	0.038679693
MvSl-1064-A1-R4_A1g01369	MvSl-1064-A1-R4_A1	aMAT	1144687	1148015	9.07781543	-0.615115419	0.025833428	0.310791406	8.69058312	8.783363721	9.537174271	9.141199327	8.73697342	9.339186799	-0.089949981
MvSl-1064-A1-R4_A1g01384	MvSl-1064-A1-R4_A1	aMAT	1761367	1764288	7.783333082	0.957219372	4.63E-06	0.000274987	8.149290348	8.21800091	7.261110493	7.192611334	8.183645629	7.226860914	0.165908274
MvSl-1064-A1-R4_A1g01385	MvSl-1064-A1-R4_A1	aMAT	1745782	1746129	4.98182068	-0.108222877	0.681852969	0.999958419	4.714098872	5.111613597	5.253104949	4.77693893	4.912856234	5.015021939	-0.026378536
MvSl-1064-A1-R4_A1g01388	MvSl-1064-A1-R4_A1	aMAT	468377	470856	5.442255039	-0.405275717	0.167606892	0.781615123	4.66345529	5.628403965	5.78101958	5.46088575	5.145929627	5.620952665	-0.114139501
MvSl-1064-A1-R4_A1g01389	MvSl-1064-A1-R4_A1	aMAT	427406	429655	6.719429394	0.424743351	0.043526967	0.425618247	6.707131379	7.098825877	6.654542294	6.308625653	6.902978628	6.481583973	0.083119199
MvSl-1064-A1-R4_A1g01392	MvSl-1064-A1-R4_A1	aMAT	357937	361103	5.617105744	0.221441848	0.325095641	0.954006241	5.47102781	5.938290068	5.575331098	5.426052316	5.704658939	5.500691707	0.047263628
MvSl-1064-A1-R4_A1g01406	MvSl-1064-A1-R4_A1	aMAT	2500697	2501425	11.2452702	0.84361703	0.022511489	0.286474772	11.4331711	11.76082533	10.73323892	10.79156639	11.59699822	10.76240265	0.102051284
MvSl-1064-A1-R4_A1g01407	MvSl-1064-A1-R4_A1	aMAT	2246376	2250905	6.772673636	0.376756807	0.037192171	0.395827789	6.971166472	6.926179171	6.5821288	6.562605326	6.948672821	6.572367063	0.073535178
MvSl-1064-A1-R4_A1g01415	MvSl-1064-A1-R4_A1	aMAT	406221	406733	6.861454613	-0.3938514	0.041650036	0.418578881	6.689373383	6.611856504	7.199245606	6.871486828	6.650614944	7.035366217	-0.074355489
MvSl-1064-A1-R4_A1g01431	MvSl-1064-A1-R4_A1	aMAT	1769429	1769832	6.819647581	-0.059690211	0.768943256	0.999958419	6.948328117	6.611096148	6.674673515	7.004730029	6.779712133	6.839701772	-0.011642752
MvSl-1064-A1-R4_A1g01432	MvSl-1064-A1-R4_A1	aMAT	1786241	1788119	4.797406759	-1.159635395	2.87E-05	0.001468951	4.397891564	3.737889705	5.349973529	5.164591801	4.067890635	5.257282665	-0.325969907
MvSl-1064-A1-R4_A1g01440	MvSl-1064-A1-R4_A1	aMAT	3215913	3218813	6.952285826	-0.041939093	0.821458412	0.999958419	7.019344434	6.837297854	6.99232133	6.953538151	6.928321144	6.972929741	-0.008496518
MvSl-1064-A1-R4_A1g01441	MvSl-1064-A1-R4_A1	aMAT	3219240	3221354	6.22329187	0.038308635	0.836550234	0.999958419	6.266829941	6.21742188	6.216242064	6.191771465	6.242125911	6.204006765	0.008031986
MvSl-1064-A1-R4_A1g01444	MvSl-1064-A1-R4_A1	aMAT	3224048	3225965	11.20722412	-0.063206732	0.861143161	0.999958419	11.0758062	11.26832308	11.26767046	11.20868335	11.17206464	11.2381769	-0.008063252
MvSl-1064-A1-R4_A1g01445	MvSl-1064-A1-R4_A1	aMAT	3226394	3229199	7.451309015	-0.036502015	0.861202844	0.999958419	7.572401519	7.278607051	7.402546736	7.533327013	7.425504285	7.467936874	-0.007585253
MvSl-1064-A1-R4_A1g01447	MvSl-1064-A1-R4_A1	aMAT	3231159	3234807	6.085492305	-0.141031684	0.49092245	0.999958419	6.02751399	5.9988369	5.966286817	6.320219372	6.013175445	6.143253094	-0.028001504
MvSl-1064-A1-R4_A1g01450	MvSl-1064-A1-R4_A1	aMAT	3239229	3242046	4.790294459	-0.140798155	0.593590413	0.999958419	4.829388608	4.597863946	4.575520702	5.094949815	4.713626277	4.835235259	-0.032501393
MvSl-1064-A1-R4_A1g01451	MvSl-1064-A1-R4_A1	aMAT	3242237	3243945	5.387314888	0.003990829	0.985873182	0.999958419	5.24048008	5.524017762	5.476696929	5.287803045	5.382248921	5.382249987	-2.56E-07
MvSl-1064-A1-R4_A1g01453	MvSl-1064-A1-R4_A1	aMAT	3245830	3247989	7.950711706	-0.485091208	0.02599087	0.31161059	7.6074953	7.763979996	8.25527119	8.08528648	7.685737648	8.170278835	-0.081763648
MvSl-1064-A1-R4_A1g01458	MvSl-1064-A1-R4_A1	aMAT	3251205	3254042	6.647627103	0.112703934	0.544219576	0.999958419	6.699758759	6.706015785	6.598537711	6.581997272	6.702887272	6.590267492	0.022347921
MvSl-1064-A1-R4_A1g01460	MvSl-1064-A1-R4_A1	aMAT	3259899	3261228	6.950514209	-0.108500822	0.56631922	0.999958419	6.796244314	6.987811653	7.085005813	6.917464002	6.892027984	7.001234908	-0.020811719
MvSl-1064-A1-R4_A1g01461	MvSl-1064-A1-R4_A1	aMAT	3261448	3262668	6.267271545	0.007378385	0.968659378	0.999958419	6.199422664	6.339042894	6.240841981	6.285999758	6.269232779	6.26342087	0.00121692
MvSl-1064-A1-R4_A1g01462	MvSl-1064-A1-R4_A1	aMAT	3263169	3264801	7.459455859	0.261111031	0.201970457	0.836952696	7.532703065	7.633774043	7.425722206	7.212744559	7.583238554	7.319233383	0.04717129
MvSl-1064-A1-R4_A1g01466	MvSl-1064-A1-R4_A1	aMAT	3273914	3276841	6.568804473	-0.080340194	0.701351901	0.999958419	6.739130645	6.280948513	6.538854557	6.674584766	6.510039579	6.606719661	-0.019420392
MvSl-1064-A1-R4_A1g01467	MvSl-1064-A1-R4_A1	aMAT	3277429	3279145	5.681965574	-0.067344113	0.751086659	0.999958419	5.77031766	5.514290531	5.739697495	5.690073486	5.642304095	5.71488549	-0.016614782
MvSl-1064-A1-R4_A1g01468	MvSl-1064-A1-R4_A1	aMAT	3279617	3281427	5.675052594	-0.223213306	0.294341404	0.940149944	5.677286386	5.430573732	5.727315229	5.834507599	5.553930059	5.780911414	-0.052056205
MvSl-1064-A1-R4_A1g01470	MvSl-1064-A1-R4_A1	aMAT	3284420	3286879	5.675002148	0.19837748	0.444888252	0.999958419	5.427057631	6.047983121	5.789382102	5.317855534	5.737520376	5.553618818	0.042321669
MvSl-1064-A1-R4_A1g01471	MvSl-1064-A1-R4_A1	aMAT	3289330	3291290	6.693199794	0.013383442	0.941564721	0.999958419	6.666864023	6.732126788	6.704669089	6.668118565	6.699495406	6.686393827	0.00258331
MvSl-1064-A1-R4_A1g01472	MvSl-1064-A1-R4_A1	aMAT	3291750	3292872	5.803068212	0.08016036	0.710854157	0.999958419	5.680286275	5.988335139	5.843161904	5.677251	5.834310707	5.760206452	0.016649897
