gida1	dndsa1	dna1	dsa1	gida2	dndsa2	dna2	dsa2	dndiff	dsdiff	dndsdiff	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	part8	youngold	DE
MvSl-1064-A1-R4_A1g00058	0.001	0	0	MvSl-1064-A2-R4_A2g00058	0.4877	0	0	0	0	-0.4867	121712	122035	0.03842301	-0.954050108	0.062620192	0.425210499	-0.483640272	-0.395107576	0.668129848	0.123706941	bPAR	bPAR	NON
MvSl-1064-A1-R4_MC03g05135	98.9996	0.0013	0	MvSl-1064-A2-R4_MC03g05412	98.9996	0.0013	0	0	0	0	2136741	2142836	3.308421163	0.572552633	0.062990796	0.427387552	3.674363583	3.438832055	2.894474113	3.08836837	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g01822	0.9431	0.0044	0.0046	MvSl-1064-A2-R4_MC01g02103	0.9431	0.0044	0.0046	0	0	0	146560	152997	6.617423704	-0.369009688	0.0633759	0.429586406	6.332511246	6.505467524	6.927963015	6.637819193	Auto	Auto	NON
MvSl-1064-A1-R4_MC08g08513	0.001	0	0.0042	MvSl-1064-A2-R4_MC08-1g08778	0.001	0	0.0042	0	0	0	669862	671064	7.052825683	-0.356772939	0.063415375	0.429586406	6.970324321	6.74864521	7.151533882	7.28588684	Auto	Auto	NON
MvSl-1064-A1-R4_MC05-3g06684	0.0978	0.0008	0.0083	MvSl-1064-A2-R4_MC05g06947	0.0978	0.0008	0.0083	0	0	0	505421	508304	6.894509356	-0.352738872	0.06362357	0.430314793	6.630357414	6.781149031	7.157454526	6.955789136	Auto	Auto	NON
MvSl-1064-A1-R4_MC05-3g06632	0.19	0.0017	0.0088	MvSl-1064-A2-R4_MC05g06895	0.19	0.0017	0.0088	0	0	0	429112	430851	6.946953491	0.472610782	0.063828751	0.431361256	7.441601145	6.818970166	6.350191841	6.967234947	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g04383	0.1412	0.0031	0.0217	MvSl-1064-A2-R4_MC03g04661	0.1412	0.0031	0.0217	0	0	0	315017	316740	5.938353038	-0.491394283	0.063980353	0.432044261	5.475096703	5.846485595	6.50848853	5.708354414	Auto	Auto	NON
MvSl-1064-A1-R4_MC04-1g05940	0.4143	0.0037	0.009	MvSl-1064-A2-R4_MC04-1g06216	0.4143	0.0037	0.009	0	0	0	1549400	1551956	6.550963864	-0.375268828	0.064052383	0.432189285	6.265845483	6.432574622	6.891613065	6.539864874	Auto	Auto	NON
MvSl-1064-A1-R4_MC12g11008	1.6925	0.0029	0.0017	MvSl-1064-A2-R4_MC12g11271	1.6926	0.0029	0.0017	0	0	-0.0001	660192	661506	7.693504437	-0.37695825	0.064217306	0.432960369	7.507161039	7.478604998	7.87181401	7.867657545	Auto	Auto	NON
MvSl-1064-A1-R4_MC15g12067	0.2508	0.0041	0.0162	MvSl-1064-A2-R4_MC15g12316	0.2508	0.0041	0.0162	0	0	0	134046	135304	8.132439001	-0.510684981	0.064332829	0.433397441	7.596537851	8.073804496	8.658410498	7.997061714	Auto	Auto	NON
MvSl-1064-A1-R4_MC09-2g09120	0.001	0	0.0146	MvSl-1064-A2-R4_MC09g09395	0.001	0	0.0146	0	0	0	468891	470459	3.968393532	0.576652128	0.064412454	0.433465951	4.398169988	4.027679516	3.296834335	3.937051681	Auto	Auto	NON
MvSl-1064-A1-R4_MC11g10527	98.9996	0.0034	0	MvSl-1064-A2-R4_MC11g10789	98.9996	0.0034	0	0	0	0	894402	895700	4.870773504	-0.450110227	0.065048512	0.436841893	4.710929135	4.544162467	4.908107533	5.231290704	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-2g03024	0.4308	0.0032	0.0075	MvSl-1064-A2-R4_MC01g03306	0.4308	0.0032	0.0075	0	0	0	2678310	2680516	1.616456006	0.731335103	0.065265404	0.43777353	1.708122203	2.102460431	1.254770211	1.165494325	Auto	Auto	NON
MvSl-1064-A1-R4_MC02g03502	0.7294	0.0265	0.0363	MvSl-1064-A2-R4_MC02g03780	0.7294	0.0265	0.0363	0	0	0	803378	803696	0.547500204	0.938506799	0.065289654	0.43777353	1.300936698	0.354733747	-0.336915477	0.326912883	Auto	Auto	NON
MvSl-1064-A1-R4_MC07g07856	1.3906	0.0044	0.0032	MvSl-1064-A2-R4_MC07g08121	1.3906	0.0044	0.0032	0	0	0	754716	755892	3.252051061	0.620853073	0.065878994	0.441033297	3.816650343	3.155772506	2.776326571	3.031350278	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02317	0.4771	0.0035	0.0074	MvSl-1064-A2-R4_MC01g02599	0.4771	0.0035	0.0074	0	0	0	980106	981539	7.868552527	0.399587744	0.066049286	0.441827347	8.142322665	7.960746048	7.756333945	7.545885034	Auto	Auto	NON
MvSl-1064-A1-R4_MC08g08781	0.1964	0.0029	0.0147	MvSl-1064-A2-R4_MC08-2g09062	0.1964	0.0029	0.0147	0	0	0	1291838	1293022	3.660911616	0.606794227	0.066191233	0.442085039	3.816650343	4.03184148	3.666503666	2.878091043	Auto	Auto	NON
MvSl-1064-A1-R4_MC04-1g05681	0.3428	0.0031	0.009	MvSl-1064-A2-R4_MC04-1g05957	0.3428	0.0031	0.009	0	0	0	907685	908716	7.721939935	0.505657652	0.066475541	0.443291262	8.334541377	7.431339154	7.406916676	7.486139977	Auto	Auto	NON
MvSl-1064-A1-R4_MC08g08331	98.9996	0.0062	0.0001	MvSl-1064-A2-R4_MC08-1g08596	98.9996	0.0062	0.0001	0	0	0	202528	202726	1.959978296	0.682172559	0.066652804	0.444126908	2.271132637	2.223845476	1.407108642	1.740598858	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g05003	0.2204	0.0039	0.0179	MvSl-1064-A2-R4_MC03g05280	0.2204	0.0039	0.0179	0	0	0	1810181	1811171	7.258346897	-0.396434107	0.066839755	0.4447918	6.961050478	7.127817301	7.206043677	7.646612363	Auto	Auto	NON
MvSl-1064-A1-R4_MC10-1g09686	0.001	0	0.0111	MvSl-1064-A2-R4_MC10g09953	0.001	0	0.0111	0	0	0	141384	142258	7.116295009	-0.481432476	0.066856646	0.4447918	6.662348557	7.026653736	7.692894947	6.863523639	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02320	0.2719	0.0029	0.0106	MvSl-1064-A2-R4_MC01g02602	0.2719	0.0029	0.0106	0	0	0	985756	986765	3.653513951	-0.527387925	0.067042134	0.445332713	3.38560666	3.354945179	3.980079058	3.801530625	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g04488	0.001	0	0.0128	MvSl-1064-A2-R4_MC03g04766	0.001	0	0.0128	0	0	0	568466	569985	5.336972882	0.404789956	0.067262861	0.446105663	5.599844061	5.444439674	5.049113643	5.188467085	Auto	Auto	NON
MvSl-1064-A1-R4_MC06g07457	0.4213	0.0024	0.0056	MvSl-1064-A2-R4_MC06-2g07722	0.4213	0.0024	0.0056	0	0	0	1527167	1530149	4.844425309	-0.536034444	0.067256801	0.446105663	4.70832326	4.380828634	4.630129992	5.435536171	Auto	Auto	NON
MvSl-1064-A1-R4_MC02g04178	98.9996	0.0026	0	MvSl-1064-A2-R4_MC02g04456	98.9996	0.0026	0	0	0	0	2402453	2404245	4.823904338	-0.459197273	0.067351185	0.44634518	4.476830707	4.672328269	5.221379713	4.821752028	Auto	Auto	NON
MvSl-1064-A1-R4_A1g00843	0.2275	0.0041	0.0181	MvSl-1064-A2-R4_A2g00924	1.4199	0.0054	0.0038	-0.0013	0.0143	-1.1924	1539659	1541133	3.467440472	-0.541148688	0.067484603	0.446601168	3.182796519	3.170947863	3.74866531	3.676947153	Black	OldStrata	NON
MvSl-1064-A1-R4_MC08g08738	0.0754	0.0009	0.0115	MvSl-1064-A2-R4_MC08-1g09003	0.0754	0.0009	0.0115	0	0	0	1236447	1238215	6.726014821	0.344108772	0.067494293	0.446601168	6.988158069	6.779293585	6.467483022	6.616170354	Auto	Auto	NON
MvSl-1064-A1-R4_MC08g08307	0.4712	0.0095	0.0201	MvSl-1064-A2-R4_MC08-1g08572	0.4712	0.0095	0.0201	0	0	0	141745	143335	1.94237964	-0.6882122	0.067548004	0.446610895	1.769408099	1.35105268	2.319253151	2.168420084	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g04616	0.001	0	0	MvSl-1064-A2-R4_MC03g04894	0.001	0	0	0	0	0	865044	866393	7.392080337	-0.37056856	0.06770247	0.44678717	7.088261806	7.294707265	7.491162631	7.63629271	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02272	98.9996	0.0054	0.0001	MvSl-1064-A2-R4_MC01g02554	98.9996	0.0054	0.0001	0	0	0	871362	871679	6.71694585	-0.378625823	0.067906109	0.447352836	6.377491565	6.641736732	7.088136272	6.669305997	Auto	Auto	NON
MvSl-1064-A1-R4_MC09-2g09213	0.8136	0.0077	0.0094	MvSl-1064-A2-R4_MC09g09488	0.8136	0.0077	0.0094	0	0	0	723424	724920	6.295628551	-0.350334071	0.067974188	0.447352836	6.015889332	6.199007895	6.521067359	6.396714754	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g01967	0.3939	0.0009	0.0022	MvSl-1064-A2-R4_MC01g02248	0.394	0.0009	0.0022	0	0	-0.0001	333459	336044	5.239616541	-0.401116809	0.068268164	0.448596878	4.954685599	5.094587083	5.411737438	5.441019387	Auto	Auto	NON
MvSl-1064-A1-R4_MC02g03794	0.3594	0.0052	0.0144	MvSl-1064-A2-R4_MC02g04072	0.3594	0.0052	0.0144	0	0	0	1491431	1491915	6.450802042	-0.418514028	0.068236982	0.448596878	5.961122632	6.451340244	6.845682198	6.411686096	Auto	Auto	NON
MvSl-1064-A1-R4_MC08g08429	98.9996	0.0132	0.0001	MvSl-1064-A2-R4_MC08-1g08694	98.9996	0.0132	0.0001	0	0	0	468513	470055	5.121223695	-0.423576542	0.068386386	0.449028579	4.880237304	4.910200035	5.456082667	5.164360766	Auto	Auto	NON
MvSl-1064-A1-R4_MC06g07311	0.2505	0.0023	0.0091	MvSl-1064-A2-R4_MC06-2g07576	0.2505	0.0023	0.0091	0	0	0	1208812	1209795	6.833622096	-0.331198347	0.068535272	0.449660812	6.687704931	6.629430113	6.967101635	7.012131174	Auto	Auto	NON
MvSl-1064-A1-R4_MC05-3g06650	0.1045	0.001	0.0098	MvSl-1064-A2-R4_MC05g06913	0.1045	0.001	0.0098	0	0	0	441925	442550	8.296784672	-0.602001059	0.068752583	0.450740668	7.532793895	8.296840564	8.954685172	8.034116121	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02341	0.9028	0.0029	0.0032	MvSl-1064-A2-R4_MC01g02623	0.4453	0.0028	0.0062	1E-04	-0.003	0.4575	1027669	1028538	6.110040963	0.349804593	0.068966105	0.451794047	6.301725868	6.245443601	5.895415568	5.95312721	Auto	Auto	NON
MvSl-1064-A1-R4_MC02g03253	98.9996	0.0054	0.0001	MvSl-1064-A2-R4_MC02g03533	98.9996	0.0054	0.0001	0	0	0	217030	219053	6.76753564	-0.353900515	0.069072977	0.452147688	6.729428119	6.413561688	6.834975174	7.026183504	Auto	Auto	NON
MvSl-1064-A1-R4_MC12g11038	1.3092	0.0059	0.0045	MvSl-1064-A2-R4_MC12g11301	1.3092	0.0059	0.0045	0	0	0	742400	743576	5.80134406	-0.512046666	0.069135586	0.452211268	5.230078405	5.767572981	6.379960368	5.58004219	Auto	Auto	NON
MvSl-1064-A1-R4_MC07g07906	0.0656	0.0008	0.0117	MvSl-1064-A2-R4_MC07g08171	0.0656	0.0008	0.0117	0	0	0	874116	875942	10.88943578	0.634271134	0.069246274	0.452588985	11.01917562	11.31010128	10.55406223	10.52119204	Auto	Auto	NON
MvSl-1064-A1-R4_MC07g07893	0.001	0	0.0177	MvSl-1064-A2-R4_MC07g08158	0.001	0	0.0177	0	0	0	840181	841770	6.866988607	-0.532379383	0.069305504	0.452630066	6.184744771	6.884875887	7.489456761	6.590084578	Auto	Auto	NON
MvSl-1064-A1-R4_MC02g03782	0.5775	0.0051	0.0088	MvSl-1064-A2-R4_MC02g04060	0.5775	0.0051	0.0088	0	0	0	1462814	1464806	5.63204712	0.398556048	0.069404391	0.452929878	5.692414547	5.931365155	5.578276805	5.239704978	Auto	Auto	NON
MvSl-1064-A1-R4_MC07g07816	0.001	0	0	MvSl-1064-A2-R4_MC07g08081	0.001	0	0	0	0	0	645233	649481	3.182588088	0.563392396	0.069685874	0.454419935	3.379067724	3.482059644	2.994081538	2.742563392	Auto	Auto	NON
MvSl-1064-A1-R4_MC07g08199	0.1788	0.0015	0.0084	MvSl-1064-A2-R4_MC07g08464	0.1788	0.0015	0.0084	0	0	0	1592790	1593658	5.448937208	-0.514607772	0.070159463	0.456116538	4.898641275	5.398441501	6.02588744	5.233398878	Auto	Auto	NON
MvSl-1064-A1-R4_MC14g11865	0.0904	0.001	0.0105	MvSl-1064-A2-R4_MC14g12126	0.0904	0.001	0.0105	0	0	0	294736	295985	9.209247293	-0.491949761	0.070348724	0.456999422	9.070692947	8.801796809	9.412363892	9.456046588	Auto	Auto	NON
MvSl-1064-A1-R4_MC17g12234	0.0948	0.0011	0.0115	MvSl-1064-A2-R4_MC17g12486	0.0948	0.0011	0.0115	0	0	0	46159	48123	6.03250376	0.388893218	0.07047432	0.457467701	5.973112172	6.419133057	5.834905071	5.814962741	Auto	Auto	NON
MvSl-1064-A1-R4_MC05-2g06445	1.2467	0.0062	0.005	MvSl-1064-A2-R4_MC05g06719	1.2467	0.0062	0.005	0	0	0	280089	280440	5.667056998	-0.36824178	0.070616685	0.458044034	5.384961381	5.554124517	5.87726652	5.80081626	Auto	Auto	NON
MvSl-1064-A1-R4_MC17g12235	98.9996	0.0067	0.0001	MvSl-1064-A2-R4_MC17g12487	98.9996	0.0067	0.0001	0	0	0	48777	49498	2.866677248	0.616700701	0.070700974	0.458243084	3.291249234	2.960005743	2.719248522	2.302980956	Auto	Auto	NON
MvSl-1064-A1-R4_MC07g07669	0.3083	0.0023	0.0074	MvSl-1064-A2-R4_MC07g07934	0.3083	0.0023	0.0074	0	0	0	307985	308228	7.53385637	-0.431308688	0.071246086	0.461407847	7.074668624	7.499041516	7.956368095	7.469691657	Auto	Auto	NON
MvSl-1064-A1-R4_MC09-2g09425	0.5485	0.057	0.104	MvSl-1064-A2-R4_MC09g09699	0.5485	0.057	0.104	0	0	0	1260012	1265331	0.497693151	0.922953548	0.0712972	0.461407847	1.24449911	0.300568733	-0.336915477	0.262306339	Auto	Auto	NON
MvSl-1064-A1-R4_MC05-2g06466	0.4465	0.003	0.0066	MvSl-1064-A2-R4_MC05g06740	0.4465	0.003	0.0066	0	0	0	297310	298031	5.392914425	-0.403992112	0.071578603	0.462878578	5.108856861	5.24377455	5.717399611	5.430032035	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02370	1.1729	0.0053	0.0045	MvSl-1064-A2-R4_MC01g02652	1.1729	0.0053	0.0045	0	0	0	1095711	1097171	5.282175249	-0.419674651	0.071644097	0.462951917	4.967818374	5.143487511	5.634928504	5.299283596	Auto	Auto	NON
MvSl-1064-A1-R4_MC09-2g09376	0.2524	0.0021	0.0084	MvSl-1064-A2-R4_MC09g09650	0.2524	0.0021	0.0084	0	0	0	1140782	1142742	6.33849188	0.349265265	0.071794673	0.46322465	6.574933335	6.425474102	6.044595216	6.254484999	Auto	Auto	NON
MvSl-1064-A1-R4_MC10-2g09988	2.9553	0.0124	0.0042	MvSl-1064-A2-R4_MC10g10252	2.9553	0.0124	0.0042	0	0	0	507266	512789	5.171248304	0.415887702	0.071788408	0.46322465	5.423601623	5.300072493	5.087959806	4.793453784	Auto	Auto	NON
MvSl-1064-A1-R4_MC09-2g09252	98.9996	0.0074	0.0001	MvSl-1064-A2-R4_MC09g09526	98.9996	0.0074	0.0001	0	0	0	813452	816551	3.830065308	0.508128843	0.072352346	0.466470742	3.950572065	4.159055131	3.546942138	3.560867851	Auto	Auto	NON
MvSl-1064-A1-R4_MC02g03575	0.8728	0	0	MvSl-1064-A2-R4_MC02g03853	0.7912	0	0	0	0	0.0816	962237	963766	1.685420286	-0.772679794	0.072464551	0.466842082	1.060591845	1.45389196	2.394101906	1.509620584	Auto	Auto	NON
MvSl-1064-A1-R4_MC10-1g09760	1.675	0.0066	0.004	MvSl-1064-A2-R4_MC10g10027	1.675	0.0066	0.004	0	0	0	224612	227162	6.062266995	-0.356299172	0.072525447	0.466882568	5.806457674	5.938033309	6.32363078	6.128749724	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g05028	5.2941	0.0249	0.0047	MvSl-1064-A2-R4_MC03g05305	5.294	0.0249	0.0047	0	0	0.0001	1862866	1863505	2.753155711	0.586692403	0.072620164	0.467070338	3.065523465	2.951242901	2.4652582	2.396256758	Auto	Auto	NON
MvSl-1064-A1-R4_MC10-1g09774	0.545	0.0496	0.0911	MvSl-1064-A2-R4_MC10g10041	0.605	0.0062	0.0103	0.0434	0.0808	-0.06	238206	239014	6.945417524	-0.350032033	0.072663885	0.467070338	6.862535969	6.649883207	6.970162869	7.237342038	Auto	Auto	NON
MvSl-1064-A1-R4_MC12g10905	98.9996	0.001	0	MvSl-1064-A2-R4_MC12g11168	98.9996	0.001	0	0	0	0	397872	400017	7.925628169	0.444871817	0.072831464	0.467444583	8.274151896	7.971619718	7.377704817	7.940116249	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02752	98.9996	0.0022	0	MvSl-1064-A2-R4_MC01g03034	98.9996	0.0022	0	0	0	0	2014389	2015215	6.454647524	0.374776451	0.072901493	0.467543036	6.792296984	6.445892106	6.097066966	6.397655028	Auto	Auto	NON
MvSl-1064-A1-R4_MC11g10716	1.2231	0.0088	0.0072	MvSl-1064-A2-R4_MC11g10981	1.2021	0.0084	0.007	0.0004	0.0002	0.021	1365431	1367006	7.446606803	-0.367724658	0.073123389	0.468614584	7.206545006	7.294707265	7.740644166	7.485697885	Auto	Auto	NON
MvSl-1064-A1-R4_MC07g07859	0.9689	0.0032	0.0033	MvSl-1064-A2-R4_MC07g08124	0.9689	0.0032	0.0033	0	0	0	759962	761360	5.669879876	-0.419998746	0.073243403	0.4690321	5.25171567	5.616420718	6.080165415	5.611180671	Auto	Auto	NON
MvSl-1064-A1-R4_MC11g10536	0.1649	0.0042	0.0252	MvSl-1064-A2-R4_MC11g10798	0.1649	0.0042	0.0252	0	0	0	919105	919308	7.880512085	-0.421177737	0.073383021	0.469399941	7.476860211	7.813197122	8.255837936	7.87003077	Auto	Auto	NON
MvSl-1064-A1-R4_MC12g11022	0.9968	0.0024	0.0024	MvSl-1064-A2-R4_MC12g11285	0.9967	0.0024	0.0024	0	0	1E-04	694688	696720	5.668450458	0.373827218	0.073443534	0.469399941	5.723718265	5.952376105	5.555630495	5.377621408	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g04894	0.001	0	0.0133	MvSl-1064-A2-R4_MC03g05172	0.001	0	0.0132	0	1E-04	0	1585502	1587550	4.985663202	0.412724651	0.073898025	0.471106797	5.14013044	5.211114044	4.810375916	4.717170335	Auto	Auto	NON
MvSl-1064-A1-R4_MC12g10791	0.3494	0.0025	0.0071	MvSl-1064-A2-R4_MC12g11054	0.3494	0.0025	0.0071	0	0	0	114219	122389	5.972741942	0.370009988	0.073881358	0.471106797	6.012724675	6.266789076	5.881174868	5.662151415	Auto	Auto	NON
MvSl-1064-A1-R4_MC15g12059	98.9996	0.0063	0.0001	MvSl-1064-A2-R4_MC15g12308	98.9996	0.0063	0.0001	0	0	0	119084	120409	4.888506205	0.412708915	0.074340708	0.47357579	5.120664039	5.035704859	4.669834465	4.66501915	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g04828	0.3657	0.0064	0.0175	MvSl-1064-A2-R4_MC03g05106	0.3657	0.0064	0.0175	0	0	0	1393246	1395668	2.213217683	0.635238367	0.074536036	0.474113523	2.609544687	2.349208619	1.89339741	1.832471267	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g05076	4.1401	0.0084	0.002	MvSl-1064-A2-R4_MC03g05353	4.1401	0.0084	0.002	0	0	0	1991551	1991891	3.307509665	0.590262826	0.074700027	0.474511421	3.854852985	3.208202247	3.003674239	2.961849654	Auto	Auto	NON
MvSl-1064-A1-R4_A1g00185	0.453	0.0048	0.0106	MvSl-1064-A2-R4_A2g00443	0.7497	0.0053	0.0071	-0.0005	0.0035	-0.2967	908654	911656	8.465648249	0.416321973	0.074832796	0.474941031	8.69884097	8.617465119	8.268078219	8.216489368	Purple	OldStrata	NON
MvSl-1064-A1-R4_MC04-1g05812	0.9791	0.0052	0.0053	MvSl-1064-A2-R4_MC04-1g06088	0.9792	0.0052	0.0053	0	0	-1E-04	1260533	1261498	3.935752905	0.537396658	0.074981027	0.475176277	4.144246626	4.207693483	3.925611768	3.288176988	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02609	0.1207	0.0014	0.0112	MvSl-1064-A2-R4_MC01g02891	0.1207	0.0014	0.0112	0	0	0	1680403	1682569	5.654488536	-0.42095994	0.075064362	0.47535202	5.623549467	5.205598012	5.610024196	6.055573543	Auto	Auto	NON
MvSl-1064-A1-R4_MC02g03864	0.0932	0.0013	0.0141	MvSl-1064-A2-R4_MC02g04142	0.0932	0.0013	0.0141	0	0	0	1644907	1645117	7.12579059	-0.357522379	0.075242789	0.475778976	6.751745198	7.099842365	7.341284108	7.244153805	Auto	Auto	NON
MvSl-1064-A1-R4_MC11g10360	3.2653	0.0056	0.0017	MvSl-1064-A2-R4_MC11g10622	3.2653	0.0056	0.0017	0	0	0	464760	467355	5.515919501	-0.372661081	0.07524309	0.475778976	5.281823388	5.354255795	5.74482822	5.63370227	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g04817	0.4685	0.0059	0.0125	MvSl-1064-A2-R4_MC03g05095	0.4685	0.0059	0.0125	0	0	0	1362864	1363882	5.51946376	0.374020501	0.075768918	0.477690618	5.723718265	5.662781247	5.231620414	5.404064707	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g05145	0.2329	0.0033	0.014	MvSl-1064-A2-R4_MC03g05422	0.2329	0.0033	0.014	0	0	0	2163583	2163867	3.654156659	-0.613830645	0.076414533	0.480417171	3.557609303	3.036564524	3.479795336	4.272539874	Auto	Auto	NON
MvSl-1064-A1-R4_MC13g11520	0.2621	0.0039	0.0147	MvSl-1064-A2-R4_MC13g11781	0.2621	0.0039	0.0147	0	0	0	552590	554911	3.101249168	-0.586103929	0.076750644	0.481748353	2.955555039	2.594032769	3.140399094	3.560867851	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g04994	0.1929	0.0028	0.0144	MvSl-1064-A2-R4_MC03g05271	0.1929	0.0028	0.0144	0	0	0	1797415	1797651	7.36093718	-0.439827602	0.076988518	0.482790532	6.939547205	7.288633004	7.857667878	7.195241216	Auto	Auto	NON
MvSl-1064-A1-R4_A1g00013	0.001	0	0.002	MvSl-1064-A2-R4_A2g00013	0.001	0	0.002	0	0	0	23065	24689	6.363584088	0.331950936	0.077271815	0.48289236	6.554766855	6.483603958	6.143364311	6.231465578	bPAR	bPAR	NON
MvSl-1064-A1-R4_MC01-2g03082	0.4316	0.001	0.0022	MvSl-1064-A2-R4_MC01g03364	0.4315	0.001	0.0022	0	0	1E-04	2846622	2847783	8.726438267	-0.47372716	0.07712964	0.48289236	8.341284795	8.588796052	9.160313707	8.689313478	Auto	Auto	NON
MvSl-1064-A1-R4_MC03g04784	1.8889	0.0042	0.0022	MvSl-1064-A2-R4_MC03g05062	1.8889	0.0042	0.0022	0	0	0	1286552	1288074	3.360905343	0.547074621	0.077249549	0.48289236	3.647409821	3.559056924	3.24115428	2.856368893	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02490	0.2723	0.0019	0.0071	MvSl-1064-A2-R4_MC01g02772	0.2723	0.0019	0.0071	0	0	0	1384288	1386593	6.988341435	-0.324571471	0.077383217	0.483060617	6.817906201	6.816559787	7.156379851	7.12657685	Auto	Auto	NON
MvSl-1064-A1-R4_MC09-2g09463	1.842	0.0054	0.0029	MvSl-1064-A2-R4_MC09g09737	1.842	0.0054	0.0029	0	0	0	1368003	1372006	5.826684479	-0.376823571	0.077411749	0.483060617	5.529253095	5.718066795	6.139018499	5.852479526	Auto	Auto	NON
MvSl-1064-A1-R4_MC11g10438	0.6162	0.0193	0.0314	MvSl-1064-A2-R4_MC11g10700	0.892	0.0172	0.0193	0.0021	0.0121	-0.2758	676728	677200	6.307099463	-0.381279015	0.077658769	0.484248591	6.022197898	6.182255324	6.716746806	6.209144473	Auto	Auto	NON
MvSl-1064-A1-R4_MC04-1g05791	0.7351	0.0041	0.0056	MvSl-1064-A2-R4_MC04-1g06067	0.7351	0.0041	0.0056	0	0	0	1211496	1214422	7.788394452	0.491321293	0.077846852	0.48485433	7.67936925	8.283812194	7.826589923	7.135058878	Auto	Auto	NON
MvSl-1064-A1-R4_MC05-3g06549	0.6756	0.0035	0.0052	MvSl-1064-A2-R4_MC05g06812	0.6756	0.0035	0.0052	0	0	0	362772	365087	4.286992354	-0.508555933	0.077869341	0.48485433	4.200958907	3.797722091	4.249662125	4.746989359	Auto	Auto	NON
MvSl-1064-A1-R4_MC08g08632	0.5997	0.0031	0.0052	MvSl-1064-A2-R4_MC08-1g08897	0.5996	0.0031	0.0052	0	0	1E-04	963425	963661	8.976467198	-0.483722359	0.07795953	0.485062607	8.500185499	8.901117807	9.320723422	9.064209842	Auto	Auto	NON
MvSl-1064-A1-R4_MC05-3g06709	0.8269	0.0029	0.0035	MvSl-1064-A2-R4_MC05g06973	0.8269	0.0029	0.0035	0	0	0	573354	575780	7.699233805	0.359177189	0.07819248	0.485452079	7.886036023	7.848724172	7.523613512	7.493195092	Auto	Auto	NON
MvSl-1064-A1-R4_MC09-2g09523	0.3502	0.0047	0.0135	MvSl-1064-A2-R4_MC09g09797	0.3502	0.0047	0.0135	0	0	0	1500331	1502617	1.667535166	0.712039389	0.078102574	0.485452079	1.939040069	1.987165654	1.570930663	0.894198711	Auto	Auto	NON
MvSl-1064-A1-R4_MC08g08511	2.3137	0.0049	0.0021	MvSl-1064-A2-R4_MC08-1g08776	2.3138	0.0049	0.0021	0	0	-0.0001	662436	663792	5.233743989	-0.43364413	0.078340666	0.486019124	4.818749366	5.164489524	5.63801153	5.197134104	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02384	0.0771	0.0013	0.0172	MvSl-1064-A2-R4_MC01g02666	0.0771	0.0013	0.0172	0	0	0	1126515	1128576	5.354517746	0.403659547	0.078466647	0.486095191	5.721135408	5.335858907	5.116975577	5.159934192	Auto	Auto	NON
MvSl-1064-A1-R4_MC01-1g02476	0.6862	0.0013	0.0019	MvSl-1064-A2-R4_MC01g02758	0.6862	0.0013	0.0019	0	0	0	1350873	1354275	3.609347477	-0.667934343	0.07843241	0.486095191	2.937867345	3.494176162	4.343301608	3.271859892	Auto	Auto	NON
MvSl-1064-A1-R4_A1g01487	0.4741	0.0051	0.0108	MvSl-1064-A2-R4_A2g01800	0.4741	0.0051	0.0108	0	0	0	3323907	3326513	9.42650329	-0.543761745	0.07855536	0.48629238	8.929598003	9.304586615	9.938061125	9.347827409	bPAR	bPAR	NON
MvSl-1064-A1-R4_MC08g08860	0.2516	0.0022	0.0088	MvSl-1064-A2-R4_MC08-2g09141	0.2516	0.0022	0.0088	0	0	0	1516203	1518284	4.775691867	-0.478158431	0.078875354	0.487919972	4.809052688	4.155244909	4.91320634	5.073140941	Auto	Auto	NON
