gida1	dnds	dn	ds	gida2	dnds	dn	ds
MvSl-1064-A1-R4_MC01-1g02160	98.9996	0.0195	0.0002	MvSl-1064-A2-R4_MC01g02441	98.9996	0.0195	0.0002
MvSl-1064-A1-R4_MC01-1g02161	0.5595	0.003	0.0054	MvSl-1064-A2-R4_MC01g02442	0.5595	0.003	0.0054
MvSl-1064-A1-R4_MC01-1g02162	1.1381	0.0076	0.0067	MvSl-1064-A2-R4_MC01g02443	1.1381	0.0076	0.0067
MvSl-1064-A1-R4_MC01-1g02163	0.0885	0.0018	0.0208	MvSl-1064-A2-R4_MC01g02444	0.0885	0.0018	0.0208
MvSl-1064-A1-R4_MC01-1g02164	1.0662	0.0054	0.0051	MvSl-1064-A2-R4_MC01g02445	1.0662	0.0054	0.0051
MvSl-1064-A1-R4_MC01-1g02165	0.5272	0.0052	0.0098	MvSl-1064-A2-R4_MC01g02446	0.5279	0.0054	0.0102
MvSl-1064-A1-R4_MC01-1g02166	0.3098	0.0048	0.0153	MvSl-1064-A2-R4_MC01g02447	0.3098	0.0048	0.0153
MvSl-1064-A1-R4_MC01-1g02167	0.3156	0.0048	0.0153	MvSl-1064-A2-R4_MC01g02448	0.3156	0.0048	0.0153
MvSl-1064-A1-R4_MC01-1g02168	0.001	0	0.0117	MvSl-1064-A2-R4_MC01g02449	0.001	0	0.0117
MvSl-1064-A1-R4_MC01-1g02169	0.4682	0.0042	0.009	MvSl-1064-A2-R4_MC01g02450	0.4682	0.0042	0.009
MvSl-1064-A1-R4_MC01-1g02170	2.2424	0.0099	0.0044	MvSl-1064-A2-R4_MC01g02451	2.2424	0.0099	0.0044
MvSl-1064-A1-R4_MC01-1g02171	0.9402	0.0065	0.0069	MvSl-1064-A2-R4_MC01g02453	0.6755	0.0068	0.01
MvSl-1064-A1-R4_MC01-1g02181	0.001	0	0.0111	MvSl-1064-A2-R4_MC01g02463	0.001	0	0.0111
MvSl-1064-A1-R4_MC01-1g02182	0.2256	0.0019	0.0083	MvSl-1064-A2-R4_MC01g02464	0.2256	0.0019	0.0083
MvSl-1064-A1-R4_MC01-1g02183	0.5538	0.0041	0.0073	MvSl-1064-A2-R4_MC01g02465	0.5538	0.0041	0.0073
MvSl-1064-A1-R4_MC01-1g02184	0.5128	0.006	0.0118	MvSl-1064-A2-R4_MC01g02466	0.5128	0.006	0.0118
MvSl-1064-A1-R4_MC01-1g02185	0.7418	0.0075	0.01	MvSl-1064-A2-R4_MC01g02467	0.7418	0.0075	0.01
MvSl-1064-A1-R4_MC01-1g02188	0.3684	0.0034	0.0092	MvSl-1064-A2-R4_MC01g02470	0.3684	0.0034	0.0092
MvSl-1064-A1-R4_MC01-1g02189	0.0845	0.0021	0.0253	MvSl-1064-A2-R4_MC01g02471	0.0845	0.0021	0.0253
MvSl-1064-A1-R4_MC01-1g02190	0.0577	0.0011	0.0188	MvSl-1064-A2-R4_MC01g02472	0.0577	0.0011	0.0188
MvSl-1064-A1-R4_MC01-1g02191	0.7394	0.0048	0.0065	MvSl-1064-A2-R4_MC01g02473	0.7394	0.0048	0.0065
MvSl-1064-A1-R4_MC01-1g02192	0.001	0	0.0071	MvSl-1064-A2-R4_MC01g02474	0.001	0	0.0071
MvSl-1064-A1-R4_MC01-1g02193	0.0681	0.0011	0.0166	MvSl-1064-A2-R4_MC01g02475	0.0681	0.0011	0.0166
MvSl-1064-A1-R4_MC01-1g02194	0.483	0	0	MvSl-1064-A2-R4_MC01g02476	0.3986	0	0
MvSl-1064-A1-R4_MC01-1g02195	0.7988	0.0068	0.0085	MvSl-1064-A2-R4_MC01g02477	0.7988	0.0068	0.0085
MvSl-1064-A1-R4_MC01-1g02196	0.515	0.0034	0.0066	MvSl-1064-A2-R4_MC01g02478	0.515	0.0034	0.0066
MvSl-1064-A1-R4_MC01-1g02197	0.9267	0.003	0.0033	MvSl-1064-A2-R4_MC01g02479	0.9267	0.003	0.0033
MvSl-1064-A1-R4_MC01-1g02198	0.3055	0.0036	0.0118	MvSl-1064-A2-R4_MC01g02480	0.3055	0.0036	0.0118
MvSl-1064-A1-R4_MC01-1g02199	1.6493	0.0113	0.0068	MvSl-1064-A2-R4_MC01g02481	1.6493	0.0113	0.0068
MvSl-1064-A1-R4_MC01-1g02200	0.8001	0.0026	0.0032	MvSl-1064-A2-R4_MC01g02482	0.8001	0.0026	0.0032
MvSl-1064-A1-R4_MC01-1g02201	0.2138	0.002	0.0094	MvSl-1064-A2-R4_MC01g02483	0.2138	0.002	0.0094
MvSl-1064-A1-R4_MC01-1g02202	1.8661	0.0055	0.003	MvSl-1064-A2-R4_MC01g02484	1.8661	0.0055	0.003
MvSl-1064-A1-R4_MC01-1g02203	0.3057	0.0023	0.0074	MvSl-1064-A2-R4_MC01g02485	0.3057	0.0023	0.0074
MvSl-1064-A1-R4_MC01-1g02204	0.9047	0.0037	0.0041	MvSl-1064-A2-R4_MC01g02486	0.9047	0.0037	0.0041
MvSl-1064-A1-R4_MC01-1g02205	0.2615	0.0036	0.0138	MvSl-1064-A2-R4_MC01g02487	0.2615	0.0036	0.0138
MvSl-1064-A1-R4_MC01-1g02207	0.3714	0	0	MvSl-1064-A2-R4_MC01g02489	0.001	0	0
MvSl-1064-A1-R4_MC01-1g02209	0.5136	0.0042	0.0082	MvSl-1064-A2-R4_MC01g02491	0.5136	0.0042	0.0082
MvSl-1064-A1-R4_MC01-1g02210	0.1765	0.0009	0.0052	MvSl-1064-A2-R4_MC01g02492	0.1765	0.0009	0.0052
MvSl-1064-A1-R4_MC01-1g02211	0.3716	0.0039	0.0104	MvSl-1064-A2-R4_MC01g02493	0.3716	0.0039	0.0104
MvSl-1064-A1-R4_MC01-1g02212	0.5212	0.0054	0.0104	MvSl-1064-A2-R4_MC01g02494	0.5212	0.0054	0.0104
MvSl-1064-A1-R4_MC01-1g02216	0.3647	0.002	0.0055	MvSl-1064-A2-R4_MC01g02498	0.3647	0.002	0.0055
MvSl-1064-A1-R4_MC01-1g02217	98.9996	0.0079	0.0001	MvSl-1064-A2-R4_MC01g02499	98.9996	0.0079	0.0001
MvSl-1064-A1-R4_MC01-1g02218	0.3005	0.002	0.0066	MvSl-1064-A2-R4_MC01g02500	0.3005	0.002	0.0066
MvSl-1064-A1-R4_MC01-1g02219	0.2074	0.0017	0.0082	MvSl-1064-A2-R4_MC01g02501	0.2074	0.0017	0.0082
MvSl-1064-A1-R4_MC01-1g02220	0.4328	0.0038	0.0089	MvSl-1064-A2-R4_MC01g02502	0.4328	0.0038	0.0089
MvSl-1064-A1-R4_MC01-1g02223	0.2795	0.0065	0.0232	MvSl-1064-A2-R4_MC01g02505	0.2795	0.0065	0.0232
MvSl-1064-A1-R4_MC01-1g02224	0.7381	0.0071	0.0097	MvSl-1064-A2-R4_MC01g02506	0.7381	0.0071	0.0097
MvSl-1064-A1-R4_MC01-1g02225	0.001	0	0.0048	MvSl-1064-A2-R4_MC01g02507	0.001	0	0.0048
MvSl-1064-A1-R4_MC01-1g02226	0.8185	0.0179	0.0219	MvSl-1064-A2-R4_MC01g02508	0.8185	0.0179	0.0219
MvSl-1064-A1-R4_MC01-1g02227	0.1792	0.0011	0.0061	MvSl-1064-A2-R4_MC01g02509	0.1792	0.0011	0.0061
MvSl-1064-A1-R4_MC01-1g02228	0.3338	0.0063	0.0188	MvSl-1064-A2-R4_MC01g02510	0.3338	0.0063	0.0188
MvSl-1064-A1-R4_MC01-1g02230	0.5012	0	0	MvSl-1064-A2-R4_MC01g02512	0.001	0	0
MvSl-1064-A1-R4_MC01-1g02231	98.9996	0.0054	0.0001	MvSl-1064-A2-R4_MC01g02513	98.9996	0.0054	0.0001
MvSl-1064-A1-R4_MC01-1g02232	0.2241	0.0093	0.0414	MvSl-1064-A2-R4_MC01g02514	0.2241	0.0093	0.0414
MvSl-1064-A1-R4_MC01-1g02233	0.2257	0.0025	0.011	MvSl-1064-A2-R4_MC01g02515	0.2257	0.0025	0.011
MvSl-1064-A1-R4_MC01-1g02234	0.3466	0.0036	0.0104	MvSl-1064-A2-R4_MC01g02516	0.3466	0.0036	0.0104
MvSl-1064-A1-R4_MC01-1g02235	98.9996	0.011	0.0001	MvSl-1064-A2-R4_MC01g02517	98.9996	0.011	0.0001
MvSl-1064-A1-R4_MC01-1g02236	3.4655	0.007	0.002	MvSl-1064-A2-R4_MC01g02518	3.4655	0.007	0.002
MvSl-1064-A1-R4_MC01-1g02237	0.4508	0.0067	0.0149	MvSl-1064-A2-R4_MC01g02519	0.4474	0.0068	0.0151
MvSl-1064-A1-R4_MC01-1g02238	0.3199	0.0048	0.015	MvSl-1064-A2-R4_MC01g02520	0.3199	0.0048	0.015
MvSl-1064-A1-R4_MC01-1g02239	98.9996	0.0043	0	MvSl-1064-A2-R4_MC01g02521	98.9996	0.0043	0
MvSl-1064-A1-R4_MC01-1g02240	0.5282	0.0024	0.0046	MvSl-1064-A2-R4_MC01g02522	0.5282	0.0024	0.0046
MvSl-1064-A1-R4_MC01-1g02241	0.4383	0.003	0.0069	MvSl-1064-A2-R4_MC01g02523	0.4383	0.003	0.0069
MvSl-1064-A1-R4_MC01-1g02244	0.001	0	0.0129	MvSl-1064-A2-R4_MC01g02526	0.001	0	0.0129
MvSl-1064-A1-R4_MC01-1g02245	0.001	0	0.0052	MvSl-1064-A2-R4_MC01g02527	0.001	0	0.0052
MvSl-1064-A1-R4_MC01-1g02246	0.6614	0.0076	0.0115	MvSl-1064-A2-R4_MC01g02528	0.5629	0.0074	0.0131
MvSl-1064-A1-R4_MC01-1g02247	0.6956	0.0076	0.0109	MvSl-1064-A2-R4_MC01g02529	0.6956	0.0076	0.0109
MvSl-1064-A1-R4_MC01-1g02248	0.0988	0.0017	0.0175	MvSl-1064-A2-R4_MC01g02530	0.0988	0.0017	0.0175
MvSl-1064-A1-R4_MC01-1g02249	98.9996	0.0058	0.0001	MvSl-1064-A2-R4_MC01g02531	98.9996	0.0058	0.0001
MvSl-1064-A1-R4_MC01-1g02250	0.4166	0.0031	0.0075	MvSl-1064-A2-R4_MC01g02532	0.4166	0.0031	0.0075
MvSl-1064-A1-R4_MC01-1g02251	0.5357	0.0034	0.0064	MvSl-1064-A2-R4_MC01g02533	0.5357	0.0034	0.0064
MvSl-1064-A1-R4_MC01-1g02252	0.0987	0.0022	0.0218	MvSl-1064-A2-R4_MC01g02534	0.0987	0.0022	0.0218
MvSl-1064-A1-R4_MC01-1g02253	0.001	0	0	MvSl-1064-A2-R4_MC01g02535	0.0723	0	0
MvSl-1064-A1-R4_MC01-1g02254	0.4307	0.0109	0.0254	MvSl-1064-A2-R4_MC01g02536	0.4307	0.0109	0.0254
MvSl-1064-A1-R4_MC01-1g02255	98.9996	0.0034	0	MvSl-1064-A2-R4_MC01g02537	98.9996	0.0034	0
MvSl-1064-A1-R4_MC01-1g02256	1.1315	0.01	0.0089	MvSl-1064-A2-R4_MC01g02538	1.1315	0.01	0.0089
MvSl-1064-A1-R4_MC01-1g02257	0.2713	0.0027	0.01	MvSl-1064-A2-R4_MC01g02539	0.2713	0.0027	0.01
MvSl-1064-A1-R4_MC01-1g02261	0.3195	0.0037	0.0117	MvSl-1064-A2-R4_MC01g02543	0.3195	0.0037	0.0117
MvSl-1064-A1-R4_MC01-1g02262	0.3399	0.0121	0.0356	MvSl-1064-A2-R4_MC01g02544	0.3399	0.0121	0.0356
MvSl-1064-A1-R4_MC01-1g02263	0.001	0	0.0058	MvSl-1064-A2-R4_MC01g02545	0.001	0	0.0058
MvSl-1064-A1-R4_MC01-1g02264	0.502	0.0022	0.0044	MvSl-1064-A2-R4_MC01g02546	0.502	0.0022	0.0044
MvSl-1064-A1-R4_MC01-1g02265	0.5746	0.0027	0.0047	MvSl-1064-A2-R4_MC01g02547	0.5746	0.0027	0.0047
MvSl-1064-A1-R4_MC01-1g02266	0.4899	0.0037	0.0075	MvSl-1064-A2-R4_MC01g02548	0.4899	0.0037	0.0075
MvSl-1064-A1-R4_MC01-1g02267	0.1384	0.0013	0.0093	MvSl-1064-A2-R4_MC01g02549	0.1384	0.0013	0.0093
MvSl-1064-A1-R4_MC01-1g02268	0.1545	0.0025	0.0163	MvSl-1064-A2-R4_MC01g02550	0.1545	0.0025	0.0163
MvSl-1064-A1-R4_MC01-1g02269	98.9996	0.0026	0	MvSl-1064-A2-R4_MC01g02551	98.9996	0.0026	0
MvSl-1064-A1-R4_MC01-1g02270	0.262	0.0038	0.0145	MvSl-1064-A2-R4_MC01g02552	0.262	0.0038	0.0145
MvSl-1064-A1-R4_MC01-1g02271	0.8748	0.0054	0.0062	MvSl-1064-A2-R4_MC01g02553	0.8748	0.0054	0.0062
MvSl-1064-A1-R4_MC01-1g02272	98.9996	0.0054	0.0001	MvSl-1064-A2-R4_MC01g02554	98.9996	0.0054	0.0001
MvSl-1064-A1-R4_MC01-1g02273	1.6834	0.0049	0.0029	MvSl-1064-A2-R4_MC01g02555	1.6834	0.0049	0.0029
MvSl-1064-A1-R4_MC01-1g02274	0.7746	0.0038	0.0049	MvSl-1064-A2-R4_MC01g02556	0.7746	0.0038	0.0049
MvSl-1064-A1-R4_MC01-1g02275	0.001	0	0.0087	MvSl-1064-A2-R4_MC01g02557	0.001	0	0.0085
MvSl-1064-A1-R4_MC01-1g02276	98.9996	0.0151	0.0002	MvSl-1064-A2-R4_MC01g02558	98.9996	0.0151	0.0002
MvSl-1064-A1-R4_MC01-1g02277	0.2308	0.0021	0.0091	MvSl-1064-A2-R4_MC01g02559	0.2308	0.0021	0.0091
MvSl-1064-A1-R4_MC01-1g02278	0.001	0	0.0112	MvSl-1064-A2-R4_MC01g02560	0.001	0	0.0112
MvSl-1064-A1-R4_MC01-1g02279	0.5596	0.01	0.0179	MvSl-1064-A2-R4_MC01g02561	0.5596	0.01	0.0179
MvSl-1064-A1-R4_MC01-1g02280	0.6327	0.0052	0.0083	MvSl-1064-A2-R4_MC01g02562	0.6327	0.0052	0.0083
MvSl-1064-A1-R4_MC01-1g02281	0.2291	0.0014	0.0061	MvSl-1064-A2-R4_MC01g02563	0.2291	0.0014	0.0061
MvSl-1064-A1-R4_MC01-1g02282	0.4471	0.0078	0.0174	MvSl-1064-A2-R4_MC01g02564	0.4471	0.0078	0.0174
MvSl-1064-A1-R4_MC01-1g02283	0.9371	0.0129	0.0137	MvSl-1064-A2-R4_MC01g02565	0.9371	0.0129	0.0137
MvSl-1064-A1-R4_MC01-1g02285	5.0229	0.0094	0.0019	MvSl-1064-A2-R4_MC01g02567	5.023	0.0094	0.0019
MvSl-1064-A1-R4_MC01-1g02286	98.9996	0.0019	0	MvSl-1064-A2-R4_MC01g02568	98.9996	0.0019	0
MvSl-1064-A1-R4_MC01-1g02287	3.5786	0.0463	0.0129	MvSl-1064-A2-R4_MC01g02569	3.5786	0.0463	0.0129
MvSl-1064-A1-R4_MC01-1g02289	1.3816	0.0153	0.0111	MvSl-1064-A2-R4_MC01g02571	1.3816	0.0153	0.0111
MvSl-1064-A1-R4_MC01-1g02290	0.001	0	0.0087	MvSl-1064-A2-R4_MC01g02572	0.001	0	0.0087
MvSl-1064-A1-R4_MC01-1g02291	1.1789	0.0055	0.0047	MvSl-1064-A2-R4_MC01g02573	1.1789	0.0055	0.0047
MvSl-1064-A1-R4_MC01-1g02292	1.1376	0.0057	0.0051	MvSl-1064-A2-R4_MC01g02574	1.1376	0.0057	0.0051
MvSl-1064-A1-R4_MC01-1g02293	0.001	0	0	MvSl-1064-A2-R4_MC01g02575	0.3559	0	0
MvSl-1064-A1-R4_MC01-1g02294	0.479	0.0045	0.0093	MvSl-1064-A2-R4_MC01g02576	0.479	0.0045	0.0093
MvSl-1064-A1-R4_MC01-1g02295	0.001	0	0.012	MvSl-1064-A2-R4_MC01g02577	0.001	0	0.012
MvSl-1064-A1-R4_MC01-1g02296	0.653	0.0044	0.0067	MvSl-1064-A2-R4_MC01g02578	0.653	0.0044	0.0067
MvSl-1064-A1-R4_MC01-1g02297	0.5318	0.0054	0.0102	MvSl-1064-A2-R4_MC01g02579	0.5318	0.0054	0.0102
MvSl-1064-A1-R4_MC01-1g02298	0.0641	0.0012	0.0192	MvSl-1064-A2-R4_MC01g02580	0.0641	0.0012	0.0192
MvSl-1064-A1-R4_MC01-1g02299	0.2701	0.005	0.0186	MvSl-1064-A2-R4_MC01g02581	0.2701	0.005	0.0186
MvSl-1064-A1-R4_MC01-1g02300	0.8747	0.0053	0.006	MvSl-1064-A2-R4_MC01g02582	0.8747	0.0053	0.006
MvSl-1064-A1-R4_MC01-1g02301	0.3898	0	0	MvSl-1064-A2-R4_MC01g02583	0.3072	0	0
MvSl-1064-A1-R4_MC01-1g02302	0.1458	0.0036	0.0246	MvSl-1064-A2-R4_MC01g02584	0.1458	0.0036	0.0246
MvSl-1064-A1-R4_MC01-1g02303	98.9996	0.0094	0.0001	MvSl-1064-A2-R4_MC01g02585	98.9996	0.0094	0.0001
MvSl-1064-A1-R4_MC01-1g02304	0.6758	0.0075	0.011	MvSl-1064-A2-R4_MC01g02586	0.6758	0.0075	0.011
MvSl-1064-A1-R4_MC01-1g02305	0.2607	0.0022	0.0085	MvSl-1064-A2-R4_MC01g02587	0.2607	0.0022	0.0085
MvSl-1064-A1-R4_MC01-1g02306	0.9725	0.0048	0.005	MvSl-1064-A2-R4_MC01g02588	0.9725	0.0048	0.005
MvSl-1064-A1-R4_MC01-1g02307	0.1792	0.003	0.017	MvSl-1064-A2-R4_MC01g02589	0.1792	0.003	0.017
MvSl-1064-A1-R4_MC01-1g02308	0.1055	0.0008	0.008	MvSl-1064-A2-R4_MC01g02590	0.1055	0.0008	0.008
MvSl-1064-A1-R4_MC01-1g02309	98.9996	0.0046	0	MvSl-1064-A2-R4_MC01g02591	98.9996	0.0046	0
MvSl-1064-A1-R4_MC01-1g02310	0.6317	0.0027	0.0043	MvSl-1064-A2-R4_MC01g02592	0.6317	0.0027	0.0043
MvSl-1064-A1-R4_MC01-1g02311	0.001	0	0.003	MvSl-1064-A2-R4_MC01g02593	0.001	0	0.003
MvSl-1064-A1-R4_MC01-1g02312	0.1361	0.0025	0.0183	MvSl-1064-A2-R4_MC01g02594	0.1361	0.0025	0.0183
MvSl-1064-A1-R4_MC01-1g02313	0.214	0.0023	0.0108	MvSl-1064-A2-R4_MC01g02595	0.214	0.0023	0.0108
MvSl-1064-A1-R4_MC01-1g02314	98.9996	0.0093	0.0001	MvSl-1064-A2-R4_MC01g02596	98.9996	0.0093	0.0001
MvSl-1064-A1-R4_MC01-1g02315	0.8377	0.0031	0.0036	MvSl-1064-A2-R4_MC01g02597	0.8377	0.0031	0.0036
MvSl-1064-A1-R4_MC01-1g02316	0.1635	0.0024	0.0148	MvSl-1064-A2-R4_MC01g02598	0.1635	0.0024	0.0148
MvSl-1064-A1-R4_MC01-1g02317	0.4771	0.0035	0.0074	MvSl-1064-A2-R4_MC01g02599	0.4771	0.0035	0.0074
MvSl-1064-A1-R4_MC01-1g02318	0.001	0	0	MvSl-1064-A2-R4_MC01g02600	0.4841	0	0
MvSl-1064-A1-R4_MC01-1g02319	0.1971	0.0042	0.0213	MvSl-1064-A2-R4_MC01g02601	0.1971	0.0042	0.0213
MvSl-1064-A1-R4_MC01-1g02320	0.2719	0.0029	0.0106	MvSl-1064-A2-R4_MC01g02602	0.2719	0.0029	0.0106
MvSl-1064-A1-R4_MC01-1g02321	0.001	0	0.0161	MvSl-1064-A2-R4_MC01g02603	0.001	0	0.0161
MvSl-1064-A1-R4_MC01-1g02322	0.1105	0.0032	0.0288	MvSl-1064-A2-R4_MC01g02604	0.1097	0.0032	0.0288
MvSl-1064-A1-R4_MC01-1g02323	0.001	0	0.0083	MvSl-1064-A2-R4_MC01g02605	0.001	0	0.0081
MvSl-1064-A1-R4_MC01-1g02324	0.4921	0.0089	0.0182	MvSl-1064-A2-R4_MC01g02606	0.4921	0.0089	0.0182
MvSl-1064-A1-R4_MC01-1g02325	1.0856	0.0051	0.0047	MvSl-1064-A2-R4_MC01g02607	1.0856	0.0051	0.0047
MvSl-1064-A1-R4_MC01-1g02326	0.7957	0.0052	0.0065	MvSl-1064-A2-R4_MC01g02608	0.7957	0.0052	0.0065
MvSl-1064-A1-R4_MC01-1g02327	98.9996	0.0377	0.0004	MvSl-1064-A2-R4_MC01g02609	98.9996	0.0377	0.0004
MvSl-1064-A1-R4_MC01-1g02330	0.001	0	0.0065	MvSl-1064-A2-R4_MC01g02612	0.001	0	0.0065
MvSl-1064-A1-R4_MC01-1g02331	0.9599	0.0064	0.0067	MvSl-1064-A2-R4_MC01g02613	0.9599	0.0064	0.0067
MvSl-1064-A1-R4_MC01-1g02332	0.3383	0.0032	0.0094	MvSl-1064-A2-R4_MC01g02614	0.3383	0.0032	0.0094
MvSl-1064-A1-R4_MC01-1g02333	1.0009	0.0035	0.0035	MvSl-1064-A2-R4_MC01g02615	1.0009	0.0035	0.0035
MvSl-1064-A1-R4_MC01-1g02334	0.7579	0.0061	0.008	MvSl-1064-A2-R4_MC01g02616	0.7579	0.0061	0.008
MvSl-1064-A1-R4_MC01-1g02335	98.9996	0.0019	0	MvSl-1064-A2-R4_MC01g02617	98.9996	0.0019	0
MvSl-1064-A1-R4_MC01-1g02336	0.352	0.0056	0.016	MvSl-1064-A2-R4_MC01g02618	0.352	0.0056	0.016
MvSl-1064-A1-R4_MC01-1g02337	3.3231	0	0	MvSl-1064-A2-R4_MC01g02619	30.8594	0	0
MvSl-1064-A1-R4_MC01-1g02338	0.7626	0.006	0.0079	MvSl-1064-A2-R4_MC01g02620	0.7627	0.006	0.0079
MvSl-1064-A1-R4_MC01-1g02341	0.9028	0.0029	0.0032	MvSl-1064-A2-R4_MC01g02623	0.4453	0.0028	0.0062
MvSl-1064-A1-R4_MC01-1g02342	0.2558	0.0019	0.0075	MvSl-1064-A2-R4_MC01g02624	0.2558	0.0019	0.0075
MvSl-1064-A1-R4_MC01-1g02343	0.546	0.0058	0.0106	MvSl-1064-A2-R4_MC01g02625	0.546	0.0058	0.0106
MvSl-1064-A1-R4_MC01-1g02344	0.4598	0.0041	0.009	MvSl-1064-A2-R4_MC01g02626	0.4598	0.0041	0.009
MvSl-1064-A1-R4_MC01-1g02345	98.9996	0.0058	0.0001	MvSl-1064-A2-R4_MC01g02627	98.9996	0.0058	0.0001
MvSl-1064-A1-R4_MC01-1g02346	0.6139	0.0064	0.0105	MvSl-1064-A2-R4_MC01g02628	0.6139	0.0064	0.0105
MvSl-1064-A1-R4_MC01-1g02347	0.001	0	0.0251	MvSl-1064-A2-R4_MC01g02629	0.001	0	0.025
MvSl-1064-A1-R4_MC01-1g02348	0.0763	0.0012	0.0154	MvSl-1064-A2-R4_MC01g02630	0.0763	0.0012	0.0154
MvSl-1064-A1-R4_MC01-1g02349	0.3242	0.0022	0.0068	MvSl-1064-A2-R4_MC01g02631	0.3242	0.0022	0.0068
MvSl-1064-A1-R4_MC01-1g02351	0.4813	0.0026	0.0053	MvSl-1064-A2-R4_MC01g02633	0.4813	0.0026	0.0053
MvSl-1064-A1-R4_MC01-1g02354	0.8454	0.0054	0.0063	MvSl-1064-A2-R4_MC01g02636	0.8454	0.0054	0.0063
MvSl-1064-A1-R4_MC01-1g02355	0.0772	0.0014	0.0179	MvSl-1064-A2-R4_MC01g02637	0.0772	0.0014	0.0179
MvSl-1064-A1-R4_MC01-1g02356	0.139	0.0011	0.0081	MvSl-1064-A2-R4_MC01g02638	0.139	0.0011	0.0081
MvSl-1064-A1-R4_MC01-1g02357	0.4817	0.0039	0.0081	MvSl-1064-A2-R4_MC01g02639	0.4817	0.0039	0.0081
MvSl-1064-A1-R4_MC01-1g02358	0.6606	0.005	0.0075	MvSl-1064-A2-R4_MC01g02640	0.6606	0.005	0.0075
MvSl-1064-A1-R4_MC01-1g02363	0.001	0	0.0151	MvSl-1064-A2-R4_MC01g02645	0.001	0	0.0151
MvSl-1064-A1-R4_MC01-1g02364	0.3895	0.0019	0.0049	MvSl-1064-A2-R4_MC01g02646	0.3895	0.0019	0.0049
MvSl-1064-A1-R4_MC01-1g02365	0.0628	0.001	0.0166	MvSl-1064-A2-R4_MC01g02647	0.0628	0.001	0.0166
MvSl-1064-A1-R4_MC01-1g02366	0.7936	0.0034	0.0043	MvSl-1064-A2-R4_MC01g02648	0.7936	0.0034	0.0043
MvSl-1064-A1-R4_MC01-1g02367	0.2701	0.0026	0.0096	MvSl-1064-A2-R4_MC01g02649	0.2701	0.0026	0.0096
MvSl-1064-A1-R4_MC01-1g02368	0.001	0	0.028	MvSl-1064-A2-R4_MC01g02650	0.001	0	0.028
MvSl-1064-A1-R4_MC01-1g02369	0.176	0.0009	0.0051	MvSl-1064-A2-R4_MC01g02651	0.176	0.0009	0.0051
MvSl-1064-A1-R4_MC01-1g02370	1.1729	0.0053	0.0045	MvSl-1064-A2-R4_MC01g02652	1.1729	0.0053	0.0045
MvSl-1064-A1-R4_MC01-1g02371	0.001	0	0	MvSl-1064-A2-R4_MC01g02653	0.001	0	0
MvSl-1064-A1-R4_MC01-1g02372	0.7767	0.007	0.0091	MvSl-1064-A2-R4_MC01g02654	0.7767	0.007	0.0091
MvSl-1064-A1-R4_MC01-1g02373	0.5213	0.0053	0.0101	MvSl-1064-A2-R4_MC01g02655	0.5213	0.0053	0.0101
MvSl-1064-A1-R4_MC01-1g02374	0.262	0.0055	0.0211	MvSl-1064-A2-R4_MC01g02656	0.262	0.0055	0.0211
MvSl-1064-A1-R4_MC01-1g02378	0.001	0	0	MvSl-1064-A2-R4_MC01g02660	0.001	0	0
MvSl-1064-A1-R4_MC01-1g02379	0.001	0	0.0189	MvSl-1064-A2-R4_MC01g02661	0.001	0	0.0189
MvSl-1064-A1-R4_MC01-1g02380	1.2478	0.0043	0.0034	MvSl-1064-A2-R4_MC01g02662	1.2478	0.0043	0.0034
MvSl-1064-A1-R4_MC01-1g02381	0.448	0	0	MvSl-1064-A2-R4_MC01g02663	0.4126	0	0
MvSl-1064-A1-R4_MC01-1g02382	1.4035	0.007	0.005	MvSl-1064-A2-R4_MC01g02664	1.4035	0.007	0.005
MvSl-1064-A1-R4_MC01-1g02384	0.0771	0.0013	0.0172	MvSl-1064-A2-R4_MC01g02666	0.0771	0.0013	0.0172
MvSl-1064-A1-R4_MC01-1g02385	0.2838	0.0034	0.0119	MvSl-1064-A2-R4_MC01g02667	0.2838	0.0034	0.0119
MvSl-1064-A1-R4_MC01-1g02386	0.8155	0.0049	0.006	MvSl-1064-A2-R4_MC01g02668	0.8154	0.0049	0.006
MvSl-1064-A1-R4_MC01-1g02387	0.3823	0.0022	0.0058	MvSl-1064-A2-R4_MC01g02669	0.3823	0.0022	0.0058
MvSl-1064-A1-R4_MC01-1g02388	0.4622	0.006	0.013	MvSl-1064-A2-R4_MC01g02670	0.4622	0.006	0.013
MvSl-1064-A1-R4_MC01-1g02393	0.001	0	0	MvSl-1064-A2-R4_MC01g02675	0.001	0	0
MvSl-1064-A1-R4_MC01-1g02394	0.1258	0.0015	0.0116	MvSl-1064-A2-R4_MC01g02676	0.1258	0.0015	0.0116
MvSl-1064-A1-R4_MC01-1g02395	0.4356	0.0041	0.0094	MvSl-1064-A2-R4_MC01g02677	0.4356	0.0041	0.0094
MvSl-1064-A1-R4_MC01-1g02396	0.3343	0.0043	0.0128	MvSl-1064-A2-R4_MC01g02678	0.3343	0.0043	0.0128
MvSl-1064-A1-R4_MC01-1g02397	98.9996	0.003	0	MvSl-1064-A2-R4_MC01g02679	98.9996	0.003	0
MvSl-1064-A1-R4_MC01-1g02400	0.5838	0.006	0.0102	MvSl-1064-A2-R4_MC01g02682	0.5838	0.006	0.0102
MvSl-1064-A1-R4_MC01-1g02401	98.9996	0.0196	0.0002	MvSl-1064-A2-R4_MC01g02683	98.9996	0.0196	0.0002
