gid	gidmvsd	dnds	dn	ds
MvSl-1064-A1-R4_MC02g03639	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03576	0.6069	0.0015	0.0025
MvSl-1064-A1-R4_MC04-1g05371	MvSdioicae-1303-FR02-D-N206-PbcR_C030g10779	0.001	0	0
MvSl-1064-A1-R4_MC03g04293	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00955	0.5478	0.0043	0.0079
MvSl-1064-A1-R4_MC03g04772	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00457	2.025	0.0099	0.0049
MvSl-1064-A1-R4_MC15g12117	MvSdioicae-1303-FR02-D-N206-PbcR_C033g11133	0.4028	0.0024	0.006
MvSl-1064-A1-R4_MC02g03234	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09657	0.001	0	0.0084
MvSl-1064-A1-R4_MC03g05166	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00037	98.9996	0.0026	0
MvSl-1064-A1-R4_MC03g05004	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00162	0.2933	0.0027	0.0092
MvSl-1064-A1-R4_MC01-1g01941	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01210	0.1539	0.0022	0.0141
MvSl-1064-A1-R4_MC08g08796	MvSdioicae-1303-FR02-D-N206-PbcR_C025g10029	0.2198	0.0048	0.022
MvSl-1064-A1-R4_MC12g11004	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05131	0.4504	0.0033	0.0074
MvSl-1064-A1-R4_MC07g07929	MvSdioicae-1303-FR02-D-N206-PbcR_C024g09846	0.0616	0.0004	0.0062
MvSl-1064-A1-R4_MC14g11939	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10468	98.9996	0.0107	0.0001
MvSl-1064-A1-R4_MC15g12141	MvSdioicae-1303-FR02-D-N206-PbcR_C044g12160	0.1779	0.0011	0.006
MvSl-1064-A1-R4_MC01-1g02183	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01504	0.5538	0.0041	0.0073
MvSl-1064-A1-R4_MC12g10931	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05201	0.2653	0.0022	0.0084
MvSl-1064-A1-R4_MC02g03784	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03432	0.4286	0.0054	0.0126
MvSl-1064-A1-R4_MC07g07796	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07131	0.7005	0.0046	0.0066
MvSl-1064-A1-R4_MC11g10506	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04537	1.4139	0.0072	0.0051
MvSl-1064-A1-R4_MC08g08415	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06066	0.001	0	0.0058
MvSl-1064-A1-R4_MC05-3g06664	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02379	0.2331	0.0011	0.0049
MvSl-1064-A1-R4_MC02g03790	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03426	0.6252	0.0055	0.0087
MvSl-1064-A1-R4_MC05-3g06542	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02262	0.3143	0.0036	0.0113
MvSl-1064-A1-R4_A1g00856	MvSdioicae-1303-FR02-D-N206-PbcR_C011g06251	0.0931	0.0015	0.0159
MvSl-1064-A1-R4_MC01-1g01871	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01137	0.4272	0.0054	0.0127
MvSl-1064-A1-R4_MC11g10233	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04808	0.001	0	0.0114
MvSl-1064-A1-R4_MC02g03198	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09622	0.3264	0.002	0.0061
MvSl-1064-A1-R4_MC01-1g02296	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01608	0.653	0.0044	0.0067
MvSl-1064-A1-R4_MC02g04222	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09551	98.9996	0.0009	0
MvSl-1064-A1-R4_MC12g11077	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05057	1.5343	0.011	0.0072
MvSl-1064-A1-R4_MC02g03708	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03509	0.8691	0.0041	0.0047
MvSl-1064-A1-R4_MC07g07736	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07196	0.1473	0.0021	0.014
MvSl-1064-A1-R4_MC02g04169	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09458	0.101	0.0008	0.0081
MvSl-1064-A1-R4_MC06g07307	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06937	0.001	0	0.0178
MvSl-1064-A1-R4_MC08g08703	MvSdioicae-1303-FR02-D-N206-PbcR_C034g11297	0.3908	0.0097	0.0249
MvSl-1064-A1-R4_MC02g03837	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03380	0.1679	0.001	0.0061
MvSl-1064-A1-R4_MC05-1g06247	MvSdioicae-1303-FR02-D-N206-PbcR_C003g01955	0.5171	0.0083	0.016
MvSl-1064-A1-R4_MC01-2g03056	MvSdioicae-1303-FR02-D-N206-PbcR_C035g11422	0.2646	0.0023	0.0086
MvSl-1064-A1-R4_MC02g03919	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03313	0.1655	0.0018	0.011
MvSl-1064-A1-R4_MC02g03632	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03583	0.5434	0.0025	0.0046
MvSl-1064-A1-R4_MC05-3g06687	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02403	0.1382	0.0028	0.02
MvSl-1064-A1-R4_MC11g10311	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04734	1.0745	0.0026	0.0025
MvSl-1064-A1-R4_MC13g11655	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05756	0.8584	0.0044	0.0051
MvSl-1064-A1-R4_MC02g03211	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09634	0.2805	0.0025	0.0089
MvSl-1064-A1-R4_MC07g08007	MvSdioicae-1303-FR02-D-N206-PbcR_C024g09925	0.001	0	0.038
MvSl-1064-A1-R4_MC01-1g01843	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01109	0.7104	0.0048	0.0068
MvSl-1064-A1-R4_MC09-2g09189	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08232	0.4293	0.0018	0.0042
MvSl-1064-A1-R4_MC05-3g06509	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02227	0.001	0	0.0092
MvSl-1064-A1-R4_MC03g05241	MvSdioicae-1303-FR02-D-N206-PbcR_C047g12311	0.3806	0.0037	0.0097
MvSl-1064-A1-R4_MC04-1g05294	MvSdioicae-1303-FR02-D-N206-PbcR_C030g10855	0.4738	0	0
MvSl-1064-A1-R4_MC09-2g08932	MvSdioicae-1303-FR02-D-N206-PbcR_C048g12352	0.4013	0.0031	0.0077
MvSl-1064-A1-R4_MC03g04664	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00564	0.8715	0.0069	0.008
MvSl-1064-A1-R4_MC11g10621	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04429	0.2362	0.002	0.0087
MvSl-1064-A1-R4_MC17g12226	MvSdioicae-1303-FR02-D-N206-PbcR_C050g12497	0.2752	0.0036	0.013
MvSl-1064-A1-R4_MC08g08602	MvSdioicae-1303-FR02-D-N206-PbcR_C010g05870	0.001	0	0.0096
MvSl-1064-A1-R4_MC15g12058	MvSdioicae-1303-FR02-D-N206-PbcR_C033g11189	0.25	0.001	0.0042
MvSl-1064-A1-R4_MC14g11771	MvSdioicae-1303-FR02-D-N206-PbcR_C040g11868	0.3856	0.031	0.0805
MvSl-1064-A1-R4_MC14g11873	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10533	0.1163	0.0011	0.0097
MvSl-1064-A1-R4_MC01-1g02149	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01466	0.2119	0.0031	0.0148
MvSl-1064-A1-R4_MC03g04971	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00196	0.2771	0.0032	0.0117
MvSl-1064-A1-R4_MC01-1g01881	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01147	0.5165	0.0049	0.0095
MvSl-1064-A1-R4_MC01-1g02281	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01595	0.2291	0.0014	0.0061
MvSl-1064-A1-R4_MC09-2g09047	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08091	0.1189	0.0015	0.0126
MvSl-1064-A1-R4_MC07g07720	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07213	1.2555	0.0048	0.0039
MvSl-1064-A1-R4_MC01-1g02168	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01490	0.001	0	0.0117
MvSl-1064-A1-R4_MC03g05066	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00138	0.2181	0.0021	0.0096
MvSl-1064-A1-R4_MC06g07384	MvSdioicae-1303-FR02-D-N206-PbcR_C012g07022	0.6516	0.0068	0.0104
MvSl-1064-A1-R4_MC01-1g02730	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07841	1.3486	0.024	0.0178
MvSl-1064-A1-R4_MC02g04203	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09535	0.1144	0.0015	0.0129
MvSl-1064-A1-R4_MC07g07814	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07115	98.9996	0.0035	0
MvSl-1064-A1-R4_MC07g08062	MvSdioicae-1303-FR02-D-N206-PbcR_C042g12017	0.001	0	0.0092
MvSl-1064-A1-R4_MC01-1g02138	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01455	0.4951	0	0
MvSl-1064-A1-R4_MC11g10367	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04673	0.0774	0.0005	0.0061
MvSl-1064-A1-R4_MC10-2g10089	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07651	0.7153	0.0053	0.0074
MvSl-1064-A1-R4_MC05-1g06255	MvSdioicae-1303-FR02-D-N206-PbcR_C003g01963	0.3401	0.0036	0.0106
MvSl-1064-A1-R4_MC14g11846	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10561	0.2851	0.0023	0.0082
MvSl-1064-A1-R4_MC01-1g02486	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01787	98.9996	0.0081	0.0001
MvSl-1064-A1-R4_MC03g05074	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00130	0.0913	0.0057	0.0627
MvSl-1064-A1-R4_MC06g07196	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06827	1.2214	0.0108	0.0089
MvSl-1064-A1-R4_MC05-3g06731	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02453	0.3441	0.0185	0.0537
MvSl-1064-A1-R4_MC02g03759	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03458	0.3684	0.0041	0.0112
MvSl-1064-A1-R4_MC05-1g06149	MvSdioicae-1303-FR02-D-N206-PbcR_C003g01859	0.7791	0.0052	0.0067
MvSl-1064-A1-R4_MC07g07949	MvSdioicae-1303-FR02-D-N206-PbcR_C024g09865	0.1809	0.0029	0.0158
MvSl-1064-A1-R4_MC10-2g10030	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07588	0.3219	0.0037	0.0114
MvSl-1064-A1-R4_MC01-1g02338	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01651	0.7626	0.006	0.0079
MvSl-1064-A1-R4_MC02g03325	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09744	0.6009	0.0029	0.0048
MvSl-1064-A1-R4_MC03g04752	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00480	0.6685	0.0064	0.0095
MvSl-1064-A1-R4_MC07g07816	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07113	0.001	0	0
MvSl-1064-A1-R4_MC04-1g05945	MvSdioicae-1303-FR02-D-N206-PbcR_C004g02620	98.9996	0.0025	0
MvSl-1064-A1-R4_MC02g03308	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09728	0.001	0	0.0184
MvSl-1064-A1-R4_MC04-1g05326	MvSdioicae-1303-FR02-D-N206-PbcR_C030g10824	98.9996	0.0247	0.0002
MvSl-1064-A1-R4_MC05-2g06416	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02135	0.3076	0.0019	0.0062
MvSl-1064-A1-R4_MC01-1g01915	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01184	0.1633	0.0014	0.0087
MvSl-1064-A1-R4_MC01-1g02408	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01712	0.2366	0.0021	0.0088
MvSl-1064-A1-R4_MC14g11918	MvSdioicae-1303-FR02-D-N206-PbcR_C028g10489	0.5541	0.0042	0.0076
MvSl-1064-A1-R4_MC15g12083	MvSdioicae-1303-FR02-D-N206-PbcR_C033g11165	0.4753	0.0045	0.0094
MvSl-1064-A1-R4_MC08g08294	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06184	0.1507	0.0012	0.0078
MvSl-1064-A1-R4_MC02g03972	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03262	0.1435	0.0012	0.0081
MvSl-1064-A1-R4_MC07g07688	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07244	0.5336	0.0022	0.004
MvSl-1064-A1-R4_MC03g04850	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00382	0.1106	0.0012	0.0108
MvSl-1064-A1-R4_MC01-2g03029	MvSdioicae-1303-FR02-D-N206-PbcR_C035g11395	0.2506	0.0036	0.0143
MvSl-1064-A1-R4_MC02g03648	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03566	98.9996	0.0059	0.0001
MvSl-1064-A1-R4_MC01-2g03030	MvSdioicae-1303-FR02-D-N206-PbcR_C035g11396	0.7523	0.006	0.008
MvSl-1064-A1-R4_MC13g11406	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05496	0.3651	0.0025	0.0069
MvSl-1064-A1-R4_MC12g11016	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05119	0.354	0.0026	0.0075
MvSl-1064-A1-R4_MC05-3g06823	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02545	0.3814	0	0
MvSl-1064-A1-R4_MC03g05246	MvSdioicae-1303-FR02-D-N206-PbcR_C047g12306	98.9996	0.0041	0
MvSl-1064-A1-R4_MC02g03867	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03360	0.7449	0.0018	0.0024
MvSl-1064-A1-R4_MC11g10267	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04776	0.001	0	0.0175
MvSl-1064-A1-R4_MC10-2g10036	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07598	0.5048	0.0034	0.0067
MvSl-1064-A1-R4_MC10-1g09640	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08592	0.2322	0.0021	0.0092
MvSl-1064-A1-R4_MC05-3g06682	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02398	0.1816	0.0016	0.0086
MvSl-1064-A1-R4_MC06g07068	MvSdioicae-1303-FR02-D-N206-PbcR_C123g13315	0.1196	1.3005	
MvSl-1064-A1-R4_MC10-2g10025	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07593	0.001	0	0
MvSl-1064-A1-R4_MC08g08676	MvSdioicae-1303-FR02-D-N206-PbcR_C034g11325	0.2408	0.0021	0.0089
MvSl-1064-A1-R4_MC07g07938	MvSdioicae-1303-FR02-D-N206-PbcR_C024g09854	0.649	0.0054	0.0084
MvSl-1064-A1-R4_MC08g08607	MvSdioicae-1303-FR02-D-N206-PbcR_C010g05865	0.1334	0.0017	0.0124
MvSl-1064-A1-R4_MC15g12079	MvSdioicae-1303-FR02-D-N206-PbcR_C033g11169	0.4709	0.0088	0.0186
MvSl-1064-A1-R4_MC01-2g03076	MvSdioicae-1303-FR02-D-N206-PbcR_C035g11440	0.0628	0.001	0.0158
MvSl-1064-A1-R4_MC13g11625	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05727	0.001	0	0.0059
MvSl-1064-A1-R4_MC12g10956	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05176	0.168	0.0011	0.0065
MvSl-1064-A1-R4_MC11g10507	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04536	0.672	0.0036	0.0054
MvSl-1064-A1-R4_MC05-3g06737	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02459	0.0691	0.002	0.0289
MvSl-1064-A1-R4_MC12g10810	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05330	0.433	0.0055	0.0127
MvSl-1064-A1-R4_MC12g11256	MvSdioicae-1303-FR02-D-N206-PbcR_C041g11969	1.9313	0.0057	0.0029
MvSl-1064-A1-R4_A1g01415	MvSdioicae-1303-FR02-D-N206-PbcR_C006g03764	0.1275	0.0013	0.0101
MvSl-1064-A1-R4_MC10-1g09743	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08694	0.0916	0.0013	0.0144
MvSl-1064-A1-R4_MC08g08515	MvSdioicae-1303-FR02-D-N206-PbcR_C010g05955	0.301	0.0037	0.0122
MvSl-1064-A1-R4_MC05-3g06749	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02467	1.3776	0.0069	0.005
MvSl-1064-A1-R4_MC10-2g10006	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07569	0.0588	0.0013	0.0227
MvSl-1064-A1-R4_MC01-1g01967	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01236	0.3939	0.0009	0.0022
MvSl-1064-A1-R4_MC06g07422	MvSdioicae-1303-FR02-D-N206-PbcR_C027g10420	0.001	0	0.0109
MvSl-1064-A1-R4_MC12g11058	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05077	0.433	0.0033	0.0077
MvSl-1064-A1-R4_MC03g04685	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00545	1.0587	0.004	0.0038
MvSl-1064-A1-R4_MC04-1g05364	MvSdioicae-1303-FR02-D-N206-PbcR_C030g10786	0.1244	0.0335	0.2691
MvSl-1064-A1-R4_MC03g05184	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00013	1.2072	0.0059	0.0049
MvSl-1064-A1-R4_MC01-1g01882	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01148	0.3948	0.0035	0.0089
MvSl-1064-A1-R4_MC08g08528	MvSdioicae-1303-FR02-D-N206-PbcR_C010g05914	0.1294	0.0015	0.0117
MvSl-1064-A1-R4_MC10-2g10073	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07635	1.651	0.0037	0.0022
MvSl-1064-A1-R4_MC10-2g09978	MvSdioicae-1303-FR02-D-N206-PbcR_C014g07541	0.4582	0.0035	0.0077
MvSl-1064-A1-R4_MC06g07334	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06966	0.3427	0.0028	0.0082
MvSl-1064-A1-R4_MC12g10984	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05150	0.0809	0.0011	0.0141
MvSl-1064-A1-R4_MC05-3g06652	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02369	0.4871	0.0028	0.0057
MvSl-1064-A1-R4_MC01-1g01952	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01221	0.3828	0.0014	0.0037
MvSl-1064-A1-R4_MC02g04176	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09516	0.59	0.0054	0.0091
MvSl-1064-A1-R4_MC04-1g05504	MvSdioicae-1303-FR02-D-N206-PbcR_C004g03061	0.7029	0.0102	0.0145
MvSl-1064-A1-R4_MC05-2g06479	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02198	0.301	0.0034	0.0111
MvSl-1064-A1-R4_MC08g08319	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06159	0.207	0.0045	0.0218
MvSl-1064-A1-R4_MC10-1g09722	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08673	98.9996	0.0014	0
MvSl-1064-A1-R4_MC03g05003	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00163	0.2204	0.0039	0.0179
MvSl-1064-A1-R4_MC03g05227	MvSdioicae-1303-FR02-D-N206-PbcR_C047g12327	0.3347	0.0054	0.016
MvSl-1064-A1-R4_MC01-1g02462	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01763	0.2924	0.0043	0.0148
MvSl-1064-A1-R4_MC10-1g09633	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08584	0.1679	0.0032	0.0193
MvSl-1064-A1-R4_MC02g03657	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03557	0.6028	0.0046	0.0077
MvSl-1064-A1-R4_MC13g11530	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05639	0.4226	0	0
MvSl-1064-A1-R4_MC04-2g06094	MvSdioicae-1303-FR02-D-N206-PbcR_C031g10992	0.8165	0.0052	0.0063
MvSl-1064-A1-R4_MC12g11179	MvSdioicae-1303-FR02-D-N206-PbcR_C008g04953	0.1845	0.0016	0.0087
MvSl-1064-A1-R4_MC12g10848	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05288	0.5783	0.0052	0.0091
MvSl-1064-A1-R4_MC02g04111	MvSdioicae-1303-FR02-D-N206-PbcR_C022g09446	0.001	0	0.015
MvSl-1064-A1-R4_MC02g03670	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03546	98.9996	0.0011	0
MvSl-1064-A1-R4_MC02g03291	MvSdioicae-1303-FR02-D-N206-PbcR_C023g09712	1.5181	0	0
MvSl-1064-A1-R4_MC01-1g02322	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01634	0.1105	0.0032	0.0288
MvSl-1064-A1-R4_MC08g08360	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06117	0.6876	0.0056	0.0082
MvSl-1064-A1-R4_MC02g03964	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03267	0.1389	0.0009	0.0066
MvSl-1064-A1-R4_MC02g03973	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03261	0.1059	0.0015	0.0143
MvSl-1064-A1-R4_MC09-2g09142	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08187	98.9996	0.0022	0
MvSl-1064-A1-R4_MC01-1g02801	MvSdioicae-1303-FR02-D-N206-PbcR_C015g07776	0.2313	0.0029	0.0123
MvSl-1064-A1-R4_MC01-1g01890	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01159	0.8525	0.0042	0.005
MvSl-1064-A1-R4_MC07g08182	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09301	0.504	0.0068	0.0135
MvSl-1064-A1-R4_MC01-1g02357	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01670	0.4817	0.0039	0.0081
MvSl-1064-A1-R4_MC13g11583	MvSdioicae-1303-FR02-D-N206-PbcR_C009g05687	0.1169	0.0014	0.0122
MvSl-1064-A1-R4_MC05-3g06752	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02470	0.0447	0.0008	0.0183
MvSl-1064-A1-R4_MC06g07466	MvSdioicae-1303-FR02-D-N206-PbcR_C027g10374	0.1448	0.0031	0.0215
MvSl-1064-A1-R4_MC05-3g06736	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02458	98.9996	0.0055	0.0001
MvSl-1064-A1-R4_MC05-3g06824	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02546	0.1119	0.0007	0.0065
MvSl-1064-A1-R4_MC01-1g02355	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01668	0.0772	0.0014	0.0179
MvSl-1064-A1-R4_MC01-1g02366	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01677	0.7936	0.0034	0.0043
MvSl-1064-A1-R4_MC01-1g02301	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01613	0.3898	0	0
MvSl-1064-A1-R4_MC11g10159	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04891	0.7655	0.0061	0.008
MvSl-1064-A1-R4_MC11g10382	MvSdioicae-1303-FR02-D-N206-PbcR_C007g04658	0.75	0.0059	0.0078
MvSl-1064-A1-R4_MC07g07799	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07128	0.6399	0.0052	0.0081
MvSl-1064-A1-R4_MC08g08279	MvSdioicae-1303-FR02-D-N206-PbcR_C010g06199	0.3053	0.0027	0.0088
MvSl-1064-A1-R4_MC01-1g02110	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01426	0.3485	0.001	0.0029
MvSl-1064-A1-R4_MC01-1g02227	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01544	0.1792	0.0011	0.0061
MvSl-1064-A1-R4_MC01-1g01809	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01075	98.9996	0.0014	0
MvSl-1064-A1-R4_A1g00726	MvSdioicae-1303-FR02-D-N206-PbcR_C011g06602	0.1698	0.0021	0.0123
MvSl-1064-A1-R4_MC05-3g06698	MvSdioicae-1303-FR02-D-N206-PbcR_C003g02417	0.6293	0.0047	0.0074
MvSl-1064-A1-R4_MC07g08071	MvSdioicae-1303-FR02-D-N206-PbcR_C042g12008	0.001	0	0.0133
MvSl-1064-A1-R4_MC12g10836	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05300	98.9996	0.0011	0
MvSl-1064-A1-R4_MC07g08124	MvSdioicae-1303-FR02-D-N206-PbcR_C021g09358	3.2656	0.0056	0.0017
MvSl-1064-A1-R4_MC08g08797	MvSdioicae-1303-FR02-D-N206-PbcR_C025g10028	0.9921	0.009	0.0091
MvSl-1064-A1-R4_MC10-1g09645	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08597	0.6803	0.005	0.0073
MvSl-1064-A1-R4_MC10-1g09738	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08689	0.3712	0	0
MvSl-1064-A1-R4_MC07g07819	MvSdioicae-1303-FR02-D-N206-PbcR_C013g07110	0.9224	0.0071	0.0077
MvSl-1064-A1-R4_MC03g05083	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00122	0.1921	0.0025	0.013
MvSl-1064-A1-R4_MC02g03803	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03414	0.5493	0.0046	0.0084
MvSl-1064-A1-R4_MC06g07145	MvSdioicae-1303-FR02-D-N206-PbcR_C012g06749	0.7813	0.0042	0.0054
MvSl-1064-A1-R4_MC15g12089	MvSdioicae-1303-FR02-D-N206-PbcR_C033g11159	0.0925	0.0017	0.018
MvSl-1064-A1-R4_MC12g10794	MvSdioicae-1303-FR02-D-N206-PbcR_C008g05348	0.6264	0.0032	0.0051
MvSl-1064-A1-R4_MC02g03839	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03378	0.95	0.007	0.0073
MvSl-1064-A1-R4_MC09-2g09450	MvSdioicae-1303-FR02-D-N206-PbcR_C019g08933	0.001	0	0.0107
MvSl-1064-A1-R4_MC03g04492	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00741	0.8087	0.0053	0.0065
MvSl-1064-A1-R4_MC02g03846	MvSdioicae-1303-FR02-D-N206-PbcR_C005g03371	0.3686	0	0
MvSl-1064-A1-R4_MC10-1g09741	MvSdioicae-1303-FR02-D-N206-PbcR_C018g08692	0.4611	0.005	0.0108
MvSl-1064-A1-R4_MC01-1g01805	MvSdioicae-1303-FR02-D-N206-PbcR_C002g01071	1.9973	0.0058	0.0029
MvSl-1064-A1-R4_MC10-1g09602	MvSdioicae-1303-FR02-D-N206-PbcR_C052g12578	0.0878	0.0009	0.0103
MvSl-1064-A1-R4_MC07g08040	MvSdioicae-1303-FR02-D-N206-PbcR_C042g12038	0.001	0	0.0081
MvSl-1064-A1-R4_MC03g04720	MvSdioicae-1303-FR02-D-N206-PbcR_C001g00510	0.1468	0.002	0.0136
MvSl-1064-A1-R4_MC09-2g09183	MvSdioicae-1303-FR02-D-N206-PbcR_C016g08226	0.0915	0.0008	0.0082
