gid	gname	chr	start	end	logCPM	logFC.water.diploid	FDR.water.diploid
MvSl-1064-A2-R4_A2g00189	MvSl-1064-A2-R4_A2g00189	aMAT	422636	426797	6.165469009	1.514535007	3.89E-07
MvSl-1064-A2-R4_A2g01411	MvSl-1064-A2-R4_A2g01411	aMAT	3123500	3123870	4.150911805	1.515093744	1.49E-06
MvSl-1064-A2-R4_A2g01666	MvSl-1064-A2-R4_A2g01666	aMAT	3674578	3678870	2.757552591	1.516204965	0.001175062
MvSl-1064-A2-R4_A2g00537	MvSl-1064-A2-R4_A2g00537	aMAT	1133379	1137457	2.760969594	1.517752187	0.001516301
MvSl-1064-A2-R4_A2g01603	MvSl-1064-A2-R4_A2g01603	aMAT	3524930	3525520	5.700984866	1.519070752	2.48E-07
MvSl-1064-A2-R4_A2g01052	MvSl-1064-A2-R4_A2g01052	aMAT	2294266	2295861	5.556796625	1.521354139	8.86E-11
MvSl-1064-A2-R4_A2g00932	MvSl-1064-A2-R4_A2g00932	aMAT	1991376	1995669	1.77266983	1.538887549	0.004110192
MvSl-1064-A2-R4_A2g00784	MvSl-1064-A2-R4_A2g00784	aMAT	1652423	1653893	4.697209229	1.540338378	4.16E-09
MvSl-1064-A2-R4_A2g00704	MvSl-1064-A2-R4_A2g00704	aMAT	1500175	1501861	1.490942113	1.547029557	0.001782771
MvSl-1064-A2-R4_A2g01739	MvSl-1064-A2-R4_A2g01739	aMAT	3832639	3833625	0.981589023	1.552077743	0.000905374
MvSl-1064-A2-R4_A2g00669	MvSl-1064-A2-R4_A2g00669	aMAT	1423976	1425977	6.093137438	1.554583465	1.31E-09
MvSl-1064-A2-R4_A2g01072	MvSl-1064-A2-R4_A2g01072	aMAT	2327187	2328490	4.972995546	1.555142092	5.82E-08
MvSl-1064-A2-R4_A2g01076	MvSl-1064-A2-R4_A2g01076	aMAT	2335116	2335823	1.671824722	1.559253429	0.001572578
MvSl-1064-A2-R4_A2g00514	MvSl-1064-A2-R4_A2g00514	aMAT	1087036	1088282	5.5393794	1.561627248	1.18E-05
MvSl-1064-A2-R4_A2g00222	MvSl-1064-A2-R4_A2g00222	aMAT	495521	496246	0.425022806	1.564186495	0.002881187
MvSl-1064-A2-R4_A2g00571	MvSl-1064-A2-R4_A2g00571	aMAT	1198510	1204618	4.693948974	1.569028475	3.71E-07
MvSl-1064-A2-R4_A2g01115	MvSl-1064-A2-R4_A2g01115	aMAT	2418928	2419654	2.525444318	1.571074573	4.27E-05
MvSl-1064-A2-R4_A2g00494	MvSl-1064-A2-R4_A2g00494	aMAT	1058062	1058450	6.230606816	1.571969435	4.94E-06
MvSl-1064-A2-R4_A2g01491	MvSl-1064-A2-R4_A2g01491	aMAT	3292747	3293737	1.737225748	1.572325222	0.005445609
MvSl-1064-A2-R4_A2g01720	MvSl-1064-A2-R4_A2g01720	aMAT	3781123	3785661	1.100848985	1.578940821	0.003757516
MvSl-1064-A2-R4_A2g00853	MvSl-1064-A2-R4_A2g00853	aMAT	1794439	1794741	1.458418175	1.585722319	0.012097453
MvSl-1064-A2-R4_A2g01193	MvSl-1064-A2-R4_A2g01193	aMAT	2571794	2574778	2.248706633	1.590532363	0.014958704
MvSl-1064-A2-R4_A2g00814	MvSl-1064-A2-R4_A2g00814	aMAT	1719038	1725409	7.794188999	1.599108148	1.01E-10
MvSl-1064-A2-R4_A2g00283	MvSl-1064-A2-R4_A2g00283	aMAT	618309	619464	4.390488704	1.60716124	1.85E-06
MvSl-1064-A2-R4_A2g01148	MvSl-1064-A2-R4_A2g01148	aMAT	2481405	2481672	0.603471745	1.609625153	0.012087932
MvSl-1064-A2-R4_A2g00686	MvSl-1064-A2-R4_A2g00686	aMAT	1458100	1463080	5.119411082	1.613635602	1.37E-06
MvSl-1064-A2-R4_A2g01464	MvSl-1064-A2-R4_A2g01464	aMAT	3245159	3251358	1.625348314	1.618265022	0.003109695
MvSl-1064-A2-R4_A2g00458	MvSl-1064-A2-R4_A2g00458	aMAT	1017121	1017620	0.398356875	1.627859725	0.006703364
MvSl-1064-A2-R4_A2g00779	MvSl-1064-A2-R4_A2g00779	aMAT	1645536	1645943	0.158329515	1.63072844	0.008503891
MvSl-1064-A2-R4_A2g00282	MvSl-1064-A2-R4_A2g00282	aMAT	617938	618266	2.465681264	1.631742433	0.000154539
MvSl-1064-A2-R4_A2g01634	MvSl-1064-A2-R4_A2g01634	aMAT	3596399	3601169	4.834660218	1.637318288	2.54E-07
MvSl-1064-A2-R4_A2g00513	MvSl-1064-A2-R4_A2g00513	aMAT	1085556	1086278	8.452508109	1.641030084	6.47E-09
MvSl-1064-A2-R4_A2g01826	MvSl-1064-A2-R4_A2g01826	aMAT	4040937	4041104	0.015303488	1.644099994	0.006968834
MvSl-1064-A2-R4_A2g01711	MvSl-1064-A2-R4_A2g01711	aMAT	3765542	3767661	2.861206162	1.644122613	0.000788939
MvSl-1064-A2-R4_A2g01196	MvSl-1064-A2-R4_A2g01196	aMAT	2580649	2585178	1.783825761	1.644964787	0.004040426
MvSl-1064-A2-R4_A2g01085	MvSl-1064-A2-R4_A2g01085	aMAT	2353629	2354970	1.429169421	1.648578763	0.000167405
MvSl-1064-A2-R4_A2g01663	MvSl-1064-A2-R4_A2g01663	aMAT	3663127	3666599	2.653621481	1.652424912	4.14E-05
MvSl-1064-A2-R4_A2g01517	MvSl-1064-A2-R4_A2g01517	aMAT	3338727	3339119	3.470176709	1.653668508	2.36E-05
MvSl-1064-A2-R4_A2g00555	MvSl-1064-A2-R4_A2g00555	aMAT	1161836	1164628	3.446301504	1.656977816	0.000403503
MvSl-1064-A2-R4_A2g00572	MvSl-1064-A2-R4_A2g00572	aMAT	1205655	1206504	1.196339706	1.657250637	0.000820857
MvSl-1064-A2-R4_A2g00464	MvSl-1064-A2-R4_A2g00464	aMAT	1026947	1027755	3.278699015	1.661009331	0.001348612
MvSl-1064-A2-R4_A2g00474	MvSl-1064-A2-R4_A2g00474	aMAT	1037034	1037842	3.278699015	1.661009352	0.001348612
MvSl-1064-A2-R4_A2g00493	MvSl-1064-A2-R4_A2g00493	aMAT	1057205	1058013	3.278699015	1.661009409	0.001348612
MvSl-1064-A2-R4_A2g01244	MvSl-1064-A2-R4_A2g01244	aMAT	2678385	2682739	5.383655904	1.665100992	4.39E-11
MvSl-1064-A2-R4_A2g00461	MvSl-1064-A2-R4_A2g00461	aMAT	1019996	1020424	0.62184798	1.667967919	0.009880752
MvSl-1064-A2-R4_A2g01444	MvSl-1064-A2-R4_A2g01444	aMAT	3200160	3201816	1.750109739	1.679038755	0.000713952
MvSl-1064-A2-R4_A2g01036	MvSl-1064-A2-R4_A2g01036	aMAT	2268198	2271934	6.359553213	1.693224458	1.33E-16
MvSl-1064-A2-R4_A2g00150	MvSl-1064-A2-R4_A2g00150	aMAT	338467	340718	4.116696552	1.696477889	3.64E-08
MvSl-1064-A2-R4_A2g01408	MvSl-1064-A2-R4_A2g01408	aMAT	3115139	3115754	2.115941088	1.721799782	0.001143267
MvSl-1064-A2-R4_A2g01299	MvSl-1064-A2-R4_A2g01299	aMAT	2828506	2830689	0.05433477	1.728294061	0.027217335
MvSl-1064-A2-R4_A2g01169	MvSl-1064-A2-R4_A2g01169	aMAT	2518514	2522915	5.206376807	1.7385449	1.24E-11
MvSl-1064-A2-R4_A2g01191	MvSl-1064-A2-R4_A2g01191	aMAT	2563765	2568236	4.278063317	1.74122375	7.78E-06
MvSl-1064-A2-R4_A2g00722	MvSl-1064-A2-R4_A2g00722	aMAT	1536934	1538401	3.927292025	1.743090004	0.004639039
MvSl-1064-A2-R4_A2g00040	MvSl-1064-A2-R4_A2g00040	aMAT	82392	84087	0.10853088	1.746071661	0.001793858
MvSl-1064-A2-R4_A2g01470	MvSl-1064-A2-R4_A2g01470	aMAT	3264571	3269168	3.570648695	1.746219359	6.02E-05
MvSl-1064-A2-R4_A2g00503	MvSl-1064-A2-R4_A2g00503	aMAT	1065697	1066723	2.593086576	1.747420684	2.58E-05
MvSl-1064-A2-R4_A2g00339	MvSl-1064-A2-R4_A2g00339	aMAT	752210	755988	5.869272006	1.760120182	7.99E-17
MvSl-1064-A2-R4_A2g01080	MvSl-1064-A2-R4_A2g01080	aMAT	2344148	2348006	4.838428051	1.773489285	2.34E-09
MvSl-1064-A2-R4_A2g00173	MvSl-1064-A2-R4_A2g00173	aMAT	401042	401334	3.59593959	1.77718484	2.56E-09
MvSl-1064-A2-R4_A2g00469	MvSl-1064-A2-R4_A2g00469	aMAT	1033621	1034698	6.454320718	1.792038636	8.20E-14
MvSl-1064-A2-R4_A2g00479	MvSl-1064-A2-R4_A2g00479	aMAT	1043706	1044783	6.454320718	1.792038642	8.20E-14
MvSl-1064-A2-R4_A2g00488	MvSl-1064-A2-R4_A2g00488	aMAT	1053792	1054869	6.454320718	1.79203874	8.09E-14
MvSl-1064-A2-R4_A2g01188	MvSl-1064-A2-R4_A2g01188	aMAT	2554322	2554582	4.582213046	1.797690231	2.36E-12
MvSl-1064-A2-R4_A2g00288	MvSl-1064-A2-R4_A2g00288	aMAT	626296	629266	1.465530168	1.799887463	0.002492739
MvSl-1064-A2-R4_A2g00673	MvSl-1064-A2-R4_A2g00673	aMAT	1431955	1436015	3.691992066	1.803128963	1.48E-05
MvSl-1064-A2-R4_A2g00190	MvSl-1064-A2-R4_A2g00190	aMAT	427011	427244	1.65738189	1.803388415	8.50E-05
MvSl-1064-A2-R4_A2g00504	MvSl-1064-A2-R4_A2g00504	aMAT	1066834	1067992	2.651111424	1.807661854	5.14E-05
MvSl-1064-A2-R4_A2g00659	MvSl-1064-A2-R4_A2g00659	aMAT	1398172	1406263	1.174431003	1.809399309	0.002304752
MvSl-1064-A2-R4_A2g00286	MvSl-1064-A2-R4_A2g00286	aMAT	621040	625651	0.553775626	1.814947884	0.001092937
MvSl-1064-A2-R4_A2g01063	MvSl-1064-A2-R4_A2g01063	aMAT	2313804	2314247	0.225202021	1.830839604	0.006708714
MvSl-1064-A2-R4_A2g00720	MvSl-1064-A2-R4_A2g00720	aMAT	1534794	1536089	2.851165222	1.833331663	0.000906389
MvSl-1064-A2-R4_A2g00693	MvSl-1064-A2-R4_A2g00693	aMAT	1472761	1474904	0.929246712	1.834682738	0.000404372
MvSl-1064-A2-R4_A2g01397	MvSl-1064-A2-R4_A2g01397	aMAT	3087974	3092071	3.577544704	1.856702797	1.32E-09
MvSl-1064-A2-R4_A2g01510	MvSl-1064-A2-R4_A2g01510	aMAT	3315778	3316627	0.116081287	1.8571752	0.001670719
MvSl-1064-A2-R4_A2g01241	MvSl-1064-A2-R4_A2g01241	aMAT	2669452	2670069	4.856617362	1.864606539	7.18E-12
MvSl-1064-A2-R4_A2g00227	MvSl-1064-A2-R4_A2g00227	aMAT	501201	502689	1.396401216	1.86843602	0.000303832
MvSl-1064-A2-R4_A2g00194	MvSl-1064-A2-R4_A2g00194	aMAT	439864	440360	1.775118889	1.874518653	4.20E-05
MvSl-1064-A2-R4_A2g01461	MvSl-1064-A2-R4_A2g01461	aMAT	3232841	3235817	3.964896242	1.885493812	3.89E-10
MvSl-1064-A2-R4_A2g00688	MvSl-1064-A2-R4_A2g00688	aMAT	1464767	1464975	3.814255799	1.886639171	1.38E-10
MvSl-1064-A2-R4_A2g01352	MvSl-1064-A2-R4_A2g01352	aMAT	2967137	2976698	0.243474282	1.889815217	0.005147913
MvSl-1064-A2-R4_A2g00463	MvSl-1064-A2-R4_A2g00463	aMAT	1021570	1026549	4.994722773	1.894345214	4.39E-12
MvSl-1064-A2-R4_A2g01725	MvSl-1064-A2-R4_A2g01725	aMAT	3796199	3805272	3.834184197	1.899078297	7.03E-09
MvSl-1064-A2-R4_A2g00319	MvSl-1064-A2-R4_A2g00319	aMAT	692355	696986	2.957560137	1.901740842	1.67E-05
MvSl-1064-A2-R4_A2g00355	MvSl-1064-A2-R4_A2g00355	aMAT	778438	781564	5.320061956	1.92198981	2.97E-12
MvSl-1064-A2-R4_A2g00945	MvSl-1064-A2-R4_A2g00945	aMAT	2022358	2024079	3.799940576	1.923737177	9.15E-10
MvSl-1064-A2-R4_A2g00642	MvSl-1064-A2-R4_A2g00642	aMAT	1364347	1369117	5.939299563	1.923934836	2.19E-19
MvSl-1064-A2-R4_A2g00522	MvSl-1064-A2-R4_A2g00522	aMAT	1102878	1107632	3.6989404	1.942795708	2.45E-08
MvSl-1064-A2-R4_A2g00726	MvSl-1064-A2-R4_A2g00726	aMAT	1542966	1547259	2.83714268	1.947363336	3.78E-05
MvSl-1064-A2-R4_A2g00505	MvSl-1064-A2-R4_A2g00505	aMAT	1068128	1071137	5.163043998	1.975906794	1.67E-14
MvSl-1064-A2-R4_A2g00960	MvSl-1064-A2-R4_A2g00960	aMAT	2066092	2070384	0.021532083	1.979108474	0.00496788
MvSl-1064-A2-R4_A2g01667	MvSl-1064-A2-R4_A2g01667	aMAT	3679689	3681137	1.496097615	1.98290468	0.000101262
MvSl-1064-A2-R4_A2g01636	MvSl-1064-A2-R4_A2g01636	aMAT	3602551	3603999	1.496097615	1.982905698	0.000100992
MvSl-1064-A2-R4_A2g01644	MvSl-1064-A2-R4_A2g01644	aMAT	3625799	3627247	1.496097615	1.982905894	0.000100992
MvSl-1064-A2-R4_A2g00199	MvSl-1064-A2-R4_A2g00199	aMAT	445492	449912	4.602507668	1.985545051	6.89E-13
MvSl-1064-A2-R4_A2g00637	MvSl-1064-A2-R4_A2g00637	aMAT	1353677	1354074	4.984733034	2.004634165	3.96E-10
MvSl-1064-A2-R4_A2g01243	MvSl-1064-A2-R4_A2g01243	aMAT	2674191	2678271	7.561958892	2.031522391	1.69E-17
MvSl-1064-A2-R4_A2g00502	MvSl-1064-A2-R4_A2g00502	aMAT	1064673	1065546	3.35222207	2.032652004	1.89E-07
MvSl-1064-A2-R4_A2g01498	MvSl-1064-A2-R4_A2g01498	aMAT	3300463	3301692	3.184923758	2.039446646	3.31E-08
MvSl-1064-A2-R4_A2g00996	MvSl-1064-A2-R4_A2g00996	aMAT	2147472	2147726	3.84153976	2.046286909	2.63E-06
MvSl-1064-A2-R4_A2g01472	MvSl-1064-A2-R4_A2g01472	aMAT	3269693	3270557	0.876798624	2.046732779	0.000263757
MvSl-1064-A2-R4_A2g00457	MvSl-1064-A2-R4_A2g00457	aMAT	1013138	1017078	3.69053817	2.053655638	2.33E-05
MvSl-1064-A2-R4_A2g00159	MvSl-1064-A2-R4_A2g00159	aMAT	358917	359140	1.446054055	2.068618103	0.001649896
MvSl-1064-A2-R4_A2g00616	MvSl-1064-A2-R4_A2g00616	aMAT	1303462	1305025	2.464009475	2.076691644	2.30E-06
MvSl-1064-A2-R4_A2g01732	MvSl-1064-A2-R4_A2g01732	aMAT	3814546	3819547	4.625929547	2.084571705	1.53E-11
MvSl-1064-A2-R4_A2g00139	MvSl-1064-A2-R4_A2g00139	aMAT	319770	322607	1.749200068	2.084964494	0.000208324
MvSl-1064-A2-R4_A2g00668	MvSl-1064-A2-R4_A2g00668	aMAT	1422309	1423889	3.007533185	2.089829621	9.18E-06
MvSl-1064-A2-R4_A2g00882	MvSl-1064-A2-R4_A2g00882	aMAT	1860766	1865746	2.25592119	2.106322802	0.007470435
MvSl-1064-A2-R4_A2g01094	MvSl-1064-A2-R4_A2g01094	aMAT	2376280	2381260	2.25592119	2.10632286	0.007470435
MvSl-1064-A2-R4_A2g00359	MvSl-1064-A2-R4_A2g00359	aMAT	789050	790537	5.652566084	2.118733377	5.34E-12
MvSl-1064-A2-R4_A2g01462	MvSl-1064-A2-R4_A2g01462	aMAT	3237288	3241600	0.565427129	2.125668663	0.000175304
MvSl-1064-A2-R4_A2g00193	MvSl-1064-A2-R4_A2g00193	aMAT	433391	439422	3.999518265	2.126565268	2.76E-10
MvSl-1064-A2-R4_A2g00718	MvSl-1064-A2-R4_A2g00718	aMAT	1529706	1530935	2.038024659	2.129251488	3.40E-07
MvSl-1064-A2-R4_A2g00158	MvSl-1064-A2-R4_A2g00158	aMAT	354083	358780	4.866385909	2.130757483	2.84E-13
MvSl-1064-A2-R4_A2g00501	MvSl-1064-A2-R4_A2g00501	aMAT	1063090	1063964	4.425996558	2.131077972	1.35E-11
MvSl-1064-A2-R4_A2g01045	MvSl-1064-A2-R4_A2g01045	aMAT	2283651	2284698	4.893660407	2.135372491	1.88E-09
MvSl-1064-A2-R4_A2g00817	MvSl-1064-A2-R4_A2g00817	aMAT	1729160	1730001	2.098497259	2.142679175	7.45E-08
MvSl-1064-A2-R4_A2g01574	MvSl-1064-A2-R4_A2g01574	aMAT	3449068	3449912	1.223498097	2.174203847	0.000494914
MvSl-1064-A2-R4_A2g01440	MvSl-1064-A2-R4_A2g01440	aMAT	3190353	3191831	0.893935495	2.178135738	6.90E-06
MvSl-1064-A2-R4_A2g00719	MvSl-1064-A2-R4_A2g00719	aMAT	1531396	1534733	2.866141854	2.183412614	8.19E-07
MvSl-1064-A2-R4_A2g00269	MvSl-1064-A2-R4_A2g00269	aMAT	582611	586186	0.443770874	2.189110368	0.000786899
MvSl-1064-A2-R4_A2g00553	MvSl-1064-A2-R4_A2g00553	aMAT	1157859	1160746	3.663202031	2.201368177	3.75E-08
MvSl-1064-A2-R4_A2g00610	MvSl-1064-A2-R4_A2g00610	aMAT	1289406	1295180	4.297456208	2.204588866	1.27E-09
MvSl-1064-A2-R4_A2g00215	MvSl-1064-A2-R4_A2g00215	aMAT	479153	479374	6.076530093	2.216990029	2.45E-23
MvSl-1064-A2-R4_A2g01046	MvSl-1064-A2-R4_A2g01046	aMAT	2284848	2286178	3.685772296	2.237551412	3.72E-07
MvSl-1064-A2-R4_A2g01456	MvSl-1064-A2-R4_A2g01456	aMAT	3220824	3223693	2.465599864	2.265945149	1.25E-06
MvSl-1064-A2-R4_A2g01245	MvSl-1064-A2-R4_A2g01245	aMAT	2683100	2683291	1.545054579	2.286619277	1.34E-05
MvSl-1064-A2-R4_A2g00116	MvSl-1064-A2-R4_A2g00116	aMAT	252858	254487	0.134717278	2.293228513	3.10E-05
MvSl-1064-A2-R4_A2g01166	MvSl-1064-A2-R4_A2g01166	aMAT	2515286	2516692	0.488210949	2.304273528	0.000107469
MvSl-1064-A2-R4_A2g01301	MvSl-1064-A2-R4_A2g01301	aMAT	2832438	2834254	1.730056776	2.30970506	1.34E-07
MvSl-1064-A2-R4_A2g00174	MvSl-1064-A2-R4_A2g00174	aMAT	401533	401897	5.648150138	2.312046942	5.61E-26
MvSl-1064-A2-R4_A2g00434	MvSl-1064-A2-R4_A2g00434	aMAT	960404	960970	4.232579074	2.313985533	5.26E-09
MvSl-1064-A2-R4_A2g00167	MvSl-1064-A2-R4_A2g00167	aMAT	385448	386018	0.750802055	2.315797798	1.02E-05
MvSl-1064-A2-R4_A2g00685	MvSl-1064-A2-R4_A2g00685	aMAT	1457173	1457415	6.913842049	2.331817943	3.54E-15
MvSl-1064-A2-R4_A2g00278	MvSl-1064-A2-R4_A2g00278	aMAT	605442	608582	0.623514541	2.337732636	1.30E-05
MvSl-1064-A2-R4_A2g00122	MvSl-1064-A2-R4_A2g00122	aMAT	266666	267349	2.228953228	2.354458847	1.47E-09
MvSl-1064-A2-R4_A2g01545	MvSl-1064-A2-R4_A2g01545	aMAT	3390558	3390868	3.035552214	2.367785864	6.68E-12
MvSl-1064-A2-R4_A2g00749	MvSl-1064-A2-R4_A2g00749	aMAT	1588289	1589223	2.960143456	2.379927451	2.68E-12
MvSl-1064-A2-R4_A2g00735	MvSl-1064-A2-R4_A2g00735	aMAT	1559763	1560697	2.960143456	2.379927452	2.68E-12
MvSl-1064-A2-R4_A2g00527	MvSl-1064-A2-R4_A2g00527	aMAT	1115129	1117741	5.322245566	2.389185146	6.06E-22
MvSl-1064-A2-R4_A2g01143	MvSl-1064-A2-R4_A2g01143	aMAT	2470226	2471782	5.228131467	2.39257796	7.08E-07
MvSl-1064-A2-R4_A2g01056	MvSl-1064-A2-R4_A2g01056	aMAT	2299480	2299803	6.19794446	2.414857781	1.67E-30
MvSl-1064-A2-R4_A2g01293	MvSl-1064-A2-R4_A2g01293	aMAT	2809475	2813576	0.995237893	2.44414616	2.16E-05
MvSl-1064-A2-R4_A2g01645	MvSl-1064-A2-R4_A2g01645	aMAT	3627568	3627894	0.772681956	2.453759626	2.10E-05
MvSl-1064-A2-R4_A2g01611	MvSl-1064-A2-R4_A2g01611	aMAT	3535815	3538071	5.798300293	2.471003525	1.09E-24
MvSl-1064-A2-R4_A2g00413	MvSl-1064-A2-R4_A2g00413	aMAT	909307	913427	0.409446235	2.471043008	2.29E-06
MvSl-1064-A2-R4_A2g00142	MvSl-1064-A2-R4_A2g00142	aMAT	326802	328568	2.874144418	2.487735379	4.75E-09
MvSl-1064-A2-R4_A2g01713	MvSl-1064-A2-R4_A2g01713	aMAT	3768699	3769796	1.338045555	2.49799965	0.008886066
MvSl-1064-A2-R4_A2g01497	MvSl-1064-A2-R4_A2g01497	aMAT	3298424	3299981	5.298228899	2.498496372	5.09E-08
MvSl-1064-A2-R4_A2g00625	MvSl-1064-A2-R4_A2g00625	aMAT	1335133	1335486	4.238890276	2.519641057	8.22E-07
MvSl-1064-A2-R4_A2g01599	MvSl-1064-A2-R4_A2g01599	aMAT	3513364	3517122	1.495706396	2.522531765	1.84E-09
MvSl-1064-A2-R4_A2g01319	MvSl-1064-A2-R4_A2g01319	aMAT	2870941	2873713	0.513971368	2.527915101	3.72E-05
MvSl-1064-A2-R4_A2g00529	MvSl-1064-A2-R4_A2g00529	aMAT	1119617	1121023	7.602380184	2.539826081	1.24E-31
MvSl-1064-A2-R4_A2g01221	MvSl-1064-A2-R4_A2g01221	aMAT	2626461	2627611	0.338621563	2.587483956	3.16E-05
MvSl-1064-A2-R4_A2g00155	MvSl-1064-A2-R4_A2g00155	aMAT	349696	351551	8.227413974	2.688035859	1.02E-29
MvSl-1064-A2-R4_A2g00554	MvSl-1064-A2-R4_A2g00554	aMAT	1160864	1161754	1.666973296	2.695154207	2.81E-07
MvSl-1064-A2-R4_A2g00624	MvSl-1064-A2-R4_A2g00624	aMAT	1329762	1334655	3.636781331	2.697627532	1.83E-05
MvSl-1064-A2-R4_A2g01705	MvSl-1064-A2-R4_A2g01705	aMAT	3753765	3756775	6.496608475	2.747758543	3.37E-21
MvSl-1064-A2-R4_A2g00156	MvSl-1064-A2-R4_A2g00156	aMAT	352283	352621	2.645126993	2.766500303	4.30E-06
MvSl-1064-A2-R4_A2g00997	MvSl-1064-A2-R4_A2g00997	aMAT	2150048	2151803	6.956459999	2.778396642	1.42E-35
MvSl-1064-A2-R4_A2g00176	MvSl-1064-A2-R4_A2g00176	aMAT	404255	405790	7.592711124	2.811242874	2.52E-30
MvSl-1064-A2-R4_A2g00958	MvSl-1064-A2-R4_A2g00958	aMAT	2062408	2063079	6.04378425	2.841718453	2.48E-22
MvSl-1064-A2-R4_A2g01055	MvSl-1064-A2-R4_A2g01055	aMAT	2297984	2298706	7.445627091	2.989756238	4.41E-26
MvSl-1064-A2-R4_A2g00981	MvSl-1064-A2-R4_A2g00981	aMAT	2113941	2120835	3.680350628	2.989894123	1.15E-15
MvSl-1064-A2-R4_A2g01297	MvSl-1064-A2-R4_A2g01297	aMAT	2825660	2826820	4.048881835	2.991799804	2.36E-16
MvSl-1064-A2-R4_A2g00157	MvSl-1064-A2-R4_A2g00157	aMAT	352674	353438	2.746318495	3.003331193	2.96E-06
MvSl-1064-A2-R4_A2g01054	MvSl-1064-A2-R4_A2g01054	aMAT	2297255	2297921	8.912914927	3.067872138	3.13E-26
MvSl-1064-A2-R4_A2g01604	MvSl-1064-A2-R4_A2g01604	aMAT	3525851	3527629	0.026926108	3.090393389	2.33E-06
MvSl-1064-A2-R4_A2g01729	MvSl-1064-A2-R4_A2g01729	aMAT	3810838	3813354	6.84443438	3.16163136	3.81E-34
MvSl-1064-A2-R4_A2g01709	MvSl-1064-A2-R4_A2g01709	aMAT	3758851	3759567	0.365428812	3.18352127	3.72E-05
MvSl-1064-A2-R4_A2g01057	MvSl-1064-A2-R4_A2g01057	aMAT	2300250	2300420	3.861387536	3.432838496	2.89E-20
MvSl-1064-A2-R4_A2g01582	MvSl-1064-A2-R4_A2g01582	aMAT	3474616	3477273	6.11623851	3.492820702	8.40E-35
MvSl-1064-A2-R4_A2g00696	MvSl-1064-A2-R4_A2g00696	aMAT	1477968	1478285	3.544113561	3.525978253	2.89E-24
MvSl-1064-A2-R4_A2g00528	MvSl-1064-A2-R4_A2g00528	aMAT	1118344	1119417	8.620103992	3.5642113	3.68E-16
MvSl-1064-A2-R4_A2g01049	MvSl-1064-A2-R4_A2g01049	aMAT	2287819	2289811	0.393133464	3.613283305	1.33E-09
MvSl-1064-A2-R4_A2g00741	MvSl-1064-A2-R4_A2g00741	aMAT	1568415	1569351	3.78625646	3.690199687	7.34E-15
MvSl-1064-A2-R4_A2g01067	MvSl-1064-A2-R4_A2g01067	aMAT	2318831	2319016	1.616271433	3.759472037	4.83E-16
MvSl-1064-A2-R4_A2g00697	MvSl-1064-A2-R4_A2g00697	aMAT	1478454	1479989	12.39845947	3.804737064	1.75E-14
MvSl-1064-A2-R4_A2g01073	MvSl-1064-A2-R4_A2g01073	aMAT	2330179	2330379	13.5996688	3.821903629	2.63E-10
MvSl-1064-A2-R4_A2g01730	MvSl-1064-A2-R4_A2g01730	aMAT	3813478	3813972	0.929301757	3.861810255	9.82E-12
MvSl-1064-A2-R4_A2g01058	MvSl-1064-A2-R4_A2g01058	aMAT	2301521	2302457	4.275411801	4.024026106	8.00E-30
MvSl-1064-A2-R4_A2g00739	MvSl-1064-A2-R4_A2g00739	aMAT	1566368	1567059	5.622540469	4.124769922	2.67E-38
MvSl-1064-A2-R4_A2g01232	MvSl-1064-A2-R4_A2g01232	aMAT	2651160	2655340	5.696877303	4.135301879	4.60E-36
MvSl-1064-A2-R4_A2g00740	MvSl-1064-A2-R4_A2g00740	aMAT	1567430	1567678	6.111794919	4.518283722	1.57E-54
