gida1	Up 	up5k	part8	youngold	haploid	DE
MvSl-1064-A2-R4_MC03g05336	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05337	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05339	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05340	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05341	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05342	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05343	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05344	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05350	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05355	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05356	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05357	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05358	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05360	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05363	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05366	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05368	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05369	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05370	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05371	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05377	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05378	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05381	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05382	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05383	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05386	k5	5	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05388	k5	8	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05390	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05391	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05393	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05397	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05398	k5	5	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05400	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05401	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05404	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05411	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05413	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05414	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05415	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05416	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05417	k5	5	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05418	k5	7	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05421	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05423	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05425	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05432	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05435	k5	2	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05437	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05439	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05441	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05442	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05443	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05444	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05446	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05447	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05452	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05453	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05460	k5	5	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05461	k5	5	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05462	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05468	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05469	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05470	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05471	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05472	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05494	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05498	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05500	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05505	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05507	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05509	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05511	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05513	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05517	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05518	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05519	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05522	k5	2	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05523	k5	2	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05524	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05525	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05526	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05527	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05529	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05530	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05531	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05532	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05533	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05534	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05535	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05538	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05539	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC03g05545	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05547	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05549	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05552	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05555	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05557	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05558	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05562	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05563	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05570	k5	2	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05571	k5	2	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05575	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05582	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05583	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05584	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05601	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05602	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05605	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05606	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05616	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05619	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05622	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05623	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05631	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05633	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05634	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05643	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05644	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05645	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05646	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05647	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05648	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05649	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05667	k5	6	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05669	k5	8	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05689	k5	10	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05692	k5	8	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05696	k5	6	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05717	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05723	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05724	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05726	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05727	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05729	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05730	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05731	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05732	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05733	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05734	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05735	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05736	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05737	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05739	k5	2	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05740	k5	6	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05741	k5	6	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05744	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05751	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05752	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05753	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05754	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05756	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05757	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05758	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05764	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05765	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05766	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05768	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05769	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05771	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05773	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05774	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05775	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05776	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05789	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05790	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05791	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05792	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05796	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05800	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05802	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05803	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05804	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05805	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05807	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05808	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05809	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05811	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05812	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05814	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05815	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05816	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05817	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05818	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05824	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05825	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05829	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05833	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05834	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05836	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05838	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05839	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05840	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05843	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05844	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05848	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05849	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05850	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05851	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05852	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05853	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05855	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05856	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05859	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05860	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05861	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05865	k5	4	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05869	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05871	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05872	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05873	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05874	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05875	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05876	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05877	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05878	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05880	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05883	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05886	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05887	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05888	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05890	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05891	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05892	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05899	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05901	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05906	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05907	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05908	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05909	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05911	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05913	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05914	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05917	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05918	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05919	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05922	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05923	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05925	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05926	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05927	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05928	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05929	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05934	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05935	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05936	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05937	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05939	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05940	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05941	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05942	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05943	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05945	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05946	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05954	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05961	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05962	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05963	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05968	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05970	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05971	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05972	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05973	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05974	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05976	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05977	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05978	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05979	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05980	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05981	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05984	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05985	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05987	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05988	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05989	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05991	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05993	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05994	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05995	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05997	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g05998	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06000	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06003	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06006	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06007	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06009	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06012	k5	1	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06013	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06014	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06015	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06016	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06017	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06023	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06024	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06025	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06026	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06027	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06028	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06033	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06035	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06036	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06037	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06043	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06044	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06045	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06047	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06048	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06049	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06050	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06051	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06052	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06053	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06054	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06056	k5	2	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06061	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06062	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06063	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06064	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06065	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06068	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06069	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06070	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06072	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06073	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06074	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06080	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06081	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06082	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06084	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06085	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06089	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06090	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06096	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06097	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06098	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06099	k5	0	Auto	Auto	A2	NON
MvSl-1064-A2-R4_MC04-1g06101	k5	0	Auto	Auto	A2	NON
