gida1	a1up5k	a1upto10k	a1upto15k	a1upto20k	a1down5k	a1downto10k	a1downto15k	a1downto20k	gida2	a2up5k	a2upto10k	a2upto15k	a2upto20k	a2down5k	a2downto10k	a2downto15k	a2downto20k	upk5diff	upk10diff	upk15diff	upk20diff	downk5diff	downk10diff	downk15diff	downk20diff	part8	youngold	start	end	logCPM	logFC.A1.A2	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE
MvSl-1064-A1-R4_MC12g10931	0	0	0	1	0	0	0	0	MvSl-1064-A2-R4_MC12g11194	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	486838	489205	6.927396191	0.257679296	0.257924721	0.889301954	6.751961038	7.297649193	6.972920149	6.587486568	NON
MvSl-1064-A1-R4_MC06g07188	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC06-2g07453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	906392	910600	5.051536718	0.260105671	0.258389365	0.889963677	5.225697651	5.124262644	4.942090725	4.890312971	NON
MvSl-1064-A1-R4_MC07g07638	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g07903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	266818	269646	7.794287189	0.25359747	0.258822782	0.891114011	7.805500319	8.017745072	7.832179126	7.469129911	NON
MvSl-1064-A1-R4_MC01-2g02981	0	0	0	0	0	0	1	1	MvSl-1064-A2-R4_MC01g03263	0	0	0	0	0	1	1	1	0	0	0	0	0	-1	0	0	Auto	Auto	2602471	2608043	2.610183671	0.37745524	0.259736968	0.893232044	2.675297884	2.889712255	2.54941608	2.266643959	NON
MvSl-1064-A1-R4_MC09-2g09173	0	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC09g09448	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	0	0	Auto	Auto	641339	645038	7.651220643	-0.250751935	0.259723995	0.893232044	7.693536848	7.323678792	7.639662649	7.891427246	NON
MvSl-1064-A1-R4_A1g01017	1	1	2	0	0	0	2	2	MvSl-1064-A2-R4_A2g01279	2	0	0	0	3	1	0	0	-1	1	2	0	-3	-1	2	2	Purple	OldStrata	2165490	2171869	8.213281141	0.258661331	0.260095968	0.893780701	8.215514867	8.448717836	8.083826392	8.072659291	NON
MvSl-1064-A1-R4_MC04-1g06064	1	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC04-2g06346	2	0	0	0	0	0	1	0	-1	0	0	0	0	0	-1	0	Auto	Auto	1914550	1915218	0.605645697	0.516394005	0.260005571	0.893780701	0.750860674	0.916169717	0.188396511	0.497407017	NON
MvSl-1064-A1-R4_MC02g03946	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC02g04224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1843927	1845757	3.647036748	0.326521715	0.260308593	0.894011047	3.717464458	3.880252597	3.514721687	3.438556216	NON
MvSl-1064-A1-R4_MC04-1g05654	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC04-1g05930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	865053	873463	7.12748648	0.227337743	0.260661779	0.894011047	7.310541792	7.158920688	7.156023609	6.846418745	NON
MvSl-1064-A1-R4_MC04-1g06056	0	0	0	0	0	1	0	0	MvSl-1064-A2-R4_MC04-2g06338	0	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	0	Auto	Auto	1893206	1897193	6.788841307	0.208764265	0.260523246	0.894011047	6.982937196	6.78960635	6.62288496	6.736620879	NON
MvSl-1064-A1-R4_MC10-2g10126	1	0	1	0	0	2	1	0	MvSl-1064-A2-R4_MC10g10390	1	0	1	0	0	2	1	1	0	0	0	0	0	0	0	-1	Auto	Auto	1997	3361	6.218133938	0.218920517	0.260623582	0.894011047	6.167646727	6.463987232	6.10948781	6.100191286	NON
MvSl-1064-A1-R4_MC13g11300	0	0	0	3	0	0	2	1	MvSl-1064-A2-R4_MC13g11561	0	0	0	5	0	0	5	1	0	0	0	-2	0	0	-3	0	Auto	Auto	53096	53675	1.226483442	0.47968615	0.260598367	0.894011047	1.454217731	1.435888721	1.268301815	0.630114729	NON
MvSl-1064-A1-R4_MC02g03843	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC02g04121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1620217	1621879	6.03996737	-0.23732705	0.261023234	0.894094118	5.732607835	6.079249842	6.275710145	6.019810437	NON
MvSl-1064-A1-R4_MC04-1g05581	0	0	0	0	0	0	2	0	MvSl-1064-A2-R4_MC04-1g05857	0	0	0	0	0	0	4	0	0	0	0	0	0	0	-2	0	Auto	Auto	680987	682322	4.43164345	0.287599643	0.260906918	0.894094118	4.664820494	4.46539231	4.321740696	4.24124101	NON
MvSl-1064-A1-R4_MC08g08775	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC08-2g09056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1301232	1301396	6.968547498	0.211096648	0.26108506	0.894094118	6.995543354	7.14125626	6.953527646	6.758534391	NON
MvSl-1064-A1-R4_MC11g10581	0	0	1	1	0	0	0	0	MvSl-1064-A2-R4_MC11g10845	0	0	1	2	0	0	0	0	0	0	0	-1	0	0	0	0	Auto	Auto	1056234	1057961	5.909172657	0.224157815	0.26106884	0.894094118	6.026194568	6.007653696	5.816427388	5.769449518	NON
MvSl-1064-A1-R4_MC01-1g01828	0	0	0	0	1	0	2	0	MvSl-1064-A2-R4_MC01g02109	0	0	0	0	1	0	3	0	0	0	0	0	0	0	-1	0	Auto	Auto	164989	167859	5.545509086	-0.232334417	0.261625008	0.895600964	5.396566144	5.452147329	5.604276351	5.706960846	NON
MvSl-1064-A1-R4_MC12g11128	0	0	0	0	0	0	0	3	MvSl-1064-A2-R4_MC12g11391	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	-3	Auto	Auto	983336	984982	5.116748384	0.314814841	0.261913953	0.896247746	5.211359325	5.317993231	5.303413602	4.485630994	NON
MvSl-1064-A1-R4_MC09-2g08937	0	0	0	1	0	2	0	0	MvSl-1064-A2-R4_MC09g09212	0	0	0	1	0	3	0	0	0	0	0	0	0	-1	0	0	Auto	Auto	75382	75985	7.059893244	-0.213011353	0.26205067	0.896373324	7.013953413	6.881969587	7.082653699	7.237797089	NON
MvSl-1064-A1-R4_MC01-1g01720	0	0	0	0	2	0	0	0	MvSl-1064-A2-R4_MC01g02001	0	0	0	0	3	0	0	0	0	0	0	0	-1	0	0	0	Auto	Auto	42721	43005	6.749096533	-0.205554712	0.262752637	0.897496987	6.683121689	6.601042797	6.772753958	6.919562577	NON
MvSl-1064-A1-R4_MC01-1g02781	0	1	0	0	1	1	1	0	MvSl-1064-A2-R4_MC01g03063	0	4	0	0	1	1	1	0	0	-3	0	0	0	0	0	0	Auto	Auto	2136758	2138730	4.629965726	-0.274978774	0.262624073	0.897496987	4.398072574	4.568510245	4.82006334	4.69708069	NON
MvSl-1064-A1-R4_MC03g04864	0	1	0	0	0	0	1	0	MvSl-1064-A2-R4_MC03g05142	0	1	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	Auto	Auto	1499335	1502056	2.287660083	0.406629636	0.262850789	0.897496987	2.675297884	2.248371186	1.878945309	2.252986714	NON
MvSl-1064-A1-R4_MC06g07531	0	0	0	0	0	0	1	0	MvSl-1064-A2-R4_MC06-2g07796	0	0	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	Auto	Auto	1	8398	6.662219282	0.217100997	0.262879892	0.897496987	6.606925382	6.910466432	6.629505459	6.465484241	NON
MvSl-1064-A1-R4_MC07g07580	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g07845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	123980	126397	2.277348392	-0.429313826	0.262809403	0.897496987	2.26356971	1.796069305	2.108591968	2.75735584	NON
MvSl-1064-A1-R4_MC01-1g02174	2	0	0	0	2	0	0	0	MvSl-1064-A2-R4_MC01g02456	5	0	0	0	5	0	0	0	-3	0	0	0	-3	0	0	0	Auto	Auto	663794	665795	5.041758282	0.260105104	0.264214789	0.898545359	5.1906256	5.141089869	4.810772635	4.996576357	NON
MvSl-1064-A1-R4_MC02g03382	0	1	1	2	0	0	0	2	MvSl-1064-A2-R4_MC02g03662	0	2	5	2	0	0	0	4	0	-1	-4	0	0	0	0	-2	Auto	Auto	563925	564206	6.802097376	0.202762866	0.263668485	0.898545359	6.843130625	6.954565078	6.664740456	6.729241778	NON
MvSl-1064-A1-R4_MC02g03557	0	0	0	0	0	0	1	0	MvSl-1064-A2-R4_MC02g03835	0	0	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	Auto	Auto	943327	944277	2.971919057	-0.353377841	0.264256776	0.898545359	2.916613683	2.640341333	3.145001142	3.122853716	NON
MvSl-1064-A1-R4_MC04-1g05570	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC04-1g05846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	651485	655274	6.554631615	-0.255989372	0.263418471	0.898545359	6.22586837	6.592656757	6.922594085	6.380107944	NON
MvSl-1064-A1-R4_MC06g07097	8	3	3	1	9	2	0	3	MvSl-1064-A2-R4_MC06-2g07362	9	3	4	1	11	2	0	4	-1	0	-1	0	-2	0	0	-1	Auto	Auto	683801	684673	0.926733665	-0.662883228	0.263720845	0.898545359	1.110078419	-0.298739211	0.298845411	1.748979932	NON
MvSl-1064-A1-R4_MC06g07170	0	1	1	0	0	0	0	0	MvSl-1064-A2-R4_MC06-2g07435	0	2	2	0	0	0	0	0	0	-1	-1	0	0	0	0	0	Auto	Auto	863852	865093	3.538042488	0.38666818	0.263896817	0.898545359	4.019740866	3.339442528	3.013500968	3.598298877	NON
MvSl-1064-A1-R4_MC07g08228	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g08493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1700283	1701941	6.37948559	0.247633695	0.264355742	0.898545359	6.280850734	6.686631133	6.456368093	6.010709102	NON
MvSl-1064-A1-R4_MC08g08357	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC08-1g08622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	319491	320700	5.484098672	0.257990304	0.264258223	0.898545359	5.487769552	5.717737676	5.546678109	5.122083906	NON
MvSl-1064-A1-R4_MC12g10966	1	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC12g11229	2	0	0	0	2	0	0	0	-1	0	0	0	-1	0	0	0	Auto	Auto	573304	578256	2.010987553	-0.418200355	0.264427161	0.898545359	1.904772445	1.662584584	1.94837163	2.408913568	NON
MvSl-1064-A1-R4_MC12g11232	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC12g11495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1236394	1237400	7.093735631	0.224200709	0.263717722	0.898545359	7.352213263	7.033290936	6.890982702	7.059022815	NON
MvSl-1064-A1-R4_MC12g11272	1	0	0	0	0	2	1	2	MvSl-1064-A2-R4_MC12g11535	2	0	0	0	0	2	1	2	-1	0	0	0	0	0	0	0	Auto	Auto	1350494	1352994	3.957979773	-0.315397241	0.263531903	0.898545359	3.790933722	3.792443285	4.237572487	3.95950417	NON
MvSl-1064-A1-R4_MC01-1g02338	0	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC01g02620	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	0	0	Auto	Auto	1044276	1045403	4.832360486	-0.267706207	0.26467004	0.898584653	4.763587766	4.617430843	4.863395089	5.04888742	NON
MvSl-1064-A1-R4_MC04-1g05975	0	0	0	0	0	1	1	0	MvSl-1064-A2-R4_MC04-1g06251	0	0	0	0	1	3	1	0	0	0	0	0	-1	-2	0	0	Auto	Auto	1652222	1653471	5.860710943	-0.224899459	0.264702464	0.898584653	5.77361503	5.713524989	5.923745656	6.011723202	NON
MvSl-1064-A1-R4_MC13g11334	2	0	1	1	1	1	0	0	MvSl-1064-A2-R4_MC13g11595	3	0	1	1	2	1	0	0	-1	0	0	0	-1	0	0	0	Auto	Auto	141446	144203	5.616820915	-0.308183452	0.264929192	0.899013791	5.401987558	5.505102653	6.152413417	5.22535398	NON
MvSl-1064-A1-R4_MC04-1g05594	0	0	0	2	0	0	0	0	MvSl-1064-A2-R4_MC04-1g05870	0	0	0	4	0	0	0	0	0	0	0	-2	0	0	0	0	Auto	Auto	711489	712112	5.407290652	0.241991392	0.265194126	0.899572203	5.492859431	5.553042764	5.376077338	5.180967328	NON
MvSl-1064-A1-R4_MC12g11188	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC12g11451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1111463	1114020	5.631956212	0.254128448	0.265334088	0.899706432	5.54115736	5.938347445	5.659663049	5.320086692	NON
MvSl-1064-A1-R4_MC06g07283	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC06-2g07548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1168512	1171138	4.494504652	-0.308155936	0.265480355	0.89986193	4.568466755	4.050236672	4.485425023	4.777981888	NON
MvSl-1064-A1-R4_MC01-1g01752	0	1	0	0	0	1	1	0	MvSl-1064-A2-R4_MC01g02033	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	Auto	Auto	78390	79692	3.19119639	0.386261808	0.265725526	0.900352426	2.916613683	3.715888012	3.069107025	2.904381334	NON
MvSl-1064-A1-R4_MC06g07317	0	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC06-2g07582	0	0	0	0	3	0	0	0	0	0	0	0	-2	0	0	0	Auto	Auto	1238303	1240182	6.012619688	-0.216934043	0.265876987	0.900525153	5.954214753	5.843865074	6.092336907	6.140617758	NON
MvSl-1064-A1-R4_MC02g03907	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC02g04185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1755699	1757250	3.021771718	-0.347949614	0.26607564	0.900857532	2.926679098	2.743113265	3.258693228	3.100149928	NON
MvSl-1064-A1-R4_MC01-2g03160	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC01g03440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	6325	9686	6.219160426	-0.213103439	0.267265726	0.902500166	6.029700987	6.183442286	6.218016593	6.418083205	NON
MvSl-1064-A1-R4_MC03g04318	0	0	0	0	0	2	2	0	MvSl-1064-A2-R4_MC03g04596	0	0	0	0	0	2	3	0	0	0	0	0	0	0	-1	0	Auto	Auto	166972	168661	6.277874217	0.215812435	0.26707352	0.902500166	6.23399721	6.515711278	6.197667161	6.134113415	NON
MvSl-1064-A1-R4_MC03g04623	0	0	0	0	0	1	0	0	MvSl-1064-A2-R4_MC03g04901	0	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	0	Auto	Auto	900470	901940	0.639860407	0.531613317	0.267045356	0.902500166	0.704812036	1.028955571	0.712061354	-0.06145975	NON
MvSl-1064-A1-R4_MC03g05014	0	0	0	0	3	0	1	1	MvSl-1064-A2-R4_MC03g05291	0	0	0	0	8	0	2	4	0	0	0	0	-5	0	-1	-3	Auto	Auto	1853421	1857660	4.176931366	-0.29845536	0.267204852	0.902500166	4.070556224	3.967746713	4.237572487	4.39215886	NON
MvSl-1064-A1-R4_MC07g08211	0	1	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g08476	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1651508	1652051	9.557982632	0.348153753	0.267167146	0.902500166	9.963297488	9.431092084	9.151958374	9.565473284	NON
MvSl-1064-A1-R4_MC08g08807	0	0	0	0	3	1	0	1	MvSl-1064-A2-R4_MC08-2g09088	0	0	0	0	4	1	0	2	0	0	0	0	-1	0	0	-1	Auto	Auto	1391036	1394740	5.185832129	0.24898949	0.267227238	0.902500166	5.367302754	5.240082583	4.971571595	5.137031601	NON
MvSl-1064-A1-R4_MC04-1g05932	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC04-1g06208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1554327	1556717	3.588689168	-0.336080943	0.267577909	0.903214019	3.264899547	3.54307769	3.592682951	3.881767134	NON
MvSl-1064-A1-R4_MC01-1g02771	0	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC01g03053	0	0	0	0	0	4	0	0	0	0	0	0	1	-4	0	0	Auto	Auto	2097780	2103181	5.312391481	-0.252601918	0.267681075	0.903222062	5.32607112	5.018956751	5.371345309	5.491259756	NON
MvSl-1064-A1-R4_MC01-1g02693	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC01g02975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1895282	1895546	6.591529255	0.218044277	0.268253981	0.903454406	6.551087564	6.828433381	6.544481925	6.409644738	NON
MvSl-1064-A1-R4_MC06g06914	0	1	1	1	0	0	0	0	MvSl-1064-A2-R4_MC06-1g07177	0	1	2	1	0	0	0	0	0	0	-1	0	0	0	0	0	Auto	Auto	174181	174333	4.713181628	0.266774825	0.268118105	0.903454406	4.788638448	4.890504329	4.64554023	4.50015577	NON
MvSl-1064-A1-R4_MC08g08628	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC08-1g08893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	989182	991075	0.179272908	-0.761053285	0.268189081	0.903454406	0.449547153	-1.503819643	-0.451044639	1.033092483	NON
MvSl-1064-A1-R4_MC09-2g09408	0	0	1	0	0	0	0	0	MvSl-1064-A2-R4_MC09g09682	0	0	2	0	0	0	0	0	0	0	-1	0	0	0	0	0	Auto	Auto	1248328	1248662	4.495163663	-0.294783711	0.268052863	0.903454406	4.13708589	4.517872387	4.760989918	4.494363396	NON
MvSl-1064-A1-R4_MC11g10350	0	1	0	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10611	0	3	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	Auto	Auto	461467	461709	6.996023032	0.297704002	0.268246006	0.903454406	6.711052816	7.465702379	7.115566831	6.498413277	NON
MvSl-1064-A1-R4_MC01-1g02103	0	1	0	0	0	0	0	0	MvSl-1064-A2-R4_MC01g02384	0	2	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	Auto	Auto	524920	526616	6.601700949	0.236947709	0.268718789	0.904125287	6.51151023	6.893808332	6.641346332	6.295201754	NON
MvSl-1064-A1-R4_MC03g04418	0	0	0	0	0	0	1	0	MvSl-1064-A2-R4_MC03g04696	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Auto	Auto	405806	407848	4.770781348	0.263825424	0.268755832	0.904125287	4.832126497	4.958534908	4.611165868	4.656160342	NON
MvSl-1064-A1-R4_MC12g11197	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC12g11460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1134806	1135462	6.405852762	-0.220522288	0.26895518	0.904456407	6.463921172	6.095528429	6.51546622	6.507787844	NON
MvSl-1064-A1-R4_MC03g04753	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC03g05031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1224147	1225483	6.128866923	-0.230119566	0.269247527	0.904760533	5.810773967	6.183442286	6.33361971	6.137833773	NON
MvSl-1064-A1-R4_MC08g08578	0	0	0	1	0	0	0	0	MvSl-1064-A2-R4_MC08-1g08843	0	0	0	2	0	0	0	0	0	0	0	-1	0	0	0	0	Auto	Auto	842914	843590	1.066598788	0.47693041	0.269150514	0.904760533	1.144984764	1.408352334	0.587027488	1.033092483	NON
MvSl-1064-A1-R4_MC15g12036	1	0	0	0	1	1	0	0	MvSl-1064-A2-R4_MC15g12285	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	Auto	Auto	58776	61101	3.320585749	0.358390271	0.26945994	0.905134925	3.734754012	3.193819583	2.988997665	3.265714861	NON
MvSl-1064-A1-R4_MC06g07456	0	0	0	0	0	1	0	0	MvSl-1064-A2-R4_MC06-2g07721	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1555381	1558060	7.069113567	0.204573435	0.269922954	0.906350511	7.173558615	7.162015612	6.932800722	6.993289287	NON
MvSl-1064-A1-R4_MC02g03898	0	0	1	0	0	0	0	0	MvSl-1064-A2-R4_MC02g04176	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1731607	1732757	4.170626927	-0.297822188	0.270036108	0.906390862	3.976790751	4.050236672	4.404359651	4.209773204	NON
MvSl-1064-A1-R4_MC03g04625	0	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC03g04903	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	0	0	Auto	Auto	904055	906311	0.404608859	-0.556656502	0.27043271	0.906880966	-0.451579696	0.512737124	0.712061354	0.543012817	NON
MvSl-1064-A1-R4_MC05-2g06464	2	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC05g06738	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	304681	306040	6.179666617	-0.317392241	0.270419776	0.906880966	5.651480879	6.300410982	6.697245916	5.833937633	NON
MvSl-1064-A1-R4_MC06g07151	1	0	0	0	1	0	0	0	MvSl-1064-A2-R4_MC06-2g07416	3	0	0	0	1	0	0	0	-2	0	0	0	0	0	0	0	Auto	Auto	813603	815324	3.676951896	0.364559353	0.270485698	0.906880966	3.49200797	4.132477613	3.712267106	3.217306241	NON
MvSl-1064-A1-R4_MC01-1g01982	1	2	0	0	0	0	0	0	MvSl-1064-A2-R4_MC01g02263	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	364490	366279	3.315883949	-0.336273869	0.271109549	0.907387273	3.114511014	3.16119536	3.318915466	3.60905982	NON
MvSl-1064-A1-R4_MC02g04063	0	0	0	0	0	0	0	1	MvSl-1064-A2-R4_MC02g04341	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Auto	Auto	2136373	2136573	5.802976875	0.234175125	0.271053523	0.907387273	5.78886957	6.031540036	5.766842801	5.590976054	NON
MvSl-1064-A1-R4_MC04-1g05344	0	1	0	0	0	0	0	0	MvSl-1064-A2-R4_MC04-1g05621	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	112201	113454	5.553108158	0.355603215	0.271446695	0.907387273	5.052669351	6.174275134	5.616325243	5.060694521	NON
MvSl-1064-A1-R4_MC06g07467	0	0	1	0	0	0	0	0	MvSl-1064-A2-R4_MC06-2g07732	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1585974	1586246	10.87404228	0.566255135	0.271259176	0.907387273	10.14872559	11.70808042	11.02879698	9.871915613	NON
MvSl-1064-A1-R4_MC07g07689	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g07954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	363848	365814	6.533959047	-0.209889997	0.271259297	0.907387273	6.310941692	6.530953468	6.632804351	6.636959754	NON
MvSl-1064-A1-R4_MC09-2g09088	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC09g09363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	424509	425712	8.832941986	0.280321953	0.271357436	0.907387273	8.900194619	9.029528208	8.764895879	8.602640407	NON
MvSl-1064-A1-R4_MC12g10995	0	0	1	0	0	0	0	0	MvSl-1064-A2-R4_MC12g11258	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	645445	647078	6.664639046	0.207957508	0.271005868	0.907387273	6.735593549	6.793602934	6.685856843	6.415786696	NON
MvSl-1064-A1-R4_MC12g11160	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC12g11423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1053551	1056544	2.599301448	0.403371459	0.271161594	0.907387273	3.078850222	2.423646192	2.15338262	2.593628785	NON
MvSl-1064-A1-R4_MC13g11519	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC13g11780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	567560	569188	4.911807423	0.326609907	0.271635169	0.907678743	5.376511488	4.670553708	4.437937985	4.990416571	NON
MvSl-1064-A1-R4_MC03g04620	0	0	0	0	0	0	1	0	MvSl-1064-A2-R4_MC03g04898	0	0	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	Auto	Auto	895188	895502	5.870063019	0.305119923	0.271765997	0.907777438	5.513041254	6.385840467	5.895459533	5.49706458	NON
MvSl-1064-A1-R4_MC11g10387	0	2	0	0	0	0	0	0	MvSl-1064-A2-R4_MC11g10649	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	583486	585879	6.454560435	-0.257126182	0.271963296	0.908098009	5.997832121	6.583452411	6.759535423	6.36828016	NON
MvSl-1064-A1-R4_MC01-1g02780	0	1	0	0	0	1	1	1	MvSl-1064-A2-R4_MC01g03062	0	4	0	0	0	1	1	1	0	-3	0	0	0	0	0	0	Auto	Auto	2127734	2131703	3.564242575	-0.330084115	0.272436664	0.908662962	3.25694345	3.511072517	3.598093666	3.827513321	NON
MvSl-1064-A1-R4_MC07g07688	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g07953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	361884	363308	6.062387968	0.211355615	0.272417592	0.908662962	6.131116294	6.196581732	5.960967941	5.94533952	NON
MvSl-1064-A1-R4_MC07g07853	2	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g08118	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	770806	771657	1.694778186	-0.483222937	0.272421979	0.908662962	1.77707813	0.992331312	1.470630915	2.239198945	NON
MvSl-1064-A1-R4_MC03g04575	0	0	2	0	0	0	0	0	MvSl-1064-A2-R4_MC03g04853	0	0	3	0	0	0	0	0	0	0	-1	0	0	0	0	0	Auto	Auto	797211	798213	6.115903131	0.244931473	0.272750911	0.909034461	5.926895635	6.485558859	6.050520592	5.923952191	NON
MvSl-1064-A1-R4_MC07g08093	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g08358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	1370639	1371031	5.736021658	0.29044034	0.272714659	0.909034461	5.475822864	6.185471545	5.777612474	5.360449549	NON
MvSl-1064-A1-R4_MC07g07622	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC07g07887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	234201	235705	6.327315524	-0.204338767	0.273124683	0.909630864	6.305166409	6.132812366	6.412512355	6.438588928	NON
MvSl-1064-A1-R4_MC08g08435	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC08-1g08700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Auto	Auto	494140	495699	6.366538573	0.28125438	0.273132856	0.909630864	6.114701118	6.804206677	6.466017583	5.921795916	NON
MvSl-1064-A1-R4_MC09-1g08914	0	0	0	0	0	0	0	0	MvSl-1064-A2-R4_MC09g09196	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	Auto	Auto	50601	52023	4.319852608	0.287814577	0.273387598	0.909803066	4.562023732	4.34346876	4.166513371	4.17398462	NON
