gid	location	chr	start	end	log2FC	intron_nr	mean	sum	group
MvSl-1064-A1-R4_MC01-2g03042	MvSl-1064-A1-R4_MC01-1	Chr01	2747163	2748556	-0.028009876	2	234364	74.5	NONDE
MvSl-1064-A1-R4_MC01-2g03043	MvSl-1064-A1-R4_MC01-1	Chr01	2748814	2750211	0.247218457	4	237965	78.5	NONDE
MvSl-1064-A1-R4_MC01-2g03044	MvSl-1064-A1-R4_MC01-1	Chr01	2750509	2752780	-0.292316662	1	239162	59	NONDE
MvSl-1064-A1-R4_MC01-2g03046	MvSl-1064-A1-R4_MC01-1	Chr01	2756607	2756837	0.055717757	1	241092	52	NONDE
MvSl-1064-A1-R4_MC01-2g03047	MvSl-1064-A1-R4_MC01-1	Chr01	2757543	2762711	-0.092138264	3	243695	88	NONDE
MvSl-1064-A1-R4_MC01-2g03048	MvSl-1064-A1-R4_MC01-1	Chr01	2763429	2765433	-0.047918795	4	244869	82	NONDE
MvSl-1064-A1-R4_MC01-2g03049	MvSl-1064-A1-R4_MC01-1	Chr01	2767972	2768481	-0.053682239	6	250017	117	NONDE
MvSl-1064-A1-R4_MC01-2g03050	MvSl-1064-A1-R4_MC01-1	Chr01	2768824	2769346	-0.000559928	17	261702	108.412	NONDE
MvSl-1064-A1-R4_MC01-2g03051	MvSl-1064-A1-R4_MC01-1	Chr01	2769889	2770391	0.034073704	1	262981	110	NONDE
MvSl-1064-A1-R4_MC01-2g03052	MvSl-1064-A1-R4_MC01-1	Chr01	2770550	2771865	0.152091049	9	263740	96.3333	NONDE
MvSl-1064-A1-R4_MC01-2g03053	MvSl-1064-A1-R4_MC01-1	Chr01	2771954	2773018	-0.208150497	1	266180	134	NONDE
MvSl-1064-A1-R4_MC01-2g03054	MvSl-1064-A1-R4_MC01-1	Chr01	2774288	2775532	-0.070860394	4	267391	83.25	NONDE
MvSl-1064-A1-R4_MC01-2g03055	MvSl-1064-A1-R4_MC01-1	Chr01	2775680	2776062	0.199602748	3	268538	93	NONDE
MvSl-1064-A1-R4_MC01-2g03056	MvSl-1064-A1-R4_MC01-1	Chr01	2776267	2779518	-0.160921297	2	270490	156	NONDE
MvSl-1064-A1-R4_MC01-2g03057	MvSl-1064-A1-R4_MC01-1	Chr01	2779684	2780708	0.247032294	3	271672	180.667	NONDE
MvSl-1064-A1-R4_MC01-2g03058	MvSl-1064-A1-R4_MC01-1	Chr01	2781776	2782952	0.012637271	1	276132	75	NONDE
MvSl-1064-A1-R4_MC01-2g03059	MvSl-1064-A1-R4_MC01-1	Chr01	2783083	2783427	0.068601218	15	278217	99.5333	NONDE
MvSl-1064-A1-R4_MC01-2g03061	MvSl-1064-A1-R4_MC01-1	Chr01	2788283	2792682	-0.167342618	4	287900	109.75	NONDE
MvSl-1064-A1-R4_MC01-2g03062	MvSl-1064-A1-R4_MC01-1	Chr01	2792738	2793184	-0.115008539	3	293647	71.3333	NONDE
MvSl-1064-A1-R4_MC01-2g03063	MvSl-1064-A1-R4_MC01-1	Chr01	2793324	2799844	0.645107618	4	299040	76	NONDE
MvSl-1064-A1-R4_MC01-2g03064	MvSl-1064-A1-R4_MC01-1	Chr01	2799964	2802814	0.402590083	5	300389	118.8	NONDE
MvSl-1064-A1-R4_MC01-2g03065	MvSl-1064-A1-R4_MC01-1	Chr01	2802877	2803656	0.326046765	5	304513	98	NONDE
MvSl-1064-A1-R4_MC01-2g03066	MvSl-1064-A1-R4_MC01-1	Chr01	2803803	2805586	-0.094238405	12	308888	82.4167	NONDE
MvSl-1064-A1-R4_MC01-2g03068	MvSl-1064-A1-R4_MC01-1	Chr01	2808163	2811750	0.241049506	2	318914	107	NONDE
MvSl-1064-A1-R4_MC01-2g03069	MvSl-1064-A1-R4_MC01-1	Chr01	2811814	2812791	-0.228765483	1	319433	59	NONDE
MvSl-1064-A1-R4_MC01-2g03072	MvSl-1064-A1-R4_MC01-1	Chr01	2815756	2817732	-0.087794721	6	326662	80.5	NONDE
MvSl-1064-A1-R4_MC01-2g03074	MvSl-1064-A1-R4_MC01-1	Chr01	2819573	2819974	-0.142472524	2	328498	73.5	NONDE
MvSl-1064-A1-R4_MC01-2g03075	MvSl-1064-A1-R4_MC01-1	Chr01	2821947	2826170	0.175326033	5	330691	112.2	NONDE
MvSl-1064-A1-R4_MC01-2g03076	MvSl-1064-A1-R4_MC01-1	Chr01	2826363	2827842	0.000416766	7	334207	89.2857	NONDE
MvSl-1064-A1-R4_MC01-2g03077	MvSl-1064-A1-R4_MC01-1	Chr01	2828397	2829105	-0.561552924	3	336549	98.3333	NONDE
MvSl-1064-A1-R4_MC01-2g03078	MvSl-1064-A1-R4_MC01-1	Chr01	2829814	2830219	0.003834309	1	337954	41	NONDE
MvSl-1064-A1-R4_MC01-2g03079	MvSl-1064-A1-R4_MC01-1	Chr01	2831368	2831578	-0.049708861	3	340020	78	NONDE
MvSl-1064-A1-R4_MC01-2g03080	MvSl-1064-A1-R4_MC01-1	Chr01	2832020	2832386	-0.26337279	5	341482	110.2	NONDE
MvSl-1064-A1-R4_MC01-2g03082	MvSl-1064-A1-R4_MC01-1	Chr01	2835119	2835367	0.476070639	3	348167	82	NONDE
MvSl-1064-A1-R4_MC01-2g03083	MvSl-1064-A1-R4_MC01-1	Chr01	2835571	2837178	0.583356041	1	349896	74	NONDE
MvSl-1064-A1-R4_MC01-2g03084	MvSl-1064-A1-R4_MC01-1	Chr01	2838190	2841891	0.166961577	1	350486	104	NONDE
MvSl-1064-A1-R4_MC01-2g03085	MvSl-1064-A1-R4_MC01-1	Chr01	2842320	2845734	0.775228024	5	353011	99.6	NONDE
MvSl-1064-A1-R4_MC01-2g03086	MvSl-1064-A1-R4_MC01-1	Chr01	2846622	2847783	0.465966887	4	356817	110.75	NONDE
MvSl-1064-A1-R4_MC01-2g03087	MvSl-1064-A1-R4_MC01-1	Chr01	2848608	2849168	0.013399701	5	359621	124.6	NONDE
MvSl-1064-A1-R4_MC01-2g03094	MvSl-1064-A1-R4_MC01-1	Chr01	2850586	2850795	-0.513050695	4	373279	125	NONDE
MvSl-1064-A1-R4_MC01-2g03095	MvSl-1064-A1-R4_MC01-1	Chr01	2850841	2851251	0.500448521	2	375161	222.5	NONDE
MvSl-1064-A1-R4_MC01-2g03096	MvSl-1064-A1-R4_MC01-1	Chr01	2853715	2853975	-0.796479286	1	376510	223	NONDE
MvSl-1064-A1-R4_MC01-2g03097	MvSl-1064-A1-R4_MC01-1	Chr01	2854589	2854837	0.012179203	6	378041	77.8333	NONDE
MvSl-1064-A1-R4_MC01-2g03098	MvSl-1064-A1-R4_MC01-1	Chr01	2854989	2857000	-0.038426455	5	381037	87.8	NONDE
MvSl-1064-A1-R4_MC01-2g03099	MvSl-1064-A1-R4_MC01-1	Chr01	2857315	2860069	-0.346177588	1	382461	80	NONDE
MvSl-1064-A1-R4_MC01-2g03100	MvSl-1064-A1-R4_MC01-1	Chr01	2860657	2861037	-0.456832445	1	383825	203	NONDE
MvSl-1064-A1-R4_MC01-2g03103	MvSl-1064-A1-R4_MC01-1	Chr01	2861503	2861832	-0.51910631	4	388430	70.75	NONDE
MvSl-1064-A1-R4_MC01-2g03104	MvSl-1064-A1-R4_MC01-1	Chr01	2862188	2867899	0.117879687	4	391813	121.75	NONDE
MvSl-1064-A1-R4_MC01-2g03105	MvSl-1064-A1-R4_MC01-1	Chr01	2868075	2868376	0.221710429	12	394731	71.3333	NONDE
MvSl-1064-A1-R4_MC01-2g03108	MvSl-1064-A1-R4_MC01-1	Chr01	2875631	2875861	0.101005574	13	402961	113.385	NONDE
MvSl-1064-A1-R4_MC01-2g03109	MvSl-1064-A1-R4_MC01-1	Chr01	2875944	2876369	-0.350322904	1	410029	79	NONDE
MvSl-1064-A1-R4_MC01-2g03111	MvSl-1064-A1-R4_MC01-1	Chr01	2877127	2877318	0.049883133	1	411982	74	NONDE
MvSl-1064-A1-R4_MC01-2g03112	MvSl-1064-A1-R4_MC01-1	Chr01	2877538	2877804	0.761168965	6	414812	79.3333	NONDE
MvSl-1064-A1-R4_MC01-2g03116	MvSl-1064-A1-R4_MC01-1	Chr01	2888322	2891908	0.139626863	1	420072	82	NONDE
MvSl-1064-A1-R4_MC01-2g03117	MvSl-1064-A1-R4_MC01-1	Chr01	2894136	2896739	0.160823778	7	422442	95.7143	NONDE
MvSl-1064-A1-R4_MC01-2g03119	MvSl-1064-A1-R4_MC01-1	Chr01	2905207	2909973	0.968006365	3	426294	149.667	NONDE
MvSl-1064-A1-R4_MC01-2g03120	MvSl-1064-A1-R4_MC01-1	Chr01	2910327	2910593	-0.087094295	4	429000	69	NONDE
MvSl-1064-A1-R4_MC01-2g03121	MvSl-1064-A1-R4_MC01-1	Chr01	2910859	2915865	0.062771834	2	434719	71.5	NONDE
MvSl-1064-A1-R4_MC01-2g03122	MvSl-1064-A1-R4_MC01-1	Chr01	2915973	2919214	-0.338163727	2	437115	142	NONDE
MvSl-1064-A1-R4_MC01-2g03124	MvSl-1064-A1-R4_MC01-1	Chr01	2921213	2923650	0.07457871	4	443178	117.75	NONDE
MvSl-1064-A1-R4_MC01-2g03125	MvSl-1064-A1-R4_MC01-1	Chr01	2924031	2924804	0.206428008	4	444859	97.75	NONDE
MvSl-1064-A1-R4_MC01-2g03127	MvSl-1064-A1-R4_MC01-1	Chr01	2931423	2933723	-0.056510407	10	448400	71.8	NONDE
MvSl-1064-A1-R4_MC01-2g03128	MvSl-1064-A1-R4_MC01-1	Chr01	2945334	2953049	0.142745589	3	454599	112.667	NONDE
MvSl-1064-A1-R4_MC01-2g03129	MvSl-1064-A1-R4_MC01-1	Chr01	2953092	2954208	-0.206885839	3	455745	161.333	NONDE
MvSl-1064-A1-R4_MC01-2g03130	MvSl-1064-A1-R4_MC01-1	Chr01	2955596	2963361	-0.005173942	2	458157	327	NONDE
MvSl-1064-A1-R4_MC01-2g03131	MvSl-1064-A1-R4_MC01-1	Chr01	2964163	2966960	0.00177142	5	461329	91.2	NONDE
MvSl-1064-A1-R4_MC01-2g03132	MvSl-1064-A1-R4_MC01-1	Chr01	2968589	2973348	-0.001582662	9	462383	79.7778	NONDE
MvSl-1064-A1-R4_MC01-2g03133	MvSl-1064-A1-R4_MC01-1	Chr01	2982572	2985368	-0.182075115	10	466316	75.4	NONDE
MvSl-1064-A1-R4_MC01-2g03134	MvSl-1064-A1-R4_MC01-1	Chr01	2985681	2993090	0.169080901	7	469485	79.7143	NONDE
MvSl-1064-A1-R4_MC01-2g03135	MvSl-1064-A1-R4_MC01-1	Chr01	2993416	3001515	-0.065001447	1	473729	74	NONDE
MvSl-1064-A1-R4_MC01-2g03136	MvSl-1064-A1-R4_MC01-1	Chr01	3004107	3015419	0.188891137	5	477750	118	NONDE
MvSl-1064-A1-R4_MC01-2g03137	MvSl-1064-A1-R4_MC01-1	Chr01	3023793	3027465	0.104575773	11	480998	89.5455	NONDE
MvSl-1064-A1-R4_MC01-2g03138	MvSl-1064-A1-R4_MC01-1	Chr01	3027756	3032363	0.339425437	9	483982	86.4444	NONDE
MvSl-1064-A1-R4_MC01-2g03139	MvSl-1064-A1-R4_MC01-1	Chr01	3032678	3033394	0.33466533	8	486154	81.625	NONDE
MvSl-1064-A1-R4_MC01-2g03140	MvSl-1064-A1-R4_MC01-1	Chr01	3033701	3036767	0.183419599	3	488224	78.6667	NONDE
MvSl-1064-A1-R4_MC01-2g03141	MvSl-1064-A1-R4_MC01-1	Chr01	3040910	3042076	0.126348543	16	491766	96.0625	NONDE
MvSl-1064-A1-R4_MC01-2g03143	MvSl-1064-A1-R4_MC01-1	Chr01	3043070	3044670	-0.187672356	3	505659	58	NONDE
MvSl-1064-A1-R4_MC01-2g03144	MvSl-1064-A1-R4_MC01-1	Chr01	3045216	3050255	-0.689097762	3	506886	85.6667	NONDE
MvSl-1064-A1-R4_MC01-2g03145	MvSl-1064-A1-R4_MC01-1	Chr01	3050528	3054799	0.469027134	1	508422	100	NONDE
MvSl-1064-A1-R4_MC01-2g03147	MvSl-1064-A1-R4_MC02	Chr02	1326	3780	-0.026656526	3	511189	171.667	NONDE
MvSl-1064-A1-R4_MC01-2g03148	MvSl-1064-A1-R4_MC02	Chr02	3926	5409	0.076129291	3	515851	97.6667	NONDE
MvSl-1064-A1-R4_MC01-2g03149	MvSl-1064-A1-R4_MC02	Chr02	6325	9686	-0.248215878	7	517040	88.4286	NONDE
MvSl-1064-A1-R4_MC01-2g03150	MvSl-1064-A1-R4_MC02	Chr02	10049	12093	-0.379676554	5	519941	120.2	NONDE
MvSl-1064-A1-R4_MC01-2g03151	MvSl-1064-A1-R4_MC02	Chr02	12543	15244	-0.062393317	4	520712	89.5	NONDE
MvSl-1064-A1-R4_MC01-2g03152	MvSl-1064-A1-R4_MC02	Chr02	16598	21185	-0.120154775	2	527808	108	NONDE
MvSl-1064-A1-R4_MC01-2g03154	MvSl-1064-A1-R4_MC02	Chr02	24913	25714	0.3018321	5	531314	240.8	NONDE
MvSl-1064-A1-R4_MC01-2g03155	MvSl-1064-A1-R4_MC02	Chr02	27286	27618	0.126795814	2	532786	210.5	NONDE
MvSl-1064-A1-R4_MC01-2g03156	MvSl-1064-A1-R4_MC02	Chr02	27739	28269	0.195250008	5	534053	209.6	NONDE
MvSl-1064-A1-R4_MC01-2g03157	MvSl-1064-A1-R4_MC02	Chr02	29039	30058	-0.2702559	4	537673	119.5	NONDE
MvSl-1064-A1-R4_MC01-2g03158	MvSl-1064-A1-R4_MC02	Chr02	30149	30784	0.007605085	7	538938	85.4286	NONDE
MvSl-1064-A1-R4_MC01-2g03159	MvSl-1064-A1-R4_MC02	Chr02	31160	32278	-0.014882878	2	546417	130	NONDE
MvSl-1064-A1-R4_MC01-2g03160	MvSl-1064-A1-R4_MC02	Chr02	32584	34196	-0.213102343	5	548902	76.8	NONDE
MvSl-1064-A1-R4_MC01-2g03161	MvSl-1064-A1-R4_MC02	Chr02	34692	35433	-0.363470384	6	554506	78.3333	NONDE
MvSl-1064-A1-R4_MC01-2g03162	MvSl-1064-A1-R4_MC02	Chr02	35757	39428	-0.050716206	6	555500	86	NONDE
MvSl-1064-A1-R4_MC01-2g03164	MvSl-1064-A1-R4_MC02	Chr02	44210	44428	0.204095785	9	558595	82.5556	NONDE
MvSl-1064-A1-R4_MC01-2g03165	MvSl-1064-A1-R4_MC02	Chr02	44880	46291	0.434346634	3	562094	128	NONDE
MvSl-1064-A1-R4_MC01-2g03168	MvSl-1064-A1-R4_MC02	Chr02	56818	58060	0.152121834	3	564953	88	NONDE
MvSl-1064-A1-R4_MC01-2g03169	MvSl-1064-A1-R4_MC02	Chr02	58669	62546	-0.002665807	3	566206	141	NONDE
MvSl-1064-A1-R4_MC01-2g03171	MvSl-1064-A1-R4_MC02	Chr02	64514	65927	0.313352984	3	569145	74	NONDE
MvSl-1064-A1-R4_MC01-2g03175	MvSl-1064-A1-R4_MC02	Chr02	70955	73215	-0.044574511	4	576768	93.25	NONDE
MvSl-1064-A1-R4_MC02g03178	MvSl-1064-A1-R4_MC02	Chr02	73803	77355	-0.321342851	1	507	62	NONDE
MvSl-1064-A1-R4_MC02g03179	MvSl-1064-A1-R4_MC02	Chr02	77944	79458	0.106098147	1	2601	73	NONDE
MvSl-1064-A1-R4_MC02g03180	MvSl-1064-A1-R4_MC02	Chr02	80252	82079	0.05722298	3	4309	105.667	NONDE
MvSl-1064-A1-R4_MC02g03181	MvSl-1064-A1-R4_MC02	Chr02	83039	86268	0.212183402	4	6738	183.5	NONDE
MvSl-1064-A1-R4_MC02g03182	MvSl-1064-A1-R4_MC02	Chr02	86714	86911	0.110111174	5	10890	94.6	NONDE
MvSl-1064-A1-R4_MC02g03183	MvSl-1064-A1-R4_MC02	Chr02	87266	91538	0.113195996	2	13357	95.5	NONDE
MvSl-1064-A1-R4_MC02g03184	MvSl-1064-A1-R4_MC02	Chr02	92362	93729	-0.020380502	5	16886	92.6	NONDE
MvSl-1064-A1-R4_MC02g03185	MvSl-1064-A1-R4_MC02	Chr02	94487	96869	-0.177428278	10	23893	86.3	NONDE
MvSl-1064-A1-R4_MC02g03186	MvSl-1064-A1-R4_MC02	Chr02	97213	99964	0.064543639	3	25296	89.3333	NONDE
MvSl-1064-A1-R4_MC02g03187	MvSl-1064-A1-R4_MC02	Chr02	100272	102672	0.895292562	1	27376	72	NONDE
MvSl-1064-A1-R4_MC02g03188	MvSl-1064-A1-R4_MC02	Chr02	102915	103088	0.725712628	1	28031	114	NONDE
MvSl-1064-A1-R4_MC02g03189	MvSl-1064-A1-R4_MC02	Chr02	103399	104765	0.214938247	2	29814	94.5	NONDE
MvSl-1064-A1-R4_MC02g03190	MvSl-1064-A1-R4_MC02	Chr02	105544	106009	0.20509702	1	30228	75	NONDE
MvSl-1064-A1-R4_MC02g03191	MvSl-1064-A1-R4_MC02	Chr02	106612	107935	-0.19709121	5	31276	77.4	NONDE
MvSl-1064-A1-R4_MC02g03192	MvSl-1064-A1-R4_MC02	Chr02	108221	108990	0.435305168	5	33952	97.6	NONDE
MvSl-1064-A1-R4_MC02g03193	MvSl-1064-A1-R4_MC02	Chr02	109481	113304	0.122592757	3	35271	118.333	NONDE
MvSl-1064-A1-R4_MC02g03194	MvSl-1064-A1-R4_MC02	Chr02	113598	114750	-0.131343199	7	39093	89.1429	NONDE
MvSl-1064-A1-R4_MC02g03195	MvSl-1064-A1-R4_MC02	Chr02	114919	118908	-0.295561853	4	42116	228.5	NONDE
MvSl-1064-A1-R4_MC02g03199	MvSl-1064-A1-R4_MC02	Chr02	127355	132167	0.066875861	9	55684	80.4444	NONDE
MvSl-1064-A1-R4_MC02g03200	MvSl-1064-A1-R4_MC02	Chr02	133659	135725	0.513723435	7	57926	80.7143	NONDE
MvSl-1064-A1-R4_MC02g03201	MvSl-1064-A1-R4_MC02	Chr02	136100	141127	0.410617678	7	59221	81.2857	NONDE
MvSl-1064-A1-R4_MC02g03202	MvSl-1064-A1-R4_MC02	Chr02	141506	145109	0.029984734	5	65852	96.8	NONDE
MvSl-1064-A1-R4_MC02g03203	MvSl-1064-A1-R4_MC02	Chr02	146032	148493	-0.155962016	6	68571	102.5	NONDE
MvSl-1064-A1-R4_MC02g03204	MvSl-1064-A1-R4_MC02	Chr02	148762	149897	-0.814749146	1	70758	63	NONDE
MvSl-1064-A1-R4_MC02g03206	MvSl-1064-A1-R4_MC02	Chr02	151920	153923	0.320396419	3	76057	82.3333	NONDE
MvSl-1064-A1-R4_MC02g03207	MvSl-1064-A1-R4_MC02	Chr02	154625	157755	-0.030527546	2	79319	72	NONDE
MvSl-1064-A1-R4_MC02g03208	MvSl-1064-A1-R4_MC02	Chr02	158789	159670	-0.047231712	7	80637	83.2857	NONDE
MvSl-1064-A1-R4_MC02g03209	MvSl-1064-A1-R4_MC02	Chr02	159990	161943	0.08843668	4	84955	222.5	NONDE
MvSl-1064-A1-R4_MC02g03211	MvSl-1064-A1-R4_MC02	Chr02	162765	162974	-0.311980026	2	91039	144.5	NONDE
MvSl-1064-A1-R4_MC02g03212	MvSl-1064-A1-R4_MC02	Chr02	164597	169551	-0.065962195	3	93542	89	NONDE
MvSl-1064-A1-R4_MC02g03213	MvSl-1064-A1-R4_MC02	Chr02	170028	171600	0.072000042	8	96628	79.625	NONDE
MvSl-1064-A1-R4_MC02g03214	MvSl-1064-A1-R4_MC02	Chr02	171654	172563	0.116783312	8	97402	79.25	NONDE
MvSl-1064-A1-R4_MC02g03215	MvSl-1064-A1-R4_MC02	Chr02	172943	174273	-0.074339552	5	102388	77	NONDE
MvSl-1064-A1-R4_MC02g03217	MvSl-1064-A1-R4_MC02	Chr02	176827	179810	-0.014829529	1	103861	74	NONDE
MvSl-1064-A1-R4_MC02g03218	MvSl-1064-A1-R4_MC02	Chr02	180261	181082	-0.043438614	2	105860	105.5	NONDE
MvSl-1064-A1-R4_MC02g03219	MvSl-1064-A1-R4_MC02	Chr02	181263	185113	0.258492643	3	107461	76.3333	NONDE
MvSl-1064-A1-R4_MC02g03220	MvSl-1064-A1-R4_MC02	Chr02	185518	185976	0.139091742	6	108287	73.8333	NONDE
MvSl-1064-A1-R4_MC02g03221	MvSl-1064-A1-R4_MC02	Chr02	186027	186273	0.370612812	5	109667	85	NONDE
MvSl-1064-A1-R4_MC02g03222	MvSl-1064-A1-R4_MC02	Chr02	187225	193111	0.007256406	4	114425	109	NONDE
MvSl-1064-A1-R4_MC02g03223	MvSl-1064-A1-R4_MC02	Chr02	193528	196150	0.314059722	2	117346	72	NONDE
MvSl-1064-A1-R4_MC02g03225	MvSl-1064-A1-R4_MC02	Chr02	199422	200174	0.100929466	2	123897	157.5	NONDE
MvSl-1064-A1-R4_MC02g03226	MvSl-1064-A1-R4_MC02	Chr02	200481	203844	-0.083114025	1	126602	190	NONDE
MvSl-1064-A1-R4_MC02g03227	MvSl-1064-A1-R4_MC02	Chr02	204657	205662	-0.407415482	3	130579	87.3333	NONDE
MvSl-1064-A1-R4_MC02g03228	MvSl-1064-A1-R4_MC02	Chr02	206154	207851	0.001801747	6	133939	90.5	NONDE
MvSl-1064-A1-R4_MC02g03230	MvSl-1064-A1-R4_MC02	Chr02	213356	215283	-0.066744346	2	144725	81.5	NONDE
MvSl-1064-A1-R4_MC02g03231	MvSl-1064-A1-R4_MC02	Chr02	215550	216622	0.044299633	8	148099	88	NONDE
MvSl-1064-A1-R4_MC02g03232	MvSl-1064-A1-R4_MC02	Chr02	217030	219053	-0.049981497	3	148950	78.6667	NONDE
MvSl-1064-A1-R4_MC02g03233	MvSl-1064-A1-R4_MC02	Chr02	219292	221976	0.447710391	2	151043	118.5	NONDE
MvSl-1064-A1-R4_MC02g03234	MvSl-1064-A1-R4_MC02	Chr02	223305	225830	0.112204736	10	153720	82.8	NONDE
MvSl-1064-A1-R4_MC02g03235	MvSl-1064-A1-R4_MC02	Chr02	226620	228018	0.229510029	2	156902	182.5	NONDE
MvSl-1064-A1-R4_MC02g03236	MvSl-1064-A1-R4_MC02	Chr02	228852	230517	-0.060119258	3	159410	197	NONDE
MvSl-1064-A1-R4_MC02g03237	MvSl-1064-A1-R4_MC02	Chr02	231711	233005	0.04288317	6	161823	76.6667	NONDE
MvSl-1064-A1-R4_MC02g03240	MvSl-1064-A1-R4_MC02	Chr02	236203	237300	0.027614538	4	165405	224.75	NONDE
MvSl-1064-A1-R4_MC02g03241	MvSl-1064-A1-R4_MC02	Chr02	237791	238326	-0.031936172	3	170345	119.333	NONDE
MvSl-1064-A1-R4_MC02g03242	MvSl-1064-A1-R4_MC02	Chr02	238684	240941	-0.0840601	3	172207	97.3333	NONDE
MvSl-1064-A1-R4_MC02g03243	MvSl-1064-A1-R4_MC02	Chr02	242637	244073	0.091713868	5	173158	90.4	NONDE
MvSl-1064-A1-R4_MC02g03244	MvSl-1064-A1-R4_MC02	Chr02	244470	245907	0.096983407	1	176079	119	NONDE
MvSl-1064-A1-R4_MC02g03245	MvSl-1064-A1-R4_MC02	Chr02	246402	246875	0.046883517	3	178056	71.6667	NONDE
MvSl-1064-A1-R4_MC02g03246	MvSl-1064-A1-R4_MC02	Chr02	247314	248334	0.400665532	2	180568	85.5	NONDE
MvSl-1064-A1-R4_MC02g03247	MvSl-1064-A1-R4_MC02	Chr02	248463	251663	-0.248872828	6	184278	88.3333	NONDE
MvSl-1064-A1-R4_MC02g03249	MvSl-1064-A1-R4_MC02	Chr02	253688	257515	-0.150548917	1	186033	40	NONDE
MvSl-1064-A1-R4_MC02g03250	MvSl-1064-A1-R4_MC02	Chr02	257845	259434	0.05691121	8	187544	107.75	NONDE
MvSl-1064-A1-R4_MC02g03251	MvSl-1064-A1-R4_MC02	Chr02	260302	263436	0.319082438	2	195917	116	NONDE
MvSl-1064-A1-R4_MC02g03252	MvSl-1064-A1-R4_MC02	Chr02	263920	266311	-0.076893299	2	198366	134.5	NONDE
MvSl-1064-A1-R4_MC02g03253	MvSl-1064-A1-R4_MC02	Chr02	266543	266707	0.358885213	3	199664	74	NONDE
MvSl-1064-A1-R4_MC02g03254	MvSl-1064-A1-R4_MC02	Chr02	266756	266914	0.304936782	9	200693	77.4444	NONDE
MvSl-1064-A1-R4_MC02g03255	MvSl-1064-A1-R4_MC02	Chr02	267048	267326	0.216890946	2	205086	93.5	NONDE
MvSl-1064-A1-R4_MC02g03256	MvSl-1064-A1-R4_MC02	Chr02	268343	269781	0.141194017	6	207632	95	NONDE
MvSl-1064-A1-R4_MC02g03257	MvSl-1064-A1-R4_MC02	Chr02	269839	270397	0.102190187	3	210248	127.333	NONDE
MvSl-1064-A1-R4_MC02g03258	MvSl-1064-A1-R4_MC02	Chr02	270475	270987	-0.171374298	1	214310	80	NONDE
MvSl-1064-A1-R4_MC02g03260	MvSl-1064-A1-R4_MC02	Chr02	272028	277801	0.088091802	8	218906	85.75	NONDE
MvSl-1064-A1-R4_MC02g03261	MvSl-1064-A1-R4_MC02	Chr02	278860	281260	0.166294063	6	220988	70.5	NONDE
MvSl-1064-A1-R4_MC02g03262	MvSl-1064-A1-R4_MC02	Chr02	281817	283183	0.604877665	9	223407	81.6667	NONDE
MvSl-1064-A1-R4_MC02g03263	MvSl-1064-A1-R4_MC02	Chr02	283921	284543	0.030705196	4	227443	106.75	NONDE
MvSl-1064-A1-R4_MC02g03264	MvSl-1064-A1-R4_MC02	Chr02	285527	287967	-0.022383795	5	229274	87.2	NONDE
MvSl-1064-A1-R4_MC02g03267	MvSl-1064-A1-R4_MC02	Chr02	293276	295296	-0.110820026	3	235594	101	NONDE
MvSl-1064-A1-R4_MC02g03268	MvSl-1064-A1-R4_MC02	Chr02	296017	297723	-0.341097006	3	236849	75	NONDE
MvSl-1064-A1-R4_MC02g03269	MvSl-1064-A1-R4_MC02	Chr02	298497	305253	-0.158422195	2	237910	95.5	NONDE
MvSl-1064-A1-R4_MC02g03270	MvSl-1064-A1-R4_MC02	Chr02	305443	306839	-0.344861677	3	240265	284.667	NONDE
MvSl-1064-A1-R4_MC02g03271	MvSl-1064-A1-R4_MC02	Chr02	306895	307640	0.206030043	3	243480	92	NONDE
MvSl-1064-A1-R4_MC02g03272	MvSl-1064-A1-R4_MC02	Chr02	309374	309955	0.189191911	4	245776	82.75	NONDE
MvSl-1064-A1-R4_MC02g03273	MvSl-1064-A1-R4_MC02	Chr02	310119	311232	-0.050160898	2	246588	82.5	NONDE
MvSl-1064-A1-R4_MC02g03275	MvSl-1064-A1-R4_MC02	Chr02	313688	314104	-0.254244917	8	251569	161.25	NONDE
MvSl-1064-A1-R4_MC02g03276	MvSl-1064-A1-R4_MC02	Chr02	314523	318088	-0.329424417	1	252185	107	NONDE
MvSl-1064-A1-R4_MC02g03277	MvSl-1064-A1-R4_MC02	Chr02	318323	318827	0.378205586	5	253767	67.2	NONDE
MvSl-1064-A1-R4_MC02g03278	MvSl-1064-A1-R4_MC02	Chr02	319611	320600	0.531339306	3	258733	209	NONDE
MvSl-1064-A1-R4_MC02g03279	MvSl-1064-A1-R4_MC02	Chr02	321393	325392	0.11424242	5	262791	106.8	NONDE
MvSl-1064-A1-R4_MC02g03284	MvSl-1064-A1-R4_MC02	Chr02	332623	335883	-0.284056278	5	269451	77.2	NONDE
MvSl-1064-A1-R4_MC02g03285	MvSl-1064-A1-R4_MC02	Chr02	336608	338418	0.526360387	2	270285	86	NONDE
MvSl-1064-A1-R4_MC02g03290	MvSl-1064-A1-R4_MC02	Chr02	348927	352106	-0.016230965	1	282715	113	NONDE
MvSl-1064-A1-R4_MC02g03291	MvSl-1064-A1-R4_MC02	Chr02	352489	354155	0.140198507	3	284460	68.6667	NONDE
MvSl-1064-A1-R4_MC02g03292	MvSl-1064-A1-R4_MC02	Chr02	354894	359868	-0.193270069	3	287847	100.667	NONDE
