gene	location	chr	start	end	log2FC	intron_nr	mean	sum
MvSl-1064-A1-R4_MC03g04574	MvSl-1064-A1-R4_MC03	Chr03	830376	832224	0.0779321948330293	3	746473	114
MvSl-1064-A1-R4_MC03g04575	MvSl-1064-A1-R4_MC03	Chr03	834433	834585	0.244958603747367	3	748934	105.667
MvSl-1064-A1-R4_MC03g04576	MvSl-1064-A1-R4_MC03	Chr03	835739	835906	-0.459482605769075	4	751620	106.75
MvSl-1064-A1-R4_MC03g04577	MvSl-1064-A1-R4_MC03	Chr03	835978	837868	0.127582588774472	4	759689	172.25
MvSl-1064-A1-R4_MC03g04579	MvSl-1064-A1-R4_MC03	Chr03	840409	841081	-0.393723048434863	4	761033	134.25
MvSl-1064-A1-R4_MC03g04581	MvSl-1064-A1-R4_MC03	Chr03	842863	844872	-0.209227744186983	2	763867	61.5
MvSl-1064-A1-R4_MC03g04582	MvSl-1064-A1-R4_MC03	Chr03	844963	852260	0.279171940996184	2	765488	55
MvSl-1064-A1-R4_MC03g04583	MvSl-1064-A1-R4_MC03	Chr03	852518	853805	0.167079484146444	3	766279	70.3333
MvSl-1064-A1-R4_MC03g04584	MvSl-1064-A1-R4_MC03	Chr03	854242	854651	0.949297344512068	1	768650	113
MvSl-1064-A1-R4_MC03g04585	MvSl-1064-A1-R4_MC03	Chr03	854701	855120	-0.260894592695623	7	771425	71.1429
MvSl-1064-A1-R4_MC03g04586	MvSl-1064-A1-R4_MC03	Chr03	855230	855979	-0.437560545085766	4	772936	80.75
MvSl-1064-A1-R4_MC03g04589	MvSl-1064-A1-R4_MC03	Chr03	856571	857626	0.316088521157025	5	779107	115.6
MvSl-1064-A1-R4_MC03g04590	MvSl-1064-A1-R4_MC03	Chr03	858083	859516	-0.194742075517849	5	779927	121.2
MvSl-1064-A1-R4_MC03g04592	MvSl-1064-A1-R4_MC03	Chr03	859920	861400	0.065887574106448	4	787060	56.5
MvSl-1064-A1-R4_MC03g04593	MvSl-1064-A1-R4_MC03	Chr03	862448	864378	0.0632508366754096	2	790529	57
MvSl-1064-A1-R4_MC03g04597	MvSl-1064-A1-R4_MC03	Chr03	869386	871522	0.000214801850546146	3	800279	103.667
MvSl-1064-A1-R4_MC03g04598	MvSl-1064-A1-R4_MC03	Chr03	871928	872402	0.013305926533625	6	804276	87.6667
MvSl-1064-A1-R4_MC03g04599	MvSl-1064-A1-R4_MC03	Chr03	872799	872999	-0.160601713845397	4	808198	85.25
MvSl-1064-A1-R4_MC03g04601	MvSl-1064-A1-R4_MC03	Chr03	874243	875075	0.0983387623426535	7	811226	89.1429
MvSl-1064-A1-R4_MC03g04602	MvSl-1064-A1-R4_MC03	Chr03	875698	877777	-0.393198168523681	5	816649	104.6
MvSl-1064-A1-R4_MC03g04603	MvSl-1064-A1-R4_MC03	Chr03	878611	880298	0.163255919614327	6	821400	89.6667
MvSl-1064-A1-R4_MC03g04605	MvSl-1064-A1-R4_MC03	Chr03	880911	884613	-1.01164911005935	4	823387	87.25
MvSl-1064-A1-R4_MC03g04606	MvSl-1064-A1-R4_MC03	Chr03	884925	888909	-0.0398576107321919	5	825177	79
MvSl-1064-A1-R4_MC03g04607	MvSl-1064-A1-R4_MC03	Chr03	889704	892217	0.657938160659344	5	831699	92
MvSl-1064-A1-R4_MC03g04610	MvSl-1064-A1-R4_MC03	Chr03	895651	898400	-0.131972444558507	8	836090	103.625
MvSl-1064-A1-R4_MC03g04611	MvSl-1064-A1-R4_MC03	Chr03	898994	900282	0.206937645875283	8	838875	95
MvSl-1064-A1-R4_MC03g04612	MvSl-1064-A1-R4_MC03	Chr03	900470	901940	0.151097863813484	4	840641	76
MvSl-1064-A1-R4_MC03g04613	MvSl-1064-A1-R4_MC03	Chr03	902907	903559	0.102443391467361	2	843496	91.5
MvSl-1064-A1-R4_MC03g04614	MvSl-1064-A1-R4_MC03	Chr03	904055	906311	0.124853501813934	5	845101	92.2
MvSl-1064-A1-R4_MC03g04615	MvSl-1064-A1-R4_MC03	Chr03	907453	909001	-0.0251358303663532	4	853215	76
MvSl-1064-A1-R4_MC03g04616	MvSl-1064-A1-R4_MC03	Chr03	909061	910260	0.373681738362214	1	854553	89
MvSl-1064-A1-R4_MC03g04618	MvSl-1064-A1-R4_MC03	Chr03	911527	914579	0.205246947863751	4	855817	105.75
MvSl-1064-A1-R4_MC03g04619	MvSl-1064-A1-R4_MC03	Chr03	914882	917180	-0.00869062730957327	2	857561	69
MvSl-1064-A1-R4_MC03g04620	MvSl-1064-A1-R4_MC03	Chr03	917886	920975	0.305168438085612	5	858489	84
MvSl-1064-A1-R4_MC03g04621	MvSl-1064-A1-R4_MC03	Chr03	921260	925020	0.209199825482344	3	860510	77.6667
MvSl-1064-A1-R4_MC03g04622	MvSl-1064-A1-R4_MC03	Chr03	927067	927685	-0.132877871421654	8	863071	158.125
MvSl-1064-A1-R4_MC03g04623	MvSl-1064-A1-R4_MC03	Chr03	927914	928747	0.531666237848304	7	865174	76.2857
MvSl-1064-A1-R4_MC03g04625	MvSl-1064-A1-R4_MC03	Chr03	932610	933707	-0.556608783528166	1	868732	52
MvSl-1064-A1-R4_MC03g04626	MvSl-1064-A1-R4_MC03	Chr03	933976	935390	-0.13637884119768	4	870717	210.25
MvSl-1064-A1-R4_MC03g04627	MvSl-1064-A1-R4_MC03	Chr03	935554	937561	-0.35019188971859	1	872103	136
MvSl-1064-A1-R4_MC03g04629	MvSl-1064-A1-R4_MC03	Chr03	940434	940661	-0.334810578817706	2	873808	53.5
MvSl-1064-A1-R4_MC03g04630	MvSl-1064-A1-R4_MC03	Chr03	940955	942918	-0.161356366186311	6	875005	75.3333
MvSl-1064-A1-R4_MC03g04631	MvSl-1064-A1-R4_MC03	Chr03	943695	945674	-0.0682711518320434	9	877556	92.1111
MvSl-1064-A1-R4_MC03g04632	MvSl-1064-A1-R4_MC03	Chr03	946054	950721	-0.0714955116071024	5	879198	78.4
MvSl-1064-A1-R4_MC03g04633	MvSl-1064-A1-R4_MC03	Chr03	951514	955876	0.200659593156767	7	881365	88
MvSl-1064-A1-R4_MC03g04634	MvSl-1064-A1-R4_MC03	Chr03	956758	958705	-0.0926034141277509	5	888026	68.6
MvSl-1064-A1-R4_MC03g04635	MvSl-1064-A1-R4_MC03	Chr03	958886	960639	0.00447374696411274	4	890051	70.5
MvSl-1064-A1-R4_MC03g04636	MvSl-1064-A1-R4_MC03	Chr03	961347	963330	0.101146931495067	3	893158	81
MvSl-1064-A1-R4_MC03g04638	MvSl-1064-A1-R4_MC03	Chr03	965029	965211	-0.0939274154542881	3	897973	54.6667
MvSl-1064-A1-R4_MC03g04639	MvSl-1064-A1-R4_MC03	Chr03	967176	970153	0.106443512752383	3	899510	170.667
MvSl-1064-A1-R4_MC03g04641	MvSl-1064-A1-R4_MC03	Chr03	972393	973247	-0.0732074323997317	2	903134	95.5
MvSl-1064-A1-R4_MC03g04643	MvSl-1064-A1-R4_MC03	Chr03	978415	979393	0.196906271727442	6	907789	85.1667
MvSl-1064-A1-R4_MC03g04644	MvSl-1064-A1-R4_MC03	Chr03	979842	981516	-0.0170085344742784	4	909931	91.5
MvSl-1064-A1-R4_MC03g04645	MvSl-1064-A1-R4_MC03	Chr03	982153	985820	0.0177141256440868	3	910699	78
MvSl-1064-A1-R4_MC03g04646	MvSl-1064-A1-R4_MC03	Chr03	986090	986976	0.674351995742271	8	914010	70
MvSl-1064-A1-R4_MC03g04647	MvSl-1064-A1-R4_MC03	Chr03	987286	987932	-0.177475187243572	7	916480	79
MvSl-1064-A1-R4_MC03g04648	MvSl-1064-A1-R4_MC03	Chr03	988228	991509	-0.0823561026230901	7	918176	69.8571
MvSl-1064-A1-R4_MC03g04649	MvSl-1064-A1-R4_MC03	Chr03	991736	992766	0.00668294815348751	8	924676	92.5
MvSl-1064-A1-R4_MC03g04652	MvSl-1064-A1-R4_MC03	Chr03	1002989	1004558	-0.156965846197465	7	931316	86.7143
MvSl-1064-A1-R4_MC03g04654	MvSl-1064-A1-R4_MC03	Chr03	1006611	1008073	-0.0512114042575679	3	934166	98.6667
MvSl-1064-A1-R4_MC03g04655	MvSl-1064-A1-R4_MC03	Chr03	1008142	1008706	-0.115932893432079	6	937414	92.1667
MvSl-1064-A1-R4_MC03g04656	MvSl-1064-A1-R4_MC03	Chr03	1008854	1009327	-0.938726496115794	2	939579	101.5
MvSl-1064-A1-R4_MC03g04658	MvSl-1064-A1-R4_MC03	Chr03	1011608	1012524	0.341292152159801	5	942690	109
MvSl-1064-A1-R4_MC03g04659	MvSl-1064-A1-R4_MC03	Chr03	1013485	1013769	0.191951026428707	3	944953	88
MvSl-1064-A1-R4_MC03g04660	MvSl-1064-A1-R4_MC03	Chr03	1015889	1016056	-0.109916306406999	4	950401	65.25
MvSl-1064-A1-R4_MC03g04661	MvSl-1064-A1-R4_MC03	Chr03	1016506	1021012	0.064622247107977	9	951589	96.7778
MvSl-1064-A1-R4_MC03g04662	MvSl-1064-A1-R4_MC03	Chr03	1022916	1026474	-0.203808141675119	5	957059	100.4
MvSl-1064-A1-R4_MC03g04663	MvSl-1064-A1-R4_MC03	Chr03	1027229	1030161	0.178831066885718	2	960342	83.5
MvSl-1064-A1-R4_MC03g04664	MvSl-1064-A1-R4_MC03	Chr03	1030507	1034435	-0.0316701337388272	2	961641	149
MvSl-1064-A1-R4_MC03g04665	MvSl-1064-A1-R4_MC03	Chr03	1034647	1035601	-0.0155219436081499	2	964630	84.5
MvSl-1064-A1-R4_MC03g04667	MvSl-1064-A1-R4_MC03	Chr03	1040226	1041755	-0.289995147512583	1	967458	182
MvSl-1064-A1-R4_MC03g04668	MvSl-1064-A1-R4_MC03	Chr03	1042152	1043382	0.00212465434184892	4	971778	75.5
MvSl-1064-A1-R4_MC03g04669	MvSl-1064-A1-R4_MC03	Chr03	1043649	1045520	0.0298150288238496	4	972631	93
MvSl-1064-A1-R4_MC03g04670	MvSl-1064-A1-R4_MC03	Chr03	1045842	1046461	0.0795742878073326	3	976503	97.3333
MvSl-1064-A1-R4_MC03g04671	MvSl-1064-A1-R4_MC03	Chr03	1047143	1050630	-0.0535362720559847	5	979274	77
MvSl-1064-A1-R4_MC03g04672	MvSl-1064-A1-R4_MC03	Chr03	1050727	1052917	0.193349543953916	1	980826	73
MvSl-1064-A1-R4_MC03g04673	MvSl-1064-A1-R4_MC03	Chr03	1053522	1055658	-0.229131813211478	2	982376	220
MvSl-1064-A1-R4_MC03g04675	MvSl-1064-A1-R4_MC03	Chr03	1056917	1058466	-0.294525539571209	2	987686	119.5
MvSl-1064-A1-R4_MC03g04676	MvSl-1064-A1-R4_MC03	Chr03	1058849	1063090	0.140882457657604	9	991278	77
MvSl-1064-A1-R4_MC03g04677	MvSl-1064-A1-R4_MC03	Chr03	1063805	1064500	0.216246730928214	2	992557	74.5
MvSl-1064-A1-R4_MC03g04678	MvSl-1064-A1-R4_MC03	Chr03	1065439	1067300	-0.0546537117309019	12	998344	75.3333
MvSl-1064-A1-R4_MC03g04679	MvSl-1064-A1-R4_MC03	Chr03	1067770	1073931	0.356109591068393	5	1001530	81.6
MvSl-1064-A1-R4_MC03g04680	MvSl-1064-A1-R4_MC03	Chr03	1075227	1078903	0.225796585808158	3	1004191	137.333
MvSl-1064-A1-R4_MC03g04682	MvSl-1064-A1-R4_MC03	Chr03	1080228	1081140	-0.120813025565331	5	1006960	115.6
MvSl-1064-A1-R4_MC03g04683	MvSl-1064-A1-R4_MC03	Chr03	1081682	1085033	-0.0840160902012293	2	1008469	78.5
MvSl-1064-A1-R4_MC03g04684	MvSl-1064-A1-R4_MC03	Chr03	1086042	1088418	-0.159967544028451	2	1009222	69
MvSl-1064-A1-R4_MC03g04685	MvSl-1064-A1-R4_MC03	Chr03	1088463	1089617	0.0532206209408149	9	1009648	87.6667
MvSl-1064-A1-R4_MC03g04686	MvSl-1064-A1-R4_MC03	Chr03	1089857	1091821	0.0980893053956244	3	1012364	89.6667
MvSl-1064-A1-R4_MC03g04689	MvSl-1064-A1-R4_MC03	Chr03	1094496	1094837	-0.0498939376912053	7	1020602	91.8571
MvSl-1064-A1-R4_MC03g04690	MvSl-1064-A1-R4_MC03	Chr03	1096779	1098591	1.00656889757263	7	1026289	139.857
MvSl-1064-A1-R4_MC03g04691	MvSl-1064-A1-R4_MC03	Chr03	1099083	1101202	-0.243977547117219	3	1029986	82.6667
MvSl-1064-A1-R4_MC03g04692	MvSl-1064-A1-R4_MC03	Chr03	1101371	1102954	0.115853862643826	4	1030865	63.5
MvSl-1064-A1-R4_MC03g04693	MvSl-1064-A1-R4_MC03	Chr03	1105025	1105414	-0.0355003465811073	3	1034796	119.333
MvSl-1064-A1-R4_MC03g04694	MvSl-1064-A1-R4_MC03	Chr03	1106501	1107599	-0.261737463465288	10	1036422	79
MvSl-1064-A1-R4_MC03g04695	MvSl-1064-A1-R4_MC03	Chr03	1107748	1109293	-0.931444266979763	4	1041647	78.75
MvSl-1064-A1-R4_MC03g04696	MvSl-1064-A1-R4_MC03	Chr03	1109680	1112554	-0.409441771703057	4	1042503	74.5
MvSl-1064-A1-R4_MC03g04697	MvSl-1064-A1-R4_MC03	Chr03	1115282	1116407	-0.836986188870805	4	1045314	78.75
MvSl-1064-A1-R4_MC03g04698	MvSl-1064-A1-R4_MC03	Chr03	1116699	1118959	-0.359993941781861	2	1046140	100
MvSl-1064-A1-R4_MC03g04699	MvSl-1064-A1-R4_MC03	Chr03	1119195	1122450	-0.145497724826743	9	1047312	81.8889
MvSl-1064-A1-R4_MC03g04701	MvSl-1064-A1-R4_MC03	Chr03	1123882	1124905	-0.978162061128427	4	1055299	80.5
MvSl-1064-A1-R4_MC03g04702	MvSl-1064-A1-R4_MC03	Chr03	1125210	1131412	-0.238988678507537	2	1056433	67.5
MvSl-1064-A1-R4_MC03g04703	MvSl-1064-A1-R4_MC03	Chr03	1132905	1136472	-0.6544875224656	3	1058194	68.6667
MvSl-1064-A1-R4_MC03g04704	MvSl-1064-A1-R4_MC03	Chr03	1137269	1137592	0.072929089975297	4	1062356	72
MvSl-1064-A1-R4_MC03g04705	MvSl-1064-A1-R4_MC03	Chr03	1137669	1137974	-0.099270001191011	2	1064357	69
MvSl-1064-A1-R4_MC03g04707	MvSl-1064-A1-R4_MC03	Chr03	1141725	1143109	-0.268379382994006	14	1073265	81.8571
MvSl-1064-A1-R4_MC03g04708	MvSl-1064-A1-R4_MC03	Chr03	1143537	1150735	0.357770467628863	2	1077773	76
MvSl-1064-A1-R4_MC03g04709	MvSl-1064-A1-R4_MC03	Chr03	1151193	1152134	0.0628433244430402	3	1079644	91
MvSl-1064-A1-R4_MC03g04710	MvSl-1064-A1-R4_MC03	Chr03	1152762	1155280	0.316813408069569	4	1080356	134.5
MvSl-1064-A1-R4_MC03g04711	MvSl-1064-A1-R4_MC03	Chr03	1155556	1158521	0.307601554414437	2	1084116	230
MvSl-1064-A1-R4_MC03g04712	MvSl-1064-A1-R4_MC03	Chr03	1159033	1159860	0.17535660714892	5	1087356	92.6
MvSl-1064-A1-R4_MC03g04714	MvSl-1064-A1-R4_MC03	Chr03	1160420	1161085	0.179900865248399	5	1090428	111.6
MvSl-1064-A1-R4_MC03g04715	MvSl-1064-A1-R4_MC03	Chr03	1161684	1163373	-0.174419776574898	7	1093579	89.2857
MvSl-1064-A1-R4_MC03g04718	MvSl-1064-A1-R4_MC03	Chr03	1168357	1171046	-0.101331337766084	7	1097234	89.2857
MvSl-1064-A1-R4_MC03g04719	MvSl-1064-A1-R4_MC03	Chr03	1171287	1173946	-0.108160490040805	7	1099555	70.5714
MvSl-1064-A1-R4_MC03g04720	MvSl-1064-A1-R4_MC03	Chr03	1174621	1175763	0.1952847684137	2	1102314	93
MvSl-1064-A1-R4_MC03g04721	MvSl-1064-A1-R4_MC03	Chr03	1177170	1178944	0.655607067017108	2	1105236	75
MvSl-1064-A1-R4_MC03g04722	MvSl-1064-A1-R4_MC03	Chr03	1179641	1183013	-0.234604064272723	2	1106840	95
MvSl-1064-A1-R4_MC03g04723	MvSl-1064-A1-R4_MC03	Chr03	1183265	1186174	0.0450120376492228	2	1108919	105.5
MvSl-1064-A1-R4_MC03g04724	MvSl-1064-A1-R4_MC03	Chr03	1186439	1188783	0.126237247656009	3	1111900	198.333
MvSl-1064-A1-R4_MC03g04725	MvSl-1064-A1-R4_MC03	Chr03	1188843	1189994	-0.200194401756912	1	1115292	79
MvSl-1064-A1-R4_MC03g04726	MvSl-1064-A1-R4_MC03	Chr03	1190549	1191676	-0.12476585128019	4	1116911	80
MvSl-1064-A1-R4_MC03g04727	MvSl-1064-A1-R4_MC03	Chr03	1192076	1192791	0.162934404821823	5	1120839	69.2
MvSl-1064-A1-R4_MC03g04728	MvSl-1064-A1-R4_MC03	Chr03	1193373	1195413	-0.621907747643352	2	1123656	116
MvSl-1064-A1-R4_MC03g04729	MvSl-1064-A1-R4_MC03	Chr03	1195737	1198036	-0.427405852058385	2	1124564	92
MvSl-1064-A1-R4_MC03g04730	MvSl-1064-A1-R4_MC03	Chr03	1199466	1199651	-0.234493632358748	15	1125458	78.7333
MvSl-1064-A1-R4_MC03g04731	MvSl-1064-A1-R4_MC03	Chr03	1200185	1201116	-0.0274304725931999	12	1133077	84.8333
MvSl-1064-A1-R4_MC03g04734	MvSl-1064-A1-R4_MC03	Chr03	1206461	1206894	-0.0893637575357807	7	1140182	77.1429
MvSl-1064-A1-R4_MC03g04735	MvSl-1064-A1-R4_MC03	Chr03	1207405	1210732	0.375800754868612	6	1142889	112.833
MvSl-1064-A1-R4_MC03g04736	MvSl-1064-A1-R4_MC03	Chr03	1211914	1213905	-0.0364648842414966	6	1150401	106.833
MvSl-1064-A1-R4_MC03g04738	MvSl-1064-A1-R4_MC03	Chr03	1216822	1218472	0.853317234663662	9	1153148	92.5556
MvSl-1064-A1-R4_MC03g04739	MvSl-1064-A1-R4_MC03	Chr03	1218516	1220123	0.211452564485858	10	1155828	72.8
MvSl-1064-A1-R4_MC03g04740	MvSl-1064-A1-R4_MC03	Chr03	1220248	1222863	-0.313806428961901	2	1159437	112.5
MvSl-1064-A1-R4_MC03g04743	MvSl-1064-A1-R4_MC03	Chr03	1226668	1226841	-0.0249110588388839	1	1162280	91
MvSl-1064-A1-R4_MC03g04744	MvSl-1064-A1-R4_MC03	Chr03	1227050	1227784	0.171321114075803	1	1166372	204
MvSl-1064-A1-R4_MC03g04745	MvSl-1064-A1-R4_MC03	Chr03	1229231	1231148	-0.0410132772249375	5	1167677	84.6
MvSl-1064-A1-R4_MC03g04746	MvSl-1064-A1-R4_MC03	Chr03	1231362	1233299	-0.0849263266670377	4	1169158	64.25
MvSl-1064-A1-R4_MC03g04748	MvSl-1064-A1-R4_MC03	Chr03	1237935	1240347	0.300795756739083	4	1175386	89.25
MvSl-1064-A1-R4_MC03g04749	MvSl-1064-A1-R4_MC03	Chr03	1241565	1243427	0.0159202265143969	7	1177664	159.714
MvSl-1064-A1-R4_MC03g04750	MvSl-1064-A1-R4_MC03	Chr03	1245819	1249778	0.308159268259065	5	1179828	138.8
MvSl-1064-A1-R4_MC03g04751	MvSl-1064-A1-R4_MC03	Chr03	1250299	1251640	0.0851736011141593	6	1185593	68
MvSl-1064-A1-R4_MC03g04752	MvSl-1064-A1-R4_MC03	Chr03	1251827	1252261	-0.307286925233992	6	1186930	79.3333
MvSl-1064-A1-R4_MC03g04753	MvSl-1064-A1-R4_MC03	Chr03	1252897	1257095	-0.230091615979248	4	1189776	78
MvSl-1064-A1-R4_MC03g04754	MvSl-1064-A1-R4_MC03	Chr03	1258655	1259053	0.181340660835904	3	1191254	261
MvSl-1064-A1-R4_MC03g04755	MvSl-1064-A1-R4_MC03	Chr03	1262262	1264028	-0.311259157779765	2	1192556	91
MvSl-1064-A1-R4_MC03g04756	MvSl-1064-A1-R4_MC03	Chr03	1264442	1266803	-0.116683276058239	7	1193617	88.4286
MvSl-1064-A1-R4_MC03g04757	MvSl-1064-A1-R4_MC03	Chr03	1267194	1273551	-0.253454726017542	7	1196108	80
MvSl-1064-A1-R4_MC03g04759	MvSl-1064-A1-R4_MC03	Chr03	1276162	1276902	-0.107957899285235	2	1200331	97
MvSl-1064-A1-R4_MC03g04761	MvSl-1064-A1-R4_MC03	Chr03	1280296	1280529	-0.414594827846353	3	1205035	92.6667
MvSl-1064-A1-R4_MC03g04762	MvSl-1064-A1-R4_MC03	Chr03	1280825	1286330	-0.111112624826027	1	1206618	215
MvSl-1064-A1-R4_MC03g04763	MvSl-1064-A1-R4_MC03	Chr03	1286552	1288074	-0.0185329620077678	5	1210565	72.2
MvSl-1064-A1-R4_MC03g04764	MvSl-1064-A1-R4_MC03	Chr03	1288359	1290856	-0.0850898361450665	6	1212328	93
MvSl-1064-A1-R4_MC03g04765	MvSl-1064-A1-R4_MC03	Chr03	1291511	1292509	0.117238754386361	5	1216011	131.2
MvSl-1064-A1-R4_MC03g04766	MvSl-1064-A1-R4_MC03	Chr03	1292770	1295747	0.0557412807434166	3	1218299	94.3333
MvSl-1064-A1-R4_MC03g04767	MvSl-1064-A1-R4_MC03	Chr03	1296141	1300417	0.121103631017725	3	1218820	152
MvSl-1064-A1-R4_MC03g04768	MvSl-1064-A1-R4_MC03	Chr03	1300713	1304388	-0.0165678288719151	6	1222378	80
MvSl-1064-A1-R4_MC03g04769	MvSl-1064-A1-R4_MC03	Chr03	1305527	1308404	-0.0340232983452648	1	1223731	69
MvSl-1064-A1-R4_MC03g04770	MvSl-1064-A1-R4_MC03	Chr03	1309316	1310027	-0.172309272713196	2	1225061	64
MvSl-1064-A1-R4_MC03g04772	MvSl-1064-A1-R4_MC03	Chr03	1315940	1316326	0.138377737690608	1	1227555	111
MvSl-1064-A1-R4_MC03g04773	MvSl-1064-A1-R4_MC03	Chr03	1317984	1320620	-0.835187769179475	2	1229947	69.5
MvSl-1064-A1-R4_MC03g04774	MvSl-1064-A1-R4_MC03	Chr03	1320916	1322133	0.183925604843338	4	1233217	118.5
MvSl-1064-A1-R4_MC03g04775	MvSl-1064-A1-R4_MC03	Chr03	1322245	1324366	-0.0821874524905071	1	1234579	80
MvSl-1064-A1-R4_MC03g04776	MvSl-1064-A1-R4_MC03	Chr03	1325269	1325502	0.0599365664162805	1	1238546	91
MvSl-1064-A1-R4_MC03g04777	MvSl-1064-A1-R4_MC03	Chr03	1326625	1327297	-0.141903370041482	4	1241714	54.75
MvSl-1064-A1-R4_MC03g04778	MvSl-1064-A1-R4_MC03	Chr03	1327620	1327899	0.103638945376147	3	1247115	72
MvSl-1064-A1-R4_MC03g04779	MvSl-1064-A1-R4_MC03	Chr03	1328030	1328480	0.0247973443647452	2	1251523	83
MvSl-1064-A1-R4_MC03g04780	MvSl-1064-A1-R4_MC03	Chr03	1328907	1332407	-0.112862681932281	1	1252176	60
MvSl-1064-A1-R4_MC03g04781	MvSl-1064-A1-R4_MC03	Chr03	1332753	1333915	0.182292873797678	11	1256716	72.4545
MvSl-1064-A1-R4_MC03g04782	MvSl-1064-A1-R4_MC03	Chr03	1334194	1338318	0.840054696666458	1	1258743	147
MvSl-1064-A1-R4_MC03g04784	MvSl-1064-A1-R4_MC03	Chr03	1339378	1339975	-0.547315816187442	5	1262612	69.6
MvSl-1064-A1-R4_MC03g04785	MvSl-1064-A1-R4_MC03	Chr03	1341100	1342833	-0.199481764732912	5	1264796	134.6
MvSl-1064-A1-R4_MC03g04786	MvSl-1064-A1-R4_MC03	Chr03	1343150	1345690	-0.0736863002599403	6	1267277	70.6667
MvSl-1064-A1-R4_MC03g04787	MvSl-1064-A1-R4_MC03	Chr03	1345764	1346051	0.103596745318576	6	1273909	125.833
MvSl-1064-A1-R4_MC03g04788	MvSl-1064-A1-R4_MC03	Chr03	1346637	1350508	-0.258503791234592	2	1276568	106.5
MvSl-1064-A1-R4_MC03g04789	MvSl-1064-A1-R4_MC03	Chr03	1350704	1352921	-0.479087468444022	6	1277913	102.167
MvSl-1064-A1-R4_MC03g04791	MvSl-1064-A1-R4_MC03	Chr03	1355008	1355445	0.361668209130139	17	1280913	88.8235
MvSl-1064-A1-R4_MC03g04792	MvSl-1064-A1-R4_MC03	Chr03	1355551	1356560	-0.229087229945748	2	1286751	85
MvSl-1064-A1-R4_MC03g04793	MvSl-1064-A1-R4_MC03	Chr03	1356792	1358643	-0.127935036921289	11	1288478	77.3636
MvSl-1064-A1-R4_MC03g04794	MvSl-1064-A1-R4_MC03	Chr03	1359290	1359478	0.205754272814689	4	1291630	174
MvSl-1064-A1-R4_MC03g04795	MvSl-1064-A1-R4_MC03	Chr03	1360125	1362458	0.0977793190484365	6	1295101	75.8333
MvSl-1064-A1-R4_MC03g04796	MvSl-1064-A1-R4_MC03	Chr03	1362864	1363882	0.110103309549458	7	1297939	67.5714
MvSl-1064-A1-R4_MC03g04797	MvSl-1064-A1-R4_MC03	Chr03	1364013	1369165	-0.0523922490409486	10	1304257	70.9
MvSl-1064-A1-R4_MC03g04798	MvSl-1064-A1-R4_MC03	Chr03	1370458	1371775	0.195856991636132	4	1305845	79.75
MvSl-1064-A1-R4_MC03g04799	MvSl-1064-A1-R4_MC03	Chr03	1372813	1376885	-0.297460554172986	3	1309458	103.333
MvSl-1064-A1-R4_MC03g04800	MvSl-1064-A1-R4_MC03	Chr03	1377247	1378959	-0.400640599780085	11	1314918	103.909
MvSl-1064-A1-R4_MC03g04802	MvSl-1064-A1-R4_MC03	Chr03	1382111	1383488	0.0523224597716077	3	1318613	74
MvSl-1064-A1-R4_MC03g04803	MvSl-1064-A1-R4_MC03	Chr03	1383965	1384367	-0.0958307056491068	5	1321041	118.2
MvSl-1064-A1-R4_MC03g04804	MvSl-1064-A1-R4_MC03	Chr03	1385053	1385223	0.0893316326320192	8	1324279	85.625
MvSl-1064-A1-R4_MC03g04806	MvSl-1064-A1-R4_MC03	Chr03	1389203	1389610	0.531530795162373	4	1326747	63.25
MvSl-1064-A1-R4_MC03g04809	MvSl-1064-A1-R4_MC03	Chr03	1393246	1395668	0.0877962544041307	4	1330529	78
MvSl-1064-A1-R4_MC03g04810	MvSl-1064-A1-R4_MC03	Chr03	1395884	1396612	-0.0383741007898576	1	1333678	170
MvSl-1064-A1-R4_MC03g04811	MvSl-1064-A1-R4_MC03	Chr03	1397744	1399296	-0.170254278563261	6	1334346	105
MvSl-1064-A1-R4_MC03g04812	MvSl-1064-A1-R4_MC03	Chr03	1401619	1402875	-0.310320139156627	2	1339567	113
MvSl-1064-A1-R4_MC03g04813	MvSl-1064-A1-R4_MC03	Chr03	1404111	1405133	0.0298566254936386	4	1341347	90.75
MvSl-1064-A1-R4_MC03g04814	MvSl-1064-A1-R4_MC03	Chr03	1405574	1407034	0.126870632972587	1	1343520	42
MvSl-1064-A1-R4_MC03g04816	MvSl-1064-A1-R4_MC03	Chr03	1408829	1409351	0.0815213765379128	1	1348220	68
MvSl-1064-A1-R4_MC03g04817	MvSl-1064-A1-R4_MC03	Chr03	1410723	1412794	-0.374347381726366	6	1352551	85.1667
MvSl-1064-A1-R4_MC03g04818	MvSl-1064-A1-R4_MC03	Chr03	1413635	1413953	-0.121820953738126	2	1354421	127.5
MvSl-1064-A1-R4_MC03g04819	MvSl-1064-A1-R4_MC03	Chr03	1414458	1415377	0.0682626558944741	2	1355301	87
MvSl-1064-A1-R4_MC03g04820	MvSl-1064-A1-R4_MC03	Chr03	1415907	1416257	-0.140447958385869	3	1356326	134.667
MvSl-1064-A1-R4_MC03g04821	MvSl-1064-A1-R4_MC03	Chr03	1416830	1418847	0.0125365747575287	3	1357612	72.3333
MvSl-1064-A1-R4_MC03g04823	MvSl-1064-A1-R4_MC03	Chr03	1422141	1422644	0.111183919339786	9	1360563	85.6667
