gida1	a1prot	a1cds	gida2	a2prot	a2cds	part8	youngold	intron_nr_a1	intron_nr_byprota1	intron_nr_byprota1_transf	intron_mean_a1	intron_total_a1	intron_total_byprota1	intron_total_byprota1_trans	intron_nr_a2	intron_nr_byprota2	intron_nr_byprota2_trans	intron_mean_a2	intron_total_a2	intron_total_byprota2	intron_total_byprota2_trans	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_MC01-1g01964	91	276	MvSl-1064-A2-R4_MC01g02245	91	276	Auto	Auto	1	0.010989011	0.104828484	0	0	0	0	1	0.010989011	0.104828484	0	0	0	0	0	0	0	330192	331523	3.65256458	-0.1472411	0.14724105	0.61534575	0.9935289	3.43056771	3.71213336	3.81009066	3.63290815	NON	NON
MvSl-1064-A1-R4_MC01-1g01965	210	633	MvSl-1064-A2-R4_MC01g02246	210	633	Auto	Auto	5	0.023809524	0.15430335	85.8	429	2.042857143	1.429285536	5	0.023809524	0.15430335	85.8	429	2.042857143	1.429285536	0	0	0	332185	334318	3.62430828	0.19523668	0.19523668	0.50749495	0.9829017	3.86892214	3.54747538	3.54036636	3.50611893	NON	NON
MvSl-1064-A1-R4_MC01-1g01966	696	2091	MvSl-1064-A2-R4_MC01g02247	696	2091	Auto	Auto	1	0.001436782	0.037904902	93	93	0.13362069	0.365541639	1	0.001436782	0.037904902	93	93	0.13362069	0.365541639	0	0	0	332451	332689	5.44801299	-0.0562895	0.05628954	0.7952048	0.99994992	5.34021699	5.4950583	5.37340426	5.57173491	NON	NON
MvSl-1064-A1-R4_MC01-1g01967	540	1623	MvSl-1064-A2-R4_MC01g02248	540	1623	Auto	Auto	3	0.005555556	0.074535599	74.3333	223	0.412962963	0.642621944	3	0.005555556	0.074535599	74.3333	223	0.412962963	0.642621944	0	0	0	333459	336044	5.23961654	-0.4011168	0.40111681	0.06826816	0.44859688	4.9546856	5.09458708	5.41173744	5.44101939	NON	NON
MvSl-1064-A1-R4_MC01-1g01968	294	885	MvSl-1064-A2-R4_MC01g02249	294	885	Auto	Auto	6	0.020408163	0.142857143	86.8333	521	1.772108844	1.331205786	6	0.020408163	0.142857143	86.8333	521	1.772108844	1.331205786	0	0	0	334834	336748	6.40142606	-0.1415216	0.14152162	0.45780634	0.97508312	6.35850446	6.29909012	6.38822327	6.54835716	NON	NON
MvSl-1064-A1-R4_MC01-1g01969	770	2313	MvSl-1064-A2-R4_MC01g02250	770	2313	Auto	Auto	2	0.002597403	0.050964719	98	196	0.254545455	0.504524979	2	0.002597403	0.050964719	98	196	0.254545455	0.504524979	0	0	0	337463	339242	7.36071182	-0.1691055	0.16910552	0.56956869	0.9930078	7.44630031	7.07787048	6.82012205	7.87645277	NON	NON
MvSl-1064-A1-R4_MC01-1g01971	46	141	MvSl-1064-A2-R4_MC01g02252	46	141	Auto	Auto	1	0.02173913	0.147441956	105	105	2.282608696	1.510830466	1	0.02173913	0.147441956	105	105	2.282608696	1.510830466	0	0	0	339925	340566	1.09349892	-0.5195979	0.51959792	0.50665781	0.9829017	-0.4836403	1.50268715	2.13949119	-0.74869	NON	NON
MvSl-1064-A1-R4_MC01-1g01972	1964	5895	MvSl-1064-A2-R4_MC01g02253	1964	5895	Auto	Auto	14	0.00712831	0.084429317	65.7143	920	0.468431772	0.684420756	14	0.00712831	0.084429317	65.7143	920	0.468431772	0.684420756	0	0	0	341106	343660	7.59346778	0.10654158	0.10654158	0.61044751	0.9930078	7.72423572	7.56263032	7.4055605	7.66156338	NON	NON
MvSl-1064-A1-R4_MC01-1g01973	127	384	MvSl-1064-A2-R4_MC01g02254	127	384	Auto	Auto	3	0.023622047	0.153694656	75.3333	226	1.779527559	1.33398934	3	0.023622047	0.153694656	75.3333	226	1.779527559	1.33398934	0	0	0	349726	351312	6.89593109	-0.0581702	0.05817024	0.76171266	0.99994992	6.7466745	6.97733307	7.00699611	6.83742738	NON	NON
MvSl-1064-A1-R4_MC01-1g01974	1524	4575	MvSl-1064-A2-R4_MC01g02255	1524	4575	Auto	Auto	6	0.003937008	0.062745581	63.5	381	0.25	0.5	6	0.003937008	0.062745581	63.5	381	0.25	0.5	0	0	0	349846	350081	7.19671706	0.0230543	0.0230543	0.90648913	0.99994992	7.2916942	7.11953052	7.10994998	7.2566455	NON	NON
MvSl-1064-A1-R4_MC01-1g01975	844	2535	MvSl-1064-A2-R4_MC01g02256	844	2535	Auto	Auto	9	0.010663507	0.103264259	71	639	0.757109005	0.870120109	9	0.010663507	0.103264259	71	639	0.757109005	0.870120109	0	0	0	350124	350737	8.750352246	1.831454124	1.831454124	5.51E-13	3.96E-11	9.41153946	9.373746113	7.565101503	7.55855206	Up	DE
MvSl-1064-A1-R4_MC01-1g01977	954	2865	MvSl-1064-A2-R4_MC01g02258	954	2865	Auto	Auto	3	0.003144654	0.056077215	63.3333	190	0.199161426	0.446275056	3	0.003144654	0.056077215	63.3333	190	0.199161426	0.446275056	0	0	0	351493	351952	4.29449461	0.37982429	0.37982429	0.14185729	0.65544348	4.50112256	4.43839847	4.14952041	4.03215358	NON	NON
MvSl-1064-A1-R4_MC01-1g01978	76	231	MvSl-1064-A2-R4_MC01g02259	76	231	Auto	Auto	1	0.013157895	0.114707867	163	163	2.144736842	1.464492008	1	0.013157895	0.114707867	163	163	2.144736842	1.464492008	0	0	0	352636	356043	5.931386702	2.105009706	2.105009706	5.56E-16	5.28E-14	6.919972667	6.259708951	4.335726313	4.69592413	Up	DE
MvSl-1064-A1-R4_MC01-1g01984	299	900	MvSl-1064-A2-R4_MC01g02265	299	900	Auto	Auto	2	0.006688963	0.081786082	126.5	253	0.846153846	0.919866211	2	0.006688963	0.081786082	126.5	253	0.846153846	0.919866211	0	0	0	356542	357953	7.06558055	-0.3025334	0.30253337	0.10901156	0.58983535	6.82694329	6.98218041	7.23890485	7.17837907	NON	NON
MvSl-1064-A1-R4_MC01-1g01985	522	1569	MvSl-1064-A2-R4_MC01g02266	522	1569	Auto	Auto	4	0.007662835	0.087537622	86.5	346	0.662835249	0.814146946	4	0.007662835	0.087537622	86.5	346	0.662835249	0.814146946	0	0	0	358109	359841	6.30057059	-0.5637483	0.56374834	0.00737251	0.09174326	5.75940096	6.1925161	6.64270385	6.46199647	NON	NON
MvSl-1064-A1-R4_MC01-1g01986	121	366	MvSl-1064-A2-R4_MC01g02267	121	366	Auto	Auto	2	0.016528926	0.128564869	219.5	439	3.628099174	1.904756985	2	0.016528926	0.128564869	219.5	439	3.628099174	1.904756985	0	0	0	359152	362478	1.02141397	-0.0643155	0.06431546	0.87825098	0.99994992	0.92351927	1.05643423	0.93200343	1.16549433	NON	NON
MvSl-1064-A1-R4_MC01-1g01987	702	2109	MvSl-1064-A2-R4_MC01g02268	702	2109	Auto	Auto	4	0.005698006	0.075485136	209	836	1.190883191	1.091275946	4	0.005698006	0.075485136	209	836	1.190883191	1.091275946	0	0	0	362626	363943	9.90643056	-0.1447617	0.14476166	0.63577331	0.99994992	9.72943431	9.92822361	10.1041603	9.83752791	NON	NON
MvSl-1064-A1-R4_MC01-1g01988	1224	3675	MvSl-1064-A2-R4_MC01g02269	1224	3675	Auto	Auto	6	0.004901961	0.070014004	102.667	616	0.503267974	0.709413824	6	0.004901961	0.070014004	102.667	616	0.503267974	0.709413824	0	0	0	364490	366279	9.86138611	-0.0963013	0.09630133	0.74788088	0.99994992	9.73983872	9.88156695	10.0010766	9.81007022	NON	NON
MvSl-1064-A1-R4_MC01-1g01989	1309	3930	MvSl-1064-A2-R4_MC01g02270	1309	3930	Auto	Auto	6	0.004583652	0.067702671	77.8333	467	0.356760886	0.597294639	6	0.004583652	0.067702671	77.8333	467	0.356760886	0.597294639	0	0	0	365864	366550	3.68949589	0.16909376	0.16909376	0.56692215	0.9930078	3.82629626	3.71213336	3.3875543	3.79011838	NON	NON
MvSl-1064-A1-R4_MC01-1g01990	1015	3048	MvSl-1064-A2-R4_MC01g02271	1015	3048	Auto	Auto	1	0.000985222	0.031388241	100	100	0.098522167	0.31388241	1	0.000985222	0.031388241	100	100	0.098522167	0.31388241	0	0	0	366606	368852	5.8913487	0.22120047	0.22120047	0.26859929	0.85415241	6.03265126	5.96113209	5.75764093	5.7951186	NON	NON
MvSl-1064-A1-R4_MC01-1g01992	1568	4707	MvSl-1064-A2-R4_MC01g02273	1568	4707	Auto	Auto	5	0.003188776	0.056469244	67.8	339	0.21619898	0.46497202	5	0.003188776	0.056469244	67.8	339	0.21619898	0.46497202	0	0	0	366735	370125	7.968613353	0.782766935	0.782766935	0.000393148	0.007744282	8.263984452	8.349268315	7.643511104	7.395381236	Up	DE
MvSl-1064-A1-R4_MC01-1g01993	460	1383	MvSl-1064-A2-R4_MC01g02274	460	1383	Auto	Auto	10	0.02173913	0.147441956	111.7	1117	2.42826087	1.558287801	10	0.02173913	0.147441956	111.7	1117	2.42826087	1.558287801	0	0	0	369296	370120	10.3698781	-0.3717018	0.3717018	0.27292541	0.85998019	10.2264355	10.1156775	10.8019208	10.2291887	NON	NON
MvSl-1064-A1-R4_MC01-1g01995	541	1626	MvSl-1064-A2-R4_MC01g02276	541	1626	Auto	Auto	6	0.011090573	0.10531179	81	486	0.898336414	0.947806106	6	0.011090573	0.10531179	81	486	0.898336414	0.947806106	0	0	0	370190	370342	4.73648915	-0.2465544	0.24655439	0.47994485	0.97871377	4.39493257	4.79493726	5.33971657	4.11681155	NON	NON
MvSl-1064-A1-R4_MC01-1g01997	369	1110	MvSl-1064-A2-R4_MC01g02278	369	1110	Auto	Auto	4	0.010840108	0.104115841	83	332	0.899728997	0.948540456	4	0.010840108	0.104115841	83	332	0.899728997	0.948540456	0	0	0	371208	374469	5.90530266	-0.1795548	0.17955481	0.40836631	0.95261154	5.98715435	5.61503436	5.87726652	6.09899847	NON	NON
MvSl-1064-A1-R4_MC01-1g01998	430	1293	MvSl-1064-A2-R4_MC01g02279	430	1293	Auto	Auto	3	0.006976744	0.083526907	75.3333	226	0.525581395	0.724969927	3	0.006976744	0.083526907	75.3333	226	0.525581395	0.724969927	0	0	0	373022	373914	8.98289839	-0.3284771	0.32847707	0.23039707	0.80350409	8.72324677	8.8907003	9.3397835	8.90287987	NON	NON
MvSl-1064-A1-R4_MC01-1g01999	67	204	MvSl-1064-A2-R4_MC01g02280	67	204	Auto	Auto	1	0.014925373	0.122169444	161	161	2.402985075	1.550156468	1	0.014925373	0.122169444	161	161	2.402985075	1.550156468	0	0	0	374780	375683	11.8202073	-0.1071194	0.10711937	0.81064819	0.99994992	11.50763	11.984459	12.2956807	11.2719329	NON	NON
MvSl-1064-A1-R4_MC01-1g02000	602	1809	MvSl-1064-A2-R4_MC01g02281	602	1809	Auto	Auto	1	0.00166113	0.040756957	89	89	0.147840532	0.384500366	1	0.00166113	0.040756957	89	89	0.147840532	0.384500366	0	0	0	374831	375519	6.97212942	-0.2792478	0.27924778	0.16783606	0.71242826	6.64882191	6.98379257	7.23075946	6.96723495	NON	NON
MvSl-1064-A1-R4_MC01-1g02001	576	1731	MvSl-1064-A2-R4_MC01g02282	576	1731	Auto	Auto	2	0.003472222	0.058925565	69	138	0.239583333	0.489472505	2	0.003472222	0.058925565	69	138	0.239583333	0.489472505	0	0	0	376200	379208	5.63022427	0.05803735	0.05803735	0.77638316	0.99994992	5.60965233	5.70639694	5.6563726	5.54312691	NON	NON
MvSl-1064-A1-R4_MC01-1g02002	378	1137	MvSl-1064-A2-R4_MC01g02283	378	1137	Auto	Auto	5	0.013227513	0.115010927	76.4	382	1.010582011	1.005277081	5	0.013227513	0.115010927	76.4	382	1.010582011	1.005277081	0	0	0	376307	376829	6.42030371	0.4181639	0.4181639	0.0462394	0.3554212	6.70414696	6.51738984	5.9658113	6.39483236	NON	NON
MvSl-1064-A1-R4_MC01-1g02003	1163	3492	MvSl-1064-A2-R4_MC01g02284	1163	3492	Auto	Auto	2	0.00171969	0.041469151	59	118	0.101461737	0.31853059	2	0.00171969	0.041469151	59	118	0.101461737	0.31853059	0	0	0	377802	379627	6.36265586	0.00970199	0.00970199	0.9585122	0.99994992	6.36016547	6.3747672	6.3492516	6.36629776	NON	NON
MvSl-1064-A1-R4_MC01-1g02004	251	756	MvSl-1064-A2-R4_MC01g02285	251	756	Auto	Auto	2	0.007968127	0.089264369	71	142	0.565737052	0.752154939	2	0.007968127	0.089264369	71	142	0.565737052	0.752154939	0	0	0	379579	380191	2.199764694	4.168341743	4.168341743	5.70E-19	6.09E-17	3.241650607	2.906612081	-1.252678073	-0.504289504	Up	DE
MvSl-1064-A1-R4_MC01-1g02005	189	570	MvSl-1064-A2-R4_MC01g02286	189	570	Auto	Auto	3	0.015873016	0.125988158	68.6667	206	1.08994709	1.044005311	3	0.015873016	0.125988158	68.6667	206	1.08994709	1.044005311	0	0	0	379911	381720	5.257499538	-1.562530536	1.562530536	7.14E-12	4.42E-10	4.2838058	4.275954699	5.727565659	5.940278434	Down	DE
MvSl-1064-A1-R4_MC01-1g02007	1462	4389	MvSl-1064-A2-R4_MC01g02288	1462	4389	Auto	Auto	5	0.003419973	0.058480532	76.8	384	0.262653899	0.512497706	5	0.003419973	0.058480532	76.8	384	0.262653899	0.512497706	0	0	0	382362	382675	5.125552216	0.729014747	0.729014747	0.002590107	0.038779025	5.35861402	5.521937747	4.90299064	4.499707782	Up	DE
MvSl-1064-A1-R4_MC01-1g02008	421	1266	MvSl-1064-A2-R4_MC01g02289	421	1266	Auto	Auto	4	0.009501188	0.097474036	62.75	251	0.596199525	0.772139576	4	0.009501188	0.097474036	62.75	251	0.596199525	0.772139576	0	0	0	383122	384434	8.284435452	-1.070633349	1.070633349	0.001409225	0.023393131	8.088980224	7.023522137	8.399011342	8.986970675	Down	DE
MvSl-1064-A1-R4_MC01-1g02009	390	1173	MvSl-1064-A2-R4_MC01g02290	390	1173	Auto	Auto	1	0.002564103	0.050636968	172	172	0.441025641	0.664097614	1	0.002564103	0.050636968	172	172	0.441025641	0.664097614	0	0	0	384760	385725	8.653767833	-0.88374669	0.88374669	0.001742734	0.028004957	8.418843169	7.80804965	8.85420971	9.184997472	Down	DE
MvSl-1064-A1-R4_MC01-1g02010	499	1500	MvSl-1064-A2-R4_MC01g02291	499	1500	Auto	Auto	13	0.026052104	0.161406642	102.923	1338	2.681362725	1.63748671	13	0.026052104	0.161406642	102.923	1338	2.681362725	1.63748671	0	0	0	385807	387256	9.044576	-0.7520793	0.75207934	0.00474482	0.06459151	8.72598689	8.50613798	9.29177504	9.4483533	NON	NON
MvSl-1064-A1-R4_MC01-1g02011	1128	3387	MvSl-1064-A2-R4_MC01g02292	1128	3387	Auto	Auto	9	0.007978723	0.0893237	69	621	0.550531915	0.741978379	9	0.007978723	0.0893237	69	621	0.550531915	0.741978379	0	0	0	387854	389645	9.07495663	0.27487061	0.27487061	0.3003506	0.88541286	9.12066677	9.28619449	8.84440039	9.01266788	NON	NON
MvSl-1064-A1-R4_MC01-1g02012	94	285	MvSl-1064-A2-R4_MC01g02293	94	285	Auto	Auto	1	0.010638298	0.103142125	0	0	0	0	1	0.010638298	0.103142125	0	0	0	0	0	0	0	387985	389307	1.84371423	0.96034786	0.96034786	0.0109115	0.12537957	2.32655747	2.11820395	1.31764867	1.26777326	NON	NON
MvSl-1064-A1-R4_MC01-1g02013	95	288	MvSl-1064-A2-R4_MC01g02294	95	288	Auto	Auto	2	0.021052632	0.14509525	158.5	317	3.336842105	1.826702522	2	0.021052632	0.14509525	158.5	317	3.336842105	1.826702522	0	0	0	391660	393883	7.66154428	-0.0680705	0.06807045	0.8338901	0.99994992	6.94176748	8.0898621	7.94707613	7.38972145	NON	NON
MvSl-1064-A1-R4_MC01-1g02014	183	552	MvSl-1064-A2-R4_MC01g02295	183	552	Auto	Auto	4	0.021857923	0.147844254	89	356	1.945355191	1.394759905	4	0.021857923	0.147844254	89	356	1.945355191	1.394759905	0	0	0	393332	397460	2.74137854	0.44353991	0.44353991	0.19398634	0.75725535	3.15244393	2.69196255	2.42298692	2.57977622	NON	NON
MvSl-1064-A1-R4_MC01-1g02015	913	2742	MvSl-1064-A2-R4_MC01g02296	913	2742	Auto	Auto	1	0.00109529	0.03309517	245	245	0.268346112	0.518021343	1	0.00109529	0.03309517	245	245	0.268346112	0.518021343	0	0	0	394363	399556	6.53889569	0.13981807	0.13981807	0.50646394	0.9829017	6.77683474	6.41435892	6.30338407	6.61455374	NON	NON
MvSl-1064-A1-R4_MC01-1g02016	291	876	MvSl-1064-A2-R4_MC01g02297	291	876	Auto	Auto	5	0.017182131	0.131080626	87.2	436	1.498281787	1.224043213	5	0.017182131	0.131080626	87.2	436	1.498281787	1.224043213	0	0	0	398160	398855	4.71935681	0.17844913	0.17844913	0.67908756	0.99994992	4.18605228	5.23658029	5.18600735	3.7015216	NON	NON
MvSl-1064-A1-R4_MC01-1g02017	478	1437	MvSl-1064-A2-R4_MC01g02298	478	1437	Auto	Auto	4	0.008368201	0.091477871	107.75	431	0.90167364	0.949564974	4	0.008368201	0.091477871	107.75	431	0.90167364	0.949564974	0	0	0	399275	402645	6.73968611	0.09012337	0.09012337	0.62008896	0.99471823	6.78613196	6.78176698	6.65112102	6.73550556	NON	NON
MvSl-1064-A1-R4_MC01-1g02018	1229	3690	MvSl-1064-A2-R4_MC01g02299	1229	3690	Auto	Auto	1	0.00081367	0.028524895	89	89	0.072416599	0.269103324	1	0.00081367	0.028524895	89	89	0.072416599	0.269103324	0	0	0	400831	401046	5.24640442	-0.2889832	0.28898317	0.2071091	0.77588768	4.91002567	5.25983165	5.39178523	5.37571393	NON	NON
MvSl-1064-A1-R4_MC01-1g02019	106	321	MvSl-1064-A2-R4_MC01g02300	106	321	Auto	Auto	2	0.018867925	0.137360564	97	194	1.830188679	1.352844662	2	0.018867925	0.137360564	97	194	1.830188679	1.352844662	0	0	0	402699	407145	4.16585987	-0.1157112	0.11571119	0.74777636	0.99994992	4.53092325	3.50619177	3.85317617	4.51711779	NON	NON
MvSl-1064-A1-R4_MC01-1g02020	1053	3162	MvSl-1064-A2-R4_MC01g02301	1053	3162	Auto	Auto	1	0.000949668	0.030816678	89	89	0.084520418	0.290723955	1	0.000949668	0.030816678	89	89	0.084520418	0.290723955	0	0	0	403028	404200	6.39999988	0.42007784	0.42007784	0.0875668	0.5187251	6.75553656	6.41276402	5.77314793	6.48871654	NON	NON
MvSl-1064-A1-R4_MC01-1g02021	1364	4095	MvSl-1064-A2-R4_MC01g02302	1364	4095	Auto	Auto	3	0.002199413	0.046897905	164	491	0.359970674	0.599975562	3	0.002199413	0.046897905	163.667	492	0.360703812	0.600586224	0	0.333	-1	405443	406266	6.85991373	0.03385032	0.03385032	0.85478911	0.99994992	6.90012888	6.85288756	6.76266678	6.91893312	NON	NON
MvSl-1064-A1-R4_MC01-1g02022	87	264	MvSl-1064-A2-R4_MC01g02303	87	264	Auto	Auto	2	0.022988506	0.151619609	93.5	187	2.149425287	1.466091841	2	0.022988506	0.151619609	93.5	187	2.149425287	1.466091841	0	0	0	406833	408842	3.375173819	1.684384058	1.684384058	4.05E-07	1.39E-05	4.019462882	3.924011133	2.585112866	1.960162301	Up	DE
MvSl-1064-A1-R4_MC01-1g02023	33	102	MvSl-1064-A2-R4_MC01g02304	33	102	Auto	Auto	1	0.03030303	0.174077656	96	96	2.909090909	1.705605731	1	0.03030303	0.174077656	96	96	2.909090909	1.705605731	0	0	0	408479	410228	0.77949115	1.23916138	1.23916138	0.00641701	0.08237085	1.09291754	1.35105268	0.00624794	0.12370694	NON	NON
MvSl-1064-A1-R4_MC01-1g02025	125	378	MvSl-1064-A2-R4_MC01g02306	125	378	Auto	Auto	3	0.024	0.154919334	49	147	1.176	1.084435337	3	0.024	0.154919334	49	147	1.176	1.084435337	0	0	0	409145	410464	4.26213583	0.15150926	0.15150926	0.5697934	0.9930078	4.48902776	4.16285532	4.14085283	4.22671425	NON	NON
MvSl-1064-A1-R4_MC01-1g02026	459	1380	MvSl-1064-A2-R4_MC01g02307	459	1380	Auto	Auto	4	0.008714597	0.093352006	80.5	322	0.701525054	0.837570925	4	0.008714597	0.093352006	80.5	322	0.701525054	0.837570925	0	0	0	410615	410785	3.7882716	0.00866167	0.00866167	0.97518246	0.99994992	3.79224957	3.79282559	3.74866531	3.81848149	NON	NON
MvSl-1064-A1-R4_MC01-1g02027	508	1527	MvSl-1064-A2-R4_MC01g02308	508	1527	Auto	Auto	6	0.011811024	0.108678533	96.8333	581	1.143700787	1.069439473	6	0.011811024	0.108678533	96.8333	581	1.143700787	1.069439473	0	0	0	411349	412691	3.37304699	0.46852668	0.46852668	0.12329848	0.62855023	3.7164688	3.43883206	3.07820266	3.16104793	NON	NON
MvSl-1064-A1-R4_MC01-1g02029	1302	3909	MvSl-1064-A2-R4_MC01g02310	1302	3909	Auto	Auto	9	0.006912442	0.083141099	69.7778	628	0.482334869	0.694503326	9	0.006912442	0.083141099	69.7778	628	0.482334869	0.694503326	0	0	0	411812	413939	7.47573756	0.03383771	0.03383771	0.87117206	0.99994992	7.6004079	7.37593884	7.32654997	7.579834	NON	NON
MvSl-1064-A1-R4_MC01-1g02030	473	1422	MvSl-1064-A2-R4_MC01g02311	473	1422	Auto	Auto	4	0.00845666	0.091960098	67.25	269	0.568710359	0.754128875	4	0.00845666	0.091960098	67.25	269	0.568710359	0.754128875	0	0	0	412929	415126	5.27193379	0.05264135	0.05264135	0.81422083	0.99994992	5.25171567	5.34257586	5.14541926	5.33898415	NON	NON
MvSl-1064-A1-R4_MC01-1g02031	690	2073	MvSl-1064-A2-R4_MC01g02312	690	2073	Auto	Auto	2	0.002898551	0.05383819	73.5	147	0.213043478	0.461566331	2	0.002898551	0.05383819	73.5	147	0.213043478	0.461566331	0	0	0	414226	417185	7.35345314	0.21990164	0.21990164	0.39637174	0.94723837	7.69162466	7.18172243	6.87079737	7.53267787	NON	NON
MvSl-1064-A1-R4_MC01-1g02032	561	1686	MvSl-1064-A2-R4_MC01g02313	561	1686	Auto	Auto	6	0.010695187	0.103417538	67.5	405	0.721925134	0.849661776	6	0.010695187	0.103417538	67.5	405	0.721925134	0.849661776	0	0	0	415797	417077	7.36637286	-0.029033	0.02903298	0.88481187	0.99994992	7.42463564	7.27509114	7.30731308	7.45079048	NON	NON
MvSl-1064-A1-R4_MC01-1g02033	404	1215	MvSl-1064-A2-R4_MC01g02314	404	1215	Auto	Auto	1	0.002475248	0.04975186	139	139	0.344059406	0.586565773	1	0.002475248	0.04975186	139	139	0.344059406	0.586565773	0	0	0	417391	418759	6.07972909	-0.1174351	0.11743506	0.54598945	0.99096192	6.01799525	6.02202613	6.20702784	6.06388995	NON	NON
MvSl-1064-A1-R4_MC01-1g02034	367	1104	MvSl-1064-A2-R4_MC01g02315	367	1104	Auto	Auto	2	0.005449591	0.073821347	77	154	0.419618529	0.647779691	2	0.005449591	0.073821347	77	154	0.419618529	0.647779691	0	0	0	419975	420224	8.50971777	-0.5437284	0.54372843	0.06148727	0.42153542	8.00573908	8.39340256	9.07913515	8.33926816	NON	NON
MvSl-1064-A1-R4_MC01-1g02035	412	1239	MvSl-1064-A2-R4_MC01g02316	412	1239	Auto	Auto	3	0.007281553	0.085332019	81.6667	245	0.594660194	0.771142136	3	0.007281553	0.085332019	81.6667	245	0.594660194	0.771142136	0	0	0	420475	422842	8.05095363	-0.2363484	0.23634842	0.32493505	0.9041087	7.86863694	7.98509756	8.38623374	7.90185867	NON	NON
MvSl-1064-A1-R4_MC01-1g02036	279	840	MvSl-1064-A2-R4_MC01g02317	279	840	Auto	Auto	3	0.010752688	0.103695169	72.6667	218	0.781362007	0.883946835	3	0.010752688	0.103695169	72.6667	218	0.781362007	0.883946835	0	0	0	420845	422419	5.52203807	-0.1373913	0.13739131	0.56671987	0.9930078	5.42360162	5.479906	5.85491696	5.26259434	NON	NON
MvSl-1064-A1-R4_MC01-1g02037	121	366	MvSl-1064-A2-R4_MC01g02318	121	366	Auto	Auto	5	0.041322314	0.203278907	92.6	463	3.826446281	1.956130436	5	0.041322314	0.203278907	92.6	463	3.826446281	1.956130436	0	0	0	422801	424999	9.39325779	0.03037985	0.03037985	0.92595346	0.99994992	9.03863781	9.70239823	9.64200633	9.05455454	NON	NON
MvSl-1064-A1-R4_MC01-1g02038	202	609	MvSl-1064-A2-R4_MC01g02319	202	609	Auto	Auto	3	0.014851485	0.12186667	98	294	1.455445545	1.206418478	3	0.014851485	0.12186667	98	294	1.455445545	1.206418478	0	0	0	425319	427165	3.54395271	0.04121675	0.04121675	0.8875992	0.99994992	3.53425778	3.59325394	3.55348808	3.49210079	NON	NON
MvSl-1064-A1-R4_MC01-1g02039	962	2889	MvSl-1064-A2-R4_MC01g02320	962	2889	Auto	Auto	1	0.001039501	0.032241294	80	80	0.083160083	0.2883749	1	0.001039501	0.032241294	80	80	0.083160083	0.2883749	0	0	0	426020	427035	7.19424872	-0.0184356	0.01843558	0.92333236	0.99994992	7.1447657	7.22416939	7.20031951	7.20655301	NON	NON
MvSl-1064-A1-R4_MC01-1g02043	113	342	MvSl-1064-A2-R4_MC01g02324	113	342	Auto	Auto	3	0.026548673	0.162937634	118.667	356	3.150442478	1.774948585	3	0.026548673	0.162937634	118.667	356	3.150442478	1.774948585	0	0	0	427431	428413	5.09471581	0.05146981	0.05146981	0.83853757	0.99994992	4.83317327	5.35923268	5.1647876	4.96565234	NON	NON
MvSl-1064-A1-R4_MC01-1g02044	198	597	MvSl-1064-A2-R4_MC01g02325	198	597	Auto	Auto	5	0.025252525	0.158910432	86.8	434	2.191919192	1.480513152	5	0.025252525	0.158910432	86.8	434	2.191919192	1.480513152	0	0	0	428360	430966	5.47963571	0.19251166	0.19251166	0.36875551	0.93070887	5.64414735	5.49656482	5.32065561	5.43736623	NON	NON
MvSl-1064-A1-R4_MC01-1g02045	529	1590	MvSl-1064-A2-R4_MC01g02326	529	1590	Auto	Auto	7	0.013232514	0.115032666	98	686	1.296786389	1.138765292	7	0.013232514	0.115032666	98	686	1.296786389	1.138765292	0	0	0	428507	429654	5.63067102	0.02620113	0.02620113	0.93450674	0.99994992	5.88586178	5.35259301	4.95583371	6.06980102	NON	NON
MvSl-1064-A1-R4_MC01-1g02046	105	318	MvSl-1064-A2-R4_MC01g02327	105	318	Auto	Auto	1	0.00952381	0.097590007	0	0	0	0	1	0.00952381	0.097590007	0	0	0	0	0	0	0	429728	431119	3.614389019	1.06833939	1.06833939	0.000527174	0.010196408	4.219378178	3.845794212	2.831232093	3.125165782	Up	DE
MvSl-1064-A1-R4_MC01-1g02048	80	243	MvSl-1064-A2-R4_MC01g02329	80	243	Auto	Auto	2	0.025	0.158113883	88	176	2.2	1.483239697	2	0.025	0.158113883	88	176	2.2	1.483239697	0	0	0	431648	433359	4.50647508	0.26434284	0.26434284	0.30297243	0.88702443	4.8041798	4.4352597	4.39524334	4.34061658	NON	NON
MvSl-1064-A1-R4_MC01-1g02049	1331	3996	MvSl-1064-A2-R4_MC01g02330	1331	3996	Auto	Auto	16	0.012021037	0.109640489	88.3125	1413	1.061607814	1.030343542	16	0.012021037	0.109640489	88.3125	1413	1.061607814	1.030343542	0	0	0	433174	435908	5.73125717	-0.0833542	0.0833542	0.69833324	0.99994992	5.83540586	5.52636937	5.69832762	5.84284624	NON	NON
MvSl-1064-A1-R4_MC01-1g02050	122	369	MvSl-1064-A2-R4_MC01g02331	122	369	Auto	Auto	3	0.024590164	0.156812512	64	192	1.573770492	1.254500096	3	0.024590164	0.156812512	64	192	1.573770492	1.254500096	0	0	0	433526	434475	3.13059535	-0.118536	0.11853597	0.70129306	0.99994992	3.01580811	3.12493435	3.24924136	3.12516578	NON	NON
