gida1	a1prot	a1cds	gida2	a2prot	a2cds	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	intron_nr_a2	intron_mean_a2	intron_total_a2	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE	DE2
MvSl-1064-A1-R4_A1g01446	79	240	MvSl-1064-A2-R4_A2g01759	79	240	bPAR	bPAR	1	0	0	1	0	0	0	0	0	3229595	3229834	5.2997026	0.32669388	0.32669388	0.15609013	0.68466625	5.54540341	5.3542558	4.98033261	5.26052843	NON	NON
MvSl-1064-A1-R4_A1g01447	1001	3006	MvSl-1064-A2-R4_A2g01760	1001	3006	bPAR	bPAR	4	160.75	643	4	160.75	643	0	0	0	3231159	3234807	6.10659387	0.15025039	0.15025039	0.46368317	0.97618821	6.34682355	5.99029724	6.01525672	6.04360918	NON	NON
MvSl-1064-A1-R4_A1g01450	794	2385	MvSl-1064-A2-R4_A2g01763	794	2385	bPAR	bPAR	5	86.6	433	5	86.6	433	0	0	0	3239229	3242046	4.83639563	0.14369571	0.14369571	0.58007703	0.9930078	5.1439924	4.6207629	4.64553053	4.87133082	NON	NON
MvSl-1064-A1-R4_A1g01451	418	1257	MvSl-1064-A2-R4_A2g01764	418	1257	bPAR	bPAR	5	90.4	452	5	90.4	452	0	0	0	3242237	3243945	5.43358237	-0.0024726	0.0024726	0.99112406	0.99994992	5.33684673	5.52193775	5.57022958	5.28512621	NON	NON
MvSl-1064-A1-R4_A1g01453	492	1479	MvSl-1064-A2-R4_A2g01766	492	1479	bPAR	bPAR	5	136.2	681	5	136.2	681	0	0	0	3245830	3247989	7.99625301	0.48758809	0.48758809	0.02632583	0.24226001	8.13409407	8.29986366	7.80720586	7.6525326	NON	NON
MvSl-1064-A1-R4_A1g01458	779	2340	MvSl-1064-A2-R4_A2g01771	779	2340	bPAR	bPAR	7	71.1429	498	7	71.1429	498	0	0	0	3251205	3254042	6.69454352	-0.1109656	0.11096558	0.54214626	0.98991415	6.63173329	6.64445734	6.75132309	6.74661846	NON	NON
MvSl-1064-A1-R4_A1g01459	95	288	MvSl-1064-A2-R4_A2g01772	95	288	bPAR	bPAR	1	0	0	1	0	0	0	0	0	3256296	3256583	0.60440484	5.483609744	5.483609744	2.93E-14	2.35E-12	1.554104671	1.403388459	-2.271875237	-3.311053328	Up	DE
MvSl-1064-A1-R4_A1g01460	358	1077	MvSl-1064-A2-R4_A2g01773	358	1077	bPAR	bPAR	3	84.3333	253	3	84.3333	253	0	0	0	3259899	3261228	6.99825441	0.11024678	0.11024678	0.56306435	0.99255356	6.96869209	7.13121572	7.03474796	6.8429607	NON	NON
MvSl-1064-A1-R4_A1g01461	355	1068	MvSl-1064-A2-R4_A2g01774	355	1068	bPAR	bPAR	1	153	153	1	153	153	0	0	0	3261448	3262668	6.31290438	-0.0042884	0.00428838	0.9819382	0.99994992	6.33673551	6.28433885	6.38547423	6.24092705	NON	NON
MvSl-1064-A1-R4_A1g01462	396	1191	MvSl-1064-A2-R4_A2g01775	396	1191	bPAR	bPAR	5	88.4	442	5	88.4	442	0	0	0	3263169	3264801	7.50470857	-0.2605366	0.26053659	0.20030627	0.76484086	7.26090504	7.46904471	7.6798654	7.57651635	NON	NON
MvSl-1064-A1-R4_A1g01465	155	468	MvSl-1064-A2-R4_A2g01778	155	468	bPAR	bPAR	1	92	92	1	92	92	0	0	0	3270671	3271230	3.03930592	-0.5314859	0.53148589	0.14935334	0.67130479	3.0491413	2.38868711	2.90475008	3.58087465	NON	NON
MvSl-1064-A1-R4_A1g01467	400	1203	MvSl-1064-A2-R4_A2g01780	400	1203	bPAR	bPAR	6	85.6667	514	6	85.6667	514	0	0	0	3277429	3279145	5.66004566	0.06257752	0.06257752	0.76231604	0.99994992	5.66176402	5.71935764	5.49910537	5.74723399	NON	NON
MvSl-1064-A1-R4_A1g01468	579	1740	MvSl-1064-A2-R4_A2g01781	579	1740	bPAR	bPAR	1	71	71	1	71	71	0	0	0	3279617	3281427	5.72481132	0.22679441	0.22679441	0.28264769	0.87359186	5.88931698	5.77504076	5.47861452	5.72493151	NON	NON
MvSl-1064-A1-R4_A1g01469	41	126	MvSl-1064-A2-R4_A2g01782	41	126	bPAR	bPAR	1	75	75	1	75	75	0	0	0	3282569	3282769	0.25401961	0.44032372	0.44032372	0.36482716	0.92774795	0.51006081	0.35473375	-0.2431744	0.26230634	NON	NON
MvSl-1064-A1-R4_A1g01470	711	2136	MvSl-1064-A2-R4_A2g01783	711	2136	bPAR	bPAR	3	108	324	3	108	324	0	0	0	3284420	3286879	5.68643015	-0.1870019	0.18700194	0.46364616	0.97618821	5.3435794	5.80087772	6.05731752	5.42819265	NON	NON
MvSl-1064-A1-R4_A1g01471	526	1581	MvSl-1064-A2-R4_A2g01784	526	1581	bPAR	bPAR	3	127	380	3	126.667	381	0	0.333	-1	3289330	3291290	6.73980696	-0.0123566	0.01235658	0.94574086	0.99994992	6.71716699	6.74990899	6.77672211	6.71452962	NON	NON
MvSl-1064-A1-R4_A1g01472	348	1047	MvSl-1064-A2-R4_A2g01785	348	1047	bPAR	bPAR	1	76	76	1	76	76	0	0	0	3291750	3292872	5.85208058	-0.0792834	0.07928343	0.71017464	0.99994992	5.7275839	5.89184107	6.03527165	5.73091263	NON	NON
MvSl-1064-A1-R4_A1g01473	272	819	MvSl-1064-A2-R4_A2g01786	272	819	bPAR	bPAR	3	114	342	3	114	342	0	0	0	3293435	3294595	7.94874341	0.06747464	0.06747464	0.78522856	0.99994992	7.80572784	8.13916139	8.15667664	7.62348942	NON	NON
MvSl-1064-A1-R4_A1g01474	120	363	MvSl-1064-A2-R4_A2g01787	120	363	bPAR	bPAR	2	112	224	2	112	224	0	0	0	3296413	3296999	1.0339342	0.19929049	0.19929049	0.64680863	0.99994992	1.38165766	0.80731101	1.04780328	0.80629397	NON	NON
MvSl-1064-A1-R4_A1g01475	64	195	MvSl-1064-A2-R4_A2g01788	64	195	bPAR	bPAR	1	0	0	1	0	0	0	0	0	3297186	3297380	0.3077216	0.89448594	0.89448594	0.06700436	0.44533271	0.81142879	0.45732006	-0.3369155	-0.0296367	NON	NON
MvSl-1064-A1-R4_A1g01476	671	2016	MvSl-1064-A2-R4_A2g01789	671	2016	bPAR	bPAR	1	69	69	1	69	69	0	0	0	3299543	3301627	4.48954129	0.16335479	0.16335479	0.5191138	0.98553807	4.67401147	4.45399066	4.30502099	4.49970778	NON	NON
MvSl-1064-A1-R4_A1g01477	761	2286	MvSl-1064-A2-R4_A2g01790	761	2286	bPAR	bPAR	4	63.25	253	4	63.25	253	0	0	0	3302338	3304876	7.12369792	-0.0878907	0.08789066	0.64651502	0.99994992	6.97953893	7.17232721	7.1992763	7.13393082	NON	NON
MvSl-1064-A1-R4_A1g01478	135	408	MvSl-1064-A2-R4_A2g01791	135	408	bPAR	bPAR	3	125.667	377	3	125.667	377	0	0	0	3306303	3307087	0.26716903	-0.6272916	0.62729155	0.1889568	0.74994971	-0.0018095	-0.0756545	0.40408779	0.6634975	NON	NON
MvSl-1064-A1-R4_A1g01481	490	1473	MvSl-1064-A2-R4_A2g01794	490	1473	bPAR	bPAR	1	64	64	1	64	64	0	0	0	3309866	3311402	2.06327728	-0.3381931	0.33819305	0.34633799	0.91695369	2.00847067	1.76516844	2.20747877	2.23726877	NON	NON
MvSl-1064-A1-R4_A1g01482	226	681	MvSl-1064-A2-R4_A2g01795	226	681	bPAR	bPAR	3	115	345	3	115	345	0	0	0	3311569	3312594	1.60258685	-0.0105723	0.0105723	0.9781359	0.99994992	1.59981269	1.59558916	1.49134371	1.71668659	NON	NON
MvSl-1064-A1-R4_A1g01484	216	651	MvSl-1064-A2-R4_A2g01797	216	651	bPAR	bPAR	3	138	414	3	138	414	0	0	0	3316489	3317553	1.51826261	-1.1320739	1.13207393	0.00411607	0.05787543	0.95902757	0.80731101	2.01221197	1.93964996	NON	NON
MvSl-1064-A1-R4_A1g01485	552	1659	MvSl-1064-A2-R4_A2g01798	552	1659	bPAR	bPAR	4	78.5	314	4	78.5	314	0	0	0	3318298	3320270	6.90214702	-0.1982578	0.19825775	0.32593428	0.9041087	6.71975695	6.87564312	7.17983973	6.78951712	NON	NON
MvSl-1064-A1-R4_A1g01486	902	2709	MvSl-1064-A2-R4_A2g01799	902	2709	bPAR	bPAR	2	67	134	2	67	134	0	0	0	3320827	3323669	6.20007769	0.28424332	0.28424332	0.18403403	0.74204275	6.49705526	6.15198401	5.87072899	6.21128523	NON	NON
MvSl-1064-A1-R4_A1g01487	753	2262	MvSl-1064-A2-R4_A2g01800	753	2262	bPAR	bPAR	4	86.25	345	4	86.25	345	0	0	0	3323907	3326513	9.42650329	-0.5437617	0.54376175	0.07855536	0.48629238	8.929598	9.30458662	9.93806113	9.34782741	NON	NON
MvSl-1064-A1-R4_A1g01488	1258	3777	MvSl-1064-A2-R4_A2g01801	1258	3777	bPAR	bPAR	6	93.8333	563	6	94	564	0	-0.1667	-1	3327895	3332234	9.61623675	0.53919832	0.53919832	0.05730512	0.40655721	9.86180899	9.85963725	9.33824423	9.30474333	NON	NON
MvSl-1064-A1-R4_A1g01489	134	405	MvSl-1064-A2-R4_A2g01802	134	405	bPAR	bPAR	3	140.333	421	3	140.333	421	0	0	0	3332557	3333382	6.11791045	0.0546061	0.0546061	0.79232795	0.99994992	6.028479	6.25259391	6.24189469	5.92078813	NON	NON
MvSl-1064-A1-R4_A1g01493	553	1662	MvSl-1064-A2-R4_A2g01806	553	1662	bPAR	bPAR	7	92.2857	646	7	92.2857	646	0	0	0	3342886	3345193	0.143937876	-2.930023968	2.930023968	1.67E-06	5.15E-05	-0.926535427	-2.757536787	0.715598022	1.165494325	Down	DE
MvSl-1064-A1-R4_A1g01494	908	2727	MvSl-1064-A2-R4_A2g01807	908	2727	bPAR	bPAR	1	42	42	1	42	42	0	0	0	3345781	3348549	7.318336786	-0.924508323	0.924508323	0.000134886	0.002956775	6.995657804	6.535823429	7.431556554	7.939793523	Down	DE
MvSl-1064-A1-R4_A1g01495	359	1080	MvSl-1064-A2-R4_A2g01808	359	1080	bPAR	bPAR	3	70.3333	211	3	70.3333	211	0	0	0	3349202	3350492	5.46265898	0.26436545	0.26436545	0.28750929	0.87566737	5.84017458	5.28271422	5.15836034	5.47348812	NON	NON
MvSl-1064-A1-R4_A1g01496	74	225	MvSl-1064-A2-R4_A2g01809	74	225	bPAR	bPAR	1	0	0	1	0	0	0	0	0	3350982	3351206	2.28757114	0.59485735	0.59485735	0.13017637	0.64158022	2.76808899	2.28091122	1.54488648	2.28683138	NON	NON
MvSl-1064-A1-R4_A1g01497	230	693	MvSl-1064-A2-R4_A2g01810	230	693	bPAR	bPAR	4	107.25	429	4	107.25	429	0	0	0	3352840	3353961	5.35705719	0.21616698	0.21616698	0.31404084	0.8973797	5.43625509	5.48446843	5.24381407	5.24598363	NON	NON
MvSl-1064-A1-R4_A1g01498	251	756	MvSl-1064-A2-R4_A2g01811	251	756	bPAR	bPAR	4	105.25	421	4	105.25	421	0	0	0	3354193	3355369	5.05482754	0.07504564	0.07504564	0.74288667	0.99994992	4.98514482	5.19078465	5.03748636	4.99577053	NON	NON
MvSl-1064-A1-R4_A1g01500	1042	3129	MvSl-1064-A2-R4_A2g01813	1042	3129	bPAR	bPAR	5	84.4	422	5	84.4	422	0	0	0	3362914	3366464	7.95780114	-0.0635478	0.06354783	0.76858319	0.99994992	7.98516557	7.86368625	7.90738286	8.06669995	NON	NON
MvSl-1064-A1-R4_A1g01501	354	1065	MvSl-1064-A2-R4_A2g01814	354	1065	bPAR	bPAR	4	106.75	427	4	106.75	427	0	0	0	3366984	3368475	6.31415942	0.02287337	0.02287337	0.90832661	0.99994992	6.23358776	6.41196591	6.43594545	6.1556783	NON	NON
MvSl-1064-A1-R4_A1g01502	1637	4914	MvSl-1064-A2-R4_A2g01815	1590	4773	bPAR	bPAR	3	73.6667	221	3	81.3333	244	0	-7.6666	-23	3368989	3374123	6.93880127	-0.099308	0.09930801	0.61548558	0.9935289	6.994054	6.77433403	6.82486465	7.13393082	NON	NON
MvSl-1064-A1-R4_A1g01505	281	846	MvSl-1064-A2-R4_A2g01818	281	846	bPAR	bPAR	3	118.667	356	3	118.667	356	0	0	0	3379816	3381017	2.95376183	-0.1268701	0.12687013	0.70334754	0.99994992	2.99884818	2.77375928	2.75376561	3.23866139	NON	NON
MvSl-1064-A1-R4_A1g01508	379	1140	MvSl-1064-A2-R4_A2g01821	379	1140	bPAR	bPAR	4	105.5	422	4	105.5	422	0	0	0	3383505	3385066	7.70847504	-0.4117227	0.41172273	0.04832274	0.36590888	7.48867742	7.48772365	7.99925614	7.79279654	NON	NON
MvSl-1064-A1-R4_A1g01509	905	2718	MvSl-1064-A2-R4_A2g01822	905	2718	bPAR	bPAR	7	108.714	761	7	108.714	761	0	0	0	3385519	3388997	6.10513598	-0.1230994	0.1230994	0.60827816	0.9930078	6.0868239	5.99669909	5.76893525	6.47630873	NON	NON
MvSl-1064-A1-R4_A1g01512	1006	3021	MvSl-1064-A2-R4_A2g01825	1006	3021	bPAR	bPAR	5	102.6	513	5	102.6	513	0	0	0	3397281	3400814	0.57148782	-0.7053383	0.70533833	0.19676876	0.75910474	0.73155113	-0.5859874	0.34494208	1.26777326	NON	NON
MvSl-1064-A1-R4_A1g00003	1300	3903	MvSl-1064-A2-R4_A2g01827	1310	3933	bPAR	bPAR	4	125.5	1077	4	269.25	502	0	-143.75	575	3408913	3409518	5.49839536	0.3603115	0.3603115	0.10945406	0.59110725	5.81738143	5.49806976	5.19231288	5.4133925	NON	NON
MvSl-1064-A1-R4_A1g01516	142	429	MvSl-1064-A2-R4_A2g01829	142	429	bPAR	bPAR	2	88.5	177	2	88.5	177	0	0	0	6580	10663	1.27090786	0.58541175	0.58541175	0.14694806	0.66481427	1.55410467	1.47849584	0.89124159	1.01676231	NON	NON
MvSl-1064-A1-R4_MC06g07032	262	789	MvSl-1064-A2-R4_C25g01885	262	789	Auto	Auto	3	78.3333	235	3	78.3333	235	0	0	0	39986	41872	2.999144651	2.952178564	2.952178564	3.85E-12	2.52E-10	4.215713089	3.222838747	0.761554	1.055407329	Up	DE
MvSl-1064-A1-R4_MC06g07033	1511	4536	MvSl-1064-A2-R4_C25g01886	1511	4536	Auto	Auto	16	79.75	1276	16	79.75	1276	0	0	0	1	3803	5.313732564	1.357013949	1.357013949	4.43E-06	0.00012666	6.058458009	5.571382902	4.013699128	4.835695686	Up	DE
MvSl-1064-A1-R4_MC09-2g09580	1082	3249	MvSl-1064-A2-R4_C28g01908	1082	3249	Auto	Auto	1	268	268	1	268	268	0	0	0	4141	7652	4.070377367	-1.359168185	1.359168185	1.02E-06	3.26E-05	3.291249234	3.200827934	4.462871657	4.720180125	Down	DE
MvSl-1064-A1-R4_MC09-2g09578	1018	3057	MvSl-1064-A2-R4_C28g01910	1018	3057	Auto	Auto	4	181	724	4	181	724	0	0	0	5214	5593	0.14508018	-0.9796618	0.97966183	0.06639022	0.44306788	-0.0717488	-0.6918173	0.00624794	0.93622085	NON	NON
MvSl-1064-A1-R4_MC12g11286	3862	11589	MvSl-1064-A2-R4_C30g01930	3862	11589	Auto	Auto	8	268.875	2151	8	268.875	2151	0	0	0	5862	8116	5.09081459	-0.1225438	0.12254378	0.58995735	0.9930078	5.09695225	4.95691211	5.19231288	5.10802775	NON	NON
MvSl-1064-A1-R4_MC01-1g01697	841	2526	MvSl-1064-A2-R4_MC01g01978	841	2526	Auto	Auto	4	143.25	573	4	143.25	573	0	0	0	9448	11814	1.15342171	0.64113649	0.64113649	0.13449421	0.6441406	1.66576907	1.12036799	0.8492945	0.76024789	NON	NON
MvSl-1064-A1-R4_MC01-1g01698	50	153	MvSl-1064-A2-R4_MC01g01979	50	153	Auto	Auto	1	227	227	1	227	227	0	0	0	14372	14536	0.48548425	-0.1657391	0.16573909	0.7154652	0.99994992	0.41097597	0.40693855	0.61904656	0.50499877	NON	NON
MvSl-1064-A1-R4_MC01-1g01699	615	1848	MvSl-1064-A2-R4_MC01g01980	615	1848	Auto	Auto	2	203.5	407	2	203.5	407	0	0	0	14920	16821	5.539113531	-1.319583218	1.319583218	4.78E-10	2.37E-08	4.759566915	4.71436641	6.118195214	5.986008145	Down	DE
MvSl-1064-A1-R4_MC01-1g01701	762	2289	MvSl-1064-A2-R4_MC01g01982	762	2289	Auto	Auto	1	78	78	1	78	78	0	0	0	16937	17296	7.6714982	0.18023144	0.18023144	0.37799491	0.93541077	7.78732638	7.72951011	7.51021596	7.64384125	NON	NON
MvSl-1064-A1-R4_MC01-1g01703	555	1668	MvSl-1064-A2-R4_MC01g01984	555	1668	Auto	Auto	3	78	234	3	78	234	0	0	0	17413	19467	4.89444537	-0.0051078	0.00510781	0.98240028	0.99994992	4.9122918	4.87124544	4.96076688	4.83013438	NON	NON
MvSl-1064-A1-R4_MC01-1g01705	770	2313	MvSl-1064-A2-R4_MC01g01986	770	2313	Auto	Auto	4	91	364	4	91	364	0	0	0	18064	20740	4.37025314	-0.1737863	0.1737863	0.49124878	0.97963196	4.27678762	4.28644356	4.45939021	4.44981145	NON	NON
MvSl-1064-A1-R4_MC01-1g01707	143	432	MvSl-1064-A2-R4_MC01g01988	143	432	Auto	Auto	1	79	79	1	79	79	0	0	0	20934	21320	5.23486577	0.32318434	0.32318434	0.35597738	0.92151231	5.11477253	5.61503436	5.56861474	4.28071765	NON	NON
MvSl-1064-A1-R4_MC01-1g01709	243	732	MvSl-1064-A2-R4_MC01g01990	243	732	Auto	Auto	7	103	721	7	103	721	0	0	0	20942	21127	5.8118288	-0.100651	0.10065097	0.64333586	0.99994992	5.64551014	5.86759621	6.0105067	5.69464821	NON	NON
MvSl-1064-A1-R4_MC01-1g01710	218	657	MvSl-1064-A2-R4_MC01g01991	213	642	Auto	Auto	1	78	78	1	78	78	0	0	0	21189	21699	3.90369383	0.68115602	0.68115602	0.05189278	0.38211143	3.91032465	4.44153042	3.91548384	2.98205096	NON	NON
MvSl-1064-A1-R4_MC01-1g01711	1574	4725	MvSl-1064-A2-R4_MC01g01992	1574	4725	Auto	Auto	5	68.8	344	5	68.8	344	0	0	0	21439	22441	7.2577075	0.03968519	0.03968519	0.84632181	0.99994992	7.34718715	7.20402441	7.07965777	7.38023884	NON	NON
MvSl-1064-A1-R4_MC01-1g01712	291	876	MvSl-1064-A2-R4_MC01g01993	291	876	Auto	Auto	7	81.1429	568	7	81.1429	568	0	0	0	23393	25963	7.13245239	-0.2500334	0.25003345	0.18278542	0.74128678	6.97520997	7.0287377	7.26306867	7.24101391	NON	NON
MvSl-1064-A1-R4_MC01-1g01713	781	2346	MvSl-1064-A2-R4_MC01g01994	781	2346	Auto	Auto	1	0	0	1	0	0	0	0	0	23818	25270	3.95562347	0.07022372	0.07022372	0.80177778	0.99994992	4.10911736	3.85990895	3.80461336	4.02730148	NON	NON
MvSl-1064-A1-R4_MC01-1g01715	65	198	MvSl-1064-A2-R4_MC01g01996	65	198	Auto	Auto	1	0	0	1	0	0	0	0	0	26052	30485	1.06300029	0.09604066	0.09604066	0.82138648	0.99994992	1.27299386	0.91938272	0.8492945	1.16549433	NON	NON
MvSl-1064-A1-R4_MC01-1g01716	90	273	MvSl-1064-A2-R4_MC01g01997	90	273	Auto	Auto	1	107	107	1	107	107	0	0	0	31714	32073	3.69547759	-0.0836984	0.08369841	0.78558478	0.99994992	3.88285541	3.38127987	3.57294957	3.88436084	NON	NON
MvSl-1064-A1-R4_MC01-1g01717	405	1218	MvSl-1064-A2-R4_MC01g01998	405	1218	Auto	Auto	6	76.8333	461	6	76.8333	461	0	0	0	32646	40126	5.28241842	-0.0473904	0.04739037	0.83678224	0.99994992	5.38659222	5.11826623	5.19650131	5.40780306	NON	NON
MvSl-1064-A1-R4_MC01-1g01719	781	2346	MvSl-1064-A2-R4_MC01g02000	781	2346	Auto	Auto	5	92.6	463	5	92.6	463	0	0	0	32702	34145	1.4090196	0.43463198	0.43463198	0.27738765	0.86641835	1.7081222	1.47849584	1.04780328	1.30031599	NON	NON
MvSl-1064-A1-R4_MC01-1g01720	679	2040	MvSl-1064-A2-R4_MC01g02001	679	2040	Auto	Auto	3	125.333	376	3	125.333	376	0	0	0	34395	36740	6.66462921	0.19882127	0.19882127	0.301942	0.88702443	6.84722017	6.66804631	6.49919385	6.62181428	NON	NON
MvSl-1064-A1-R4_MC01-1g01722	431	1296	MvSl-1064-A2-R4_MC01g02003	431	1296	Auto	Auto	2	138.5	277	2	138.5	277	0	0	0	38506	38703	1.262542711	1.577594889	1.577594889	0.000191006	0.004012616	1.866098393	1.74502952	0.344942075	0.262306339	Up	DE
MvSl-1064-A1-R4_MC01-1g01725	604	1815	MvSl-1064-A2-R4_MC01g02006	604	1815	Auto	Auto	3	95	285	3	95	285	0	0	0	39784	40163	5.61290945	-0.0377595	0.03775949	0.85573408	0.99994992	5.48426513	5.69594389	5.65027817	5.61280107	NON	NON
MvSl-1064-A1-R4_MC01-1g01726	1093	3282	MvSl-1064-A2-R4_MC01g02007	1093	3282	Auto	Auto	3	143	429	3	143	429	0	0	0	40258	42105	6.7947832	0.00289309	0.00289309	0.98720797	0.99994992	6.77683474	6.81535309	6.76619347	6.81999771	NON	NON
MvSl-1064-A1-R4_MC01-1g01727	339	1020	MvSl-1064-A2-R4_MC01g02008	339	1020	Auto	Auto	4	108.75	435	4	108.75	435	0	0	0	40802	42480	4.16213964	0.05215854	0.05215854	0.8471144	0.99994992	4.24477636	4.12828782	3.97521159	4.28071765	NON	NON
MvSl-1064-A1-R4_MC01-1g01728	882	2649	MvSl-1064-A2-R4_MC01g02009	882	2649	Auto	Auto	6	105	630	6	105	630	0	0	0	42719	43578	7.28869608	-0.0409959	0.04099589	0.84636078	0.99994992	7.15628378	7.37184044	7.47228619	7.12487444	NON	NON
MvSl-1064-A1-R4_MC01-1g01729	914	2745	MvSl-1064-A2-R4_MC01g02010	914	2745	Auto	Auto	2	74.5	149	2	74.5	149	0	0	0	42721	43005	4.52220077	0.16360816	0.16360816	0.57930245	0.9930078	4.83077928	4.32765265	4.08320753	4.72318365	NON	NON
MvSl-1064-A1-R4_MC01-1g01730	380	1143	MvSl-1064-A2-R4_MC01g02011	380	1143	Auto	Auto	3	92.6667	278	3	92.6667	278	0	0	0	44063	44338	4.79876183	-0.0796033	0.07960328	0.73352133	0.99994992	4.80173717	4.71436641	4.83207524	4.84399765	NON	NON
MvSl-1064-A1-R4_MC01-1g01731	810	2433	MvSl-1064-A2-R4_MC01g02012	810	2433	Auto	Auto	3	189.333	568	3	189.333	568	0	0	0	45147	45873	10.5662637	0.0484504	0.0484504	0.88373342	0.99994992	10.6516655	10.5261717	10.4177614	10.656081	NON	NON
MvSl-1064-A1-R4_MC01-1g01734	716	2151	MvSl-1064-A2-R4_MC01g02015	716	2151	Auto	Auto	2	71	142	2	71	142	0	0	0	51022	51455	4.09322196	0.07266799	0.07266799	0.79048628	0.99994992	4.23394613	4.0151211	4.1794533	3.9214455	NON	NON
MvSl-1064-A1-R4_MC01-1g01735	418	1257	MvSl-1064-A2-R4_MC01g02016	418	1257	Auto	Auto	5	84.8	424	5	84.8	424	0	0	0	51311	52883	2.26309938	-0.7378059	0.73780586	0.04968949	0.37190627	1.68710105	2.02105783	2.27240607	2.84538393	NON	NON
MvSl-1064-A1-R4_MC01-1g01738	199	600	MvSl-1064-A2-R4_MC01g02019	199	600	Auto	Auto	1	125	125	1	125	125	0	0	0	53094	53351	1.35715773	1.03542558	1.03542558	0.0133008	0.14540736	1.57713969	1.9168949	0.51556703	0.97705356	NON	NON
MvSl-1064-A1-R4_MC01-1g01740	96	291	MvSl-1064-A2-R4_MC01g02021	96	291	Auto	Auto	1	0	0	1	0	0	0	0	0	53416	54394	3.564506832	0.895446108	0.895446108	0.00247035	0.037578335	3.998285752	3.873886934	3.122900599	2.971985664	Up	DE
MvSl-1064-A1-R4_MC01-1g01741	676	2031	MvSl-1064-A2-R4_MC01g02022	676	2031	Auto	Auto	4	76	304	4	76	304	0	0	0	53618	54744	6.10070784	0.05874699	0.05874699	0.76526175	0.99994992	6.19966485	6.05614038	5.99616206	6.14227684	NON	NON
MvSl-1064-A1-R4_MC01-1g01742	644	1935	MvSl-1064-A2-R4_MC01g02023	644	1935	Auto	Auto	4	134.75	539	4	134.75	539	0	0	0	54485	55279	6.98671243	-0.2385312	0.23853118	0.19662436	0.75910474	6.88405497	6.84107731	7.05622571	7.14461194	NON	NON
MvSl-1064-A1-R4_MC01-1g01743	253	762	MvSl-1064-A2-R4_MC01g02024	253	762	Auto	Auto	3	78.6667	236	3	78.6667	236	0	0	0	54941	55780	6.24094352	0.09064834	0.09064834	0.64872217	0.99994992	6.13709944	6.41992721	6.25601024	6.13101307	NON	NON
MvSl-1064-A1-R4_MC01-1g01744	511	1536	MvSl-1064-A2-R4_MC01g02025	511	1536	Auto	Auto	5	90.6	453	5	90.6	453	0	0	0	55644	57647	7.8540776	0.07959967	0.07959967	0.70542442	0.99994992	7.86600888	7.92006616	7.75881439	7.86663925	NON	NON
MvSl-1064-A1-R4_MC01-1g01745	91	276	MvSl-1064-A2-R4_MC01g02026	91	276	Auto	Auto	1	115	115	1	115	115	0	0	0	56989	59088	0.86599406	0.16408238	0.16408238	0.71095624	0.99994992	0.64699033	1.18158833	0.80609116	0.76024789	NON	NON
MvSl-1064-A1-R4_MC01-1g01746	145	438	MvSl-1064-A2-R4_MC01g02027	145	438	Auto	Auto	1	142	142	1	142	142	0	0	0	57994	58155	1.55773629	-0.1829922	0.18299224	0.67938945	0.99994992	1.90303017	0.84564376	1.51836347	1.76412125	NON	NON
MvSl-1064-A1-R4_MC01-1g01748	237	714	MvSl-1064-A2-R4_MC01g02029	237	714	Auto	Auto	2	82.5	165	2	82.5	165	0	0	0	59427	63137	4.98380624	0.12159464	0.12159464	0.6014338	0.9930078	4.96126693	5.12022206	4.98033261	4.86045961	NON	NON
MvSl-1064-A1-R4_MC01-1g01749	432	1299	MvSl-1064-A2-R4_MC01g02030	432	1299	Auto	Auto	2	103	206	2	103	206	0	0	0	62246	62460	2.35118563	-0.0546899	0.05468985	0.9043655	0.99994992	2.7978094	1.61790911	1.89339741	2.74256339	NON	NON
MvSl-1064-A1-R4_MC01-1g01750	861	2586	MvSl-1064-A2-R4_MC01g02031	861	2586	Auto	Auto	8	70.625	565	8	70.625	565	0	0	0	62800	63622	4.52969013	0.22222306	0.22222306	0.43863985	0.96781516	4.82357337	4.41946263	4.06957118	4.69286325	NON	NON
MvSl-1064-A1-R4_MC01-1g01751	1535	4608	MvSl-1064-A2-R4_MC01g02032	1535	4608	Auto	Auto	9	77.2222	695	9	77.2222	695	0	0	0	63482	64936	7.7170123	-0.1176008	0.11760083	0.57532785	0.9930078	7.7570718	7.54962692	7.72623113	7.82145795	NON	NON
MvSl-1064-A1-R4_MC01-1g01752	68	207	MvSl-1064-A2-R4_MC01g02033	68	207	Auto	Auto	1	0	0	1	0	0	0	0	0	64173	65414	3.24763075	-0.3838654	0.38386541	0.26654319	0.85277933	2.96431823	3.12493435	3.77130555	2.97198566	NON	NON
MvSl-1064-A1-R4_MC01-1g01753	197	594	MvSl-1064-A2-R4_MC01g02034	197	594	Auto	Auto	1	0	0	1	0	0	0	0	0	65118	68396	4.62375782	0.11532792	0.11532792	0.64487495	0.99994992	4.66597611	4.69350045	4.72306605	4.38680719	NON	NON
