gene	haploid	chr	intronnr	intronmean	introntotal	DE_status	Expression
MvSl-1064-A1-R4_MC05-3g06597	A1	aAutosome	4	88	352	NON	0.638538
MvSl-1064-A1-R4_MC05-3g06598	A1	aAutosome	3	83	249	NON	2.10013
MvSl-1064-A1-R4_MC05-3g06599	A1	aAutosome	1	0	0	NON	4.71285
MvSl-1064-A1-R4_MC05-3g06600	A1	aAutosome	1	53	53	NON	2.93397
MvSl-1064-A1-R4_MC05-3g06601	A1	aAutosome	3	55	165	NON	4.56178
MvSl-1064-A1-R4_MC05-3g06602	A1	aAutosome	2	66.5	133	NON	4.70645
MvSl-1064-A1-R4_MC05-3g06603	A1	aAutosome	5	114.2	571	NON	6.57261
MvSl-1064-A1-R4_MC05-3g06604	A1	aAutosome	1	82	82	NON	5.40085
MvSl-1064-A1-R4_MC05-3g06605	A1	aAutosome	1	0	0	NON	3.58998
MvSl-1064-A1-R4_MC05-3g06606	A1	aAutosome	1	0	0	NON	5.01028
MvSl-1064-A1-R4_MC05-3g06607	A1	aAutosome	1	255	255	NON	6.33548
MvSl-1064-A1-R4_MC05-3g06608	A1	aAutosome	4	96.5	386	NON	4.5564
MvSl-1064-A1-R4_MC05-3g06609	A1	aAutosome	2	185	370	NON	6.67844
MvSl-1064-A1-R4_MC05-3g06610	A1	aAutosome	14	92.1429	1290	NON	9.64973
MvSl-1064-A1-R4_MC05-3g06611	A1	aAutosome	3	148.333	445	NON	6.29362
MvSl-1064-A1-R4_MC05-3g06612	A1	aAutosome	4	86	344	NON	5.20868
MvSl-1064-A1-R4_MC05-3g06613	A1	aAutosome	8	72.25	578	NON	4.93342
MvSl-1064-A1-R4_MC05-3g06614	A1	aAutosome	3	108.667	326	NON	6.20383
MvSl-1064-A1-R4_MC05-3g06615	A1	aAutosome	1	83	83	NON	5.30519
MvSl-1064-A1-R4_MC05-3g06616	A1	aAutosome	4	93.25	373	NON	6.23421
MvSl-1064-A1-R4_MC05-3g06617	A1	aAutosome	1	103	103	NON	0.020111
MvSl-1064-A1-R4_MC05-3g06618	A1	aAutosome	5	96.2	481	NON	-0.0192467
MvSl-1064-A1-R4_MC05-3g06619	A1	aAutosome	3	112.333	337	NON	5.0048
MvSl-1064-A1-R4_MC05-3g06620	A1	aAutosome	1	76	76	NON	6.54741
MvSl-1064-A1-R4_MC05-3g06621	A1	aAutosome	5	79.4	397	NON	2.34877
MvSl-1064-A1-R4_MC05-3g06622	A1	aAutosome	6	156.5	939	NON	9.32504
MvSl-1064-A1-R4_MC05-3g06623	A1	aAutosome	7	98.1429	687	NON	6.40161
MvSl-1064-A1-R4_MC05-3g06624	A1	aAutosome	3	104	312	NON	8.47479
MvSl-1064-A1-R4_MC05-3g06625	A1	aAutosome	4	63.5	254	NON	5.7431
MvSl-1064-A1-R4_MC05-3g06626	A1	aAutosome	5	75	375	NON	7.52639
MvSl-1064-A1-R4_MC05-3g06627	A1	aAutosome	4	69	276	NON	5.96637
MvSl-1064-A1-R4_MC05-3g06628	A1	aAutosome	6	79.8333	479	NON	7.57582
MvSl-1064-A1-R4_MC05-3g06629	A1	aAutosome	1	0	0	NON	1.92454
MvSl-1064-A1-R4_MC05-3g06630	A1	aAutosome	1	87	87	NON	6.19663
MvSl-1064-A1-R4_MC05-3g06631	A1	aAutosome	3	96.3333	289	NON	4.64945
MvSl-1064-A1-R4_MC05-3g06632	A1	aAutosome	3	106.333	319	NON	6.61362
MvSl-1064-A1-R4_MC05-3g06633	A1	aAutosome	1	74	74	NON	5.85694
MvSl-1064-A1-R4_MC05-3g06634	A1	aAutosome	5	108.8	544	NON	4.9288
MvSl-1064-A1-R4_MC05-3g06635	A1	aAutosome	2	75.5	151	NON	5.63695
MvSl-1064-A1-R4_MC05-3g06636	A1	aAutosome	2	68.5	137	NON	7.23205
MvSl-1064-A1-R4_MC05-3g06637	A1	aAutosome	4	133.5	534	NON	6.66206
MvSl-1064-A1-R4_MC05-3g06638	A1	aAutosome	3	105	315	NON	4.63498
MvSl-1064-A1-R4_MC05-3g06639	A1	aAutosome	1	114	114	NON	5.08665
MvSl-1064-A1-R4_MC05-3g06640	A1	aAutosome	1	111	111	NON	5.57866
MvSl-1064-A1-R4_MC05-3g06641	A1	aAutosome	3	106.333	319	NON	6.19362
MvSl-1064-A1-R4_MC05-3g06644	A1	aAutosome	2	68.5	137	NON	7.64254
MvSl-1064-A1-R4_MC05-3g06645	A1	aAutosome	3	82.6667	248	NON	2.89524
MvSl-1064-A1-R4_MC05-3g06646	A1	aAutosome	4	79.5	318	NON	2.32812
MvSl-1064-A1-R4_MC05-3g06647	A1	aAutosome	10	84.2	842	NON	9.64814
MvSl-1064-A1-R4_MC05-3g06648	A1	aAutosome	6	74.8333	449	NON	8.42457
MvSl-1064-A1-R4_MC05-3g06649	A1	aAutosome	2	87.5	175	NON	5.09961
MvSl-1064-A1-R4_MC05-3g06650	A1	aAutosome	14	102.929	1441	NON	8.47474
MvSl-1064-A1-R4_MC05-3g06651	A1	aAutosome	6	128	768	NON	9.47708
MvSl-1064-A1-R4_MC05-3g06652	A1	aAutosome	2	165.5	331	NON	5.85635
MvSl-1064-A1-R4_MC05-3g06653	A1	aAutosome	9	109.556	986	NON	4.03541
MvSl-1064-A1-R4_MC05-3g06654	A1	aAutosome	3	226.333	679	NON	6.58495
MvSl-1064-A1-R4_MC05-3g06655	A1	aAutosome	1	0	0	NON	6.77314
MvSl-1064-A1-R4_MC05-3g06656	A1	aAutosome	4	125.25	501	NON	6.44917
MvSl-1064-A1-R4_MC05-3g06657	A1	aAutosome	2	124.5	249	NON	7.01851
MvSl-1064-A1-R4_MC05-3g06658	A1	aAutosome	1	0	0	NON	5.72306
MvSl-1064-A1-R4_MC05-3g06659	A1	aAutosome	1	0	0	NON	5.41495
MvSl-1064-A1-R4_MC05-3g06660	A1	aAutosome	9	92.7778	835	NON	8.56327
MvSl-1064-A1-R4_MC05-3g06661	A1	aAutosome	3	100.333	301	NON	5.8272
MvSl-1064-A1-R4_MC05-3g06662	A1	aAutosome	4	80.5	322	NON	6.66749
MvSl-1064-A1-R4_MC05-3g06663	A1	aAutosome	2	66.5	133	NON	2.78831
MvSl-1064-A1-R4_MC05-3g06664	A1	aAutosome	6	73	438	NON	4.97027
MvSl-1064-A1-R4_MC05-3g06665	A1	aAutosome	1	58	58	NON	4.12771
MvSl-1064-A1-R4_MC05-3g06666	A1	aAutosome	7	98.5714	690	NON	6.40582
MvSl-1064-A1-R4_MC05-3g06669	A1	aAutosome	3	100.333	301	NON	7.09687
MvSl-1064-A1-R4_MC05-3g06670	A1	aAutosome	8	88.75	710	NON	2.57796
MvSl-1064-A1-R4_MC05-3g06671	A1	aAutosome	1	115	115	NON	5.79787
MvSl-1064-A1-R4_MC05-3g06672	A1	aAutosome	2	58.5	117	NON	6.00676
MvSl-1064-A1-R4_MC05-3g06673	A1	aAutosome	4	82.25	329	NON	5.34053
MvSl-1064-A1-R4_MC05-3g06674	A1	aAutosome	2	76	152	NON	6.68985
MvSl-1064-A1-R4_MC05-3g06675	A1	aAutosome	6	105.667	634	NON	8.27511
MvSl-1064-A1-R4_MC05-3g06676	A1	aAutosome	2	78.5	157	NON	6.07653
MvSl-1064-A1-R4_MC05-3g06677	A1	aAutosome	2	86.5	173	NON	5.75639
MvSl-1064-A1-R4_MC05-3g06678	A1	aAutosome	4	94.25	377	NON	4.12118
MvSl-1064-A1-R4_MC05-3g06679	A1	aAutosome	4	79.75	319	NON	8.56723
MvSl-1064-A1-R4_MC05-3g06680	A1	aAutosome	2	87.5	175	NON	7.35607
MvSl-1064-A1-R4_MC05-3g06682	A1	aAutosome	9	100	900	NON	5.63868
MvSl-1064-A1-R4_MC05-3g06683	A1	aAutosome	3	75	225	NON	4.95096
MvSl-1064-A1-R4_MC05-3g06684	A1	aAutosome	4	117.75	471	NON	7.02154
MvSl-1064-A1-R4_MC05-3g06685	A1	aAutosome	2	87	174	NON	6.04266
MvSl-1064-A1-R4_MC05-3g06686	A1	aAutosome	1	107	107	NON	5.09366
MvSl-1064-A1-R4_MC05-3g06687	A1	aAutosome	3	143.333	430	NON	7.55903
MvSl-1064-A1-R4_MC05-3g06688	A1	aAutosome	2	60.5	121	NON	6.95852
MvSl-1064-A1-R4_MC05-3g06689	A1	aAutosome	5	72.4	362	NON	5.39904
MvSl-1064-A1-R4_MC05-3g06690	A1	aAutosome	7	115	805	NON	8.37352
MvSl-1064-A1-R4_MC05-3g06691	A1	aAutosome	6	83.5	501	NON	6.35386
MvSl-1064-A1-R4_MC05-3g06692	A1	aAutosome	1	0	0	NON	4.69502
MvSl-1064-A1-R4_MC05-3g06693	A1	aAutosome	3	90.6667	272	NON	3.21946
MvSl-1064-A1-R4_MC05-3g06694	A1	aAutosome	9	138.778	1249	NON	6.14326
MvSl-1064-A1-R4_MC05-3g06697	A1	aAutosome	1	0	0	NON	0.955447
MvSl-1064-A1-R4_MC05-3g06698	A1	aAutosome	8	102.125	817	NON	6.37797
MvSl-1064-A1-R4_MC05-3g06699	A1	aAutosome	4	94.75	379	NON	5.92321
MvSl-1064-A1-R4_MC05-3g06700	A1	aAutosome	2	105.5	211	NON	7.69059
MvSl-1064-A1-R4_MC05-3g06701	A1	aAutosome	4	102.5	410	NON	6.71653
MvSl-1064-A1-R4_MC05-3g06702	A1	aAutosome	4	71.5	286	NON	4.04538
MvSl-1064-A1-R4_MC05-3g06703	A1	aAutosome	8	76.125	609	NON	4.67706
MvSl-1064-A1-R4_MC05-3g06704	A1	aAutosome	3	125.667	377	NON	3.82447
MvSl-1064-A1-R4_MC05-3g06705	A1	aAutosome	1	61	61	NON	5.91907
MvSl-1064-A1-R4_MC05-3g06706	A1	aAutosome	1	74	74	NON	3.76215
MvSl-1064-A1-R4_MC05-3g06707	A1	aAutosome	11	89.5455	985	DE	7.53366
MvSl-1064-A1-R4_MC05-3g06708	A1	aAutosome	1	75	75	NON	5.89872
MvSl-1064-A1-R4_MC05-3g06709	A1	aAutosome	3	71	213	NON	7.46271
MvSl-1064-A1-R4_MC05-3g06710	A1	aAutosome	6	72.5	435	NON	6.8867
MvSl-1064-A1-R4_MC05-3g06711	A1	aAutosome	6	127.333	764	NON	6.24822
MvSl-1064-A1-R4_MC05-3g06712	A1	aAutosome	10	79	790	NON	4.86641
MvSl-1064-A1-R4_MC05-3g06713	A1	aAutosome	11	158.818	1747	NON	7.1836
MvSl-1064-A1-R4_MC05-3g06714	A1	aAutosome	5	97.4	487	NON	5.98795
MvSl-1064-A1-R4_MC05-3g06715	A1	aAutosome	11	80.1818	882	NON	3.19293
MvSl-1064-A1-R4_MC05-3g06716	A1	aAutosome	1	73	73	NON	4.27033
MvSl-1064-A1-R4_MC05-3g06717	A1	aAutosome	3	73.6667	221	NON	6.48645
MvSl-1064-A1-R4_MC05-3g06718	A1	aAutosome	4	67.5	270	NON	5.00176
MvSl-1064-A1-R4_MC05-3g06719	A1	aAutosome	3	82.6667	248	NON	4.46504
MvSl-1064-A1-R4_MC05-3g06720	A1	aAutosome	3	92.6667	278	NON	4.65077
MvSl-1064-A1-R4_MC05-3g06721	A1	aAutosome	5	85.4	427	NON	6.64333
MvSl-1064-A1-R4_MC05-3g06722	A1	aAutosome	2	60	120	NON	4.28042
MvSl-1064-A1-R4_MC05-3g06723	A1	aAutosome	1	307	307	NON	3.40461
MvSl-1064-A1-R4_MC05-3g06724	A1	aAutosome	1	189	189	NON	7.35945
MvSl-1064-A1-R4_MC05-3g06725	A1	aAutosome	1	0	0	NON	3.47671
MvSl-1064-A1-R4_MC05-3g06726	A1	aAutosome	5	78	390	NON	4.69504
MvSl-1064-A1-R4_MC05-3g06727	A1	aAutosome	4	69.75	279	NON	5.92816
MvSl-1064-A1-R4_MC05-3g06728	A1	aAutosome	2	61.5	123	NON	7.54927
MvSl-1064-A1-R4_MC05-3g06729	A1	aAutosome	6	66.8333	401	NON	5.15254
MvSl-1064-A1-R4_MC05-3g06730	A1	aAutosome	12	78.4167	941	NON	5.909
MvSl-1064-A1-R4_MC05-3g06731	A1	aAutosome	2	90	180	DE	3.77568
MvSl-1064-A1-R4_MC05-3g06732	A1	aAutosome	2	48	96	NON	2.26371
MvSl-1064-A1-R4_MC05-3g06733	A1	aAutosome	1	47	47	NON	5.43861
MvSl-1064-A1-R4_MC05-3g06735	A1	aAutosome	5	85.6	428	NON	6.19485
MvSl-1064-A1-R4_MC05-3g06736	A1	aAutosome	2	67	134	NON	7.49494
MvSl-1064-A1-R4_MC05-3g06737	A1	aAutosome	9	103.778	934	NON	8.55381
MvSl-1064-A1-R4_MC05-3g06738	A1	aAutosome	4	77.25	309	NON	6.57469
MvSl-1064-A1-R4_MC05-3g06739	A1	aAutosome	3	154	462	NON	2.84678
MvSl-1064-A1-R4_MC05-3g06740	A1	aAutosome	8	92.875	743	NON	7.01937
MvSl-1064-A1-R4_MC05-3g06741	A1	aAutosome	3	117	351	NON	7.58149
MvSl-1064-A1-R4_MC05-3g06742	A1	aAutosome	4	128.5	514	NON	4.095
MvSl-1064-A1-R4_MC05-3g06749	A1	aAutosome	3	97.3333	292	NON	0.826386
MvSl-1064-A1-R4_MC05-3g06751	A1	aAutosome	2	86.5	173	NON	6.8961
MvSl-1064-A1-R4_MC05-3g06752	A1	aAutosome	5	80.8	404	NON	6.8795
MvSl-1064-A1-R4_MC05-3g06753	A1	aAutosome	1	0	0	NON	4.26189
MvSl-1064-A1-R4_MC05-3g06754	A1	aAutosome	1	0	0	NON	4.00787
MvSl-1064-A1-R4_MC05-3g06755	A1	aAutosome	2	42.5	85	NON	5.2687
MvSl-1064-A1-R4_MC05-3g06756	A1	aAutosome	1	0	0	NON	6.23792
MvSl-1064-A1-R4_MC05-3g06757	A1	aAutosome	4	66.5	266	NON	8.92099
MvSl-1064-A1-R4_MC05-3g06758	A1	aAutosome	1	89	89	NON	5.13121
MvSl-1064-A1-R4_MC05-3g06760	A1	aAutosome	4	64.25	257	DE	-1.32621
MvSl-1064-A1-R4_MC05-3g06761	A1	aAutosome	2	99	198	NON	2.28375
MvSl-1064-A1-R4_MC05-3g06762	A1	aAutosome	4	92	368	NON	3.46851
MvSl-1064-A1-R4_MC05-3g06763	A1	aAutosome	3	74.6667	224	NON	4.10864
MvSl-1064-A1-R4_MC05-3g06764	A1	aAutosome	1	75	75	NON	5.83134
MvSl-1064-A1-R4_MC05-3g06765	A1	aAutosome	6	85.8333	515	NON	5.79737
MvSl-1064-A1-R4_MC05-3g06766	A1	aAutosome	3	74.3333	223	NON	7.41821
MvSl-1064-A1-R4_MC05-3g06767	A1	aAutosome	6	77	462	NON	8.06661
MvSl-1064-A1-R4_MC05-3g06768	A1	aAutosome	4	94.25	377	NON	5.6256
MvSl-1064-A1-R4_MC05-3g06769	A1	aAutosome	4	84.25	337	NON	-0.411058
MvSl-1064-A1-R4_MC05-3g06772	A1	aAutosome	5	71	355	NON	7.01731
MvSl-1064-A1-R4_MC05-3g06773	A1	aAutosome	2	75.5	151	NON	4.73784
MvSl-1064-A1-R4_MC05-3g06774	A1	aAutosome	5	207	1035	NON	8.95646
MvSl-1064-A1-R4_MC05-3g06775	A1	aAutosome	5	89.6	448	NON	5.40904
MvSl-1064-A1-R4_MC05-3g06776	A1	aAutosome	2	96.5	193	NON	7.61858
MvSl-1064-A1-R4_MC05-3g06777	A1	aAutosome	3	92.3333	277	NON	5.42775
MvSl-1064-A1-R4_MC05-3g06778	A1	aAutosome	3	96.6667	290	NON	5.47556
MvSl-1064-A1-R4_MC05-3g06779	A1	aAutosome	2	71.5	143	NON	6.20785
MvSl-1064-A1-R4_MC05-3g06780	A1	aAutosome	3	63	189	NON	4.40846
MvSl-1064-A1-R4_MC05-3g06781	A1	aAutosome	6	106.5	639	NON	5.19059
MvSl-1064-A1-R4_MC05-3g06782	A1	aAutosome	4	75	300	NON	6.95764
MvSl-1064-A1-R4_MC05-3g06783	A1	aAutosome	1	143	143	NON	4.79171
MvSl-1064-A1-R4_MC05-3g06784	A1	aAutosome	4	110.75	443	NON	14.7371
MvSl-1064-A1-R4_MC05-3g06785	A1	aAutosome	5	74	370	NON	8.59339
MvSl-1064-A1-R4_MC05-3g06786	A1	aAutosome	1	73	73	NON	3.89353
MvSl-1064-A1-R4_MC05-3g06787	A1	aAutosome	4	79	316	NON	3.37155
MvSl-1064-A1-R4_MC05-3g06788	A1	aAutosome	2	113	226	NON	1.24221
MvSl-1064-A1-R4_MC05-3g06789	A1	aAutosome	2	101	202	NON	0.783181
MvSl-1064-A1-R4_MC05-3g06790	A1	aAutosome	3	78	234	DE	4.30556
MvSl-1064-A1-R4_MC05-3g06792	A1	aAutosome	3	188.333	565	NON	5.93929
MvSl-1064-A1-R4_MC05-3g06795	A1	aAutosome	2	168	336	NON	6.18734
MvSl-1064-A1-R4_MC05-3g06796	A1	aAutosome	6	126.5	759	NON	5.87868
MvSl-1064-A1-R4_MC05-3g06797	A1	aAutosome	8	140.25	1122	NON	5.5797
MvSl-1064-A1-R4_MC05-3g06798	A1	aAutosome	1	0	0	NON	4.62932
MvSl-1064-A1-R4_MC05-3g06799	A1	aAutosome	1	250	250	NON	6.72491
MvSl-1064-A1-R4_MC05-3g06800	A1	aAutosome	1	0	0	NON	2.82422
MvSl-1064-A1-R4_MC05-3g06801	A1	aAutosome	7	80	560	NON	2.72369
MvSl-1064-A1-R4_MC05-3g06802	A1	aAutosome	1	151	151	NON	-0.278137
MvSl-1064-A1-R4_MC05-3g06803	A1	aAutosome	1	54	54	NON	4.08885
MvSl-1064-A1-R4_MC05-3g06804	A1	aAutosome	1	0	0	NON	2.84736
MvSl-1064-A1-R4_MC05-3g06805	A1	aAutosome	3	249.333	748	NON	1.92171
MvSl-1064-A1-R4_MC05-3g06806	A1	aAutosome	4	120.5	482	NON	0.824214
MvSl-1064-A1-R4_MC05-3g06807	A1	aAutosome	1	96	96	NON	7.00327
MvSl-1064-A1-R4_MC05-3g06808	A1	aAutosome	4	91.75	367	NON	6.46571
MvSl-1064-A1-R4_MC05-3g06809	A1	aAutosome	5	129.8	649	NON	6.67577
MvSl-1064-A1-R4_MC05-3g06811	A1	aAutosome	3	73	219	NON	5.33945
MvSl-1064-A1-R4_MC05-3g06812	A1	aAutosome	1	0	0	NON	2.52612
MvSl-1064-A1-R4_MC05-3g06813	A1	aAutosome	10	92.3	923	NON	2.89687
MvSl-1064-A1-R4_MC05-3g06818	A1	aAutosome	10	117.1	1171	NON	6.7524
MvSl-1064-A1-R4_MC05-3g06819	A1	aAutosome	5	93.2	466	NON	8.67249
MvSl-1064-A1-R4_MC05-3g06820	A1	aAutosome	6	93	558	NON	6.83309
MvSl-1064-A1-R4_MC05-3g06821	A1	aAutosome	3	121.333	364	NON	4.76688
MvSl-1064-A1-R4_MC05-3g06822	A1	aAutosome	2	83.5	167	NON	6.26154
MvSl-1064-A1-R4_MC05-3g06823	A1	aAutosome	2	103.5	207	NON	5.56856
MvSl-1064-A1-R4_MC05-3g06824	A1	aAutosome	8	66.625	533	NON	5.39514
MvSl-1064-A1-R4_MC05-3g06826	A1	aAutosome	2	89	178	NON	3.4653
MvSl-1064-A1-R4_MC05-3g06827	A1	aAutosome	2	93.5	187	NON	2.45879
MvSl-1064-A1-R4_MC05-3g06828	A1	aAutosome	7	86.7143	607	NON	6.90204
MvSl-1064-A1-R4_MC05-3g06829	A1	aAutosome	5	124.4	622	NON	7.40584
MvSl-1064-A1-R4_MC05-3g06832	A1	aAutosome	1	0	0	NON	0.387319
MvSl-1064-A1-R4_MC05-3g06834	A1	aAutosome	8	106.25	850	NON	1.76566
MvSl-1064-A1-R4_MC05-3g06836	A1	aAutosome	5	89.4	447	NON	1.14928
MvSl-1064-A1-R4_MC05-3g06837	A1	aAutosome	7	84.2857	590	NON	3.96139
MvSl-1064-A1-R4_MC05-3g06838	A1	aAutosome	4	185.25	741	NON	2.11796
MvSl-1064-A1-R4_MC05-3g06841	A1	aAutosome	4	99	396	NON	5.28979
MvSl-1064-A1-R4_MC05-3g06843	A1	aAutosome	1	0	0	NON	4.62397
MvSl-1064-A1-R4_MC06g06861	A1	aAutosome	2	112	224	NON	1.59878
MvSl-1064-A1-R4_MC06g06862	A1	aAutosome	3	76.6667	230	NON	8.4131
MvSl-1064-A1-R4_MC06g06863	A1	aAutosome	1	94	94	NON	3.02455
MvSl-1064-A1-R4_MC06g06864	A1	aAutosome	1	0	0	NON	2.17225
MvSl-1064-A1-R4_MC06g06865	A1	aAutosome	1	0	0	NON	4.72802
MvSl-1064-A1-R4_MC06g06866	A1	aAutosome	3	105.333	316	NON	2.47252
MvSl-1064-A1-R4_MC06g06868	A1	aAutosome	1	0	0	NON	3.16546
MvSl-1064-A1-R4_MC06g06869	A1	aAutosome	1	70	70	NON	2.37859
MvSl-1064-A1-R4_MC06g06870	A1	aAutosome	1	45	45	NON	5.92886
MvSl-1064-A1-R4_MC06g06871	A1	aAutosome	3	110	330	NON	7.44336
MvSl-1064-A1-R4_MC06g06872	A1	aAutosome	6	95.3333	572	NON	3.24764
MvSl-1064-A1-R4_MC06g06874	A1	aAutosome	4	65.5	262	NON	3.51764
MvSl-1064-A1-R4_MC06g06875	A1	aAutosome	3	81.3333	244	NON	4.77238
MvSl-1064-A1-R4_MC06g06882	A1	aAutosome	3	106.333	319	NON	6.12349
MvSl-1064-A1-R4_MC06g06883	A1	aAutosome	4	65.5	262	NON	3.15607
MvSl-1064-A1-R4_MC06g06886	A1	aAutosome	1	163	163	NON	7.88346
MvSl-1064-A1-R4_MC06g06887	A1	aAutosome	1	0	0	NON	5.30321
MvSl-1064-A1-R4_MC06g06888	A1	aAutosome	3	76	228	NON	7.68392
MvSl-1064-A1-R4_MC06g06889	A1	aAutosome	8	68.25	546	NON	3.03047
MvSl-1064-A1-R4_MC06g06890	A1	aAutosome	1	161	161	NON	1.87603
MvSl-1064-A1-R4_MC06g06893	A1	aAutosome	5	103.8	519	NON	6.14366
MvSl-1064-A1-R4_MC06g06894	A1	aAutosome	8	93.375	747	NON	6.60372
MvSl-1064-A1-R4_MC06g06895	A1	aAutosome	1	94	94	NON	4.94892
MvSl-1064-A1-R4_MC06g06896	A1	aAutosome	5	104.2	521	DE	6.50225
MvSl-1064-A1-R4_MC06g06897	A1	aAutosome	1	0	0	NON	4.12682
MvSl-1064-A1-R4_MC06g06898	A1	aAutosome	1	0	0	NON	4.89433
MvSl-1064-A1-R4_MC06g06899	A1	aAutosome	1	94	94	NON	4.34923
MvSl-1064-A1-R4_MC06g06901	A1	aAutosome	6	80.3333	482	NON	5.40476
MvSl-1064-A1-R4_MC06g06902	A1	aAutosome	1	98	98	NON	7.20411
MvSl-1064-A1-R4_MC06g06903	A1	aAutosome	4	164.5	658	NON	6.09924
MvSl-1064-A1-R4_MC06g06904	A1	aAutosome	4	74.5	298	NON	6.77989
MvSl-1064-A1-R4_MC06g06907	A1	aAutosome	3	113.333	340	DE	4.51791
MvSl-1064-A1-R4_MC06g06909	A1	aAutosome	1	239	239	NON	2.42937
MvSl-1064-A1-R4_MC06g06910	A1	aAutosome	3	85.3333	256	NON	3.56119
MvSl-1064-A1-R4_MC06g06911	A1	aAutosome	5	74.4	372	NON	1.47098
MvSl-1064-A1-R4_MC06g06913	A1	aAutosome	8	88.625	709	NON	1.03483
MvSl-1064-A1-R4_MC06g06914	A1	aAutosome	10	79	790	NON	4.85033
MvSl-1064-A1-R4_MC06g06915	A1	aAutosome	4	79	316	NON	5.56256
MvSl-1064-A1-R4_MC06g06916	A1	aAutosome	1	0	0	NON	3.4707
MvSl-1064-A1-R4_MC06g06917	A1	aAutosome	1	0	0	NON	4.50721
MvSl-1064-A1-R4_MC06g06918	A1	aAutosome	1	0	0	NON	2.26522
MvSl-1064-A1-R4_MC06g06919	A1	aAutosome	1	127	127	NON	6.85649
MvSl-1064-A1-R4_MC06g06920	A1	aAutosome	5	131.4	657	NON	10.0463
MvSl-1064-A1-R4_MC06g06921	A1	aAutosome	5	77.8	389	NON	7.57669
MvSl-1064-A1-R4_MC06g06922	A1	aAutosome	1	50	50	NON	3.5295
MvSl-1064-A1-R4_MC06g06923	A1	aAutosome	5	108.8	544	NON	6.99532
MvSl-1064-A1-R4_MC06g06924	A1	aAutosome	7	73.7143	516	NON	7.33411
MvSl-1064-A1-R4_MC06g06926	A1	aAutosome	5	84	420	NON	4.74956
MvSl-1064-A1-R4_MC06g06927	A1	aAutosome	4	94	376	NON	4.85075
MvSl-1064-A1-R4_MC06g06928	A1	aAutosome	1	47	47	NON	2.60778
MvSl-1064-A1-R4_MC06g06929	A1	aAutosome	2	73	146	NON	3.68702
MvSl-1064-A1-R4_MC06g06930	A1	aAutosome	8	88.25	706	NON	6.04602
MvSl-1064-A1-R4_MC06g06931	A1	aAutosome	4	62.5	250	NON	7.33865
MvSl-1064-A1-R4_MC06g06933	A1	aAutosome	7	89.2857	625	NON	4.90764
MvSl-1064-A1-R4_MC06g06934	A1	aAutosome	9	79.5556	716	NON	6.73137
MvSl-1064-A1-R4_MC06g06935	A1	aAutosome	6	67.3333	404	NON	6.3485
MvSl-1064-A1-R4_MC06g06936	A1	aAutosome	3	85.3333	256	NON	7.70383
MvSl-1064-A1-R4_MC06g06937	A1	aAutosome	4	75.5	302	NON	7.26123
MvSl-1064-A1-R4_MC06g06938	A1	aAutosome	7	94.1429	659	NON	5.85354
MvSl-1064-A1-R4_MC06g06939	A1	aAutosome	4	101.5	406	NON	2.9883
MvSl-1064-A1-R4_MC06g06940	A1	aAutosome	6	112.5	675	NON	2.49136
MvSl-1064-A1-R4_MC06g06941	A1	aAutosome	10	140.9	1409	NON	0.522379
MvSl-1064-A1-R4_MC06g06942	A1	aAutosome	2	206	412	NON	3.71588
MvSl-1064-A1-R4_MC06g06943	A1	aAutosome	7	98	686	DE	5.47918
MvSl-1064-A1-R4_MC06g06944	A1	aAutosome	3	74	222	DE	2.63426
MvSl-1064-A1-R4_MC06g06945	A1	aAutosome	6	69.8333	419	DE	10.7558
MvSl-1064-A1-R4_MC06g06946	A1	aAutosome	1	0	0	DE	7.74852
MvSl-1064-A1-R4_MC06g06947	A1	aAutosome	1	0	0	DE	7.09838
MvSl-1064-A1-R4_MC06g06948	A1	aAutosome	7	69.7143	488	NON	4.61646
MvSl-1064-A1-R4_MC06g06949	A1	aAutosome	3	110	330	NON	6.40964
MvSl-1064-A1-R4_MC06g06950	A1	aAutosome	3	91.6667	275	NON	6.37364
MvSl-1064-A1-R4_MC06g06951	A1	aAutosome	6	134.667	808	NON	7.6289
MvSl-1064-A1-R4_MC06g06952	A1	aAutosome	4	76	304	NON	5.92655
MvSl-1064-A1-R4_MC06g06953	A1	aAutosome	2	89	178	NON	5.00861
MvSl-1064-A1-R4_MC06g06954	A1	aAutosome	7	66.8571	468	NON	6.61048
MvSl-1064-A1-R4_MC06g06956	A1	aAutosome	3	73.3333	220	NON	1.78887
MvSl-1064-A1-R4_MC06g06957	A1	aAutosome	9	74.4444	670	NON	5.69508
MvSl-1064-A1-R4_MC06g06958	A1	aAutosome	1	103	103	NON	8.79353
MvSl-1064-A1-R4_MC06g06959	A1	aAutosome	8	74.375	595	NON	6.92659
MvSl-1064-A1-R4_MC06g06960	A1	aAutosome	9	71.1111	640	NON	5.20218
MvSl-1064-A1-R4_MC06g06962	A1	aAutosome	5	197.6	988	NON	4.93064
MvSl-1064-A1-R4_MC06g06963	A1	aAutosome	8	82.625	661	NON	7.18833
MvSl-1064-A1-R4_MC06g06964	A1	aAutosome	5	134.6	673	NON	6.50719
MvSl-1064-A1-R4_MC06g06965	A1	aAutosome	5	121	605	NON	3.61742
MvSl-1064-A1-R4_MC06g06966	A1	aAutosome	5	81.6	408	NON	6.27675
