genea2	dna2	dna2se	dsa2	dsa2se	dndsa2	chr	chrom	DE	genea1	dna1	dna1se	dsa1	dsa1se	dndsa1
MvSl-1064-A2-R4_MC02g04175	0.00001	0	0.00751	0	0.00133138	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03897	0.00001	0.00008	0.00751	0.00736	0.00133154
MvSl-1064-A2-R4_MC02g04183	0.00499	0.005	0.0095	0.00954	0.525208	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03905	0.00499	0.005	0.0095	0.00954	0.525258
MvSl-1064-A2-R4_MC02g04184	0.00296	0.00295	0.00641	0.00641	0.461706	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03906	0.00296	0.00298	0.00641	0.00648	0.461771
MvSl-1064-A2-R4_MC02g04188	0.00117	0.00117	0.01585	0.00715	0.0738124	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03910	0.00117	0.00117	0.01585	0.00715	0.0738166
MvSl-1064-A2-R4_MC02g04189	0.00198	0.00199	0.01284	0.00913	0.154194	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03911	0.00198	0.00199	0.01284	0.00914	0.154204
MvSl-1064-A2-R4_MC02g04190	0	0.00155	0.00001	0.00905	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03912	0	0	0.00001	0	0
MvSl-1064-A2-R4_MC02g04191	0.00918	0.00655	0.00009	0.00037	100.879	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03913	0.00918	0.00655	0.00009	0.00037	101.887
MvSl-1064-A2-R4_MC02g04193	0.00558	0.00384	0.00459	0.00433	1.21542	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03915	0.00558	0.00395	0.00459	0.00458	1.21566
MvSl-1064-A2-R4_MC02g04196	0.00339	0.00191	0.00003	0	109.355	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03918	0.00339	0.00196	0.00003	0.00009	112.625
MvSl-1064-A2-R4_MC02g04197	0.0031	0.00222	0.0331	0.0151	0.0936528	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03919	0.0031	0.00221	0.0331	0.0151	0.0936553
MvSl-1064-A2-R4_MC02g04198	0.00001	0	0.01029	0	0.000971723	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03920	0.00001	0	0.01029	0	0.000971808
MvSl-1064-A2-R4_MC02g04199	0.01264	0.0057	0.03029	0.01371	0.417286	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03921	0.01264	0.00571	0.03029	0.01375	0.417298
MvSl-1064-A2-R4_MC02g04204	0.00273	0.00194	0.01275	0.00744	0.214101	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03926	0.00273	0.00194	0.01275	0.00742	0.214116
MvSl-1064-A2-R4_MC02g04206	0.00324	0.00229	0.01099	0.00637	0.294787	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03928	0.00324	0.0023	0.01099	0.00637	0.294811
MvSl-1064-A2-R4_MC02g04210	0.00302	0.00302	0.01247	0.00888	0.242162	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03932	0.00302	0.00303	0.01247	0.00889	0.242179
MvSl-1064-A2-R4_MC02g04215	0.00001	0	0.01281	0.0032	0.000780579	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03937	0.00001	0	0.01281	0.00309	0.000780634
MvSl-1064-A2-R4_MC02g04216	0.01156	0.00583	0.02375	0.01203	0.486716	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03938	0.01156	0.00582	0.02375	0.01201	0.486735
MvSl-1064-A2-R4_MC02g04222	0.00312	0.00312	0.00003	0	100.645	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03944	0.00312	0.00312	0.00003	0.00012	103.654
MvSl-1064-A2-R4_MC02g04232	0.01019	0.00508	0.00711	0.00688	1.43299	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03954	0.01019	0.0051	0.00711	0.00701	1.43317
MvSl-1064-A2-R4_MC02g04233	0.00424	0.00299	0.0042	0.00417	1.00928	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03955	0.00424	0.003	0.0042	0.0042	1.0095
MvSl-1064-A2-R4_MC02g04235	0.01141	0.00383	0.01376	0.00621	0.829155	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03957	0.01141	0.00383	0.01376	0.00622	0.829209
MvSl-1064-A2-R4_MC02g04237	0	0	0	0	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03959	0	0	0.00001	0	0
MvSl-1064-A2-R4_MC02g04239	0.00636	0.00456	0.01415	0.01017	0.449438	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03961	0.00636	0.00453	0.01415	0.01011	0.449467
MvSl-1064-A2-R4_MC02g04241	0.00319	0.00185	0.01071	0.00624	0.297825	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03963	0.00319	0.00185	0.01071	0.00624	0.29785
MvSl-1064-A2-R4_MC02g04243	0.00001	0.00035	0.01316	0.01451	0.000759821	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03965	0.00001	0	0.01316	0.00103	0.000759873
MvSl-1064-A2-R4_MC02g04248	0.00443	0.00157	0.01449	0.00487	0.305707	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03970	0.00443	0.00157	0.01449	0.00487	0.305726
MvSl-1064-A2-R4_MC02g04254	0	0	0.00001	0	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03976	0	0	0.00001	0	0
MvSl-1064-A2-R4_MC02g04258	0.00192	0.00192	0.01031	0.00599	0.186209	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03980	0.00192	0.00193	0.01031	0.006	0.186225
MvSl-1064-A2-R4_MC02g04259	0.00309	0.00156	0.01888	0.00953	0.163657	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03981	0.00309	0.00265	0.01888	0.00574	0.163664
MvSl-1064-A2-R4_MC02g04260	0	0.00004	0.00002	0.0039	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03982	0	0	0.00001	0	0
MvSl-1064-A2-R4_MC02g04262	0.00432	0.00307	0.01957	0.00989	0.220735	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03984	0.00432	0.00306	0.01957	0.00988	0.220745
MvSl-1064-A2-R4_MC02g04263	0.00607	0.00302	0.00348	0.00339	1.74375	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03985	0.00607	0.00303	0.00348	0.00341	1.7442
MvSl-1064-A2-R4_MC02g04264	0.00227	0.00161	0.01321	0.00769	0.171827	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03986	0.00227	0.00161	0.01321	0.0077	0.171838
MvSl-1064-A2-R4_MC02g04265	0.00088	0.00088	0.00627	0.00444	0.140328	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03987	0.00088	0.00088	0.00627	0.00444	0.140349
MvSl-1064-A2-R4_MC02g04269	0.00388	0.00389	0.06169	0.03651	0.0628941	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03991	0.00388	0.00389	0.06169	0.0365	0.062895
MvSl-1064-A2-R4_MC02g04271	0.00582	0.0026	0.00006	0.00003	95.4098	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03993	0.00582	0.0026	0.00006	0.00003	96.8386
MvSl-1064-A2-R4_MC02g04272	0.00334	0.00193	0.0113	0.00568	0.295549	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03994	0.00505	0.00358	0.00479	0.0048	1.05426
MvSl-1064-A2-R4_MC02g04273	0.00161	0.00161	0.00002	0	76.6667	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g03995	0.00161	0	0.00002	0	80.0995
MvSl-1064-A2-R4_MC02g04278	0	0.00005	0.00001	0	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04000	0	0.00005	0.00002	0.00502	0
MvSl-1064-A2-R4_MC02g04286	0.00301	0.00135	0.00414	0.00239	0.726878	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04008	0.00301	0.00135	0.00414	0.00239	0.727036
MvSl-1064-A2-R4_MC02g04287	0.00288	0.00288	0.01368	0.00975	0.210511	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04009	0.00288	0.00288	0.01368	0.00976	0.210525
MvSl-1064-A2-R4_MC02g04289	0.00197	0.00114	0.00526	0.00263	0.374454	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04011	0.00197	0.00114	0.00526	0.00263	0.374518
MvSl-1064-A2-R4_MC02g04290	0.02358	0.0079	0.00719	0.007	3.2791	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04012	0.02358	0.00781	0.00719	0.00625	3.27951
MvSl-1064-A2-R4_MC02g04297	0.00004	0.00028	0.03632	0.01784	0.00110129	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04019	0.00004	0	0.03632	0.0026	0.00110132
MvSl-1064-A2-R4_MC02g04299	0.00287	0.00166	0.00993	0.005	0.288994	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04021	0.00287	0.00166	0.00993	0.00499	0.28902
MvSl-1064-A2-R4_MC02g04304	0.00325	0.00146	0.00166	0.00169	1.95665	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04026	0.00325	0.00142	0.00166	0.00146	1.95771
MvSl-1064-A2-R4_MC02g04307	0	0.00004	0.00002	0.00649	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04029	0	0.00072	0.00001	0	0
MvSl-1064-A2-R4_MC02g04312	0.00534	0.0019	0.01989	0.00556	0.268463	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04034	0.00534	0.0019	0.01989	0.00556	0.268475
MvSl-1064-A2-R4_MC02g04313	0.00927	0.00348	0.00301	0.00278	3.07871	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04035	0.00927	0.00349	0.00301	0.00286	3.07963
MvSl-1064-A2-R4_MC02g04315	0.00594	0.00423	0.0071	0.00716	0.836502	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04037	0.00594	0.0042	0.0071	0.00707	0.836608
MvSl-1064-A2-R4_MC02g04316	0.00576	0.00423	0.01467	0.01082	0.392611	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04038	0.00576	0.00634	0.01467	0.01625	0.392635
MvSl-1064-A2-R4_MC02g04317	0.00001	0	0.0085	0.00072	0.00117633	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04039	0.00001	0	0.0085	0.00042	0.00117646
MvSl-1064-A2-R4_MC02g04319	0.00364	0.00163	0.00722	0.00362	0.504085	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04041	0.00364	0.00163	0.00722	0.00362	0.504148
MvSl-1064-A2-R4_MC02g04326	0.00275	0.00195	0.02014	0.01017	0.136537	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04048	0.00275	0.00195	0.02014	0.01017	0.136544
MvSl-1064-A2-R4_MC02g04327	0.00299	0.00299	0.00472	0.00473	0.63334	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04049	0.00299	0.00298	0.00472	0.00471	0.633461
MvSl-1064-A2-R4_MC02g04331	0.00756	0.00206	0.00433	0.00186	1.74556	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04053	0.00756	0.00201	0.00433	0.00158	1.74592
MvSl-1064-A2-R4_MC02g04332	0.00257	0.00182	0.00525	0.00527	0.489431	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04054	0.00257	0.00183	0.00525	0.00532	0.489514
MvSl-1064-A2-R4_MC02g04337	0.00774	0.00442	0.01142	0.00793	0.677699	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04059	0.00774	0.00462	0.01142	0.00848	0.677752
MvSl-1064-A2-R4_MC02g04338	0.00144	0.00102	0.03258	0.0117	0.0441975	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04060	0.00144	0.00102	0.03258	0.01171	0.0441988
MvSl-1064-A2-R4_MC02g04340	0.00542	0.00243	0.00242	0.00241	2.23874	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04062	0.00542	0.00244	0.00242	0.00249	2.23958
MvSl-1064-A2-R4_MC02g04341	0.00183	0.00184	0.01406	0.00818	0.130147	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04063	0.00183	0.00184	0.01406	0.00819	0.130156
MvSl-1064-A2-R4_MC02g04343	0.00959	0.00427	0.00319	0.00309	3.00533	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04065	0.00959	0.00427	0.00319	0.00307	3.00618
MvSl-1064-A2-R4_MC02g04347	0.00903	0.0064	0.01185	0.01189	0.761961	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04069	0.00903	0.00638	0.01185	0.01184	0.762019
MvSl-1064-A2-R4_MC02g04348	0.00357	0.00251	0.00498	0.00494	0.716724	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04070	0.00357	0.0025	0.00498	0.0049	0.716853
MvSl-1064-A2-R4_MC02g04360	0.01291	0.00197	0.05702	0.00803	0.226408	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04082	0.01291	0.00182	0.05702	0.00752	0.226411
MvSl-1064-A2-R4_MC02g04362	0.00365	0.00163	0.00391	0.00273	0.933265	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04084	0.00365	0.00162	0.00391	0.00272	0.93348
MvSl-1064-A2-R4_MC02g04363	0.00103	0.00073	0.00647	0.00325	0.159172	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04085	0.00103	0.00073	0.00647	0.00325	0.159194
MvSl-1064-A2-R4_MC02g04365	0.00285	0.00202	0.00597	0.00424	0.477307	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04087	0.00285	0.00201	0.00597	0.00422	0.477379
MvSl-1064-A2-R4_MC02g04369	0.003	0.00113	0.00856	0.00304	0.350426	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04091	0.003	0.00113	0.00856	0.00303	0.350463
MvSl-1064-A2-R4_MC02g04370	0.00324	0.00231	0.00974	0.00699	0.332615	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04092	0.00324	0.00231	0.00974	0.00697	0.332645
MvSl-1064-A2-R4_MC02g04375	0.00369	0.00263	0.0267	0.0191	0.138197	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04097	0.00369	0.00263	0.0267	0.01911	0.138202
MvSl-1064-A2-R4_MC02g04376	0.00236	0.00178	0.00568	0.00375	0.41542	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04098	0.00236	0.00236	0.00568	0.00568	0.415486
MvSl-1064-A2-R4_MC02g04377	0.00708	0.00501	0.00007	0.00033	99.7183	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04099	0.00708	0.00501	0.00007	0.00038	100.999
MvSl-1064-A2-R4_MC02g04379	0.00705	0.00317	0.01445	0.00651	0.487856	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04101	0.00705	0.00316	0.01445	0.0065	0.487886
MvSl-1064-A2-R4_MC02g04380	0.00241	0.00166	0.00567	0.00413	0.424969	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04102	0.00241	0.00241	0.00567	0.00568	0.425037
MvSl-1064-A2-R4_MC02g04381	0.00411	0.00411	0.0196	0.014	0.209683	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04103	0.00411	0.00412	0.0196	0.01401	0.209693
MvSl-1064-A2-R4_MC02g04383	0.00001	0	0.00933	0.00076	0.0010717	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04105	0.00001	0	0.00933	0	0.0010718
MvSl-1064-A2-R4_MC02g04385	0.00625	0.00316	0.01858	0.00941	0.336365	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04107	0.00625	0.00316	0.01858	0.00943	0.336381
MvSl-1064-A2-R4_MC02g04387	0.00411	0.00416	0.03144	0.01839	0.130721	aAutosome	aAutosome	Down	MvSl-1064-A1-R4_MC02g04109	0.00411	0.00416	0.03144	0.01839	0.130725
MvSl-1064-A2-R4_MC02g04388	0.00701	0.00228	0.00888	0.00418	0.789326	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04110	0.00701	0.00236	0.00888	0.00448	0.789406
MvSl-1064-A2-R4_MC02g04394	0	0	0.00001	0	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04116	0	0	0.00001	0	0
MvSl-1064-A2-R4_MC02g04400	0.00989	0.00704	0.00939	0.00944	1.05314	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04122	0.00989	0.00704	0.00939	0.00945	1.05324
MvSl-1064-A2-R4_MC02g04408	0.00108	0.00108	0.00963	0.00689	0.112138	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04130	0.00108	0.00108	0.00963	0.00687	0.112148
MvSl-1064-A2-R4_MC02g04410	0.00003	0	0.02801	0.00385	0.00107101	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04132	0.00003	0	0.02801	0.00407	0.00107104
MvSl-1064-A2-R4_MC02g04411	0.01136	0.0081	0.00011	0.00008	102.342	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04133	0.01136	0.00813	0.00011	0.00097	103.179
MvSl-1064-A2-R4_MC02g04413	0.00108	0.00108	0.01815	0.00818	0.0595009	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04135	0.00108	0.00108	0.01815	0.00817	0.0595038
MvSl-1064-A2-R4_MC02g04419	0.0036	0.00136	0.00935	0.00332	0.384986	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04141	0.0036	0.00136	0.00935	0.00332	0.385023
MvSl-1064-A2-R4_MC02g04423	0.00717	0.00508	0.01255	0.01263	0.571269	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04145	0.00717	0.00508	0.01255	0.01262	0.57131
MvSl-1064-A2-R4_MC02g04429	0.00496	0.00497	0.00005	0.00023	97.2549	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04151	0.00496	0.00498	0.00005	0.00035	99.002
MvSl-1064-A2-R4_MC02g04430	0.00339	0.00235	0.00315	0.00304	1.07585	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04152	0.00339	0.00241	0.00315	0.00319	1.07616
MvSl-1064-A2-R4_MC02g04434	0.00419	0.0042	0.01879	0.01342	0.222979	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04156	0.00419	0.0042	0.01879	0.01342	0.22299
MvSl-1064-A2-R4_MC02g04435	0.00001	0	0.00772	0.00032	0.00129517	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04157	0.00001	0	0.00772	0.00094	0.00129532
MvSl-1064-A2-R4_MC02g04436	0.00275	0.00276	0.01415	0.01007	0.194333	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04158	0.00275	0.00276	0.01415	0.01007	0.194345
MvSl-1064-A2-R4_MC02g04438	0.00161	0.00114	0.00795	0.00399	0.20249	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04160	0.00161	0.00114	0.00795	0.00399	0.202513
MvSl-1064-A2-R4_MC02g04439	0.00218	0.0022	0.01396	0.00997	0.156149	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04161	0.00218	0.0022	0.01396	0.00997	0.156159
MvSl-1064-A2-R4_MC02g04441	0.00478	0.00275	0.00369	0.00365	1.29504	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04163	0.00478	0.00274	0.00369	0.00362	1.29536
MvSl-1064-A2-R4_MC02g04447	0.00001	0	0.00582	0.00026	0.00171792	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04169	0.00001	0	0.00582	0.00077	0.00171818
MvSl-1064-A2-R4_MC02g04449	0.0037	0.00371	0.00004	0.0002	90.2439	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04171	0.0037	0.00371	0.00004	0.0015	92.2693
MvSl-1064-A2-R4_MC02g04454	0.00594	0.00227	0.00956	0.00408	0.621274	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04176	0.00594	0.0024	0.00956	0.00457	0.621332
MvSl-1064-A2-R4_MC02g04464	0.00765	0.00443	0.00477	0.00477	1.60344	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04186	0.00765	0.00445	0.00477	0.00482	1.60374
MvSl-1064-A2-R4_MC02g04466	0.00194	0.00197	0.0238	0.01391	0.0815092	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04188	0.00194	0.00196	0.0238	0.01391	0.0815123
MvSl-1064-A2-R4_MC02g04467	0.00354	0.00176	0.00466	0.00326	0.759494	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04189	0.00354	0.00177	0.00466	0.0033	0.75964
MvSl-1064-A2-R4_MC02g04479	0.02607	0.01068	0.03927	0.01969	0.663849	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04201	0.02607	0.01082	0.03927	0.01996	0.663864
MvSl-1064-A2-R4_MC02g04487	0.00383	0.00271	0.00905	0.00642	0.423158	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04209	0.00383	0.00271	0.00905	0.00642	0.4232
MvSl-1064-A2-R4_MC02g04490	0.00748	0.00304	0.00564	0.00388	1.32601	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04212	0.00748	0.00304	0.00564	0.00391	1.32622
MvSl-1064-A2-R4_MC02g04500	0	0.01195	0.00001	0.02564	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04222	0	0	0.00001	0	0
MvSl-1064-A2-R4_MC02g04501	0.00733	0.00521	0.00007	0	103.239	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04223	0.00733	0.00521	0.00007	0.00032	104.565
MvSl-1064-A2-R4_MC02g04507	0.00956	0.00685	0.0001	0.00094	94.6535	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04229	0.00956	0.00684	0.0001	0.00067	95.5045
MvSl-1064-A2-R4_MC02g04530	0.00196	0.00196	0.00002	0.00006	93.3333	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC02g04252	0.00195	0.00196	0.00002	0.00006	97.0149
MvSl-1064-A2-R4_MC03g04562	0.00397	0.00199	0.00462	0.00327	0.859121	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04284	0.00397	0.00199	0.00462	0.00329	0.859289
MvSl-1064-A2-R4_MC03g04563	0.00321	0.00321	0.02106	0.01504	0.152414	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04285	0.00321	0.00322	0.02107	0.01506	0.152349
MvSl-1064-A2-R4_MC03g04564	0.0039	0.00245	0.01659	0.00924	0.235067	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04286	0.0039	0.00391	0.01659	0.01185	0.23508
MvSl-1064-A2-R4_MC03g04567	0.00151	0.00151	0.00871	0.00506	0.173344	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04289	0.00151	0.00151	0.00871	0.00506	0.173362
MvSl-1064-A2-R4_MC03g04568	0	0	0.00001	0	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04290	0	0.01141	0.00001	0.03163	0
MvSl-1064-A2-R4_MC03g04569	0.00198	0.00199	0.01202	0.00856	0.164712	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04291	0.00198	0.002	0.01202	0.00858	0.164724
MvSl-1064-A2-R4_MC03g04573	0.00001	0	0.01003	0.00035	0.00099691	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04295	0.00001	0	0.01003	0.00022	0.000996999
MvSl-1064-A2-R4_MC03g04577	0.00483	0.0024	0.00527	0.00369	0.916335	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04299	0.00483	0.00241	0.00527	0.00372	0.916491
MvSl-1064-A2-R4_MC03g04578	0	0.00006	0.00001	0.00895	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04300	0	0	0.00001	0	0
MvSl-1064-A2-R4_MC03g04579	0.00492	0.00247	0.00867	0.0062	0.567409	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04301	0.00492	0.00247	0.00867	0.00619	0.567468
MvSl-1064-A2-R4_MC03g04580	0.00092	0.00093	0.01448	0.00652	0.0635315	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04302	0.00092	0.00093	0.01448	0.00651	0.0635355
MvSl-1064-A2-R4_MC03g04587	0.00361	0.00207	0.00553	0.00387	0.652685	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04309	0.00361	0.00206	0.00553	0.00385	0.652791
MvSl-1064-A2-R4_MC03g04592	0.00384	0.00137	0.00574	0.0029	0.668873	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04314	0.00384	0.00117	0.00574	0.00217	0.668978
MvSl-1064-A2-R4_MC03g04594	0.00126	0.00126	0.01348	0.00678	0.0934649	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04316	0.00126	0.00126	0.01348	0.00678	0.0934711
MvSl-1064-A2-R4_MC03g04596	0.00002	0	0.01759	0.00137	0.00113695	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04318	0.00002	0	0.01759	0	0.001137
MvSl-1064-A2-R4_MC03g04602	0.00794	0.00325	0.00699	0.00495	1.13575	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04324	0.00794	0.00325	0.00699	0.00496	1.13589
MvSl-1064-A2-R4_MC03g04607	0.01089	0.00631	0.00011	0.00068	98.1081	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04329	0.01089	0.00631	0.00011	0.0005	98.9101
MvSl-1064-A2-R4_MC03g04614	0.00222	0.00223	0.008	0.00804	0.277465	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04336	0.00222	0.00223	0.008	0.00805	0.277497
MvSl-1064-A2-R4_MC03g04632	0	0.00055	0.00001	0	0	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04354	0	0	0.00001	0	0
MvSl-1064-A2-R4_MC03g04633	0.00197	0.00101	0.01731	0.00869	0.1138	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04355	0.00197	0.00198	0.01731	0.0101	0.113806
MvSl-1064-A2-R4_MC03g04634	0.00648	0.0023	0.02171	0.00825	0.298466	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04356	0.00648	0.00229	0.02171	0.00823	0.298479
MvSl-1064-A2-R4_MC03g04637	0.01049	0.00526	0.00011	0.0004	94.5045	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04359	0.01049	0.00526	0.00011	0.00045	95.277
MvSl-1064-A2-R4_MC03g04638	0.00262	0.00132	0.00204	0.00209	1.28368	aAutosome	aAutosome	NON	MvSl-1064-A1-R4_MC03g04360	0.00262	0.00131	0.00204	0.00201	1.28425
