gida1	comp	youngold	DE	a1intronnr	a1intronmean	a1introntotal
MvSl-1064-A1-R4_MC08g08656	Auto	Auto	NON	1	97	97
MvSl-1064-A1-R4_MC10-2g09929	Auto	Auto	NON	4	140	560
MvSl-1064-A1-R4_MC11g10635	Auto	Auto	NON	3	87.3333	262
MvSl-1064-A1-R4_MC12g10749	Auto	Auto	NON	3	126	378
MvSl-1064-A1-R4_MC07g08051	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC01-1g01739	Auto	Auto	NON	1	180	180
MvSl-1064-A1-R4_MC05-3g06623	Auto	Auto	NON	7	98.1429	687
MvSl-1064-A1-R4_MC14g11768	Auto	Auto	NON	2	79.5	159
MvSl-1064-A1-R4_MC12g10879	Auto	Auto	NON	2	70	140
MvSl-1064-A1-R4_MC03g04523	Auto	Auto	NON	8	97.375	779
MvSl-1064-A1-R4_MC06g07336	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC09-2g09166	Auto	Auto	NON	3	86.6667	260
MvSl-1064-A1-R4_MC09-2g09026	Auto	Auto	NON	4	83.75	335
MvSl-1064-A1-R4_MC01-2g03096	Auto	Auto	NON	1	223	223
MvSl-1064-A1-R4_MC05-3g06724	Auto	Auto	NON	1	189	189
MvSl-1064-A1-R4_MC01-1g02792	Auto	Auto	NON	3	73	219
MvSl-1064-A1-R4_MC01-2g03099	Auto	Auto	NON	1	80	80
MvSl-1064-A1-R4_MC03g04294	Auto	Auto	NON	5	90.2	451
MvSl-1064-A1-R4_MC04-1g05784	Auto	Auto	NON	2	195	390
MvSl-1064-A1-R4_MC08g08777	Auto	Auto	NON	2	72	144
MvSl-1064-A1-R4_MC11g10564	Auto	Auto	NON	2	61.5	123
MvSl-1064-A1-R4_MC09-2g09443	Auto	Auto	NON	4	74.25	297
MvSl-1064-A1-R4_MC01-1g02817	Auto	Auto	NON	5	114	570
MvSl-1064-A1-R4_MC02g03188	Auto	Auto	NON	1	114	114
MvSl-1064-A1-R4_MC02g03671	Auto	Auto	NON	3	102.667	308
MvSl-1064-A1-R4_MC04-1g05627	Auto	Auto	NON	1	103	103
MvSl-1064-A1-R4_MC05-3g06838	Auto	Auto	NON	4	185.25	741
MvSl-1064-A1-R4_MC06g07019	Auto	Auto	NON	3	72	216
MvSl-1064-A1-R4_MC09-2g09200	Auto	Auto	NON	2	72	144
MvSl-1064-A1-R4_MC09-2g09238	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC14g11741	Auto	Auto	NON	4	89.5	358
MvSl-1064-A1-R4_MC04-1g05571	Auto	Auto	NON	2	124	248
MvSl-1064-A1-R4_MC10-2g10101	Auto	Auto	NON	3	68.6667	206
MvSl-1064-A1-R4_MC01-1g02428	Auto	Auto	NON	5	136	680
MvSl-1064-A1-R4_MC05-1g06229	Auto	Auto	NON	3	91.3333	274
MvSl-1064-A1-R4_MC12g11216	Auto	Auto	NON	5	78.8	394
MvSl-1064-A1-R4_MC03g05117	Auto	Auto	NON	6	108.5	651
MvSl-1064-A1-R4_MC03g04978	Auto	Auto	NON	4	83.75	335
MvSl-1064-A1-R4_MC06g07117	Auto	Auto	NON	1	93	93
MvSl-1064-A1-R4_MC08g08471	Auto	Auto	NON	1	71	71
MvSl-1064-A1-R4_MC18g12257	Auto	Auto	NON	3	87.3333	262
MvSl-1064-A1-R4_MC10-1g09662	Auto	Auto	NON	9	80.8889	728
MvSl-1064-A1-R4_MC04-1g05866	Auto	Auto	NON	9	111.444	1003
MvSl-1064-A1-R4_MC01-1g02145	Auto	Auto	NON	2	120	240
MvSl-1064-A1-R4_MC08g08534	Auto	Auto	NON	2	64	128
MvSl-1064-A1-R4_MC09-2g09358	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC12g11134	Auto	Auto	NON	2	167.5	335
MvSl-1064-A1-R4_MC15g12098	Auto	Auto	NON	2	90.5	181
MvSl-1064-A1-R4_MC05-3g06669	Auto	Auto	NON	3	100.333	301
MvSl-1064-A1-R4_MC06g06921	Auto	Auto	NON	5	77.8	389
MvSl-1064-A1-R4_MC11g10613	Auto	Auto	NON	3	63.3333	190
MvSl-1064-A1-R4_MC15g12077	Auto	Auto	NON	2	78.5	157
MvSl-1064-A1-R4_MC07g07744	Auto	Auto	NON	2	68	136
MvSl-1064-A1-R4_MC01-2g03138	Auto	Auto	NON	9	86.4444	778
MvSl-1064-A1-R4_MC13g11445	Auto	Auto	NON	2	208	416
MvSl-1064-A1-R4_A1g00518	Black	OldStrata	NON	6	94.1667	565
MvSl-1064-A1-R4_A1g00503	Black	OldStrata	NON	8	78.625	629
MvSl-1064-A1-R4_MC03g04579	Auto	Auto	NON	4	134.25	537
MvSl-1064-A1-R4_MC02g03543	Auto	Auto	NON	9	86.3333	777
MvSl-1064-A1-R4_MC03g04952	Auto	Auto	NON	1	83	83
MvSl-1064-A1-R4_MC11g10729	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC04-1g05710	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC02g03211	Auto	Auto	NON	2	144.5	289
MvSl-1064-A1-R4_MC02g03900	Auto	Auto	NON	7	89.8571	629
MvSl-1064-A1-R4_MC03g04735	Auto	Auto	NON	6	112.833	677
MvSl-1064-A1-R4_MC04-1g05969	Auto	Auto	NON	4	77.25	309
MvSl-1064-A1-R4_MC06g06968	Auto	Auto	NON	4	108.75	435
MvSl-1064-A1-R4_MC01-2g03150	Auto	Auto	NON	5	120.2	601
MvSl-1064-A1-R4_MC02g03753	Auto	Auto	NON	8	91	728
MvSl-1064-A1-R4_MC01-2g03095	Auto	Auto	NON	2	222.5	445
MvSl-1064-A1-R4_MC05-1g06137	Auto	Auto	NON	4	95.75	383
MvSl-1064-A1-R4_MC07g08121	Auto	Auto	NON	8	80.875	647
MvSl-1064-A1-R4_MC01-1g02425	Auto	Auto	NON	5	159.2	796
MvSl-1064-A1-R4_MC02g04118	Auto	Auto	NON	2	70.5	141
MvSl-1064-A1-R4_MC15g12031	Auto	Auto	NON	2	75	150
MvSl-1064-A1-R4_MC03g04824	Auto	Auto	NON	3	88.6667	266
MvSl-1064-A1-R4_MC07g07681	Auto	Auto	NON	5	105.6	528
MvSl-1064-A1-R4_MC09-2g09414	Auto	Auto	NON	4	74	296
MvSl-1064-A1-R4_MC07g07869	Auto	Auto	NON	3	108	324
MvSl-1064-A1-R4_MC03g05171	Auto	Auto	NON	3	66	198
MvSl-1064-A1-R4_MC04-1g05684	Auto	Auto	NON	2	146	292
MvSl-1064-A1-R4_MC14g11800	Auto	Auto	NON	6	84.1667	505
MvSl-1064-A1-R4_MC03g04402	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC09-2g09047	Auto	Auto	NON	12	100.583	1207
MvSl-1064-A1-R4_MC02g04172	Auto	Auto	NON	2	121	242
MvSl-1064-A1-R4_MC05-3g06645	Auto	Auto	NON	3	82.6667	248
MvSl-1064-A1-R4_MC01-1g02613	Auto	Auto	NON	2	98	196
MvSl-1064-A1-R4_MC04-1g05466	Auto	Auto	NON	1	69	69
MvSl-1064-A1-R4_MC04-1g05640	Auto	Auto	NON	9	84.5556	761
MvSl-1064-A1-R4_MC04-1g05680	Auto	Auto	NON	10	89.1	891
MvSl-1064-A1-R4_MC06g07286	Auto	Auto	NON	4	78.25	313
MvSl-1064-A1-R4_MC06g07174	Auto	Auto	NON	2	80.5	161
MvSl-1064-A1-R4_MC05-3g06819	Auto	Auto	NON	5	93.2	466
MvSl-1064-A1-R4_MC01-1g01796	Auto	Auto	NON	3	100.333	301
MvSl-1064-A1-R4_MC01-1g01932	Auto	Auto	NON	3	65	195
MvSl-1064-A1-R4_MC01-1g02323	Auto	Auto	NON	1	229	229
MvSl-1064-A1-R4_MC12g11018	Auto	Auto	NON	2	127.5	255
MvSl-1064-A1-R4_MC13g11393	Auto	Auto	NON	2	139.5	279
MvSl-1064-A1-R4_MC13g11589	Auto	Auto	NON	1	106	106
MvSl-1064-A1-R4_MC07g07938	Auto	Auto	NON	2	73.5	147
MvSl-1064-A1-R4_MC05-3g06721	Auto	Auto	NON	5	85.4	427
MvSl-1064-A1-R4_MC05-3g06618	Auto	Auto	NON	5	96.2	481
MvSl-1064-A1-R4_MC09-2g09249	Auto	Auto	NON	2	61	122
MvSl-1064-A1-R4_MC16g12183	Auto	Auto	NON	7	117.286	821
MvSl-1064-A1-R4_MC02g03792	Auto	Auto	NON	3	164.333	493
MvSl-1064-A1-R4_MC11g10454	Auto	Auto	NON	11	90	990
MvSl-1064-A1-R4_MC07g07624	Auto	Auto	NON	3	98.3333	295
MvSl-1064-A1-R4_MC01-2g03085	Auto	Auto	NON	5	99.6	498
MvSl-1064-A1-R4_A1g00433	Black	OldStrata	NON	3	74.3333	223
MvSl-1064-A1-R4_MC03g05174	Auto	Auto	NON	14	95.8571	1342
MvSl-1064-A1-R4_MC06g07455	Auto	Auto	NON	5	90.4	452
MvSl-1064-A1-R4_MC09-2g09217	Auto	Auto	NON	3	87.3333	262
MvSl-1064-A1-R4_MC09-2g09426	Auto	Auto	NON	5	74.4	372
MvSl-1064-A1-R4_MC12g11181	Auto	Auto	NON	6	78.3333	470
MvSl-1064-A1-R4_MC04-1g05662	Auto	Auto	NON	11	122.545	1348
MvSl-1064-A1-R4_MC07g07830	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_A1g00106	Black	OldStrata	NON	3	81	243
MvSl-1064-A1-R4_MC04-1g06053	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC01-1g01959	Auto	Auto	NON	5	90.8	454
MvSl-1064-A1-R4_MC01-1g02265	Auto	Auto	NON	6	74.1667	445
MvSl-1064-A1-R4_MC05-2g06325	Auto	Auto	NON	5	94.4	472
MvSl-1064-A1-R4_MC08g08337	Auto	Auto	NON	1	79	79
MvSl-1064-A1-R4_MC10-1g09604	Auto	Auto	NON	2	78	156
MvSl-1064-A1-R4_MC10-1g09698	Auto	Auto	NON	7	132.571	928
MvSl-1064-A1-R4_MC13g11437	Auto	Auto	NON	3	77	231
MvSl-1064-A1-R4_MC02g03626	Auto	Auto	NON	8	82.125	657
MvSl-1064-A1-R4_MC08g08364	Auto	Auto	NON	7	97.8571	685
MvSl-1064-A1-R4_MC04-1g05465	Auto	Auto	NON	7	75.8571	531
MvSl-1064-A1-R4_MC06g07173	Auto	Auto	NON	4	70.25	281
MvSl-1064-A1-R4_MC07g07743	Auto	Auto	NON	6	120	720
MvSl-1064-A1-R4_MC11g10411	Auto	Auto	NON	2	70.5	141
MvSl-1064-A1-R4_MC13g11365	Auto	Auto	NON	5	78	390
MvSl-1064-A1-R4_MC01-2g03161	Auto	Auto	NON	6	78.3333	470
MvSl-1064-A1-R4_MC11g10428	Auto	Auto	NON	3	152.667	458
MvSl-1064-A1-R4_MC01-1g02140	Auto	Auto	NON	3	87.6667	263
MvSl-1064-A1-R4_MC02g03206	Auto	Auto	NON	3	82.3333	247
MvSl-1064-A1-R4_MC02g03519	Auto	Auto	NON	1	64	64
MvSl-1064-A1-R4_MC03g04546	Auto	Auto	NON	2	79	158
MvSl-1064-A1-R4_MC03g05075	Auto	Auto	NON	2	76	152
MvSl-1064-A1-R4_MC04-1g06011	Auto	Auto	NON	9	75.4444	679
MvSl-1064-A1-R4_MC04-1g06044	Auto	Auto	NON	4	73.5	294
MvSl-1064-A1-R4_MC07g07941	Auto	Auto	NON	5	119	595
MvSl-1064-A1-R4_MC07g08020	Auto	Auto	NON	1	112	112
MvSl-1064-A1-R4_MC08g08520	Auto	Auto	NON	6	75.1667	451
MvSl-1064-A1-R4_MC10-2g10066	Auto	Auto	NON	5	91.2	456
MvSl-1064-A1-R4_MC12g11088	Auto	Auto	NON	18	109.222	1966
MvSl-1064-A1-R4_MC04-1g05998	Auto	Auto	NON	3	64	192
MvSl-1064-A1-R4_MC13g11588	Auto	Auto	NON	1	136	136
MvSl-1064-A1-R4_MC05-3g06562	Auto	Auto	NON	5	126	630
MvSl-1064-A1-R4_MC03g04343	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC06g07135	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC04-1g05352	Auto	Auto	NON	2	117.5	235
MvSl-1064-A1-R4_MC11g10605	Auto	Auto	NON	2	83.5	167
MvSl-1064-A1-R4_A1g01465	bPAR	bPAR	NON	1	92	92
MvSl-1064-A1-R4_MC01-1g02240	Auto	Auto	NON	5	86.8	434
MvSl-1064-A1-R4_MC06g07479	Auto	Auto	NON	2	76.5	153
MvSl-1064-A1-R4_MC10-1g09713	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC11g10713	Auto	Auto	NON	5	72.6	363
MvSl-1064-A1-R4_MC04-1g05295	Auto	Auto	NON	4	167.25	669
MvSl-1064-A1-R4_MC08g08549	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC09-2g09464	Auto	Auto	NON	5	95.2	476
MvSl-1064-A1-R4_MC10-2g09875	Auto	Auto	NON	4	68	272
MvSl-1064-A1-R4_MC01-1g01931	Auto	Auto	NON	5	102.2	511
MvSl-1064-A1-R4_MC02g03845	Auto	Auto	NON	5	82.2	411
MvSl-1064-A1-R4_MC11g10567	Auto	Auto	NON	10	82.7	827
MvSl-1064-A1-R4_MC02g03889	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC03g04365	Auto	Auto	NON	4	67.75	271
MvSl-1064-A1-R4_MC04-1g05783	Auto	Auto	NON	4	174.25	697
MvSl-1064-A1-R4_MC05-1g06249	Auto	Auto	NON	4	79	316
MvSl-1064-A1-R4_MC12g11263	Auto	Auto	NON	5	91.6	458
MvSl-1064-A1-R4_MC04-1g05990	Auto	Auto	NON	12	70.6667	848
MvSl-1064-A1-R4_MC05-2g06465	Auto	Auto	NON	2	126	252
MvSl-1064-A1-R4_MC02g03368	Auto	Auto	NON	2	161	322
MvSl-1064-A1-R4_MC05-1g06269	Auto	Auto	NON	1	88	88
MvSl-1064-A1-R4_MC09-2g09230	Auto	Auto	NON	10	71.4	714
MvSl-1064-A1-R4_MC09-2g09562	Auto	Auto	NON	4	116.5	466
MvSl-1064-A1-R4_MC13g11646	Auto	Auto	NON	1	45	45
MvSl-1064-A1-R4_A1g01496	bPAR	bPAR	NON	1	0	0
MvSl-1064-A1-R4_MC05-2g06320	Auto	Auto	NON	7	87.7143	614
MvSl-1064-A1-R4_MC06g07018	Auto	Auto	NON	4	67.75	271
MvSl-1064-A1-R4_MC07g08090	Auto	Auto	NON	3	84.3333	253
MvSl-1064-A1-R4_MC08g08629	Auto	Auto	NON	4	92.5	370
MvSl-1064-A1-R4_MC09-1g08910	Auto	Auto	NON	4	99	396
MvSl-1064-A1-R4_MC13g11382	Auto	Auto	NON	1	262	262
MvSl-1064-A1-R4_MC08g08582	Auto	Auto	NON	1	77	77
MvSl-1064-A1-R4_MC12g10860	Auto	Auto	NON	7	69.5714	487
MvSl-1064-A1-R4_MC01-1g02148	Auto	Auto	NON	6	93.3333	560
MvSl-1064-A1-R4_MC01-1g02564	Auto	Auto	NON	1	79	79
MvSl-1064-A1-R4_MC10-2g09987	Auto	Auto	NON	9	102.556	923
MvSl-1064-A1-R4_MC02g03783	Auto	Auto	NON	14	86.1429	1206
MvSl-1064-A1-R4_MC01-1g02074	Auto	Auto	NON	3	75.3333	226
MvSl-1064-A1-R4_MC05-1g06142	Auto	Auto	NON	1	88	88
MvSl-1064-A1-R4_MC11g10639	Auto	Auto	NON	7	75.7143	530
MvSl-1064-A1-R4_A1g00751	Black	OldStrata	NON	10	72.7	727
MvSl-1064-A1-R4_MC01-1g02134	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC01-1g02318	Auto	Auto	NON	1	58	58
MvSl-1064-A1-R4_MC01-1g02702	Auto	Auto	NON	7	90	630
MvSl-1064-A1-R4_MC01-2g03165	Auto	Auto	NON	3	128	384
MvSl-1064-A1-R4_MC02g04040	Auto	Auto	NON	7	85.1429	596
MvSl-1064-A1-R4_MC03g04521	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC03g04576	Auto	Auto	NON	4	106.75	427
MvSl-1064-A1-R4_MC05-3g06754	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC05-3g06803	Auto	Auto	NON	1	54	54
MvSl-1064-A1-R4_MC07g08005	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC08g08258	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC09-2g09161	Auto	Auto	NON	4	77.25	309
MvSl-1064-A1-R4_MC11g10257	Auto	Auto	NON	3	138	414
MvSl-1064-A1-R4_MC15g12084	Auto	Auto	NON	8	84.5	676
MvSl-1064-A1-R4_MC12g11149	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC01-1g02107	Auto	Auto	NON	8	85	680
MvSl-1064-A1-R4_MC01-1g02238	Auto	Auto	NON	2	83.5	167
MvSl-1064-A1-R4_MC01-2g03083	Auto	Auto	NON	1	74	74
MvSl-1064-A1-R4_MC02g03403	Auto	Auto	NON	3	263.333	790
MvSl-1064-A1-R4_MC03g04400	Auto	Auto	NON	2	84	168
MvSl-1064-A1-R4_MC03g05226	Auto	Auto	NON	3	86.3333	259
MvSl-1064-A1-R4_MC04-1g05675	Auto	Auto	NON	4	79.5	318
MvSl-1064-A1-R4_MC04-1g05811	Auto	Auto	NON	7	92.5714	648
MvSl-1064-A1-R4_MC07g07658	Auto	Auto	NON	1	114	114
MvSl-1064-A1-R4_MC08g08437	Auto	Auto	NON	1	53	53
MvSl-1064-A1-R4_MC08g08545	Auto	Auto	NON	4	86.75	347
MvSl-1064-A1-R4_MC08g08760	Auto	Auto	NON	1	78	78
MvSl-1064-A1-R4_MC09-2g09211	Auto	Auto	NON	1	168	168
MvSl-1064-A1-R4_MC09-2g09344	Auto	Auto	NON	5	284.8	1424
MvSl-1064-A1-R4_MC11g10481	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC15g12100	Auto	Auto	NON	6	81.6667	490
MvSl-1064-A1-R4_MC17g12231	Auto	Auto	NON	6	124.833	749
MvSl-1064-A1-R4_MC04-1g05937	Auto	Auto	NON	5	72.4	362
MvSl-1064-A1-R4_MC01-1g02304	Auto	Auto	NON	1	83	83
MvSl-1064-A1-R4_MC01-2g02992	Auto	Auto	NON	5	116.6	583
MvSl-1064-A1-R4_MC03g04313	Auto	Auto	NON	11	90.2727	993
MvSl-1064-A1-R4_MC05-3g06567	Auto	Auto	NON	7	93	651
MvSl-1064-A1-R4_MC06g06937	Auto	Auto	NON	4	75.5	302
MvSl-1064-A1-R4_MC06g07333	Auto	Auto	NON	3	76.6667	230
MvSl-1064-A1-R4_MC09-2g08933	Auto	Auto	NON	3	85.3333	256
MvSl-1064-A1-R4_MC14g11799	Auto	Auto	NON	7	86.8571	608
MvSl-1064-A1-R4_MC01-1g01878	Auto	Auto	NON	5	100.8	504
MvSl-1064-A1-R4_MC01-1g02117	Auto	Auto	NON	1	149	149
MvSl-1064-A1-R4_MC01-1g02395	Auto	Auto	NON	7	103.286	723
MvSl-1064-A1-R4_MC01-1g02803	Auto	Auto	NON	2	80	160
MvSl-1064-A1-R4_MC01-2g02993	Auto	Auto	NON	3	74.6667	224
MvSl-1064-A1-R4_MC05-1g06154	Auto	Auto	NON	3	86.6667	260
MvSl-1064-A1-R4_MC07g07637	Auto	Auto	NON	3	83	249
MvSl-1064-A1-R4_MC08g08461	Auto	Auto	NON	3	68.3333	205
MvSl-1064-A1-R4_MC08g08573	Auto	Auto	NON	4	120.75	483
MvSl-1064-A1-R4_MC08g08606	Auto	Auto	NON	6	76.8333	461
MvSl-1064-A1-R4_MC08g08663	Auto	Auto	NON	3	78.3333	235
MvSl-1064-A1-R4_MC10-2g09996	Auto	Auto	NON	8	64.75	518
MvSl-1064-A1-R4_MC11g10452	Auto	Auto	NON	3	85.3333	256
MvSl-1064-A1-R4_MC12g11170	Auto	Auto	NON	2	103.5	207
MvSl-1064-A1-R4_MC15g12147	Auto	Auto	NON	8	88.5	708
MvSl-1064-A1-R4_MC02g04002	Auto	Auto	NON	1	69	69
MvSl-1064-A1-R4_MC06g07032	Auto	Auto	NON	3	78.3333	235
MvSl-1064-A1-R4_MC05-3g06651	Auto	Auto	NON	6	128	768
MvSl-1064-A1-R4_MC07g08074	Auto	Auto	NON	1	42	42
MvSl-1064-A1-R4_A1g00840	Black	OldStrata	NON	2	75.5	151
MvSl-1064-A1-R4_A1g00842	Black	OldStrata	NON	6	114.333	686
MvSl-1064-A1-R4_MC02g03699	Auto	Auto	NON	5	78	390
MvSl-1064-A1-R4_MC10-1g09726	Auto	Auto	NON	10	63.9	639
MvSl-1064-A1-R4_MC12g11198	Auto	Auto	NON	3	97.3333	292
MvSl-1064-A1-R4_MC13g11470	Auto	Auto	NON	11	82.6364	909
MvSl-1064-A1-R4_MC04-1g05988	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC02g03574	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC03g04889	Auto	Auto	NON	14	74.8571	1048
MvSl-1064-A1-R4_MC11g10353	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC13g11454	Auto	Auto	NON	5	137	685
MvSl-1064-A1-R4_MC01-1g02597	Auto	Auto	NON	5	61.4	307
MvSl-1064-A1-R4_MC01-1g02782	Auto	Auto	NON	1	83	83
MvSl-1064-A1-R4_MC02g04229	Auto	Auto	NON	11	135	1485
MvSl-1064-A1-R4_MC10-2g10079	Auto	Auto	NON	3	48.3333	145
MvSl-1064-A1-R4_MC12g10934	Auto	Auto	NON	3	75.6667	227
MvSl-1064-A1-R4_MC13g11529	Auto	Auto	NON	4	78.25	313
MvSl-1064-A1-R4_MC13g11593	Auto	Auto	NON	4	85	340
MvSl-1064-A1-R4_MC02g03246	Auto	Auto	NON	2	85.5	171
MvSl-1064-A1-R4_MC09-2g09290	Auto	Auto	NON	10	73.3	733
MvSl-1064-A1-R4_MC05-3g06557	Auto	Auto	NON	6	75.6667	454
MvSl-1064-A1-R4_MC11g10187	Auto	Auto	NON	1	49	49
MvSl-1064-A1-R4_MC01-2g03171	Auto	Auto	NON	3	74	222
MvSl-1064-A1-R4_MC01-1g02429	Auto	Auto	NON	3	122.667	368
MvSl-1064-A1-R4_MC10-1g09592	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_A1g00542	Black	OldStrata	NON	4	79.5	318
MvSl-1064-A1-R4_MC01-1g02507	Auto	Auto	NON	2	88	176
MvSl-1064-A1-R4_MC06g07399	Auto	Auto	NON	1	70	70
MvSl-1064-A1-R4_MC09-2g09103	Auto	Auto	NON	3	119.333	358
MvSl-1064-A1-R4_MC11g10162	Auto	Auto	NON	4	88.25	353
MvSl-1064-A1-R4_MC04-1g05994	Auto	Auto	NON	1	345	345
MvSl-1064-A1-R4_MC08g08674	Auto	Auto	NON	2	99	198
MvSl-1064-A1-R4_MC09-2g08991	Auto	Auto	NON	6	82	492
MvSl-1064-A1-R4_MC02g04005	Auto	Auto	NON	9	77.4444	697
MvSl-1064-A1-R4_MC01-1g02414	Auto	Auto	NON	1	229	229
MvSl-1064-A1-R4_MC01-1g02853	Auto	Auto	NON	6	69.6667	418
MvSl-1064-A1-R4_MC01-2g03041	Auto	Auto	NON	2	70.5	141
MvSl-1064-A1-R4_MC01-2g03109	Auto	Auto	NON	1	79	79
MvSl-1064-A1-R4_MC07g08214	Auto	Auto	NON	2	78.5	157
MvSl-1064-A1-R4_MC07g08223	Auto	Auto	NON	4	157.5	630
MvSl-1064-A1-R4_MC03g04286	Auto	Auto	NON	4	80	320
MvSl-1064-A1-R4_MC06g07185	Auto	Auto	NON	4	111.25	445
MvSl-1064-A1-R4_MC06g07525	Auto	Auto	NON	4	123.75	495
MvSl-1064-A1-R4_MC10-1g09607	Auto	Auto	NON	1	54	54
MvSl-1064-A1-R4_MC10-2g09858	Auto	Auto	NON	5	161.8	809
MvSl-1064-A1-R4_MC11g10703	Auto	Auto	NON	3	86.6667	260
MvSl-1064-A1-R4_MC03g05266	Auto	Auto	NON	3	62	186
MvSl-1064-A1-R4_MC02g04013	Auto	Auto	NON	5	72.4	362
MvSl-1064-A1-R4_MC15g12038	Auto	Auto	NON	3	70.6667	212
MvSl-1064-A1-R4_MC01-1g02191	Auto	Auto	NON	3	69.3333	208
MvSl-1064-A1-R4_MC01-1g02489	Auto	Auto	NON	4	94	376
MvSl-1064-A1-R4_MC01-2g03139	Auto	Auto	NON	8	81.625	653
MvSl-1064-A1-R4_MC03g05178	Auto	Auto	NON	8	71.25	570
MvSl-1064-A1-R4_MC04-1g05374	Auto	Auto	NON	1	126	126
MvSl-1064-A1-R4_MC06g07523	Auto	Auto	NON	1	170	170
MvSl-1064-A1-R4_MC06g07528	Auto	Auto	NON	4	119.75	479
MvSl-1064-A1-R4_MC07g07687	Auto	Auto	NON	3	75.3333	226
MvSl-1064-A1-R4_MC07g07954	Auto	Auto	NON	5	82	410
MvSl-1064-A1-R4_MC09-2g09032	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC10-2g09956	Auto	Auto	NON	5	83.2	416
MvSl-1064-A1-R4_MC12g10924	Auto	Auto	NON	6	81	486
MvSl-1064-A1-R4_MC12g11102	Auto	Auto	NON	1	71	71
MvSl-1064-A1-R4_MC14g11746	Auto	Auto	NON	6	135.5	813
MvSl-1064-A1-R4_MC06g07431	Auto	Auto	NON	2	73.5	147
MvSl-1064-A1-R4_MC09-2g09561	Auto	Auto	NON	1	146	146
MvSl-1064-A1-R4_MC12g11117	Auto	Auto	NON	5	92.6	463
MvSl-1064-A1-R4_MC12g10757	Auto	Auto	NON	1	144	144
MvSl-1064-A1-R4_MC03g04472	Auto	Auto	NON	2	84.5	169
MvSl-1064-A1-R4_A1g00778	Black	OldStrata	NON	7	76.8571	538
MvSl-1064-A1-R4_MC01-1g02641	Auto	Auto	NON	10	72.7	727
MvSl-1064-A1-R4_MC01-1g02684	Auto	Auto	NON	2	116	232
MvSl-1064-A1-R4_MC03g05259	Auto	Auto	NON	2	116.5	233
MvSl-1064-A1-R4_MC05-2g06399	Auto	Auto	NON	4	125.25	501
MvSl-1064-A1-R4_MC05-3g06767	Auto	Auto	NON	6	77	462
MvSl-1064-A1-R4_MC07g07693	Auto	Auto	NON	5	125.6	628
MvSl-1064-A1-R4_MC07g07758	Auto	Auto	NON	4	129.75	519
MvSl-1064-A1-R4_MC11g10348	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC11g10595	Auto	Auto	NON	6	121	726
MvSl-1064-A1-R4_MC18g12253	Auto	Auto	NON	3	190	570
MvSl-1064-A1-R4_MC01-1g01961	Auto	Auto	NON	1	0	0
MvSl-1064-A1-R4_MC03g04513	Auto	Auto	NON	4	94	376
MvSl-1064-A1-R4_MC12g11021	Auto	Auto	NON	2	128	256
MvSl-1064-A1-R4_MC01-1g02371	Auto	Auto	NON	2	104	208
MvSl-1064-A1-R4_MC03g04830	Auto	Auto	NON	2	165.5	331
MvSl-1064-A1-R4_MC07g07680	Auto	Auto	NON	6	96.6667	580
MvSl-1064-A1-R4_MC09-2g09251	Auto	Auto	NON	2	80	160
MvSl-1064-A1-R4_MC11g10382	Auto	Auto	NON	2	110	220
MvSl-1064-A1-R4_MC11g10439	Auto	Auto	NON	1	105	105
MvSl-1064-A1-R4_MC12g10974	Auto	Auto	NON	3	107.333	322
MvSl-1064-A1-R4_MC17g12226	Auto	Auto	NON	5	172	860
MvSl-1064-A1-R4_MC04-1g05347	Auto	Auto	NON	2	48.5	97
MvSl-1064-A1-R4_MC16g12176	Auto	Auto	NON	2	75	150
MvSl-1064-A1-R4_MC01-1g02146	Auto	Auto	NON	4	115.5	462
