gid	gname	chr	start	end	logCPM	logFC.water.rich	logFC.water.diploid	logFC.rich.diploid	PV.water.rich	PV.water.diploid	PV.rich.diploid	FDR.water.rich	FDR.water.diploid	FDR.rich.diploid	water1	water2	rich1	rich2	di1	di2	meanwater	meanrich	meandi	log2(waterdi)	log2(richdi)
MvSl-1064-A2-R4_A2g00683	MvSl-1064-A1-R4_A2	MAT	1454355	1454977	7.596601365	0.583507716	-0.482293849	-1.065801565	0.1245554	0.189518235	0.002841127	0.209756162	0.29335607	0.014260804	7.887941117	7.210598562	7.145615105	6.91301028	7.95539997	8.136187468	7.549269839	7.029312692	8.045793719	-0.091897636	-0.194851117
MvSl-1064-A2-R4_A2g01677	MvSl-1064-A1-R4_A2	MAT	3704056	3704652	4.487317275	4.353103075	2.520636894	-1.832466181	0.000477976	0.0225244	0.213013879	0.001740238	0.047146214	0.383415448	5.088023658	6.114609358	3.582529161	3.113756926	4.543663241	3.113756926	5.601316508	3.348143044	3.828710084	0.548907531	-0.193497255
MvSl-1064-A2-R4_A2g01493	MvSl-1064-A1-R4_A2	MAT	3294517	3296272	9.728358622	-0.24449224	-1.542365938	-1.297873697	0.607032485	0.001356518	0.005955827	0.724793983	0.00400754	0.026094599	7.680691206	9.638282463	9.380887795	9.02113534	10.24233862	10.71421385	8.659486835	9.201011568	10.47827623	-0.275047963	-0.187537015
MvSl-1064-A2-R4_A2g01039	MvSl-1064-A1-R4_A2	MAT	2277923	2278410	8.632010936	1.042664304	-0.123161467	-1.165825771	0.015155958	0.769766022	0.006096797	0.036615094	0.902364001	0.026487767	8.880867359	8.856179876	8.185611946	7.425445641	9.447032747	8.326100541	8.868523618	7.805528794	8.886566644	-0.002932184	-0.187129764
MvSl-1064-A2-R4_A2g00509	MvSl-1064-A1-R4_A2	MAT	1080435	1081324	8.148185366	-0.05734668	-1.120583698	-1.063237018	0.892021607	0.007243107	0.007632332	0.98331593	0.018446729	0.031567324	7.76719531	7.574118445	8.100827477	7.235926614	8.328849162	9.090731141	7.670656878	7.668377045	8.709790152	-0.183287831	-0.183716685
MvSl-1064-A2-R4_A2g01676	MvSl-1064-A1-R4_A2	MAT	3703262	3704013	9.696876806	3.279719043	2.226248538	-1.053470504	6.53E-24	7.83E-13	0.001190187	2.41E-22	9.64E-12	0.006836961	10.74307275	11.06134105	7.811726897	7.547031358	8.85584556	8.545755774	10.9022069	7.679379128	8.700800667	0.325400133	-0.180158492
MvSl-1064-A2-R4_A2g00390	MvSl-1064-A1-R4_A2	MAT	858779	859620	10.46679262	3.383570534	2.254256219	-1.129314316	6.98E-33	5.90E-17	4.99E-05	5.15E-31	1.22E-15	0.00043009	11.74476458	11.6209368	8.399499059	8.266508903	9.54470072	9.33626514	11.68285069	8.333003981	9.44048293	0.307459776	-0.180023993
MvSl-1064-A2-R4_A2g00712	MvSl-1064-A1-R4_A2	MAT	1511168	1511455	8.217211514	0.01245367	-1.00127295	-1.01372662	0.972597555	0.004942985	0.002646323	1	0.013105248	0.013546028	7.926043825	7.705651925	7.476962476	8.069534418	8.793631117	8.794661946	7.815847875	7.773248447	8.794146531	-0.170141184	-0.178025943
MvSl-1064-A2-R4_A2g00191	MvSl-1064-A1-R4_A2	MAT	427669	428365	11.04796344	1.709980097	0.426303883	-1.283676214	6.77E-05	0.307238498	0.002501189	0.000296479	0.423579476	0.012931148	10.6550647	12.16892656	10.20680699	9.514065415	10.81605715	11.46550876	11.41199563	9.860436202	11.14078295	0.034700473	-0.176127252
MvSl-1064-A2-R4_A2g01174	MvSl-1064-A1-R4_A2	MAT	2530580	2530952	7.565799302	2.767030538	2.017302751	-0.749727788	6.76E-10	4.28E-06	0.117046241	5.92E-09	2.05E-05	0.258501958	8.579958238	8.874934071	6.620427754	5.38922813	7.136003075	6.382413523	8.727446155	6.004827942	6.759208299	0.368705276	-0.170731366
MvSl-1064-A2-R4_A2g01051	MvSl-1064-A1-R4_A2	MAT	2291671	2291950	7.957327563	-0.811567258	-1.794145071	-0.982577813	0.104957844	0.000325722	0.032227357	0.179679487	0.001079475	0.103195739	6.292556508	7.377714777	8.118187669	7.146407024	8.116550497	9.055388883	6.835135642	7.632297347	8.58596969	-0.329011112	-0.169863701
MvSl-1064-A2-R4_A2g00512	MvSl-1064-A1-R4_A2	MAT	1085054	1085362	6.646404001	-0.686908892	-1.495022516	-0.808113624	0.195860554	0.003962902	0.068445197	0.294360193	0.01067094	0.174316092	5.891664641	5.837049558	6.097573558	6.760457872	7.084966206	7.345116814	5.8643571	6.429015715	7.21504151	-0.299034738	-0.166409818
MvSl-1064-A2-R4_A2g01125	MvSl-1064-A1-R4_A2	MAT	2434540	2436647	8.659016904	-0.089956785	-1.101094808	-1.011138023	0.787671613	0.000842854	0.001225372	0.893039964	0.002567525	0.006961732	8.034662231	8.312412715	8.135341445	8.388656259	9.286889794	9.234602068	8.173537473	8.261998852	9.260745931	-0.180167798	-0.164637544
MvSl-1064-A2-R4_A2g01220	MvSl-1064-A1-R4_A2	MAT	2625926	2626225	6.665652721	-3.756680831	-4.659602086	-0.902921255	3.61E-06	1.40E-09	0.050154317	1.93E-05	1.21E-08	0.137924372	3.113756926	4.377359676	6.714740846	6.543842749	7.032057431	7.808429786	3.745558301	6.629291798	7.420243609	-0.986285773	-0.162611795
MvSl-1064-A2-R4_A2g00396	MvSl-1064-A1-R4_A2	MAT	864578	865030	5.674522218	-0.793738811	-1.556725527	-0.762986716	0.268714252	0.025768991	0.183196739	0.376491242	0.053290274	0.357406468	5.088023658	4.746685133	5.601030903	5.489711024	6.26864742	6.134031948	4.917354396	5.545370963	6.201339684	-0.334697582	-0.161295942
MvSl-1064-A2-R4_A2g01654	MvSl-1064-A1-R4_A2	MAT	3649224	3650855	9.733345428	0.454671469	-0.615284816	-1.069956286	0.146233052	0.047449756	0.000513319	0.236257775	0.090857495	0.003197423	9.837887795	9.360746243	8.976846712	9.336562567	10.18895882	10.26602424	9.599317019	9.15670464	10.22749153	-0.091448674	-0.15955195
MvSl-1064-A2-R4_A2g00727	MvSl-1064-A1-R4_A2	MAT	1547424	1547951	9.96937158	0.414633941	-0.657401673	-1.072035614	0.169650107	0.028410314	0.000317135	0.264982191	0.057600518	0.002102034	9.766181502	9.880256888	9.104275904	9.666746309	10.5219971	10.43137974	9.823219195	9.385511107	10.47668842	-0.09291497	-0.15867555
MvSl-1064-A2-R4_A2g00658	MvSl-1064-A1-R4_A2	MAT	1397662	1398120	3.436178554	-1.98353959	-3.257877688	-1.274338098	0.373594964	0.156632022	0.422368758	0.493790259	0.251486817	0.599902879	3.113756926	3.113756926	3.582529161	3.113756926	3.759702068	3.70647688	3.113756926	3.348143044	3.733089474	-0.261713762	-0.157008921
MvSl-1064-A2-R4_A2g00752	MvSl-1064-A1-R4_A2	MAT	1592302	1592888	6.622538618	5.460872859	4.941135223	-0.519737637	1.23E-18	4.52E-15	0.608258561	2.55E-17	7.31E-14	0.776468335	8.289737231	8.256299783	3.113756926	4.374944685	4.20429071	4.12537752	8.273018507	3.744350806	4.164834115	0.990154775	-0.153543428
MvSl-1064-A2-R4_A2g01206	MvSl-1064-A1-R4_A2	MAT	2599101	2600289	4.167027063	-4.22172724	-4.957190333	-0.735463092	0.03473613	0.009327104	0.431019796	0.073002355	0.023195524	0.605535964	3.113756926	3.113756926	4.456155131	3.877988403	4.818211178	4.449618543	3.113756926	4.167071767	4.633914861	-0.573575212	-0.153197591
MvSl-1064-A2-R4_A2g00629	MvSl-1064-A1-R4_A2	MAT	1339775	1341110	7.875549928	0.152714736	-0.75639456	-0.909109295	0.704630024	0.056730937	0.016597003	0.814974771	0.105884096	0.057204336	7.887941117	7.324131817	7.365079653	7.592934578	7.926700469	8.691005441	7.606036467	7.479007115	8.308852955	-0.127504469	-0.151802569
MvSl-1064-A2-R4_A2g01723	MvSl-1064-A1-R4_A2	MAT	3793945	3794673	8.034057406	-0.990594744	-1.90476712	-0.914172377	0.013214529	1.33E-06	0.007856268	0.032688571	7.10E-06	0.03223564	6.508843797	7.210598562	7.853788115	7.841349168	8.454799219	8.969392347	6.85972118	7.847568642	8.712095783	-0.344869878	-0.150774073
MvSl-1064-A2-R4_A2g01119	MvSl-1064-A1-R4_A2	MAT	2423345	2424150	8.735913748	0.321534625	-0.580242199	-0.901776824	0.336145027	0.079412861	0.005163804	0.459753912	0.141087453	0.023014538	8.738243858	8.46873622	8.065467542	8.489177635	9.132087073	9.224030361	8.603490039	8.277322588	9.178058717	-0.093267023	-0.149024852
MvSl-1064-A2-R4_A2g01570	MvSl-1064-A1-R4_A2	MAT	3443558	3444743	11.18541897	1.966871609	0.908835028	-1.058036581	7.30E-11	0.001949704	0.000361912	7.70E-10	0.005538446	0.002368461	12.04663872	11.82036115	9.581954367	10.28902756	11.25170988	10.77341448	11.93349994	9.935490964	11.01256218	0.115867063	-0.148487
MvSl-1064-A2-R4_A2g00764	MvSl-1064-A1-R4_A2	MAT	1615720	1616233	7.880169107	-0.052607446	-0.904578129	-0.851970684	0.891048651	0.01697666	0.016501936	0.98331593	0.037033473	0.057204336	7.808576993	7.150295621	7.580789628	7.547031358	8.607263264	8.136187468	7.479436307	7.563910493	8.371725366	-0.16259544	-0.146392693
MvSl-1064-A2-R4_A2g00942	MvSl-1064-A1-R4_A2	MAT	2017183	2017450	5.783818961	0.584701462	-0.075373286	-0.660074747	0.353185512	0.903685642	0.271030878	0.479256981	1	0.454944689	6.170897301	5.67528098	5.696579224	5.164464933	6.073001968	5.94097593	5.923089141	5.430522079	6.006988949	-0.020292211	-0.145551108
MvSl-1064-A2-R4_A2g01716	MvSl-1064-A1-R4_A2	MAT	3773969	3774241	3.614173994	-2.777108414	-3.785549241	-1.008440827	0.211277962	0.081357782	0.439799354	0.31388134	0.143556224	0.611226521	3.113756926	3.113756926	3.582529161	3.545895894	3.759702068	4.12537752	3.113756926	3.564212527	3.942539794	-0.340468991	-0.145541952
MvSl-1064-A2-R4_A2g01118	MvSl-1064-A1-R4_A2	MAT	2422309	2423196	8.711482667	-0.285732199	-1.189035039	-0.90330284	0.388643728	0.000295807	0.003391322	0.503580971	0.001012797	0.016698223	8.167829705	8.105655329	8.441479622	8.388656259	9.169313365	9.422013043	8.136742517	8.41506794	9.295663204	-0.192106461	-0.143582879
MvSl-1064-A2-R4_A2g00262	MvSl-1064-A1-R4_A2	MAT	563904	564242	3.231141467	0	-2.412927891	-2.412927891	1	0.30360533	0.193957779	1	0.421946118	0.362533356	3.113756926	3.113756926	3.113756926	3.113756926	3.759702068	3.113756926	3.113756926	3.113756926	3.436729497	-0.142379977	-0.142379977
MvSl-1064-A2-R4_A2g01374	MvSl-1064-A1-R4_A2	MAT	3039502	3039810	3.231141467	0	-2.412927891	-2.412927891	1	0.30360533	0.193957779	1	0.421946118	0.362533356	3.113756926	3.113756926	3.113756926	3.113756926	3.759702068	3.113756926	3.113756926	3.113756926	3.436729497	-0.142379977	-0.142379977
MvSl-1064-A2-R4_A2g00661	MvSl-1064-A1-R4_A2	MAT	1411363	1411860	3.342078607	2.755272904	0.342686076	-2.412586828	0.155022398	0.852668851	0.193485533	0.245855318	0.968541118	0.362533356	3.906463375	3.113756926	3.113756926	3.113756926	3.759702068	3.113756926	3.510110151	3.113756926	3.436729497	0.030480002	-0.142379977
MvSl-1064-A2-R4_A2g00900	MvSl-1064-A1-R4_A2	MAT	1913796	1913981	3.342078607	2.755272904	0.342686076	-2.412586828	0.155022398	0.852668851	0.193485533	0.245855318	0.968541118	0.362533356	3.906463375	3.113756926	3.113756926	3.113756926	3.759702068	3.113756926	3.510110151	3.113756926	3.436729497	0.030480002	-0.142379977
MvSl-1064-A2-R4_A2g00234	MvSl-1064-A1-R4_A2	MAT	511659	511943	3.633004962	4.574582522	2.165185096	-2.409397427	0.007379155	0.138499456	0.18930766	0.020079069	0.228038913	0.362489111	3.906463375	4.746685133	3.113756926	3.113756926	3.759702068	3.113756926	4.326574254	3.113756926	3.436729497	0.33218886	-0.142379977
MvSl-1064-A2-R4_A2g01375	MvSl-1064-A1-R4_A2	MAT	3040157	3041413	4.401879936	1.173653853	0.414044342	-0.759609511	0.24089278	0.673210593	0.444485678	0.344037478	0.818940886	0.616083366	4.790459237	4.746685133	4.21929665	3.877988403	4.20429071	4.714192844	4.768572185	4.048642526	4.459241777	0.096758933	-0.139360157
MvSl-1064-A2-R4_A2g01013	MvSl-1064-A1-R4_A2	MAT	2194008	2194852	8.833756974	-1.108741975	-1.984039508	-0.875297534	0.003195524	1.34E-07	0.009954231	0.00944049	8.16E-07	0.037840716	7.999356991	7.087361717	8.508841653	8.842647237	9.525688929	9.571267987	7.543359354	8.675744445	9.548478458	-0.340063704	-0.138283302
MvSl-1064-A2-R4_A2g00401	MvSl-1064-A1-R4_A2	MAT	880177	881419	12.14621197	0.588064932	-0.55051748	-1.138582412	0.023061672	0.032826148	1.15E-05	0.050952498	0.06577953	0.000110431	12.09761023	12.07473107	11.68484224	11.28752186	12.76497817	12.49442226	12.08617065	11.48618205	12.62970021	-0.063463178	-0.136921062
MvSl-1064-A2-R4_A2g01018	MvSl-1064-A1-R4_A2	MAT	2213635	2214925	10.91600431	2.779317675	1.861561834	-0.917755841	1.57E-27	4.84E-14	0.000247868	7.37E-26	7.14E-13	0.001686156	12.07659052	11.92979195	9.344473411	9.134115689	10.17071745	10.13107858	12.00319123	9.23929455	10.15089801	0.241810656	-0.135752757
MvSl-1064-A2-R4_A2g01449	MvSl-1064-A1-R4_A2	MAT	3209174	3209729	9.12727725	0.772778372	-0.11951542	-0.892293792	0.027878907	0.730785156	0.010146503	0.060307091	0.872554101	0.038290087	9.313425311	9.292635434	8.573198238	8.513250509	8.972761629	9.758723927	9.303030373	8.543224374	9.365742778	-0.009692679	-0.132612743
MvSl-1064-A2-R4_A2g01126	MvSl-1064-A1-R4_A2	MAT	2436730	2436945	3.230121793	0	-2.389149297	-2.389149297	1	0.306685915	0.196431542	1	0.423579476	0.3639968	3.113756926	3.113756926	3.113756926	3.113756926	3.113756926	3.70647688	3.113756926	3.113756926	3.410116903	-0.131164872	-0.131164872
MvSl-1064-A2-R4_A2g00411	MvSl-1064-A1-R4_A2	MAT	908669	908842	3.341062448	2.755274197	0.36582019	-2.389454007	0.155026758	0.844246311	0.19588948	0.245855318	0.968541118	0.3639968	3.906463375	3.113756926	3.113756926	3.113756926	3.113756926	3.70647688	3.510110151	3.113756926	3.410116903	0.041695107	-0.131164872
MvSl-1064-A2-R4_A2g01116	MvSl-1064-A1-R4_A2	MAT	2420197	2421548	8.477062349	1.170058865	0.414226904	-0.755831961	0.00023404	0.186673018	0.017090783	0.000916655	0.28981967	0.058516125	9.079886963	8.7984086	7.723736634	7.87889047	8.513877306	8.562635878	8.939147782	7.801313552	8.538256592	0.066195779	-0.13022446
MvSl-1064-A2-R4_A2g00786	MvSl-1064-A1-R4_A2	MAT	1654749	1655046	7.528273123	1.573713148	0.902901482	-0.670811666	1.28E-05	0.011333081	0.071492837	6.28E-05	0.026884633	0.18091558	8.199285844	8.284629043	6.926631043	6.543842749	7.279099862	7.457684717	8.241957443	6.735236896	7.368392289	0.161637143	-0.129621182
MvSl-1064-A2-R4_A2g01257	MvSl-1064-A1-R4_A2	MAT	2708529	2708787	9.152272085	1.122817968	0.34535448	-0.777463488	0.000497335	0.277939979	0.015286819	0.001773255	0.397361269	0.053763848	9.701748239	9.451002428	8.560554542	8.388656259	9.169313365	9.306511287	9.576375333	8.474605401	9.237912326	0.051912844	-0.12442066
MvSl-1064-A2-R4_A2g01248	MvSl-1064-A1-R4_A2	MAT	2688154	2688453	6.400009185	1.003960242	0.428012051	-0.575948192	0.062334794	0.425190164	0.283657067	0.119359587	0.560773763	0.467040458	7.271074551	6.235634554	6.165945514	5.671842043	6.357343898	6.527034012	6.753354552	5.918893778	6.442188955	0.068053324	-0.122223411
MvSl-1064-A2-R4_A2g01552	MvSl-1064-A1-R4_A2	MAT	3400945	3401344	5.74605717	0.82554713	0.281350181	-0.544196949	0.19329737	0.657508687	0.383478285	0.292206843	0.805975463	0.563233731	6.404749557	5.67528098	5.139299501	5.583648736	5.718510654	5.94097593	6.040015269	5.361474119	5.829743292	0.05111984	-0.120802638
MvSl-1064-A2-R4_A2g01660	MvSl-1064-A1-R4_A2	MAT	3658473	3658671	4.93384092	5.206333148	3.927433202	-1.278899947	4.27E-07	4.56E-05	0.389736563	2.54E-06	0.000188458	0.569191535	6.605930166	6.235634554	3.113756926	3.545895894	3.113756926	4.12537752	6.42078236	3.32982641	3.619567223	0.826931887	-0.120370242
MvSl-1064-A2-R4_A2g00724	MvSl-1064-A1-R4_A2	MAT	1540754	1541219	5.402804342	0.461175643	-0.082197376	-0.543373018	0.499383976	0.904007155	0.398445702	0.62817887	1	0.575102587	5.728760782	5.284439669	5.139299501	5.164464933	5.718510654	5.454233306	5.506600226	5.151882217	5.58637198	-0.020749768	-0.116812031
MvSl-1064-A2-R4_A2g01689	MvSl-1064-A1-R4_A2	MAT	3727423	3728413	11.51844997	1.13442789	0.227905888	-0.906522002	3.41E-06	0.344255508	0.000190235	1.83E-05	0.46960448	0.00134728	11.78937143	11.99981526	10.87887527	10.64821355	11.76677124	11.56938069	11.89459334	10.76354441	11.66807597	0.027739265	-0.116413452
MvSl-1064-A2-R4_A2g01117	MvSl-1064-A1-R4_A2	MAT	2421628	2422076	6.725136113	0.581550584	0.011906066	-0.569644518	0.217256289	0.979797909	0.210558455	0.320918576	1	0.3806249	7.271074551	6.450918058	6.519515207	6.23196959	6.860586623	6.94261899	6.860996304	6.375742398	6.901602807	-0.008513358	-0.114338107
MvSl-1064-A2-R4_A2g01475	MvSl-1064-A1-R4_A2	MAT	3273786	3275036	8.501294451	1.163085814	0.506019371	-0.657066443	0.000290111	0.111553292	0.040655359	0.001119307	0.188474026	0.122917079	9.096688949	8.893447598	8.029219125	7.680578899	8.454799219	8.545755774	8.995068274	7.854899012	8.500277496	0.081624292	-0.113917212
MvSl-1064-A2-R4_A2g01735	MvSl-1064-A1-R4_A2	MAT	3822964	3826055	9.908411213	0.175155752	-0.547700989	-0.722856742	0.580467253	0.083772907	0.02060985	0.699537459	0.14631957	0.069190212	9.668419318	9.83308347	9.18062471	9.89000972	10.32713746	10.26602424	9.750751394	9.535317215	10.29658085	-0.078580044	-0.110812507
MvSl-1064-A2-R4_A2g00929	MvSl-1064-A1-R4_A2	MAT	1982422	1983799	11.92438283	3.122609057	2.326047307	-0.79656175	5.47E-29	8.45E-18	0.002695207	2.83E-27	1.99E-16	0.013660999	13.34937434	12.85096274	10.0796541	9.93525835	10.78840868	10.81275	13.10016854	10.00745622	10.80057934	0.278476673	-0.110033395
MvSl-1064-A2-R4_A2g01492	MvSl-1064-A1-R4_A2	MAT	3294110	3294277	8.732733307	-0.544922879	-1.24624429	-0.701321411	0.126849179	0.000475371	0.0354711	0.212925407	0.001545702	0.109811729	7.999356991	8.105655329	8.739475487	8.414450812	8.972761629	9.520334512	8.05250616	8.576963149	9.246548071	-0.199477019	-0.108447956
MvSl-1064-A2-R4_A2g01539	MvSl-1064-A1-R4_A2	MAT	3385274	3385982	9.273816178	3.212300864	2.601985748	-0.610315115	6.83E-19	2.39E-13	0.097102315	1.53E-17	3.08E-12	0.222195303	10.80060712	10.23987925	7.422105375	7.373789329	7.837008721	8.113455995	10.52024318	7.397947352	7.975232358	0.399569597	-0.108401519
MvSl-1064-A2-R4_A2g00001	MvSl-1064-A1-R4_A2	MAT	1	405	7.731624899	-0.739850543	-1.446372068	-0.706521525	0.115041219	0.002015304	0.09755964	0.195645758	0.005693509	0.222195303	7.271074551	6.450918058	7.723736634	7.49961947	8.76148799	7.62773739	6.860996304	7.611678052	8.19461269	-0.256257674	-0.106461222
MvSl-1064-A2-R4_A2g00550	MvSl-1064-A1-R4_A2	MAT	1155317	1156000	9.912917785	-1.157956481	-1.907711965	-0.749755484	0.000250805	2.22E-09	0.011232714	0.000974934	1.76E-08	0.041480808	8.428925452	8.929776812	9.925485482	9.760236836	10.74796843	10.4128815	8.679351132	9.842861159	10.58042497	-0.285738479	-0.104247926
MvSl-1064-A2-R4_A2g01225	MvSl-1064-A1-R4_A2	MAT	2633500	2635945	9.902182262	0.950798852	0.250039454	-0.700759398	0.000889267	0.378048097	0.013694255	0.003065006	0.508986631	0.049166181	10.21401706	10.29662203	9.188863778	9.428042167	9.931677955	10.07923306	10.25531955	9.308452973	10.00545551	0.035585597	-0.104173526
MvSl-1064-A2-R4_A2g00337	MvSl-1064-A1-R4_A2	MAT	749045	751183	3.91081246	-3.934279925	-4.197941807	-0.263661882	0.071730603	0.057126808	0.835531784	0.132842122	0.106239423	0.930969682	3.113756926	3.113756926	3.113756926	4.571173904	4.543663241	3.70647688	3.113756926	3.842465415	4.12507006	-0.405762297	-0.102386348
MvSl-1064-A2-R4_A2g00542	MvSl-1064-A1-R4_A2	MAT	1144215	1145057	10.91859262	-0.177378591	-0.969397053	-0.792018462	0.486425532	0.000151285	0.001570117	0.614870416	0.000570907	0.008368564	10.60896194	10.32417788	10.72023811	10.57576597	11.59956873	11.25835632	10.46656991	10.64800204	11.42896253	-0.126905726	-0.102111695
MvSl-1064-A2-R4_A2g01553	MvSl-1064-A1-R4_A2	MAT	3401451	3402198	8.133589705	0.357715985	-0.217465751	-0.575181737	0.290398764	0.519223404	0.077645996	0.402509815	0.662811111	0.191157049	8.289737231	8.040698477	7.992036425	7.63742219	8.454799219	8.306192242	8.165217854	7.814729308	8.38049573	-0.037544208	-0.100839685
MvSl-1064-A2-R4_A2g01030	MvSl-1064-A1-R4_A2	MAT	2256927	2257413	10.9850915	4.566448855	3.986420679	-0.580028176	1.48E-57	4.44E-46	0.042625898	2.55E-55	5.74E-44	0.127384909	12.35668641	12.52114728	7.832910786	8.003087574	8.513877306	8.45825915	12.43891684	7.91799918	8.486068228	0.551692681	-0.09996036
MvSl-1064-A2-R4_A2g00690	MvSl-1064-A1-R4_A2	MAT	1466134	1466896	5.527050118	-0.317174224	-0.787541224	-0.470367	0.645091484	0.252460893	0.430614777	0.763186035	0.366635623	0.605535964	5.088023658	5.284439669	5.498702839	5.38922813	5.718510654	5.94097593	5.186231664	5.443965484	5.829743292	-0.168745705	-0.098774437
MvSl-1064-A2-R4_A2g01048	MvSl-1064-A1-R4_A2	MAT	2287246	2287677	4.563260245	-1.264522621	-1.658653001	-0.39413038	0.267067818	0.146623577	0.652120766	0.376223602	0.238378583	0.806570421	4.415135258	3.113756926	4.21929665	4.898104883	4.818211178	4.937684185	3.764446092	4.558700767	4.877947682	-0.373836685	-0.097651571
MvSl-1064-A2-R4_A2g00840	MvSl-1064-A1-R4_A2	MAT	1773353	1773866	10.62900769	1.580114926	0.90394215	-0.676172776	4.60E-10	0.000299876	0.007296594	4.10E-09	0.001019974	0.03042209	11.2729872	11.3631299	9.849564514	9.639664185	10.49781221	10.33642138	11.31805855	9.74461435	10.4171168	0.119670476	-0.096279034
MvSl-1064-A2-R4_A2g01074	MvSl-1064-A1-R4_A2	MAT	2331461	2331763	4.374883512	-4.793910999	-5.131587744	-0.337676746	0.014974682	0.00857292	0.727750847	0.036452133	0.021515533	0.853695012	3.113756926	3.113756926	4.996407205	3.877988403	4.543663241	4.937684185	3.113756926	4.437197804	4.740673713	-0.606435774	-0.095443232
MvSl-1064-A2-R4_A2g00350	MvSl-1064-A1-R4_A2	MAT	767280	767564	6.428306825	1.16336307	0.671375151	-0.491987919	0.016010163	0.166140025	0.317817861	0.038498857	0.26187315	0.4964789	6.939723795	7.021556764	5.950266724	5.908058906	6.073001968	6.594247765	6.98064028	5.929162815	6.333624867	0.140327949	-0.095203007
MvSl-1064-A2-R4_A2g00415	MvSl-1064-A1-R4_A2	MAT	916222	918081	9.813940265	1.4082185	0.782533045	-0.625685455	7.69E-06	0.012015079	0.046029081	3.98E-05	0.027981063	0.131323575	10.50581011	10.37116932	8.857879691	9.20972081	9.872715252	9.422013043	10.43848971	9.03380025	9.647364148	0.113706263	-0.094801809
MvSl-1064-A2-R4_A2g00540	MvSl-1064-A1-R4_A2	MAT	1142170	1142576	8.366793401	1.353425536	0.823503069	-0.529922467	0.000862024	0.041517047	0.193803636	0.002991051	0.08099741	0.362533356	8.347033756	9.451002428	7.555524919	7.802804822	7.926700469	8.421718548	8.899018092	7.67916487	8.174209508	0.122566939	-0.090129798
MvSl-1064-A2-R4_A2g01699	MvSl-1064-A1-R4_A2	MAT	3746727	3748518	9.61766477	0.982821161	0.393607266	-0.589213895	0.003268671	0.235884405	0.076325448	0.009601722	0.34645522	0.190065002	10.32512508	9.660071311	8.857879691	9.231650752	9.426679888	9.823182822	9.992598194	9.044765221	9.624931355	0.054083593	-0.089693197
MvSl-1064-A2-R4_A2g00149	MvSl-1064-A1-R4_A2	MAT	337797	338222	11.32134584	1.788842047	1.12386065	-0.664981397	2.03E-12	7.11E-06	0.008022599	2.69E-11	3.25E-05	0.032658925	12.30159233	11.87960044	10.27804521	10.36705513	10.93970549	11.02859227	12.09059639	10.32255017	10.98414888	0.138462325	-0.089623654
MvSl-1064-A2-R4_A2g00768	MvSl-1064-A1-R4_A2	MAT	1618986	1620225	9.868537335	0.477123667	-0.115483534	-0.592607201	0.099251886	0.689213728	0.038361848	0.172771802	0.832531536	0.117355476	9.980501105	9.961466655	9.373678077	9.612063938	9.988325186	10.17564961	9.97098388	9.492871007	10.0819874	-0.015972282	-0.086863672
MvSl-1064-A2-R4_A2g00454	MvSl-1064-A1-R4_A2	MAT	1009267	1009470	7.841716736	0.749387693	0.292510724	-0.456876969	0.048027298	0.44108855	0.223756618	0.096240748	0.577323495	0.397533236	8.318669916	8.007089329	7.746242407	7.083484387	7.673894839	8.066889495	8.162879622	7.414863397	7.870392167	0.052642658	-0.08601541
MvSl-1064-A2-R4_A2g01141	MvSl-1064-A1-R4_A2	MAT	2468201	2469609	11.82662485	-1.470054789	-2.197739223	-0.727684434	0.001080742	1.72E-06	0.097357724	0.003581688	9.00E-06	0.222195303	9.062886988	11.01981313	11.92817762	11.69386891	12.28915396	12.75709591	10.04135006	11.81102327	12.52312493	-0.318641355	-0.084460646
MvSl-1064-A2-R4_A2g00230	MvSl-1064-A1-R4_A2	MAT	507700	508508	10.40907964	2.193689892	1.632430878	-0.561259013	1.34E-14	6.15E-09	0.046737984	2.04E-13	4.54E-08	0.131323575	11.32738495	11.43440017	9.388061663	8.99572967	9.95318216	9.537512911	11.38089256	9.191895666	9.745347536	0.223828167	-0.084351213
MvSl-1064-A2-R4_A2g01722	MvSl-1064-A1-R4_A2	MAT	3793135	3793839	9.567822713	-0.506544938	-1.132380446	-0.625835507	0.165523615	0.002037941	0.076909041	0.260108538	0.00572617	0.19024868	8.841535957	9.050174928	9.53748295	9.356659551	9.477033589	10.48549253	8.945855443	9.44707125	9.981263057	-0.158002944	-0.079355251
MvSl-1064-A2-R4_A2g01389	MvSl-1064-A1-R4_A2	MAT	3072959	3073240	11.42998964	-1.129657338	-1.758366699	-0.628709361	5.18E-06	2.35E-12	0.008358821	2.73E-05	2.64E-11	0.033761799	10.33931339	10.26142017	11.57911457	11.25398422	12.11407101	11.9886046	10.30036678	11.4165494	12.0513378	-0.226497597	-0.078066638
MvSl-1064-A2-R4_A2g00824	MvSl-1064-A1-R4_A2	MAT	1744886	1746488	10.06324756	0.626219662	0.089832669	-0.536386993	0.02187165	0.74165086	0.047750238	0.049163666	0.877422185	0.133288017	10.38105984	10.17325676	9.684571178	9.634186216	10.1460312	10.23476972	10.2771583	9.659378697	10.19040046	0.012230658	-0.077208446
