gida1	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	intron_nr_a2	intron_mean_a2	intron_total_a2	intron_nr_diff	intron_mean_diff	intron_total_diff	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	DE								
MvSl-1064-A1-R4_MC04-1g05504	Auto	Auto	5	78.2	391	5	78.2	391	0	0	0	503362	503958	8.09070929	-1.156400131	1.156400131	6.34E-07	2.09E-05	7.471491512	7.325124766	8.706561436	8.3881057	Down								
MvSl-1064-A1-R4_MC05-3g06515	Auto	Auto	5	259.6	1298	5	259.6	1298	0	0	0	333921	340706	9.819871578	-1.154134943	1.154134943	0.000191032	0.004012616	8.923572537	9.311450405	10.36291659	10.20159216	Down								
MvSl-1064-A1-R4_MC10-2g10098	Auto	Auto	3	126.667	380	3	126.667	380	0	0	0	662159	664366	7.745759317	-1.143945715	1.143945715	9.67E-05	0.002192478	7.100734902	7.026132275	8.627333663	7.612192567	Down								
MvSl-1064-A1-R4_MC10-1g09620	Auto	Auto	2	139.5	279	2	139.5	279	0	0	0	57521	59809	3.238135729	-1.130350536	1.130350536	0.000316192	0.006390374	2.48109779	2.670767618	3.820983268	3.560867851	Down								
MvSl-1064-A1-R4_MC05-3g06514	Auto	Auto	5	72	360	5	72	360	0	0	0	333416	334242	8.716049418	-1.117604784	1.117604784	7.85E-06	0.000215865	8.068044298	8.035713102	9.073168251	9.259428012	Down								
MvSl-1064-A1-R4_MC11g10722	Auto	Auto	5	100.2	501	5	100.2	501	0	0	0	1381368	1381643	8.385266482	-1.116450817	1.116450817	2.95E-06	8.72E-05	7.728099971	7.715994213	8.965156385	8.698880666	Down								
MvSl-1064-A1-R4_MC06g07140	Auto	Auto	7	61.1429	428	7	61.1429	428	0	0	0	755046	757789	6.632849507	-1.114499409	1.114499409	4.48E-09	1.93E-07	5.947928485	5.995634083	7.116043396	7.05388409	Down								
MvSl-1064-A1-R4_MC05-3g06731	Auto	Auto	2	90	180	2	90	180	0	0	0	630141	632459	3.765130384	-1.110557998	1.110557998	0.000131366	0.002887019	3.081721694	3.148124546	4.36206763	4.056172296	Down								
MvSl-1064-A1-R4_MC01-1g02359	Auto	Auto	6	65	390	6	65	390	0	0	0	1072505	1073440	5.292900413	-1.095470345	1.095470345	5.27E-05	0.001266383	4.226680541	4.972152642	5.817334016	5.657448678	Down								
MvSl-1064-A1-R4_MC08g08437	Auto	Auto	1	53	53	1	53	53	0	0	0	479562	479717	3.061135831	-1.091716353	1.091716353	0.000949362	0.016873374	2.59832894	2.238324918	3.654374789	3.343875908	Down								
MvSl-1064-A1-R4_A1g00400	Red	ColorStrata	7	91.2857	639	7	90.8571	636	0	0.4286	3	841678	844038	4.786379612	-1.080405595	1.080405595	0.00015815	0.0034056	4.473765263	3.737837858	5.076642639	5.366138491	Down								
MvSl-1064-A1-R4_MC03g05159	Auto	Auto	1	0	0	1	0	0	0	0	0	2193893	2194681	6.132922671	-1.075091541	1.075091541	4.00E-08	1.56E-06	5.425189389	5.569952562	6.587160452	6.558482363	Down								
MvSl-1064-A1-R4_MC07g08057	Auto	Auto	3	83.3333	250	3	83.3333	250	0	0	0	1250646	1252658	4.443322735	-1.074575189	1.074575189	4.64E-05	0.00113626	3.630992488	3.976776292	4.955833706	4.807672288	Down								
MvSl-1064-A1-R4_MC03g04642	Auto	Auto	4	148.75	595	4	148.75	595	0	0	0	921260	925020	6.442336358	-1.07257881	1.07257881	4.09E-07	1.40E-05	5.650948475	5.953473513	6.688773822	7.051496346	Down								
MvSl-1064-A1-R4_MC01-1g02008	Auto	Auto	4	62.75	251	4	62.75	251	0	0	0	383122	384434	8.284435452	-1.070633349	1.070633349	0.001409225	0.023393131	8.088980224	7.023522137	8.399011342	8.986970675	Down								
MvSl-1064-A1-R4_MC05-3g06518	Auto	Auto	8	88	704	8	88	704	0	0	0	337264	338212	7.957817206	-1.068391232	1.068391232	3.10E-06	9.11E-05	7.418670191	7.230067876	8.214872627	8.555851874	Down								
MvSl-1064-A1-R4_MC04-1g05744	Auto	Auto	8	145.125	1161	8	145.125	1161	0	0	0	1069684	1072396	5.761746384	-1.064099059	1.064099059	4.61E-07	1.55E-05	5.249924908	5.012726144	6.248969728	6.145638895	Down								
MvSl-1064-A1-R4_MC05-3g06707	Auto	Auto	11	89.5455	985	11	89.5455	985	0	0	0	565851	570084	7.153368434	-1.033030577	1.033030577	8.62E-08	3.20E-06	6.600454225	6.491936086	7.641976279	7.514155763	Down								
MvSl-1064-A1-R4_MC05-3g06517	Auto	Auto	4	90.25	361	4	90.25	361	0	0	0	336152	336708	8.124266244	-1.030728333	1.030728333	5.92E-06	0.000164757	7.432946047	7.600601549	8.637574636	8.45580219	Down								
MvSl-1064-A1-R4_MC01-1g02180	Auto	Auto	6	72.1667	433	7	56.4286	395	-1	15.7381	38	653570	656228	4.206258925	-1.019676864	1.019676864	0.000391311	0.007743791	3.398596286	3.802602029	4.810375916	4.420504806	Down								
MvSl-1064-A1-R4_MC06g06896	Auto	Auto	5	104.2	521	5	104.2	521	0	0	0	106884	109986	6.132855032	-1.014107806	1.014107806	4.50E-07	1.53E-05	5.521851848	5.558458507	6.679078233	6.414476008	Down								
MvSl-1064-A1-R4_MC03g04915	Auto	Auto	4	80.25	321	4	80.25	321	0	0	0	1601268	1603634	2.885315329	-1.008182435	1.008182435	0.003442003	0.049621725	1.991423754	2.57133741	3.289010405	3.320267757	Down								
MvSl-1064-A1-R4_MC03g04895	Auto	Auto	1	47	47	1	47	47	0	0	0	1588368	1590325	5.86251617	-0.997991256	0.997991256	5.44E-05	0.001296378	5.585715557	4.894287085	6.231726911	6.321418272	Down								
MvSl-1064-A1-R4_MC01-1g02603	Auto	Auto	3	105.333	316	3	105.333	316	0	0	0	1669135	1669419	4.793482327	-0.994476219	0.994476219	0.001648449	0.026690519	3.625478263	4.634512433	5.337821767	5.063693531	Down								
MvSl-1064-A1-R4_A1g00078	bPAR	bPAR	1	0	0	1	0	0	0	0	0	177417	178892	7.162015405	-0.993002656	0.993002656	8.92E-05	0.002056118	6.188489281	6.891761894	7.771153038	7.347523635	Down								
MvSl-1064-A1-R4_MC01-1g02267	Auto	Auto	3	62.3333	187	3	62.3333	187	0	0	0	862521	862738	3.806879058	-0.991272367	0.991272367	0.001068189	0.018674741	3.298197579	3.170947863	4.452402015	3.94221645	Down								
MvSl-1064-A1-R4_MC13g11645	Auto	Auto	8	94	752	8	94	752	0	0	0	837582	839150	7.735144653	-0.981775324	0.981775324	0.000253469	0.005171621	6.958859706	7.341564048	8.467334208	7.726989333	Down								
MvSl-1064-A1-R4_MC03g05141	Auto	Auto	6	92.5	555	6	92.5	555	0	0	0	2155040	2156556	8.179241109	-0.964512004	0.964512004	0.000392699	0.007744282	7.194957523	7.945108079	8.580227637	8.584624025	Down								
MvSl-1064-A1-R4_MC05-3g06519	Auto	Auto	5	171.2	856	5	171.2	856	0	0	0	339298	341280	7.956580056	-0.96196907	0.96196907	0.000215078	0.004441316	7.704103852	7.007233021	8.445064211	8.267273141	Down								
MvSl-1064-A1-R4_A1g00516	Black	OldStrata	6	131.5	789	5	136	680	1	-4.5	109	2776699	2777667	8.659814433	-0.952952226	0.952952226	0.000213002	0.00443055	8.032808644	8.176295153	9.232840031	8.861394841	Down								
MvSl-1064-A1-R4_A1g01384	Black	OldStrata	1	77	77	1	129	129	0	-52	-52	1838292	1841771	7.461687284	-0.947792045	0.947792045	4.74E-06	0.000134121	6.799048222	7.016713595	7.929883853	7.784912615	Down								
MvSl-1064-A1-R4_MC11g10214	Auto	Auto	3	85.3333	256	3	85.3333	256	0	0	0	121781	122734	6.027313228	-0.947429324	0.947429324	1.43E-06	4.46E-05	5.431523038	5.524893671	6.45617382	6.392947516	Down								
MvSl-1064-A1-R4_MC12g10989	Auto	Auto	2	60	120	2	60	120	0	0	0	610583	611894	3.738704173	-0.932000816	0.932000816	0.00126676	0.021487163	3.345920955	3.053039625	4.096716189	4.166203106	Down								
MvSl-1064-A1-R4_A1g01494	bPAR	bPAR	1	42	42	1	42	42	0	0	0	3345781	3348549	7.318336786	-0.924508323	0.924508323	0.000134886	0.002956775	6.995657804	6.535823429	7.431556554	7.939793523	Down								
MvSl-1064-A1-R4_MC01-1g02849	Auto	Auto	3	87	261	3	87	261	0	0	0	2271169	2273596	5.393877774	-0.916923323	0.916923323	0.000105321	0.002381983	4.835563292	4.896571138	5.991348637	5.534603684	Down								
MvSl-1064-A1-R4_A1g00154	Black	OldStrata	1	127	127	1	124	124	0	3	3	2689352	2692677	5.199460696	-0.909654782	0.909654782	5.39E-05	0.001286072	4.614019113	4.737485441	5.671496984	5.491215484	Down								
MvSl-1064-A1-R4_A1g00292	Black	OldStrata	8	90.125	721	8	90	720	0	0.125	1	1153924	1156082	6.888217476	-0.906844922	0.906844922	6.74E-06	0.000186342	6.208912143	6.506963213	7.397851347	7.133366457	Down								
MvSl-1064-A1-R4_MC01-1g02838	Auto	Auto	4	51.75	207	4	51.75	207	0	0	0	2240124	2240829	6.602323489	-0.8850548	0.8850548	0.000322432	0.006501119	5.650948475	6.432574622	7.004609411	6.951313348	Down								
MvSl-1064-A1-R4_MC01-1g02009	Auto	Auto	1	172	172	1	172	172	0	0	0	384760	385725	8.653767833	-0.88374669	0.88374669	0.001742734	0.028004957	8.418843169	7.80804965	8.85420971	9.184997472	Down								
MvSl-1064-A1-R4_MC11g10585	Auto	Auto	6	96.5	579	6	96.5	579	0	0	0	1046508	1046713	4.85536541	-0.880292822	0.880292822	0.002602405	0.038895041	3.854852985	4.722113991	5.192312882	5.266717306	Down								
MvSl-1064-A1-R4_MC12g11233	Auto	Auto	5	153.8	769	5	153.8	769	0	0	0	1206947	1212539	4.439638949	-0.874554805	0.874554805	0.000537918	0.010380722	3.994012766	3.887730785	4.777202419	4.846754387	Down								
MvSl-1064-A1-R4_MC01-1g02299	Auto	Auto	2	65	130	2	65	130	0	0	0	934290	936000	4.239779755	-0.871000447	0.871000447	0.00172334	0.027745456	3.674363583	3.812312661	4.373211181	4.81613661	Down								
MvSl-1064-A1-R4_A1g01253	Black	OldStrata	4	105	420	4	95	380	0	10	40	525538	526703	6.667842774	-0.854931713	0.854931713	4.91E-05	0.001193109	5.95783539	6.370665454	7.131438766	6.927422143	Down								
MvSl-1064-A1-R4_MC03g05043	Auto	Auto	3	95	285	3	95	285	0	0	0	1888458	1891265	4.683588438	-0.850427141	0.850427141	0.000634546	0.012006499	4.116998116	4.279459464	4.918287191	5.16656897	Down								
MvSl-1064-A1-R4_MC02g03664	Auto	Auto	6	121.833	731	6	121.833	731	0	0	0	1194204	1196896	4.647290283	-0.84941929	0.84941929	0.00251016	0.037914057	4.04859814	4.272441398	5.299393515	4.649314797	Down								
MvSl-1064-A1-R4_MC04-1g05945	Auto	Auto	4	86	344	4	86	344	0	0	0	1558563	1559650	6.6175212	-0.846596623	0.846596623	0.000901037	0.016148777	5.827022471	6.387002911	7.262069885	6.62823757	Down								
MvSl-1064-A1-R4_MC07g07855	Auto	Auto	9	110.778	997	9	110.778	997	0	0	0	752109	754135	6.66469805	-0.839449408	0.839449408	7.72E-05	0.001797234	6.12932802	6.240057518	6.774622523	7.237342038	Down								
MvSl-1064-A1-R4_MC03g04747	Auto	Auto	12	93.1667	1118	12	93.1667	1118	0	0	0	1190549	1191676	5.497499333	-0.837537799	0.837537799	0.000136352	0.002973659	4.873274833	5.154981038	5.881174868	5.831757427	Down								
MvSl-1064-A1-R4_MC05-2g06483	Auto	Auto	4	58.75	235	4	58.75	235	0	0	0	321091	322684	4.616354971	-0.837132444	0.837132444	0.000705447	0.013139146	4.027847453	4.247605778	4.973026522	4.978278085	Down								
MvSl-1064-A1-R4_MC02g03224	Auto	Auto	2	99.5	199	2	99.5	199	0	0	0	146032	148493	5.581384381	-0.827229126	0.827229126	0.00151778	0.024857282	4.884860353	5.306957742	6.226616025	5.573400197	Down								
MvSl-1064-A1-R4_MC07g08138	Auto	Auto	8	84.5	676	8	84.5	676	0	0	0	1457721	1458150	5.554091834	-0.826312022	0.826312022	0.0001684	0.003590153	5.00863394	5.156887755	6.065355509	5.733893915	Down								
MvSl-1064-A1-R4_MC07g08104	Auto	Auto	5	132.8	664	5	132.8	664	0	0	0	1370639	1371031	7.286967096	-0.819537186	0.819537186	0.00062101	0.011797812	7.100238043	6.472929357	7.511477277	7.756974574	Down								
MvSl-1064-A1-R4_MC03g04352	Auto	Auto	3	58	174	3	58	174	0	0	0	218308	218823	5.809221157	-0.813359118	0.813359118	0.000792672	0.014479812	5.615227258	5.019029451	6.270982352	6.03879552	Down								
MvSl-1064-A1-R4_MC12g10776	Auto	Auto	6	107.833	647	6	107.833	647	0	0	0	69956	74714	7.935226591	-0.812700819	0.812700819	0.00183539	0.029273786	7.056342829	7.79555907	8.31482298	8.254873527	Down								
MvSl-1064-A1-R4_A1g00165	Black	OldStrata	6	82.8333	497	6	85.3333	512	0	-2.5	-15	621126	622892	7.334891887	-0.801032568	0.801032568	5.23E-05	0.001260356	6.838905348	6.920104979	7.656871623	7.703989183	Down								
MvSl-1064-A1-R4_MC04-1g05865	Auto	Auto	8	88.625	709	8	88.625	709	0	0	0	1369950	1372160	7.516792192	-0.799610004	0.799610004	0.000193094	0.004045989	6.857840708	7.242242063	7.837023804	7.886534929	Down								
MvSl-1064-A1-R4_MC02g04181	Auto	Auto	5	70.2	351	5	70.2	351	0	0	0	2412588	2413529	6.129770527	-0.798356861	0.798356861	9.45E-05	0.002153424	5.512919938	5.825061482	6.543436513	6.402347229	Down								
MvSl-1064-A1-R4_MC04-1g05729	Auto	Auto	3	168	504	3	168	504	0	0	0	1035061	1037563	5.769394008	-0.7976718	0.7976718	0.000143502	0.003113702	5.425189389	5.201908905	6.064209963	6.162332636	Down								
MvSl-1064-A1-R4_MC06g07298	Auto	Auto	4	94	376	4	94	376	0	0	0	1178498	1181711	6.934805112	-0.785742372	0.785742372	2.88E-05	0.000725311	6.425878059	6.551127679	7.343174373	7.203330105	Down								
MvSl-1064-A1-R4_A1g01164	Black	OldStrata	10	83.2	832	9	83.2222	749	1	-0.0222	83	3033187	3035601	4.608905741	-0.782988706	0.782988706	0.001693951	0.027375404	4.05681556	4.272441398	5.004422425	4.890160511	Down								
MvSl-1064-A1-R4_MC10-1g09718	Auto	Auto	7	77.1429	540	7	77.1429	540	0	0	0	173527	184494	6.974633796	-0.781146008	0.781146008	0.000730169	0.013540603	6.315489423	6.721202626	7.56104659	7.013358564	Down								
MvSl-1064-A1-R4_MC15g12029	Auto	Auto	5	163.8	819	5	163.8	819	0	0	0	44970	45507	8.402279132	-0.754645564	0.754645564	0.001183869	0.020323077	7.926676951	8.024530651	8.719353158	8.742275611	Down								
MvSl-1064-A1-R4_MC01-2g03112	Auto	Auto	6	79.3333	476	6	79.3333	476	0	0	0	2892242	2893054	5.899566254	-0.753072657	0.753072657	0.002149137	0.033588616	5.433102115	5.517492473	6.531052049	5.842846241	Down								
MvSl-1064-A1-R4_MC05-3g06516	Auto	Auto	2	88.5	177	2	88.5	177	0	0	0	335094	339137	5.164718662	-0.748506772	0.748506772	0.001415449	0.023405559	4.852183515	4.629028336	5.345386096	5.624093174	Down								
MvSl-1064-A1-R4_MC08g08768	Auto	Auto	3	89.3333	268	3	89.3333	268	0	0	0	1262694	1263659	6.401389632	-0.726763597	0.726763597	0.001500458	0.024620759	5.739119042	6.21006917	6.91658272	6.491361529	Down								
MvSl-1064-A1-R4_MC12g10761	Auto	Auto	4	82.75	331	4	82.75	331	0	0	0	35162	35617	4.887916669	-0.721254003	0.721254003	0.002550009	0.038280846	4.605641585	4.354485626	5.125787359	5.279015973	Down								
MvSl-1064-A1-R4_MC02g04171	Auto	Auto	4	75	300	4	75	300	0	0	0	2391779	2393227	5.727709886	-0.712761873	0.712761873	0.001931428	0.030464537	5.132375371	5.502575187	6.203910505	5.856588467	Down								
MvSl-1064-A1-R4_A1g00624	Purple	OldStrata	7	107.286	751	7	99	693	0	8.286	58	907140	907771	6.80534784	-0.708893366	0.708893366	0.000113263	0.002541427	6.408324205	6.408769044	7.180897076	7.049702941	Down								
MvSl-1064-A1-R4_MC01-1g02848	Auto	Auto	2	71.5	143	2	71.5	143	0	0	0	2268999	2270752	5.816341118	-0.704662556	0.704662556	0.000953111	0.016904871	5.331776523	5.508560623	6.252997086	5.987257952	Down								
MvSl-1064-A1-R4_MC09-2g09340	Auto	Auto	5	80.8	404	5	80.8	404	0	0	0	1043601	1045792	7.518692087	-0.702099413	0.702099413	0.000896124	0.016121834	7.086256065	7.164292889	7.985706489	7.649772848	Down								
MvSl-1064-A1-R4_MC01-1g02351	Auto	Auto	31	86.0968	2669	31	86.0968	2669	0	0	0	1049308	1050374	4.85559816	-0.691663591	0.691663591	0.003470111	0.049878603	4.378635616	4.558658007	5.194408617	5.126294747	Down								
MvSl-1064-A1-R4_MC05-1g06149	Auto	Auto	6	79.8333	479	6	79.8333	479	0	0	0	37960	43677	6.745506222	-0.678128307	0.678128307	0.00094465	0.016859739	6.227230793	6.495707567	7.225645143	6.838812703	Down								
MvSl-1064-A1-R4_MC11g10344	Auto	Auto	6	144.667	868	6	144.667	868	0	0	0	421333	421740	8.118151678	-0.669008997	0.669008997	0.002716265	0.040314839	7.807555137	7.680646216	8.349090081	8.476641893	Down								
MvSl-1064-A1-R4_MC04-1g05310	Auto	Auto	1	0	0	1	0	0	0	0	0	51262	53882	5.411211465	-0.667337928	0.667337928	0.002500425	0.037854247	5.126531589	4.950330846	5.614726618	5.793690659	Down								
MvSl-1064-A1-R4_MC04-1g05441	Auto	Auto	8	70.75	566	8	70.75	566	0	0	0	357258	362613	7.462737057	-0.66247332	0.66247332	0.001219037	0.020801494	7.206545006	6.972469385	7.752427468	7.76026812	Down								
MvSl-1064-A1-R4_MC09-2g09142	Auto	Auto	7	109.714	768	7	109.571	767	0	0.143	1	523492	523677	7.827837632	-0.657293378	0.657293378	0.002222492	0.034608531	7.358865128	7.559030006	8.059421226	8.177055986	Down								
MvSl-1064-A1-R4_MC08g08840	Auto	Auto	7	67.5714	473	7	67.5714	473	0	0	0	1456618	1458909	5.928880697	-0.653726695	0.653726695	0.001298261	0.021884336	5.667141541	5.45842182	6.143364311	6.291378442	Down								
MvSl-1064-A1-R4_MC13g11330	Auto	Auto	5	80.6	403	5	80.6	403	0	0	0	105993	107860	6.012093121	-0.637160617	0.637160617	0.002644193	0.039381899	5.785595495	5.521937747	6.445655281	6.128749724	Down								
MvSl-1064-A1-R4_MC14g11748	Auto	Auto	6	76.1667	457	6	76.1667	457	0	0	0	38927	40489	6.680379386	-0.6216778	0.6216778	0.00098001	0.017310139	6.293925773	6.378857309	6.977483436	6.938448335	Down								
MvSl-1064-A1-R4_MC05-2g06394	Auto	Auto	3	52.3333	157	3	52.3333	157	0	0	0	241192	246474	5.945783577	-0.615043751	0.615043751	0.002552355	0.038280846	5.677836817	5.532257094	6.09930562	6.333261228	Down								
MvSl-1064-A1-R4_MC01-1g01952	Auto	Auto	2	185	370	2	185	370	0	0	0	318422	318709	7.189220724	-0.607244261	0.607244261	0.001796447	0.028813924	6.777456423	6.927383873	7.494568332	7.427040625	Down								
MvSl-1064-A1-R4_MC10-2g10026	Auto	Auto	5	185.6	928	5	185.6	928	0	0	0	555640	556844	6.907613423	-0.600349985	0.600349985	0.001377782	0.022960352	6.567763338	6.586218614	7.263068671	7.085154184	Down								
MvSl-1064-A1-R4_A1g01137	Black	OldStrata	6	77.5	465	6	75.8333	455	0	1.6667	10	1213232	1215281	6.186903311	-0.592036629	0.592036629	0.001899747	0.030020219	5.904194595	5.817848823	6.447413705	6.458396105	Down								
MvSl-1064-A1-R4_MC09-2g09201	Auto	Auto	6	131.333	788	6	131.333	788	0	0	0	690705	692783	6.941856868	-0.583817052	0.583817052	0.002341651	0.036059607	6.551862779	6.687303437	7.325116068	7.072845096	Down								
MvSl-1064-A1-R4_A1g00958	Black	OldStrata	4	73.25	293	4	73	292	0	0.25	1	1995562	1995873	6.88895615	-0.561034724	0.561034724	0.003045807	0.044560866	6.492518793	6.66603944	7.218969306	7.061617078	Down								
MvSl-1064-A1-R4_MC12g10944	Auto	Auto	4	85.5	342	4	85.5	342	0	0	0	500353	501562	6.770725445	-0.549908584	0.549908584	0.003241003	0.047201585	6.586331724	6.344134492	6.984767045	7.05388409	Down								
MvSl-1064-A1-R4_MC13g11616	Auto	Auto	7	100.429	703	7	100.429	703	0	0	0	774983	777187	6.770560779	0.561011114	0.561011114	0.002247595	0.034809225	7.096755232	6.94624915	6.410930537	6.513216536	Up								
MvSl-1064-A1-R4_MC01-2g03077	Auto	Auto	3	98.3333	295	3	98.3333	295	0	0	0	2821947	2826170	6.607617769	0.562050944	0.562050944	0.002688617	0.039973895	6.826342573	6.894621391	6.304354666	6.294410729	Up								
MvSl-1064-A1-R4_MC04-1g05493	Auto	Auto	2	67.5	135	2	67.5	135	0	0	0	473810	475492	6.748373124	0.591446878	0.591446878	0.00223624	0.034759302	7.064006887	6.961056624	6.2519913	6.575201363	Up								
MvSl-1064-A1-R4_MC09-2g09242	Auto	Auto	4	79.75	319	5	96.8	484	1	17.05	165	796806	800631	6.276283933	0.607954176	0.607954176	0.002105142	0.032961278	6.684393918	6.396717312	5.868105653	6.009571292	Up								
MvSl-1064-A1-R4_MC09-2g09524	Auto	Auto	7	99.7143	698	7	99.7143	698	0	0	0	1502732	1505737	7.555362712	0.61874627	0.61874627	0.002749325	0.040734807	7.853091235	7.809565519	7.081923582	7.333342701	Up								
MvSl-1064-A1-R4_MC14g11805	Auto	Auto	7	92.5714	648	7	92.5714	648	0	0	0	167027	167383	6.115163323	0.621999685	0.621999685	0.001381851	0.022983347	6.396232024	6.387814948	5.696850052	5.841464791	Up								
MvSl-1064-A1-R4_MC08g08595	Auto	Auto	2	89.5	179	2	89.5	179	0	0	0	855888	859077	5.953079758	0.627776268	0.627776268	0.002245609	0.034809225	6.108726596	6.345807048	5.683483358	5.522585937	Up								
MvSl-1064-A1-R4_MC05-3g06742	Auto	Auto	4	128.5	514	4	128.25	513	0	-0.25	-1	657231	661261	6.647388205	0.637597379	0.637597379	0.000678688	0.012723915	6.903550119	6.957232218	6.315951213	6.270998669	Up								
MvSl-1064-A1-R4_MC04-1g05323	Auto	Auto	3	89.3333	268	3	89.3333	268	0	0	0	63200	65175	7.168839748	0.644965672	0.644965672	0.001138104	0.019695642	7.416676213	7.492638965	6.939878948	6.668527145	Up								
MvSl-1064-A1-R4_A1g00648	Black	OldStrata	3	109.667	329	3	109.667	329	0	0	0	724341	725782	6.475207556	0.646589946	0.646589946	0.000603139	0.011519531	6.784277302	6.739131388	6.086949815	6.144519081	Up								
MvSl-1064-A1-R4_MC10-2g09967	Auto	Auto	2	75	150	2	75	150	0	0	0	484067	485344	6.737566631	0.656538065	0.656538065	0.003049258	0.044560866	7.123896326	6.925707385	6.048076077	6.63702315	Up								
MvSl-1064-A1-R4_MC03g05260	Auto	Auto	2	167.5	335	2	167.5	335	0	0	0	2449225	2449601	5.204226127	0.65769881	0.65769881	0.003357843	0.048619332	5.499417525	5.489016466	4.723066048	4.94521846	Up								
MvSl-1064-A1-R4_MC10-2g09992	Auto	Auto	6	65	390	6	65	390	0	0	0	515138	517478	6.030828194	0.65989928	0.65989928	0.001244079	0.021186524	6.406717758	6.232844651	5.532623023	5.783655318	Up								
MvSl-1064-A1-R4_MC09-2g09527	Auto	Auto	4	80.75	323	4	80.75	323	0	0	0	1514266	1514951	6.484585248	0.662388126	0.662388126	0.001077545	0.018761564	6.932865812	6.603099521	6.031759721	6.195151558	Up								
MvSl-1064-A1-R4_A1g00242	Black	OldStrata	4	84.25	337	4	84.5	338	0	0.25	1	1134595	1135956	5.994034638	0.66789462	0.66789462	0.000859995	0.015576484	6.264072184	6.31283723	5.510925333	5.724931509	Up								
MvSl-1064-A1-R4_A1g00779	Black	OldStrata	10	96	960	10	95.2	952	0	-0.8	-8	782234	783980	7.820762219	0.677992555	0.677992555	0.001218585	0.020801494	8.145215707	8.094346283	7.433775815	7.450790475	Up								
MvSl-1064-A1-R4_MC01-1g02647	Auto	Auto	1	87	87	1	87	87	0	0	0	1766685	1770043	6.440773738	0.684436817	0.684436817	0.002940914	0.043273453	6.982237947	6.453668877	5.852264695	6.238829857	Up								
MvSl-1064-A1-R4_MC11g10335	Auto	Auto	2	60.5	121	2	60.5	121	0	0	0	403477	405342	7.145271294	0.685980401	0.685980401	0.001018468	0.01789538	7.546718457	7.340725549	6.553268105	6.944251792	Up								
MvSl-1064-A1-R4_MC01-1g01917	Auto	Auto	5	63.2	316	5	63.2	316	0	0	0	269901	270905	7.597360685	0.686271398	0.686271398	0.000717916	0.013342313	7.973004835	7.822536666	7.205004607	7.222560382	Up								
MvSl-1064-A1-R4_MC13g11443	Auto	Auto	1	71	71	1	71	71	0	0	0	359425	362943	7.185662813	0.688327726	0.688327726	0.001473327	0.024268734	7.683687077	7.263192152	6.673079167	6.918278045	Up								
MvSl-1064-A1-R4_MC02g03374	Auto	Auto	8	157.75	1262	8	157.75	1262	0	0	0	527610	533747	7.451486722	0.689665321	0.689665321	0.001100728	0.01912626	7.899805773	7.594283379	6.975656774	7.150759796	Up								
MvSl-1064-A1-R4_MC11g10517	Auto	Auto	4	77	308	4	77	308	0	0	0	873279	874178	6.839470173	0.6934159	0.6934159	0.00048138	0.009417195	7.178106325	7.109720025	6.240881126	6.635429746	Up								
MvSl-1064-A1-R4_MC07g07868	Auto	Auto	3	142	426	3	142	426	0	0	0	781747	782519	5.345356705	0.693606166	0.693606166	0.001805851	0.028910526	5.538084761	5.752520445	5.009192492	4.903461399	Up								
MvSl-1064-A1-R4_MC07g07597	Auto	Auto	8	79.875	639	8	79.875	639	0	0	0	135056	136879	7.513843292	0.704108271	0.704108271	0.001716129	0.027681484	7.673703292	7.958288136	7.31311113	6.895160975	Up								
MvSl-1064-A1-R4_MC05-3g06591	Auto	Auto	11	95.3636	1049	12	80.8333	970	1	-14.5303	-79	390272	393020	5.511231015	0.707273927	0.707273927	0.000946944	0.016865473	5.742943685	5.894128996	5.190214097	5.034974338	Up								
MvSl-1064-A1-R4_MC01-2g03144	Auto	Auto	3	85.6667	257	3	85.6667	257	0	0	0	2976089	2980943	4.959360341	0.708243776	0.708243776	0.002805345	0.041470322	5.35361987	5.177696991	4.462871657	4.655617067	Up								
MvSl-1064-A1-R4_MC01-1g02258	Auto	Auto	3	66.3333	199	3	66.3333	199	0	0	0	848559	849912	5.204663309	0.709559331	0.709559331	0.00184199	0.02932434	5.532202995	5.496564815	4.945916459	4.652469373	Up								
MvSl-1064-A1-R4_MC01-1g02545	Auto	Auto	10	83	830	10	83	830	0	0	0	1536813	1536986	5.372113094	0.713898684	0.713898684	0.001496273	0.024599306	5.748027488	5.616420718	4.826680933	5.103424629	Up								
MvSl-1064-A1-R4_MC11g10232	Auto	Auto	5	115.8	579	5	115.8	579	0	0	0	165456	166548	6.111891479	0.717466385	0.717466385	0.000381323	0.007563645	6.564885332	6.271196574	5.673000739	5.744280167	Up								
MvSl-1064-A1-R4_MC03g05077	Auto	Auto	1	0	0	1	0	0	0	0	0	1994288	2003020	6.64685013	0.720775829	0.720775829	0.001850767	0.029354744	7.205621425	6.668714643	6.035271651	6.42281352	Up								
MvSl-1064-A1-R4_MC01-1g01829	Auto	Auto	2	49.5	99	2	49.5	99	0	0	0	157897	159517	5.48430587	0.721753446	0.721753446	0.001137043	0.019695642	5.943503484	5.638423125	5.049113643	5.108027748	Up								
