gida1	part8	youngold	intron_nr_a1	intron_mean_a1	intron_total_a1	DE	DE2
MvSl-1064-A1-R4_MC04-1g05778	Auto	Auto	3	100.667	302	NON	NON
MvSl-1064-A1-R4_MC04-1g05779	Auto	Auto	4	58.5	234	NON	NON
MvSl-1064-A1-R4_MC04-1g05780	Auto	Auto	4	106.5	426	NON	NON
MvSl-1064-A1-R4_MC04-1g05781	Auto	Auto	4	114.25	457	NON	NON
MvSl-1064-A1-R4_MC04-1g05782	Auto	Auto	7	80.4286	563	NON	NON
MvSl-1064-A1-R4_MC04-1g05783	Auto	Auto	4	174.25	697	NON	NON
MvSl-1064-A1-R4_MC04-1g05784	Auto	Auto	2	195	390	NON	NON
MvSl-1064-A1-R4_MC04-1g05785	Auto	Auto	2	103.5	207	NON	NON
MvSl-1064-A1-R4_MC04-1g05786	Auto	Auto	4	81	324	NON	NON
MvSl-1064-A1-R4_MC04-1g05787	Auto	Auto	1	78	78	NON	NON
MvSl-1064-A1-R4_MC04-1g05788	Auto	Auto	3	130.667	392	NON	NON
MvSl-1064-A1-R4_MC04-1g05789	Auto	Auto	4	70.25	281	NON	NON
MvSl-1064-A1-R4_MC04-1g05791	Auto	Auto	2	97	194	NON	NON
MvSl-1064-A1-R4_MC04-1g05792	Auto	Auto	5	82	410	NON	NON
MvSl-1064-A1-R4_MC04-1g05793	Auto	Auto	8	79.875	639	NON	NON
MvSl-1064-A1-R4_MC04-1g05794	Auto	Auto	1	80	80	NON	NON
MvSl-1064-A1-R4_MC04-1g05795	Auto	Auto	3	66	198	NON	NON
MvSl-1064-A1-R4_MC04-1g05796	Auto	Auto	8	70.375	563	NON	NON
MvSl-1064-A1-R4_MC04-1g05797	Auto	Auto	3	103.667	311	NON	NON
MvSl-1064-A1-R4_MC04-1g05798	Auto	Auto	4	69	276	NON	NON
MvSl-1064-A1-R4_MC04-1g05799	Auto	Auto	1	88	88	NON	NON
MvSl-1064-A1-R4_MC04-1g05802	Auto	Auto	10	88.7	887	NON	NON
MvSl-1064-A1-R4_MC04-1g05804	Auto	Auto	7	87.5714	613	NON	NON
MvSl-1064-A1-R4_MC04-1g05805	Auto	Auto	2	72	144	NON	NON
MvSl-1064-A1-R4_MC04-1g05806	Auto	Auto	5	74.8	374	NON	NON
MvSl-1064-A1-R4_MC04-1g05807	Auto	Auto	6	110.167	661	NON	NON
MvSl-1064-A1-R4_MC04-1g05808	Auto	Auto	7	72.7143	509	NON	NON
MvSl-1064-A1-R4_MC04-1g05809	Auto	Auto	2	74.5	149	NON	NON
MvSl-1064-A1-R4_MC04-1g05810	Auto	Auto	6	80.6667	484	NON	NON
MvSl-1064-A1-R4_MC04-1g05811	Auto	Auto	7	92.5714	648	NON	NON
MvSl-1064-A1-R4_MC04-1g05812	Auto	Auto	4	84.25	337	NON	NON
MvSl-1064-A1-R4_MC04-1g05813	Auto	Auto	1	71	71	NON	NON
MvSl-1064-A1-R4_MC04-1g05814	Auto	Auto	2	76	152	NON	NON
MvSl-1064-A1-R4_MC04-1g05815	Auto	Auto	5	197	985	NON	NON
MvSl-1064-A1-R4_MC04-1g05819	Auto	Auto	4	80	320	NON	NON
MvSl-1064-A1-R4_MC04-1g05820	Auto	Auto	4	156.5	626	NON	NON
MvSl-1064-A1-R4_MC04-1g05821	Auto	Auto	4	71.5	286	NON	NON
MvSl-1064-A1-R4_MC04-1g05822	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05823	Auto	Auto	2	57	114	NON	NON
MvSl-1064-A1-R4_MC04-1g05824	Auto	Auto	1	72	72	NON	NON
MvSl-1064-A1-R4_MC04-1g05827	Auto	Auto	2	54.5	109	NON	NON
MvSl-1064-A1-R4_MC04-1g05830	Auto	Auto	5	95.8	479	NON	NON
MvSl-1064-A1-R4_MC04-1g05831	Auto	Auto	13	110.077	1431	NON	NON
MvSl-1064-A1-R4_MC04-1g05834	Auto	Auto	3	198.667	596	NON	NON
MvSl-1064-A1-R4_MC04-1g05836	Auto	Auto	2	114.5	229	NON	NON
MvSl-1064-A1-R4_MC04-1g05837	Auto	Auto	4	99.75	399	NON	NON
MvSl-1064-A1-R4_MC04-1g05838	Auto	Auto	12	83.6667	1004	NON	NON
MvSl-1064-A1-R4_MC04-1g05839	Auto	Auto	6	93.3333	560	NON	NON
MvSl-1064-A1-R4_MC04-1g05840	Auto	Auto	5	133.6	668	NON	NON
MvSl-1064-A1-R4_MC04-1g05841	Auto	Auto	4	88.5	354	NON	NON
MvSl-1064-A1-R4_MC04-1g05842	Auto	Auto	1	49	49	NON	NON
MvSl-1064-A1-R4_MC04-1g05843	Auto	Auto	1	100	100	NON	NON
MvSl-1064-A1-R4_MC04-1g05844	Auto	Auto	1	78	78	NON	NON
MvSl-1064-A1-R4_MC04-1g05845	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05846	Auto	Auto	2	115	230	NON	NON
MvSl-1064-A1-R4_MC04-1g05847	Auto	Auto	5	76.2	381	NON	NON
MvSl-1064-A1-R4_MC04-1g05848	Auto	Auto	19	79.8421	1517	NON	NON
MvSl-1064-A1-R4_MC04-1g05849	Auto	Auto	7	74	518	NON	NON
MvSl-1064-A1-R4_MC04-1g05850	Auto	Auto	3	87.3333	262	NON	NON
MvSl-1064-A1-R4_MC04-1g05851	Auto	Auto	2	84	168	NON	NON
MvSl-1064-A1-R4_MC04-1g05853	Auto	Auto	5	77.8	389	NON	NON
MvSl-1064-A1-R4_MC04-1g05854	Auto	Auto	6	96.6667	580	NON	NON
MvSl-1064-A1-R4_MC04-1g05855	Auto	Auto	10	86.5	865	NON	NON
MvSl-1064-A1-R4_MC04-1g05856	Auto	Auto	2	94.5	189	NON	NON
MvSl-1064-A1-R4_MC04-1g05857	Auto	Auto	4	89.75	359	NON	NON
MvSl-1064-A1-R4_MC04-1g05859	Auto	Auto	3	177.333	532	NON	NON
MvSl-1064-A1-R4_MC04-1g05860	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05861	Auto	Auto	6	89.6667	538	NON	NON
MvSl-1064-A1-R4_MC04-1g05862	Auto	Auto	2	48.5	97	NON	NON
MvSl-1064-A1-R4_MC04-1g05866	Auto	Auto	9	111.444	1003	NON	NON
MvSl-1064-A1-R4_MC04-1g05867	Auto	Auto	5	68.2	341	NON	NON
MvSl-1064-A1-R4_MC04-1g05868	Auto	Auto	4	90	360	NON	NON
MvSl-1064-A1-R4_MC04-1g05869	Auto	Auto	2	94	188	NON	NON
MvSl-1064-A1-R4_MC04-1g05870	Auto	Auto	4	94	376	NON	NON
MvSl-1064-A1-R4_MC04-1g05871	Auto	Auto	8	109.875	879	NON	NON
MvSl-1064-A1-R4_MC04-1g05872	Auto	Auto	2	67	134	NON	NON
MvSl-1064-A1-R4_MC04-1g05873	Auto	Auto	1	47	47	NON	NON
MvSl-1064-A1-R4_MC04-1g05874	Auto	Auto	4	142	568	NON	NON
MvSl-1064-A1-R4_MC04-1g05875	Auto	Auto	5	74	370	NON	NON
MvSl-1064-A1-R4_MC04-1g05876	Auto	Auto	7	100.286	702	NON	NON
MvSl-1064-A1-R4_MC04-1g05877	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05878	Auto	Auto	6	99.3333	596	NON	NON
MvSl-1064-A1-R4_MC04-1g05879	Auto	Auto	6	75.3333	452	NON	NON
MvSl-1064-A1-R4_MC04-1g05880	Auto	Auto	3	106	318	NON	NON
MvSl-1064-A1-R4_MC04-1g05881	Auto	Auto	2	73	146	NON	NON
MvSl-1064-A1-R4_MC04-1g05882	Auto	Auto	3	74	222	NON	NON
MvSl-1064-A1-R4_MC04-1g05883	Auto	Auto	8	80.625	645	NON	NON
MvSl-1064-A1-R4_MC04-1g05884	Auto	Auto	1	42	42	NON	NON
MvSl-1064-A1-R4_MC04-1g05885	Auto	Auto	4	121.25	485	NON	NON
MvSl-1064-A1-R4_MC04-1g05886	Auto	Auto	3	112.333	337	NON	NON
MvSl-1064-A1-R4_MC04-1g05887	Auto	Auto	3	64.3333	193	NON	NON
MvSl-1064-A1-R4_MC04-1g05888	Auto	Auto	2	73.5	147	NON	NON
MvSl-1064-A1-R4_MC04-1g05889	Auto	Auto	5	72.6	363	NON	NON
MvSl-1064-A1-R4_MC04-1g05890	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05908	Auto	Auto	3	98.6667	296	NON	NON
MvSl-1064-A1-R4_MC04-1g05909	Auto	Auto	1	191	191	NON	NON
MvSl-1064-A1-R4_MC04-1g05912	Auto	Auto	8	93.5	748	NON	NON
MvSl-1064-A1-R4_MC04-1g05914	Auto	Auto	6	106.5	639	NON	NON
MvSl-1064-A1-R4_MC04-1g05915	Auto	Auto	1	77	77	NON	NON
MvSl-1064-A1-R4_MC04-1g05916	Auto	Auto	1	70	70	NON	NON
MvSl-1064-A1-R4_MC04-1g05917	Auto	Auto	2	121	242	NON	NON
MvSl-1064-A1-R4_MC04-1g05918	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05919	Auto	Auto	13	86.9231	1130	NON	NON
MvSl-1064-A1-R4_MC04-1g05920	Auto	Auto	5	167	835	NON	NON
MvSl-1064-A1-R4_MC04-1g05921	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05922	Auto	Auto	1	48	48	NON	NON
MvSl-1064-A1-R4_MC04-1g05923	Auto	Auto	7	115.429	808	NON	NON
MvSl-1064-A1-R4_MC04-1g05924	Auto	Auto	6	87.3333	524	NON	NON
MvSl-1064-A1-R4_MC04-1g05925	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05926	Auto	Auto	2	102.5	205	NON	NON
MvSl-1064-A1-R4_MC04-1g05927	Auto	Auto	2	80	160	NON	NON
MvSl-1064-A1-R4_MC04-1g05928	Auto	Auto	3	95	285	NON	NON
MvSl-1064-A1-R4_MC04-1g05929	Auto	Auto	5	83.6	418	NON	NON
MvSl-1064-A1-R4_MC04-1g05930	Auto	Auto	6	80.1667	481	NON	NON
MvSl-1064-A1-R4_MC04-1g05931	Auto	Auto	4	81.75	327	NON	NON
MvSl-1064-A1-R4_MC04-1g05932	Auto	Auto	4	79.25	317	NON	NON
MvSl-1064-A1-R4_MC04-1g05933	Auto	Auto	3	117.333	352	NON	NON
MvSl-1064-A1-R4_MC04-1g05934	Auto	Auto	3	84	252	NON	NON
MvSl-1064-A1-R4_MC04-1g05935	Auto	Auto	1	73	73	NON	NON
MvSl-1064-A1-R4_MC04-1g05936	Auto	Auto	1	73	73	NON	NON
MvSl-1064-A1-R4_MC04-1g05937	Auto	Auto	5	72.4	362	NON	NON
MvSl-1064-A1-R4_MC04-1g05938	Auto	Auto	8	100.5	804	NON	NON
MvSl-1064-A1-R4_MC04-1g05939	Auto	Auto	3	93.3333	280	NON	NON
MvSl-1064-A1-R4_MC04-1g05940	Auto	Auto	6	123.833	743	NON	NON
MvSl-1064-A1-R4_MC04-1g05941	Auto	Auto	2	113	226	NON	NON
MvSl-1064-A1-R4_MC04-1g05943	Auto	Auto	4	75.5	302	NON	NON
MvSl-1064-A1-R4_MC04-1g05944	Auto	Auto	3	113	339	NON	NON
MvSl-1064-A1-R4_MC04-1g05948	Auto	Auto	9	111.333	1002	NON	NON
MvSl-1064-A1-R4_MC04-1g05949	Auto	Auto	3	78.6667	236	NON	NON
MvSl-1064-A1-R4_MC04-1g05950	Auto	Auto	2	83	166	NON	NON
MvSl-1064-A1-R4_MC04-1g05951	Auto	Auto	5	77.4	387	NON	NON
MvSl-1064-A1-R4_MC04-1g05954	Auto	Auto	10	87.6	876	NON	NON
MvSl-1064-A1-R4_MC04-1g05955	Auto	Auto	5	76.4	382	NON	NON
MvSl-1064-A1-R4_MC04-1g05956	Auto	Auto	3	108	324	NON	NON
MvSl-1064-A1-R4_MC04-1g05957	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05958	Auto	Auto	4	94.25	377	NON	NON
MvSl-1064-A1-R4_MC04-1g05959	Auto	Auto	2	127	254	NON	NON
MvSl-1064-A1-R4_MC04-1g05960	Auto	Auto	3	129.333	388	NON	NON
MvSl-1064-A1-R4_MC04-1g05961	Auto	Auto	9	109.889	989	NON	NON
MvSl-1064-A1-R4_MC04-1g05964	Auto	Auto	2	62.5	125	NON	NON
MvSl-1064-A1-R4_MC04-1g05965	Auto	Auto	5	97.2	486	NON	NON
MvSl-1064-A1-R4_MC04-1g05966	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05967	Auto	Auto	3	87.3333	262	NON	NON
MvSl-1064-A1-R4_MC04-1g05968	Auto	Auto	4	99	396	NON	NON
MvSl-1064-A1-R4_MC04-1g05969	Auto	Auto	4	77.25	309	NON	NON
MvSl-1064-A1-R4_MC04-1g05970	Auto	Auto	4	71.75	287	NON	NON
MvSl-1064-A1-R4_MC04-1g05971	Auto	Auto	1	135	135	NON	NON
MvSl-1064-A1-R4_MC04-1g05972	Auto	Auto	4	84.75	339	NON	NON
MvSl-1064-A1-R4_MC04-1g05973	Auto	Auto	4	73.75	295	NON	NON
MvSl-1064-A1-R4_MC04-1g05974	Auto	Auto	2	93	186	NON	NON
MvSl-1064-A1-R4_MC04-1g05975	Auto	Auto	2	66.5	133	NON	NON
MvSl-1064-A1-R4_MC04-1g05976	Auto	Auto	2	72	144	NON	NON
MvSl-1064-A1-R4_MC04-1g05977	Auto	Auto	1	62	62	NON	NON
MvSl-1064-A1-R4_MC04-1g05980	Auto	Auto	1	41	41	NON	NON
MvSl-1064-A1-R4_MC04-1g05986	Auto	Auto	2	46.5	93	NON	NON
MvSl-1064-A1-R4_MC04-1g05987	Auto	Auto	1	40	40	NON	NON
MvSl-1064-A1-R4_MC04-1g05988	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g05989	Auto	Auto	1	136	136	NON	NON
MvSl-1064-A1-R4_MC04-1g05990	Auto	Auto	12	70.6667	848	NON	NON
MvSl-1064-A1-R4_MC04-1g05991	Auto	Auto	3	91.3333	274	NON	NON
MvSl-1064-A1-R4_MC04-1g05992	Auto	Auto	5	91.4	457	NON	NON
MvSl-1064-A1-R4_MC04-1g05993	Auto	Auto	2	156	312	NON	NON
MvSl-1064-A1-R4_MC04-1g05994	Auto	Auto	1	345	345	NON	NON
MvSl-1064-A1-R4_MC04-1g05995	Auto	Auto	3	207	621	NON	NON
MvSl-1064-A1-R4_MC04-1g05996	Auto	Auto	5	89.4	447	NON	NON
MvSl-1064-A1-R4_MC04-1g05997	Auto	Auto	5	99.6	498	NON	NON
MvSl-1064-A1-R4_MC04-1g05998	Auto	Auto	3	64	192	NON	NON
MvSl-1064-A1-R4_MC04-1g05999	Auto	Auto	5	82.2	411	NON	NON
MvSl-1064-A1-R4_MC04-1g06000	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g06001	Auto	Auto	3	75.3333	226	NON	NON
MvSl-1064-A1-R4_MC04-1g06002	Auto	Auto	4	96.5	386	NON	NON
MvSl-1064-A1-R4_MC04-1g06003	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g06005	Auto	Auto	7	136.857	958	NON	NON
MvSl-1064-A1-R4_MC04-1g06006	Auto	Auto	10	82	820	NON	NON
MvSl-1064-A1-R4_MC04-1g06008	Auto	Auto	6	71.3333	428	NON	NON
MvSl-1064-A1-R4_MC04-1g06009	Auto	Auto	4	96.25	385	NON	NON
MvSl-1064-A1-R4_MC04-1g06010	Auto	Auto	6	97.1667	583	NON	NON
MvSl-1064-A1-R4_MC04-1g06011	Auto	Auto	9	75.4444	679	NON	NON
MvSl-1064-A1-R4_MC04-1g06012	Auto	Auto	6	97.3333	584	NON	NON
MvSl-1064-A1-R4_MC04-1g06013	Auto	Auto	1	70	70	NON	NON
MvSl-1064-A1-R4_MC04-1g06014	Auto	Auto	6	146.833	881	NON	NON
MvSl-1064-A1-R4_MC04-1g06015	Auto	Auto	5	66	330	NON	NON
MvSl-1064-A1-R4_MC04-1g06017	Auto	Auto	1	84	84	NON	NON
MvSl-1064-A1-R4_MC04-1g06018	Auto	Auto	5	73	365	NON	NON
MvSl-1064-A1-R4_MC04-1g06019	Auto	Auto	2	110.5	221	NON	NON
MvSl-1064-A1-R4_MC04-1g06020	Auto	Auto	3	100	300	NON	NON
MvSl-1064-A1-R4_MC04-1g06031	Auto	Auto	3	113.333	340	NON	NON
MvSl-1064-A1-R4_MC04-1g06032	Auto	Auto	11	77.4545	852	NON	NON
MvSl-1064-A1-R4_MC04-1g06033	Auto	Auto	8	86.25	690	NON	NON
MvSl-1064-A1-R4_MC04-1g06034	Auto	Auto	3	82.3333	247	NON	NON
MvSl-1064-A1-R4_MC04-1g06035	Auto	Auto	3	201	603	NON	NON
MvSl-1064-A1-R4_MC04-1g06036	Auto	Auto	3	106.667	320	NON	NON
MvSl-1064-A1-R4_MC04-1g06037	Auto	Auto	3	84	252	NON	NON
MvSl-1064-A1-R4_MC04-1g06038	Auto	Auto	3	92.6667	278	NON	NON
MvSl-1064-A1-R4_MC04-1g06039	Auto	Auto	10	77	770	NON	NON
MvSl-1064-A1-R4_MC04-1g06040	Auto	Auto	1	104	104	NON	NON
MvSl-1064-A1-R4_MC04-1g06043	Auto	Auto	9	77.2222	695	NON	NON
MvSl-1064-A1-R4_MC04-1g06044	Auto	Auto	4	73.5	294	NON	NON
MvSl-1064-A1-R4_MC04-1g06045	Auto	Auto	6	92.3333	554	NON	NON
MvSl-1064-A1-R4_MC04-1g06048	Auto	Auto	1	103	103	NON	NON
MvSl-1064-A1-R4_MC04-1g06050	Auto	Auto	3	93	279	NON	NON
MvSl-1064-A1-R4_MC04-1g06052	Auto	Auto	2	72.5	145	NON	NON
MvSl-1064-A1-R4_MC04-1g06053	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC04-1g06054	Auto	Auto	2	65.5	131	NON	NON
MvSl-1064-A1-R4_MC04-1g06055	Auto	Auto	9	76.5556	689	NON	NON
MvSl-1064-A1-R4_MC04-1g06056	Auto	Auto	5	83.4	417	NON	NON
MvSl-1064-A1-R4_MC04-1g06057	Auto	Auto	3	93.3333	280	NON	NON
MvSl-1064-A1-R4_MC04-1g06058	Auto	Auto	5	94.4	472	NON	NON
MvSl-1064-A1-R4_MC04-1g06059	Auto	Auto	1	197	197	NON	NON
MvSl-1064-A1-R4_MC04-1g06060	Auto	Auto	2	73.5	147	NON	NON
MvSl-1064-A1-R4_MC04-1g06061	Auto	Auto	2	129	258	NON	NON
MvSl-1064-A1-R4_MC04-1g06062	Auto	Auto	3	82.6667	248	NON	NON
MvSl-1064-A1-R4_MC04-1g06064	Auto	Auto	1	104	104	NON	NON
MvSl-1064-A1-R4_MC04-1g06065	Auto	Auto	5	77.8	389	NON	NON
MvSl-1064-A1-R4_MC04-1g06066	Auto	Auto	2	128	256	NON	NON
MvSl-1064-A1-R4_MC04-1g06067	Auto	Auto	6	65.8333	395	NON	NON
MvSl-1064-A1-R4_MC04-1g06069	Auto	Auto	5	88.4	442	NON	NON
MvSl-1064-A1-R4_MC04-1g06070	Auto	Auto	4	87.25	349	NON	NON
MvSl-1064-A1-R4_MC04-2g06091	Auto	Auto	2	61.5	123	NON	NON
MvSl-1064-A1-R4_MC04-2g06092	Auto	Auto	6	65.5	393	NON	NON
MvSl-1064-A1-R4_MC04-2g06093	Auto	Auto	3	82.6667	248	NON	NON
MvSl-1064-A1-R4_MC04-2g06094	Auto	Auto	4	120.75	483	NON	NON
MvSl-1064-A1-R4_MC04-2g06095	Auto	Auto	3	66.6667	200	NON	NON
MvSl-1064-A1-R4_MC04-2g06096	Auto	Auto	5	98.6	493	NON	NON
MvSl-1064-A1-R4_MC04-2g06097	Auto	Auto	1	335	335	NON	NON
MvSl-1064-A1-R4_MC04-2g06098	Auto	Auto	3	76.3333	229	NON	NON
MvSl-1064-A1-R4_MC04-2g06099	Auto	Auto	5	90.8	454	NON	NON
MvSl-1064-A1-R4_MC04-2g06100	Auto	Auto	3	105.667	317	NON	NON
MvSl-1064-A1-R4_MC04-2g06101	Auto	Auto	5	106	530	NON	NON
MvSl-1064-A1-R4_MC04-2g06102	Auto	Auto	8	87.375	699	NON	NON
MvSl-1064-A1-R4_MC04-2g06103	Auto	Auto	2	58.5	117	NON	NON
MvSl-1064-A1-R4_MC04-2g06105	Auto	Auto	3	71.6667	215	NON	NON
MvSl-1064-A1-R4_MC04-2g06106	Auto	Auto	2	115.5	231	NON	NON
MvSl-1064-A1-R4_MC04-2g06108	Auto	Auto	5	79	395	NON	NON
MvSl-1064-A1-R4_MC04-2g06109	Auto	Auto	1	45	45	NON	NON
MvSl-1064-A1-R4_MC05-1g06112	Auto	Auto	4	80.75	323	NON	NON
MvSl-1064-A1-R4_MC05-1g06116	Auto	Auto	3	89	267	NON	NON
MvSl-1064-A1-R4_MC05-1g06117	Auto	Auto	6	80.6667	484	NON	NON
MvSl-1064-A1-R4_MC05-1g06118	Auto	Auto	5	107.8	539	NON	NON
MvSl-1064-A1-R4_MC05-1g06119	Auto	Auto	3	109.667	329	NON	NON
MvSl-1064-A1-R4_MC05-1g06120	Auto	Auto	8	77.75	622	NON	NON
MvSl-1064-A1-R4_MC05-1g06121	Auto	Auto	2	123	246	NON	NON
MvSl-1064-A1-R4_MC05-1g06122	Auto	Auto	3	69.6667	209	NON	NON
MvSl-1064-A1-R4_MC05-1g06124	Auto	Auto	5	78.6	393	NON	NON
MvSl-1064-A1-R4_MC05-1g06126	Auto	Auto	2	114.5	229	NON	NON
MvSl-1064-A1-R4_MC05-1g06127	Auto	Auto	3	57	171	NON	NON
MvSl-1064-A1-R4_MC05-1g06128	Auto	Auto	1	0	0	NON	NON
MvSl-1064-A1-R4_MC05-1g06129	Auto	Auto	4	79.75	319	NON	NON
MvSl-1064-A1-R4_MC05-1g06131	Auto	Auto	5	135	675	NON	NON
MvSl-1064-A1-R4_MC05-1g06133	Auto	Auto	4	71.75	287	NON	NON
MvSl-1064-A1-R4_MC05-1g06134	Auto	Auto	4	73	292	NON	NON
MvSl-1064-A1-R4_MC05-1g06135	Auto	Auto	4	96.75	387	NON	NON
MvSl-1064-A1-R4_MC05-1g06136	Auto	Auto	1	90	90	NON	NON
MvSl-1064-A1-R4_MC05-1g06137	Auto	Auto	4	95.75	383	NON	NON
MvSl-1064-A1-R4_MC05-1g06139	Auto	Auto	5	109.8	549	NON	NON
MvSl-1064-A1-R4_MC05-1g06141	Auto	Auto	4	75.25	301	NON	NON
MvSl-1064-A1-R4_MC05-1g06142	Auto	Auto	1	88	88	NON	NON
MvSl-1064-A1-R4_MC05-1g06147	Auto	Auto	4	70.5	282	NON	NON
MvSl-1064-A1-R4_MC05-1g06148	Auto	Auto	7	108.286	758	NON	NON
MvSl-1064-A1-R4_MC05-1g06150	Auto	Auto	5	115.4	577	NON	NON
MvSl-1064-A1-R4_MC05-1g06151	Auto	Auto	3	137.667	413	NON	NON
MvSl-1064-A1-R4_MC05-1g06152	Auto	Auto	6	82.5	495	NON	NON
MvSl-1064-A1-R4_MC05-1g06153	Auto	Auto	1	102	102	NON	NON
MvSl-1064-A1-R4_MC05-1g06154	Auto	Auto	3	86.6667	260	NON	NON
MvSl-1064-A1-R4_MC05-1g06155	Auto	Auto	3	115	345	NON	NON
MvSl-1064-A1-R4_MC05-1g06156	Auto	Auto	2	109.5	219	NON	NON
MvSl-1064-A1-R4_MC05-1g06157	Auto	Auto	3	86.3333	259	NON	NON
MvSl-1064-A1-R4_MC05-1g06158	Auto	Auto	5	74.4	372	NON	NON
MvSl-1064-A1-R4_MC05-1g06159	Auto	Auto	3	69	207	NON	NON
MvSl-1064-A1-R4_MC05-1g06160	Auto	Auto	4	91	364	NON	NON
MvSl-1064-A1-R4_MC05-1g06161	Auto	Auto	2	73.5	147	NON	NON
MvSl-1064-A1-R4_MC05-1g06162	Auto	Auto	2	65	130	NON	NON
MvSl-1064-A1-R4_MC05-1g06163	Auto	Auto	2	54.5	109	NON	NON
MvSl-1064-A1-R4_MC05-1g06165	Auto	Auto	1	106	106	NON	NON
MvSl-1064-A1-R4_MC05-1g06168	Auto	Auto	3	73.6667	221	NON	NON
MvSl-1064-A1-R4_MC05-1g06170	Auto	Auto	5	112.2	561	NON	NON
MvSl-1064-A1-R4_MC05-1g06171	Auto	Auto	3	78.6667	236	NON	NON
MvSl-1064-A1-R4_MC05-1g06172	Auto	Auto	6	91	546	NON	NON
MvSl-1064-A1-R4_MC05-1g06174	Auto	Auto	1	248	248	NON	NON
MvSl-1064-A1-R4_MC05-1g06175	Auto	Auto	6	59.3333	356	NON	NON
MvSl-1064-A1-R4_MC05-1g06176	Auto	Auto	3	134	402	NON	NON
MvSl-1064-A1-R4_MC05-1g06177	Auto	Auto	5	98.6	493	NON	NON
MvSl-1064-A1-R4_MC05-1g06178	Auto	Auto	8	105.5	844	NON	NON
MvSl-1064-A1-R4_MC05-1g06179	Auto	Auto	3	108.333	325	NON	NON
MvSl-1064-A1-R4_MC05-1g06180	Auto	Auto	1	73	73	NON	NON
MvSl-1064-A1-R4_MC05-1g06181	Auto	Auto	1	71	71	NON	NON
MvSl-1064-A1-R4_MC05-1g06183	Auto	Auto	2	155	310	NON	NON
MvSl-1064-A1-R4_MC05-1g06184	Auto	Auto	2	60	120	NON	NON
MvSl-1064-A1-R4_MC05-1g06185	Auto	Auto	3	91.3333	274	NON	NON
MvSl-1064-A1-R4_MC05-1g06186	Auto	Auto	4	88	352	NON	NON
MvSl-1064-A1-R4_MC05-1g06187	Auto	Auto	2	97.5	195	NON	NON
MvSl-1064-A1-R4_MC05-1g06188	Auto	Auto	6	109.833	659	NON	NON
MvSl-1064-A1-R4_MC05-1g06189	Auto	Auto	7	67	469	NON	NON
MvSl-1064-A1-R4_MC05-1g06190	Auto	Auto	2	137.5	275	NON	NON
MvSl-1064-A1-R4_MC05-1g06191	Auto	Auto	3	99.3333	298	NON	NON
MvSl-1064-A1-R4_MC05-1g06192	Auto	Auto	5	87.4	437	NON	NON
MvSl-1064-A1-R4_MC05-1g06193	Auto	Auto	4	154.25	617	NON	NON
MvSl-1064-A1-R4_MC05-1g06194	Auto	Auto	7	96.5714	676	NON	NON
MvSl-1064-A1-R4_MC05-1g06195	Auto	Auto	4	75.75	303	NON	NON
MvSl-1064-A1-R4_MC05-1g06196	Auto	Auto	7	128	896	NON	NON
MvSl-1064-A1-R4_MC05-1g06197	Auto	Auto	3	129	387	NON	NON
MvSl-1064-A1-R4_MC05-1g06198	Auto	Auto	5	56	280	NON	NON
MvSl-1064-A1-R4_MC05-1g06202	Auto	Auto	7	75.4286	528	NON	NON
MvSl-1064-A1-R4_MC05-1g06203	Auto	Auto	6	97.5	585	NON	NON
MvSl-1064-A1-R4_MC05-1g06204	Auto	Auto	6	74.3333	446	NON	NON
MvSl-1064-A1-R4_MC05-1g06205	Auto	Auto	4	67.75	271	NON	NON
MvSl-1064-A1-R4_MC05-1g06206	Auto	Auto	7	78.5714	550	NON	NON
MvSl-1064-A1-R4_MC05-1g06207	Auto	Auto	11	82.2727	905	NON	NON
MvSl-1064-A1-R4_MC05-1g06211	Auto	Auto	3	223	669	NON	NON
MvSl-1064-A1-R4_MC05-1g06213	Auto	Auto	8	95.5	764	NON	NON
MvSl-1064-A1-R4_MC05-1g06216	Auto	Auto	2	80	160	NON	NON
MvSl-1064-A1-R4_MC05-1g06217	Auto	Auto	11	86.0909	947	NON	NON
MvSl-1064-A1-R4_MC05-1g06218	Auto	Auto	6	85	510	NON	NON
MvSl-1064-A1-R4_MC05-1g06219	Auto	Auto	4	212.25	849	NON	NON
