gida1	prot	cds	part8	youngold	intron_nr	intron_mean	intron_total	DE	DE2	haploid
MvSl-1064-A1-R4_MC04-1g05914	583	1752	Auto	Auto	6	106.5	639	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05915	319	960	Auto	Auto	1	77	77	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05916	120	363	Auto	Auto	1	70	70	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05917	281	846	Auto	Auto	2	121	242	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05918	98	297	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05919	546	1641	Auto	Auto	13	86.9231	1130	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05920	129	390	Auto	Auto	5	167	835	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05921	311	936	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05922	779	2340	Auto	Auto	1	48	48	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05923	195	588	Auto	Auto	7	115.429	808	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05924	648	1947	Auto	Auto	6	87.3333	524	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05925	57	174	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05926	101	306	Auto	Auto	2	102.5	205	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05927	332	999	Auto	Auto	2	80	160	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05928	1023	3072	Auto	Auto	3	95	285	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05929	211	636	Auto	Auto	5	83.6	418	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05930	552	1659	Auto	Auto	6	80.1667	481	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05931	440	1323	Auto	Auto	4	81.75	327	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05932	375	1128	Auto	Auto	4	79.25	317	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05933	293	882	Auto	Auto	3	117.333	352	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05934	695	2088	Auto	Auto	3	84	252	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05935	153	462	Auto	Auto	1	73	73	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05936	137	414	Auto	Auto	1	73	73	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05937	1267	3804	Auto	Auto	5	72.4	362	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05938	722	2169	Auto	Auto	8	100.5	804	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05939	340	1023	Auto	Auto	3	93.3333	280	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05940	594	1785	Auto	Auto	6	123.833	743	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05941	99	300	Auto	Auto	2	113	226	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05942	440	1323	Auto	Auto	6	127.833	767	Up	DE	A1
MvSl-1064-A1-R4_MC04-1g05943	661	1986	Auto	Auto	4	75.5	302	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05944	156	471	Auto	Auto	3	113	339	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05945	195	588	Auto	Auto	4	86	344	Down	DE	A1
MvSl-1064-A1-R4_MC04-1g05948	495	1488	Auto	Auto	9	111.333	1002	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05949	359	1080	Auto	Auto	3	78.6667	236	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05950	223	672	Auto	Auto	2	83	166	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05951	1949	5850	Auto	Auto	5	77.4	387	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05954	606	1821	Auto	Auto	10	87.6	876	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05955	509	1530	Auto	Auto	5	76.4	382	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05956	356	1071	Auto	Auto	3	108	324	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05957	81	246	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05958	290	873	Auto	Auto	4	94.25	377	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05959	146	441	Auto	Auto	2	127	254	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05960	232	699	Auto	Auto	3	129.333	388	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05961	212	639	Auto	Auto	9	109.889	989	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05964	553	1662	Auto	Auto	2	62.5	125	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05965	320	963	Auto	Auto	5	97.2	486	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05966	60	183	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05967	406	1221	Auto	Auto	3	87.3333	262	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05968	347	1044	Auto	Auto	4	99	396	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05969	510	1533	Auto	Auto	4	77.25	309	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05970	273	822	Auto	Auto	4	71.75	287	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05971	106	321	Auto	Auto	1	135	135	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05972	729	2190	Auto	Auto	4	84.75	339	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05973	390	1173	Auto	Auto	4	73.75	295	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05974	621	1866	Auto	Auto	2	93	186	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05975	517	1554	Auto	Auto	2	66.5	133	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05976	208	627	Auto	Auto	2	72	144	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05977	526	1581	Auto	Auto	1	62	62	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05980	1993	5982	Auto	Auto	1	41	41	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05986	78	237	Auto	Auto	2	46.5	93	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05987	155	468	Auto	Auto	1	40	40	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05988	63	192	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05989	55	168	Auto	Auto	1	136	136	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05990	1095	3288	Auto	Auto	12	70.6667	848	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05991	243	732	Auto	Auto	3	91.3333	274	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05992	213	642	Auto	Auto	5	91.4	457	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05993	1087	3264	Auto	Auto	2	156	312	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05994	57	174	Auto	Auto	1	345	345	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05995	585	1758	Auto	Auto	3	207	621	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05996	814	2445	Auto	Auto	6	89.4	447	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05997	329	990	Auto	Auto	5	99.6	498	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05998	1356	4071	Auto	Auto	3	64	192	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g05999	369	1110	Auto	Auto	5	82.2	411	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06000	86	261	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06001	1523	4572	Auto	Auto	3	75.3333	226	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06002	603	1812	Auto	Auto	4	96.5	386	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06003	340	1023	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06004	61	186	Auto	Auto	1	0	0	Up	DE	A1
MvSl-1064-A1-R4_MC04-1g06005	268	807	Auto	Auto	7	136.857	958	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06006	1539	4620	Auto	Auto	10	82	820	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06008	431	1296	Auto	Auto	6	71.3333	428	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06009	602	1809	Auto	Auto	4	96.25	385	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06010	517	1554	Auto	Auto	6	97.1667	583	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06011	1522	4569	Auto	Auto	9	75.4444	679	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06012	967	2904	Auto	Auto	6	97.3333	584	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06013	164	495	Auto	Auto	1	70	70	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06014	513	1542	Auto	Auto	6	146.833	881	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06015	1187	3564	Auto	Auto	5	66	330	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06017	387	1164	Auto	Auto	1	84	84	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06018	215	648	Auto	Auto	5	73	365	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06019	162	489	Auto	Auto	2	110.5	221	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06020	265	798	Auto	Auto	3	100	300	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06022	1016	3051	Auto	Auto	2	41	82	Up	DE	A1
MvSl-1064-A1-R4_MC04-1g06027	976	2931	Auto	Auto	1	57	57	Up	DE	A1
MvSl-1064-A1-R4_MC04-1g06031	1253	3762	Auto	Auto	3	113.333	340	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06032	450	1353	Auto	Auto	11	77.4545	852	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06033	1341	4026	Auto	Auto	8	86.25	690	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06034	1838	5517	Auto	Auto	3	82.3333	247	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06035	218	657	Auto	Auto	3	201	603	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06036	563	1692	Auto	Auto	3	106.667	320	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06037	321	966	Auto	Auto	3	84	252	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06038	655	1968	Auto	Auto	3	92.6667	278	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06039	965	2898	Auto	Auto	10	77	770	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06040	246	741	Auto	Auto	1	104	104	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06041	404	1215	Auto	Auto	2	214	428	Up	DE	A1
MvSl-1064-A1-R4_MC04-1g06043	1045	3138	Auto	Auto	9	77.2222	695	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06044	773	2322	Auto	Auto	4	73.5	294	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06045	373	1122	Auto	Auto	6	92.3333	554	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06048	545	1638	Auto	Auto	1	103	103	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06050	778	2337	Auto	Auto	3	93	279	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06052	1280	3843	Auto	Auto	2	72.5	145	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06053	147	444	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06054	400	1203	Auto	Auto	2	65.5	131	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06055	1103	3312	Auto	Auto	9	76.5556	689	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06056	1282	3849	Auto	Auto	5	83.4	417	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06057	278	837	Auto	Auto	3	93.6667	280	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06058	585	1758	Auto	Auto	5	94.4	472	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06059	146	441	Auto	Auto	1	197	197	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06060	173	522	Auto	Auto	2	73.5	147	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06061	130	393	Auto	Auto	2	129	258	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06062	227	684	Auto	Auto	3	82.6667	248	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06064	70	213	Auto	Auto	1	104	104	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06065	499	1500	Auto	Auto	5	77.8	389	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06066	245	738	Auto	Auto	2	128	256	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06067	690	2073	Auto	Auto	6	65.8333	395	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06069	310	933	Auto	Auto	5	88.4	442	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06070	266	801	Auto	Auto	4	87.25	349	NON	NON	A1
MvSl-1064-A1-R4_MC04-1g06073	680	2043	Auto	Auto	2	106	212	Down	DE	A1
MvSl-1064-A1-R4_MC04-2g06086	1646	4941	Auto	Auto	1	40	40	Up	DE	A1
MvSl-1064-A1-R4_MC04-2g06091	135	408	Auto	Auto	2	61.5	123	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06092	721	2166	Auto	Auto	6	65.5	393	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06093	1600	4803	Auto	Auto	3	82.6667	248	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06094	434	1305	Auto	Auto	4	120.75	483	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06095	284	855	Auto	Auto	3	66.6667	200	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06096	275	828	Auto	Auto	5	98	490	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06097	71	216	Auto	Auto	1	335	335	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06098	468	1407	Auto	Auto	3	76.3333	229	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06099	323	972	Auto	Auto	5	90.8	454	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06100	248	747	Auto	Auto	3	105.667	317	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06101	131	396	Auto	Auto	5	106	530	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06102	693	2082	Auto	Auto	8	87.375	699	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06103	383	1152	Auto	Auto	2	58.5	117	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06105	370	1113	Auto	Auto	3	71.6667	215	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06106	354	1065	Auto	Auto	2	115.5	231	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06108	970	2913	Auto	Auto	5	79	395	NON	NON	A1
MvSl-1064-A1-R4_MC04-2g06109	422	1269	Auto	Auto	1	45	45	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06116	719	2160	Auto	Auto	3	89	267	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06117	569	1710	Auto	Auto	6	80.6667	484	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06118	1234	3705	Auto	Auto	5	107.8	539	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06119	374	1125	Auto	Auto	3	109.667	329	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06120	1506	4521	Auto	Auto	8	77.75	622	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06121	149	450	Auto	Auto	2	123	246	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06122	200	603	Auto	Auto	3	69.6667	209	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06124	457	1374	Auto	Auto	5	78.6	393	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06125	323	972	Auto	Auto	5	90.2	451	Up	DE	A1
MvSl-1064-A1-R4_MC05-1g06126	680	2043	Auto	Auto	2	114.5	229	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06127	441	1326	Auto	Auto	3	57	171	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06128	75	228	Auto	Auto	1	0	0	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06129	834	2505	Auto	Auto	4	79.75	319	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06131	689	2070	Auto	Auto	5	135	675	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06133	486	1461	Auto	Auto	4	71.75	287	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06134	569	1710	Auto	Auto	4	73	292	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06135	190	573	Auto	Auto	4	96.75	387	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06136	876	2631	Auto	Auto	1	90	90	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06137	470	1413	Auto	Auto	4	95.75	383	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06139	1730	5193	Auto	Auto	5	109.8	549	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06141	511	1536	Auto	Auto	4	75.25	301	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06142	953	2862	Auto	Auto	1	88	88	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06147	1519	4560	Auto	Auto	4	70.5	282	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06148	705	2118	Auto	Auto	7	108.286	758	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06149	685	2058	Auto	Auto	6	79.8333	479	Down	DE	A1
MvSl-1064-A1-R4_MC05-1g06150	607	1824	Auto	Auto	5	115.4	577	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06151	483	1452	Auto	Auto	3	137.667	413	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06152	373	1122	Auto	Auto	6	82.5	495	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06153	329	990	Auto	Auto	1	102	102	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06154	631	1896	Auto	Auto	3	86.6667	260	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06155	534	1605	Auto	Auto	3	115	345	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06156	80	243	Auto	Auto	2	109.5	221	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06157	184	555	Auto	Auto	3	86.3333	259	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06158	1080	3243	Auto	Auto	5	74.4	372	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06159	78	237	Auto	Auto	3	69	207	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06160	443	1332	Auto	Auto	4	91	364	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06161	1294	3885	Auto	Auto	2	73.5	147	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06162	827	2484	Auto	Auto	2	65	130	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06163	404	1215	Auto	Auto	2	54.5	109	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06164	372	1119	Auto	Auto	2	69	138	Up	DE	A1
MvSl-1064-A1-R4_MC05-1g06165	57	174	Auto	Auto	1	106	106	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06168	996	2991	Auto	Auto	3	73.6667	221	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06170	1532	4599	Auto	Auto	5	112.2	561	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06171	412	1239	Auto	Auto	3	78.6667	236	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06172	495	1488	Auto	Auto	6	91	546	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06174	70	213	Auto	Auto	1	248	248	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06175	1483	4452	Auto	Auto	6	59.3333	356	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06176	1018	3057	Auto	Auto	3	134	402	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06177	313	942	Auto	Auto	5	98.6	493	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06178	1202	3609	Auto	Auto	8	105.5	844	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06179	851	2556	Auto	Auto	3	108.333	325	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06180	777	2334	Auto	Auto	1	73	73	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06181	106	321	Auto	Auto	1	71	71	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06183	395	1188	Auto	Auto	2	155	310	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06184	221	666	Auto	Auto	2	60	120	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06185	579	1740	Auto	Auto	3	91.3333	274	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06186	354	1065	Auto	Auto	4	88	352	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06187	197	594	Auto	Auto	2	97.5	195	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06188	230	693	Auto	Auto	6	109.833	659	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06189	1156	3471	Auto	Auto	7	67	469	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06190	118	357	Auto	Auto	2	137.5	275	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06191	398	1197	Auto	Auto	3	99.3333	298	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06192	664	1995	Auto	Auto	5	87.4	437	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06193	545	1638	Auto	Auto	4	154.25	617	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06194	242	729	Auto	Auto	7	96.5714	676	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06195	920	2763	Auto	Auto	4	75.75	303	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06196	469	1410	Auto	Auto	7	127.714	894	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06197	345	1038	Auto	Auto	3	129	387	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06198	431	1296	Auto	Auto	5	56	280	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06202	475	1428	Auto	Auto	7	75.4286	528	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06203	1565	4698	Auto	Auto	6	97.5	585	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06204	495	1488	Auto	Auto	6	74.3333	446	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06205	822	2469	Auto	Auto	4	67.75	271	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06206	466	1401	Auto	Auto	7	78.5714	550	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06207	982	2949	Auto	Auto	11	82.2727	905	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06211	443	1332	Auto	Auto	3	223	669	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06213	204	615	Auto	Auto	8	95.5	764	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06215	210	633	Auto	Auto	2	47	94	Up	DE	A1
MvSl-1064-A1-R4_MC05-1g06216	987	2964	Auto	Auto	2	80	160	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06217	855	2568	Auto	Auto	11	86.0909	947	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06218	546	1641	Auto	Auto	6	85	510	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06219	520	1563	Auto	Auto	4	212.25	849	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06220	766	2301	Auto	Auto	1	87	87	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06222	1406	4221	Auto	Auto	3	100.333	301	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06223	375	1128	Auto	Auto	6	84.6667	508	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06224	371	1116	Auto	Auto	3	91.6667	275	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06225	1356	4071	Auto	Auto	2	71	142	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06227	574	1725	Auto	Auto	5	105.2	526	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06228	1042	3129	Auto	Auto	2	78.5	157	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06229	190	573	Auto	Auto	3	91.3333	274	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06230	263	792	Auto	Auto	2	54	108	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06231	58	177	Auto	Auto	1	125	125	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06232	51	156	Auto	Auto	1	41	41	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06233	423	1272	Auto	Auto	11	85.9091	945	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06235	3250	9753	Auto	Auto	11	80.0909	881	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06236	379	1140	Auto	Auto	4	125.5	502	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06237	197	594	Auto	Auto	2	106	212	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06238	204	615	Auto	Auto	5	89.2	446	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06239	92	279	Auto	Auto	3	92.6667	278	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06240	156	471	Auto	Auto	4	119.5	478	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06241	2361	7086	Auto	Auto	5	73.8	369	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06242	472	1419	Auto	Auto	4	90.5	362	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06243	319	960	Auto	Auto	3	79	237	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06246	341	1026	Auto	Auto	2	164.5	329	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06247	420	1263	Auto	Auto	7	89.8571	629	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06248	166	501	Auto	Auto	3	69.6667	209	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06249	406	1221	Auto	Auto	4	79	316	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06250	258	777	Auto	Auto	4	75.25	301	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06251	464	1395	Auto	Auto	9	121.222	1091	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06252	496	1491	Auto	Auto	5	92.4	462	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06253	550	1653	Auto	Auto	4	89.25	357	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06255	733	2202	Auto	Auto	8	103.875	831	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06257	130	393	Auto	Auto	2	104.5	209	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06260	690	2073	Auto	Auto	1	74	74	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06264	919	2760	Auto	Auto	2	51.5	103	Up	DE	A1
MvSl-1064-A1-R4_MC05-1g06266	1363	4092	Auto	Auto	1	255	255	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06267	579	1740	Auto	Auto	1	114	114	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06279	1323	3972	Auto	Auto	1	58	58	NON	NON	A1
MvSl-1064-A1-R4_MC05-1g06292	2087	6264	Auto	Auto	3	303.667	911	NON	NON	A1
MvSl-1064-A1-R4_MC05-2g06302	1303	3912	Auto	Auto	3	130	390	NON	NON	A1
MvSl-1064-A1-R4_MC05-2g06305	1824	5475	Auto	Auto	9	75.3333	678	Up	DE	A1
