gid	TEaverage	averageGC3	averageGC0	intronmeannr	intronmeanlength	intronmeantotal	Part8	youngold	logFC.A1.A2	abs	a1prot	a2prot	meanprot	ratioprot	DE	DE2	a1cds	a2cds	ratiocds	meancds
MvSl-1064-A1-R4_MC02g03495	0	53.675	53.675	1	73	73	Auto	Auto	1.675742645	1.675742645	203	203	203	1	Up	DE	612	612	1	612
MvSl-1064-A1-R4_MC02g03498	0	57.78	57.78	1	157	157	Auto	Auto	0.264099014	0.264099014	59	59	59	1	NON	NON	180	180	1	180
MvSl-1064-A1-R4_MC02g03499	0.117647059	59.045	59.045	1	0	0	Auto	Auto	0.005132651	0.005132651	69	69	69	1	NON	NON	210	210	1	210
MvSl-1064-A1-R4_MC02g03500	0.117647059	55.51	55.51	3	72	216	Auto	Auto	0.426265703	0.426265703	359	359	359	1	NON	NON	1080	1080	1	1080
MvSl-1064-A1-R4_MC02g03501	0.117647059	56.045	56.045	4	112.5	450	Auto	Auto	-0.293778235	0.293778235	319	319	319	1	NON	NON	960	960	1	960
MvSl-1064-A1-R4_MC02g03502	0.117647059	50.45	50.45	1	94	94	Auto	Auto	0.938506799	0.938506799	36	36	36	1	NON	NON	111	111	1	111
MvSl-1064-A1-R4_MC02g03503	0.117647059	62.245	62.245	1	205	205	Auto	Auto	0.550477347	0.550477347	48	48	48	1	NON	NON	147	147	1	147
MvSl-1064-A1-R4_MC02g03504	0.352941176	62.885	62.885	7	110.286	772	Auto	Auto	-0.10243062	0.10243062	1419	1419	1419	1	NON	NON	4260	4260	1	4260
MvSl-1064-A1-R4_MC02g03505	0.352941176	58.905	58.905	4	88.5	354	Auto	Auto	0.120137365	0.120137365	334	334	334	1	NON	NON	1005	1005	1	1005
MvSl-1064-A1-R4_MC02g03506	0.588235294	60.665	60.665	1	98	98	Auto	Auto	0.890463127	0.890463127	185	185	185	1	NON	NON	558	558	1	558
MvSl-1064-A1-R4_MC02g03507	0.588235294	66.23	66.23	2	66.5	133	Auto	Auto	0.123263743	0.123263743	1105	1105	1105	1	NON	NON	3318	3318	1	3318
MvSl-1064-A1-R4_MC02g03508	0.705882353	60.39	60.39	1	113	113	Auto	Auto	-2.300600211	2.300600211	76	76	76	1	Down	DE	231	231	1	231
MvSl-1064-A1-R4_MC02g03510	0.647058824	57.895	57.895	1	91	91	Auto	Auto	0.3184845	0.3184845	75	75	75	1	NON	NON	228	228	1	228
MvSl-1064-A1-R4_MC02g03514	0.823529412	62.745	62.745	1	103	103	Auto	Auto	-0.848417982	0.848417982	67	67	67	1	NON	NON	204	204	1	204
MvSl-1064-A1-R4_MC02g03518	1.058823529	59.165	59.165	10	123.7	1237	Auto	Auto	-0.304913066	0.304913066	697	697	697	1	NON	NON	2094	2094	1	2094
MvSl-1064-A1-R4_MC02g03519	1.176470588	52.89	52.89	1	64	64	Auto	Auto	0.442401511	0.442401511	120	120	120	1	NON	NON	363	363	1	363
MvSl-1064-A1-R4_MC02g03521	1.117647059	63.23	63.23	2	75.5	151	Auto	Auto	-0.799198485	0.799198485	848	848	848	1	NON	NON	2547	2547	1	2547
MvSl-1064-A1-R4_MC02g03522	1.058823529	63.645	63.965	1.5	56.25	87	Auto	Auto	-4.51041666	4.51041666	572	592	582	1.034965035	Down	DE	1719	1779	1.034904014	1749
MvSl-1064-A1-R4_MC02g03524	1.058823529	58.705	58.705	3	74.6667	224	Auto	Auto	0.082340876	0.082340876	334	334	334	1	NON	NON	1005	1005	1	1005
MvSl-1064-A1-R4_MC02g03525	1.058823529	58.985	58.985	2	84.5	169	Auto	Auto	0.063817959	0.063817959	548	548	548	1	NON	NON	1647	1647	1	1647
MvSl-1064-A1-R4_MC02g03526	0.823529412	56.745	56.745	5	127.4	637	Auto	Auto	0.00348074	0.00348074	397	397	397	1	NON	NON	1194	1194	1	1194
MvSl-1064-A1-R4_MC02g03527	0.823529412	60.805	60.805	3	72.6667	218	Auto	Auto	-0.002695662	0.002695662	161	161	161	1	NON	NON	486	486	1	486
MvSl-1064-A1-R4_MC02g03528	0.823529412	63.49	63.49	8	90.125	721	Auto	Auto	-0.226694825	0.226694825	460	460	460	1	NON	NON	1383	1383	1	1383
MvSl-1064-A1-R4_MC02g03529	0.588235294	60.515	60.515	5	72	360	Auto	Auto	-0.067780681	0.067780681	1045	1045	1045	1	NON	NON	3138	3138	1	3138
MvSl-1064-A1-R4_MC02g03530	0.588235294	63.96	63.96	4	129	516	Auto	Auto	-0.107471104	0.107471104	467	467	467	1	NON	NON	1404	1404	1	1404
MvSl-1064-A1-R4_MC02g03531	0.470588235	58.085	58.085	5	84	420	Auto	Auto	-0.019741917	0.019741917	663	663	663	1	NON	NON	1992	1992	1	1992
MvSl-1064-A1-R4_MC02g03532	0.352941176	63.155	63.155	5	83.2	416	Auto	Auto	0.174761956	0.174761956	1328	1328	1328	1	NON	NON	3987	3987	1	3987
MvSl-1064-A1-R4_MC02g03533	0.352941176	60.05	60.05	5	73.6	368	Auto	Auto	0.978607969	0.978607969	276	276	276	1	NON	NON	831	831	1	831
MvSl-1064-A1-R4_MC02g03535	0	61.12	61.12	7	71	497	Auto	Auto	0.046842937	0.046842937	1069	1069	1069	1	NON	NON	3210	3210	1	3210
MvSl-1064-A1-R4_MC02g03536	0	62.94	62.94	6	98	588	Auto	Auto	0.242650344	0.242650344	424	424	424	1	NON	NON	1275	1275	1	1275
MvSl-1064-A1-R4_MC02g03537	0	59.285	59.285	5	90	450	Auto	Auto	-0.324498908	0.324498908	462	462	462	1	NON	NON	1389	1389	1	1389
MvSl-1064-A1-R4_MC02g03538	0	60.95	60.95	3	103.667	311	Auto	Auto	-0.073404787	0.073404787	104	104	104	1	NON	NON	315	315	1	315
MvSl-1064-A1-R4_MC02g03539	0	65	65	6	146.667	880	Auto	Auto	-0.107183966	0.107183966	429	429	429	1	NON	NON	1290	1290	1	1290
MvSl-1064-A1-R4_MC02g03541	0	54.57	54.57	1	0	0	Auto	Auto	0.023877109	0.023877109	61	61	61	1	NON	NON	186	186	1	186
MvSl-1064-A1-R4_MC02g03542	0	56.115	56.115	1	151	151	Auto	Auto	0.019119352	0.019119352	119	119	119	1	NON	NON	360	360	1	360
MvSl-1064-A1-R4_MC02g03543	0	57.76	57.76	9	86.3333	777	Auto	Auto	-0.297426564	0.297426564	319	319	319	1	NON	NON	960	960	1	960
MvSl-1064-A1-R4_MC02g03544	0	65.805	65.805	3	174.667	524	Auto	Auto	0.20961255	0.20961255	697	697	697	1	NON	NON	2094	2094	1	2094
MvSl-1064-A1-R4_MC02g03546	0	63.015	63.015	3	65.3333	196	Auto	Auto	-0.319332228	0.319332228	497	497	497	1	NON	NON	1494	1494	1	1494
MvSl-1064-A1-R4_MC02g03547	0	68.615	68.615	2	88	176	Auto	Auto	0.105129159	0.105129159	153	153	153	1	NON	NON	462	462	1	462
MvSl-1064-A1-R4_MC02g03548	0	63.42	63.42	1	0	0	Auto	Auto	0.305977882	0.305977882	194	194	194	1	NON	NON	585	585	1	585
MvSl-1064-A1-R4_MC02g03549	0	53.94	53.94	2	78.5	157	Auto	Auto	0.019567834	0.019567834	185	185	185	1	NON	NON	558	558	1	558
MvSl-1064-A1-R4_MC02g03551	0	64.575	64.575	6	102.5	615	Auto	Auto	0.099951793	0.099951793	174	174	174	1	NON	NON	525	525	1	525
MvSl-1064-A1-R4_MC02g03552	0	62.42	62.42	5	83.4	417	Auto	Auto	0.102725689	0.102725689	376	376	376	1	NON	NON	1131	1131	1	1131
MvSl-1064-A1-R4_MC02g03553	0.235294118	54.52	54.52	13	90.2308	1173	Auto	Auto	0.109214279	0.109214279	637	637	637	1	NON	NON	1914	1914	1	1914
MvSl-1064-A1-R4_MC02g03555	0.235294118	58.575	58.575	1	74	74	Auto	Auto	0.742456959	0.742456959	170	170	170	1	NON	NON	513	513	1	513
MvSl-1064-A1-R4_MC02g03557	0.235294118	58.62	58.62	5	120.8	604	Auto	Auto	-0.345960973	0.345960973	407	407	407	1	NON	NON	1224	1224	1	1224
MvSl-1064-A1-R4_MC02g03558	0.235294118	52.905	52.905	6	65.1667	391	Auto	Auto	0.34419632	0.34419632	372	372	372	1	NON	NON	1119	1119	1	1119
MvSl-1064-A1-R4_MC02g03559	0.235294118	49.06	49.06	1	0	0	Auto	Auto	0.066758854	0.066758854	70	70	70	1	NON	NON	213	213	1	213
MvSl-1064-A1-R4_MC02g03561	0.235294118	65.58	65.58	1	69	69	Auto	Auto	0.124212527	0.124212527	627	627	627	1	NON	NON	1884	1884	1	1884
MvSl-1064-A1-R4_MC02g03562	0.235294118	60.075	60.075	1	73	73	Auto	Auto	0.181649091	0.181649091	573	573	573	1	NON	NON	1722	1722	1	1722
MvSl-1064-A1-R4_MC02g03563	0.235294118	65.695	65.695	1	0	0	Auto	Auto	0.550143474	0.550143474	290	290	290	1	NON	NON	873	873	1	873
MvSl-1064-A1-R4_MC02g03564	0.235294118	59.09	59.09	3	94	282	Auto	Auto	0.23753296	0.23753296	219	219	219	1	NON	NON	660	660	1	660
MvSl-1064-A1-R4_MC02g03567	0.117647059	58.115	58.245	4	116.125	464.5	Auto	Auto	0.27829001	0.27829001	381	344	362.5	1.10755814	NON	NON	1146	1035	1.107246377	1090.5
MvSl-1064-A1-R4_MC02g03568	0.235294118	61.4	61.4	4	98.25	393	Auto	Auto	-0.135913871	0.135913871	1275	1275	1275	1	NON	NON	3828	3828	1	3828
MvSl-1064-A1-R4_MC02g03569	0.588235294	67.735	67.735	3	111.667	335	Auto	Auto	0.319584758	0.319584758	951	951	951	1	NON	NON	2856	2856	1	2856
MvSl-1064-A1-R4_MC02g03570	0.823529412	60.865	60.855	3	110.667	332	Auto	Auto	0.512094175	0.512094175	1730	1729	1729.5	1.000578369	NON	NON	5190	5193	0.999422299	5191.5
MvSl-1064-A1-R4_MC02g03572	0.823529412	63.48	63.48	6	69.8333	419	Auto	Auto	-0.037822806	0.037822806	720	720	720	1	NON	NON	2163	2163	1	2163
MvSl-1064-A1-R4_MC02g03573	0.823529412	57.56	57.56	2	81	162	Auto	Auto	0.255382391	0.255382391	96	96	96	1	NON	NON	291	291	1	291
MvSl-1064-A1-R4_MC02g03574	0.588235294	59.04	59.04	1	0	0	Auto	Auto	-0.430108259	0.430108259	316	316	316	1	NON	NON	951	951	1	951
MvSl-1064-A1-R4_MC02g03575	0.588235294	59.335	59.335	1	0	0	Auto	Auto	-0.772679794	0.772679794	49	49	49	1	NON	NON	150	150	1	150
MvSl-1064-A1-R4_MC02g03576	0.588235294	66.09	66.09	3	139	417	Auto	Auto	-0.509337249	0.509337249	403	403	403	1	NON	NON	1212	1212	1	1212
MvSl-1064-A1-R4_MC02g03577	0.411764706	58.4	58.4	11	99	1089	Auto	Auto	0.276697894	0.276697894	1670	1670	1670	1	NON	NON	5013	5013	1	5013
MvSl-1064-A1-R4_MC02g03579	0.470588235	56.945	56.945	9	77	693	Auto	Auto	5.13562295	5.13562295	354	354	354	1	Up	DE	1065	1065	1	1065
MvSl-1064-A1-R4_MC02g03580	0.588235294	60.135	60.59	6	92.1667	553	Auto	Auto	0.205785102	0.205785102	586	604	595	0.970198675	NON	NON	1761	1815	0.970247934	1788
MvSl-1064-A1-R4_MC02g03581	0.588235294	60.75	60.75	5	64.4	322	Auto	Auto	-0.492802593	0.492802593	433	433	433	1	NON	NON	1302	1302	1	1302
MvSl-1064-A1-R4_MC02g03582	0.588235294	70.98	70.98	4	174	696	Auto	Auto	-0.111207979	0.111207979	277	277	277	1	NON	NON	834	834	1	834
MvSl-1064-A1-R4_MC02g03583	0.588235294	62.64	62.64	5	70.8	354	Auto	Auto	0.040436164	0.040436164	732	732	732	1	NON	NON	2199	2199	1	2199
MvSl-1064-A1-R4_MC02g03584	0.588235294	63.505	63.275	3.5	119.7915	416	Auto	Auto	1.425187622	1.425187622	563	574	568.5	0.980836237	Up	DE	1692	1725	0.980869565	1708.5
MvSl-1064-A1-R4_MC02g03585	0.588235294	60.305	60.305	4	104.75	419	Auto	Auto	0.31521017	0.31521017	486	486	486	1	NON	NON	1461	1461	1	1461
MvSl-1064-A1-R4_MC02g03586	0.235294118	67.525	67.525	3	89.3333	268	Auto	Auto	-0.268410573	0.268410573	213	213	213	1	NON	NON	642	642	1	642
MvSl-1064-A1-R4_MC02g03587	0.235294118	62.305	62.305	6	76.3333	458	Auto	Auto	-0.187740587	0.187740587	1298	1298	1298	1	NON	NON	3897	3897	1	3897
MvSl-1064-A1-R4_MC02g03588	0	60.58	60.58	5	79.2	396	Auto	Auto	-0.342150333	0.342150333	563	563	563	1	NON	NON	1692	1692	1	1692
MvSl-1064-A1-R4_MC02g03589	0	57.075	57.075	4	103.25	413	Auto	Auto	0.074844717	0.074844717	98	98	98	1	NON	NON	297	297	1	297
MvSl-1064-A1-R4_MC02g03590	0	60.26	60.26	1	71	71	Auto	Auto	0.018712171	0.018712171	340	340	340	1	NON	NON	1023	1023	1	1023
MvSl-1064-A1-R4_MC02g03591	0	60.075	60.075	1	60	60	Auto	Auto	0.063223552	0.063223552	818	818	818	1	NON	NON	2457	2457	1	2457
MvSl-1064-A1-R4_MC02g03592	0	58.745	58.745	4	84	336	Auto	Auto	-0.135701206	0.135701206	744	744	744	1	NON	NON	2235	2235	1	2235
MvSl-1064-A1-R4_MC02g03593	0	65.21	65.21	4	79.75	319	Auto	Auto	-0.119096298	0.119096298	675	675	675	1	NON	NON	2028	2028	1	2028
MvSl-1064-A1-R4_MC02g03596	0	65.015	65.015	4	83.75	335	Auto	Auto	-0.176083976	0.176083976	262	262	262	1	NON	NON	789	789	1	789
MvSl-1064-A1-R4_MC02g03597	0	58.63	58.63	10	86	860	Auto	Auto	0.013907417	0.013907417	847	847	847	1	NON	NON	2544	2544	1	2544
MvSl-1064-A1-R4_MC02g03598	0	60.535	60.535	4	95	380	Auto	Auto	0.109855659	0.109855659	366	366	366	1	NON	NON	1101	1101	1	1101
MvSl-1064-A1-R4_MC02g03599	0	58.835	58.835	10	64.5	645	Auto	Auto	-0.345576987	0.345576987	1369	1369	1369	1	NON	NON	4110	4110	1	4110
MvSl-1064-A1-R4_MC02g03600	0.117647059	64.37	64.37	3	128	384	Auto	Auto	-0.078685829	0.078685829	202	202	202	1	NON	NON	609	609	1	609
MvSl-1064-A1-R4_MC02g03601	0.529411765	62.71	62.71	3	85.3333	256	Auto	Auto	0.159760223	0.159760223	1549	1549	1549	1	NON	NON	4650	4650	1	4650
MvSl-1064-A1-R4_MC02g03602	0.529411765	62.14	62.14	5	113.6	568	Auto	Auto	0.027668323	0.027668323	599	599	599	1	NON	NON	1800	1800	1	1800
MvSl-1064-A1-R4_MC02g03603	0.647058824	65.375	65.375	5	157	785	Auto	Auto	-0.401441831	0.401441831	670	670	670	1	NON	NON	2013	2013	1	2013
MvSl-1064-A1-R4_MC02g03606	0.588235294	64.75	64.75	4	105.5	422	Auto	Auto	1.354539397	1.354539397	2051	2051	2051	1	Up	DE	6156	6156	1	6156
MvSl-1064-A1-R4_MC02g03608	0.647058824	66.335	66.335	14	95.75	1340.5	Auto	Auto	-0.114289263	0.114289263	701	701	701	1	NON	NON	2106	2106	1	2106
MvSl-1064-A1-R4_MC02g03609	0.588235294	63.735	63.735	3	61.3333	184	Auto	Auto	0.132730828	0.132730828	1602	1602	1602	1	NON	NON	4809	4809	1	4809
MvSl-1064-A1-R4_MC02g03610	0.647058824	66.215	66.215	7	109.429	766	Auto	Auto	0.367735605	0.367735605	515	515	515	1	NON	NON	1548	1548	1	1548
MvSl-1064-A1-R4_MC02g03611	0.647058824	55.785	55.785	1	0	0	Auto	Auto	0.343062086	0.343062086	71	71	71	1	NON	NON	216	216	1	216
MvSl-1064-A1-R4_MC02g03613	0.529411765	59.965	59.965	2	99.5	199	Auto	Auto	-0.565015558	0.565015558	434	434	434	1	NON	NON	1305	1305	1	1305
MvSl-1064-A1-R4_MC02g03614	0.117647059	63.03	63.03	2	144	288	Auto	Auto	0.028598238	0.028598238	879	879	879	1	NON	NON	2640	2640	1	2640
MvSl-1064-A1-R4_MC02g03615	0.117647059	61.16	61.16	12	72	864	Auto	Auto	-0.084893534	0.084893534	680	680	680	1	NON	NON	2043	2043	1	2043
MvSl-1064-A1-R4_MC02g03616	0.117647059	61.54	61.54	5	108.3	541.5	Auto	Auto	0.075986438	0.075986438	691	691	691	1	NON	NON	2076	2076	1	2076
MvSl-1064-A1-R4_MC02g03617	0	57.435	57.435	2	149	298	Auto	Auto	0.854666215	0.854666215	499	499	499	1	Up	DE	1500	1500	1	1500
MvSl-1064-A1-R4_MC02g03618	0	58.15	58.15	3	69.3333	208	Auto	Auto	-0.259749367	0.259749367	602	602	602	1	NON	NON	1809	1809	1	1809
MvSl-1064-A1-R4_MC02g03619	0	58.535	58.535	3	69.3333	208	Auto	Auto	0.144034533	0.144034533	210	210	210	1	NON	NON	633	633	1	633
MvSl-1064-A1-R4_MC02g03620	0	73.425	73.425	2	81.5	163	Auto	Auto	0.154077946	0.154077946	174	174	174	1	NON	NON	525	525	1	525
MvSl-1064-A1-R4_MC02g03621	0	62.595	62.595	4	83.75	335	Auto	Auto	0.050503881	0.050503881	1549	1549	1549	1	NON	NON	4650	4650	1	4650
MvSl-1064-A1-R4_MC02g03622	0	62.28	62.28	3	102.667	308	Auto	Auto	-0.081207848	0.081207848	170	170	170	1	NON	NON	513	513	1	513
MvSl-1064-A1-R4_MC02g03623	0.117647059	64.47	64.47	1	0	0	Auto	Auto	-0.041898306	0.041898306	181	181	181	1	NON	NON	546	546	1	546
MvSl-1064-A1-R4_MC02g03624	0.117647059	61.53	61.53	1	0	0	Auto	Auto	-0.046182454	0.046182454	106	106	106	1	NON	NON	321	321	1	321
MvSl-1064-A1-R4_MC02g03625	0.117647059	65.415	65.415	10	103.4	1034	Auto	Auto	0.037190046	0.037190046	718	718	718	1	NON	NON	2157	2157	1	2157
MvSl-1064-A1-R4_MC02g03626	0.117647059	53.51	53.51	8	82.125	657	Auto	Auto	-0.293875372	0.293875372	346	346	346	1	NON	NON	1041	1041	1	1041
MvSl-1064-A1-R4_MC02g03627	0.117647059	60.54	60.54	5	73.2	366	Auto	Auto	0.143412228	0.143412228	652	652	652	1	NON	NON	1959	1959	1	1959
MvSl-1064-A1-R4_MC02g03628	0.117647059	63.015	63.015	7	108.286	758	Auto	Auto	-0.225902428	0.225902428	250	250	250	1	NON	NON	753	753	1	753
MvSl-1064-A1-R4_MC02g03629	0.117647059	66.255	66.255	1	0	0	Auto	Auto	0.107539997	0.107539997	447	447	447	1	NON	NON	1344	1344	1	1344
MvSl-1064-A1-R4_MC02g03630	0.058823529	63.485	63.485	5	56.6	283	Auto	Auto	0.367009207	0.367009207	1519	1519	1519	1	NON	NON	4560	4560	1	4560
MvSl-1064-A1-R4_MC02g03631	0.117647059	57.675	57.675	4	90	360	Auto	Auto	-0.119651655	0.119651655	377	377	377	1	NON	NON	1134	1134	1	1134
MvSl-1064-A1-R4_MC02g03632	0.117647059	62.135	62.135	3	75.6667	227	Auto	Auto	2.57E-05	0.0000257	554	554	554	1	NON	NON	1665	1665	1	1665
MvSl-1064-A1-R4_MC02g03633	0.117647059	62.93	62.93	3	146.333	439	Auto	Auto	-0.172335161	0.172335161	57	57	57	1	NON	NON	174	174	1	174
MvSl-1064-A1-R4_MC02g03634	0.117647059	60.805	60.805	6	84.3333	506	Auto	Auto	-0.048981278	0.048981278	1085	1085	1085	1	NON	NON	3258	3258	1	3258
MvSl-1064-A1-R4_MC02g03635	0.235294118	68.26	68.26	4	160.75	643	Auto	Auto	-0.07085507	0.07085507	344	344	344	1	NON	NON	1035	1035	1	1035
MvSl-1064-A1-R4_MC02g03636	0.588235294	57.49	57.49	5	77.8	389	Auto	Auto	-0.00859362	0.00859362	464	464	464	1	NON	NON	1395	1395	1	1395
MvSl-1064-A1-R4_MC02g03637	0.588235294	59.915	59.915	5	89.8	449	Auto	Auto	0.09416773	0.09416773	510	510	510	1	NON	NON	1533	1533	1	1533
MvSl-1064-A1-R4_MC02g03638	0.470588235	56.82	56.82	6	153.333	920	Auto	Auto	-0.514891348	0.514891348	429	429	429	1	NON	NON	1290	1290	1	1290
MvSl-1064-A1-R4_MC02g03639	0.470588235	62.535	62.535	3	77.3333	232	Auto	Auto	0.088239821	0.088239821	926	926	926	1	NON	NON	2781	2781	1	2781
MvSl-1064-A1-R4_MC02g03641	0.470588235	62.695	62.695	1	81	81	Auto	Auto	0.016275981	0.016275981	343	343	343	1	NON	NON	1032	1032	1	1032
MvSl-1064-A1-R4_MC02g03642	0.235294118	69.405	69.405	1	0	0	Auto	Auto	-0.011239742	0.011239742	601	601	601	1	NON	NON	1806	1806	1	1806
MvSl-1064-A1-R4_MC02g03644	0.352941176	64.05	64.05	6	83	498	Auto	Auto	0.146198859	0.146198859	1691	1691	1691	1	NON	NON	5076	5076	1	5076
MvSl-1064-A1-R4_MC02g03645	0.470588235	59.72	59.72	8	90.25	722	Auto	Auto	0.087758156	0.087758156	462	462	462	1	NON	NON	1389	1389	1	1389
MvSl-1064-A1-R4_MC02g03646	0.470588235	59.025	59.025	1	0	0	Auto	Auto	0.383647484	0.383647484	71	71	71	1	NON	NON	216	216	1	216
MvSl-1064-A1-R4_MC02g03647	0.470588235	62.14	62.14	5	144	720	Auto	Auto	0.135449797	0.135449797	492	492	492	1	NON	NON	1479	1479	1	1479
MvSl-1064-A1-R4_MC02g03648	0.588235294	59.74	59.74	3	93	279	Auto	Auto	-0.20268525	0.20268525	76	76	76	1	NON	NON	231	231	1	231
MvSl-1064-A1-R4_MC02g03649	0.588235294	58.045	58.045	6	76.6667	460	Auto	Auto	0.232041478	0.232041478	434	434	434	1	NON	NON	1305	1305	1	1305
MvSl-1064-A1-R4_MC02g03650	0.823529412	58.98	58.98	6	78.3333	470	Auto	Auto	0.595326032	0.595326032	361	361	361	1	NON	NON	1086	1086	1	1086
MvSl-1064-A1-R4_MC02g03652	0.705882353	66.35	66.35	2	101.5	203	Auto	Auto	-0.307078599	0.307078599	210	210	210	1	NON	NON	633	633	1	633
MvSl-1064-A1-R4_MC02g03653	0.705882353	57.78	57.78	1	99	99	Auto	Auto	0.036415438	0.036415438	74	74	74	1	NON	NON	225	225	1	225
MvSl-1064-A1-R4_MC02g03655	0.705882353	61.63	61.63	13	82.3846	1071	Auto	Auto	0.209360669	0.209360669	545	545	545	1	NON	NON	1638	1638	1	1638
MvSl-1064-A1-R4_MC02g03656	0.470588235	62.515	62.515	5	77.6	388	Auto	Auto	-0.010199161	0.010199161	352	352	352	1	NON	NON	1059	1059	1	1059
MvSl-1064-A1-R4_MC02g03657	0.470588235	61.005	61.005	2	71.5	143	Auto	Auto	-0.107812616	0.107812616	311	311	311	1	NON	NON	936	936	1	936
MvSl-1064-A1-R4_MC02g03658	0.470588235	58.505	58.505	1	92	92	Auto	Auto	0.110375077	0.110375077	48	48	48	1	NON	NON	147	147	1	147
MvSl-1064-A1-R4_MC02g03659	0.470588235	67.04	67.04	7	82.7143	579	Auto	Auto	-0.331361998	0.331361998	223	223	223	1	NON	NON	672	672	1	672
MvSl-1064-A1-R4_MC02g03661	0.411764706	59.43	59.43	3	88	264	Auto	Auto	0.903201157	0.903201157	273	273	273	1	NON	NON	822	822	1	822
MvSl-1064-A1-R4_MC02g03662	0.294117647	56.92	56.92	2	57.5	115	Auto	Auto	0.372836231	0.372836231	276	276	276	1	NON	NON	831	831	1	831
MvSl-1064-A1-R4_MC02g03663	0.411764706	62.515	62.515	4	64	256	Auto	Auto	3.428231195	3.428231195	525	525	525	1	Up	DE	1578	1578	1	1578
MvSl-1064-A1-R4_MC02g03664	0.470588235	57.315	57.315	6	121.833	731	Auto	Auto	-0.84941929	0.84941929	425	425	425	1	Down	DE	1278	1278	1	1278
MvSl-1064-A1-R4_MC02g03665	0.470588235	59.88	59.88	1	62	62	Auto	Auto	0.603122563	0.603122563	85	85	85	1	NON	NON	258	258	1	258
MvSl-1064-A1-R4_MC02g03666	0.470588235	67.88	67.88	1	78	78	Auto	Auto	0.04968029	0.04968029	150	150	150	1	NON	NON	453	453	1	453
MvSl-1064-A1-R4_MC02g03667	0.470588235	59.315	59.315	1	56	56	Auto	Auto	-0.112644347	0.112644347	212	212	212	1	NON	NON	639	639	1	639
MvSl-1064-A1-R4_MC02g03668	0.470588235	70.785	70.785	5	114.4	572	Auto	Auto	0.025796629	0.025796629	88	88	88	1	NON	NON	267	267	1	267
MvSl-1064-A1-R4_MC02g03669	0.470588235	61.18	61.18	1	89	89	Auto	Auto	0.221493891	0.221493891	75	75	75	1	NON	NON	228	228	1	228
MvSl-1064-A1-R4_MC02g03670	0.470588235	59.97	59.97	4	126	504	Auto	Auto	-0.190892448	0.190892448	417	417	417	1	NON	NON	1254	1254	1	1254
MvSl-1064-A1-R4_MC02g03671	0.470588235	59.58	59.58	3	102.667	308	Auto	Auto	0.369732202	0.369732202	794	794	794	1	NON	NON	2385	2385	1	2385
MvSl-1064-A1-R4_MC02g03672	0.470588235	53.565	53.565	1	0	0	Auto	Auto	0.241704508	0.241704508	270	270	270	1	NON	NON	813	813	1	813
MvSl-1064-A1-R4_MC02g03673	0.470588235	63.645	63.645	2	89.5	179	Auto	Auto	0.103929246	0.103929246	258	258	258	1	NON	NON	777	777	1	777
MvSl-1064-A1-R4_MC02g03674	0.117647059	56.92	56.92	6	175.167	1051	Auto	Auto	-0.936471701	0.936471701	382	382	382	1	NON	NON	1149	1149	1	1149
MvSl-1064-A1-R4_MC02g03676	0	53.38	53.38	1	66	66	Auto	Auto	2.189753815	2.189753815	68	68	68	1	Up	DE	207	207	1	207
MvSl-1064-A1-R4_MC02g03679	0	66.62	66.62	7	112.286	786	Auto	Auto	0.096434067	0.096434067	341	341	341	1	NON	NON	1026	1026	1	1026
MvSl-1064-A1-R4_MC02g03680	0	63.92	63.92	12	143.75	1725	Auto	Auto	0.015819503	0.015819503	994	994	994	1	NON	NON	2985	2985	1	2985
MvSl-1064-A1-R4_MC02g03681	0	59.77	59.77	2	97	194	Auto	Auto	0.262897252	0.262897252	335	335	335	1	NON	NON	1008	1008	1	1008
MvSl-1064-A1-R4_MC02g03682	0	65.275	65.275	1	73	73	Auto	Auto	-0.072441624	0.072441624	238	238	238	1	NON	NON	717	717	1	717
MvSl-1064-A1-R4_MC02g03683	0	55.44	55.44	2	102	204	Auto	Auto	0.077838031	0.077838031	829	829	829	1	NON	NON	2490	2490	1	2490
MvSl-1064-A1-R4_MC02g03684	0	61.46	61.46	1	0	0	Auto	Auto	-0.269466815	0.269466815	143	143	143	1	NON	NON	432	432	1	432
MvSl-1064-A1-R4_MC02g03685	0	62.5	62.5	9	100.889	908	Auto	Auto	-0.162983853	0.162983853	351	351	351	1	NON	NON	1056	1056	1	1056
MvSl-1064-A1-R4_MC02g03686	0	61.88	61.88	3	115	345	Auto	Auto	-0.197730106	0.197730106	288	288	288	1	NON	NON	867	867	1	867
MvSl-1064-A1-R4_MC02g03687	0	57.82	57.82	3	71.6667	215	Auto	Auto	-0.103834376	0.103834376	860	860	860	1	NON	NON	2583	2583	1	2583
MvSl-1064-A1-R4_MC02g03688	0	68.225	68.225	10	76.4	764	Auto	Auto	0.128763057	0.128763057	512	512	512	1	NON	NON	1539	1539	1	1539
MvSl-1064-A1-R4_MC02g03689	0	63.075	63.075	4	82.25	329	Auto	Auto	0.077191341	0.077191341	287	287	287	1	NON	NON	864	864	1	864
MvSl-1064-A1-R4_MC02g03690	0	67.285	67.285	2	55.5	111	Auto	Auto	-0.166892256	0.166892256	242	242	242	1	NON	NON	729	729	1	729
MvSl-1064-A1-R4_MC02g03691	0	62.47	62.47	2	92	184	Auto	Auto	-0.146903396	0.146903396	396	396	396	1	NON	NON	1191	1191	1	1191
