gida1	a1GC0	a1GC3	gida2	a2GC0	a2GC3	start	end	logCPM	logFC.A1.A2	abs	PV.A1.A2	FDR.A1.A2	A1_1	A1_2	A2_1	A2_2	part8	youngold	GC0diff	GC3diff	DE
MvSl-1064-A1-R4_A1g00108	63.1	75	MvSl-1064-A2-R4_A2g00118	63.1	75	234418	236731	5.021408302	-0.31807729	0.31807729	0.196752328	0.759104735	4.828381305	4.880506305	5.38446092	4.921879003	Black	OldStrata	0	0	NON
MvSl-1064-A1-R4_A1g01512	59.45	66.83	MvSl-1064-A2-R4_A2g01825	59.45	66.83	3397281	3400814	0.571487815	-0.705338325	0.705338325	0.196768756	0.759104735	0.731551131	-0.585987386	0.344942075	1.267773256	bPAR	bPAR	0	0	NON
MvSl-1064-A1-R4_MC01-1g01742	59.84	65.58	MvSl-1064-A2-R4_MC01g02023	59.84	65.58	54485	55279	6.986712431	-0.238531175	0.238531175	0.19662436	0.759104735	6.884054965	6.841077312	7.056225709	7.144611941	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01814	55.79	57.55	MvSl-1064-A2-R4_MC01g02095	55.79	57.55	135945	138065	4.488263153	-0.346708134	0.346708134	0.195805778	0.759104735	4.49206098	4.092871695	4.480153969	4.804839776	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02303	58.82	60.78	MvSl-1064-A2-R4_MC01g02585	58.82	60.78	942751	943622	3.352193596	0.386804526	0.386804526	0.196429745	0.759104735	3.574878205	3.482059644	3.157687891	3.134220333	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02604	56.24	63.13	MvSl-1064-A2-R4_MC01g02886	56.24	63.13	1669705	1670721	2.625501829	0.551993915	0.551993915	0.196481712	0.759104735	3.284267261	2.280911216	1.872607629	2.669705501	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-2g03163	64.75	82.76	MvSl-1064-A2-R4_MC01g03443	64.75	82.76	3055044	3055331	0.710176099	-0.602342779	0.602342779	0.19570806	0.759104735	0.731551131	-0.005737075	0.806091164	1.129723972	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g04052	56.1	61.79	MvSl-1064-A2-R4_MC02g04330	56.1	61.79	2090336	2091237	6.438074469	0.242584704	0.242584704	0.196447277	0.759104735	6.531368898	6.576279423	6.37903934	6.240927051	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-1g06197	56.26	69.36	MvSl-1064-A2-R4_MC05g06469	56.26	69.36	85567	87403	6.485817209	-0.256597182	0.256597182	0.196720572	0.759104735	6.344308143	6.359946026	6.764078493	6.433855775	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-3g06689	56.05	66.78	MvSl-1064-A2-R4_MC05g06952	56.05	66.78	516154	516341	5.307124694	-0.310067676	0.310067676	0.196256408	0.759104735	5.094958566	5.192644655	5.668484766	5.201448166	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07342	55.56	57.55	MvSl-1064-A2-R4_MC06-2g07607	55.56	57.55	1274793	1275188	1.407193871	0.524739379	0.524739379	0.196695959	0.759104735	1.828196303	1.403388459	1.047803276	1.2003992	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08548	58.8	68.32	MvSl-1064-A2-R4_MC08-1g08813	58.8	68.32	746713	749048	5.621429616	-0.275949613	0.275949613	0.196246319	0.759104735	5.44879855	5.505571009	5.58308368	5.905004052	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC16g12181	56.94	69.19	MvSl-1064-A2-R4_MC16g12432	56.94	69.19	19914	21166	6.573876443	-0.449427213	0.449427213	0.196705742	0.759104735	5.811322889	6.71409777	7.244983856	6.09320606	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11377	49.69	47.17	MvSl-1064-A2-R4_MC13g11638	49.69	47.17	194674	198384	0.236142815	0.627763966	0.627763966	0.197220263	0.760503397	0.646990334	0.300568733	-0.155154508	-0.029636685	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03795	56.47	66.02	MvSl-1064-A2-R4_MC02g04073	56.47	66.02	1494586	1497164	5.180136882	-0.340490023	0.340490023	0.197543177	0.76140515	4.796839465	5.179573941	5.60845331	5.010597083	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11398	56.96	77.8	MvSl-1064-A2-R4_MC13g11659	56.96	77.8	243471	247764	8.864577711	0.377852374	0.377852374	0.1979167	0.762501066	9.264302513	8.776906612	8.360333933	8.91360157	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC15g12111	57.32	69.75	MvSl-1064-A2-R4_MC15g12360	57.32	69.75	252407	253015	6.290782158	0.266447973	0.266447973	0.198108244	0.762895216	6.524719269	6.301677703	5.946046278	6.331294141	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10458	57.6	66.89	MvSl-1064-A2-R4_MC11g10720	57.6	66.89	724528	727769	4.60894354	-0.31909148	0.31909148	0.198234854	0.763039068	4.342120821	4.535394715	4.832075244	4.683641468	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08569	56.48	75.67	MvSl-1064-A2-R4_MC08-1g08834	56.48	75.67	789040	790553	9.890885345	-0.432085364	0.432085364	0.198432058	0.763158355	9.379957711	9.892336523	10.34327653	9.784597921	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11665	56.63	52.17	MvSl-1064-A2-R4_MC13g11926	56.63	52.17	885918	887561	5.885097507	-0.261554889	0.261554889	0.198444382	0.763158355	5.660416504	5.832238261	6.049234501	5.969661351	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g06037	54.66	59.32	MvSl-1064-A2-R4_MC04-2g06319	54.66	59.32	1772315	1774508	4.505154676	-0.340897188	0.340897188	0.198647889	0.763529703	4.193524844	4.447773988	4.86402429	4.435232541	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07126	52.76	55.41	MvSl-1064-A2-R4_MC06-2g07391	52.76	55.41	730948	732492	1.257226778	0.526443932	0.526443932	0.198719568	0.763529703	1.599812687	1.35105268	0.849294503	1.093044126	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04988	54.23	68.25	MvSl-1064-A2-R4_MC03g05265	54.23	68.25	1775897	1777254	3.126993181	0.427145291	0.427145291	0.199006955	0.763604335	3.574878205	3.011493646	2.820416883	2.971985664	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09085	52.38	63.83	MvSl-1064-A2-R4_MC09g09360	52.38	63.83	383345	385215	4.654593507	0.31139934	0.31139934	0.198979383	0.763604335	4.739287343	4.85958513	4.445379804	4.534320206	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC14g11765	54.52	61.82	MvSl-1064-A2-R4_MC14g12026	54.52	61.82	83124	83470	5.056106134	0.290019516	0.290019516	0.198834975	0.763604335	5.200714479	5.185190182	4.866655046	4.940064447	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02246	55.97	63.06	MvSl-1064-A2-R4_MC01g02528	55.79	63.2	815658	818908	9.232815794	-0.372216139	0.372216139	0.199583522	0.764101896	8.880529907	9.174162329	9.625694588	9.149015542	Auto	Auto	0.18	-0.14	NON
MvSl-1064-A1-R4_MC03g04455	55.49	64.82	MvSl-1064-A2-R4_MC03g04733	55.49	64.82	480596	482010	8.296885566	0.356834439	0.356834439	0.199413119	0.764101896	8.020782046	8.802862693	8.160165694	8.052740194	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08383	55.17	71.1	MvSl-1064-A2-R4_MC08-1g08648	55.17	71.1	349346	351077	8.034415886	-0.2829226	0.2829226	0.199387124	0.764101896	7.783927171	7.981605416	8.213839898	8.122648581	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g11245	57.14	60.32	MvSl-1064-A2-R4_MC12g11508	57.14	60.32	1242468	1247758	4.144519391	0.339761636	0.339761636	0.199284842	0.764101896	4.372064936	4.229600588	3.925611768	4.002793118	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11560	54.8	68.86	MvSl-1064-A2-R4_MC13g11821	54.8	68.86	638808	640025	6.491508852	-0.274322198	0.274322198	0.199530637	0.764101896	6.188489281	6.491936086	6.80717013	6.409823153	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_A1g00039	54.08	66.34	MvSl-1064-A2-R4_A2g00039	54.08	66.34	77299	78423	8.153864111	-0.294988642	0.294988642	0.19970162	0.764211794	7.851320743	8.132878435	8.361966364	8.222339037	bPAR	bPAR	0	0	NON
MvSl-1064-A1-R4_MC02g03970	60.05	68.42	MvSl-1064-A2-R4_MC02g04248	60.05	68.42	1879956	1881712	5.18845157	0.297007839	0.297007839	0.199898632	0.764281486	5.155516628	5.482949221	4.980332609	5.082526886	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-3g06792	54.94	64.51	MvSl-1064-A2-R4_MC05g07056	54.94	64.51	772111	772407	6.478109413	0.240278378	0.240278378	0.19984166	0.764281486	6.587041142	6.598897776	6.37903934	6.326364657	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_A1g01462	55.67	65.24	MvSl-1064-A2-R4_A2g01775	55.67	65.24	3263169	3264801	7.504708569	-0.26053659	0.26053659	0.200306267	0.764840859	7.260905044	7.46904471	7.679865395	7.576516347	bPAR	bPAR	0	0	NON
MvSl-1064-A1-R4_MC02g03558	51.92	53.89	MvSl-1064-A2-R4_MC02g03836	51.92	53.89	919890	921444	4.057351344	0.34419632	0.34419632	0.200402686	0.764840859	4.241175309	4.192901727	3.799115188	3.947362795	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07021	59.52	74.52	MvSl-1064-A2-R4_MC06-1g07284	59.52	74.52	425826	426461	5.936167597	0.259190641	0.259190641	0.200402799	0.764840859	6.175340754	5.933591299	5.764710233	5.835925726	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g10885	56.46	66.08	MvSl-1064-A2-R4_MC12g11148	56.46	66.08	351379	352426	8.921884797	0.343710854	0.343710854	0.200159243	0.764840859	9.125191773	9.040479762	8.51820758	8.931890992	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-2g06391	57.65	64.43	MvSl-1064-A2-R4_MC05g06665	57.65	64.43	240181	243047	3.288960217	0.387124246	0.387124246	0.20058624	0.765199359	3.545980784	3.381279873	3.122900599	3.041011162	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02106	58.14	56.03	MvSl-1064-A2-R4_MC01g02387	58.14	56.03	519340	520273	5.316379344	-0.347898629	0.347898629	0.20101942	0.766168089	4.976507609	5.273956133	5.802297201	5.063693531	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08646	60.35	72.37	MvSl-1064-A2-R4_MC08-1g08911	60.35	72.37	1003368	1005234	6.142063109	-0.250115297	0.250115297	0.200989292	0.766168089	5.912142523	6.10535173	6.300468343	6.221941646	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g11150	60.08	54.32	MvSl-1064-A2-R4_MC12g11413	60.08	54.32	1007927	1008792	2.198135485	0.513668472	0.513668472	0.201211199	0.766557283	2.727484707	2.037709946	1.570930663	2.203255091	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08590	59.65	76.38	MvSl-1064-A2-R4_MC08-1g08855	59.65	76.38	844428	845331	9.690540939	-0.479074945	0.479074945	0.201403078	0.766946508	9.02325675	9.748963773	10.30669146	9.361867365	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03927	57.16	69.41	MvSl-1064-A2-R4_MC02g04205	57.16	69.41	1783164	1783514	0.38136616	0.603988577	0.603988577	0.201547522	0.767154838	0.731551131	0.506001378	0.151396553	-0.029636685	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01864	55.23	63.61	MvSl-1064-A2-R4_MC01g02145	55.23	63.61	203142	205986	5.164905913	-0.290986166	0.290986166	0.202080055	0.767530293	5.128482147	4.887413149	5.245836362	5.35843212	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03718	55.98	65.59	MvSl-1064-A2-R4_MC02g03996	55.98	65.59	1318884	1320604	4.648423794	0.380488911	0.380488911	0.201982703	0.767530293	4.56876608	5.041908779	4.763151789	4.036989421	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04713	58.35	66.49	MvSl-1064-A2-R4_MC03g04991	58.38	66.32	1101371	1102954	6.781374342	-0.241795116	0.241795116	0.202184843	0.767530293	6.795369646	6.500971131	6.939878948	6.853278803	Auto	Auto	-0.03	0.17	NON
MvSl-1064-A1-R4_MC08g08407	55.88	62.35	MvSl-1064-A2-R4_MC08-1g08672	55.88	62.35	410123	413624	5.391369181	0.275416336	0.275416336	0.201969977	0.767530293	5.503932385	5.539583125	5.30328273	5.188467085	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10188	51.04	55.62	MvSl-1064-A2-R4_MC11g10447	51.04	55.62	72732	73126	1.257536557	0.588572347	0.588572347	0.202098068	0.767530293	1.687101049	1.296746649	0.283267542	1.393758781	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC14g11891	56	57.6	MvSl-1064-A2-R4_MC14g12152	56	57.6	378918	380330	4.45662605	-0.324142317	0.324142317	0.202022747	0.767530293	4.414248985	4.147594144	4.59565877	4.623826748	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g04132	58.69	75.56	MvSl-1064-A2-R4_MC02g04410	58.69	75.56	2283270	2289017	8.39485241	0.371416337	0.371416337	0.202385661	0.767951626	8.721632496	8.397238635	7.730931181	8.54909731	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09058	55.11	65.32	MvSl-1064-A2-R4_MC09g09333	55.11	65.32	316572	320161	9.064374388	-0.351135987	0.351135987	0.202544707	0.768214153	8.844494098	8.911178247	9.429702309	8.996466903	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g05995	61.66	75.6	MvSl-1064-A2-R4_MC04-2g06277	61.66	75.6	1667372	1668854	8.213216172	-0.313771813	0.313771813	0.202647726	0.76826404	8.114053366	7.978643908	8.105252801	8.579246874	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04494	57.61	73.36	MvSl-1064-A2-R4_MC03g04772	57.61	73.36	586508	589389	6.835407138	-0.245571456	0.245571456	0.202839661	0.768284974	6.573502184	6.830364792	7.051608888	6.847096799	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07238	53.72	57.66	MvSl-1064-A2-R4_MC06-2g07503	53.72	57.66	1012937	1014999	6.500990023	-0.244650779	0.244650779	0.202922853	0.768284974	6.444787225	6.299090122	6.547541155	6.685565516	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08566	56.07	67.84	MvSl-1064-A2-R4_MC08-1g08831	56.07	67.84	782703	783937	8.310430338	-0.289228871	0.289228871	0.202752793	0.768284974	8.132637076	8.184263095	8.418192211	8.476864348	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07418	50.49	51.46	MvSl-1064-A2-R4_MC06-2g07683	50.49	51.46	1444938	1446863	2.656365882	-0.423761017	0.423761017	0.203076481	0.768526265	2.493258973	2.37564728	2.955059885	2.742563392	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04788	56.06	68.18	MvSl-1064-A2-R4_MC03g05066	56.06	68.18	1296141	1300417	6.701432695	0.263240971	0.263240971	0.203256507	0.768867204	6.971954711	6.665369864	6.36422235	6.739219377	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC08g08268	62.2	68.2	MvSl-1064-A2-R4_MC08-1g08533	62.2	68.2	44370	44612	4.929811065	-0.448602408	0.448602408	0.203348459	0.768874824	5.14976602	4.010910546	4.74896297	5.442842504	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-1g06137	57.89	62.42	MvSl-1064-A2-R4_MC05g06409	57.89	62.42	26951	27295	4.710264494	0.322846469	0.322846469	0.203553244	0.76930888	4.647051062	5.048086134	4.611429683	4.464244499	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_A1g00568	56.31	54.55	MvSl-1064-A2-R4_A2g00548	60.87	59.42	925930	927977	5.23731927	0.298654805	0.298654805	0.204575139	0.772347889	5.546862691	5.187057414	4.955833706	5.194972226	Black	OldStrata	-4.56	-4.87	NON
MvSl-1064-A1-R4_MC04-1g05337	55.87	56.03	MvSl-1064-A2-R4_MC04-1g05614	55.87	56.03	82624	83160	5.723506477	-0.266301429	0.266301429	0.204899405	0.772347889	5.455029616	5.703790771	5.87726652	5.823384523	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g05726	53.21	68.08	MvSl-1064-A2-R4_MC04-1g06002	53.21	68.08	1028284	1029439	6.39252892	-0.245624662	0.245624662	0.204768602	0.772347889	6.145792546	6.374767196	6.575951238	6.441170602	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC07g07832	57.7	66.92	MvSl-1064-A2-R4_MC07g08097	57.7	66.92	685303	686429	4.622889974	0.325445933	0.325445933	0.204834391	0.772347889	4.948074108	4.578710151	4.339518932	4.554695952	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10479	55.26	64.47	MvSl-1064-A2-R4_MC11g10741	55.26	64.47	779394	779796	3.269060669	0.382858211	0.382858211	0.204801856	0.772347889	3.510522051	3.374741129	3.032075479	3.097656086	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC14g11944	57.33	72.28	MvSl-1064-A2-R4_MC14g12205	57.33	72.28	489318	490761	6.124664265	-0.259065943	0.259065943	0.204478033	0.772347889	5.951238351	6.027247092	6.410029076	6.066257283	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC13g11682	55.05	60.25	MvSl-1064-A2-R4_MC13g11943	55.05	60.25	918865	920053	3.995528395	0.344587967	0.344587967	0.205012799	0.772434738	4.155768834	4.155244909	3.895012163	3.725684444	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g01904	56.64	73.75	MvSl-1064-A2-R4_MC01g02185	56.64	73.75	247532	251651	6.276104716	0.243723475	0.243723475	0.205263383	0.772765971	6.433787019	6.349979975	6.028239221	6.260699797	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC07g07876	56.2	66.86	MvSl-1064-A2-R4_MC07g08141	56.2	66.86	799987	802411	5.161056989	-0.301910156	0.301910156	0.20537189	0.772765971	4.905482684	5.094587083	5.483764583	5.098806776	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09275	54.22	64.98	MvSl-1064-A2-R4_MC09g09549	54.22	64.98	875116	875384	5.530527756	0.352208694	0.352208694	0.205311223	0.772765971	5.901915693	5.453776145	4.884937233	5.691584626	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02189	56.92	66.67	MvSl-1064-A2-R4_MC01g02471	56.92	66.67	671917	672180	3.278389084	0.38246202	0.38246202	0.205582274	0.772877246	3.392116093	3.512162247	3.022670386	3.125165782	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-1g06219	59.95	63.15	MvSl-1064-A2-R4_MC05g06491	59.95	63.15	103045	103935	6.922031749	-0.242738207	0.242738207	0.205563327	0.772877246	6.687043336	6.896904916	7.123761617	6.947465876	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03961	53.71	63.6	MvSl-1064-A2-R4_MC02g04239	53.71	63.6	1850195	1851499	6.093821229	-0.261362107	0.261362107	0.205691237	0.772946984	5.824618243	6.079448763	6.33981538	6.08622433	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09202	57.88	59.97	MvSl-1064-A2-R4_MC09g09477	57.88	59.97	693297	694677	5.013696852	-0.289036887	0.289036887	0.206259456	0.77474169	4.85454228	4.87124544	5.103656158	5.197134104	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC07g07576	58	63.33	MvSl-1064-A2-R4_MC07g07841	58	63.33	74399	77134	6.18701159	-0.239947796	0.239947796	0.20645844	0.77514853	6.068652826	6.056140379	6.2640147	6.339146448	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09283	58.19	73.46	MvSl-1064-A2-R4_MC09g09557	58.19	73.46	894643	895574	6.936913887	0.308981801	0.308981801	0.206624488	0.775431407	7.284714384	6.848175054	6.400075644	7.07107805	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_A1g00968	56.28	74.18	MvSl-1064-A2-R4_A2g01198	55.56	70.65	2054540	2055464	5.59187962	0.269146409	0.269146409	0.206738025	0.775517059	5.723718265	5.715481639	5.295493787	5.591592601	Black	OldStrata	0.72	3.53	NON
MvSl-1064-A1-R4_A1g00772	56.01	64.24	MvSl-1064-A2-R4_A2g00179	55.96	63.71	468377	470856	3.861082663	-0.447897559	0.447897559	0.206911815	0.775828557	3.284267261	3.896886764	4.448895182	3.547374168	Blue	OldStrata	0.05	0.53	NON
MvSl-1064-A1-R4_MC01-1g02018	61.84	64.31	MvSl-1064-A2-R4_MC01g02299	61.84	64.31	400831	401046	5.246404424	-0.288983171	0.288983171	0.207109099	0.775887681	4.910025666	5.259831654	5.391785231	5.375713925	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10228	57.59	64.1	MvSl-1064-A2-R4_MC11g10489	57.59	64.1	151848	152616	6.224469596	0.243607064	0.243607064	0.207044766	0.775887681	6.293056486	6.387002911	6.019991158	6.171157605	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g05050	59.55	61.75	MvSl-1064-A2-R4_MC03g05327	59.55	61.75	1908966	1912485	8.102110494	0.320171212	0.320171212	0.207242537	0.776047502	8.448423259	8.027399539	7.679117283	8.149131989	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC02g03247	57.24	63.96	MvSl-1064-A2-R4_MC02g03527	57.24	63.96	204657	205662	6.649483014	0.251524372	0.251524372	0.207592498	0.776337822	6.865462766	6.666708706	6.367940888	6.654435418	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g04928	57.59	75.12	MvSl-1064-A2-R4_MC03g05206	57.59	75.12	1641001	1643019	3.146587857	-0.387084385	0.387084385	0.207495524	0.776337822	2.946738299	2.942426509	3.357943667	3.296266848	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g10881	54.92	64.75	MvSl-1064-A2-R4_MC12g11144	54.92	64.75	343236	343601	6.723866739	-0.27977013	0.27977013	0.207578504	0.776337822	6.646781935	6.504719098	6.517723714	7.131672048	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC07g08107	53.88	54.09	MvSl-1064-A2-R4_MC07g08372	53.88	54.09	1378157	1379003	5.225615975	-0.401178689	0.401178689	0.20790364	0.777161442	4.563008326	5.354255795	5.773147928	4.92970085	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_A1g00749	54.85	54.07	MvSl-1064-A2-R4_A2g00576	54.94	53.38	1108286	1110870	6.600892322	-0.432980787	0.432980787	0.208677142	0.7774405	6.849587051	5.642511478	6.35300888	7.142930696	Black	OldStrata	-0.09	0.69	NON
MvSl-1064-A1-R4_MC01-1g02234	56.93	62.27	MvSl-1064-A2-R4_MC01g02516	56.93	62.27	783744	785260	6.238696375	0.262278494	0.262278494	0.208705807	0.7774405	6.459583174	6.260595869	5.90055935	6.278164383	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC03g05257	54.77	59.17	MvSl-1064-A2-R4_MC03g05534	54.77	59.17	2440656	2440923	5.786899177	-0.303259293	0.303259293	0.208684709	0.7774405	5.844927595	5.372421041	5.702751283	6.127616718	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g05471	58.83	64.16	MvSl-1064-A2-R4_MC04-1g05748	58.83	64.16	421065	421307	2.989358545	0.395855929	0.395855929	0.208633501	0.7774405	3.167700048	3.170947863	2.683885317	2.86727085	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-2g06359	57.51	60.44	MvSl-1064-A2-R4_MC05g06633	57.51	60.44	219129	219332	0.84630206	-0.578272494	0.578272494	0.208695788	0.7774405	0.461368868	0.642902881	1.435736964	0.663497503	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07044	56.81	59.82	MvSl-1064-A2-R4_MC06-2g07309	56.81	59.82	490991	492672	7.257311064	-0.254006642	0.254006642	0.208398265	0.7774405	7.143319454	7.106270532	7.513996612	7.229442133	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC09-2g09537	57.41	55.56	MvSl-1064-A2-R4_MC09g09811	57.41	55.56	1534392	1536782	2.259303155	0.438523746	0.438523746	0.208396682	0.7774405	2.456463497	2.452174848	2.104256913	1.939649959	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC11g10276	53.98	57.52	MvSl-1064-A2-R4_MC11g10537	53.98	57.52	252727	253366	0.339831648	0.595810733	0.595810733	0.208393632	0.7774405	0.646990334	0.506001378	-0.072197335	0.123706941	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02171	54.81	61.11	MvSl-1064-A2-R4_MC01g02453	53.98	62.69	633933	636064	6.02844979	0.256309123	0.256309123	0.208996446	0.778126022	6.264959106	6.02620441	5.787102009	5.994734143	Auto	Auto	0.83	-1.58	NON
MvSl-1064-A1-R4_MC03g04811	58.68	66.44	MvSl-1064-A2-R4_MC03g05089	58.86	66.34	1353164	1354783	6.318338406	-0.236265563	0.236265563	0.209071877	0.778126022	6.242620827	6.147196214	6.408224461	6.454786735	Auto	Auto	-0.18	0.1	NON
MvSl-1064-A1-R4_MC08g08856	57.66	67.71	MvSl-1064-A2-R4_MC08-2g09137	57.66	67.71	1505131	1507330	3.533647313	-0.375920193	0.375920193	0.209479346	0.778964302	3.190285926	3.469840503	3.788055577	3.626505674	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC10-1g09670	54.85	60.78	MvSl-1064-A2-R4_MC10g09937	54.85	60.78	123137	124683	7.3923445	-0.246847864	0.246847864	0.209396058	0.778964302	7.255113999	7.272455389	7.545122622	7.475046822	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC14g11948	56.86	64.09	MvSl-1064-A2-R4_MC14g12209	56.86	64.09	497096	498124	7.693648822	-0.281709015	0.281709015	0.209734456	0.779573853	7.715503127	7.354083398	7.673494042	7.966970744	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC12g11026	55.59	62.48	MvSl-1064-A2-R4_MC12g11289	55.59	62.48	708002	710595	5.641811654	0.279916631	0.279916631	0.209882598	0.779785453	5.970939654	5.546872142	5.393610513	5.589948193	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC01-1g02282	56.48	62.96	MvSl-1064-A2-R4_MC01g02564	56.48	62.96	892725	893899	1.58530151	0.489605164	0.489605164	0.210108926	0.780084615	1.728841456	1.861850355	1.463808231	1.165494325	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC04-1g05888	55.37	64.64	MvSl-1064-A2-R4_MC04-1g06164	55.37	64.64	1471767	1472054	5.282283599	-0.343021093	0.343021093	0.210244073	0.780084615	4.959076487	5.231160952	5.773147928	5.015505598	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC05-3g06686	56.25	50.6	MvSl-1064-A2-R4_MC05g06949	56.25	50.6	511045	511377	5.000822967	-0.291565425	0.291565425	0.210328113	0.780084615	4.739287343	4.950330846	5.138904934	5.139844794	Auto	Auto	0	0	NON
MvSl-1064-A1-R4_MC06g07046	57.22	61.71	MvSl-1064-A2-R4_MC06-2g07311	57.22	61.71	494769	495923	6.765503326	-0.229293743	0.229293743	0.210179666	0.780084615	6.580643787	6.709558213	6.931108341	6.81789193	Auto	Auto	0	0	NON
