gid	youngold	logFC.A1.A2	ratioprot	DE	DE2	ratiocds
MvSl-1064-A1-R4_MC01-1g02817	Auto	-0.301855167	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02818	Auto	0.03017452	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02819	Auto	-0.046995114	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02822	Auto	0.023240205	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02823	Auto	-0.057898945	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02825	Auto	0.007687859	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02826	Auto	-0.061073053	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02834	Auto	-0.083040253	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02835	Auto	-0.10617492	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02844	Auto	-0.145484597	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02851	Auto	0.112531998	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02858	Auto	-0.037676677	1	NON	NON	1
MvSl-1064-A1-R4_MC01-1g02863	Auto	-0.106554616	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02975	Auto	0.108062816	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02976	Auto	0.177423255	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02977	Auto	-0.137466094	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02978	Auto	0.011159543	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02979	Auto	-0.088104216	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02983	Auto	-0.185753026	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02984	Auto	0.119036389	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02991	Auto	0.020929728	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02992	Auto	0.290147782	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02993	Auto	0.274887385	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02994	Auto	-0.052840625	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g02996	Auto	0.056251556	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03003	Auto	0.021644219	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03004	Auto	-0.060474701	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03007	Auto	-0.139510762	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03013	Auto	1.183668089	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03014	Auto	0.055419067	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03015	Auto	0.109246751	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03016	Auto	-0.020816198	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03017	Auto	0.000538275	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03018	Auto	-0.115969546	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03019	Auto	0.067967505	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03020	Auto	-0.087286548	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03021	Auto	0.198007137	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03024	Auto	0.731335103	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03026	Auto	0.574499436	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03027	Auto	0.181235116	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03028	Auto	0.017751994	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03029	Auto	-0.057793457	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03030	Auto	-0.219975891	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03036	Auto	-0.043764654	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03037	Auto	-0.112836859	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03039	Auto	-0.112169011	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03040	Auto	-0.476759157	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03041	Auto	-0.290482631	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03043	Auto	-0.246016934	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03046	Auto	-0.05280932	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03047	Auto	0.093856846	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03048	Auto	0.047486654	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03049	Auto	0.057166455	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03050	Auto	0.012182119	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03051	Auto	-0.035308138	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03052	Auto	-0.14723204	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03054	Auto	0.121599628	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03055	Auto	-0.198100836	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03056	Auto	0.167188822	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03057	Auto	-0.25049992	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03058	Auto	-0.010989538	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03061	Auto	0.169877009	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03062	Auto	0.117790431	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03063	Auto	-0.643923019	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03064	Auto	-0.403070535	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03065	Auto	-0.32294913	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03071	Auto	0.020024931	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03072	Auto	0.059560658	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03075	Auto	-0.164057054	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03076	Auto	-0.009382895	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03078	Auto	-0.000401018	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03079	Auto	0.045533306	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03080	Auto	0.274531835	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03082	Auto	-0.47372716	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03085	Auto	-0.772517695	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03086	Auto	-0.463022548	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03087	Auto	-0.006688104	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03097	Auto	-0.009946794	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03098	Auto	0.040572466	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03100	Auto	0.459677169	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03104	Auto	-0.114896224	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03105	Auto	-0.220359516	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03107	Auto	0.05741711	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03108	Auto	-0.099061225	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03109	Auto	0.353445687	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03110	Auto	-0.207556515	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03111	Auto	-0.045737111	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03119	Auto	-0.839483094	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03120	Auto	0.087853011	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03121	Auto	-0.059453253	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03122	Auto	0.344728525	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03124	Auto	-0.072317087	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03125	Auto	-0.20466776	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03127	Auto	0.060116218	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03128	Auto	-0.140939723	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03129	Auto	0.207367175	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03130	Auto	0.003961624	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03131	Auto	-0.007045466	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03132	Auto	0.002662262	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03133	Auto	0.183543181	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03134	Auto	-0.166553706	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03135	Auto	0.06701355	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03136	Auto	-0.187897699	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03137	Auto	-0.098457062	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03138	Auto	-0.336623121	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03139	Auto	-0.333801817	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03140	Auto	-0.181546082	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03141	Auto	-0.117723065	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03147	Auto	0.02450881	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03148	Auto	-0.072737041	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03149	Auto	0.251324663	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03150	Auto	0.363973621	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03151	Auto	0.064743801	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03152	Auto	0.121302727	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03154	Auto	-0.271873775	1.138983051	NON	NON	1.138513514
MvSl-1064-A1-R4_MC01-2g03155	Auto	-0.056812392	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03157	Auto	0.272577416	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03158	Auto	-0.005718851	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03159	Auto	0.018990484	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03160	Auto	0.213584423	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03161	Auto	0.355845421	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03162	Auto	0.054575656	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03164	Auto	-0.20047157	1	NON	NON	1
MvSl-1064-A1-R4_MC01-2g03165	Auto	-0.431069896	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03179	Auto	-0.103379475	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03181	Auto	-0.208436888	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03182	Auto	-0.107911652	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03183	Auto	-0.113678543	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03185	Auto	0.185054086	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03186	Auto	-0.063062421	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03189	Auto	-0.216159041	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03191	Auto	0.200756073	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03192	Auto	-0.426957409	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03193	Auto	0.427149814	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03194	Auto	0.134269474	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03195	Auto	0.435139289	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03199	Auto	-0.064261847	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03200	Auto	-0.516031647	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03201	Auto	-0.408198523	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03202	Auto	-0.038186615	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03203	Auto	0.161184676	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03206	Auto	-0.319203371	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03207	Auto	0.033643257	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03208	Auto	0.110987309	0.934782609	NON	NON	0.934939759
MvSl-1064-A1-R4_MC02g03209	Auto	-0.085368067	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03211	Auto	0.312033532	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03212	Auto	0.068431246	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03213	Auto	-0.07248796	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03214	Auto	-0.11471494	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03217	Auto	0.016836222	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03218	Auto	0.036555279	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03219	Auto	-0.255050956	1.038461538	NON	NON	0.963060686
MvSl-1064-A1-R4_MC02g03220	Auto	-0.137547584	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03221	Auto	-0.368930213	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03223	Auto	-0.311838198	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03225	Auto	-0.100239755	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03227	Auto	0.410559317	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03230	Auto	0.068597609	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03231	Auto	-0.069108646	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03232	Auto	0.054200266	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03233	Auto	-0.441476486	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03234	Auto	-0.106145958	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03235	Auto	-0.228039928	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03236	Auto	0.047322259	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03237	Auto	-0.040380763	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03240	Auto	-0.025799895	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03241	Auto	0.03087187	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03242	Auto	0.087663058	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03243	Auto	-0.089822724	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03244	Auto	-0.097684423	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03245	Auto	-0.045379668	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03246	Auto	-0.398821049	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03250	Auto	-0.054035674	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03251	Auto	-0.316296407	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03253	Auto	-0.353900515	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03254	Auto	-0.302751829	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03255	Auto	-0.21705046	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03256	Auto	-0.138652278	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03257	Auto	-0.107377111	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03258	Auto	0.174005169	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03260	Auto	-0.086783272	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03261	Auto	-0.162972883	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03263	Auto	-0.021247351	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03266	Auto	0.117237089	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03267	Auto	0.110868701	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03268	Auto	0.344916651	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03269	Auto	0.174914634	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03270	Auto	0.355878222	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03271	Auto	-0.207087044	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03272	Auto	-0.189519675	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03273	Auto	0.057422979	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03276	Auto	0.331045036	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03277	Auto	-0.372476923	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03278	Auto	-0.532678954	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03279	Auto	-0.112438953	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03290	Auto	0.017992213	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03291	Auto	-0.136045973	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03292	Auto	0.195441027	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03293	Auto	0.053411797	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03295	Auto	-0.031852327	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03296	Auto	0.023835977	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03300	Auto	-0.434418716	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03301	Auto	-0.16004869	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03302	Auto	0.012103153	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03304	Auto	0.019539802	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03305	Auto	-0.071929499	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03306	Auto	-0.015588015	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03307	Auto	0.13113928	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03308	Auto	-0.580463016	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03309	Auto	-0.112434963	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03310	Auto	-0.135911884	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03311	Auto	-0.049170489	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03312	Auto	0.255255846	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03313	Auto	0.107544873	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03314	Auto	-0.11183931	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03315	Auto	-0.000723241	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03317	Auto	0.721996936	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03318	Auto	0.118530044	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03321	Auto	0.462990103	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03322	Auto	-0.143519024	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03324	Auto	0.19046611	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03325	Auto	-0.025748521	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03326	Auto	-0.294822265	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03328	Auto	-0.124290955	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03329	Auto	-0.04366358	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03330	Auto	0.012031356	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03331	Auto	0.024813085	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03332	Auto	0.020311514	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03333	Auto	0.084491075	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03334	Auto	0.116980169	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03335	Auto	-0.108794746	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03336	Auto	-0.092063953	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03337	Auto	-0.062252617	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03338	Auto	0.073672015	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03341	Auto	0.108518467	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03357	Auto	-0.189641604	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03379	Auto	-0.059406489	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03380	Auto	-0.050565256	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03381	Auto	0.194970013	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03382	Auto	-0.201154314	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03389	Auto	-0.199108512	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03390	Auto	0.104122366	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03457	Auto	0.068317419	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03458	Auto	0.165647955	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03464	Auto	0.00377407	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03466	Auto	0.069177314	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03485	Auto	0.235290184	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03486	Auto	-0.134480075	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03487	Auto	-0.144023604	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03488	Auto	-0.036817737	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03489	Auto	-0.431760173	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03490	Auto	0.275078356	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03504	Auto	-0.10243062	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03505	Auto	0.120137365	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03506	Auto	0.890463127	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03507	Auto	0.123263743	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03524	Auto	0.082340876	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03525	Auto	0.063817959	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03527	Auto	-0.002695662	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03528	Auto	-0.226694825	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03529	Auto	-0.067780681	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03530	Auto	-0.107471104	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03531	Auto	-0.019741917	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03532	Auto	0.174761956	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03535	Auto	0.046842937	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03536	Auto	0.242650344	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03537	Auto	-0.324498908	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03538	Auto	-0.073404787	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03539	Auto	-0.107183966	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03541	Auto	0.023877109	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03543	Auto	-0.297426564	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03544	Auto	0.20961255	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03546	Auto	-0.319332228	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03547	Auto	0.105129159	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03551	Auto	0.099951793	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03552	Auto	0.102725689	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03561	Auto	0.124212527	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03562	Auto	0.181649091	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03563	Auto	0.550143474	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03568	Auto	-0.135913871	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03569	Auto	0.319584758	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03570	Auto	0.512094175	1.000578369	NON	NON	0.999422299
MvSl-1064-A1-R4_MC02g03572	Auto	-0.037822806	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03573	Auto	0.255382391	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03575	Auto	-0.772679794	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03576	Auto	-0.509337249	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03580	Auto	0.205785102	0.970198675	NON	NON	0.970247934
MvSl-1064-A1-R4_MC02g03581	Auto	-0.492802593	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03582	Auto	-0.111207979	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03583	Auto	0.040436164	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03585	Auto	0.31521017	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03586	Auto	-0.268410573	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03587	Auto	-0.187740587	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03588	Auto	-0.342150333	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03589	Auto	0.074844717	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03590	Auto	0.018712171	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03591	Auto	0.063223552	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03592	Auto	-0.135701206	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03593	Auto	-0.119096298	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03596	Auto	-0.176083976	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03597	Auto	0.013907417	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03598	Auto	0.109855659	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03599	Auto	-0.345576987	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03600	Auto	-0.078685829	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03601	Auto	0.159760223	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03602	Auto	0.027668323	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03603	Auto	-0.401441831	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03608	Auto	-0.114289263	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03610	Auto	0.367735605	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03613	Auto	-0.565015558	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03614	Auto	0.028598238	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03615	Auto	-0.084893534	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03616	Auto	0.075986438	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03618	Auto	-0.259749367	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03619	Auto	0.144034533	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03620	Auto	0.154077946	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03621	Auto	0.050503881	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03622	Auto	-0.081207848	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03623	Auto	-0.041898306	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03625	Auto	0.037190046	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03626	Auto	-0.293875372	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03627	Auto	0.143412228	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03628	Auto	-0.225902428	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03629	Auto	0.107539997	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03631	Auto	-0.119651655	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03632	Auto	2.57E-05	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03633	Auto	-0.172335161	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03634	Auto	-0.048981278	1	NON	NON	1
MvSl-1064-A1-R4_MC02g03635	Auto	-0.07085507	1	NON	NON	1
